Temperature (K),10_cm,5_cm,0_cm
1.84E+03,0.00E+00,2.75E-05,0.00E+00
1.85E+03,0.00E+00,1.84E-05,0.00E+00
1.86E+03,0.00E+00,2.75E-05,0.00E+00
1.87E+03,0.00E+00,9.18E-06,0.00E+00
1.88E+03,0.00E+00,0.00E+00,0.00E+00
1.89E+03,0.00E+00,0.00E+00,0.00E+00
1.90E+03,0.00E+00,0.00E+00,0.00E+00
1.91E+03,0.00E+00,9.18E-06,0.00E+00
1.92E+03,0.00E+00,9.18E-06,0.00E+00
1.93E+03,0.00E+00,9.18E-06,0.00E+00
1.94E+03,0.00E+00,0.00E+00,0.00E+00
1.95E+03,0.00E+00,0.00E+00,0.00E+00
1.96E+03,0.00E+00,0.00E+00,0.00E+00
1.97E+03,0.00E+00,0.00E+00,0.00E+00
1.98E+03,0.00E+00,0.00E+00,0.00E+00
1.99E+03,0.00E+00,0.00E+00,0.00E+00
2.00E+03,0.00E+00,0.00E+00,0.00E+00
2.01E+03,0.00E+00,0.00E+00,0.00E+00
2.02E+03,0.00E+00,0.00E+00,0.00E+00
2.03E+03,0.00E+00,0.00E+00,0.00E+00
2.04E+03,0.00E+00,0.00E+00,0.00E+00
2.05E+03,0.00E+00,0.00E+00,0.00E+00
2.06E+03,0.00E+00,0.00E+00,0.00E+00
2.07E+03,0.00E+00,0.00E+00,0.00E+00
2.08E+03,0.00E+00,0.00E+00,0.00E+00
2.09E+03,0.00E+00,0.00E+00,0.00E+00
2.10E+03,0.00E+00,0.00E+00,0.00E+00
2.11E+03,0.00E+00,0.00E+00,0.00E+00
2.12E+03,0.00E+00,0.00E+00,0.00E+00
2.13E+03,0.00E+00,0.00E+00,0.00E+00
2.14E+03,0.00E+00,0.00E+00,0.00E+00
2.15E+03,0.00E+00,0.00E+00,0.00E+00
2.16E+03,0.00E+00,0.00E+00,0.00E+00
2.17E+03,0.00E+00,0.00E+00,0.00E+00
2.18E+03,0.00E+00,0.00E+00,0.00E+00
2.19E+03,0.00E+00,0.00E+00,0.00E+00
2.20E+03,0.00E+00,0.00E+00,0.00E+00
2.21E+03,0.00E+00,0.00E+00,0.00E+00
2.22E+03,0.00E+00,0.00E+00,0.00E+00
2.23E+03,0.00E+00,0.00E+00,0.00E+00
2.24E+03,0.00E+00,0.00E+00,0.00E+00
2.25E+03,0.00E+00,0.00E+00,0.00E+00
2.26E+03,0.00E+00,0.00E+00,0.00E+00
2.27E+03,0.00E+00,0.00E+00,0.00E+00
2.28E+03,0.00E+00,0.00E+00,0.00E+00
2.29E+03,0.00E+00,0.00E+00,0.00E+00
