cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 6.5229592E+001, 7.2815160E+002, 7.2074994E+002, 4.3297372E+000, 1.3847025E+002, 1.9874230E+002, 1.4729312E+000, 1.5851550E-001, 2.7510909E-002, 1.6787331E-004, 1.1627384E-005, 4.1980552E-002, 8.3854488E-005, 7.7087506E-001, 1.6479413E-004, 3.5896212E-004
 6.7260204E+001, 7.0557414E+002, 6.9780575E+002, 4.2659665E+000, 1.3244152E+002, 1.9043604E+002, 1.4815704E+000, 1.6157799E-001, 2.5866255E-002, 1.3885719E-004, 8.6127566E-006, 3.9698442E-002, 6.2026081E-005, 7.7185130E-001, 1.3619621E-004, 3.3439174E-004
 6.9290816E+001, 6.8436997E+002, 6.7648019E+002, 4.2085806E+000, 1.2613607E+002, 1.8178151E+002, 1.4749550E+000, 1.6439453E-001, 2.4350300E-002, 1.1653739E-004, 6.3734794E-006, 3.7598806E-002, 4.5839787E-005, 7.7274317E-001, 1.1421584E-004, 3.1238542E-004
 7.1321429E+001, 6.6454726E+002, 6.5671106E+002, 4.1561281E+000, 1.1979863E+002, 1.7309433E+002, 1.4578752E+000, 1.6697449E-001, 2.2959177E-002, 9.9325582E-005, 4.7190184E-006, 3.5674941E-002, 3.3893064E-005, 7.7355572E-001, 9.7278897E-005, 2.9266667E-004
 7.3352041E+001, 6.4617894E+002, 6.3850697E+002, 4.1041464E+000, 1.1379364E+002, 1.6481269E+002, 1.4392358E+000, 1.6931801E-001, 2.1693725E-002, 8.6032991E-005, 3.5031565E-006, 3.3926954E-002, 2.5127215E-005, 7.7429060E-001, 8.4209358E-005, 2.7507578E-004
 7.5382653E+001, 6.2922312E+002, 6.2177660E+002, 4.0543703E+000, 1.0835505E+002, 1.5727913E+002, 1.4226221E+000, 1.7145377E-001, 2.0539012E-002, 7.5785038E-005, 2.6239543E-006, 3.2333588E-002, 1.8800821E-005, 7.7495779E-001, 7.4140756E-005, 2.5930143E-004
 7.7413265E+001, 6.1351540E+002, 6.0635062E+002, 4.0072145E+000, 1.0326096E+002, 1.5015095E+002, 1.4035273E+000, 1.7340090E-001, 1.9485347E-002, 6.7657883E-005, 1.9735053E-006, 3.0880731E-002, 1.4116050E-005, 7.7556439E-001, 6.6159878E-005, 2.4508796E-004
 7.9443878E+001, 5.9877684E+002, 5.9195080E+002, 3.9602759E+000, 9.8261967E+001, 1.4306394E+002, 1.3845853E+000, 1.7519360E-001, 1.8514597E-002, 6.1006426E-005, 1.4777683E-006, 2.9542940E-002, 1.0543178E-005, 7.7612174E-001, 5.9630878E-005, 2.3211639E-004
 8.1474490E+001, 5.8493644E+002, 5.7845975E+002, 3.9111460E+000, 9.3503965E+001, 1.3626829E+002, 1.3712086E+000, 1.7685562E-001, 1.7614060E-002, 5.5557388E-005, 1.1063603E-006, 2.8302543E-002, 7.8699072E-006, 7.7663749E-001, 5.4284495E-005, 2.2019037E-004
 8.3505102E+001, 5.7189111E+002, 5.6571856E+002, 3.8611757E+000, 8.9050779E+001, 1.2990489E+002, 1.3657795E+000, 1.7840751E-001, 1.6772752E-002, 5.1041771E-005, 8.2928330E-007, 2.7144232E-002, 5.8836019E-006, 7.7711827E-001, 4.9855926E-005, 2.0913520E-004
 8.5535714E+001, 5.5972499E+002, 5.5385592E+002, 3.8147345E+000, 8.4809606E+001, 1.2394500E+002, 1.3570592E+000, 1.7983820E-001, 1.5996843E-002, 4.7275269E-005, 6.2255133E-007, 2.6076314E-002, 4.4055595E-006, 7.7756097E-001, 4.6163533E-005, 1.9899975E-004
 8.7566327E+001, 5.4837205E+002, 5.4280632E+002, 3.7717741E+000, 8.0664467E+001, 1.1818988E+002, 1.3428088E+000, 1.8116050E-001, 1.5279481E-002, 4.4095194E-005, 4.6821412E-007, 2.5089242E-002, 3.3076866E-006, 7.7796972E-001, 4.3047165E-005, 1.8967499E-004
 8.9596939E+001, 5.3780619E+002, 5.3251689E+002, 3.7320111E+000, 7.6773996E+001, 1.1283813E+002, 1.3229916E+000, 1.8238029E-001, 1.4617556E-002, 4.1384765E-005, 3.5325921E-007, 2.4178646E-002, 2.4936727E-006, 7.7834648E-001, 4.0392019E-005, 1.8110568E-004
 9.1627551E+001, 5.2787561E+002, 5.2283602E+002, 3.6930119E+000, 7.3254461E+001, 1.0801563E+002, 1.3014598E+000, 1.8351729E-001, 1.4000425E-002, 3.9032654E-005, 2.6767772E-007, 2.3329828E-002, 1.8902064E-006, 7.7869742E-001, 3.8088755E-005, 1.7314425E-004
 9.3658163E+001, 5.1846689E+002, 5.1364739E+002, 3.6532760E+000, 7.0068573E+001, 1.0367888E+002, 1.2808774E+000, 1.8458584E-001, 1.3420348E-002, 3.6952946E-005, 2.0364626E-007, 2.2532090E-002, 1.4395754E-006, 7.7902706E-001, 3.6052969E-005, 1.6568228E-004
 9.5688776E+001, 5.0955410E+002, 5.0495581E+002, 3.6123984E+000, 6.7114639E+001, 9.9606072E+001, 1.2633755E+000, 1.8558741E-001, 1.2876557E-002, 3.5096619E-005, 1.5546501E-007, 2.1784335E-002, 1.1000552E-006, 7.7933591E-001, 3.4236357E-005, 1.5870231E-004
 9.7719388E+001, 5.0112598E+002, 4.9677263E+002, 3.5704799E+000, 6.4249077E+001, 9.5616138E+001, 1.2487382E+000, 1.8652567E-001, 1.2367090E-002, 3.3424638E-005, 1.1881092E-007, 2.1083837E-002, 8.4167620E-007, 7.7962515E-001, 3.2600505E-005, 1.5217388E-004
 9.9750000E+001, 4.9315745E+002, 4.8903776E+002, 3.5270235E+000, 6.1480853E+001, 9.1787603E+001, 1.2336569E+000, 1.8740832E-001, 1.1887775E-002, 3.1902182E-005, 9.0766386E-008, 2.0424842E-002, 6.4354166E-007, 7.7989717E-001, 3.1111286E-005, 1.4604043E-004
