s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C
Time,"HF_y-25_z20","HF_y-15_z20","HF_y0_z20","HF_y15_z20","HF_y25_z20","HF_y-25_z50","HF_y-15_z50","HF_y0_z50","HF_y15_z50","HF_y25_z50","HF_y-25_z75","HF_y-15_z75","HF_y0_z75","HF_y15_z75","HF_y25_z75","HF_y-25_z100","HF_y-15_z100","HF_y0_z100","HF_y15_z100","HF_y25_z100","Flux-1","Flux-2","Flux-3","Flux-4","Flux-5","Temp-1","Temp-2","Temp-3","Temp-4","Temp-5"
 9.5001889E+000, 2.6214327E+000, 4.7167067E+000, 8.6791115E+000, 4.7718870E+000, 2.7460282E+000, 8.5647984E-001, 1.5980396E+000, 1.9681023E+000, 1.3242203E+000, 8.1801247E-001, 2.6054564E-001, 5.2398778E-001, 6.6143387E-001, 7.1724137E-001, 3.4695021E-001, 3.4439300E-001, 7.0712437E-001, 6.3158868E-001, 7.0494699E-001, 3.8770253E-001, 6.2545045E-001, 3.8263113E-001, 2.5090809E-001, 2.3678925E-001, 2.0507084E-001, 2.2634406E+001, 2.1883201E+001, 2.1330100E+001, 2.1103022E+001, 2.0914958E+001
 1.0000490E+001, 2.9465355E+000, 5.5602505E+000, 9.0798307E+000, 5.6649718E+000, 2.8284986E+000, 9.5356730E-001, 1.7185846E+000, 2.4486311E+000, 1.6159081E+000, 1.0437568E+000, 9.8283296E-001, 1.1567499E+000, 1.0339204E+000, 6.3670634E-001, 3.9856378E-001, 5.9542896E-001, 7.9113855E-001, 6.3722324E-001, 4.2347208E-001, 3.1698607E-001, 4.5997330E-001, 4.2544080E-001, 3.0184360E-001, 1.5813474E-001, 1.1216178E-001, 2.2695414E+001, 2.2013811E+001, 2.1393572E+001, 2.1016041E+001, 2.0846559E+001
 1.0500615E+001, 3.0915322E+000, 5.6023497E+000, 9.6143071E+000, 6.5092449E+000, 3.1829415E+000, 1.0478136E+000, 1.6610523E+000, 2.5294445E+000, 1.4199038E+000, 1.0054821E+000, 3.5947545E-001, 7.1356972E-001, 8.9269927E-001, 6.7537529E-001, 4.4268686E-001, 5.7633738E-001, 5.7752641E-001, 6.4033380E-001, 6.7528176E-001, 4.9687102E-001, 6.1360331E-001, 5.1219676E-001, 2.8605736E-001, 2.2209387E-001, 1.6877592E-001, 2.2881601E+001, 2.2164815E+001, 2.1485968E+001, 2.1111966E+001, 2.0833286E+001
 1.1000007E+001, 3.2977455E+000, 5.8537864E+000, 9.4737855E+000, 5.6774787E+000, 3.1873287E+000, 1.2992323E+000, 1.7014752E+000, 3.1775831E+000, 1.5400351E+000, 1.0912212E+000, 5.8888322E-001, 1.6551076E+000, 1.2160264E+000, 6.1589580E-001, 3.9247024E-001, 5.2260095E-001, 1.1870932E+000, 5.6458246E-001, 4.1372219E-001, 2.8217250E-001, 5.8841055E-001, 5.8747524E-001, 4.5517400E-001, 3.4504044E-001, 2.3887683E-001, 2.3065071E+001, 2.2513662E+001, 2.1775732E+001, 2.1292804E+001, 2.0973468E+001
 1.1500665E+001, 3.7294629E+000, 7.9476037E+000, 1.0182731E+001, 6.5731509E+000, 3.4485987E+000, 1.2008236E+000, 1.8285631E+000, 2.5182371E+000, 1.5257769E+000, 1.2282825E+000, 5.2080404E-001, 9.4395149E-001, 1.3152255E+000, 7.8605861E-001, 3.1011615E-001, 5.2708794E-001, 7.3932728E-001, 1.1678678E+000, 8.7934024E-001, 8.7310885E-001, 7.7856194E-001, 4.4205646E-001, 3.0648024E-001, 2.5082112E-001, 2.1405974E-001, 2.3403671E+001, 2.2524079E+001, 2.1789418E+001, 2.1390904E+001, 2.1084426E+001
 1.2000058E+001, 3.6523813E+000, 6.1798844E+000, 1.2569510E+001, 7.0627528E+000, 3.5537848E+000, 1.1733102E+000, 1.7970450E+000, 3.6769737E+000, 1.5062811E+000, 1.2984014E+000, 6.0467749E-001, 7.9331764E-001, 1.5284196E+000, 7.8679604E-001, 3.8929191E-001, 4.9435510E-001, 7.3716773E-001, 1.1545571E+000, 5.4285349E-001, 2.9683384E-001, 8.9617904E-001, 5.9822741E-001, 3.7072312E-001, 3.0379394E-001, 3.0276795E-001, 2.3842401E+001, 2.2747477E+001, 2.1843644E+001, 2.1465333E+001, 2.1246135E+001
 1.2500558E+001, 3.8978820E+000, 8.2192888E+000, 1.1733129E+001, 6.7616651E+000, 3.7288040E+000, 1.1395091E+000, 1.6679783E+000, 3.4490398E+000, 1.4836565E+000, 1.1623353E+000, 5.7538384E-001, 9.7184309E-001, 1.2378619E+000, 7.8422005E-001, 3.8974979E-001, 3.6254598E-001, 6.1055453E-001, 9.5304159E-001, 5.2988290E-001, 3.5547289E-001, 8.0781747E-001, 6.2898737E-001, 4.4401751E-001, 3.4759202E-001, 2.8609611E-001, 2.4005644E+001, 2.3007220E+001, 2.2074736E+001, 2.1640216E+001, 2.1334786E+001
 1.3000542E+001, 4.1572425E+000, 1.1645536E+001, 1.4552696E+001, 8.5430410E+000, 4.1137146E+000, 1.5640763E+000, 2.4726335E+000, 3.9253923E+000, 1.8468580E+000, 1.4390051E+000, 7.4015252E-001, 9.1231928E-001, 1.5242883E+000, 8.4619586E-001, 4.8613610E-001, 5.3316342E-001, 6.6610085E-001, 8.6814238E-001, 9.8650809E-001, 5.5703158E-001, 7.2043527E-001, 5.8739712E-001, 6.4015569E-001, 3.6630677E-001, 2.0549647E-001, 2.4210457E+001, 2.3236574E+001, 2.2492146E+001, 2.1719209E+001, 2.1331267E+001
 1.3500387E+001, 3.9854782E+000, 1.1346189E+001, 1.2957352E+001, 9.0412599E+000, 4.1960240E+000, 1.4176353E+000, 1.8415554E+000, 3.5873293E+000, 2.0894422E+000, 1.5234643E+000, 5.0045937E-001, 1.1063378E+000, 1.5555747E+000, 1.0995097E+000, 5.0384451E-001, 4.6413708E-001, 5.7165110E-001, 1.0500293E+000, 7.4319490E-001, 5.4269251E-001, 7.0912328E-001, 6.4378707E-001, 3.6781665E-001, 2.6468297E-001, 2.6722664E-001, 2.4260836E+001, 2.3235576E+001, 2.2383974E+001, 2.1807709E+001, 2.1472502E+001
 1.4000513E+001, 3.9507071E+000, 1.0838349E+001, 1.3258050E+001, 8.3460171E+000, 4.2868923E+000, 1.5468281E+000, 2.5591274E+000, 4.4099615E+000, 2.0615063E+000, 1.3421003E+000, 5.0653559E-001, 1.0358418E+000, 1.6160731E+000, 1.0126526E+000, 6.6597235E-001, 4.0439880E-001, 7.4341821E-001, 1.1234041E+000, 7.3642914E-001, 5.0434194E-001, 1.0816734E+000, 6.7513625E-001, 5.5312490E-001, 3.8603066E-001, 3.8449797E-001, 2.4736112E+001, 2.3580862E+001, 2.2661543E+001, 2.1937056E+001, 2.1613203E+001
