s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
 5.5000628E+000, 1.9980538E+000, 2.0893180E+000, 3.8923236E+000, 2.1516232E+000, 2.0476171E+000, 3.9751450E-001, 5.2314677E-001, 8.7920307E-001, 6.3313523E-001, 3.5729514E-001, 2.5704258E-001, 4.6258956E-001, 5.6086631E-001, 2.3813305E-001, 1.8372833E-001, 1.8312402E-001, 2.8030489E-001, 3.9893096E-001, 1.4417715E-001, 1.3178748E-001
 6.0006502E+000, 2.2911755E+000, 2.4726988E+000, 3.7027846E+000, 2.3712180E+000, 2.1021355E+000, 3.9510671E-001, 6.3505523E-001, 1.3952122E+000, 8.0106009E-001, 4.1022801E-001, 2.7012647E-001, 3.2207163E-001, 5.8478915E-001, 5.8047109E-001, 3.5551300E-001, 2.3630405E-001, 2.9096315E-001, 3.7514071E-001, 3.2297169E-001, 2.6748664E-001
 6.5012676E+000, 2.4388246E+000, 2.6267323E+000, 3.9097039E+000, 2.6639141E+000, 2.3709102E+000, 4.5010040E-001, 5.8026626E-001, 1.3011774E+000, 7.5777881E-001, 4.5354129E-001, 3.0655701E-001, 3.6193280E-001, 6.7645076E-001, 5.0118235E-001, 3.5727040E-001, 2.3067935E-001, 3.7688926E-001, 5.3895857E-001, 4.1924722E-001, 2.7813224E-001
 7.0003474E+000, 2.5744215E+000, 3.0896356E+000, 4.4909048E+000, 3.0721342E+000, 2.5933033E+000, 5.4584921E-001, 7.0679646E-001, 1.4415352E+000, 8.1045117E-001, 5.9121823E-001, 2.7550706E-001, 3.3626137E-001, 7.7329907E-001, 5.1890388E-001, 2.8488979E-001, 2.1782885E-001, 3.1508461E-001, 7.0901368E-001, 3.3365531E-001, 2.4057971E-001
 7.5010411E+000, 2.8213269E+000, 3.4489722E+000, 5.6605389E+000, 3.3703769E+000, 2.5550982E+000, 5.8268231E-001, 1.1746108E+000, 1.4712351E+000, 7.4084745E-001, 5.8932715E-001, 3.5755028E-001, 6.2173029E-001, 9.1402659E-001, 3.0885444E-001, 2.4140949E-001, 2.1390657E-001, 2.3797991E-001, 6.4399486E-001, 2.9979884E-001, 2.1576345E-001
 8.0009176E+000, 3.0967289E+000, 3.5667810E+000, 5.2318005E+000, 3.6084937E+000, 2.9088776E+000, 7.3592083E-001, 1.1608510E+000, 1.1779610E+000, 9.9389164E-001, 7.0061691E-001, 5.1276098E-001, 7.1002440E-001, 8.7818907E-001, 5.2160105E-001, 2.5614106E-001, 4.0385076E-001, 7.0231502E-001, 6.3545400E-001, 2.1665311E-001, 2.1741526E-001
 8.5007594E+000, 3.2457512E+000, 4.1395096E+000, 5.8637325E+000, 4.0931474E+000, 3.1634825E+000, 8.3899160E-001, 1.0701743E+000, 1.7457662E+000, 1.2878673E+000, 8.1196569E-001, 4.9938625E-001, 7.0811916E-001, 6.9947906E-001, 5.2993506E-001, 4.5489531E-001, 3.4842013E-001, 3.6188374E-001, 4.8329290E-001, 3.2176505E-001, 2.2953339E-001
 9.0003317E+000, 3.8223990E+000, 4.4938474E+000, 6.4661273E+000, 4.5587905E+000, 3.1597631E+000, 9.4579990E-001, 1.0285681E+000, 1.6079185E+000, 1.4784305E+000, 8.3968128E-001, 4.0623600E-001, 4.7860546E-001, 7.0868051E-001, 6.8959041E-001, 4.6243262E-001, 4.2000135E-001, 5.0439015E-001, 6.8733547E-001, 4.5713723E-001, 3.9922962E-001
 9.5011209E+000, 3.6479930E+000, 4.8361737E+000, 6.0476404E+000, 4.8426391E+000, 3.4669727E+000, 9.7663708E-001, 1.3360056E+000, 1.5545618E+000, 1.2887618E+000, 9.8824491E-001, 3.5778305E-001, 7.2840022E-001, 8.2571947E-001, 6.0978702E-001, 5.0776880E-001, 2.7660263E-001, 5.5391697E-001, 8.3421691E-001, 5.6976872E-001, 2.3669471E-001
 1.0000235E+001, 3.9770571E+000, 5.0778052E+000, 6.8523685E+000, 5.1502792E+000, 3.5035983E+000, 1.0397570E+000, 1.1786981E+000, 1.9184526E+000, 1.4755253E+000, 1.0762482E+000, 4.8274005E-001, 7.2612402E-001, 8.8630048E-001, 9.2536733E-001, 7.8766920E-001, 3.9038715E-001, 6.1556686E-001, 7.0131606E-001, 6.4781469E-001, 5.3312859E-001
 1.0500569E+001, 3.8310297E+000, 5.1656605E+000, 7.3710514E+000, 5.2787653E+000, 3.6263981E+000, 1.1573274E+000, 1.2517262E+000, 2.1118693E+000, 1.4615816E+000, 1.2897086E+000, 4.5052485E-001, 6.3410684E-001, 1.1782585E+000, 7.0903495E-001, 5.9376189E-001, 4.7811574E-001, 7.4532063E-001, 9.7745978E-001, 6.0100307E-001, 4.9535652E-001
 1.1000172E+001, 4.1137800E+000, 6.2286850E+000, 9.1519454E+000, 5.9206365E+000, 4.0667050E+000, 1.1501484E+000, 1.7848578E+000, 2.4768763E+000, 1.5276525E+000, 1.2855520E+000, 5.3157970E-001, 8.8070723E-001, 1.2159605E+000, 8.1346566E-001, 5.9488553E-001, 2.7996474E-001, 4.1979754E-001, 8.6113482E-001, 4.9291514E-001, 3.3615908E-001
 1.1500817E+001, 4.4656385E+000, 6.3899582E+000, 8.1719286E+000, 6.2971459E+000, 4.4822324E+000, 1.2881559E+000, 1.8753567E+000, 2.6859492E+000, 1.9480915E+000, 1.3890824E+000, 6.9360934E-001, 8.6469749E-001, 9.5708541E-001, 8.1235867E-001, 6.1747364E-001, 5.5063754E-001, 7.6463246E-001, 8.8988356E-001, 5.1804752E-001, 3.6927867E-001
 1.2000961E+001, 5.0290091E+000, 6.6736991E+000, 9.5400541E+000, 6.5420995E+000, 4.5754064E+000, 1.4185458E+000, 2.0714958E+000, 2.7013550E+000, 1.8659770E+000, 1.3458857E+000, 7.9454830E-001, 1.1150757E+000, 1.4751802E+000, 1.0296098E+000, 6.6384581E-001, 5.0824492E-001, 6.9228112E-001, 8.4456089E-001, 6.3398400E-001, 4.9060811E-001
 1.2500657E+001, 4.7348163E+000, 6.9814775E+000, 1.0387154E+001, 6.7609606E+000, 4.7443560E+000, 1.4266423E+000, 1.7298009E+000, 2.1190766E+000, 1.8823997E+000, 1.5464749E+000, 6.6720336E-001, 7.7215405E-001, 1.0936304E+000, 8.3903299E-001, 7.6761795E-001, 4.2959340E-001, 5.4896903E-001, 9.6227171E-001, 7.3855646E-001, 4.8800652E-001
 1.3000870E+001, 5.3782973E+000, 7.1054439E+000, 1.0231982E+001, 7.2160353E+000, 5.4548844E+000, 1.5053760E+000, 2.1723314E+000, 2.9924646E+000, 1.6774225E+000, 1.3197468E+000, 9.4600586E-001, 7.9293559E-001, 1.5247591E+000, 6.9689484E-001, 5.9612995E-001, 3.5154190E-001, 5.6697270E-001, 1.0362152E+000, 5.5518999E-001, 4.8132636E-001
 1.3500230E+001, 5.5955998E+000, 7.0812477E+000, 9.4898155E+000, 7.0993162E+000, 5.6025119E+000, 1.4930103E+000, 1.9741823E+000, 2.2429685E+000, 2.2210992E+000, 1.6977851E+000, 6.6313270E-001, 8.4048708E-001, 1.4348280E+000, 1.0456211E+000, 7.9052785E-001, 5.2980413E-001, 7.7512532E-001, 1.2270992E+000, 7.9831897E-001, 4.5521808E-001
 1.4000669E+001, 6.2706729E+000, 8.4980914E+000, 1.3073717E+001, 7.8143024E+000, 5.9576905E+000, 1.5545329E+000, 2.2906868E+000, 3.4839295E+000, 2.2977302E+000, 1.5484384E+000, 8.1004494E-001, 1.2378935E+000, 1.6168282E+000, 6.7815197E-001, 6.5093916E-001, 5.2616051E-001, 7.1243389E-001, 9.7531831E-001, 6.2070029E-001, 5.2635985E-001
 1.4500319E+001, 6.8100356E+000, 8.6352362E+000, 1.3794158E+001, 8.5602275E+000, 6.6620641E+000, 1.9094539E+000, 2.3862182E+000, 3.0089783E+000, 2.3106026E+000, 1.9093834E+000, 7.2931732E-001, 1.0466457E+000, 1.6499418E+000, 1.0848446E+000, 9.6929016E-001, 5.4588086E-001, 7.4453864E-001, 1.1359489E+000, 5.8026032E-001, 4.5197977E-001
 1.5000802E+001, 6.8775689E+000, 8.6290661E+000, 1.6758393E+001, 8.4057995E+000, 7.1901433E+000, 1.8049704E+000, 2.3776115E+000, 3.2326687E+000, 2.2441251E+000, 1.8124141E+000, 8.1688558E-001, 9.2890559E-001, 1.6517066E+000, 1.0094327E+000, 9.1734685E-001, 4.0329251E-001, 6.0530172E-001, 1.3076776E+000, 1.1624554E+000, 7.3532036E-001
 1.5500209E+001, 6.7821705E+000, 9.0685982E+000, 1.2312789E+001, 8.5535996E+000, 6.7037317E+000, 1.8876287E+000, 2.5393496E+000, 2.9176282E+000, 2.4992749E+000, 1.9393111E+000, 9.3473546E-001, 1.1611094E+000, 1.4796044E+000, 9.9144523E-001, 1.0541223E+000, 5.7000132E-001, 8.6111013E-001, 1.1017380E+000, 6.5851456E-001, 5.4951968E-001
 1.6000577E+001, 7.9630495E+000, 8.9204132E+000, 1.3348984E+001, 9.3142515E+000, 8.6415136E+000, 2.2159438E+000, 2.6101815E+000, 3.4894073E+000, 2.4329575E+000, 2.3126172E+000, 1.0847489E+000, 1.1978321E+000, 1.5194416E+000, 1.0196603E+000, 9.6943835E-001, 8.3858778E-001, 1.0582045E+000, 1.1529971E+000, 7.4576224E-001, 6.1687480E-001
 1.6500860E+001, 7.2499375E+000, 9.5715681E+000, 1.4386136E+001, 9.1033392E+000, 8.3588870E+000, 2.0666809E+000, 2.4563562E+000, 3.5471009E+000, 2.4741970E+000, 2.3512594E+000, 1.0571448E+000, 1.3483287E+000, 1.5701301E+000, 1.3164055E+000, 1.1285541E+000, 5.6283845E-001, 6.7494511E-001, 9.1656851E-001, 9.9083133E-001, 8.7611216E-001
 1.7000955E+001, 7.5976818E+000, 9.6959681E+000, 1.5531514E+001, 9.5940948E+000, 8.4990179E+000, 2.1180620E+000, 2.7691759E+000, 3.5406252E+000, 2.8400572E+000, 2.1761580E+000, 9.8058598E-001, 1.2753275E+000, 2.2180663E+000, 1.1657224E+000, 1.0256146E+000, 9.6206379E-001, 1.3862514E+000, 1.6138688E+000, 9.1245903E-001, 6.0938487E-001
 1.7500471E+001, 9.3480051E+000, 1.0173932E+001, 1.8730244E+001, 9.8476499E+000, 9.2974954E+000, 2.4436683E+000, 3.1395210E+000, 4.4875047E+000, 3.0458088E+000, 2.3181897E+000, 9.8380783E-001, 1.4191563E+000, 2.1124758E+000, 1.3770164E+000, 1.1397608E+000, 7.4595755E-001, 1.0096762E+000, 1.4365287E+000, 8.2871842E-001, 6.5350468E-001
 1.8000486E+001, 8.6109279E+000, 1.0518885E+001, 1.9016048E+001, 1.1719298E+001, 9.5990084E+000, 2.6025267E+000, 2.7051928E+000, 4.4124160E+000, 2.8760763E+000, 2.4993936E+000, 1.0758448E+000, 1.1321538E+000, 2.0615318E+000, 1.5296901E+000, 1.2483955E+000, 5.5450080E-001, 8.3882801E-001, 1.5134267E+000, 9.6515994E-001, 7.2533380E-001
 1.8500834E+001, 9.4527750E+000, 1.1124959E+001, 1.8861925E+001, 1.1288958E+001, 9.6647294E+000, 2.4801320E+000, 2.9277582E+000, 4.3290777E+000, 3.0489511E+000, 2.3015655E+000, 1.0730997E+000, 1.7750283E+000, 2.4054971E+000, 1.3116103E+000, 9.5610043E-001, 6.9915546E-001, 1.1517550E+000, 1.7296856E+000, 1.1580492E+000, 7.6809058E-001
 1.9000002E+001, 9.7074149E+000, 1.1674005E+001, 1.9731060E+001, 1.1909751E+001, 9.0048445E+000, 2.7515307E+000, 2.7603250E+000, 4.5923219E+000, 3.0918940E+000, 2.5625518E+000, 1.3304588E+000, 1.3683030E+000, 2.0288022E+000, 1.4290653E+000, 1.2746693E+000, 8.7546796E-001, 1.0443517E+000, 1.5131961E+000, 1.1162739E+000, 8.2807322E-001
 1.9500491E+001, 1.1460920E+001, 1.1056734E+001, 1.7385544E+001, 1.1693291E+001, 1.1254848E+001, 2.5862163E+000, 2.8219211E+000, 3.9405528E+000, 3.9059158E+000, 2.8988661E+000, 1.1690501E+000, 1.4435789E+000, 2.0129909E+000, 1.5058930E+000, 1.0809359E+000, 9.7146307E-001, 1.3339103E+000, 1.2879950E+000, 8.9860442E-001, 5.6157025E-001
 2.0000213E+001, 1.1404607E+001, 1.2435587E+001, 2.6524553E+001, 1.3467523E+001, 1.1048063E+001, 3.0391465E+000, 3.1881274E+000, 4.2940805E+000, 3.0526042E+000, 2.8388553E+000, 1.1981029E+000, 1.6571988E+000, 2.1048741E+000, 1.2536627E+000, 1.2107634E+000, 8.3387633E-001, 9.5147868E-001, 1.3969485E+000, 1.2779810E+000, 9.3720185E-001
 2.0500420E+001, 1.2883192E+001, 1.1867060E+001, 2.0698943E+001, 1.2585555E+001, 1.1516776E+001, 3.4279247E+000, 3.2773778E+000, 5.3515467E+000, 4.1859401E+000, 3.7344722E+000, 1.1777460E+000, 1.2811388E+000, 2.3512634E+000, 1.6534149E+000, 1.3614068E+000, 8.1915718E-001, 1.0092360E+000, 1.4995251E+000, 1.2432674E+000, 8.4101527E-001
 2.1000112E+001, 1.1494417E+001, 1.2236243E+001, 2.0277994E+001, 1.3965102E+001, 1.1007601E+001, 3.0885467E+000, 3.3466093E+000, 5.2415220E+000, 3.6517326E+000, 2.5589766E+000, 1.3739134E+000, 1.5847397E+000, 2.2251555E+000, 1.3847665E+000, 1.1919556E+000, 8.8880576E-001, 1.0211731E+000, 1.4009120E+000, 1.1504972E+000, 9.5845033E-001
 2.1500357E+001, 1.3668792E+001, 1.4035418E+001, 2.5294941E+001, 1.4923678E+001, 1.3084107E+001, 3.4711128E+000, 4.2963747E+000, 6.3272359E+000, 4.3013024E+000, 3.0421813E+000, 1.2947212E+000, 1.5282330E+000, 3.3006352E+000, 1.8313386E+000, 1.5459379E+000, 9.0310099E-001, 1.2948050E+000, 1.7941834E+000, 1.4378977E+000, 1.1675801E+000
 2.2000610E+001, 1.1236025E+001, 1.5504222E+001, 2.6976328E+001, 1.5584449E+001, 1.0871725E+001, 3.2061468E+000, 3.5418317E+000, 4.8723594E+000, 3.4691764E+000, 3.0365119E+000, 1.4517482E+000, 1.3747787E+000, 2.2321154E+000, 2.1904832E+000, 1.5677436E+000, 7.6832500E-001, 1.0804181E+000, 1.5040603E+000, 1.2476298E+000, 9.9204146E-001
 2.2500518E+001, 1.4498511E+001, 1.3384535E+001, 1.6676695E+001, 1.2611631E+001, 1.3899727E+001, 3.3451862E+000, 3.4543809E+000, 4.5904159E+000, 3.6312852E+000, 3.3001091E+000, 1.2129675E+000, 1.2944363E+000, 2.5750083E+000, 1.6761272E+000, 1.3836702E+000, 7.6912533E-001, 1.2218681E+000, 2.0256785E+000, 1.5869700E+000, 1.2483153E+000
 2.3000357E+001, 1.2126961E+001, 1.7846403E+001, 2.7064443E+001, 1.7516601E+001, 1.2402480E+001, 3.7052072E+000, 4.9388102E+000, 6.3613715E+000, 4.5454255E+000, 3.1550072E+000, 2.1112823E+000, 2.6797566E+000, 3.0761393E+000, 1.5078368E+000, 1.3158493E+000, 9.7934521E-001, 1.3071157E+000, 1.4056323E+000, 1.0194033E+000, 8.5363784E-001
 2.3500452E+001, 1.5014209E+001, 1.5778570E+001, 2.5986935E+001, 1.6198261E+001, 1.4470097E+001, 3.6821038E+000, 3.6355444E+000, 5.1204254E+000, 3.9538509E+000, 3.6757252E+000, 2.0203700E+000, 2.1646353E+000, 2.9239457E+000, 1.9682659E+000, 1.8457667E+000, 1.3356379E+000, 1.6400240E+000, 2.4068516E+000, 1.5025240E+000, 1.0623491E+000
 2.4000096E+001, 1.2929907E+001, 1.6309656E+001, 2.6064423E+001, 1.6403718E+001, 1.5290180E+001, 2.8311233E+000, 3.8623317E+000, 6.0453073E+000, 3.7673272E+000, 3.4231430E+000, 1.1191829E+000, 1.6657889E+000, 2.6983217E+000, 1.5604806E+000, 1.0155484E+000, 1.1094419E+000, 1.7284727E+000, 1.6964707E+000, 1.2859313E+000, 6.7711693E-001
 2.4500446E+001, 1.4009958E+001, 1.2667067E+001, 1.8144775E+001, 1.4451455E+001, 1.3231167E+001, 3.0603343E+000, 3.2653639E+000, 4.2048881E+000, 3.5090419E+000, 3.1509952E+000, 1.4487562E+000, 1.4223488E+000, 2.2439300E+000, 1.4263581E+000, 1.5804536E+000, 1.0073420E+000, 1.0766698E+000, 1.8720209E+000, 1.1855807E+000, 8.4917275E-001
 2.5000520E+001, 1.5355776E+001, 1.9457819E+001, 3.2701689E+001, 1.9502941E+001, 1.5501477E+001, 3.7284863E+000, 4.9041915E+000, 8.1013753E+000, 5.4881473E+000, 3.6553992E+000, 1.8255160E+000, 3.3281483E+000, 3.1492596E+000, 2.7461245E+000, 1.6307269E+000, 2.4357371E+000, 1.9946273E+000, 1.5516368E+000, 1.2949145E+000, 9.6235241E-001
 2.5500620E+001, 1.3542883E+001, 1.9203893E+001, 2.6606157E+001, 1.7340815E+001, 1.4984486E+001, 3.3682801E+000, 3.8633313E+000, 5.9126304E+000, 4.2442000E+000, 3.1158671E+000, 1.4791395E+000, 1.6768937E+000, 2.4146780E+000, 2.1286120E+000, 1.6139200E+000, 1.0022709E+000, 1.1215114E+000, 1.4304708E+000, 1.2212367E+000, 1.1141487E+000
 2.6000319E+001, 1.7257719E+001, 1.5914795E+001, 2.6979996E+001, 1.5607936E+001, 1.8481245E+001, 4.0623837E+000, 4.3418900E+000, 6.4026379E+000, 3.9937260E+000, 3.9811756E+000, 1.8086624E+000, 2.6785480E+000, 3.2097560E+000, 2.4711742E+000, 2.1065201E+000, 1.4929706E+000, 1.8218172E+000, 2.1573624E+000, 2.6116983E+000, 1.6705428E+000
 2.6500466E+001, 1.5641777E+001, 2.2780170E+001, 2.5669617E+001, 1.9802113E+001, 1.6665769E+001, 3.2388636E+000, 4.6148949E+000, 6.4609393E+000, 4.1280885E+000, 3.6308690E+000, 1.4314833E+000, 1.8842270E+000, 2.4023823E+000, 1.9057941E+000, 1.3445144E+000, 1.0275087E+000, 1.2714831E+000, 1.4631060E+000, 1.1819825E+000, 8.5217227E-001
 2.7000898E+001, 1.6496188E+001, 1.6590371E+001, 2.9382209E+001, 1.6799092E+001, 1.7743554E+001, 3.9385986E+000, 3.7399842E+000, 4.5969850E+000, 4.0469890E+000, 3.5417548E+000, 1.7941081E+000, 1.7504918E+000, 2.5460083E+000, 1.9508968E+000, 1.7969129E+000, 1.0677819E+000, 1.1988348E+000, 1.4803202E+000, 1.9262741E+000, 1.1881936E+000
 2.7500359E+001, 1.5975352E+001, 1.8803487E+001, 3.1281929E+001, 1.7464838E+001, 1.7911815E+001, 4.2436379E+000, 5.4006614E+000, 6.2812300E+000, 5.8837957E+000, 4.5780564E+000, 1.4455674E+000, 1.7640209E+000, 3.2609974E+000, 2.5329104E+000, 2.0460528E+000, 1.1476345E+000, 1.4443655E+000, 2.1895747E+000, 1.6738869E+000, 1.2596086E+000
 2.8000565E+001, 1.5368908E+001, 2.0286560E+001, 2.6171594E+001, 1.7354992E+001, 1.6652259E+001, 3.8241306E+000, 4.2818681E+000, 6.5308969E+000, 4.5946706E+000, 3.7908542E+000, 1.8485387E+000, 2.0409412E+000, 2.3430563E+000, 1.5033693E+000, 1.3516457E+000, 1.3681672E+000, 1.8014506E+000, 1.5658140E+000, 1.2945104E+000, 1.0050975E+000
 2.8500101E+001, 1.7429260E+001, 2.0434441E+001, 2.6305274E+001, 1.8616531E+001, 1.7747866E+001, 4.2198670E+000, 4.6935282E+000, 5.8550863E+000, 4.5320372E+000, 3.9049278E+000, 1.7522662E+000, 1.7608957E+000, 3.2273314E+000, 2.7618130E+000, 2.2452808E+000, 1.0081169E+000, 9.9189147E-001, 1.8105387E+000, 1.9627269E+000, 1.8779352E+000
 2.9000077E+001, 1.7969926E+001, 1.9974240E+001, 2.9562765E+001, 2.0426890E+001, 1.9526963E+001, 4.0389122E+000, 4.6484125E+000, 7.1995936E+000, 5.3302442E+000, 3.8809104E+000, 1.6604001E+000, 1.9920715E+000, 4.1640742E+000, 2.4682874E+000, 1.7208930E+000, 1.1514293E+000, 1.5175921E+000, 2.8811017E+000, 1.8715619E+000, 1.2775539E+000
 2.9500317E+001, 1.4841223E+001, 2.5044376E+001, 2.7566884E+001, 2.3547397E+001, 1.5399379E+001, 3.8035857E+000, 4.6030126E+000, 6.5520926E+000, 4.2698268E+000, 3.5095343E+000, 1.9503338E+000, 2.3020648E+000, 2.8069810E+000, 2.3556609E+000, 1.6911210E+000, 1.3669669E+000, 1.5917405E+000, 2.2491562E+000, 1.6540223E+000, 1.3687930E+000
 3.0000663E+001, 1.7442995E+001, 1.8284314E+001, 2.9306513E+001, 1.7608997E+001, 2.1747656E+001, 4.2431904E+000, 5.3655179E+000, 6.9988222E+000, 4.6041643E+000, 4.3415342E+000, 1.7658702E+000, 2.7114124E+000, 3.8605449E+000, 1.7536434E+000, 1.2989543E+000, 1.0984051E+000, 1.7115080E+000, 2.4364897E+000, 1.0312039E+000, 9.3267878E-001
 3.0500243E+001, 2.0907710E+001, 2.2738205E+001, 3.1430437E+001, 2.3184831E+001, 2.0079066E+001, 4.3630410E+000, 5.0018175E+000, 6.9264853E+000, 5.1777894E+000, 5.0345322E+000, 1.6290655E+000, 2.0818725E+000, 2.6759781E+000, 2.2305212E+000, 1.4915026E+000, 1.0318158E+000, 1.4608199E+000, 1.6505229E+000, 1.2311849E+000, 8.3459694E-001
 3.1000674E+001, 1.8630316E+001, 1.9177976E+001, 2.5460873E+001, 1.9569673E+001, 2.0357483E+001, 4.7290448E+000, 4.5932960E+000, 6.5094155E+000, 4.7800921E+000, 4.0888288E+000, 1.9109591E+000, 2.0805561E+000, 3.4111294E+000, 2.3850452E+000, 1.9541739E+000, 1.0723282E+000, 1.1892312E+000, 2.4015585E+000, 1.6994308E+000, 1.2132067E+000
 3.1500645E+001, 2.0816549E+001, 2.1321934E+001, 3.4158366E+001, 2.4288688E+001, 2.4358119E+001, 4.5971535E+000, 6.3502981E+000, 7.7895463E+000, 5.8452745E+000, 4.7318907E+000, 2.0673264E+000, 2.9423090E+000, 3.4080378E+000, 2.4403931E+000, 2.0158996E+000, 1.4721234E+000, 1.4984559E+000, 1.5790740E+000, 1.4516504E+000, 1.3186339E+000
