s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C
Time,"HF_y-25_z20","HF_y-15_z20","HF_y0_z20","HF_y15_z20","HF_y25_z20","HF_y-25_z50","HF_y-15_z50","HF_y0_z50","HF_y15_z50","HF_y25_z50","HF_y-25_z75","HF_y-15_z75","HF_y0_z75","HF_y15_z75","HF_y25_z75","HF_y-25_z100","HF_y-15_z100","HF_y0_z100","HF_y15_z100","HF_y25_z100","Flux-1","Flux-2","Flux-3","Flux-4","Flux-5","Temp-1","Temp-2","Temp-3","Temp-4","Temp-5"
 9.5003549E+000, 1.7851197E+000, 3.7557895E+000, 6.1334433E+000, 2.5338649E+000, 1.4916872E+000, 7.5023976E-001, 1.2857373E+000, 1.3328034E+000, 6.6335761E-001, 5.1072028E-001, 4.0894164E-001, 5.7471848E-001, 5.5910685E-001, 4.1535790E-001, 2.6767886E-001, 3.8342502E-001, 4.6732971E-001, 3.6119415E-001, 2.7085959E-001, 2.1205531E-001, 3.2509914E-001, 2.7382613E-001, 1.7753997E-001, 7.7031625E-002, 6.2796069E-002, 2.1985611E+001, 2.1417450E+001, 2.0989384E+001, 2.0681173E+001, 2.0574248E+001
 1.0000456E+001, 1.8269160E+000, 3.2393306E+000, 7.8576695E+000, 2.7685565E+000, 1.5892608E+000, 7.9724805E-001, 1.1439915E+000, 1.7452127E+000, 7.3594642E-001, 5.5979563E-001, 4.6601961E-001, 7.8429642E-001, 8.9416876E-001, 3.7761256E-001, 3.2898566E-001, 3.5342804E-001, 6.0998217E-001, 4.3330748E-001, 1.8864627E-001, 1.4929425E-001, 2.4269047E-001, 2.3177362E-001, 2.4493335E-001, 2.0490394E-001, 1.7523167E-001, 2.1984246E+001, 2.1550979E+001, 2.1290428E+001, 2.0954364E+001, 2.0765673E+001
 1.0501926E+001, 2.0458575E+000, 3.8055072E+000, 7.1069147E+000, 2.8652220E+000, 1.6739675E+000, 6.5204145E-001, 1.0727907E+000, 2.0101814E+000, 7.3563178E-001, 5.8506347E-001, 3.3138427E-001, 6.9989132E-001, 8.8113252E-001, 2.9770859E-001, 2.8043919E-001, 4.0629089E-001, 6.3523970E-001, 4.4805441E-001, 1.6546641E-001, 1.2761129E-001, 3.1767574E-001, 2.0941555E-001, 1.6246498E-001, 1.7556714E-001, 1.6444725E-001, 2.2160557E+001, 2.1561879E+001, 2.1266981E+001, 2.1030736E+001, 2.0859558E+001
 1.1001464E+001, 2.0392103E+000, 3.8257105E+000, 8.2328710E+000, 3.1717736E+000, 1.8014410E+000, 7.2106877E-001, 1.0838367E+000, 1.9593483E+000, 8.4269115E-001, 6.2453884E-001, 3.3584581E-001, 5.0302278E-001, 9.1977871E-001, 3.4144679E-001, 2.7137904E-001, 2.8862735E-001, 3.4435956E-001, 3.7480263E-001, 2.8771671E-001, 1.5067985E-001, 2.4804155E-001, 1.8638842E-001, 1.3903832E-001, 1.0648180E-001, 1.1624732E-001, 2.2143739E+001, 2.1622865E+001, 2.1249629E+001, 2.0997177E+001, 2.0909446E+001
 1.1502047E+001, 2.1318806E+000, 3.8237047E+000, 1.2502368E+001, 3.4671149E+000, 1.9626951E+000, 7.7927212E-001, 1.1935639E+000, 1.8993368E+000, 1.2680623E+000, 7.1235544E-001, 5.1987294E-001, 6.6433333E-001, 9.4276558E-001, 6.4766353E-001, 3.9279711E-001, 4.3835200E-001, 4.9058810E-001, 7.2619641E-001, 4.9590842E-001, 1.8896921E-001, 4.4604199E-001, 2.9784207E-001, 1.7612115E-001, 1.2423336E-001, 7.2273790E-002, 2.2588339E+001, 2.1835252E+001, 2.1300237E+001, 2.0998441E+001, 2.0810026E+001
 1.2001713E+001, 2.2805592E+000, 4.0992770E+000, 1.0834567E+001, 3.7718290E+000, 2.1558437E+000, 7.7569457E-001, 1.3070623E+000, 2.0545871E+000, 1.0718989E+000, 7.6863378E-001, 3.5350687E-001, 5.0115494E-001, 7.7288299E-001, 1.0435989E+000, 5.1811190E-001, 2.1967961E-001, 2.3513221E-001, 5.6782801E-001, 5.4337316E-001, 4.6699505E-001, 2.5288837E-001, 2.4691908E-001, 2.3392439E-001, 1.4594096E-001, 1.2773934E-001, 2.2512084E+001, 2.1942270E+001, 2.1518221E+001, 2.1078908E+001, 2.0903964E+001
 1.2501281E+001, 2.3742044E+000, 4.2742786E+000, 1.3714390E+001, 4.8625793E+000, 2.4587092E+000, 9.5144113E-001, 1.4453328E+000, 2.4646455E+000, 1.8168568E+000, 1.0744704E+000, 4.4758029E-001, 9.0526924E-001, 9.9543127E-001, 1.0075057E+000, 4.6130037E-001, 2.7475457E-001, 4.3760899E-001, 5.9096993E-001, 7.4376540E-001, 5.1939596E-001, 4.0634263E-001, 2.4616386E-001, 2.4295776E-001, 2.2572602E-001, 1.7713226E-001, 2.2813205E+001, 2.1972507E+001, 2.1643545E+001, 2.1291095E+001, 2.1061248E+001
 1.3001156E+001, 2.4816907E+000, 4.5847582E+000, 1.2418625E+001, 4.8614045E+000, 2.7454557E+000, 8.9790177E-001, 1.3580835E+000, 2.7917760E+000, 1.2679490E+000, 9.1485552E-001, 4.8694251E-001, 8.7702265E-001, 9.5001429E-001, 6.4125308E-001, 4.8369520E-001, 2.7463671E-001, 6.0256453E-001, 4.8421685E-001, 4.8445674E-001, 3.1693227E-001, 3.8594746E-001, 3.2671529E-001, 2.6034438E-001, 1.5596554E-001, 1.6698921E-001, 2.2998634E+001, 2.2198896E+001, 2.1763468E+001, 2.1333881E+001, 2.1182065E+001
 1.3500190E+001, 2.5578973E+000, 4.4894407E+000, 1.2760196E+001, 5.8217809E+000, 2.8916790E+000, 9.5112005E-001, 1.5894580E+000, 2.6351838E+000, 1.3631805E+000, 8.9791787E-001, 6.8484191E-001, 8.9649659E-001, 1.4941315E+000, 5.5669975E-001, 4.3927406E-001, 5.9972320E-001, 7.4850321E-001, 6.5523477E-001, 3.8053668E-001, 2.8208837E-001, 4.1596912E-001, 3.9784186E-001, 3.5670683E-001, 2.1392153E-001, 1.1738806E-001, 2.3131459E+001, 2.2459314E+001, 2.2029155E+001, 2.1431366E+001, 2.1099912E+001
 1.4002285E+001, 2.7205455E+000, 4.7000179E+000, 1.3046091E+001, 5.1227908E+000, 2.8651775E+000, 1.2472978E+000, 2.1053806E+000, 3.2764460E+000, 1.7235636E+000, 1.2538734E+000, 8.1716416E-001, 1.1109163E+000, 1.3225604E+000, 9.9213600E-001, 6.7021485E-001, 5.2707722E-001, 4.1916723E-001, 8.1222446E-001, 5.6150056E-001, 3.4669945E-001, 5.3567270E-001, 2.7812591E-001, 2.0600665E-001, 3.0357094E-001, 2.8882274E-001, 2.3436990E+001, 2.2486642E+001, 2.2105167E+001, 2.1817645E+001, 2.1483175E+001
 1.4501009E+001, 2.8433107E+000, 5.2876589E+000, 1.3781181E+001, 5.3316513E+000, 3.0297137E+000, 1.0356885E+000, 1.6709016E+000, 3.4895866E+000, 2.1583177E+000, 1.3589237E+000, 4.7626025E-001, 6.4351430E-001, 1.7940952E+000, 1.4401837E+000, 8.9585966E-001, 3.0764504E-001, 5.2687428E-001, 9.0172326E-001, 8.3178008E-001, 6.4115140E-001, 6.2252217E-001, 4.5014472E-001, 2.9180388E-001, 1.4446343E-001, 8.1902816E-002, 2.3986275E+001, 2.2915386E+001, 2.2155949E+001, 2.1573326E+001, 2.1285259E+001
 1.5001101E+001, 2.8800019E+000, 5.0291157E+000, 1.7557766E+001, 6.3913479E+000, 3.3623440E+000, 1.0610540E+000, 1.5563184E+000, 3.8617861E+000, 2.2166909E+000, 1.1671828E+000, 6.5786895E-001, 9.2775917E-001, 1.2014515E+000, 1.2582991E+000, 7.2672274E-001, 3.4455459E-001, 4.1019109E-001, 4.8305409E-001, 7.9281703E-001, 5.7434559E-001, 3.1636693E-001, 2.5059115E-001, 2.2715605E-001, 1.9369550E-001, 1.2934802E-001, 2.3757063E+001, 2.2773410E+001, 2.2201867E+001, 2.1660015E+001, 2.1291276E+001
 1.5500202E+001, 3.1946411E+000, 5.6545870E+000, 1.9314925E+001, 6.4354263E+000, 3.4054111E+000, 1.1134880E+000, 1.6445893E+000, 3.6251795E+000, 1.7484860E+000, 1.1514702E+000, 5.9446126E-001, 8.1688993E-001, 1.3164719E+000, 9.8620273E-001, 5.9923468E-001, 4.1915023E-001, 5.4659034E-001, 8.0751968E-001, 6.8396730E-001, 4.4254743E-001, 4.2117033E-001, 3.2572217E-001, 2.2427606E-001, 1.6243740E-001, 1.7318116E-001, 2.3871499E+001, 2.2832877E+001, 2.2189581E+001, 2.1675681E+001, 2.1395261E+001
 1.6000989E+001, 3.4232485E+000, 6.5262534E+000, 1.5437536E+001, 6.2996105E+000, 3.2994233E+000, 1.2418135E+000, 2.1079625E+000, 3.3194741E+000, 1.7900192E+000, 1.1591965E+000, 6.5736527E-001, 1.4643846E+000, 1.2509924E+000, 6.9798113E-001, 5.4945947E-001, 5.1174790E-001, 9.2464472E-001, 8.6577520E-001, 9.1322362E-001, 6.9460397E-001, 7.0742022E-001, 4.6704834E-001, 2.3366855E-001, 1.6578142E-001, 1.5757291E-001, 2.4511375E+001, 2.3158026E+001, 2.2249914E+001, 2.1708308E+001, 2.1445348E+001
 1.6502377E+001, 3.6837141E+000, 7.0099692E+000, 1.5561247E+001, 6.1391223E+000, 3.4953290E+000, 1.2934813E+000, 2.0607713E+000, 3.3416380E+000, 1.6762086E+000, 1.2113670E+000, 6.8595591E-001, 1.6520783E+000, 1.5199068E+000, 7.5852134E-001, 5.9901710E-001, 6.5860311E-001, 1.0958056E+000, 9.1787900E-001, 4.4103150E-001, 3.8863848E-001, 4.9494275E-001, 3.5968863E-001, 2.9923958E-001, 2.9007888E-001, 2.2265609E-001, 2.4461841E+001, 2.3265397E+001, 2.2446818E+001, 2.1942480E+001, 2.1586172E+001
 1.7002022E+001, 3.7339160E+000, 6.7668708E+000, 1.8934964E+001, 6.4719306E+000, 3.6615370E+000, 1.4564535E+000, 2.8208784E+000, 3.6905690E+000, 1.9617840E+000, 1.2743516E+000, 1.0934224E+000, 1.3200921E+000, 1.2054279E+000, 1.1324513E+000, 6.6620084E-001, 7.6271824E-001, 8.5956906E-001, 6.1200727E-001, 5.2776172E-001, 5.8306006E-001, 4.5389165E-001, 3.7427482E-001, 2.9496831E-001, 1.7141456E-001, 1.8359572E-001, 2.4544033E+001, 2.3426378E+001, 2.2579423E+001, 2.1924010E+001, 2.1688644E+001
