r,Tmean02,Tmean04,Tmean06,Tmean08,Tmean10,Tmean12,Tmean14,Tmean16,Tmean18,Tmean20,Tmean30,Trms02,Trms04,Trms06,Trms08,Trms10,Trms12,Trms14,Trms16,Trms18,Trms20,Trms30,Wmean02,Wmean04,Wmean06,Wmean08,Wmean10,Wmean12,Wmean14,Wmean16,Wmean18,Wmean20,Wmean30,Wrms02,Wrms04,Wrms06,Wrms08,Wrms10,Wrms12,Wrms14,Wrms16,Wrms18,Wrms20,Wrms30,Vmean02,Vmean04,Vmean06,Vmean08,Vmean10,Vmean12,Vmean14,Vmean16,Vmean18,Vmean20,Vmean30,Vrms02,Vrms04,Vrms06,Vrms08,Vrms10,Vrms12,Vrms14,Vrms16,Vrms18,Vrms20,Vrms30
-46.2121,298.181,298.182,298.183,298.183,298.183,298.182,298.182,298.181,298.18,298.178,298.169,0.0276745189660091,0.0282419546065778,0.0287810006775303,0.0296221707509764,0.0306120727818291,0.0314535848513329,0.0316138735367876,0.0319845275094068,0.0325213775845981,0.0330882154248306,0.0334305249734431,0.0204106,0.0206244,0.0206879,0.0206396,0.0204754,0.0202223,0.0198934,0.0194904,0.0190081,0.0184541,0.0152151,0.0127347555924721,0.0134562253251051,0.0143300732726668,0.0153913936990774,0.0165999397589268,0.0179432159882224,0.0194121096226041,0.0210089980722547,0.0227246342104774,0.0245282082509098,0.0349699871318249,-0.000111803,-3.00871e-05,6.18003e-06,1.08312e-05,1.54825e-05,8.24657e-06,-4.41474e-06,-5.23521e-06,-7.74404e-06,-2.01211e-05,-0.000196131,0.00115845586881849,0.00115217186218029,0.00119507740335093,0.0013020138248114,0.00142129166605592,0.00155256561858106,0.0016976483734861,0.00185786705660012,0.00203365680487146,0.00222848603316242,0.00367424822242592
-44.697,298.185,298.186,298.187,298.187,298.187,298.187,298.186,298.186,298.185,298.183,298.172,0.0283968308090885,0.0290536916759299,0.0297523612508318,0.0305925481122446,0.0315968511089317,0.0324581268714016,0.032821639203428,0.0332755165249166,0.0338943948168425,0.0344991304238237,0.0357317785731413,0.0224264,0.0226877,0.0228195,0.0227763,0.0225949,0.0222978,0.0218928,0.0213954,0.0208219,0.0201721,0.0163663,0.0136239862008151,0.0144562789126386,0.0155005806342859,0.0166987125252218,0.0180702241269996,0.0196037496413314,0.0212950698519634,0.0231367240550602,0.025111929436027,0.0272030696797255,0.0388302716961908,-0.000108992,-4.43545e-05,-5.16342e-05,-5.07889e-05,-4.70086e-05,-5.2072e-05,-6.57163e-05,-7.73167e-05,-8.88186e-05,-0.000104785,-0.000239238,0.00122954869769359,0.00126255692940952,0.00136836033266096,0.00148790120639779,0.00162155172597115,0.00176864354803335,0.00193261222183862,0.00211807223672848,0.00232059690597053,0.00254709049701812,0.00416894471059524
-43.1818,298.188,298.189,298.191,298.191,298.192,298.191,298.191,298.19,298.189,298.188,298.176,0.0293379106277185,0.0299930658652963,0.030800405841482,0.0316494865677154,0.032616713507035,0.0334816367580798,0.0340361572449065,0.0345681934731915,0.035277896762704,0.0358882989287595,0.0380525951808809,0.0247077,0.024871,0.0250408,0.0250207,0.0248375,0.0245015,0.024009,0.0233955,0.0227168,0.0219571,0.0174956,0.014624670936469,0.0155288441295545,0.0166769601546565,0.018015132527961,0.0195567124026509,0.0212918059356176,0.023222252259417,0.0253284030290107,0.0275809898299535,0.0299693676943642,0.0433142009045532,-9.77536e-05,-8.18031e-06,-1.29088e-05,-1.35751e-05,-8.09893e-06,-7.21252e-06,-1.92702e-05,-4.62564e-05,-7.06696e-05,-9.31648e-05,-0.000314427,0.00130865961961084,0.00132152184998962,0.00143604665662366,0.00156458301154014,0.00170982455240297,0.00187055874005603,0.00205086567088145,0.00226002212378552,0.00248949794135283,0.00274451635083488,0.00475243095688933
-41.6667,298.191,298.192,298.194,298.194,298.195,298.196,298.195,298.194,298.194,298.192,298.18,0.0304530786620992,0.031233619706976,0.0320995327068791,0.033005908561953,0.0339914695181012,0.0349153261476962,0.0355572777360697,0.0361807960111438,0.0368998644983962,0.0375134642495198,0.0401893020591301,0.0272252,0.0273878,0.0274854,0.027422,0.0271751,0.0267659,0.0261936,0.0254884,0.0247058,0.0238367,0.0187575,0.0156954133427572,0.0167114332120258,0.0179920538016092,0.0195067167919155,0.0212538231854883,0.0232317239997379,0.0254348383128338,0.0278371155114893,0.0304112479191499,0.0331469455606395,0.0487165269698077,-0.000144569,-5.18232e-05,-3.08456e-05,-3.64072e-05,-3.53134e-05,-3.56588e-05,-4.85862e-05,-7.77195e-05,-0.000113635,-0.000144219,-0.000468084,0.00138928758721872,0.00141742724681022,0.00151987170511198,0.00166315363090726,0.001825467063521,0.00200666389811548,0.00220886622501228,0.00244014548746586,0.00270006296222884,0.00299126728996257,0.00533846419862492
-40.1515,298.193,298.195,298.196,298.198,298.199,298.199,298.199,298.199,298.198,298.197,298.185,0.0317159265984773,0.032697859257144,0.0337094942115719,0.0347302461839821,0.0358025138782181,0.0367626168818271,0.0375141306709885,0.0381984292870793,0.0388376106371131,0.0394054564749604,0.0422369506475077,0.0298711,0.0301863,0.030248,0.0300569,0.0296602,0.0291268,0.0284832,0.0277189,0.026824,0.0258453,0.0200981,0.0168127927483806,0.0179817685448345,0.0194563871260828,0.0211846878664756,0.0231884022735505,0.0254724360829505,0.0280091056622663,0.030768409123645,0.0337434438076495,0.0369186944514564,0.0546701015181059,-9.36701e-05,-3.92542e-05,-4.28721e-05,-4.99118e-05,-5.39983e-05,-5.48415e-05,-6.03865e-05,-6.65559e-05,-0.000101387,-0.000132689,-0.000461998,0.00148111106943402,0.00155226930653157,0.00169728017722473,0.00185869308924308,0.00204092871017094,0.00224707810278148,0.00247648137485425,0.00272764183865844,0.00301659907843253,0.00335204415245384,0.00582348692794961
-38.6364,298.195,298.197,298.199,298.2,298.202,298.203,298.203,298.203,298.202,298.201,298.191,0.0334035926211538,0.0344319618958897,0.0354985915213548,0.0366109273305116,0.0377645336261419,0.0387682860080246,0.0395823192852566,0.040328153937417,0.0409590038941379,0.0415021686180373,0.0520090376761578,0.0328426,0.0331398,0.0331382,0.0328656,0.0323502,0.0316859,0.0309296,0.0300623,0.0290481,0.0279426,0.0214734,0.0181280997349419,0.0193836271115599,0.0210280764693302,0.0230039344460899,0.0252993873443607,0.0279156945104362,0.0308170082908773,0.0339769039201632,0.0373933149105559,0.0410508221598545,0.0621764424842721,-0.000144574,-5.681e-05,-3.38625e-05,-4.43316e-05,-5.34741e-05,-5.72734e-05,-6.76441e-05,-7.74796e-05,-0.00011035,-0.00015374,-0.000653467,0.00157482062470619,0.00161960797725869,0.00174884819238263,0.0019261931367337,0.00212602681074346,0.00235392438281267,0.00261148233767721,0.0028909600481501,0.00320844198950207,0.00358509414102336,0.0066854244442668
-37.1212,298.197,298.198,298.2,298.202,298.204,298.205,298.206,298.206,298.206,298.205,298.199,0.0352251330728501,0.0363965657720615,0.037611035614564,0.0387528063499923,0.0399413319757867,0.0410240173556906,0.0419026252160888,0.0427156879846269,0.0434078333944462,0.0439483788096899,0.0678570556390417,0.0359954,0.036208,0.0362664,0.036027,0.0354733,0.0346671,0.033706,0.032654,0.0315089,0.0302265,0.0229321,0.0194899974345817,0.0209200621413991,0.0227875185134319,0.0250519260736575,0.0277224097076715,0.0307511625796489,0.03411290078548,0.0377957669587482,0.041787198996822,0.046068427366256,0.0707123044455489,-9.49713e-05,-3.36438e-05,-3.18623e-05,-3.40006e-05,-4.00063e-05,-4.53883e-05,-6.81625e-05,-0.000118107,-0.000148334,-0.000204397,-0.000843542,0.00167986308965939,0.00176943493805226,0.0019472929928493,0.00214635737937558,0.00236947462531254,0.00262150529276597,0.00291274612693932,0.00324513482000363,0.00361303196775229,0.00403095522178056,0.00785997455466619
-35.6061,298.197,298.199,298.201,298.203,298.205,298.207,298.209,298.209,298.21,298.209,298.233,0.0375082657556971,0.0387042633310595,0.0399724905403704,0.0411419493947479,0.0423388710288784,0.0434511219648009,0.0443856958940603,0.0452267619888933,0.0459544339536459,0.0465058060891326,0.512419749814544,0.0396462,0.0397236,0.039648,0.039298,0.0386388,0.0377045,0.0365848,0.0353649,0.0340663,0.0326225,0.0242737,0.0210939801839293,0.0226707079730652,0.0247988507798245,0.0274049630541623,0.030474710827176,0.0339649819667257,0.0378515521478314,0.0421224405750664,0.0467640887861615,0.0517575115321438,0.0812717663152463,-0.00014785,-5.44858e-05,-3.74644e-05,-4.14136e-05,-5.15194e-05,-6.39965e-05,-8.1984e-05,-0.000149361,-0.000194402,-0.000266172,-0.00108883,0.00178383014886508,0.00185326738491778,0.00203005172347899,0.00224973998497604,0.00249662372014687,0.00277720723029449,0.00310327568868768,0.00349136076623428,0.00390599539170235,0.00439465584545593,0.00908837169134273
-34.0909,298.197,298.199,298.201,298.203,298.206,298.208,298.21,298.211,298.212,298.213,298.33,0.0401249299064808,0.0413716086223391,0.0427011709441322,0.0438581805368166,0.0450044442249874,0.0461286245188386,0.0471241976059009,0.0479195158573206,0.0486346584238031,0.0492371810728437,1.74197014899797,0.0435583,0.0437677,0.0434196,0.0427178,0.0418417,0.0408173,0.0396335,0.0382315,0.0367632,0.0351993,0.0254344,0.0228728660206805,0.0246798905994334,0.0271260575830695,0.0301333867993626,0.0336550144852145,0.0377005305002463,0.0422309128482916,0.0472336744283144,0.05268187544118,0.0585721776955578,0.0938525971936845,-0.000106731,-1.81709e-05,-2.46479e-07,-1.54189e-06,-9.67731e-06,-2.60405e-05,-4.30481e-07,-4.0085e-05,-8.86479e-05,-0.000192997,-0.00122682,0.00190771591176464,0.00197773355131575,0.00216346481367273,0.00240663042447319,0.00268322194385779,0.00300188274254675,0.00336472881522419,0.00380038155979107,0.00426930907759089,0.00486365089207686,0.0105204087373067
-32.5758,298.196,298.197,298.199,298.202,298.205,298.208,298.211,298.212,298.214,298.217,298.749,0.0430683178218049,0.0444879759036079,0.0458348120973567,0.0469756319808473,0.0480901237261873,0.0491617737678371,0.0501370122763613,0.0508877195401798,0.0515968022264946,0.0552634598989242,5.21324275283628,0.0477535,0.0479229,0.0475371,0.046708,0.0455557,0.044229,0.0427925,0.0412921,0.0396414,0.0378804,0.027194,0.0248126782109469,0.0268999070630365,0.0297164432595827,0.0332207766314998,0.0374130993102683,0.0422262951251942,0.0476254133840327,0.0535550184389848,0.0600509783434042,0.067147673079564,0.108799816176315,-9.57119e-05,-6.27673e-05,-6.54084e-05,-6.54175e-05,-7.27319e-05,-8.8486e-05,-0.00013004,-0.000131084,-0.000250014,-0.000356964,-0.0018114,0.00203561538606879,0.00221838680125897,0.00246570476740424,0.00274821032673993,0.00307338412828595,0.00345433061532911,0.00390410040854484,0.00440077265943152,0.00502096604250616,0.00571274014812507,0.0132970297435179
-31.0606,298.194,298.195,298.196,298.199,298.203,298.206,298.21,298.213,298.217,298.228,299.918,0.0467589563613218,0.0480794134739599,0.0493398419130017,0.0504406582034771,0.0514752367648756,0.0524709443406539,0.0533837053790761,0.0542179859456251,0.0818049509504162,0.27316203982252,13.31814551655,0.0528571,0.052548,0.0519777,0.0509686,0.0495205,0.0478466,0.0461154,0.0444943,0.0426495,0.0406853,0.0301278,0.0272002757338965,0.0294560859585927,0.0327047397176617,0.036822140079034,0.0418124383407617,0.0475284125550181,0.0539303254208613,0.0609799147260801,0.0687685974846078,0.0773216657865052,0.125450787163732,-0.000130065,-3.0111e-05,-2.17787e-05,-1.91231e-05,-2.23064e-05,-3.32603e-05,-0.000127678,-0.000142442,-0.000313821,-0.000449489,-0.00265086,0.0021722338732282,0.00228022586600538,0.00253969289482016,0.00284794311740948,0.00320786533383183,0.00363727920292078,0.0041891645945224,0.00473198689769953,0.00550086356856812,0.00639073548193007,0.0170631474236144
-29.5455,298.19,298.191,298.193,298.196,298.2,298.203,298.207,298.213,298.232,298.294,302.918,0.0509147326419377,0.0522181003101415,0.0533908231815169,0.0543909919012331,0.0552693405062879,0.0561023172426951,0.0570252575618909,0.0821776125231197,0.461706616803355,1.48864703674175,28.5051048059817,0.0583892,0.0581175,0.0568386,0.0552016,0.0534801,0.0516686,0.0497849,0.0477381,0.0458625,0.043775,0.0363738,0.0298801439086227,0.032519378837856,0.0363714173493418,0.0412583324917525,0.0471755233145325,0.0539625796269971,0.0615075605108835,0.0700659689150161,0.0795048426198052,0.089848594869369,0.141342491841626,-0.000109277,-1.62675e-05,-1.4179e-05,-1.09527e-05,-2.53772e-06,-2.40068e-05,5.29494e-05,-0.000197844,-0.000260012,-0.000566012,-0.00327041,0.00233204416767779,0.00244178418374761,0.00273294163860116,0.00307631272792608,0.00349180469098717,0.00400937651013222,0.00471696936602306,0.00539075133909922,0.00629354431143533,0.00780249959948733,0.0235677321777043
-28.0303,298.185,298.185,298.187,298.19,298.194,298.199,298.204,298.219,298.312,298.578,309.36,0.0557836893724322,0.0572422047094624,0.0583109766682054,0.0590620859773848,0.0595807854933115,0.0601276974446885,0.0610028687850006,0.157565859246221,1.44130149517719,4.95164619091469,53.9637841519662,0.0645694,0.0637422,0.0623043,0.0600635,0.0576221,0.0553068,0.0532174,0.0512065,0.0492466,0.0472948,0.0506462,0.0329940903799453,0.0358973536629095,0.0403381952992446,0.0463608671187242,0.0535626735703139,0.0618279063206899,0.0710114075342828,0.0812779797977287,0.0926253744931701,0.104978569241536,0.156804336674723,-9.32252e-05,-1.20924e-05,-5.403e-06,1.55365e-06,-9.85624e-06,2.13106e-06,-0.000151254,-0.000188179,-0.000509839,-0.000938824,-0.00464494,0.00250776992565108,0.00271081906441577,0.00305169624962905,0.00345092741158083,0.00394320935279881,0.00459426816805463,0.00555339535779689,0.00634624298305698,0.00796204747536712,0.010976884803987,0.038678676295861
-26.5152,298.179,298.178,298.179,298.183,298.188,298.194,298.211,298.296,298.72,299.753,320.572,0.0618323539904474,0.0636747202585139,0.0645071313887077,0.0647227162594402,0.0647114363926501,0.0661989425897423,0.149782175174485,1.19476357493857,7.31617386343436,20.0430287132459,89.5590866411667,0.0722486,0.0707218,0.0680561,0.0652252,0.0622647,0.0593155,0.0567423,0.0547047,0.0530163,0.0517353,0.0751862,0.0367339080414812,0.04030062034262,0.0457558739398561,0.0529376992322107,0.0617434207021283,0.0718963142309813,0.0831596657039938,0.0955388926040071,0.109099495874179,0.123299635035956,0.177404904103579,-9.54633e-05,-6.81245e-05,-6.53382e-05,-5.56917e-05,-3.34919e-05,-5.06799e-05,-0.000177842,-0.000366239,-0.000892575,-0.00145253,-0.0074444,0.00269716517847906,0.00302902459547624,0.00343378799578541,0.00391590347174187,0.00448536509104889,0.00532078001800488,0.00701720742175974,0.00806656680378958,0.0112043741458414,0.0154959672173117,0.0660394579020755
-25,298.172,298.169,298.17,298.174,298.181,298.215,298.417,298.791,300.346,303.35,335.368,0.0698153278299257,0.0719954165207758,0.0724710286942306,0.071467405157876,0.0753336578164103,0.565239772132146,2.84278032918479,6.45020154723866,26.2720573994501,52.4801867374726,126.818374063067,0.0806458,0.0783445,0.0744764,0.0702885,0.0664877,0.0630877,0.0604732,0.0586091,0.0575026,0.0580112,0.110662,0.0414190777299543,0.0454845028553682,0.0520319132840606,0.0608203091080603,0.0720981969261368,0.0850178804722865,0.0985528284728551,0.113347254047021,0.129562726121366,0.145085492038315,0.209494630002776,-0.000108049,-7.78464e-05,-7.49805e-05,-8.73054e-05,-7.04945e-05,-7.87475e-05,-0.000254644,-0.000685366,-0.00124981,-0.00194561,-0.00759424,0.00292073449666347,0.00332692049799811,0.0037957739658731,0.00436189179141345,0.00510280315121013,0.0063950996864787,0.00982258112717833,0.0112832619397052,0.0144007291482064,0.0204210675528974,0.0790005063274914
-23.4848,298.163,298.159,298.16,298.17,298.214,298.473,299.452,301.071,305.497,311.562,352.017,0.0811443775008472,0.083558302998565,0.0829677045602685,0.115956888540526,0.486854187616785,3.29595206275819,10.4633646596112,23.5099978732453,67.7826674010399,94.4195954238314,163.227448672091,0.0923149,0.0877964,0.0822303,0.0765267,0.0709699,0.0669505,0.0654754,0.0637723,0.0636066,0.0679012,0.15984,0.0477658874093217,0.0520500720460597,0.0596237368838955,0.0708295842145074,0.085411767339167,0.101940178536238,0.117866449848971,0.136262614094989,0.154851864696554,0.17131112047967,0.264959808272877,-0.000153078,-0.000107824,-0.000117764,-0.000100169,-0.000106592,3.47927e-05,-0.000161457,-0.000955919,-0.00146874,-0.00259325,-0.00533421,0.00316965297785105,0.00353321383445724,0.0041599158645338,0.00494448177264311,0.00589974575723395,0.00878166271272132,0.0121778076844726,0.0153671077304742,0.0176613419648678,0.0273390746002859,0.0894490357689785
