z,coarse,medium,fine  
51.24,745.84,648.65,618.2
51.38,744.34,647.23,617.03
51.52,742.84,645.81,615.86
51.66,741.34,644.39,614.69
51.8,739.84,642.97,613.52
51.94,738.34,641.55,612.35
52.08,736.84,640.17,611.17
52.22,735.34,638.81,609.97
52.36,733.84,637.45,608.78
52.5,732.34,636.09,607.58
52.64,730.84,634.73,606.39
52.78,729.34,633.37,605.2
52.92,727.84,632,604
53.06,726.35,630.68,602.84
53.2,724.85,629.4,601.74
53.34,723.36,628.11,600.63
53.48,721.87,626.83,599.53
53.62,720.38,625.55,598.42
53.76,718.88,624.26,597.32
53.9,717.39,622.98,596.21
54.04,715.9,621.72,595.15
54.18,714.41,620.51,594.22
54.32,712.92,619.29,593.28
54.46,711.42,618.08,592.34
54.6,709.93,616.86,591.4
54.74,708.44,615.65,590.46
54.88,706.95,614.43,589.52
55.02,705.46,613.23,588.58
55.16,703.98,612.09,587.64
55.3,702.51,610.95,586.69
55.44,701.03,609.81,585.74
55.58,699.56,608.67,584.79
55.72,698.08,607.53,583.84
55.86,696.61,606.39,582.89
56,695.13,605.25,581.94
56.14,693.66,604.18,581.02
56.28,692.18,603.1,580.11
56.42,690.71,602.02,579.19
56.56,689.23,600.95,578.27
56.7,687.76,599.87,577.36
56.84,686.29,598.8,576.44
56.98,684.81,597.72,575.52
57.12,683.43,596.67,574.65
57.26,682.06,595.62,573.78
57.4,680.69,594.57,572.92
57.54,679.32,593.52,572.05
57.68,677.95,592.46,571.19
57.82,676.58,591.41,570.32
57.96,675.21,590.36,569.46
58.1,673.84,589.34,568.57
58.24,672.47,588.32,567.69
58.38,671.1,587.3,566.8
58.52,669.73,586.29,565.91
58.66,668.37,585.27,565.02
58.8,667,584.25,564.14
58.94,665.63,583.24,563.25
59.08,664.29,582.24,562.36
59.22,662.97,581.26,561.48
59.36,661.65,580.29,560.6
59.5,660.34,579.31,559.73
59.64,659.02,578.33,558.85
59.78,657.7,577.35,557.97
59.92,656.38,576.37,557.09
60.06,655.06,575.4,556.21
60.2,653.75,574.43,555.34
60.34,652.43,573.46,554.47
60.48,651.11,572.5,553.6
60.62,649.79,571.53,552.73
60.76,648.48,570.56,551.86
60.9,647.16,569.59,550.99
61.04,645.85,568.63,550.14
61.18,644.56,567.67,549.34
61.32,643.28,566.7,548.54
61.46,641.99,565.74,547.74
61.6,640.7,564.78,546.94
61.74,639.42,563.82,546.14
61.88,638.13,562.86,545.34
62.02,636.84,561.9,544.56
62.16,635.56,560.98,543.85
62.3,634.27,560.05,543.15
62.44,632.98,559.12,542.44
62.58,631.7,558.19,541.74
62.72,630.41,557.26,541.04
62.86,629.12,556.33,540.33
63,627.84,555.4,539.63
63.14,626.69,554.51,538.99
63.28,625.54,553.61,538.35
63.42,624.39,552.71,537.71
63.56,623.24,551.82,537.07
63.7,622.1,550.92,536.43
63.84,620.95,550.02,535.79
63.98,619.8,549.12,535.15
64.12,618.65,548.25,534.51
64.26,617.5,547.37,533.87
64.4,616.36,546.5,533.24
64.54,615.21,545.62,532.6
64.68,614.06,544.75,531.96
64.82,612.91,543.88,531.32
64.96,611.76,543,530.69
65.1,610.7,542.17,530
65.24,609.66,541.34,529.3
65.38,608.62,540.52,528.6
65.52,607.58,539.7,527.91
65.66,606.55,538.88,527.21
65.8,605.51,538.05,526.51
65.94,604.47,537.23,525.81
66.08,603.43,536.44,525.11
66.22,602.4,535.66,524.42
66.36,601.36,534.89,523.72
66.5,600.32,534.12,523.03
66.64,599.28,533.34,522.33
66.78,598.25,532.57,521.64
66.92,597.21,531.8,520.95
67.06,596.2,531.04,520.27
67.2,595.22,530.3,519.61
67.34,594.24,529.56,518.96
67.48,593.26,528.82,518.3
67.62,592.28,528.09,517.64
67.76,591.3,527.35,516.99
67.9,590.32,526.61,516.33
68.04,589.34,525.88,515.67
68.18,588.37,525.17,514.98
68.32,587.39,524.46,514.3
68.46,586.41,523.75,513.62
68.6,585.43,523.05,512.94
68.74,584.45,522.34,512.25
68.88,583.47,521.63,511.57
69.02,582.51,520.92,510.89
69.16,581.63,520.22,510.21
69.3,580.75,519.51,509.54
69.44,579.88,518.81,508.86
