time,HRR_coarse(kW) 
0.2049,22.537
0.2058,22.609
0.2066,22.666
0.2074,22.718
0.2082,22.804
0.2088,22.887
0.2094,22.923
0.21,22.953
0.2108,22.992
0.2116,23.061
0.2124,23.14
0.2132,23.201
0.214,23.226
0.2148,23.257
0.2156,23.325
0.2164,23.408
0.2173,23.455
0.2181,23.495
0.2187,23.578
0.2194,23.655
0.22,23.726
0.2209,23.78
0.2216,23.842
0.2225,23.927
0.2233,24.034
0.2241,24.107
0.2249,24.182
0.2257,24.24
0.2265,24.32
0.2273,24.38
0.2281,24.461
0.2287,24.542
0.2294,24.603
0.23,24.669
0.2309,24.72
0.2316,24.806
0.2325,24.882
0.2333,24.992
0.2342,25.099
0.2349,25.197
0.2358,25.288
0.2366,25.359
0.2374,25.403
0.2382,25.491
0.2388,25.591
0.2394,25.682
0.24,25.745
0.2408,25.761
0.2416,25.802
0.2423,25.858
0.2431,25.929
0.2438,26.017
0.2445,26.134
0.2452,26.23
0.2459,26.297
0.2467,26.341
0.2474,26.359
0.2481,26.396
0.2487,26.462
0.2494,26.531
0.25,26.606
0.2508,26.663
0.2514,26.737
0.2522,26.773
0.2528,26.842
0.2537,26.878
0.2543,26.944
0.2551,26.975
0.2558,27.024
0.2566,27.085
0.2572,27.191
0.258,27.276
0.2586,27.354
0.2593,27.372
0.26,27.388
0.2607,27.427
0.2614,27.483
0.2621,27.557
0.2627,27.586
0.2634,27.615
0.2641,27.643
0.2647,27.657
0.2654,27.68
0.2661,27.721
0.2667,27.772
0.2674,27.807
0.2681,27.82
0.2687,27.82
0.2694,27.825
0.27,27.836
0.2707,27.882
0.2713,27.941
0.2721,27.962
0.2727,27.998
0.2734,28.009
0.274,28.071
0.2747,28.105
0.2753,28.127
0.276,28.109
0.2765,28.127
0.2772,28.161
0.2778,28.217
0.2785,28.238
0.279,28.274
0.2795,28.272
0.28,28.292
0.2807,28.297
0.2812,28.351
0.2819,28.405
0.2825,28.442
0.2831,28.448
0.2837,28.435
0.2844,28.407
0.285,28.41
0.2857,28.399
0.2863,28.405
0.287,28.404
0.2876,28.452
0.2883,28.459
0.2888,28.474
0.2894,28.492
0.29,28.512
0.2908,28.55
0.2914,28.55
0.2922,28.55
0.2928,28.551
0.2935,28.54
0.2942,28.534
0.2949,28.534
0.2955,28.568
0.2963,28.589
0.2969,28.617
0.2977,28.634
0.2983,28.642
0.2989,28.628
0.2994,28.603
0.3,28.538
0.3008,28.437
0.3014,28.39
0.3022,28.28
0.3028,28.224
0.3036,28.158
0.3043,28.128
0.3051,28.03
0.3057,27.991
0.3065,27.869
0.3071,27.8
0.3079,27.69
0.3085,27.648
0.309,27.594
0.3095,27.536
0.31,27.469
0.3107,27.381
0.3113,27.347
0.312,27.268
0.3126,27.203
0.3134,27.051
0.3141,26.921
0.3149,26.742
0.3156,26.61
0.3164,26.447
0.317,26.334
0.3178,26.224
0.3184,26.148
0.319,26.097
0.3195,26.032
0.32,25.985
0.3207,25.897
0.3214,25.822
0.3222,25.75
0.3229,25.668
0.3236,25.597
0.3243,25.512
0.3251,25.429
0.3259,25.326
0.3266,25.242
0.3274,25.142
0.3281,25.047
0.3287,24.978
0.3294,24.899
0.33,24.825
0.3308,24.711
0.3317,24.619
0.3326,24.518
0.3333,24.462
0.3342,24.375
0.335,24.306
0.336,24.202
0.3367,24.149
0.3377,24.055
0.3384,24.001
0.3392,23.906
0.34,23.824
0.3409,23.738
0.3416,23.676
0.3424,23.597
0.3432,23.531
0.344,23.456
0.3448,23.388
0.3456,23.314
0.3464,23.254
0.3473,23.192
0.3481,23.129
0.3487,23.083
0.3494,23.032
0.35,22.984
0.3509,22.915
0.3517,22.85
0.3525,22.791
0.3533,22.731
0.3542,22.669
0.355,22.61
0.3559,22.552
0.3568,22.495
0.3577,22.446
0.3585,22.405
0.3592,22.354
0.36,22.299
0.3609,22.238
0.3616,22.195
0.3626,22.132
0.3633,22.092
0.3642,22.039
0.365,22.006
0.3659,21.96
0.3667,21.926
0.3676,21.88
0.3684,21.856
0.3692,21.819
0.37,21.786
0.3709,21.752
0.3717,21.728
0.3725,21.706
0.3733,21.684
0.3741,21.656
0.3749,21.625
0.3758,21.6
0.3766,21.578
0.3774,21.556
0.3782,21.533
0.3788,21.523
0.3794,21.507
0.38,21.492
0.3808,21.466
0.3816,21.449
0.3824,21.436
0.3832,21.424
0.384,21.411
0.3848,21.402
0.3856,21.388
0.3864,21.38
0.3873,21.359
0.388,21.352
0.3887,21.346
0.3893,21.335
0.39,21.328
0.3908,21.312
0.3915,21.31
0.3924,21.298
0.3932,21.301
0.3941,21.298
0.3948,21.303
0.3957,21.303
0.3965,21.313
0.3974,21.308
0.3983,21.304
0.3991,21.292
0.4,21.289
0.4009,21.281
0.4017,21.271
0.4027,21.248
0.4035,21.242
0.4044,21.248
0.4052,21.253
0.4061,21.243
0.4069,21.243
0.4079,21.237
0.4086,21.248
0.4093,21.248
0.41,21.241
0.411,21.232
0.4119,21.234
0.413,21.231
0.4139,21.225
0.415,21.216
0.416,21.223
0.4171,21.228
0.418,21.217
0.419,21.203
0.42,21.207
0.4212,21.22
0.4222,21.251
0.4234,21.265
0.4244,21.268
0.4255,21.272
0.4264,21.29
0.4276,21.307
0.4283,21.318
0.4291,21.305
0.43,21.313
0.4311,21.325
0.432,21.359
0.433,21.367
0.4339,21.371
0.4349,21.351
0.4357,21.37
0.4368,21.411
0.4377,21.441
0.4384,21.443
0.4392,21.46
0.44,21.496
0.441,21.534
0.4418,21.559
0.4428,21.573
0.4437,21.61
0.4447,21.633
0.4455,21.651
0.4465,21.66
0.4474,21.702
0.4482,21.726
0.4491,21.745
0.45,21.771
0.4508,21.789
0.4517,21.805
0.4525,21.828
0.4534,21.838
0.4543,21.844
0.4552,21.867
0.4561,21.909
0.4569,21.928
0.4579,21.936
0.4585,21.965
0.4593,21.997
0.46,22.038
0.461,22.075
0.4617,22.102
0.4627,22.129
0.4634,22.171
0.4644,22.202
0.4652,22.222
0.4662,22.228
0.467,22.262
0.468,22.288
0.4686,22.315
0.4693,22.315
0.47,22.33
0.471,22.344
0.4718,22.353
0.4727,22.376
0.4736,22.398
0.4746,22.43
0.4755,22.462
0.4765,22.489
0.4774,22.516
0.4782,22.544
0.4791,22.556
0.48,22.558
0.4811,22.569
0.482,22.569
0.483,22.56
0.4839,22.558
0.4849,22.554
0.4857,22.565
0.4868,22.59
0.4876,22.609
0.4884,22.603
0.4892,22.597
0.49,22.59
0.491,22.567
0.4919,22.565
0.4928,22.558
0.4935,22.554
0.4944,22.551
0.4951,22.553
0.4961,22.547
0.4969,22.546
0.4978,22.531
0.4985,22.525
0.4992,22.517
0.5,22.5
0.501,22.467
0.5018,22.433
0.5028,22.366
0.5035,22.331
0.5045,22.295
0.5053,22.273
0.5062,22.242
0.5071,22.216
0.508,22.201
0.5086,22.204
0.5093,22.193
0.51,22.175
0.5109,22.138
0.5118,22.102
0.5128,22.058
0.5137,22.044
0.5147,22.04
0.5156,22.022
0.5166,21.981
0.5174,21.962
0.5182,21.946
0.5191,21.939
0.5194,21.953
0.5197,21.939
0.52,21.924
0.5204,21.908
0.521,21.889
0.5219,21.868
0.5226,21.848
0.5234,21.835
0.5242,21.824
0.525,21.805
0.5258,21.794
0.5265,21.778
0.5273,21.774
0.528,21.78
0.5287,21.791
0.5293,21.793
0.53,21.784
0.5309,21.764
0.5316,21.757
0.5324,21.733
0.5331,21.719
0.5339,21.699
0.5346,21.692
0.5354,21.672
0.5362,21.657
0.5371,21.643
0.5377,21.644
0.5385,21.637
0.5392,21.63
0.54,21.616
0.5407,21.609
0.5414,21.605
0.5421,21.602
0.5427,21.597
0.5435,21.589
0.5442,21.586
0.5451,21.598
0.5458,21.614
0.5466,21.602
0.5474,21.586
0.5483,21.574
0.5488,21.581
0.5494,21.576
0.55,21.575
0.5508,21.565
0.5518,21.557
0.5526,21.547
0.5535,21.533
0.5543,21.538
0.5551,21.527
0.5559,21.528
0.5567,21.512
0.5575,21.515
0.5583,21.497
0.5589,21.512
0.5594,21.503
0.56,21.501
0.5608,21.491
0.5615,21.488
0.5623,21.488
0.5631,21.493
0.5639,21.485
0.5647,21.48
0.5655,21.487
0.5664,21.474
0.5672,21.481
0.5681,21.47
0.5687,21.482
0.5693,21.484
0.57,21.487
0.5709,21.496
0.5717,21.535
0.5726,21.554
0.5735,21.592
0.5744,21.614
0.5753,21.657
0.5762,21.696
0.5771,21.727
0.5781,21.755
0.579,21.791
0.58,21.828
0.581,21.891
0.5819,21.983
0.5829,22.065
0.5838,22.133
0.5848,22.163
0.5857,22.185
0.5866,22.224
0.5875,22.272
0.5884,22.303
0.5892,22.323
0.59,22.327
0.591,22.344
0.5919,22.397
0.5929,22.443
0.5937,22.499
0.5947,22.496
0.5955,22.52
0.5965,22.581
0.5973,22.632
0.5982,22.653
0.5988,22.677
0.5994,22.686
0.6,22.72
0.6008,22.771
0.6016,22.829
0.6025,22.871
0.6033,22.897
0.6042,22.924
0.605,22.976
0.606,22.991
0.6068,23.025
0.6077,23.07
0.6084,23.144
0.6092,23.212
0.61,23.255
0.6109,23.312
0.6117,23.379
0.6126,23.402
0.6134,23.408
0.6143,23.401
0.6151,23.437
0.616,23.468
0.6168,23.511
0.6177,23.537
0.6184,23.606
0.6192,23.642
0.62,23.633
0.6209,23.583
0.6216,23.544
0.6225,23.506
0.6233,23.467
0.6241,23.451
0.6249,23.473
0.6258,23.495
0.6266,23.496
0.6275,23.512
0.6283,23.526
0.6288,23.553
0.6294,23.55
0.63,23.546
0.6308,23.505
0.6315,23.469
0.6323,23.463
0.633,23.471
0.6338,23.463
0.6346,23.457
0.6354,23.441
0.6361,23.442
0.6369,23.464
0.6377,23.506
0.6385,23.549
0.6392,23.565
0.64,23.605
0.6409,23.648
0.6417,23.698
0.6425,23.701
0.6433,23.734
0.6442,23.78
0.645,23.781
0.6459,23.795
0.6467,23.824
0.6475,23.898
0.6483,23.921
0.6489,23.923
0.6494,23.912
0.65,23.93
0.6508,23.964
0.6516,24
0.6523,24.01
0.6532,24.03
0.6539,24.078
0.6547,24.089
0.6555,24.119
0.6563,24.152
0.657,24.18
0.6578,24.228
0.6585,24.286
0.659,24.338
0.6595,24.369
0.66,24.374
0.6607,24.377
0.6615,24.417
0.6622,24.478
0.6629,24.509
0.6636,24.544
0.6644,24.593
0.6651,24.658
0.6658,24.683
0.6665,24.699
0.6672,24.736
0.6679,24.786
0.6686,24.843
0.669,24.897
0.6695,24.918
0.67,24.932
0.6707,24.948
0.6714,24.975
0.6721,24.986
0.6728,24.985
0.6735,24.99
0.6741,25.02
0.6748,25.064
0.6755,25.092
0.6761,25.098
0.6768,25.105
0.6774,25.114
0.6781,25.113
0.6787,25.12
0.6794,25.114
0.68,25.125
0.6807,25.148
0.6813,25.157
0.682,25.142
0.6826,25.131
0.6833,25.138
0.6839,25.131
0.6845,25.112
0.6851,25.092
0.6858,25.061
0.6864,25.014
0.687,24.942
0.6877,24.886
0.6883,24.829
0.6888,24.785
0.6894,24.734
0.69,24.689
0.6907,24.65
0.6913,24.628
0.692,24.582
0.6926,24.539
0.6933,24.48
0.6939,24.445
0.6947,24.376
0.6953,24.316
0.696,24.237
0.6966,24.171
0.6973,24.095
0.6979,24.033
0.6986,23.948
0.699,23.897
0.6995,23.841
0.7,23.787
0.7007,23.704
0.7013,23.63
0.702,23.557
0.7026,23.493
0.7033,23.418
0.704,23.36
0.7047,23.287
0.7054,23.22
0.7062,23.145
0.7069,23.068
0.7077,22.983
0.7083,22.913
0.7089,22.847
0.7094,22.768
0.71,22.696
0.7108,22.598
0.7115,22.536
0.7123,22.469
0.713,22.401
0.7138,22.323
0.7146,22.251
0.7154,22.163
0.7161,22.076
0.7169,21.992
0.7177,21.906
0.7184,21.801
0.7189,21.734
0.7195,21.663
0.72,21.599
0.7207,21.511
0.7215,21.42
0.7222,21.352
0.7229,21.277
0.7236,21.205
0.7245,21.11
0.7252,21.049
0.726,20.975
0.7267,20.914
0.7276,20.846
0.7283,20.795
0.7289,20.758
0.7294,20.712
0.73,20.666
0.7308,20.606
0.7316,20.552
0.7325,20.497
0.7333,20.438
0.7342,20.389
0.735,20.335
0.7358,20.29
0.7366,20.236
0.7375,20.186
0.7383,20.152
0.7389,20.13
0.7394,20.096
0.74,20.058
0.7408,19.993
0.7417,19.933
0.7425,19.891
0.7434,19.845
0.7443,19.816
0.7452,19.791
0.7461,19.778
0.7471,19.755
0.748,19.749
0.7486,19.754
0.7493,19.735
0.75,19.713
0.7509,19.673
0.7519,19.64
0.7529,19.614
0.7539,19.593
0.7549,19.58
0.7559,19.558
0.7568,19.548
0.7578,19.55
0.7585,19.561
0.7592,19.558
0.76,19.558
0.761,19.555
0.7618,19.57
0.7628,19.585
0.7636,19.591
0.7646,19.582
0.7654,19.584
0.7664,19.589
0.7673,19.589
0.7682,19.582
0.7691,19.584
0.77,19.599
0.771,19.616
0.7719,19.626
0.7729,19.622
0.7738,19.633
0.7748,19.634
0.7757,19.638
0.7766,19.64
0.7773,19.653
0.7781,19.67
0.7787,19.686
0.7793,19.701
0.78,19.721
0.7809,19.748
0.7816,19.781
0.7825,19.806
0.7832,19.835
0.7841,19.857
0.7848,19.885
0.7857,19.906
0.7865,19.928
0.7874,19.968
0.7882,20.006
0.7891,20.037
0.79,20.064
0.7909,20.08
0.7918,20.104
0.7928,20.135
0.7937,20.168
0.7946,20.205
0.7954,20.244
0.7963,20.273
0.7973,20.291
0.7982,20.306
0.7991,20.33
0.7994,20.352
0.7997,20.356
0.8,20.361
0.8004,20.369
0.8011,20.385
0.8019,20.412
0.8028,20.441
0.8036,20.469
0.8045,20.492
0.8054,20.523
0.8063,20.552
0.8073,20.587
0.8082,20.613
0.8091,20.643
0.8094,20.656
0.8097,20.66
0.81,20.666
0.8104,20.675
0.8111,20.689
0.8119,20.704
0.8129,20.731
0.8138,20.766
0.8148,20.794
0.8157,20.81
0.8167,20.822
0.8177,20.828
0.8185,20.836
0.8192,20.84
0.82,20.846
0.821,20.854
0.822,20.864
0.823,20.878
0.824,20.892
0.825,20.916
0.8259,20.95
0.8268,20.98
0.8278,21.001
0.8285,21.025
0.8293,21.046
0.83,21.068
0.831,21.102
0.8319,21.139
0.8329,21.169
0.8338,21.196
0.8348,21.227
0.8357,21.25
0.8366,21.281
0.8375,21.312
0.8383,21.34
0.8392,21.372
0.84,21.4
0.841,21.435
0.8417,21.476
0.8427,21.513
0.8435,21.547
0.8445,21.576
0.8453,21.603
0.8463,21.636
0.8471,21.676
0.8481,21.713
0.8487,21.741
0.8493,21.758
0.85,21.778
0.8509,21.814
0.8518,21.863
0.8527,21.913
0.8537,21.964
0.8546,22.013
0.8555,22.061
0.8563,22.1
0.8572,22.142
0.8581,22.187
0.8587,22.214
0.8594,22.233
0.86,22.255
0.8609,22.292
0.8619,22.351
0.8627,22.402
0.8637,22.464
0.8645,22.52
0.8655,22.584
0.8665,22.642
0.8676,22.698
0.8683,22.741
0.8692,22.77
0.87,22.795
0.8711,22.833
0.8722,22.887
0.8733,22.943
0.8743,22.986
0.8754,23.021
0.8764,23.041
0.8775,23.068
0.8783,23.085
0.8791,23.098
0.88,23.106
0.8812,23.124
0.8822,23.155
0.8834,23.171
0.8844,23.179
0.8855,23.185
0.8865,23.182
0.8876,23.173
0.8883,23.185
0.8892,23.203
0.89,23.223
0.8911,23.24
0.8921,23.241
0.8932,23.23
0.8942,23.225
0.8953,23.217
0.8963,23.217
0.8974,23.22
0.8982,23.235
0.8991,23.233
0.9,23.235
0.9011,23.224
0.902,23.215
0.9031,23.184
0.9039,23.162
0.905,23.139
0.9059,23.123
0.9069,23.097
0.9078,23.08
0.9085,23.07
0.9093,23.05
0.91,23.021
0.911,22.983
0.912,22.958
0.913,22.943
0.9139,22.937
0.9149,22.933
0.9158,22.929
0.9168,22.925
0.9177,22.928
0.9184,22.932
0.9192,22.929
0.92,22.921
0.921,22.895
0.9219,22.881
0.9229,22.868
0.9238,22.868
0.9248,22.85
0.9256,22.851
0.9267,22.847
0.9275,22.845
0.9283,22.839
0.9292,22.827
0.93,22.812
0.931,22.808
0.9319,22.808
0.933,22.799
0.9338,22.78
0.9348,22.738
0.9357,22.704
0.9367,22.686
0.9377,22.688
0.9385,22.709
0.9392,22.726
0.94,22.725
0.941,22.714
0.9421,22.696
0.9432,22.689
0.9443,22.676
0.9455,22.671
0.9466,22.684
0.9476,22.693
0.9484,22.695
0.9492,22.683
0.95,22.674
0.9511,22.68
0.9524,22.712
0.9534,22.757
0.9546,22.772
0.9557,22.779
0.9569,22.782
0.9578,22.8
0.9586,22.808
0.9593,22.8
0.96,22.796
0.961,22.803
0.9622,22.795
0.9633,22.802
0.9646,22.794
0.9656,22.794
0.9669,22.799
0.9678,22.814
0.9689,22.816
0.97,22.814
0.9712,22.781
0.9724,22.776
0.9737,22.751
0.9749,22.761
0.976,22.773
0.9773,22.745
0.9782,22.737
0.9791,22.703
0.98,22.69
0.9812,22.671
0.9822,22.678
0.9834,22.645
0.9844,22.614
0.9856,22.613
0.9867,22.645
0.9877,22.641
0.9885,22.641
0.9892,22.631
0.99,22.604
0.991,22.574
0.992,22.567
0.993,22.567
0.994,22.565
0.995,22.569
0.996,22.54
0.997,22.532
0.998,22.533
0.999,22.553
1,22.563
1.0011,22.576
1.0021,22.602
1.0033,22.601
1.0043,22.592
1.0055,22.605
1.0066,22.676
1.0077,22.703
1.0084,22.727
1.0092,22.712
1.01,22.714
1.0111,22.742
1.0122,22.77
1.0133,22.794
1.0143,22.816
1.0153,22.826
1.0164,22.849
1.0174,22.905
1.0183,22.962
1.0191,22.979
1.02,23.008
1.0212,23.044
1.0221,23.096
1.0232,23.102
1.0241,23.159
1.0252,23.227
1.026,23.27
1.0271,23.307
1.028,23.376
1.0287,23.43
1.0293,23.453
1.03,23.482
1.0309,23.504
1.0318,23.546
1.0327,23.608
1.0337,23.682
1.0346,23.746
1.0355,23.795
1.0364,23.852
1.0373,23.893
1.0382,23.953
1.0391,24.023
1.04,24.1
1.0408,24.168
1.0417,24.206
1.0426,24.249
1.0435,24.294
1.0444,24.347
1.0453,24.372
1.0461,24.413
1.047,24.461
1.0479,24.49
1.0486,24.532
1.0493,24.553
1.05,24.587
1.051,24.614
1.0517,24.678
1.0526,24.711
1.0534,24.773
1.0543,24.819
1.055,24.899
1.0559,24.945
1.0566,25
1.0575,25.057
1.0582,25.126
1.0588,25.204
1.0594,25.233
1.06,25.282
1.0608,25.331
1.0616,25.372
1.0624,25.397
1.0633,25.422
1.064,25.457
1.0648,25.483
1.0655,25.513
1.0663,25.529
1.067,25.549
1.0677,25.567
1.0684,25.587
1.0689,25.614
1.0695,25.628
1.07,25.644
1.0707,25.659
1.0714,25.696
1.0721,25.716
1.0728,25.745
1.0736,25.779
1.0742,25.816
1.075,25.84
1.0756,25.874
1.0764,25.896
1.077,25.93
1.0778,25.937
1.0784,25.951
1.0789,25.967
1.0795,25.967
1.08,25.964
1.0807,25.939
1.0814,25.94
1.0821,25.918
1.0827,25.915
1.0834,25.912
1.084,25.921
1.0846,25.919
1.0852,25.925
1.0859,25.916
1.0865,25.929
1.0872,25.941
1.0879,25.953
1.0886,25.954
1.089,25.978
1.0895,25.98
1.09,25.998
1.0907,26.003
1.0914,26.03
1.0921,26.059
1.0929,26.075
1.0936,26.084
1.0944,26.076
1.0951,26.089
1.0959,26.097
1.0966,26.108
1.0974,26.09
1.0981,26.068
1.0987,26.049
1.0994,26.034
1.1,26.001
1.1008,25.933
1.1015,25.892
1.1023,25.846
1.1029,25.789
1.1036,25.696
1.1043,25.644
1.1051,25.533
1.1058,25.46
1.1065,25.379
1.1072,25.34
1.1079,25.269
1.1086,25.22
1.109,25.187
1.1095,25.14
1.11,25.1
1.1107,25.036
1.1114,24.951
1.112,24.894
1.1128,24.822
1.1134,24.781
1.1143,24.708
1.1149,24.658
1.1157,24.619
1.1163,24.594
1.1171,24.494
1.1178,24.397
1.1185,24.315
1.119,24.267
1.1195,24.191
1.12,24.121
1.1207,24.023
1.1214,23.941
1.1221,23.854
1.1228,23.775
1.1234,23.708
1.1241,23.645
1.1247,23.586
1.1253,23.538
1.1259,23.495
1.1266,23.453
1.1272,23.408
1.1278,23.352
1.1284,23.32
1.1289,23.287
1.1295,23.249
1.13,23.209
1.1306,23.157
1.1312,23.109
1.1318,23.053
1.1324,23.011
1.1331,22.961
1.1337,22.924
1.1343,22.874
1.1349,22.834
1.1355,22.785
1.1362,22.741
1.1368,22.704
1.1375,22.652
1.1382,22.594
1.1388,22.548
1.1394,22.498
1.14,22.456
1.1408,22.408
1.1416,22.366
1.1425,22.307
1.1432,22.265
1.1441,22.207
1.1448,22.173
1.1456,22.129
1.1463,22.094
1.1472,22.03
1.1479,22.001
1.1486,21.981
1.1493,21.956
1.15,21.932
1.1509,21.909
1.1515,21.897
1.1524,21.866
1.153,21.844
1.1539,21.823
1.1546,21.819
1.1554,21.794
1.1561,21.778
1.157,21.753
1.1577,21.731
1.1585,21.718
1.1592,21.715
1.16,21.72
1.1607,21.711
1.1614,21.701
1.1621,21.688
1.1629,21.666
1.1636,21.637
1.1643,21.611
1.165,21.581
1.1657,21.548
1.1664,21.515
1.1672,21.47
1.1679,21.428
1.1686,21.388
1.1693,21.357
1.17,21.336
1.1708,21.316
1.1715,21.29
1.1723,21.24
1.173,21.192
1.1738,21.152
1.1744,21.126
1.1752,21.093
1.1759,21.062
1.1768,21.007
1.1775,20.973
1.1783,20.935
1.1788,20.897
1.1794,20.848
1.18,20.801
1.1808,20.743
1.1816,20.689
1.1824,20.627
1.1832,20.577
1.1841,20.535
1.1849,20.491
1.1857,20.429
1.1865,20.37
1.1873,20.309
1.188,20.27
1.1887,20.237
1.1893,20.208
1.19,20.171
1.1909,20.111
1.1917,20.061
1.1926,20.023
1.1934,20.001
1.1943,19.973
1.1952,19.936
1.1961,19.9
1.1969,19.873
1.1978,19.843
1.1985,19.835
1.1992,19.82
1.2,19.811
1.201,19.774
1.2017,19.753
1.2026,19.728
1.2034,19.723
1.2044,19.73
1.2052,19.738
1.2061,19.738
1.2069,19.727
1.2078,19.695
1.2085,19.688
1.2092,19.669
1.21,19.666
1.211,19.658
1.2118,19.65
1.2128,19.617
1.2137,19.602
1.2147,19.592
1.2155,19.584
1.2164,19.557
1.2172,19.55
1.2181,19.536
1.2187,19.546
1.2193,19.539
1.22,19.532
1.2209,19.495
1.2217,19.465
1.2225,19.457
1.2234,19.459
1.2243,19.464
1.2252,19.45
1.2261,19.441
1.227,19.457
1.2279,19.471
1.2286,19.474
1.2293,19.474
1.23,19.485
1.231,19.497
1.2318,19.5
1.2327,19.499
1.2336,19.5
1.2346,19.497
1.2355,19.504
1.2364,19.51
1.2373,19.535
1.2382,19.559
1.2391,19.587
1.24,19.597
1.2409,19.619
1.2418,19.648
1.2428,19.676
1.2437,19.703
1.2447,19.735
1.2457,19.769
1.2467,19.79
1.2476,19.828
1.2484,19.857
1.2492,19.874
1.25,19.891
1.2511,19.927
1.2519,19.945
1.2529,19.952
1.2537,19.975
1.2548,20.018
1.2557,20.052
1.2568,20.095
1.2578,20.128
1.2585,20.149
1.2593,20.175
1.26,20.21
1.261,20.246
1.2618,20.276
1.2628,20.311
1.2637,20.349
1.2647,20.37
1.2656,20.412
1.2666,20.455
1.2675,20.478
1.2684,20.504
1.2692,20.535
1.27,20.563
1.271,20.59
1.2719,20.64
