time,HRR_fine(kW) 
0.37376,29.281
0.37762,28.945
0.38171,28.596
0.38583,27.823
0.38981,26.825
0.39347,25.882
0.39721,24.784
0.40054,23.838
0.40401,23.142
0.40752,22.654
0.41089,22.335
0.41435,22.188
0.418,22.139
0.42181,22.169
0.426,22.229
0.43046,22.306
0.43509,22.451
0.43957,22.666
0.44341,22.822
0.44768,22.989
0.45193,23.2
0.45628,23.326
0.46066,23.281
0.4652,23.282
0.46972,23.328
0.47407,23.515
0.47811,23.745
0.48194,23.982
0.48592,24.219
0.4902,24.476
0.49478,24.821
0.49918,25.211
0.50334,25.723
0.50733,26.279
0.51126,26.769
0.51516,27.074
0.51891,27.178
0.52269,27.124
0.52641,26.871
0.5302,26.578
0.53446,26.104
0.53906,25.672
0.54344,25.294
0.54803,25.052
0.55248,24.527
0.55709,23.669
0.56152,22.98
0.56566,22.736
0.56986,22.759
0.57411,22.457
0.57832,22.392
0.5823,22.487
0.5864,22.635
0.59043,22.985
0.59449,23.402
0.59819,23.871
0.60133,24.259
0.60457,24.359
0.60786,24.284
0.61128,24.106
0.61494,24.029
0.61849,24.105
0.62188,23.94
0.62507,23.835
0.62815,23.85
0.63113,24.003
0.63426,24.204
0.63728,24.621
0.64021,24.861
0.64319,25.242
0.64616,25.784
0.64923,26.301
0.6523,26.569
0.65544,26.608
0.65846,26.252
0.66135,25.883
0.66408,25.522
0.66675,25.224
0.66951,24.812
0.67236,24.526
0.67519,24.186
0.67809,23.858
0.68097,23.682
0.68446,23.468
0.68829,23.301
0.69187,23.013
0.69565,22.825
0.69974,22.303
0.70365,21.879
0.7077,21.488
0.71163,21.312
0.71577,21.307
0.71986,21.278
0.72377,21.152
0.72781,21.059
0.73191,21.142
0.7362,21.219
0.74066,21.318
0.74483,21.545
0.74909,21.814
0.75365,22.043
0.75816,22.252
0.76252,22.314
0.76686,22.43
0.77156,22.484
0.77595,22.55
0.78003,22.586
0.78441,22.526
0.78927,22.388
0.79415,22.281
0.79888,22.071
0.8031,21.859
0.80687,21.603
0.81107,21.589
0.81575,21.595
0.82068,21.567
0.82548,21.442
0.83074,21.208
0.83633,20.8
0.8417,20.255
0.84737,19.734
0.85279,19.295
0.85843,18.802
0.86325,18.469
0.86781,18.29
0.87191,18.229
0.87643,18.12
0.88123,17.995
0.88636,17.814
0.89154,17.604
0.89674,17.437
0.9018,17.331
0.9069,17.261
0.91135,17.086
0.91627,16.95
0.92075,16.747
0.92585,16.797
0.93045,16.878
0.93513,17.141
0.9395,17.308
0.94365,17.563
0.94817,17.971
0.95274,18.495
0.95737,19.08
0.96182,19.758
0.96621,20.482
0.9702,21.229
0.97427,21.968
0.97818,22.706
0.98198,23.524
0.98588,24.477
0.98965,25.497
0.99316,26.468
0.99692,27.448
1.0109,30.532
1.0145,31.293
1.0182,32.153
1.0216,33.001
1.0251,33.989
1.0287,35.019
1.0322,36.54
1.0358,37.602
1.039,38.517
1.0421,39.229
1.0452,39.431
1.0484,39.003
1.052,38.671
1.0557,37.776
1.0593,36.484
1.0627,35.338
1.0664,34.208
1.0702,33.077
1.074,31.945
1.0779,31.221
1.0815,30.531
1.0853,29.886
1.089,29.444
1.0931,28.931
1.0971,28.769
1.101,28.659
1.1051,28.555
1.109,28.328
1.113,28.086
1.117,27.67
1.1208,27.354
1.1248,27.062
1.1291,26.773
1.1332,26.65
1.1372,26.567
1.141,26.522
1.145,26.477
1.1491,26.46
1.1534,26.266
1.1575,26.038
1.1611,25.669
1.165,25.235
1.169,24.923
1.1729,24.63
1.1774,24.348
1.1818,24.045
1.1864,23.811
1.1906,23.517
1.1949,23.211
1.1993,22.932
1.2038,22.604
1.2083,22.347
1.2127,22.091
1.2171,21.817
1.221,21.567
1.2252,21.357
1.2295,21.101
1.2338,20.93
1.2387,20.813
1.2434,20.655
1.2482,20.44
1.2527,20.156
1.257,19.957
1.261,19.872
1.2651,19.869
1.2693,19.909
1.2734,19.951
1.2776,20.054
1.282,20.314
1.2865,20.578
1.2906,20.739
1.2948,20.95
1.2988,21.015
1.303,20.971
1.3077,20.873
1.3122,20.815
1.3168,20.703
1.3214,20.38
1.3262,19.879
1.331,19.278
1.3361,18.863
1.3413,18.783
1.3467,18.79
1.3514,18.613
1.3563,18.258
1.3612,18.024
1.3662,17.742
1.3705,17.418
1.3755,17.162
1.3802,17.159
1.3849,17.323
1.3895,17.63
1.3938,17.993
1.3983,18.31
1.4025,18.517
1.4065,18.554
1.4102,18.484
1.4139,18.346
1.4175,18.313
1.4209,18.336
1.4242,18.394
1.4273,18.503
1.4302,18.633
1.4332,18.66
1.4361,18.646
1.439,18.597
1.4418,18.531
1.4447,18.271
1.4476,17.923
1.4507,17.811
1.4539,17.603
1.4572,17.254
1.4605,16.782
1.4639,16.336
1.4673,15.931
1.4708,15.429
1.4745,15.086
1.4781,14.918
1.4821,14.716
1.4863,14.568
1.4904,14.571
1.4947,14.839
1.4988,15.121
1.5027,15.472
1.5066,15.835
1.5102,16.233
1.5146,16.713
1.5189,17.205
1.5232,17.709
1.5275,18.127
1.5317,18.537
1.5361,18.98
1.5402,19.394
1.5448,19.806
1.5494,20.091
1.5538,20.295
1.5582,20.538
1.5626,20.769
1.5671,21.061
1.5716,21.33
1.5763,21.496
1.5809,21.726
1.5857,21.852
1.5902,21.939
1.5947,21.912
1.5992,21.864
1.6036,21.832
1.6079,21.727
1.6125,21.622
1.6172,21.413
1.6219,21.395
1.6269,21.364
1.6319,21.339
1.6373,21.312
1.6422,21.239
1.6474,21.181
1.6527,21.148
1.6578,21.177
1.6623,21.205
1.667,21.351
1.6712,21.402
1.6752,21.498
1.6793,21.596
1.6835,21.773
1.688,21.991
1.6924,22.349
1.6968,22.699
1.7011,23.033
1.7055,23.483
1.7098,23.943
1.714,24.383
1.7179,24.82
1.7216,25.018
1.7255,25.274
1.7294,25.473
1.7333,25.69
1.7376,25.929
1.7418,26.265
1.7465,26.616
1.7509,26.686
1.7557,26.724
1.7604,26.522
1.765,26.313
1.7698,25.909
1.7744,25.263
1.7787,24.593
1.7827,23.817
1.7871,22.982
1.7913,22.296
1.7957,21.715
1.8002,21.466
1.8049,21.541
1.8094,21.856
1.8134,22.291
1.8173,22.718
1.8212,23.178
1.8252,23.676
1.8291,23.972
1.833,23.971
1.837,23.866
1.8408,23.678
1.8447,23.707
1.8485,24.058
1.852,24.244
1.8557,24.387
1.8594,24.399
1.863,24.363
1.8667,24.206
1.8702,24.07
1.8739,23.879
1.8778,23.654
1.8815,23.414
1.8852,23.168
1.8889,22.632
1.8927,21.939
1.8966,21.27
1.9006,20.605
1.9047,19.956
1.9088,19.18
1.913,18.524
1.9175,18.03
1.9218,17.753
1.9262,17.794
1.9304,17.929
1.9348,18.179
1.9389,18.408
1.9432,18.544
1.9478,18.631
1.9519,18.805
1.956,19.01
1.9599,19.432
1.9636,20.033
1.9673,20.758
1.9709,21.439
1.9745,22.156
1.978,22.72
1.9814,23.182
1.9847,23.433
1.9878,23.538
1.9907,23.508
1.9936,23.292
1.9966,22.937
1.9998,22.632
2.003,22.421
2.0061,22.305
2.009,22.487
2.0121,22.48
2.0155,22.481
2.0189,22.452
2.0222,22.137
2.0256,21.715
2.029,21.478
2.0322,21.377
2.0356,21.446
2.0392,21.47
2.0431,21.154
2.0474,21.055
2.0518,21.013
2.056,21.165
2.0602,21.45
2.065,21.875
2.0699,22.283
2.0744,22.598
2.079,23.078
2.0834,23.525
2.0882,23.994
2.093,24.38
2.098,24.676
2.1029,24.961
2.1076,25.292
2.1119,25.61
2.1161,25.752
2.1202,25.911
2.1245,26.134
2.1288,26.368
2.1331,26.685
2.1375,26.988
2.1418,27.107
2.146,27.164
2.1499,27.36
2.1539,27.315
2.1581,27.101
2.162,26.912
2.1662,26.674
2.1701,26.548
2.1739,26.455
2.178,26.373
2.182,26.228
2.1861,26.188
2.1902,26.138
2.1945,26.092
2.1988,26.132
2.2027,26.199
2.2062,26.219
2.2095,26.362
2.213,26.498
2.2167,26.585
2.2202,26.621
2.2239,26.498
2.2278,26.591
2.2316,26.574
2.2357,26.571
2.2397,26.739
2.2435,26.693
2.2474,26.665
2.251,26.622
2.2549,26.592
2.2589,26.654
2.2626,27.039
2.2666,27.577
2.2702,28.115
2.2738,28.739
2.2775,28.627
2.2812,28.521
2.285,28.674
2.2885,28.305
2.2922,27.72
2.2961,26.985
2.2999,26.42
2.3037,25.742
2.3075,25.106
2.3111,24.641
2.3148,24.202
2.3186,23.699
2.3223,23.176
2.3256,22.726
2.3288,22.231
2.3318,21.87
2.3349,21.557
2.3378,21.628
2.3408,21.845
2.3439,21.873
2.3469,21.88
2.3499,21.882
2.3529,21.303
2.356,20.806
2.359,20.623
2.3619,20.744
2.3647,20.892
2.3674,21.056
2.37,21.227
2.3725,21.341
2.3749,21.618
2.3773,21.855
2.3797,22.054
2.3821,22.196
2.3848,22.477
2.3878,22.825
2.3909,23.304
2.3941,23.775
2.3972,24.232
2.4001,24.536
2.403,24.796
2.4061,24.936
2.4095,24.881
2.4127,24.698
2.4162,24.344
2.4196,24.205
2.4231,24.206
2.4267,24.254
2.4302,24.169
2.4338,24.205
2.4376,24.256
2.4414,24.069
2.4452,23.613
2.4491,22.973
2.4528,22.473
2.4566,22.343
2.4604,22.115
2.4644,21.996
2.4683,21.943
2.4721,21.987
2.476,22.079
2.4799,22.12
2.4837,22.214
2.4876,22.242
2.4914,22.285
2.4955,22.388
2.4996,22.535
2.5037,22.408
2.5077,22.411
2.5118,22.405
2.5162,22.368
2.5204,22.62
2.5247,22.878
2.5291,23.183
2.5335,23.591
2.5378,23.994
2.5419,24.32
2.5462,24.635
2.5502,24.791
2.5539,24.738
2.5577,24.566
2.5617,24.333
2.5659,23.976
2.5698,23.558
2.5736,23.065
2.5775,22.488
2.5817,21.93
2.5861,21.441
2.5907,21.044
2.5952,20.778
2.5995,20.582
2.6035,20.341
2.6073,20.154
2.611,19.947
2.6154,19.827
2.62,19.617
2.6245,19.539
2.629,19.434
2.6335,19.579
2.6385,19.667
2.6436,19.681
2.6489,19.793
2.654,19.948
2.6589,20.115
2.6635,20.365
2.6686,20.623
2.6735,20.845
2.6785,21.093
2.6834,21.488
2.6878,21.815
2.6921,22.023
2.6965,22.326
2.7006,22.659
2.7049,22.977
2.7093,23.339
2.7138,23.685
2.7181,24.221
2.7224,24.841
2.7268,25.665
2.7308,26.386
2.7346,27.123
2.7383,27.691
2.7419,28.077
2.7455,28.442
2.7492,28.741
2.7528,29.172
2.7565,29.536
2.7604,29.69
2.7645,29.721
2.7685,29.499
2.7723,29.218
2.7761,29.1
2.7799,29.091
2.7836,29.37
2.7875,29.645
2.7914,29.856
2.7952,29.824
2.7988,29.967
2.8021,29.588
2.8055,28.846
2.8088,27.949
2.812,26.971
2.8153,26.472
2.8185,25.801
2.8218,25.404
2.8251,24.932
2.8285,24.322
2.832,23.695
2.8355,23.225
2.8389,22.776
2.842,22.482
2.8452,22.378
2.8487,22.451
2.8522,22.557
2.8559,22.661
2.8595,22.925
2.863,23.163
2.8665,23.296
2.87,23.396
2.8739,23.467
2.8778,23.482
2.8816,23.532
2.8853,23.503
2.8891,23.57
2.8929,23.671
2.8967,23.758
2.9002,23.849
2.9036,23.95
2.9068,24.017
2.9098,24.04
2.913,24.158
2.9163,24.173
2.9197,24.266
2.9232,24.34
2.927,24.453
2.9314,24.574
2.9363,24.578
2.9409,24.613
2.9455,24.577
2.9505,24.669
2.9554,24.681
2.9599,24.677
2.9643,24.718
2.9691,24.886
2.9739,25.051
2.9789,25.262
2.9837,25.408
2.9889,25.437
2.9942,25.49
2.9993,25.369
3.0138,24.71
3.0192,24.453
3.0245,24.239
3.0297,24.082
3.0352,23.834
3.0405,23.52
3.0458,23.188
3.0507,22.821
3.0557,22.356
3.0605,21.869
3.0653,21.334
3.07,20.807
3.075,20.358
3.0798,20.365
3.0843,20.627
3.0886,20.909
3.0928,20.969
3.097,20.834
3.1011,20.563
3.1052,20.41
3.109,20.209
3.1126,20.125
3.1163,20.288
3.12,20.41
3.1241,20.274
3.1282,19.922
3.132,19.63
3.1359,19.39
3.1395,19.323
3.143,19.283
3.1466,19.14
3.1502,19.102
3.1539,19.284
3.1576,19.586
3.1611,19.819
3.1646,19.949
3.1682,19.871
3.1717,19.645
3.1753,19.394
3.1787,18.965
3.1821,18.331
3.1854,17.84
3.1888,17.489
3.1922,17.419
3.1956,17.437
3.1991,17.35
3.2027,17.14
3.2061,16.756
3.2094,16.386
3.2126,16.099
3.2159,15.937
3.219,15.954
3.2221,16.047
3.2252,16.221
3.2285,16.557
3.2318,16.907
3.2352,17.268
3.2384,17.625
3.2416,17.984
3.2451,18.348
3.2488,18.752
3.2527,19.167
3.2569,19.547
3.261,19.852
3.2647,20.06
3.2683,20.259
3.2718,20.409
3.2754,20.504
3.2791,20.537
3.2826,20.522
3.2865,20.523
3.2902,20.647
3.294,20.725
3.2977,20.768
3.3011,21.003
3.3044,21.156
3.3077,21.204
3.3111,21.278
3.3147,21.484
3.3185,21.781
3.322,22.036
3.3251,22.217
3.3282,22.381
3.3315,22.629
3.3346,22.841
3.3384,22.98
3.3422,23.32
3.346,23.545
3.3498,23.864
3.354,24.137
3.3583,24.553
3.3623,24.797
3.3668,24.852
3.3714,24.898
3.3762,25.059
3.3807,25.451
3.3854,25.937
3.3899,26.443
3.3945,27.051
3.3991,27.53
3.4037,27.934
3.4083,28.235
3.4127,28.508
3.4172,28.703
3.4214,28.9
3.4251,28.992
3.4292,29.198
3.4337,29.263
3.438,29.333
3.4419,29.287
3.4462,29.2
3.451,28.906
3.4556,28.679
3.4597,28.378
3.464,27.907
3.4687,27.34
3.4732,26.659
3.4785,25.845
3.4844,25.135
3.4898,24.417
3.4946,23.739
3.5,22.92
3.5048,21.898
3.5096,20.854
3.5144,20.075
3.5195,19.531
3.5246,19.076
3.5297,18.6
3.535,17.846
3.5402,17.093
3.5455,16.332
3.5505,15.848
3.5554,15.445
3.5605,14.94
3.5659,14.489
3.571,14.069
3.5762,13.807
3.5816,13.83
3.5866,14.005
3.5913,14.249
3.5957,14.499
3.6,14.819
3.6045,15.261
3.6087,15.768
3.6127,16.321
3.6168,16.79
3.6206,16.916
3.6246,17.1
3.6286,17.246
3.6323,17.49
3.636,17.663
3.6396,17.761
3.643,17.902
3.6467,18.086
3.6504,18.261
3.6541,18.493
3.6576,18.711
3.6609,18.939
3.6643,19.233
3.6676,19.567
3.6707,19.926
3.6739,20.304
3.677,20.696
3.6802,21.128
3.6837,21.501
3.6875,21.824
3.6912,22.056
3.6949,22.298
3.6986,22.276
3.702,21.694
3.7056,20.829
3.7091,19.824
3.7125,18.684
3.7161,18.004
3.7198,17.509
3.7233,17.188
3.7269,16.753
3.7304,16.296
3.7337,15.952
3.7369,15.721
3.7404,15.598
3.7446,15.719
3.7487,15.883
3.7526,16.157
3.7568,16.371
3.7611,16.717
3.7656,17.016
3.7699,17.335
3.7741,17.659
3.7783,17.998
3.7825,18.247
3.7865,18.522
3.7904,18.6
3.7943,18.77
3.7982,18.819
3.8019,19.019
3.8054,19.193
3.8088,19.403
3.8123,19.667
3.8158,19.911
3.8193,20.256
3.8226,20.554
3.8262,20.902
3.8299,21.315
3.8336,21.711
3.8375,22.233
3.8412,22.726
3.8455,23.42
3.8498,24.098
3.8542,24.679
3.8584,25.208
3.8629,25.759
3.8678,26.327
3.8729,26.867
3.878,27.301
3.8831,27.714
3.8886,28.151
3.8942,28.58
3.8995,28.703
3.9044,28.524
3.9091,28.184
3.9137,27.712
3.9183,27.253
3.9226,26.856
3.9267,26.495
3.9306,26.153
3.9346,25.925
3.9384,25.609
3.9421,25.419
3.9459,25.093
3.9498,24.789
3.9537,24.397
3.9581,24.047
3.9624,23.855
3.9668,23.781
3.9711,23.726
3.9754,23.486
3.9797,23.34
3.9836,23.313
3.9875,23.143
3.9917,22.7
3.996,22.035
4,21.7
4.004,21.272
4.008,20.898
4.0118,20.519
4.0156,20.128
4.0194,19.915
4.0231,19.746
4.0267,19.559
4.0302,19.345
4.034,18.967
4.038,18.573
4.0416,18.258
4.045,17.917
4.0484,17.43
4.0519,16.871
4.0556,16.313
4.0592,16.04
4.0627,15.845
4.0662,15.574
4.0696,15.196
4.0729,14.964
4.0763,14.761
4.0802,14.633
4.0841,14.553
4.0877,14.578
4.0911,14.549
4.0947,14.403
4.0983,14.224
4.1018,14.186
4.1055,14.248
4.1092,14.367
4.1129,14.551
4.1167,14.757
4.1206,14.943
4.1245,15.196
4.1286,15.413
4.1321,15.594
4.1362,15.842
4.1402,16.102
4.1444,16.405
4.1486,16.702
4.1526,16.957
4.1562,17.185
4.1596,17.318
4.1631,17.436
4.1668,17.627
4.1701,17.827
4.1735,17.926
4.1769,17.989
4.1802,18.035
4.1839,18.248
4.1877,18.47
4.1916,18.754
4.1957,19.182
4.1997,19.534
4.2035,19.978
4.2074,20.43
4.2112,20.895
4.215,21.296
4.2189,21.644
4.2229,22.078
4.2268,22.476
4.2306,22.827
4.2348,23.299
4.2391,23.257
4.2431,23.107
4.2473,22.979
4.2515,22.876
4.2556,22.915
4.2596,22.923
4.2634,23.02
4.2674,23.089
4.2714,23.164
4.2755,23.187
4.2792,23.158
4.2832,23.239
4.2877,23.544
4.292,23.948
4.2962,24.378
4.3002,24.631
4.3041,24.959
4.308,25.286
4.3118,25.489
4.3159,25.667
4.3199,25.867
4.3237,25.811
4.3277,25.882
4.3313,25.937
4.3351,25.939
4.3388,25.929
4.3424,26.061
4.3464,26.107
4.3506,26.019
4.355,25.942
4.3594,25.725
4.3635,25.462
4.3679,25.149
4.3719,24.684
4.376,24.239
4.3798,24.039
4.3833,24.043
4.3874,24.11
4.3914,24.244
4.3952,24.237
4.3989,24.186
4.4029,24.226
4.4071,24.396
4.4111,24.665
4.4151,25.001
4.4191,25.255
4.4232,25.408
4.4276,25.72
4.432,26.108
4.4364,26.625
4.4406,27.191
4.445,27.958
4.4493,29.134
4.4534,30.289
4.4576,31.835
4.4617,32.38
4.4657,32.179
4.4696,31.558
4.4733,30.554
4.4773,28.917
4.4812,27.529
4.4851,25.957
4.489,24.791
4.4925,24.171
4.4959,23.926
4.4992,23.607
4.5023,23.188
4.5053,22.893
4.5084,22.6
4.5115,22.291
4.5148,21.745
4.5184,21.304
4.5212,21.058
4.5244,20.855
4.5277,20.663
4.5309,20.55
4.5342,20.553
4.5375,20.741
4.5407,20.962
4.7613,23.121
4.7664,23.593
4.7718,23.929
4.7773,23.957
4.7825,23.713
4.7879,23.407
4.7927,23.058
4.7976,22.739
4.8012,22.457
4.8056,22.318
4.8102,22.119
4.8152,21.941
4.8199,22.151
4.8246,22.339
4.8297,22.553
4.8345,22.591
4.839,22.779
4.8432,22.875
4.8472,22.991
4.851,23.004
4.8549,23.137
4.859,23.398
4.8632,23.721
4.8672,23.858
4.8712,23.835
4.8751,23.946
4.879,23.978
4.8827,24.114
4.8861,24.336
4.8893,24.566
4.8923,24.705
4.8953,24.72
4.8984,24.534
4.9016,24.237
4.9054,23.742
4.9092,23.057
4.9129,22.162
4.9168,21.444
4.9206,20.931
4.9245,20.567
4.9284,20.051
4.9324,19.321
4.9363,18.652
4.9402,18.195
4.9445,17.834
4.949,17.598
4.9532,17.491
4.9574,17.535
4.9618,17.593
4.9663,17.702
4.9707,17.667
4.9752,17.683
4.9796,17.839
4.9838,18.063
4.988,18.344
4.9924,18.758
4.9966,19.2
5.0006,19.673
5.0048,20.221
5.0091,20.795
5.0135,21.315
5.0176,21.666
5.0217,21.878
5.0262,22.083
5.0302,22.141
5.034,22.17
5.0378,22.252
5.0416,22.385
5.0459,22.161
5.05,21.856
5.0542,21.669
5.0581,22.27
5.0617,22.709
5.0652,23.365
5.0687,23.237
5.0721,22.844
5.0756,22.11
5.0792,21.569
5.0829,21.181
5.0867,20.885
5.0906,20.85
5.0954,21.06
5.1002,21.424
5.105,21.876
5.11,22.437
5.1151,23.059
5.1202,23.766
5.1254,24.543
5.1302,25.264
5.1351,26.059
5.1398,26.614
5.1446,27.215
5.1496,27.811
5.1542,28.247
5.1588,28.579
5.1635,28.901
5.1677,29.079
5.1717,29.253
5.1766,29.339
5.1809,29.231
5.1855,29.047
5.1905,28.673
5.1953,28.299
5.2,27.816
5.2044,27.499
5.2087,27.2
5.2127,26.968
5.2166,26.563
5.2204,26.166
5.2242,25.622
5.2282,24.883
5.233,24.137
5.2385,23.504
5.2437,22.991
5.2491,22.351
5.2548,21.648
5.2605,20.895
5.2661,20.291
5.271,19.77
5.2757,19.284
5.2805,18.739
5.2856,18.336
5.2908,18.038
5.2963,17.907
5.3016,17.919
5.3074,18.079
5.3132,18.484
5.3188,18.924
5.3237,19.355
5.3284,19.748
5.3324,20.09
5.3362,20.521
5.3398,21.041
5.3433,21.628
5.3471,22.323
5.3508,23.063
5.3545,23.811
5.3579,24.574
5.361,25.318
5.3642,26.118
5.3673,26.96
5.3705,27.944
5.3737,28.845
5.3767,29.523
5.3794,30.091
5.382,30.58
5.3846,31.075
5.3874,31.677
5.3901,32.286
5.393,32.754
5.3964,32.868
5.3998,32.906
5.4031,32.585
5.4065,32.415
5.41,32.155
5.4136,31.962
5.4171,31.589
5.4204,31.032
5.4237,30.328
5.4272,29.826
5.4306,29.379
5.4343,28.998
5.4383,28.291
5.4427,27.423
5.4473,26.503
5.4519,25.821
5.4563,25.309
5.4601,25.02
5.4636,24.695
5.4672,24.368
5.471,24.096
5.4753,23.765
5.4794,23.455
5.4831,23.199
5.4869,22.94
5.4906,22.556
5.4948,22.306
5.4989,21.981
5.5029,21.79
5.5071,21.675
5.5112,21.566
5.5156,21.422
5.5198,21.309
5.524,21.243
5.5287,21.206
5.5337,21.225
5.5387,21.249
5.5438,21.226
5.5488,21.153
5.5539,21.065
5.559,20.966
5.5642,20.745
5.5696,20.579
5.5747,20.467
5.5798,20.16
5.5851,19.741
5.5902,19.344
5.5957,18.874
5.6011,18.435
5.6067,18.14
5.612,18.002
5.6173,18.077
5.6225,18.14
5.6271,18.132
5.6316,18.229
5.6364,18.185
5.6412,18.039
5.6466,17.822
5.6515,17.51
5.6571,17.172
5.6627,16.844
5.6681,16.514
5.673,16.409
5.6782,16.429
5.6838,16.362
5.6892,16.24
5.6941,16.126
5.6997,16.089
5.7053,16.032
5.711,16.096
5.7161,16.31
5.721,16.403
5.726,16.408
5.731,16.357
5.7365,16.453
5.7418,16.635
5.747,16.921
5.752,17.23
5.7569,17.433
5.7611,17.647
5.7658,17.904
5.7705,17.902
5.775,17.961
5.7795,18.003
5.7836,18.233
5.7876,18.364
5.7913,18.388
5.7951,18.35
5.7988,18.267
5.8257,31.242
5.8289,30.883
5.8322,30.313
5.8356,29.443
5.8392,28.74
5.8429,28.37
5.8466,27.76
5.8502,26.985
5.8536,26.378
5.857,26.038
5.8605,25.586
5.8638,25.075
5.8674,24.605
5.8711,24.195
5.8743,23.775
5.8773,23.359
5.8803,22.803
5.8835,22.375
5.8868,21.895
5.89,21.327
5.8935,20.867
5.8972,20.29
5.9013,20.101
5.9052,20.067
5.9091,20.108
5.9129,20.272
5.9163,20.408
5.9198,20.59
5.9236,20.796
5.9277,20.963
5.9315,21.167
5.9357,21.598
5.9399,22.12
5.9438,22.71
5.9474,23.298
5.9508,23.954
5.9544,24.596
5.9581,25.061
5.9617,25.115
5.9652,25.217
5.9687,25.288
5.9723,25.246
5.9758,25.314
5.9793,25.365
5.9829,25.554
5.9863,25.919
5.9899,26.01
5.9935,26.127
5.997,25.956
6.0004,25.763
6.0038,25.472
6.0072,25.095
6.0105,24.667
6.0137,24.101
6.0169,23.279
6.0202,22.614
6.0235,21.864
6.0269,21.435
6.0305,21.128
6.0344,20.89
6.0382,20.685
6.0422,20.598
6.0463,20.68
6.0505,20.804
6.0544,20.829
6.0585,20.945
6.0626,21.029
6.0668,21.216
6.0711,21.482
6.075,21.667
6.0795,21.982
6.0838,22.159
6.0884,22.423
6.0932,22.77
6.098,23.082
6.1031,23.308
6.1078,23.327
6.1131,23.076
6.118,22.65
6.123,22.176
6.1276,21.724
6.1316,21.417
6.1352,21.004
6.1387,20.59
6.1428,20.249
6.1471,20.003
6.1514,19.865
6.1552,19.565
6.1595,19.146
6.1638,18.89
6.1681,18.636
6.1724,18.455
6.1765,18.388
6.1805,18.389
6.1844,18.482
6.1886,18.658
6.1927,18.64
6.1967,18.634
6.2009,18.686
6.2051,18.671
6.2095,18.617
6.2138,18.493
6.2178,18.496
6.2218,18.526
6.2259,18.668
6.2299,18.831
6.234,18.739
6.2385,18.479
6.2431,18.134
6.2475,17.838
6.252,17.584
6.2563,17.338
6.2607,17.063
6.2649,16.845
6.2692,16.666
6.2734,16.568
6.2776,16.405
6.2817,16.267
6.2857,16.183
6.2898,16.14
6.2938,16.177
6.298,16.296
6.3023,16.639
6.3063,16.895
