cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 1.0439394E+001, 1.1809515E+001, 1.1742486E+001, 9.1000000E+000, 6.1754432E+002, 6.6118607E+002, 6.2695770E+002, 5.4561911E+002, 4.7195800E+002, 4.1437163E+002, 4.5154366E+002, 4.6665427E+002, 4.0838765E+002, 3.3803445E+002, 2.6653130E+002, 2.0514738E+002,-1.0620482E+001, 3.7168653E-009, 8.1044042E-002, 1.9880957E-001, 7.7572707E-002, 4.4273366E-002, 9.0997945E-009, 1.2877489E-001, 3.5780827E-001, 8.9867655E-002, 4.9254300E-002
 1.0936364E+001, 1.2471238E+001, 1.2493668E+001, 9.5800000E+000, 5.9387028E+002, 6.5142082E+002, 6.2641123E+002, 5.3720504E+002, 4.5844060E+002, 4.0360664E+002, 4.3444946E+002, 4.5976609E+002, 4.1092606E+002, 3.2414440E+002, 2.4652433E+002, 1.8503382E+002,-1.0126506E+001, 1.4891918E-007, 1.2366717E-001, 2.0319406E-001, 8.3575135E-002, 4.9462073E-002, 3.4920376E-007, 2.0701540E-001, 3.6518347E-001, 1.0275072E-001, 5.0443100E-002
 1.1433333E+001, 1.2946420E+001, 1.3040508E+001, 1.0060000E+001, 5.7065567E+002, 6.4528719E+002, 6.2136242E+002, 5.2880418E+002, 4.4564397E+002, 3.9288201E+002, 4.2105285E+002, 4.5620140E+002, 4.0984505E+002, 3.1136050E+002, 2.2748932E+002, 1.6300328E+002,-9.6325301E+000, 4.2218943E-006, 1.9049475E-001, 2.0720839E-001, 9.0040382E-002, 5.4794602E-002, 9.5944194E-006, 3.3294263E-001, 3.7016357E-001, 1.1844292E-001, 5.2444202E-002
 1.1930303E+001, 1.3321851E+001, 1.3529355E+001, 1.0540000E+001, 5.4599193E+002, 6.4202562E+002, 6.1498092E+002, 5.2255764E+002, 4.3639285E+002, 3.8387131E+002, 4.1137266E+002, 4.5641303E+002, 4.0549596E+002, 3.0110038E+002, 2.0865201E+002, 1.4596677E+002,-9.1385542E+000, 8.4944428E-005, 2.4810607E-001, 2.1132997E-001, 9.6157940E-002, 6.0199506E-002, 1.8911984E-004, 4.2439806E-001, 3.7223768E-001, 1.3605106E-001, 5.4822619E-002
 1.2427273E+001, 1.3590518E+001, 1.3925009E+001, 1.1020000E+001, 5.0195911E+002, 6.4062678E+002, 6.0398541E+002, 5.1020706E+002, 4.2425587E+002, 3.7423645E+002, 3.7530967E+002, 4.6153779E+002, 3.9718333E+002, 2.8576486E+002, 1.8731589E+002, 1.2920380E+002,-8.6445783E+000, 1.0642372E-003, 2.8262627E-001, 2.1390491E-001, 1.0209610E-001, 6.6765472E-002, 2.3347113E-003, 4.6498812E-001, 3.6997454E-001, 1.5666615E-001, 6.1398191E-002
 1.2924242E+001, 1.3725577E+001, 1.4154305E+001, 1.1500000E+001, 3.9567989E+002, 6.3079157E+002, 5.9715397E+002, 4.9516179E+002, 4.1502133E+002, 3.6438502E+002, 1.9575667E+002, 4.7138770E+002, 3.9476772E+002, 2.6236743E+002, 1.7084352E+002, 1.0765289E+002,-8.1506024E+000, 7.0845548E-003, 2.9396740E-001, 2.1361453E-001, 1.0833950E-001, 7.3525998E-002, 1.4676558E-002, 4.6731360E-001, 3.6335162E-001, 1.8102925E-001, 7.5876313E-002
 1.3421212E+001, 1.3785276E+001, 1.4302896E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.6566265E+000, 2.2702516E-002, 2.8581696E-001, 2.0856769E-001, 1.1337266E-001, 8.1648515E-002, 4.1538399E-002, 4.4628816E-001, 3.5146141E-001, 1.9807745E-001, 1.0159965E-001
 1.3918182E+001, 1.3729976E+001, 1.4306508E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.1626506E+000, 4.0374075E-002, 2.6220137E-001, 1.9674309E-001, 1.1875487E-001, 9.1938448E-002, 6.5595155E-002, 4.1130119E-001, 3.3399290E-001, 2.1129244E-001, 1.3492088E-001
 1.4415152E+001, 1.3530540E+001, 1.4101439E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.6686747E+000, 5.5744241E-002, 2.3162339E-001, 1.7784678E-001, 1.2279369E-001, 9.8508461E-002, 8.3329192E-002, 3.6973234E-001, 3.1054461E-001, 2.1783976E-001, 1.4784610E-001
 1.4912121E+001, 1.3205612E+001, 1.3748147E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.1746988E+000, 7.8169491E-002, 1.9884665E-001, 1.6075097E-001, 1.2644624E-001, 1.0473532E-001, 1.0057576E-001, 3.2100762E-001, 2.9036486E-001, 2.2130148E-001, 1.5217354E-001
