m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/s/m2,kg/s/m2,kg/s/m2
x,Wp2,Wp4,Wp6,Up2,Up4,Up6,YHEp2,YHEp4,YHEp6,YMIXp2,YMIXp4,YMIXp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,YHEp2_rms,YHEp4_rms,YHEp6_rms,YMIXp2_rms,YMIXp4_rms,YMIXp6_rms,MFLUXZp2,MFLUXZp4,MFLUXZp6
 1.328E-01, 1.395E+00, 2.143E+00, 2.487E+00,-5.942E-01,-1.942E-01,-7.017E-02, 2.649E-01, 1.434E-01, 1.062E-01, 3.745E-01, 2.027E-01, 1.501E-01, 7.619E-01, 1.028E+00, 1.021E+00, 3.327E-01, 4.217E-01, 4.844E-01, 1.507E-01, 1.262E-01, 1.089E-01, 2.131E-01, 1.783E-01, 1.540E-01, 2.020E-01, 2.162E-01, 2.071E-01
 1.484E-01, 1.332E+00, 1.971E+00, 2.254E+00,-6.104E-01,-1.967E-01,-7.640E-02, 2.310E-01, 1.214E-01, 9.381E-02, 3.265E-01, 1.716E-01, 1.326E-01, 7.775E-01, 9.365E-01, 1.008E+00, 3.314E-01, 4.273E-01, 5.007E-01, 1.420E-01, 1.137E-01, 1.009E-01, 2.007E-01, 1.607E-01, 1.426E-01, 1.821E-01, 1.791E-01, 1.761E-01
 1.641E-01, 1.275E+00, 1.785E+00, 2.080E+00,-6.064E-01,-1.983E-01,-8.556E-02, 2.014E-01, 1.030E-01, 8.694E-02, 2.846E-01, 1.456E-01, 1.229E-01, 7.724E-01, 8.705E-01, 9.362E-01, 3.420E-01, 4.290E-01, 5.083E-01, 1.322E-01, 1.015E-01, 9.368E-02, 1.868E-01, 1.435E-01, 1.324E-01, 1.637E-01, 1.471E-01, 1.563E-01
 1.797E-01, 1.224E+00, 1.651E+00, 1.870E+00,-5.982E-01,-1.993E-01,-9.709E-02, 1.812E-01, 9.249E-02, 7.883E-02, 2.561E-01, 1.307E-01, 1.114E-01, 7.418E-01, 8.037E-01, 8.614E-01, 3.363E-01, 4.301E-01, 4.979E-01, 1.269E-01, 9.166E-02, 8.379E-02, 1.794E-01, 1.296E-01, 1.184E-01, 1.484E-01, 1.269E-01, 1.342E-01
 1.953E-01, 1.197E+00, 1.524E+00, 1.656E+00,-5.997E-01,-1.999E-01,-9.991E-02, 1.656E-01, 8.650E-02, 7.169E-02, 2.341E-01, 1.223E-01, 1.013E-01, 6.750E-01, 7.311E-01, 7.929E-01, 3.269E-01, 4.412E-01, 4.942E-01, 1.211E-01, 8.471E-02, 7.505E-02, 1.712E-01, 1.197E-01, 1.061E-01, 1.361E-01, 1.130E-01, 1.131E-01
 2.109E-01, 1.149E+00, 1.390E+00, 1.498E+00,-5.954E-01,-2.001E-01,-1.079E-01, 1.497E-01, 8.249E-02, 6.711E-02, 2.116E-01, 1.166E-01, 9.486E-02, 6.327E-01, 6.577E-01, 7.215E-01, 3.321E-01, 4.529E-01, 4.838E-01, 1.145E-01, 8.044E-02, 6.930E-02, 1.618E-01, 1.137E-01, 9.795E-02, 1.223E-01, 1.016E-01, 9.743E-02
 2.266E-01, 1.078E+00, 1.210E+00, 1.335E+00,-5.715E-01,-1.957E-01,-1.165E-01, 1.339E-01, 7.568E-02, 6.152E-02, 1.892E-01, 1.070E-01, 8.696E-02, 5.985E-01, 6.294E-01, 6.601E-01, 3.425E-01, 4.465E-01, 4.715E-01, 1.081E-01, 7.375E-02, 6.313E-02, 1.528E-01, 1.042E-01, 8.923E-02, 1.075E-01, 8.492E-02, 8.186E-02
 2.422E-01, 1.002E+00, 1.055E+00, 1.161E+00,-5.427E-01,-1.853E-01,-1.137E-01, 1.207E-01, 6.669E-02, 5.292E-02, 1.706E-01, 9.426E-02, 7.480E-02, 5.513E-01, 6.042E-01, 5.886E-01, 3.514E-01, 4.399E-01, 4.469E-01, 1.018E-01, 6.562E-02, 5.281E-02, 1.439E-01, 9.275E-02, 7.464E-02, 9.372E-02, 6.906E-02, 6.385E-02
 2.578E-01, 9.255E-01, 9.353E-01, 1.004E+00,-5.164E-01,-1.862E-01,-1.126E-01, 1.104E-01, 5.989E-02, 4.565E-02, 1.560E-01, 8.465E-02, 6.453E-02, 5.208E-01, 5.654E-01, 5.431E-01, 3.598E-01, 4.301E-01, 4.252E-01, 9.720E-02, 6.170E-02, 4.614E-02, 1.374E-01, 8.721E-02, 6.522E-02, 8.417E-02, 5.782E-02, 5.140E-02
 2.734E-01, 8.752E-01, 7.738E-01, 8.517E-01,-4.872E-01,-2.013E-01,-1.135E-01, 9.873E-02, 5.153E-02, 3.911E-02, 1.395E-01, 7.284E-02, 5.528E-02, 4.761E-01, 5.513E-01, 5.162E-01, 3.566E-01, 4.138E-01, 4.096E-01, 8.964E-02, 5.618E-02, 4.279E-02, 1.267E-01, 7.941E-02, 6.048E-02, 7.426E-02, 4.533E-02, 4.055E-02
 2.891E-01, 7.501E-01, 6.582E-01, 7.157E-01,-4.464E-01,-2.046E-01,-1.158E-01, 8.444E-02, 4.315E-02, 3.175E-02, 1.194E-01, 6.099E-02, 4.487E-02, 4.709E-01, 5.122E-01, 5.040E-01, 3.484E-01, 3.897E-01, 4.044E-01, 8.367E-02, 5.149E-02, 4.044E-02, 1.183E-01, 7.278E-02, 5.716E-02, 6.004E-02, 3.577E-02, 3.079E-02
 3.047E-01, 5.974E-01, 5.338E-01, 5.927E-01,-4.109E-01,-1.913E-01,-1.188E-01, 6.993E-02, 3.528E-02, 2.474E-02, 9.885E-02, 4.986E-02, 3.497E-02, 4.477E-01, 4.553E-01, 4.749E-01, 3.443E-01, 3.742E-01, 3.965E-01, 7.693E-02, 4.564E-02, 3.620E-02, 1.087E-01, 6.451E-02, 5.116E-02, 4.510E-02, 2.570E-02, 2.273E-02
 3.203E-01, 4.992E-01, 4.330E-01, 5.072E-01,-3.834E-01,-1.910E-01,-1.269E-01, 5.869E-02, 2.796E-02, 2.000E-02, 8.296E-02, 3.952E-02, 2.826E-02, 3.594E-01, 4.019E-01, 4.596E-01, 3.344E-01, 3.544E-01, 3.806E-01, 6.638E-02, 3.985E-02, 3.451E-02, 9.383E-02, 5.632E-02, 4.878E-02, 3.276E-02, 1.779E-02, 1.824E-02
 3.359E-01, 3.601E-01, 3.130E-01, 4.316E-01,-3.516E-01,-1.980E-01,-1.470E-01, 4.752E-02, 2.189E-02, 1.711E-02, 6.716E-02, 3.094E-02, 2.419E-02, 3.439E-01, 3.702E-01, 4.087E-01, 3.230E-01, 3.259E-01, 3.673E-01, 5.638E-02, 3.567E-02, 3.385E-02, 7.969E-02, 5.041E-02, 4.784E-02, 2.145E-02, 1.080E-02, 1.433E-02
 3.516E-01, 2.625E-01, 2.481E-01, 3.304E-01,-3.217E-01,-1.926E-01,-1.571E-01, 3.635E-02, 1.840E-02, 1.450E-02, 5.138E-02, 2.600E-02, 2.050E-02, 3.240E-01, 2.961E-01, 3.392E-01, 3.112E-01, 3.006E-01, 3.462E-01, 4.736E-02, 3.442E-02, 3.209E-02, 6.694E-02, 4.866E-02, 4.535E-02, 1.447E-02, 7.457E-03, 9.712E-03
 3.672E-01, 2.081E-01, 1.937E-01, 2.826E-01,-2.969E-01,-1.859E-01,-1.532E-01, 2.948E-02, 1.397E-02, 1.208E-02, 4.167E-02, 1.975E-02, 1.707E-02, 3.210E-01, 2.561E-01, 2.807E-01, 2.997E-01, 2.833E-01, 3.210E-01, 4.305E-02, 3.153E-02, 2.961E-02, 6.085E-02, 4.456E-02, 4.185E-02, 1.178E-02, 5.378E-03, 6.577E-03
 3.828E-01, 1.359E-01, 1.656E-01, 2.247E-01,-2.728E-01,-1.796E-01,-1.547E-01, 2.345E-02, 1.033E-02, 9.535E-03, 3.315E-02, 1.460E-02, 1.348E-02, 2.887E-01, 2.485E-01, 2.791E-01, 2.887E-01, 2.673E-01, 3.043E-01, 4.075E-02, 2.720E-02, 2.501E-02, 5.760E-02, 3.844E-02, 3.536E-02, 8.003E-03, 3.845E-03, 4.885E-03
