s,kg/s,m/s
 3.909E+00, 4.808E-02, 3.050E+00
 3.919E+00, 4.808E-02, 3.033E+00
 3.929E+00, 4.809E-02, 3.011E+00
 3.939E+00, 4.809E-02, 2.983E+00
 3.949E+00, 4.809E-02, 2.950E+00
 3.959E+00, 4.809E-02, 2.912E+00
 3.969E+00, 4.809E-02, 2.869E+00
 3.979E+00, 4.809E-02, 2.824E+00
 3.989E+00, 4.809E-02, 2.777E+00
 3.999E+00, 4.809E-02, 2.731E+00
 4.009E+00, 4.809E-02, 2.688E+00
 4.019E+00, 4.809E-02, 2.652E+00
 4.029E+00, 4.809E-02, 2.626E+00
 4.039E+00, 4.809E-02, 2.610E+00
 4.049E+00, 4.809E-02, 2.608E+00
 4.059E+00, 4.809E-02, 2.620E+00
 4.069E+00, 4.809E-02, 2.649E+00
 4.079E+00, 4.810E-02, 2.695E+00
 4.089E+00, 4.810E-02, 2.756E+00
 4.099E+00, 4.810E-02, 2.833E+00
 4.109E+00, 4.810E-02, 2.923E+00
 4.120E+00, 4.810E-02, 3.023E+00
 4.130E+00, 4.810E-02, 3.127E+00
 4.140E+00, 4.810E-02, 3.229E+00
 4.150E+00, 4.810E-02, 3.324E+00
 4.160E+00, 4.810E-02, 3.406E+00
 4.170E+00, 4.810E-02, 3.467E+00
 4.180E+00, 4.810E-02, 3.505E+00
 4.190E+00, 4.810E-02, 3.518E+00
 4.200E+00, 4.810E-02, 3.506E+00
 4.210E+00, 4.810E-02, 3.471E+00
 4.220E+00, 4.810E-02, 3.418E+00
 4.230E+00, 4.810E-02, 3.353E+00
 4.240E+00, 4.810E-02, 3.283E+00
 4.250E+00, 4.810E-02, 3.213E+00
 4.260E+00, 4.810E-02, 3.150E+00
 4.270E+00, 4.810E-02, 3.097E+00
 4.280E+00, 4.810E-02, 3.057E+00
 4.290E+00, 4.810E-02, 3.030E+00
 4.300E+00, 4.810E-02, 3.017E+00
 4.310E+00, 4.811E-02, 3.014E+00
 4.320E+00, 4.811E-02, 3.018E+00
 4.330E+00, 4.811E-02, 3.027E+00
 4.341E+00, 4.811E-02, 3.037E+00
 4.351E+00, 4.811E-02, 3.046E+00
 4.361E+00, 4.811E-02, 3.049E+00
 4.372E+00, 4.811E-02, 3.045E+00
 4.383E+00, 4.811E-02, 3.031E+00
 4.394E+00, 4.811E-02, 3.008E+00
 4.405E+00, 4.811E-02, 2.974E+00
 4.416E+00, 4.811E-02, 2.933E+00
 4.427E+00, 4.811E-02, 2.887E+00
 4.438E+00, 4.811E-02, 2.840E+00
 4.449E+00, 4.811E-02, 2.796E+00
 4.460E+00, 4.811E-02, 2.758E+00
 4.471E+00, 4.811E-02, 2.728E+00
 4.482E+00, 4.811E-02, 2.709E+00
 4.492E+00, 4.811E-02, 2.700E+00
 4.502E+00, 4.811E-02, 2.698E+00
 4.512E+00, 4.811E-02, 2.700E+00
 4.522E+00, 4.811E-02, 2.706E+00
 4.532E+00, 4.811E-02, 2.711E+00
 4.542E+00, 4.811E-02, 2.713E+00
 4.552E+00, 4.811E-02, 2.712E+00
 4.562E+00, 4.811E-02, 2.704E+00
 4.573E+00, 4.811E-02, 2.687E+00
 4.584E+00, 4.811E-02, 2.663E+00
 4.594E+00, 4.811E-02, 2.634E+00
 4.605E+00, 4.811E-02, 2.602E+00
 4.616E+00, 4.811E-02, 2.574E+00
 4.627E+00, 4.811E-02, 2.553E+00
 4.638E+00, 4.811E-02, 2.546E+00
 4.649E+00, 4.811E-02, 2.556E+00
 4.660E+00, 4.811E-02, 2.588E+00
 4.671E+00, 4.811E-02, 2.644E+00
 4.682E+00, 4.811E-02, 2.723E+00
 4.693E+00, 4.811E-02, 2.824E+00
 4.704E+00, 4.811E-02, 2.940E+00
 4.715E+00, 4.811E-02, 3.063E+00
 4.726E+00, 4.812E-02, 3.186E+00
 4.737E+00, 4.812E-02, 3.298E+00
 4.747E+00, 4.812E-02, 3.390E+00
 4.758E+00, 4.812E-02, 3.454E+00
 4.769E+00, 4.812E-02, 3.487E+00
 4.780E+00, 4.812E-02, 3.488E+00
 4.791E+00, 4.812E-02, 3.458E+00
 4.802E+00, 4.812E-02, 3.405E+00
 4.813E+00, 4.812E-02, 3.333E+00
 4.824E+00, 4.812E-02, 3.251E+00
 4.835E+00, 4.812E-02, 3.168E+00
 4.846E+00, 4.812E-02, 3.090E+00
 4.857E+00, 4.812E-02, 3.023E+00
 4.868E+00, 4.812E-02, 2.970E+00
 4.879E+00, 4.812E-02, 2.936E+00
 4.890E+00, 4.812E-02, 2.922E+00
 4.900E+00, 4.812E-02, 2.932E+00
 4.911E+00, 4.812E-02, 2.966E+00
 4.922E+00, 4.812E-02, 3.024E+00
 4.933E+00, 4.812E-02, 3.105E+00
 4.944E+00, 4.812E-02, 3.201E+00
 4.955E+00, 4.812E-02, 3.306E+00
 4.966E+00, 4.812E-02, 3.406E+00
 4.977E+00, 4.812E-02, 3.492E+00
 4.988E+00, 4.812E-02, 3.552E+00
 4.999E+00, 4.812E-02, 3.581E+00
 5.010E+00, 4.812E-02, 3.577E+00
 5.021E+00, 4.812E-02, 3.542E+00
 5.032E+00, 4.812E-02, 3.484E+00
 5.043E+00, 4.812E-02, 3.412E+00
 5.053E+00, 4.812E-02, 3.338E+00
 5.064E+00, 4.812E-02, 3.272E+00
 5.075E+00, 4.812E-02, 3.223E+00
 5.086E+00, 4.812E-02, 3.196E+00
 5.097E+00, 4.812E-02, 3.193E+00
 5.108E+00, 4.812E-02, 3.215E+00
 5.119E+00, 4.812E-02, 3.259E+00
 5.130E+00, 4.812E-02, 3.321E+00
 5.141E+00, 4.812E-02, 3.394E+00
 5.153E+00, 4.812E-02, 3.480E+00
 5.165E+00, 4.812E-02, 3.564E+00
 5.177E+00, 4.812E-02, 3.636E+00
 5.189E+00, 4.812E-02, 3.692E+00
 5.201E+00, 4.812E-02, 3.727E+00
 5.213E+00, 4.812E-02, 3.742E+00
 5.225E+00, 4.812E-02, 3.737E+00
 5.237E+00, 4.812E-02, 3.714E+00
 5.249E+00, 4.812E-02, 3.677E+00
 5.261E+00, 4.812E-02, 3.628E+00
 5.273E+00, 4.812E-02, 3.571E+00
 5.285E+00, 4.812E-02, 3.511E+00
 5.297E+00, 4.812E-02, 3.454E+00
 5.309E+00, 4.812E-02, 3.404E+00
 5.321E+00, 4.812E-02, 3.368E+00
 5.333E+00, 4.812E-02, 3.350E+00
 5.345E+00, 4.812E-02, 3.351E+00
 5.357E+00, 4.812E-02, 3.372E+00
 5.369E+00, 4.812E-02, 3.410E+00
 5.381E+00, 4.812E-02, 3.456E+00
 5.393E+00, 4.812E-02, 3.502E+00
 5.405E+00, 4.812E-02, 3.538E+00
 5.417E+00, 4.812E-02, 3.554E+00
 5.429E+00, 4.812E-02, 3.546E+00
 5.441E+00, 4.812E-02, 3.510E+00
 5.453E+00, 4.812E-02, 3.448E+00
 5.465E+00, 4.812E-02, 3.367E+00
 5.478E+00, 4.812E-02, 3.276E+00
 5.490E+00, 4.812E-02, 3.183E+00
 5.502E+00, 4.812E-02, 3.097E+00
 5.514E+00, 4.812E-02, 3.022E+00
 5.526E+00, 4.812E-02, 2.963E+00
 5.538E+00, 4.812E-02, 2.918E+00
 5.550E+00, 4.812E-02, 2.886E+00
 5.562E+00, 4.812E-02, 2.864E+00
 5.574E+00, 4.812E-02, 2.848E+00
 5.586E+00, 4.812E-02, 2.832E+00
 5.598E+00, 4.812E-02, 2.814E+00
 5.610E+00, 4.812E-02, 2.791E+00
 5.622E+00, 4.812E-02, 2.762E+00
 5.634E+00, 4.812E-02, 2.728E+00
 5.646E+00, 4.812E-02, 2.690E+00
 5.658E+00, 4.812E-02, 2.651E+00
 5.670E+00, 4.812E-02, 2.612E+00
 5.682E+00, 4.812E-02, 2.576E+00
 5.694E+00, 4.812E-02, 2.545E+00
 5.706E+00, 4.812E-02, 2.519E+00
 5.718E+00, 4.812E-02, 2.500E+00
 5.730E+00, 4.812E-02, 2.486E+00
 5.742E+00, 4.812E-02, 2.477E+00
 5.754E+00, 4.812E-02, 2.468E+00
 5.766E+00, 4.812E-02, 2.456E+00
 5.778E+00, 4.812E-02, 2.439E+00
 5.790E+00, 4.812E-02, 2.414E+00
 5.802E+00, 4.812E-02, 2.381E+00
 5.814E+00, 4.812E-02, 2.342E+00
 5.826E+00, 4.812E-02, 2.299E+00
 5.838E+00, 4.812E-02, 2.257E+00
 5.850E+00, 4.812E-02, 2.220E+00
 5.862E+00, 4.812E-02, 2.192E+00
 5.874E+00, 4.812E-02, 2.176E+00
 5.886E+00, 4.812E-02, 2.174E+00
 5.898E+00, 4.812E-02, 2.186E+00
 5.910E+00, 4.812E-02, 2.211E+00
 5.922E+00, 4.812E-02, 2.248E+00
 5.934E+00, 4.812E-02, 2.294E+00
 5.946E+00, 4.812E-02, 2.347E+00
 5.958E+00, 4.812E-02, 2.406E+00
 5.970E+00, 4.812E-02, 2.468E+00
 5.982E+00, 4.812E-02, 2.531E+00
 5.994E+00, 4.812E-02, 2.593E+00
 6.006E+00, 4.812E-02, 2.651E+00
 6.019E+00, 4.812E-02, 2.704E+00
 6.031E+00, 4.812E-02, 2.754E+00
 6.043E+00, 4.812E-02, 2.798E+00
 6.055E+00, 4.812E-02, 2.840E+00
 6.067E+00, 4.812E-02, 2.880E+00
 6.079E+00, 4.812E-02, 2.920E+00
 6.091E+00, 4.812E-02, 2.964E+00
 6.103E+00, 4.812E-02, 3.015E+00
 6.115E+00, 4.812E-02, 3.073E+00
 6.127E+00, 4.812E-02, 3.140E+00
 6.139E+00, 4.812E-02, 3.215E+00
 6.151E+00, 4.812E-02, 3.295E+00
 6.163E+00, 4.812E-02, 3.378E+00
 6.175E+00, 4.812E-02, 3.456E+00
 6.187E+00, 4.812E-02, 3.523E+00
 6.199E+00, 4.812E-02, 3.573E+00
 6.211E+00, 4.812E-02, 3.600E+00
 6.223E+00, 4.812E-02, 3.601E+00
 6.235E+00, 4.812E-02, 3.576E+00
 6.247E+00, 4.812E-02, 3.529E+00
 6.259E+00, 4.812E-02, 3.467E+00
 6.271E+00, 4.812E-02, 3.401E+00
 6.283E+00, 4.812E-02, 3.342E+00
 6.295E+00, 4.812E-02, 3.302E+00
 6.307E+00, 4.812E-02, 3.289E+00
 6.318E+00, 4.812E-02, 3.307E+00
 6.329E+00, 4.812E-02, 3.353E+00
 6.339E+00, 4.812E-02, 3.425E+00
 6.350E+00, 4.812E-02, 3.515E+00
 6.361E+00, 4.812E-02, 3.615E+00
 6.371E+00, 4.812E-02, 3.712E+00
 6.382E+00, 4.812E-02, 3.794E+00
 6.393E+00, 4.812E-02, 3.852E+00
 6.404E+00, 4.812E-02, 3.879E+00
 6.414E+00, 4.812E-02, 3.872E+00
 6.425E+00, 4.812E-02, 3.837E+00
 6.436E+00, 4.812E-02, 3.780E+00
 6.447E+00, 4.812E-02, 3.711E+00
 6.457E+00, 4.812E-02, 3.642E+00
 6.468E+00, 4.812E-02, 3.581E+00
 6.479E+00, 4.812E-02, 3.533E+00
 6.490E+00, 4.812E-02, 3.502E+00
 6.500E+00, 4.812E-02, 3.486E+00
 6.511E+00, 4.812E-02, 3.481E+00
 6.522E+00, 4.812E-02, 3.482E+00
 6.533E+00, 4.812E-02, 3.481E+00
 6.543E+00, 4.812E-02, 3.473E+00
 6.554E+00, 4.812E-02, 3.452E+00
 6.565E+00, 4.812E-02, 3.416E+00
 6.576E+00, 4.812E-02, 3.366E+00
 6.586E+00, 4.812E-02, 3.303E+00
 6.597E+00, 4.812E-02, 3.231E+00
 6.608E+00, 4.812E-02, 3.156E+00
 6.619E+00, 4.812E-02, 3.080E+00
 6.629E+00, 4.812E-02, 3.006E+00
 6.640E+00, 4.812E-02, 2.936E+00
 6.651E+00, 4.812E-02, 2.870E+00
 6.661E+00, 4.812E-02, 2.810E+00
 6.672E+00, 4.812E-02, 2.756E+00
 6.683E+00, 4.812E-02, 2.713E+00
 6.694E+00, 4.812E-02, 2.684E+00
 6.704E+00, 4.812E-02, 2.673E+00
 6.715E+00, 4.812E-02, 2.684E+00
 6.726E+00, 4.812E-02, 2.719E+00
 6.737E+00, 4.812E-02, 2.778E+00
 6.747E+00, 4.812E-02, 2.859E+00
 6.758E+00, 4.812E-02, 2.955E+00
 6.769E+00, 4.812E-02, 3.057E+00
 6.780E+00, 4.812E-02, 3.155E+00
 6.790E+00, 4.812E-02, 3.240E+00
 6.801E+00, 4.812E-02, 3.303E+00
 6.813E+00, 4.812E-02, 3.341E+00
 6.825E+00, 4.812E-02, 3.345E+00
 6.837E+00, 4.812E-02, 3.319E+00
 6.848E+00, 4.812E-02, 3.271E+00
 6.860E+00, 4.812E-02, 3.209E+00
 6.872E+00, 4.812E-02, 3.142E+00
 6.884E+00, 4.812E-02, 3.078E+00
 6.896E+00, 4.812E-02, 3.021E+00
 6.907E+00, 4.812E-02, 2.975E+00
 6.919E+00, 4.812E-02, 2.940E+00
 6.931E+00, 4.812E-02, 2.915E+00
 6.943E+00, 4.812E-02, 2.898E+00
 6.955E+00, 4.812E-02, 2.885E+00
 6.966E+00, 4.812E-02, 2.872E+00
 6.978E+00, 4.812E-02, 2.857E+00
 6.990E+00, 4.812E-02, 2.839E+00
 7.002E+00, 4.812E-02, 2.819E+00
 7.014E+00, 4.812E-02, 2.799E+00
 7.026E+00, 4.812E-02, 2.783E+00
 7.037E+00, 4.812E-02, 2.773E+00
 7.049E+00, 4.812E-02, 2.771E+00
 7.061E+00, 4.812E-02, 2.777E+00
 7.073E+00, 4.812E-02, 2.790E+00
 7.085E+00, 4.812E-02, 2.808E+00
 7.096E+00, 4.812E-02, 2.829E+00
 7.108E+00, 4.812E-02, 2.852E+00
 7.120E+00, 4.812E-02, 2.875E+00
 7.132E+00, 4.812E-02, 2.897E+00
 7.144E+00, 4.812E-02, 2.920E+00
 7.156E+00, 4.812E-02, 2.945E+00
 7.167E+00, 4.812E-02, 2.973E+00
 7.179E+00, 4.812E-02, 3.007E+00
 7.191E+00, 4.812E-02, 3.050E+00
 7.203E+00, 4.812E-02, 3.105E+00
 7.215E+00, 4.812E-02, 3.173E+00
 7.226E+00, 4.812E-02, 3.255E+00
 7.238E+00, 4.812E-02, 3.350E+00
 7.250E+00, 4.812E-02, 3.450E+00
 7.262E+00, 4.812E-02, 3.549E+00
 7.274E+00, 4.812E-02, 3.638E+00
 7.285E+00, 4.812E-02, 3.705E+00
 7.296E+00, 4.812E-02, 3.740E+00
 7.306E+00, 4.812E-02, 3.749E+00
 7.316E+00, 4.812E-02, 3.732E+00
 7.327E+00, 4.812E-02, 3.692E+00
 7.337E+00, 4.812E-02, 3.637E+00
 7.347E+00, 4.812E-02, 3.574E+00
 7.358E+00, 4.812E-02, 3.513E+00
 7.368E+00, 4.812E-02, 3.461E+00
 7.378E+00, 4.812E-02, 3.423E+00
 7.389E+00, 4.812E-02, 3.405E+00
 7.399E+00, 4.812E-02, 3.406E+00
 7.409E+00, 4.812E-02, 3.426E+00
 7.420E+00, 4.812E-02, 3.461E+00
 7.430E+00, 4.812E-02, 3.505E+00
 7.440E+00, 4.812E-02, 3.551E+00
 7.451E+00, 4.812E-02, 3.591E+00
 7.461E+00, 4.812E-02, 3.617E+00
 7.471E+00, 4.812E-02, 3.622E+00
 7.482E+00, 4.812E-02, 3.603E+00
 7.492E+00, 4.812E-02, 3.560E+00
 7.502E+00, 4.812E-02, 3.494E+00
 7.513E+00, 4.812E-02, 3.413E+00
 7.523E+00, 4.812E-02, 3.324E+00
 7.533E+00, 4.812E-02, 3.233E+00
 7.544E+00, 4.812E-02, 3.147E+00
 7.554E+00, 4.812E-02, 3.071E+00
 7.565E+00, 4.812E-02, 3.000E+00
