m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg
-1.375E-01, 1.407E+00, 1.939E+00, 2.267E+00, 2.717E-01, 1.283E-01, 6.351E-02, 1.924E-01, 1.509E-01, 1.244E-01, 7.384E-01, 9.544E-01, 1.022E+00, 3.249E-01, 3.825E-01, 4.438E-01, 1.119E-01, 9.779E-02, 9.082E-02
-1.125E-01, 1.560E+00, 2.205E+00, 2.557E+00, 2.612E-01, 1.100E-01, 3.688E-02, 2.323E-01, 1.869E-01, 1.516E-01, 8.052E-01, 9.972E-01, 1.097E+00, 3.255E-01, 3.901E-01, 4.396E-01, 1.331E-01, 1.100E-01, 9.929E-02
-8.750E-02, 1.801E+00, 2.479E+00, 2.799E+00, 2.185E-01, 9.176E-02, 2.229E-02, 2.906E-01, 2.258E-01, 1.780E-01, 7.920E-01, 1.004E+00, 1.141E+00, 3.346E-01, 4.040E-01, 4.423E-01, 1.488E-01, 1.206E-01, 1.062E-01
-6.250E-02, 2.049E+00, 2.684E+00, 2.973E+00, 1.518E-01, 6.617E-02, 1.848E-02, 3.620E-01, 2.620E-01, 2.016E-01, 7.993E-01, 1.026E+00, 1.187E+00, 3.295E-01, 4.014E-01, 4.454E-01, 1.676E-01, 1.287E-01, 1.099E-01
-3.750E-02, 2.213E+00, 2.792E+00, 3.159E+00, 8.747E-02, 3.914E-02, 1.425E-02, 4.106E-01, 2.898E-01, 2.234E-01, 7.610E-01, 1.089E+00, 1.197E+00, 3.279E-01, 3.887E-01, 4.526E-01, 1.757E-01, 1.348E-01, 1.131E-01
-1.250E-02, 2.235E+00, 2.874E+00, 3.210E+00, 4.399E-02, 1.613E-02, 1.240E-04, 4.255E-01, 3.066E-01, 2.350E-01, 7.562E-01, 1.061E+00, 1.235E+00, 3.274E-01, 3.869E-01, 4.586E-01, 1.838E-01, 1.373E-01, 1.164E-01
 1.250E-02, 2.199E+00, 2.925E+00, 3.217E+00,-5.143E-02,-4.450E-02,-3.484E-02, 4.209E-01, 3.100E-01, 2.359E-01, 7.938E-01, 9.936E-01, 1.193E+00, 3.366E-01, 4.305E-01, 5.087E-01, 1.905E-01, 1.334E-01, 1.164E-01
 3.750E-02, 2.070E+00, 2.826E+00, 3.175E+00,-1.037E-01,-6.647E-02,-4.809E-02, 3.870E-01, 2.975E-01, 2.287E-01, 8.202E-01, 1.062E+00, 1.175E+00, 3.199E-01, 4.049E-01, 4.759E-01, 1.814E-01, 1.388E-01, 1.174E-01
 6.250E-02, 1.933E+00, 2.722E+00, 3.061E+00,-1.921E-01,-1.092E-01,-6.394E-02, 3.425E-01, 2.726E-01, 2.100E-01, 8.391E-01, 1.034E+00, 1.158E+00, 3.178E-01, 3.958E-01, 4.727E-01, 1.670E-01, 1.345E-01, 1.165E-01
 8.750E-02, 1.736E+00, 2.458E+00, 2.820E+00,-2.556E-01,-1.438E-01,-7.835E-02, 2.860E-01, 2.303E-01, 1.829E-01, 8.508E-01, 1.026E+00, 1.146E+00, 3.120E-01, 3.750E-01, 4.664E-01, 1.466E-01, 1.261E-01, 1.117E-01
 1.125E-01, 1.521E+00, 2.162E+00, 2.554E+00,-3.075E-01,-1.722E-01,-9.622E-02, 2.343E-01, 1.841E-01, 1.520E-01, 8.533E-01, 1.005E+00, 1.082E+00, 3.143E-01, 3.772E-01, 4.518E-01, 1.336E-01, 1.183E-01, 1.032E-01
 1.375E-01, 1.356E+00, 1.922E+00, 2.267E+00,-3.409E-01,-1.876E-01,-9.226E-02, 1.942E-01, 1.488E-01, 1.248E-01, 8.210E-01, 9.378E-01, 1.040E+00, 3.139E-01, 3.758E-01, 4.366E-01, 1.268E-01, 1.072E-01, 9.462E-02
 1.625E-01, 1.228E+00, 1.709E+00, 2.013E+00,-3.561E-01,-1.809E-01,-9.228E-02, 1.643E-01, 1.212E-01, 1.013E-01, 7.728E-01, 8.977E-01, 9.759E-01, 3.155E-01, 3.719E-01, 4.404E-01, 1.198E-01, 9.828E-02, 8.761E-02
 1.875E-01, 1.103E+00, 1.499E+00, 1.748E+00,-3.622E-01,-1.702E-01,-1.139E-01, 1.421E-01, 9.954E-02, 8.386E-02, 7.695E-01, 8.571E-01, 8.898E-01, 3.224E-01, 3.773E-01, 4.426E-01, 1.169E-01, 9.026E-02, 8.061E-02
 2.125E-01, 1.016E+00, 1.321E+00, 1.519E+00,-3.587E-01,-1.633E-01,-1.328E-01, 1.243E-01, 8.322E-02, 7.141E-02, 7.248E-01, 7.829E-01, 8.137E-01, 3.217E-01, 3.898E-01, 4.449E-01, 1.070E-01, 8.038E-02, 7.226E-02
 2.375E-01, 9.121E-01, 1.104E+00, 1.303E+00,-3.490E-01,-1.724E-01,-1.401E-01, 1.071E-01, 6.768E-02, 6.080E-02, 7.009E-01, 7.635E-01, 7.276E-01, 3.117E-01, 3.876E-01, 4.453E-01, 9.895E-02, 7.319E-02, 6.452E-02
 2.625E-01, 7.470E-01, 8.888E-01, 1.056E+00,-3.292E-01,-1.875E-01,-1.370E-01, 8.629E-02, 5.525E-02, 5.081E-02, 6.440E-01, 6.885E-01, 6.696E-01, 3.199E-01, 3.817E-01, 4.460E-01, 8.829E-02, 6.219E-02, 5.594E-02
 2.875E-01, 6.075E-01, 7.538E-01, 9.329E-01,-3.187E-01,-1.794E-01,-1.361E-01, 7.144E-02, 4.798E-02, 4.373E-02, 6.354E-01, 6.357E-01, 6.244E-01, 3.305E-01, 3.914E-01, 4.423E-01, 8.454E-02, 5.861E-02, 4.950E-02
 3.125E-01, 5.867E-01, 6.721E-01, 8.098E-01,-3.161E-01,-1.833E-01,-1.489E-01, 6.804E-02, 4.560E-02, 3.970E-02, 6.152E-01, 5.977E-01, 6.157E-01, 3.296E-01, 3.852E-01, 4.301E-01, 8.847E-02, 6.008E-02, 4.798E-02
 3.375E-01, 4.861E-01, 5.498E-01, 6.858E-01,-3.078E-01,-2.066E-01,-1.630E-01, 6.038E-02, 4.272E-02, 3.594E-02, 6.063E-01, 5.540E-01, 5.682E-01, 3.285E-01, 3.653E-01, 3.999E-01, 8.819E-02, 5.949E-02, 4.627E-02
 3.625E-01, 3.785E-01, 4.395E-01, 5.476E-01,-2.922E-01,-2.023E-01,-1.688E-01, 5.000E-02, 3.667E-02, 3.117E-02, 5.647E-01, 5.053E-01, 4.671E-01, 3.120E-01, 3.679E-01, 3.683E-01, 7.740E-02, 5.232E-02, 4.260E-02
 3.875E-01, 2.043E-01, 3.355E-01, 4.300E-01,-2.843E-01,-1.887E-01,-1.796E-01, 3.554E-02, 2.918E-02, 2.599E-02, 4.365E-01, 4.685E-01, 4.359E-01, 2.892E-01, 3.650E-01, 3.443E-01, 5.768E-02, 4.594E-02, 3.891E-02
 4.125E-01, 7.963E-02, 2.423E-01, 3.106E-01,-2.821E-01,-1.877E-01,-1.918E-01, 2.476E-02, 2.305E-02, 2.014E-02, 3.620E-01, 3.825E-01, 4.045E-01, 2.569E-01, 3.387E-01, 3.211E-01, 4.748E-02, 4.126E-02, 3.401E-02
 4.375E-01,-2.093E-02, 1.700E-01, 2.474E-01,-2.803E-01,-1.839E-01,-1.940E-01, 1.421E-02, 1.844E-02, 1.576E-02, 2.693E-01, 3.305E-01, 3.665E-01, 2.216E-01, 3.113E-01, 2.978E-01, 3.203E-02, 3.778E-02, 3.050E-02
 4.625E-01,-9.268E-02, 1.055E-01, 1.852E-01,-2.834E-01,-1.834E-01,-1.965E-01, 4.753E-03, 1.260E-02, 1.179E-02, 1.565E-01, 2.512E-01, 3.189E-01, 1.837E-01, 2.782E-01, 2.730E-01, 1.363E-02, 3.135E-02, 2.632E-02
 4.875E-01,-1.250E-01, 3.948E-02, 1.400E-01,-2.792E-01,-1.969E-01,-1.941E-01, 6.806E-04, 7.432E-03, 8.223E-03, 1.385E-01, 2.112E-01, 2.682E-01, 1.489E-01, 2.325E-01, 2.522E-01, 2.462E-03, 2.482E-02, 2.119E-02
