s,m/s
Time,"w"
 1.2901836E+000, 3.1012177E+000
 1.2924221E+000, 3.1162673E+000
 1.2946607E+000, 3.1320197E+000
 1.2968993E+000, 3.1523355E+000
 1.2991378E+000, 3.1752642E+000
 1.3013764E+000, 3.2029874E+000
 1.3036149E+000, 3.2340012E+000
 1.3058535E+000, 3.2636552E+000
 1.3080921E+000, 3.2926832E+000
 1.3103306E+000, 3.3187068E+000
 1.3125692E+000, 3.3422875E+000
 1.3148077E+000, 3.3595098E+000
 1.3170463E+000, 3.3721183E+000
 1.3190205E+000, 3.3737178E+000
 1.3209948E+000, 3.3663248E+000
 1.3229690E+000, 3.3555495E+000
 1.3249432E+000, 3.3388430E+000
 1.3269175E+000, 3.3138670E+000
 1.3288917E+000, 3.2831388E+000
 1.3308659E+000, 3.2540500E+000
 1.3328402E+000, 3.2290216E+000
 1.3348144E+000, 3.2052111E+000
 1.3367886E+000, 3.1848190E+000
 1.3387629E+000, 3.1662953E+000
 1.3407371E+000, 3.1509641E+000
 1.3427113E+000, 3.1393966E+000
 1.3446856E+000, 3.1302328E+000
 1.3466598E+000, 3.1201765E+000
 1.3486341E+000, 3.1061944E+000
 1.3506083E+000, 3.0893380E+000
 1.3525825E+000, 3.0691450E+000
 1.3545568E+000, 3.0470609E+000
 1.3565310E+000, 3.0257292E+000
 1.3585052E+000, 3.0073961E+000
 1.3604795E+000, 2.9927577E+000
 1.3624537E+000, 2.9829128E+000
 1.3646254E+000, 2.9760826E+000
 1.3667970E+000, 2.9756352E+000
 1.3689687E+000, 2.9802281E+000
 1.3711403E+000, 2.9874220E+000
 1.3733120E+000, 2.9958937E+000
 1.3754837E+000, 3.0038602E+000
 1.3776553E+000, 3.0065670E+000
 1.3798270E+000, 3.0039081E+000
 1.3819986E+000, 2.9932262E+000
 1.3841703E+000, 2.9775352E+000
 1.3863419E+000, 2.9576996E+000
 1.3885136E+000, 2.9339975E+000
 1.3906853E+000, 2.9140410E+000
 1.3928569E+000, 2.8993786E+000
 1.3950286E+000, 2.8922041E+000
 1.3972002E+000, 2.8925643E+000
 1.3993719E+000, 2.9048479E+000
 1.4015436E+000, 2.9289437E+000
 1.4037152E+000, 2.9608617E+000
 1.4058869E+000, 2.9967373E+000
 1.4080585E+000, 3.0347611E+000
 1.4102302E+000, 3.0698468E+000
 1.4124018E+000, 3.1037876E+000
 1.4145735E+000, 3.1323377E+000
 1.4167452E+000, 3.1465907E+000
 1.4189168E+000, 3.1498349E+000
 1.4210885E+000, 3.1510181E+000
 1.4232601E+000, 3.1374502E+000
 1.4254318E+000, 3.1144666E+000
 1.4276035E+000, 3.0900398E+000
 1.4297751E+000, 3.0638012E+000
 1.4319468E+000, 3.0398597E+000
 1.4341184E+000, 3.0202874E+000
 1.4362901E+000, 3.0100094E+000
 1.4384618E+000, 3.0094505E+000
 1.4406334E+000, 3.0214572E+000
 1.4428051E+000, 3.0450528E+000
 1.4449767E+000, 3.0766919E+000
 1.4471484E+000, 3.1138541E+000
 1.4493200E+000, 3.1511433E+000
 1.4514917E+000, 3.1858383E+000
 1.4536634E+000, 3.2141466E+000
 1.4558350E+000, 3.2356965E+000
 1.4580067E+000, 3.2464532E+000
 1.4601783E+000, 3.2465410E+000
 1.4620785E+000, 3.2401580E+000
 1.4639787E+000, 3.2303812E+000
 1.4658789E+000, 3.2163412E+000
 1.4677790E+000, 3.1999430E+000
 1.4696792E+000, 3.1838197E+000
 1.4715794E+000, 3.1697116E+000
 1.4734795E+000, 3.1554732E+000
 1.4753797E+000, 3.1437537E+000
 1.4772799E+000, 3.1360765E+000
 1.4791801E+000, 3.1298524E+000
 1.4810802E+000, 3.1262668E+000
 1.4829804E+000, 3.1238305E+000
 1.4848806E+000, 3.1235429E+000
 1.4867808E+000, 3.1258167E+000
 1.4886809E+000, 3.1284389E+000
 1.4905811E+000, 3.1342910E+000
 1.4924813E+000, 3.1409665E+000
 1.4945715E+000, 3.1488309E+000
 1.4966617E+000, 3.1551474E+000
 1.4987518E+000, 3.1576014E+000
 1.5008420E+000, 3.1579386E+000
 1.5029322E+000, 3.1552658E+000
 1.5050224E+000, 3.1478010E+000
 1.5071126E+000, 3.1349339E+000
 1.5092028E+000, 3.1158413E+000
 1.5112930E+000, 3.0899390E+000
 1.5133832E+000, 3.0595550E+000
 1.5154734E+000, 3.0273616E+000
 1.5175636E+000, 2.9907784E+000
 1.5196538E+000, 2.9572379E+000
 1.5217439E+000, 2.9235481E+000
 1.5238341E+000, 2.8975865E+000
 1.5259243E+000, 2.8852338E+000
 1.5280145E+000, 2.8830669E+000
 1.5301047E+000, 2.8914669E+000
 1.5321949E+000, 2.9080168E+000
 1.5342851E+000, 2.9325504E+000
 1.5363753E+000, 2.9626269E+000
 1.5384655E+000, 3.0018695E+000
 1.5405557E+000, 3.0441997E+000
 1.5426458E+000, 3.0903659E+000
 1.5447360E+000, 3.1343620E+000
 1.5468262E+000, 3.1721733E+000
 1.5486797E+000, 3.1998666E+000
 1.5505332E+000, 3.2206965E+000
 1.5523867E+000, 3.2340721E+000
 1.5542401E+000, 3.2413939E+000
 1.5560936E+000, 3.2363948E+000
 1.5581324E+000, 3.2186402E+000
 1.5601713E+000, 3.1924870E+000
 1.5622101E+000, 3.1582198E+000
 1.5642489E+000, 3.1218927E+000
 1.5662877E+000, 3.0855715E+000
 1.5683266E+000, 3.0560128E+000
 1.5703654E+000, 3.0375155E+000
 1.5724042E+000, 3.0250597E+000
 1.5744431E+000, 3.0223723E+000
 1.5764819E+000, 3.0278332E+000
 1.5785207E+000, 3.0498478E+000
 1.5805595E+000, 3.0802840E+000
 1.5825984E+000, 3.1219908E+000
 1.5846372E+000, 3.1685638E+000
 1.5866760E+000, 3.2210296E+000
 1.5887148E+000, 3.2583926E+000
 1.5907537E+000, 3.2884593E+000
 1.5927925E+000, 3.3142463E+000
 1.5948313E+000, 3.3261389E+000
 1.5968701E+000, 3.3251392E+000
 1.5989090E+000, 3.3125445E+000
 1.6006445E+000, 3.2945888E+000
 1.6023801E+000, 3.2715255E+000
 1.6041157E+000, 3.2390337E+000
 1.6058512E+000, 3.2011482E+000
 1.6075868E+000, 3.1640660E+000
 1.6093224E+000, 3.1248838E+000
 1.6110579E+000, 3.0884004E+000
 1.6127935E+000, 3.0544813E+000
 1.6145291E+000, 3.0232505E+000
 1.6164382E+000, 2.9976141E+000
 1.6183473E+000, 2.9778543E+000
 1.6202564E+000, 2.9662251E+000
 1.6221655E+000, 2.9616740E+000
 1.6240747E+000, 2.9614053E+000
 1.6259838E+000, 2.9664081E+000
 1.6278929E+000, 2.9761854E+000
 1.6298020E+000, 2.9876964E+000
 1.6317112E+000, 3.0004566E+000
 1.6333779E+000, 3.0116593E+000
 1.6350447E+000, 3.0232296E+000
 1.6367114E+000, 3.0363446E+000
 1.6383782E+000, 3.0495687E+000
 1.6400450E+000, 3.0614950E+000
 1.6417117E+000, 3.0710669E+000
 1.6433785E+000, 3.0767998E+000
 1.6450452E+000, 3.0793149E+000
 1.6467120E+000, 3.0778793E+000
 1.6483788E+000, 3.0731586E+000
 1.6500455E+000, 3.0656301E+000
 1.6517123E+000, 3.0546237E+000
 1.6535457E+000, 3.0388511E+000
 1.6553792E+000, 3.0203054E+000
 1.6572126E+000, 3.0010268E+000
 1.6590460E+000, 2.9809153E+000
 1.6610628E+000, 2.9605982E+000
 1.6630796E+000, 2.9434296E+000
 1.6650964E+000, 2.9316822E+000
 1.6671131E+000, 2.9226184E+000
 1.6691299E+000, 2.9175204E+000
 1.6711467E+000, 2.9150341E+000
 1.6731635E+000, 2.9161765E+000
 1.6751803E+000, 2.9194783E+000
 1.6771970E+000, 2.9264301E+000
 1.6792138E+000, 2.9387898E+000
 1.6812306E+000, 2.9580303E+000
 1.6832474E+000, 2.9813767E+000
 1.6852642E+000, 3.0100005E+000
 1.6872810E+000, 3.0416665E+000
 1.6892977E+000, 3.0767253E+000
 1.6913145E+000, 3.1134014E+000
 1.6933313E+000, 3.1480283E+000
 1.6953481E+000, 3.1831487E+000
 1.6973649E+000, 3.2165326E+000
 1.6993816E+000, 3.2465833E+000
 1.7013984E+000, 3.2715052E+000
 1.7034152E+000, 3.2927440E+000
 1.7054320E+000, 3.3078737E+000
 1.7074488E+000, 3.3194735E+000
 1.7094655E+000, 3.3249921E+000
 1.7114823E+000, 3.3318430E+000
 1.7134991E+000, 3.3343966E+000
 1.7155159E+000, 3.3375054E+000
 1.7175327E+000, 3.3424364E+000
 1.7195494E+000, 3.3498771E+000
 1.7217679E+000, 3.3621230E+000
 1.7239864E+000, 3.3776704E+000
 1.7262048E+000, 3.3963246E+000
 1.7284233E+000, 3.4160463E+000
 1.7306417E+000, 3.4364329E+000
 1.7328602E+000, 3.4546549E+000
 1.7350786E+000, 3.4688307E+000
 1.7372971E+000, 3.4786541E+000
 1.7395156E+000, 3.4859474E+000
 1.7414847E+000, 3.4925787E+000
 1.7434538E+000, 3.4953993E+000
 1.7454230E+000, 3.4948752E+000
 1.7473921E+000, 3.4922318E+000
 1.7493612E+000, 3.4925742E+000
 1.7513304E+000, 3.4913686E+000
 1.7532995E+000, 3.4907212E+000
 1.7552686E+000, 3.4895011E+000
 1.7572378E+000, 3.4891719E+000
 1.7592069E+000, 3.4917806E+000
 1.7611761E+000, 3.4958936E+000
 1.7631452E+000, 3.4976492E+000
 1.7651143E+000, 3.4978718E+000
 1.7670835E+000, 3.4958708E+000
 1.7690526E+000, 3.4864955E+000
 1.7710217E+000, 3.4724746E+000
 1.7729909E+000, 3.4554936E+000
 1.7749600E+000, 3.4356925E+000
 1.7769291E+000, 3.4161125E+000
 1.7788983E+000, 3.3968756E+000
 1.7808674E+000, 3.3832301E+000
 1.7828366E+000, 3.3754333E+000
 1.7848057E+000, 3.3712838E+000
 1.7867748E+000, 3.3767872E+000
 1.7887440E+000, 3.3907345E+000
 1.7907131E+000, 3.4155830E+000
 1.7926822E+000, 3.4489774E+000
 1.7946514E+000, 3.4878066E+000
 1.7966205E+000, 3.5289238E+000
 1.7985896E+000, 3.5667639E+000
 1.8005588E+000, 3.5927384E+000
 1.8025279E+000, 3.6055848E+000
 1.8044970E+000, 3.6060019E+000
 1.8064662E+000, 3.5857296E+000
 1.8084353E+000, 3.5532602E+000
 1.8104045E+000, 3.5085001E+000
 1.8123736E+000, 3.4577804E+000
 1.8143427E+000, 3.4045503E+000
 1.8163119E+000, 3.3542545E+000
 1.8182810E+000, 3.3126489E+000
 1.8202501E+000, 3.2862371E+000
 1.8222193E+000, 3.2749546E+000
