s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
 5.5004763E+000, 2.8715349E+001, 3.7100605E+001, 2.8257831E+001, 1.0234130E+001, 2.8618064E+001, 1.5913674E+001, 7.2927665E+000, 4.0612598E+000, 1.5001279E+001, 6.7154740E+000, 3.1806675E+000, 1.7325078E+000, 8.5197554E+000, 3.8274201E+000, 1.9521310E+000, 1.1519161E+000, 4.1758522E+000, 2.0464645E+000, 1.2677446E+000, 8.1164767E-001, 2.5287187E+000, 1.4439017E+000, 9.9594069E-001, 5.4635492E-001, 1.5346063E+000, 8.7111953E-001, 5.0865805E-001, 3.3390764E-001
 6.0003756E+000, 2.9438189E+001, 4.3937702E+001, 3.6313028E+001, 1.1755019E+001, 2.3855708E+001, 1.8887426E+001, 1.0750492E+001, 4.8154213E+000, 1.1936224E+001, 6.8661081E+000, 3.5224522E+000, 1.8371135E+000, 7.3422459E+000, 4.6616094E+000, 2.3822149E+000, 1.0773069E+000, 4.5697019E+000, 3.0658203E+000, 1.6979690E+000, 9.7027380E-001, 2.7999842E+000, 1.8627413E+000, 1.0854235E+000, 5.9580137E-001, 1.7929059E+000, 1.4885895E+000, 1.0338862E+000, 5.4706921E-001
 6.5002432E+000, 2.9860876E+001, 4.3133151E+001, 3.0189277E+001, 1.2061574E+001, 2.8965314E+001, 2.1575594E+001, 1.0994167E+001, 4.7209833E+000, 1.4200833E+001, 8.6591160E+000, 6.1719347E+000, 3.1574914E+000, 6.6262237E+000, 4.1470204E+000, 3.1448050E+000, 1.5496473E+000, 2.5927537E+000, 1.7840067E+000, 1.3631388E+000, 9.3913114E-001, 1.0411869E+000, 1.0114951E+000, 8.1676161E-001, 6.2888522E-001, 6.3724962E-001, 6.1169740E-001, 5.2881067E-001, 4.5140417E-001
 7.0004768E+000, 3.0533009E+001, 4.3892714E+001, 2.9711012E+001, 1.1120301E+001, 3.6654577E+001, 2.3509682E+001, 1.0018259E+001, 4.5734317E+000, 1.8659394E+001, 1.3295113E+001, 1.0994733E+001, 4.1522955E+000, 7.2310253E+000, 4.0521101E+000, 3.5834613E+000, 2.0525800E+000, 2.1610149E+000, 1.3662654E+000, 7.1054335E-001, 4.8336758E-001, 9.3721076E-001, 6.1638476E-001, 4.4062068E-001, 4.0080972E-001, 7.0092003E-001, 6.4856051E-001, 5.0360608E-001, 4.4133605E-001
 7.5003032E+000, 2.8165530E+001, 4.0442972E+001, 3.1375922E+001, 1.3686323E+001, 2.8315214E+001, 2.1380246E+001, 1.2895497E+001, 6.7212829E+000, 1.5782159E+001, 1.1678785E+001, 1.0377168E+001, 6.2367699E+000, 9.1659116E+000, 1.0435328E+001, 9.6459565E+000, 3.6248370E+000, 4.0321946E+000, 3.7729477E+000, 3.6781182E+000, 1.3564518E+000, 2.9700742E+000, 2.4640149E+000, 2.2896332E+000, 1.1677474E+000, 1.5229102E+000, 1.1668714E+000, 9.2759946E-001, 7.3296956E-001
 8.0005454E+000, 3.3450765E+001, 4.4150261E+001, 3.3877712E+001, 1.4751995E+001, 2.4858338E+001, 1.7959275E+001, 1.2717689E+001, 8.9054825E+000, 1.1633754E+001, 1.0505383E+001, 8.2219662E+000, 3.1975101E+000, 7.5063357E+000, 5.3562070E+000, 4.5668860E+000, 4.1119359E+000, 4.8298576E+000, 3.8087604E+000, 2.6626665E+000, 1.9119925E+000, 1.6276807E+000, 1.1707007E+000, 1.2168322E+000, 9.8060088E-001, 7.7950145E-001, 6.8889872E-001, 6.1566975E-001, 5.8604872E-001
 8.5003939E+000, 3.4474654E+001, 4.8779668E+001, 4.1501259E+001, 1.6045940E+001, 3.4581075E+001, 2.8260866E+001, 1.3199907E+001, 5.1163126E+000, 1.6497936E+001, 1.3509372E+001, 9.9153392E+000, 2.8135322E+000, 7.1382843E+000, 6.1457243E+000, 5.6412529E+000, 2.5982000E+000, 3.3989563E+000, 3.6755323E+000, 2.6921735E+000, 1.5193845E+000, 2.3765824E+000, 2.2963898E+000, 1.9805551E+000, 1.1697167E+000, 1.8023171E+000, 1.6627200E+000, 1.2942485E+000, 7.1438356E-001
 9.0001073E+000, 3.2634869E+001, 4.5746252E+001, 3.8121711E+001, 1.2258306E+001, 2.9316389E+001, 2.5975861E+001, 1.4179534E+001, 5.3121444E+000, 1.6312110E+001, 1.4193695E+001, 9.5196425E+000, 4.9362552E+000, 9.9443068E+000, 8.4866097E+000, 4.8007841E+000, 2.4221552E+000, 6.9484302E+000, 7.0765372E+000, 5.2963167E+000, 2.3187897E+000, 7.3390046E+000, 5.4978854E+000, 3.3186812E+000, 1.5446644E+000, 4.7759633E+000, 3.0980511E+000, 2.2626246E+000, 1.2585381E+000
 9.5002527E+000, 3.4926584E+001, 4.7034312E+001, 3.8246985E+001, 1.4032816E+001, 3.5210799E+001, 2.1521431E+001, 1.4269342E+001, 7.5364449E+000, 1.9780628E+001, 1.3782681E+001, 9.8731449E+000, 4.4297105E+000, 1.0128069E+001, 9.4574050E+000, 8.1184117E+000, 3.9375467E+000, 4.1580919E+000, 4.0141341E+000, 3.3190879E+000, 1.9346937E+000, 2.1868064E+000, 2.1755531E+000, 1.7133870E+000, 1.3007534E+000, 1.1367673E+000, 1.1627144E+000, 8.6401583E-001, 7.1637313E-001
 1.0000607E+001, 3.3353267E+001, 4.5419792E+001, 3.9388595E+001, 1.4517654E+001, 3.8557637E+001, 2.5845732E+001, 1.1799838E+001, 4.2995301E+000, 2.4952932E+001, 1.2490920E+001, 7.6281465E+000, 3.3235628E+000, 1.5615334E+001, 9.5513202E+000, 6.4372342E+000, 2.8772969E+000, 9.6545417E+000, 7.1447515E+000, 5.0776203E+000, 1.8976658E+000, 4.5946823E+000, 3.8296759E+000, 3.2708272E+000, 1.6376182E+000, 1.9961441E+000, 2.2487798E+000, 1.9461448E+000, 1.1981146E+000
 1.0500142E+001, 3.4264707E+001, 4.6160401E+001, 4.1309372E+001, 1.3126805E+001, 4.1473429E+001, 2.5647975E+001, 1.1636477E+001, 4.9424914E+000, 2.5551466E+001, 1.7856108E+001, 1.0115456E+001, 4.5473353E+000, 1.2494195E+001, 1.2513064E+001, 9.2189362E+000, 5.2558965E+000, 6.3508056E+000, 6.3109182E+000, 5.4611132E+000, 3.5873596E+000, 4.4970191E+000, 2.5365791E+000, 2.4339342E+000, 2.0632828E+000, 2.3811077E+000, 1.6124249E+000, 1.4349119E+000, 1.2816984E+000
 1.1000363E+001, 3.6655674E+001, 4.7702200E+001, 3.8937876E+001, 1.5555874E+001, 4.2511784E+001, 2.7837068E+001, 1.5365326E+001, 6.3046354E+000, 2.1170705E+001, 1.7097533E+001, 1.3114143E+001, 5.2779073E+000, 1.1943638E+001, 8.5476308E+000, 6.0530544E+000, 4.0860261E+000, 6.9027445E+000, 3.7030612E+000, 2.2487758E+000, 1.5140133E+000, 4.6804729E+000, 2.3712539E+000, 1.6098709E+000, 9.7226874E-001, 2.7038019E+000, 1.8286058E+000, 1.5672882E+000, 9.8394515E-001
 1.1500516E+001, 3.4505445E+001, 4.6254834E+001, 3.8894389E+001, 1.4740277E+001, 4.0931612E+001, 2.7925306E+001, 1.4519593E+001, 6.3074086E+000, 2.6090518E+001, 1.9159112E+001, 1.0780808E+001, 4.7526573E+000, 1.5902376E+001, 1.1874150E+001, 9.4798203E+000, 3.6708647E+000, 8.0940329E+000, 6.3702942E+000, 5.0517360E+000, 1.8729560E+000, 4.6071982E+000, 4.6013924E+000, 3.5737951E+000, 1.7590976E+000, 3.2403266E+000, 3.3280577E+000, 2.6335431E+000, 2.0992956E+000
 1.2000275E+001, 3.1182592E+001, 4.8012574E+001, 3.9518575E+001, 1.5795693E+001, 3.7236071E+001, 2.2099458E+001, 1.3749320E+001, 5.3980620E+000, 2.2365277E+001, 1.4201477E+001, 9.1340805E+000, 4.9645556E+000, 1.5041961E+001, 1.2980132E+001, 1.0230603E+001, 4.6823758E+000, 7.4633897E+000, 7.1666869E+000, 6.1478784E+000, 3.3653423E+000, 3.4786511E+000, 3.4881961E+000, 2.7640984E+000, 2.2076154E+000, 1.8649954E+000, 2.0473679E+000, 1.5902552E+000, 1.3139624E+000
 1.2500394E+001, 3.4134532E+001, 4.8818440E+001, 4.3851281E+001, 1.5093974E+001, 3.5678030E+001, 2.2492998E+001, 1.4729185E+001, 6.0765044E+000, 1.9714664E+001, 1.2717905E+001, 6.0346678E+000, 3.8511357E+000, 1.2865565E+001, 8.3113163E+000, 4.6790167E+000, 2.6347908E+000, 8.7643705E+000, 5.1342107E+000, 2.9585268E+000, 1.8775755E+000, 5.5367336E+000, 3.8671018E+000, 2.6125637E+000, 1.4451538E+000, 3.5292591E+000, 2.7967507E+000, 2.1857933E+000, 1.5580894E+000
 1.3000222E+001, 3.5147076E+001, 4.8669610E+001, 4.2303504E+001, 1.4411425E+001, 4.2746788E+001, 3.1150493E+001, 2.0330404E+001, 7.5797893E+000, 1.9340835E+001, 1.8158722E+001, 1.4886431E+001, 5.2157885E+000, 9.4949602E+000, 9.2695102E+000, 1.0413422E+001, 6.5280365E+000, 6.2146541E+000, 5.2773788E+000, 5.4123698E+000, 1.7513607E+000, 3.4919162E+000, 2.8373895E+000, 2.1137773E+000, 1.1618338E+000, 2.3364417E+000, 1.5536261E+000, 1.2090350E+000, 7.7027775E-001
 1.3500839E+001, 3.7153422E+001, 4.7085433E+001, 3.9468402E+001, 1.4762898E+001, 4.0423174E+001, 2.7117999E+001, 1.2901110E+001, 5.7758518E+000, 2.5008907E+001, 1.5153587E+001, 7.8986416E+000, 3.6700883E+000, 1.3039505E+001, 1.2660411E+001, 1.0615869E+001, 5.0496051E+000, 6.9098903E+000, 9.1712955E+000, 7.6923125E+000, 4.9853689E+000, 3.5790105E+000, 5.3561282E+000, 7.2528925E+000, 4.5106931E+000, 2.0882542E+000, 2.6283862E+000, 2.9557226E+000, 1.8765110E+000
 1.4000737E+001, 4.0023977E+001, 4.8445879E+001, 3.8320611E+001, 1.5070733E+001, 4.1460401E+001, 2.6712123E+001, 1.7815190E+001, 8.5274206E+000, 2.2927455E+001, 1.7683114E+001, 1.7132723E+001, 1.0010563E+001, 1.4196627E+001, 9.2040598E+000, 6.1201220E+000, 3.1681951E+000, 1.0350261E+001, 6.2422020E+000, 4.3230175E+000, 2.6938748E+000, 5.6544087E+000, 5.2099023E+000, 4.5378453E+000, 2.0202612E+000, 3.1336228E+000, 3.0526056E+000, 2.5911344E+000, 1.3457443E+000
 1.4500150E+001, 3.0860024E+001, 4.9824594E+001, 4.4396613E+001, 1.4174392E+001, 4.4073688E+001, 2.8290176E+001, 1.5626010E+001, 7.3201031E+000, 2.8774160E+001, 1.9086261E+001, 1.6440172E+001, 1.0324169E+001, 2.0525351E+001, 1.7573596E+001, 1.3420831E+001, 9.1229250E+000, 1.0930190E+001, 8.1461813E+000, 5.4880254E+000, 3.2563149E+000, 5.9793308E+000, 3.9803201E+000, 2.2538766E+000, 1.7307486E+000, 2.6505862E+000, 1.5848296E+000, 9.6382131E-001, 8.7367980E-001
 1.5000069E+001, 3.3718835E+001, 4.7262780E+001, 4.0704590E+001, 1.3804099E+001, 4.0183891E+001, 2.8355740E+001, 1.5450899E+001, 6.8204630E+000, 2.4802405E+001, 1.8838578E+001, 1.2757225E+001, 4.9289183E+000, 1.4338660E+001, 1.3001555E+001, 8.9763221E+000, 5.1588671E+000, 1.1433213E+001, 8.8548222E+000, 6.7451126E+000, 4.6059072E+000, 1.0463855E+001, 8.2499508E+000, 5.5766053E+000, 3.5075576E+000, 8.8629203E+000, 5.8772947E+000, 3.3001335E+000, 1.5330553E+000
 1.5500025E+001, 3.6743891E+001, 5.2330363E+001, 4.8982683E+001, 1.6554983E+001, 3.8912448E+001, 3.3587946E+001, 2.0358087E+001, 8.4258102E+000, 2.3030985E+001, 1.7482659E+001, 1.4528726E+001, 9.2146702E+000, 1.4544951E+001, 1.1181589E+001, 1.0185788E+001, 5.1389670E+000, 9.5016352E+000, 7.1997972E+000, 4.9855051E+000, 2.7949392E+000, 6.5584441E+000, 3.7869613E+000, 2.2074960E+000, 1.3866542E+000, 4.5067451E+000, 2.9688047E+000, 2.3228066E+000, 1.6611529E+000
 1.6000712E+001, 3.3733485E+001, 5.3119911E+001, 4.3742353E+001, 1.5576464E+001, 5.0722433E+001, 3.5026520E+001, 1.7809346E+001, 7.4813156E+000, 2.9215556E+001, 2.6346770E+001, 1.7511968E+001, 7.8085967E+000, 1.4160942E+001, 1.2464133E+001, 1.3398838E+001, 9.7280690E+000, 6.4324103E+000, 5.5159061E+000, 5.8489433E+000, 5.0258087E+000, 3.8625100E+000, 3.3196716E+000, 3.1428892E+000, 2.7196910E+000, 2.6002121E+000, 2.1716830E+000, 1.8349349E+000, 1.0736079E+000
 1.6500382E+001, 3.8427820E+001, 5.1122972E+001, 4.4597734E+001, 1.8480639E+001, 4.5667418E+001, 3.2314781E+001, 1.6435997E+001, 6.5405599E+000, 3.2954223E+001, 2.0305234E+001, 1.1988475E+001, 5.7834123E+000, 2.1859682E+001, 1.8881059E+001, 1.0783382E+001, 4.0259210E+000, 1.5043144E+001, 1.0681755E+001, 5.2097918E+000, 1.9568427E+000, 1.0071490E+001, 4.1893257E+000, 2.2895789E+000, 1.5719317E+000, 6.7971563E+000, 2.6944201E+000, 1.7808367E+000, 1.6477891E+000
 1.7000334E+001, 3.6842416E+001, 4.9335701E+001, 4.3585955E+001, 1.8282470E+001, 4.6959779E+001, 2.9819828E+001, 1.6871836E+001, 8.2127654E+000, 3.1122793E+001, 1.7780536E+001, 1.2369460E+001, 8.9261180E+000, 1.8464701E+001, 1.1423906E+001, 6.7006356E+000, 3.9145882E+000, 1.1464121E+001, 9.4050444E+000, 4.8580172E+000, 2.0464127E+000, 8.2790909E+000, 5.8549294E+000, 3.8906915E+000, 1.5043186E+000, 4.5858412E+000, 3.8461225E+000, 2.5515528E+000, 1.3130290E+000
 1.7500520E+001, 4.1687597E+001, 4.8643650E+001, 4.2248672E+001, 2.4347677E+001, 4.1571367E+001, 2.6948016E+001, 1.5908986E+001, 6.3868334E+000, 2.7293230E+001, 1.7404137E+001, 9.0717208E+000, 4.1022008E+000, 1.7211461E+001, 1.1316351E+001, 6.7165408E+000, 3.7380787E+000, 1.2550368E+001, 7.3852761E+000, 4.8515964E+000, 2.3494315E+000, 7.9396451E+000, 4.3634778E+000, 2.7706858E+000, 1.4466937E+000, 4.4633549E+000, 2.9313793E+000, 1.9393810E+000, 8.8221161E-001
 1.8000192E+001, 3.8020423E+001, 5.1296256E+001, 4.3204205E+001, 2.0371339E+001, 4.7802676E+001, 3.7520168E+001, 2.2024848E+001, 1.0516065E+001, 2.9200677E+001, 1.9711735E+001, 1.4624182E+001, 7.1685367E+000, 1.4583106E+001, 8.8047863E+000, 6.9332784E+000, 3.4306679E+000, 6.8224026E+000, 4.9031719E+000, 3.8839690E+000, 2.4301017E+000, 3.0572185E+000, 2.5423875E+000, 1.9312214E+000, 1.2888112E+000, 1.8906156E+000, 1.6453828E+000, 1.3140796E+000, 8.0171128E-001
 1.8500567E+001, 3.9949296E+001, 5.0345469E+001, 4.1764431E+001, 2.0450954E+001, 4.8224978E+001, 3.4483418E+001, 2.2166855E+001, 9.5118086E+000, 3.1915820E+001, 2.0224602E+001, 1.4255022E+001, 8.7171821E+000, 1.7743029E+001, 1.4343710E+001, 9.0272930E+000, 3.5536331E+000, 1.1291056E+001, 8.5428835E+000, 5.5129905E+000, 2.3807525E+000, 7.1035060E+000, 6.3634714E+000, 4.3626245E+000, 2.4270997E+000, 4.4798846E+000, 4.0934992E+000, 2.6714477E+000, 1.5272143E+000
 1.9000645E+001, 3.8570928E+001, 4.7505570E+001, 4.0220661E+001, 1.8938125E+001, 4.2293155E+001, 3.0077080E+001, 1.8461689E+001, 7.0154874E+000, 3.3517346E+001, 2.8590279E+001, 2.3530470E+001, 1.0718976E+001, 2.3636399E+001, 1.9927053E+001, 1.2592184E+001, 7.3855266E+000, 1.1771234E+001, 9.9904598E+000, 4.5138211E+000, 2.5037228E+000, 6.3888363E+000, 5.7152720E+000, 3.3629121E+000, 1.5966639E+000, 3.2344500E+000, 3.3716508E+000, 2.3253500E+000, 1.2255893E+000
 1.9500254E+001, 3.9830777E+001, 4.9371389E+001, 4.2804862E+001, 2.1743293E+001, 4.1706300E+001, 3.0401608E+001, 2.1452971E+001, 1.1476445E+001, 2.5397641E+001, 1.9616135E+001, 1.6959010E+001, 1.3016804E+001, 1.3930514E+001, 1.4302252E+001, 1.6646260E+001, 1.3068794E+001, 8.1343783E+000, 9.7342469E+000, 9.0617419E+000, 5.2583715E+000, 5.9110624E+000, 5.5797522E+000, 3.2637380E+000, 2.0416904E+000, 3.9509500E+000, 2.7988950E+000, 1.8611825E+000, 9.2075046E-001
 2.0000640E+001, 3.9405770E+001, 4.9370729E+001, 4.3840133E+001, 2.2705289E+001, 5.0185545E+001, 2.7221552E+001, 1.5791439E+001, 6.2491376E+000, 3.1416718E+001, 1.6180564E+001, 8.5709727E+000, 3.3912337E+000, 2.0317466E+001, 1.0114342E+001, 5.6555266E+000, 3.8755190E+000, 1.4811774E+001, 8.6360349E+000, 6.0103118E+000, 4.9143847E+000, 8.9190896E+000, 6.1968429E+000, 4.2379023E+000, 2.4934137E+000, 5.0048679E+000, 4.1219908E+000, 2.7984911E+000, 2.4080081E+000
 2.0500216E+001, 4.5012498E+001, 5.1891413E+001, 4.1428776E+001, 2.3716677E+001, 4.7916969E+001, 2.9924242E+001, 2.0997802E+001, 9.9587511E+000, 3.1016821E+001, 2.0591436E+001, 1.6567642E+001, 1.2127635E+001, 2.1028451E+001, 1.5224442E+001, 1.2840681E+001, 7.9659880E+000, 1.4777489E+001, 9.5304586E+000, 4.7613010E+000, 2.0341490E+000, 1.0779600E+001, 5.9986927E+000, 2.5669398E+000, 1.0985592E+000, 7.0963505E+000, 4.0226234E+000, 2.1011064E+000, 8.5747274E-001
 2.1000520E+001, 3.6888075E+001, 4.9135386E+001, 3.5182975E+001, 2.7389315E+001, 5.1792638E+001, 3.2565898E+001, 2.1320574E+001, 8.9242808E+000, 3.4459093E+001, 2.4809824E+001, 1.8435406E+001, 8.5852369E+000, 2.0463159E+001, 1.4219086E+001, 1.0057079E+001, 4.9946446E+000, 1.1051012E+001, 8.4957917E+000, 4.6859787E+000, 2.4797807E+000, 6.6499002E+000, 5.2513408E+000, 3.4177708E+000, 1.6787900E+000, 5.1294562E+000, 4.3101024E+000, 2.5716515E+000, 1.2786245E+000
 2.1500253E+001, 3.7859219E+001, 4.8737272E+001, 4.3783680E+001, 1.9477812E+001, 4.4992226E+001, 2.9387558E+001, 1.6235078E+001, 7.0537578E+000, 3.1053509E+001, 2.0938310E+001, 1.4422225E+001, 8.2783194E+000, 2.3251650E+001, 1.7529245E+001, 1.3376661E+001, 7.5368720E+000, 1.5621595E+001, 1.1377930E+001, 9.9417447E+000, 7.1149457E+000, 9.5148307E+000, 7.1429317E+000, 5.6029688E+000, 2.9348574E+000, 5.3876725E+000, 4.1262799E+000, 3.0324063E+000, 1.6991299E+000
 2.2000304E+001, 3.8212973E+001, 4.9354054E+001, 4.4582488E+001, 1.9556262E+001, 4.8574916E+001, 3.2530406E+001, 1.7273107E+001, 7.5350366E+000, 3.0228672E+001, 2.2975086E+001, 1.4638354E+001, 5.8241246E+000, 2.0693283E+001, 1.4902437E+001, 1.3814760E+001, 1.0248515E+001, 1.4341434E+001, 1.1565628E+001, 1.0554741E+001, 6.5114577E+000, 1.0095125E+001, 8.0336547E+000, 6.7938545E+000, 6.3809422E+000, 5.6825865E+000, 4.7830653E+000, 3.6286823E+000, 3.0850161E+000
 2.2500348E+001, 3.9246764E+001, 4.8837248E+001, 3.7739345E+001, 2.0870063E+001, 4.6177506E+001, 3.2139817E+001, 1.7142906E+001, 7.5533879E+000, 3.1332959E+001, 2.6789140E+001, 1.3484450E+001, 4.6757070E+000, 1.9128412E+001, 1.4908512E+001, 1.0328910E+001, 3.4908963E+000, 1.2327179E+001, 9.0229729E+000, 4.9618278E+000, 2.4061524E+000, 1.0325030E+001, 6.5541496E+000, 3.3625651E+000, 1.7828909E+000, 8.9440613E+000, 6.2722498E+000, 3.2144239E+000, 1.7922452E+000
