s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_EHTYLENE,MLR_PILOT FUEL
 4.3000568E+001, 8.6948067E+000,-2.7700505E-001,-7.6655991E+000,-6.8405160E-003, 3.4750729E-003, 0.0000000E+000,-4.2320747E-004, 7.5745736E-001, 7.4841384E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.2400653E-001, 0.0000000E+000, 2.1951872E-005
 4.4000671E+001, 8.3029737E+000,-2.2391138E-001,-7.5581560E+000,-6.5296691E-003, 3.3834861E-003, 0.0000000E+000,-1.2611534E-005, 5.2339447E-001, 5.1774754E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.3264800E-001, 0.0000000E+000, 2.1951872E-005
 4.5000038E+001, 7.6637852E+000,-1.5345033E-001,-8.8462440E+000,-3.6307834E-003, 3.1753065E-003, 0.0000000E+000,-1.0869010E-005,-1.3366930E+000,-1.3363755E+000, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.4128595E-001, 0.0000000E+000, 2.1951872E-005
 4.6000767E+001, 6.9214578E+000,-8.0785780E-002,-7.5212551E+000,-1.3426557E-003, 2.8601217E-003, 0.0000000E+000,-1.4612895E-005,-6.6112949E-001,-6.7908027E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.4992710E-001, 0.0000000E+000, 2.1951872E-005
 4.7001057E+001, 5.3523312E+000,-3.9256524E-002,-6.3225454E+000,-4.1276310E-004, 2.5151378E-003, 0.0000000E+000,-3.1304516E-005,-9.7316322E-001,-1.0073997E+000, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.5857220E-001, 0.0000000E+000, 2.1951872E-005
 4.8001877E+001, 4.3825497E+000,-1.9370021E-002,-5.6280198E+000, 7.9935224E-004, 2.3925112E-003, 0.0000000E+000,-6.2766908E-005,-1.2438139E+000,-1.2617110E+000, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.6722073E-001, 0.0000000E+000, 2.1951872E-005
 4.9000084E+001, 2.8917451E+000,-4.1575429E-003,-3.9258427E+000, 1.9354928E-003, 2.2897527E-003, 0.0000000E+000,-1.5603311E-005,-1.0426032E+000,-1.0340455E+000, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.7585819E-001, 0.0000000E+000, 2.1951872E-005
 5.0001278E+001, 5.3035876E-001, 1.2113276E-004,-9.4803460E-001, 2.1625465E-003, 2.2870988E-003, 0.0000000E+000,-2.3301979E-006,-4.2526307E-001,-4.1310740E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.8449506E-001, 0.0000000E+000, 2.1951872E-005
 5.1001152E+001, 1.2926995E-003, 6.1225696E-004,-1.3092975E-002, 2.1718971E-003, 2.2431766E-003, 0.0000000E+000,-2.4803952E-006,-1.7319682E-002,-6.7754256E-003, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.9313910E-001, 0.0000000E+000, 2.1951872E-005
 5.2001026E+001, 0.0000000E+000, 5.9341729E-004, 4.5018504E-003, 2.1164487E-003, 2.1574793E-003, 0.0000000E+000,-4.1629395E-006,-2.0278449E-003, 9.3650327E-003, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.0177819E-001, 0.0000000E+000, 2.1951872E-005
 5.3000900E+001, 0.0000000E+000, 5.7247752E-004, 2.9213780E-003, 2.0252851E-003, 2.0428586E-003, 0.0000000E+000,-3.6397878E-006,-4.0948227E-003, 7.5583593E-003, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.1041728E-001, 0.0000000E+000, 2.1951872E-005
 5.4000774E+001, 0.0000000E+000, 5.5496985E-004, 9.4319611E-003, 2.0225316E-003, 2.0233172E-003, 0.0000000E+000,-4.4038566E-006, 1.9324568E-003, 1.4028376E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.1905592E-001, 0.0000000E+000, 2.1951872E-005
 5.5000648E+001, 0.0000000E+000, 5.3488744E-004, 5.4335968E-003, 2.0226191E-003, 2.0058413E-003, 0.0000000E+000,-4.4124167E-006,-2.2163820E-003, 9.9925322E-003, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.2769501E-001, 0.0000000E+000, 2.1951872E-005
 5.6000526E+001, 0.0000000E+000, 5.1908641E-004, 6.0831459E-003, 1.8863455E-003, 1.8457672E-003, 0.0000000E+000,-3.9287961E-006,-2.2356115E-003, 1.0330416E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.3633364E-001, 0.0000000E+000, 2.1951872E-005
 5.7000401E+001, 0.0000000E+000, 5.0289872E-004, 9.8830151E-003, 1.8018431E-003, 1.7415877E-003, 0.0000000E+000,-3.0317426E-006, 1.3051024E-003, 1.3926313E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.4497273E-001, 0.0000000E+000, 2.1951872E-005
 5.8001156E+001, 0.0000000E+000, 4.8717198E-004, 6.1800556E-003, 1.8261515E-003, 1.7453747E-003, 0.0000000E+000,-3.1517273E-006,-2.5939644E-003, 1.0235602E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.5361523E-001, 0.0000000E+000, 2.1951872E-005
 5.9001781E+001, 0.0000000E+000, 4.7362863E-004, 6.5053783E-003, 1.8271529E-003, 1.7430288E-003, 0.0000000E+000,-3.8075988E-006,-2.4281115E-003, 1.0545381E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.6226042E-001, 0.0000000E+000, 2.1951872E-005
 6.0000591E+001, 0.0000000E+000, 4.5922396E-004, 8.2059746E-003, 1.8292038E-003, 1.7623902E-003, 0.0000000E+000,-1.1656616E-005,-1.0177120E-003, 1.2245136E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.7089785E-001, 0.0000000E+000, 2.1951872E-005
 6.1001217E+001, 0.0000000E+000, 4.4734288E-004, 9.9404932E-003, 1.7278365E-003, 1.6828837E-003, 0.0000000E+000,-1.2835991E-005, 3.6753665E-004, 1.3785720E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.7953585E-001, 0.0000000E+000, 2.1951872E-005
 6.2001507E+001, 0.0000000E+000, 4.3487712E-004, 7.7240696E-003, 1.6488221E-003, 1.6501143E-003, 0.0000000E+000,-1.2374131E-005,-1.9528516E-003, 1.1445509E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.8818028E-001, 0.0000000E+000, 2.1951872E-005
 6.3000790E+001, 0.0000000E+000, 4.2392238E-004, 9.2310420E-003, 1.7034106E-003, 1.6508219E-003, 0.0000000E+000,-9.4921537E-006,-8.1049932E-004, 1.2999705E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.9681796E-001, 0.0000000E+000, 2.1951872E-005
 6.4000069E+001, 0.0000000E+000, 4.1256242E-004, 9.4613896E-003, 1.6167574E-003, 1.5332452E-003, 0.0000000E+000,-7.0393093E-006,-8.2316636E-004, 1.3016915E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 5.0545143E-001, 0.0000000E+000, 2.1951872E-005
 6.5000000E+001, 0.0000000E+000, 4.0193947E-004, 9.9687982E-003, 1.5927640E-003, 1.5375432E-003, 0.0000000E+000,-2.0395414E-005,-7.3910400E-004, 1.3480649E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 5.1408810E-001, 0.0000000E+000, 2.1951872E-005
