cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 1.0439394E+001, 7.0905401E+000, 4.7980136E+000, 9.1000000E+000, 3.4167781E+002, 4.6399174E+002, 4.4911253E+002, 4.0306575E+002, 4.0068627E+002, 3.9317727E+002, 1.7297021E+002, 3.3615076E+002, 2.8778141E+002, 1.9047605E+002, 1.6757910E+002, 1.2731710E+002,-1.0620482E+001, 5.1727410E-013, 2.9980270E-003, 4.7918541E-002, 3.1837414E-002, 3.0979968E-002, 2.9715477E-012, 1.8953001E-002, 1.9692684E-001, 6.0472599E-002, 4.1875736E-002
 1.0936364E+001, 7.2938014E+000, 5.2399948E+000, 9.5800000E+000, 3.1244267E+002, 4.1951738E+002, 4.1976912E+002, 3.8664185E+002, 3.8570656E+002, 3.8021010E+002, 8.4117780E+001, 2.9552091E+002, 2.5984245E+002, 1.7455130E+002, 1.5305131E+002, 1.1386652E+002,-1.0126506E+001, 3.3455969E-011, 9.2033636E-003, 6.6404499E-002, 3.6409169E-002, 3.7927522E-002, 1.9495515E-010, 4.0720586E-002, 2.3002828E-001, 6.5656620E-002, 4.4867766E-002
 1.1433333E+001, 7.5453627E+000, 5.7733648E+000, 1.0060000E+001, 2.9888881E+002, 3.7148316E+002, 3.9133045E+002, 3.7130744E+002, 3.7110387E+002, 3.6793199E+002, 2.0700487E+001, 2.2341594E+002, 2.3060249E+002, 1.5876467E+002, 1.3410997E+002, 1.0173717E+002,-9.6325301E+000, 2.1540648E-009, 2.2883939E-002, 8.8404422E-002, 4.2147143E-002, 4.5083611E-002, 1.2598373E-008, 9.2357140E-002, 2.6195775E-001, 6.6948059E-002, 4.7207995E-002
 1.1930303E+001, 7.8318186E+000, 6.3610582E+000, 1.0540000E+001, 2.9579070E+002, 3.4058335E+002, 3.6756175E+002, 3.5500536E+002, 3.5688477E+002, 3.5512019E+002, 3.4217939E+000, 1.7990439E+002, 2.0249380E+002, 1.4219131E+002, 1.1661525E+002, 8.8293918E+001,-9.1385542E+000, 1.1824792E-007, 4.4953167E-002, 1.1515167E-001, 4.9264520E-002, 5.1815648E-002, 6.9419403E-007, 1.5848807E-001, 2.9848537E-001, 7.0450475E-002, 4.9027109E-002
 1.2427273E+001, 8.1552983E+000, 6.9740862E+000, 1.1020000E+001, 2.9529427E+002, 3.2359117E+002, 3.4659287E+002, 3.4040608E+002, 3.4447337E+002, 3.4297156E+002, 4.0960510E-001, 1.4800647E+002, 1.6857383E+002, 1.2310219E+002, 1.0153625E+002, 7.7553249E+001,-8.6445783E+000, 4.9566100E-006, 7.0947546E-002, 1.3907576E-001, 5.6794780E-002, 5.8435929E-002, 2.7067784E-005, 2.1870996E-001, 3.2525900E-001, 7.4645393E-002, 5.0678804E-002
 1.2924242E+001, 8.5187234E+000, 7.6104064E+000, 1.1500000E+001, 2.9520691E+002, 3.0810534E+002, 3.2265227E+002, 3.2636165E+002, 3.3078850E+002, 3.3327349E+002, 8.3992217E-002, 8.1582661E+001, 1.0237531E+002, 9.1024710E+001, 8.2073819E+001, 6.7418124E+001,-8.1506024E+000, 1.1669223E-004, 1.0391345E-001, 1.5461284E-001, 6.5304566E-002, 6.5359864E-002, 5.3476966E-004, 2.8485760E-001, 3.3269982E-001, 8.1356227E-002, 5.2499938E-002
 1.3421212E+001, 8.9138163E+000, 8.2566520E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.6566265E+000, 1.5185162E-003, 1.3635069E-001, 1.6877339E-001, 7.5299511E-002, 7.2333470E-002, 5.7231524E-003, 3.4098149E-001, 3.3729473E-001, 9.1045011E-002, 5.4290180E-002
 1.3918182E+001, 9.3310469E+000, 8.8925672E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.1626506E+000, 8.5973878E-003, 1.6743773E-001, 1.8799396E-001, 8.5773417E-002, 7.9135762E-002, 2.3515543E-002, 3.8240121E-001, 3.5230496E-001, 9.5636133E-002, 5.6927635E-002
 1.4415152E+001, 9.7501248E+000, 9.4629913E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.6686747E+000, 2.3534571E-002, 2.0586438E-001, 2.1398759E-001, 9.6695814E-002, 8.5058557E-002, 4.5365178E-002, 4.2488196E-001, 3.7697755E-001, 1.0831166E-001, 5.8670145E-002
 1.4912121E+001, 1.0160672E+001, 9.9526819E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.1746988E+000, 4.2204982E-002, 2.5368748E-001, 2.4546993E-001, 1.0909631E-001, 9.1804999E-002, 6.3299290E-002, 4.7552295E-001, 4.0692392E-001, 1.2587039E-001, 6.7154411E-002
