s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW
t,GHF_tot_4cm,GHF_tot_2cm,GHF_tot_1cm,GHF_tot_0p5cm,GHF_rad_4cm,GHF_rad_2cm,GHF_rad_1cm,GHF_rad_0p5cm,GHF_con_4cm,GHF_con_2cm,GHF_con_1cm,GHF_con_0p5cm
 1.580E+02, 4.134E+00, 4.727E+00, 5.543E+00,, 3.230E+00, 3.593E+00, 3.912E+00,, 9.043E-01, 1.134E+00, 1.631E+00,
 1.600E+02, 4.056E+00, 4.659E+00, 5.470E+00,, 3.229E+00, 3.556E+00, 3.958E+00,, 8.274E-01, 1.104E+00, 1.512E+00,
 1.620E+02, 4.194E+00, 4.668E+00, 5.479E+00,, 3.252E+00, 3.611E+00, 4.027E+00,, 9.416E-01, 1.056E+00, 1.452E+00,
 1.640E+02, 4.083E+00, 4.695E+00, 5.439E+00,, 3.225E+00, 3.619E+00, 3.885E+00,, 8.581E-01, 1.076E+00, 1.555E+00,
 1.660E+02, 4.050E+00, 4.607E+00, 5.463E+00,, 3.223E+00, 3.530E+00, 3.981E+00,, 8.273E-01, 1.077E+00, 1.481E+00,
 1.680E+02, 4.122E+00, 4.692E+00, 5.608E+00,, 3.249E+00, 3.549E+00, 3.981E+00,, 8.729E-01, 1.143E+00, 1.626E+00,
 1.700E+02, 4.031E+00, 4.801E+00, 5.119E+00,, 3.226E+00, 3.627E+00, 3.734E+00,, 8.051E-01, 1.175E+00, 1.385E+00,
 1.720E+02, 3.973E+00, 4.612E+00, 5.268E+00,, 3.157E+00, 3.621E+00, 3.882E+00,, 8.164E-01, 9.911E-01, 1.386E+00,
 1.740E+02, 4.125E+00, 4.678E+00, 5.595E+00,, 3.286E+00, 3.615E+00, 4.016E+00,, 8.389E-01, 1.064E+00, 1.578E+00,
 1.760E+02, 4.248E+00, 4.484E+00, 5.416E+00,, 3.298E+00, 3.517E+00, 3.957E+00,, 9.500E-01, 9.675E-01, 1.459E+00,
 1.780E+02, 4.361E+00, 4.715E+00, 5.408E+00,, 3.392E+00, 3.631E+00, 3.931E+00,, 9.693E-01, 1.083E+00, 1.477E+00,
 1.800E+02, 4.281E+00, 4.573E+00, 5.462E+00,, 3.356E+00, 3.572E+00, 3.966E+00,, 9.253E-01, 1.001E+00, 1.496E+00,
 1.820E+02, 4.210E+00, 4.656E+00, 5.291E+00,, 3.342E+00, 3.655E+00, 3.898E+00,, 8.685E-01, 1.001E+00, 1.393E+00,
 1.840E+02, 4.302E+00, 4.648E+00, 5.358E+00,, 3.329E+00, 3.629E+00, 3.911E+00,, 9.733E-01, 1.020E+00, 1.447E+00,
 1.860E+02, 4.185E+00, 4.717E+00,,, 3.290E+00, 3.693E+00,,, 8.950E-01, 1.025E+00,,
 1.880E+02, 4.366E+00, 4.766E+00,,, 3.351E+00, 3.675E+00,,, 1.016E+00, 1.091E+00,,
 1.900E+02, 4.282E+00, 4.650E+00,,, 3.320E+00, 3.619E+00,,, 9.625E-01, 1.031E+00,,
 1.920E+02, 4.198E+00, 4.594E+00,,, 3.313E+00, 3.580E+00,,, 8.854E-01, 1.014E+00,,
 1.940E+02, 4.309E+00, 4.660E+00,,, 3.348E+00, 3.618E+00,,, 9.604E-01, 1.042E+00,,
 1.960E+02, 4.429E+00, 4.530E+00,,, 3.388E+00, 3.559E+00,,, 1.042E+00, 9.701E-01,,
 1.980E+02, 4.495E+00, 4.890E+00,,, 3.441E+00, 3.707E+00,,, 1.054E+00, 1.184E+00,,
 2.000E+02, 4.398E+00, 4.786E+00,,, 3.385E+00, 3.689E+00,,, 1.013E+00, 1.097E+00,,
