s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
 1.8000343E+001, 3.0011820E+001, 0.0000000E+000,-8.8443463E+000,-1.7560812E+001,-1.8172042E+000, 2.1099208E-002, 0.0000000E+000, 0.0000000E+000, 1.7461838E+000, 1.8105559E+000,-5.9985012E-001,-1.3833125E-005, 6.4699996E-004,-9.9561278E-003, 3.7822113E-006
 2.0001394E+001, 2.9766736E+001, 0.0000000E+000,-8.7394508E+000,-1.9423517E+001,-1.9675691E+000, 2.0465707E-002, 0.0000000E+000, 0.0000000E+000,-4.0103535E-001,-3.4333505E-001,-5.9276065E-001,-5.5371858E-005, 6.4699996E-004,-1.0862438E-002, 1.2206027E-005
 2.2000179E+001, 3.0513261E+001, 0.0000000E+000,-8.9374937E+000,-1.9989642E+001,-1.9428030E+000, 1.9716079E-002, 0.0000000E+000, 0.0000000E+000,-3.9520110E-001,-3.3696188E-001,-5.9046316E-001,-1.7347975E-004, 6.4699996E-004,-1.1142095E-002, 2.9144277E-005
 2.4001022E+001, 3.0912967E+001, 0.0000000E+000,-9.0743449E+000,-1.9607438E+001,-1.8769692E+000, 1.9374040E-002, 0.0000000E+000, 0.0000000E+000, 3.0679962E-001, 3.7358918E-001,-5.9200773E-001,-3.2615036E-004, 6.4699996E-004,-1.0674663E-002, 4.7778508E-005
 2.6001507E+001, 3.1147802E+001, 0.0000000E+000,-9.1875346E+000,-2.0220161E+001,-1.8727066E+000, 1.8711409E-002, 0.0000000E+000, 0.0000000E+000,-1.7196081E-001,-1.1388951E-001,-5.8967018E-001,-4.9740965E-004, 6.4699996E-004,-1.0834527E-002, 6.0772929E-005
 2.8000032E+001, 3.1607654E+001, 0.0000000E+000,-9.3081570E+000,-2.0239464E+001,-1.9238233E+000, 1.8373515E-002, 0.0000000E+000, 0.0000000E+000, 9.4655424E-002, 1.5458375E-001,-5.8947888E-001,-5.8356390E-004, 6.4699996E-004,-1.0824489E-002, 7.0564020E-005
 3.0000208E+001, 3.1738122E+001, 0.0000000E+000,-9.3783130E+000,-1.8895121E+001,-1.7387313E+000, 1.7913546E-002, 0.0000000E+000, 0.0000000E+000, 1.6789098E+000, 1.7438703E+000,-5.9468700E-001,-6.2764826E-004, 6.4699996E-004,-9.9846810E-003, 8.2756121E-005
 3.2000271E+001, 3.1775507E+001, 0.0000000E+000,-9.3728838E+000,-2.1388808E+001,-1.8304473E+000, 1.7975705E-002, 0.0000000E+000, 0.0000000E+000,-8.6717249E-001,-7.9865613E-001,-5.8514118E-001,-7.9370563E-004, 6.4699996E-004,-1.1142959E-002, 8.5592147E-005
 3.4000782E+001, 3.1778398E+001, 0.0000000E+000,-9.3967548E+000,-2.0447594E+001,-1.9026201E+000, 1.7232026E-002, 0.0000000E+000, 0.0000000E+000,-1.2899582E-002, 4.8660766E-002,-5.8876836E-001,-7.5842787E-004, 6.4699996E-004,-1.0651940E-002, 8.7597091E-005
 3.6001205E+001, 3.1914056E+001, 0.0000000E+000,-9.3976881E+000,-2.0717875E+001,-1.7626750E+000, 1.8023292E-002, 0.0000000E+000, 0.0000000E+000,-7.1649399E-003, 5.3840981E-002,-5.8768492E-001,-8.1237522E-004, 6.4699996E-004,-1.0796836E-002, 9.0703492E-005
 3.8001186E+001, 3.2172496E+001, 0.0000000E+000,-9.5117283E+000,-1.9623650E+001,-1.6543821E+000, 1.7523624E-002, 0.0000000E+000, 0.0000000E+000, 1.3259300E+000, 1.4002589E+000,-5.9192701E-001,-7.7067429E-004, 6.4699997E-004,-1.0137089E-002, 9.5021606E-005
 4.0000626E+001, 3.2432188E+001, 0.0000000E+000,-9.6650739E+000,-2.0312020E+001,-1.7928542E+000, 1.7107872E-002, 0.0000000E+000, 0.0000000E+000, 6.1489009E-001, 6.7934771E-001,-5.8921885E-001,-8.7268818E-004, 6.4699997E-004,-1.0471930E-002, 1.0171832E-004
 4.2000973E+001, 3.2031448E+001, 0.0000000E+000,-9.4824649E+000,-2.1492259E+001,-1.9172647E+000, 1.5911266E-002, 0.0000000E+000, 0.0000000E+000,-9.0675454E-001,-8.4462995E-001,-5.8467673E-001,-9.6559526E-004, 6.4699997E-004,-1.1054533E-002, 1.0709679E-004
 4.4000072E+001, 3.2625296E+001, 0.0000000E+000,-9.6148856E+000,-2.1741208E+001,-1.7166650E+000, 1.6795502E-002, 0.0000000E+000, 0.0000000E+000,-4.9324922E-001,-4.3066768E-001,-5.8368415E-001,-1.0075090E-003, 6.4699997E-004,-1.1168023E-002, 1.1189060E-004
 4.6000526E+001, 3.2525917E+001, 0.0000000E+000,-9.5902709E+000,-2.1091777E+001,-1.8654618E+000, 1.5403200E-002, 0.0000000E+000, 0.0000000E+000,-7.1958500E-002,-6.1897235E-003,-5.8621704E-001,-1.0361272E-003, 6.4699997E-004,-1.0740951E-002, 1.1858243E-004
 4.8000206E+001, 3.2624739E+001, 0.0000000E+000,-9.6208646E+000,-2.0536847E+001,-1.6783401E+000, 1.5889889E-002, 0.0000000E+000, 0.0000000E+000, 7.4025030E-001, 8.0457767E-001,-5.8833185E-001,-1.0553835E-003, 6.4699997E-004,-1.0395998E-002, 1.2432303E-004
 5.0000214E+001, 3.2743834E+001, 0.0000000E+000,-9.7111650E+000,-2.1130894E+001,-1.7401962E+000, 1.4979100E-002, 0.0000000E+000, 0.0000000E+000, 1.0745174E-001, 1.7655761E-001,-5.8607278E-001,-1.1346253E-003, 6.4699997E-004,-1.0632819E-002, 1.3013433E-004
 5.2000137E+001, 3.3398013E+001, 0.0000000E+000,-9.8341120E+000,-2.1164516E+001,-1.7218261E+000, 1.4013583E-002, 0.0000000E+000, 0.0000000E+000, 6.2790074E-001, 6.9157244E-001,-5.8584742E-001,-1.1826630E-003, 6.4699997E-004,-1.0649613E-002, 1.3904058E-004
 5.4000305E+001, 3.3620121E+001, 0.0000000E+000,-9.8655418E+000,-2.2255089E+001,-1.8071769E+000, 1.3794527E-002, 0.0000000E+000, 0.0000000E+000,-3.5207137E-001,-2.9389179E-001,-5.8171555E-001,-1.3616667E-003, 6.4699997E-004,-1.0989737E-002, 1.5684937E-004
 5.6000233E+001, 3.3839480E+001, 0.0000000E+000,-9.9829288E+000,-2.2147214E+001,-1.7655596E+000, 1.2317036E-002, 0.0000000E+000, 0.0000000E+000,-9.9089046E-002,-4.3904491E-002,-5.8211700E-001,-1.4769526E-003, 6.4699997E-004,-1.0791865E-002, 1.7537351E-004
 5.8000603E+001, 3.4539834E+001, 0.0000000E+000,-1.0350588E+001,-2.3006927E+001,-1.8033610E+000, 1.0659024E-002, 0.0000000E+000, 0.0000000E+000,-6.7709836E-001,-6.1038319E-001,-5.7869463E-001,-1.7146585E-003, 6.4699997E-004,-1.1132230E-002, 1.9251548E-004
 6.0000622E+001, 3.4782552E+001, 0.0000000E+000,-1.0414338E+001,-2.2169552E+001,-1.8073947E+000, 1.0444198E-002, 0.0000000E+000, 0.0000000E+000, 3.3539651E-001, 4.0171226E-001,-5.8182278E-001,-1.7794267E-003, 6.4699998E-004,-1.0667911E-002, 2.0963567E-004
 6.2000977E+001, 3.5443494E+001, 0.0000000E+000,-1.0719026E+001,-2.2067053E+001,-1.5980228E+000, 9.3446144E-003, 0.0000000E+000, 0.0000000E+000, 9.9735524E-001, 1.0687367E+000,-5.8223718E-001,-1.8761202E-003, 6.4699997E-004,-1.0427487E-002, 2.2876759E-004
 6.4001091E+001, 3.5768954E+001, 0.0000000E+000,-1.0587214E+001,-2.3926847E+001,-2.0050848E+000, 7.6546397E-003, 0.0000000E+000, 0.0000000E+000,-8.0096919E-001,-7.4253718E-001,-5.7501808E-001,-2.2420133E-003, 6.4699998E-004,-1.1155668E-002, 2.5403860E-004
 6.6000824E+001, 3.6433797E+001, 0.0000000E+000,-1.0838328E+001,-2.3225389E+001,-1.6002450E+000, 8.0536037E-003, 0.0000000E+000, 0.0000000E+000, 7.0385192E-001, 7.7788813E-001,-5.7777015E-001,-2.3503852E-003, 6.4699998E-004,-1.0494770E-002, 2.7887479E-004
 6.8000114E+001, 3.7521890E+001, 0.0000000E+000,-1.1158358E+001,-2.4208444E+001,-1.7892360E+000, 6.4429308E-003, 0.0000000E+000, 0.0000000E+000, 3.0678038E-001, 3.7229564E-001,-5.7386585E-001,-2.6310372E-003, 6.4699998E-004,-1.0865057E-002, 3.1175354E-004
 7.0000992E+001, 3.8097836E+001, 0.0000000E+000,-1.1494884E+001,-2.4662702E+001,-1.8946354E+000, 2.7226346E-003, 0.0000000E+000, 0.0000000E+000,-1.0966100E-002, 4.8336834E-002,-5.7200688E-001,-2.9405328E-003, 6.4699998E-004,-1.0820970E-002, 3.4603976E-004
 7.2001053E+001, 3.8670416E+001, 0.0000000E+000,-1.1521798E+001,-2.4855835E+001,-1.7836559E+000, 3.2513571E-003, 0.0000000E+000, 0.0000000E+000, 4.3919596E-001, 5.1237834E-001,-5.7116095E-001,-3.2446816E-003, 6.4699998E-004,-1.0683378E-002, 3.7933602E-004
 7.4000328E+001, 4.0376791E+001, 0.0000000E+000,-1.2141071E+001,-2.5608805E+001,-2.0506236E+000,-1.0884728E-003, 0.0000000E+000, 0.0000000E+000, 5.2167559E-001, 5.7520354E-001,-5.6828171E-001,-3.5861645E-003, 6.4699998E-004,-1.0660915E-002, 4.3133028E-004
 7.6000397E+001, 4.1323273E+001, 0.0000000E+000,-1.2508989E+001,-2.6019003E+001,-1.9728743E+000,-8.9108007E-004, 0.0000000E+000, 0.0000000E+000, 7.5549033E-001, 8.2151490E-001,-5.6643342E-001,-4.0451210E-003, 6.4699998E-004,-1.0593287E-002, 4.7997596E-004
 7.8000168E+001, 4.2654355E+001, 0.0000000E+000,-1.3068123E+001,-2.7172765E+001,-1.9475597E+000,-4.6389021E-003, 0.0000000E+000, 0.0000000E+000, 3.9246280E-001, 4.6126819E-001,-5.6191020E-001,-4.4507596E-003, 6.4699998E-004,-1.0785840E-002, 5.2863202E-004
 8.0000580E+001, 4.3385294E+001, 0.0000000E+000,-1.3262444E+001,-2.8184735E+001,-1.9314427E+000,-5.0663333E-003, 0.0000000E+000, 0.0000000E+000,-5.6023242E-002, 1.6059588E-003,-5.5796881E-001,-5.0492821E-003, 6.4699998E-004,-1.0773094E-002, 5.7317875E-004
 8.2000145E+001, 4.5109628E+001, 0.0000000E+000,-1.3757652E+001,-2.7429161E+001,-1.9695871E+000,-5.9502789E-003, 0.0000000E+000, 0.0000000E+000, 1.8800682E+000, 1.9472778E+000,-5.6068333E-001,-5.1181500E-003, 6.4699998E-004,-1.0284162E-002, 6.3575734E-004
 8.4001312E+001, 4.6538853E+001, 0.0000000E+000,-1.4377539E+001,-3.0085799E+001,-2.1051681E+000,-9.1726898E-003, 0.0000000E+000, 0.0000000E+000,-1.0822461E-001,-3.8824872E-002,-5.5038176E-001,-6.0310880E-003, 6.4699998E-004,-1.0904166E-002, 6.7917730E-004
 8.6000092E+001, 4.7849212E+001, 0.0000000E+000,-1.4853237E+001,-2.9442856E+001,-1.9520343E+000,-9.2724508E-003, 0.0000000E+000, 0.0000000E+000, 1.5225103E+000, 1.5918122E+000,-5.5274316E-001,-6.1326273E-003, 6.4699998E-004,-1.0422580E-002, 7.3993363E-004
 8.8000786E+001, 4.8920124E+001, 0.0000000E+000,-1.5219125E+001,-3.1413393E+001,-2.0252165E+000,-1.2439039E-002, 0.0000000E+000, 0.0000000E+000, 1.7556473E-001, 2.4995049E-001,-5.4508145E-001,-6.8368948E-003, 6.4699998E-004,-1.0866703E-002, 7.8672106E-004
 9.0000511E+001, 5.0386792E+001, 0.0000000E+000,-1.5761662E+001,-3.3224008E+001,-2.1422109E+000,-1.9051647E-002, 0.0000000E+000, 0.0000000E+000,-8.1633708E-001,-7.6014028E-001,-5.3796639E-001,-7.6345770E-003, 6.4699998E-004,-1.1111036E-002, 8.5531686E-004
 9.2000343E+001, 5.2292314E+001, 0.0000000E+000,-1.6312811E+001,-3.2175420E+001,-2.2128373E+000,-2.2695370E-002, 0.0000000E+000, 0.0000000E+000, 1.5135344E+000, 1.5685510E+000,-5.4162931E-001,-7.8686102E-003, 6.4699998E-004,-1.0474869E-002, 9.4780193E-004
 9.4001022E+001, 5.5998908E+001, 0.0000000E+000,-1.7653218E+001,-3.5104223E+001,-2.0320209E+000,-2.7712164E-002, 0.0000000E+000, 0.0000000E+000, 1.1230023E+000, 1.1817340E+000,-5.3021594E-001,-9.0904982E-003, 6.4699998E-004,-1.0782045E-002, 1.0915345E-003
 9.6000107E+001, 5.9139240E+001, 0.0000000E+000,-1.8444530E+001,-3.6222062E+001,-2.0446643E+000,-2.7146201E-002, 0.0000000E+000, 0.0000000E+000, 2.3358943E+000, 2.4008366E+000,-5.2572660E-001,-1.0005710E-002, 6.4699998E-004,-1.0433089E-002, 1.1849553E-003
 9.8000572E+001, 5.9430629E+001, 0.0000000E+000,-1.8770911E+001,-3.6059141E+001,-2.2200070E+000,-2.4680814E-002, 0.0000000E+000, 0.0000000E+000, 2.2833235E+000, 2.3558892E+000,-5.2644414E-001,-1.0165119E-002, 6.4699998E-004,-1.0025662E-002, 1.2344245E-003
 1.0000102E+002, 6.1007064E+001, 0.0000000E+000,-1.9201104E+001,-3.8744133E+001,-2.3858147E+000,-3.0440105E-002, 0.0000000E+000, 0.0000000E+000, 5.7127163E-001, 6.4557286E-001,-5.1577598E-001,-1.1226573E-002, 6.4699998E-004,-1.0770396E-002, 1.2865068E-003
 1.0200101E+002, 6.3339241E+001, 0.0000000E+000,-2.0104332E+001,-4.2236202E+001,-2.3010761E+000,-3.4559391E-002, 0.0000000E+000, 0.0000000E+000,-1.3929858E+000,-1.3369279E+000,-5.0236343E-001,-1.2562566E-002, 6.4699996E-004,-1.1306868E-002, 1.3812165E-003
 1.0400016E+002, 6.4659304E+001, 0.0000000E+000,-2.0442397E+001,-4.1140063E+001,-2.1972823E+000,-3.2511177E-002, 0.0000000E+000, 0.0000000E+000, 7.6317314E-001, 8.4705029E-001,-5.0631711E-001,-1.2657963E-002, 6.4699998E-004,-1.0750484E-002, 1.4378425E-003
 1.0600080E+002, 6.6432340E+001, 0.0000000E+000,-2.1040581E+001,-4.1532685E+001,-2.3375636E+000,-3.9500844E-002, 0.0000000E+000, 0.0000000E+000, 1.4277195E+000, 1.4820089E+000,-5.0489590E-001,-1.2766698E-002, 6.4699998E-004,-1.0595218E-002, 1.5112940E-003
 1.0800014E+002, 6.8865353E+001, 0.0000000E+000,-2.2002114E+001,-4.4424259E+001,-2.2966594E+000,-4.5775823E-002, 0.0000000E+000, 0.0000000E+000, 5.0152282E-002, 9.6544221E-002,-4.9361245E-001,-1.4320784E-002, 6.4699997E-004,-1.0831570E-002, 1.6252584E-003
 1.1000065E+002, 7.1377131E+001, 0.0000000E+000,-2.2656546E+001,-4.4977916E+001,-2.3040540E+000,-4.2421973E-002, 0.0000000E+000, 0.0000000E+000, 1.3267743E+000, 1.3961934E+000,-4.9114322E-001,-1.4812913E-002, 6.4699997E-004,-1.0689452E-002, 1.7014741E-003
 1.1200053E+002, 7.3399976E+001, 0.0000000E+000,-2.3454494E+001,-4.6244312E+001,-2.4340693E+000,-4.5358808E-002, 0.0000000E+000, 0.0000000E+000, 1.1598731E+000, 1.2217416E+000,-4.8633185E-001,-1.5342986E-002, 6.4699998E-004,-1.0677298E-002, 1.7922577E-003
 1.1400015E+002, 7.4725237E+001, 0.0000000E+000,-2.3872559E+001,-4.4286713E+001,-2.4722526E+000,-4.2000269E-002, 0.0000000E+000, 0.0000000E+000, 3.9925711E+000, 4.0517120E+000,-4.9367122E-001,-1.5247777E-002, 6.4699998E-004,-9.8203069E-003, 1.8351185E-003
 1.1600079E+002, 7.5220877E+001, 0.0000000E+000,-2.4069112E+001,-5.0000844E+001,-2.4975795E+000,-4.7900498E-002, 0.0000000E+000, 0.0000000E+000,-1.4459167E+000,-1.3945583E+000,-4.7214791E-001,-1.7228008E-002, 6.4699980E-004,-1.1036667E-002, 1.8841865E-003
 1.1800004E+002, 7.7614498E+001, 0.0000000E+000,-2.4843465E+001,-4.9137535E+001,-2.5244989E+000,-5.2935745E-002, 0.0000000E+000, 0.0000000E+000, 1.0092691E+000, 1.0560635E+000,-4.7490779E-001,-1.7210273E-002, 6.4699997E-004,-1.0676572E-002, 1.9758378E-003
 1.2000074E+002, 8.0482142E+001, 0.0000000E+000,-2.5824614E+001,-4.9191477E+001,-2.4547434E+000,-4.9386423E-002, 0.0000000E+000, 0.0000000E+000, 2.8798412E+000, 2.9619216E+000,-4.7433204E-001,-1.7495906E-002, 6.4699997E-004,-1.0486979E-002, 2.0649017E-003
 1.2200039E+002, 8.1745336E+001, 0.0000000E+000,-2.6126105E+001,-4.9750881E+001,-2.4988401E+000,-5.0789551E-002, 0.0000000E+000, 0.0000000E+000, 3.2466590E+000, 3.3187203E+000,-4.7301706E-001,-1.7963961E-002, 6.4699998E-004,-1.0007706E-002, 2.1305723E-003
 1.2400078E+002, 8.3783390E+001, 0.0000000E+000,-2.7146964E+001,-5.4097553E+001,-2.6369769E+000,-5.3629378E-002, 0.0000000E+000, 0.0000000E+000,-2.0975157E-001,-1.5173315E-001,-4.5582488E-001,-1.9669098E-002, 6.4699998E-004,-1.0861098E-002, 2.2501542E-003
 1.2600088E+002, 8.5675792E+001, 0.0000000E+000,-2.7783015E+001,-5.3596899E+001,-2.7295018E+000,-5.5310558E-002, 0.0000000E+000, 0.0000000E+000, 1.4279921E+000, 1.5110649E+000,-4.5743883E-001,-2.0054076E-002, 6.4699996E-004,-1.0475465E-002, 2.2734751E-003
 1.2800021E+002, 8.6975782E+001, 0.0000000E+000,-2.7890158E+001,-5.6450641E+001,-2.6730127E+000,-5.8425657E-002, 0.0000000E+000, 0.0000000E+000,-1.4378913E-001,-9.6455380E-002,-4.4733665E-001,-2.0992074E-002, 6.4699996E-004,-1.0771889E-002, 2.3482581E-003
 1.3000043E+002, 8.8951496E+001, 0.0000000E+000,-2.8748842E+001,-5.8351780E+001,-2.8046931E+000,-6.8723701E-002, 0.0000000E+000, 0.0000000E+000,-1.0666100E+000,-1.0225433E+000,-4.3913480E-001,-2.2008079E-002, 6.4699995E-004,-1.1116288E-002, 2.4397222E-003
 1.3200009E+002, 9.2084144E+001, 0.0000000E+000,-2.9461932E+001,-5.9186353E+001,-2.6534449E+000,-6.5679955E-002, 0.0000000E+000, 0.0000000E+000, 6.5762274E-001, 7.1673361E-001,-4.3548528E-001,-2.2736900E-002, 6.4699991E-004,-1.0936156E-002, 2.5618831E-003
 1.3400003E+002, 9.4668869E+001, 0.0000000E+000,-3.0607350E+001,-6.0293621E+001,-2.8467444E+000,-6.9315029E-002, 0.0000000E+000, 0.0000000E+000, 7.9158876E-001, 8.5183961E-001,-4.3143187E-001,-2.3340368E-002, 6.4699981E-004,-1.0827008E-002, 2.6533093E-003
 1.3600029E+002, 9.6478794E+001, 0.0000000E+000,-3.1043374E+001,-6.2038459E+001,-2.7085349E+000,-7.1915082E-002, 0.0000000E+000, 0.0000000E+000, 5.6871852E-001, 6.1650996E-001,-4.2465566E-001,-2.4289780E-002, 6.4699993E-004,-1.0800203E-002, 2.7584392E-003
 1.3800081E+002, 9.8858573E+001, 0.0000000E+000,-3.1812743E+001,-6.2521092E+001,-2.8676085E+000,-7.8326231E-002, 0.0000000E+000, 0.0000000E+000, 1.5113615E+000, 1.5788032E+000,-4.2328762E-001,-2.4792726E-002, 6.4699965E-004,-1.0552683E-002, 2.8477834E-003
 1.4000122E+002, 1.0151201E+002, 0.0000000E+000,-3.2641627E+001,-6.3112678E+001,-2.9775283E+000,-7.4646675E-002, 0.0000000E+000, 0.0000000E+000, 2.6415083E+000, 2.7055309E+000,-4.2063938E-001,-2.5299734E-002, 6.4699994E-004,-1.0420943E-002, 2.9728719E-003
 1.4200027E+002, 1.0591252E+002, 0.0000000E+000,-3.4476505E+001,-6.2640792E+001,-3.1366662E+000,-7.3573326E-002, 0.0000000E+000, 0.0000000E+000, 5.5141133E+000, 5.5849815E+000,-4.2278674E-001,-2.5425132E-002, 6.4699978E-004,-9.9221485E-003, 3.0537980E-003
 1.4400037E+002, 1.0556620E+002, 0.0000000E+000,-3.4269256E+001,-6.6226461E+001,-3.2554081E+000,-7.5176089E-002, 0.0000000E+000, 0.0000000E+000, 1.6672854E+000, 1.7398996E+000,-4.1159922E-001,-2.6784124E-002, 6.4699985E-004,-1.0347169E-002, 3.1469595E-003
 1.4600092E+002, 1.0942419E+002, 0.0000000E+000,-3.5271000E+001,-7.2904655E+001,-2.9583093E+000,-9.2497633E-002, 0.0000000E+000, 0.0000000E+000,-1.8284737E+000,-1.8022719E+000,-3.8579516E-001,-2.9731182E-002, 6.4699976E-004,-1.1156047E-002, 3.2790352E-003
 1.4800093E+002, 1.1176442E+002, 0.0000000E+000,-3.6098909E+001,-7.1833071E+001,-3.2192839E+000,-8.5273135E-002, 0.0000000E+000, 0.0000000E+000, 4.6099116E-001, 5.2788223E-001,-3.8720541E-001,-2.9812423E-002, 6.4699987E-004,-1.0870660E-002, 3.3552554E-003
 1.5000020E+002, 1.1438966E+002, 0.0000000E+000,-3.7077685E+001,-7.1933956E+001,-3.1884895E+000,-8.6311879E-002, 0.0000000E+000, 0.0000000E+000, 2.0533033E+000, 2.1032207E+000,-3.8752586E-001,-3.0287023E-002, 6.4699892E-004,-1.0396192E-002, 3.4632286E-003
 1.5200037E+002, 1.1542552E+002, 0.0000000E+000,-3.7520220E+001,-7.3742052E+001,-3.2681906E+000,-9.2279603E-002, 0.0000000E+000, 0.0000000E+000, 7.6955193E-001, 8.0277469E-001,-3.8188681E-001,-3.0952498E-002, 6.4699819E-004,-1.0464044E-002, 3.5819918E-003
 1.5400105E+002, 1.2018369E+002, 0.0000000E+000,-3.8822217E+001,-7.5388667E+001,-3.5472968E+000,-9.7227357E-002, 0.0000000E+000, 0.0000000E+000, 2.2472424E+000, 2.3282859E+000,-3.7481160E-001,-3.2128631E-002, 6.4699858E-004,-1.0618949E-002, 3.6483465E-003
 1.5600108E+002, 1.2231333E+002, 0.0000000E+000,-3.9624427E+001,-7.4136803E+001,-3.6209809E+000,-8.9204115E-002, 0.0000000E+000, 0.0000000E+000, 4.7586174E+000, 4.8419110E+000,-3.7955495E-001,-3.1515314E-002, 6.4699991E-004,-1.0145362E-002, 3.8017808E-003
 1.5800049E+002, 1.2423031E+002, 0.0000000E+000,-4.0303682E+001,-7.8142714E+001,-3.7486776E+000,-9.4588556E-002, 0.0000000E+000, 0.0000000E+000, 1.8921160E+000, 1.9406484E+000,-3.6913042E-001,-3.3153688E-002, 6.4699990E-004,-1.0197883E-002, 3.9388390E-003
 1.6000011E+002, 1.2948115E+002, 0.0000000E+000,-4.2013324E+001,-8.3333296E+001,-3.7921340E+000,-1.0091783E-001, 0.0000000E+000, 0.0000000E+000, 1.8066512E-001, 2.4147561E-001,-3.4865657E-001,-3.5851010E-002, 6.4699895E-004,-1.0743121E-002, 4.0144414E-003
 1.6200111E+002, 1.2823068E+002, 0.0000000E+000,-4.1775474E+001,-8.2061062E+001,-3.8032167E+000,-1.0165401E-001, 0.0000000E+000, 0.0000000E+000, 4.3350881E-001, 4.8927497E-001,-3.5252101E-001,-3.5551684E-002, 6.4699887E-004,-1.0277760E-002, 4.0903463E-003
 1.6400002E+002, 1.3416948E+002, 0.0000000E+000,-4.4013831E+001,-8.1379669E+001,-3.9423261E+000,-9.5595995E-002, 0.0000000E+000, 0.0000000E+000, 4.6621436E+000, 4.7380618E+000,-3.6166131E-001,-3.4705000E-002, 6.4699971E-004,-9.7128449E-003, 4.2500568E-003
 1.6600095E+002, 1.3392681E+002, 0.0000000E+000,-4.3464526E+001,-8.8915243E+001,-4.2347934E+000,-1.1509665E-001, 0.0000000E+000, 0.0000000E+000,-2.8062451E+000,-2.8028523E+000,-3.3177344E-001,-3.8375462E-002, 6.4699854E-004,-1.1009935E-002, 4.2781586E-003
 1.6800029E+002, 1.3593386E+002, 0.0000000E+000,-4.4374114E+001,-8.5284482E+001,-3.9679227E+000,-1.0604667E-001, 0.0000000E+000, 0.0000000E+000, 2.1552709E+000, 2.2012966E+000,-3.4181697E-001,-3.7218691E-002, 6.4699690E-004,-1.0146402E-002, 4.3604956E-003
 1.7000078E+002, 1.3880668E+002, 0.0000000E+000,-4.5486680E+001,-8.5664282E+001,-4.1583405E+000,-1.0554682E-001, 0.0000000E+000, 0.0000000E+000, 3.3334511E+000, 3.3918306E+000,-3.4246435E-001,-3.7468942E-002, 6.4699540E-004,-1.0102764E-002, 4.4640202E-003
