s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
 4.000E+01, 3.570E-05, 5.127E-05, 1.632E-04, 3.764E-04, 3.297E-05, 5.045E-05, 1.476E-04, 3.793E-04, 6.867E-05, 1.017E-04, 3.108E-04, 7.557E-04
 4.200E+01, 3.803E-05, 5.324E-05, 1.945E-04, 4.502E-04, 3.588E-05, 5.386E-05, 1.740E-04, 4.536E-04, 7.391E-05, 1.071E-04, 3.685E-04, 9.039E-04
 4.400E+01, 4.284E-05, 5.563E-05, 2.218E-04, 5.232E-04, 3.934E-05, 5.626E-05, 2.019E-04, 5.345E-04, 8.217E-05, 1.119E-04, 4.237E-04, 1.058E-03
 4.600E+01, 4.641E-05, 5.960E-05, 2.478E-04, 6.014E-04, 4.276E-05, 5.899E-05, 2.345E-04, 6.018E-04, 8.917E-05, 1.186E-04, 4.823E-04, 1.203E-03
 4.800E+01, 4.781E-05, 6.198E-05, 2.744E-04, 6.759E-04, 4.447E-05, 6.234E-05, 2.677E-04, 6.779E-04, 9.228E-05, 1.243E-04, 5.421E-04, 1.354E-03
 5.000E+01, 4.863E-05, 6.499E-05, 3.097E-04, 7.613E-04, 4.573E-05, 6.514E-05, 3.023E-04, 7.653E-04, 9.436E-05, 1.301E-04, 6.120E-04, 1.527E-03
 5.200E+01, 5.006E-05, 6.988E-05, 3.498E-04, 8.654E-04, 4.788E-05, 6.917E-05, 3.402E-04, 8.709E-04, 9.794E-05, 1.390E-04, 6.899E-04, 1.736E-03
 5.400E+01, 5.293E-05, 7.787E-05, 3.931E-04, 9.453E-04, 5.042E-05, 7.898E-05, 3.825E-04, 9.493E-04, 1.033E-04, 1.568E-04, 7.756E-04, 1.895E-03
 5.600E+01, 5.795E-05, 8.552E-05, 4.332E-04, 1.037E-03, 5.607E-05, 8.986E-05, 4.215E-04, 1.040E-03, 1.140E-04, 1.754E-04, 8.547E-04, 2.077E-03
 5.800E+01, 6.264E-05, 9.385E-05, 4.790E-04, 1.144E-03, 6.152E-05, 9.867E-05, 4.681E-04, 1.137E-03, 1.242E-04, 1.925E-04, 9.470E-04, 2.281E-03
 6.000E+01, 6.719E-05, 1.038E-04, 5.213E-04, 1.245E-03, 6.637E-05, 1.058E-04, 5.100E-04, 1.245E-03, 1.336E-04, 2.096E-04, 1.031E-03, 2.490E-03
 6.200E+01, 7.108E-05, 1.142E-04, 5.675E-04, 1.361E-03, 7.204E-05, 1.146E-04, 5.562E-04, 1.355E-03, 1.431E-04, 2.288E-04, 1.124E-03, 2.716E-03
 6.400E+01, 7.584E-05, 1.263E-04, 6.209E-04, 1.469E-03, 7.891E-05, 1.278E-04, 6.089E-04, 1.458E-03, 1.548E-04, 2.540E-04, 1.230E-03, 2.927E-03
 6.600E+01, 7.896E-05, 1.400E-04, 6.676E-04, 1.548E-03, 8.546E-05, 1.388E-04, 6.600E-04, 1.543E-03, 1.644E-04, 2.789E-04, 1.328E-03, 3.091E-03
 6.800E+01, 8.529E-05, 1.622E-04, 7.110E-04, 1.663E-03, 9.251E-05, 1.495E-04, 7.063E-04, 1.666E-03, 1.778E-04, 3.118E-04, 1.417E-03, 3.329E-03
 7.000E+01, 9.148E-05, 1.799E-04, 7.593E-04, 1.793E-03, 9.887E-05, 1.661E-04, 7.491E-04, 1.794E-03, 1.903E-04, 3.460E-04, 1.508E-03, 3.587E-03
 7.200E+01, 1.010E-04, 1.970E-04, 8.204E-04, 1.913E-03, 1.076E-04, 1.823E-04, 8.141E-04, 1.897E-03, 2.086E-04, 3.793E-04, 1.635E-03, 3.810E-03
 7.400E+01, 1.073E-04, 2.245E-04, 8.799E-04, 2.068E-03, 1.166E-04, 2.068E-04, 8.741E-04, 2.048E-03, 2.239E-04, 4.313E-04, 1.754E-03, 4.116E-03
 7.600E+01, 1.141E-04, 2.473E-04, 9.251E-04, 2.231E-03, 1.241E-04, 2.327E-04, 9.274E-04, 2.212E-03, 2.382E-04, 4.800E-04, 1.852E-03, 4.443E-03
 7.800E+01, 1.227E-04, 2.708E-04, 9.853E-04, 2.358E-03, 1.346E-04, 2.578E-04, 9.822E-04, 2.406E-03, 2.573E-04, 5.286E-04, 1.968E-03, 4.764E-03
 8.000E+01, 1.338E-04, 2.909E-04, 1.031E-03, 2.495E-03, 1.408E-04, 2.823E-04, 1.036E-03, 2.525E-03, 2.746E-04, 5.732E-04, 2.067E-03, 5.020E-03
 8.200E+01, 1.401E-04, 3.234E-04, 1.087E-03, 2.706E-03, 1.554E-04, 3.123E-04, 1.100E-03, 2.694E-03, 2.955E-04, 6.358E-04, 2.187E-03, 5.400E-03
 8.400E+01, 1.499E-04, 3.420E-04, 1.152E-03, 2.970E-03, 1.708E-04, 3.372E-04, 1.166E-03, 2.903E-03, 3.207E-04, 6.792E-04, 2.319E-03, 5.873E-03
 8.600E+01, 1.576E-04, 3.709E-04, 1.222E-03, 3.032E-03, 1.873E-04, 3.690E-04, 1.232E-03, 3.121E-03, 3.449E-04, 7.399E-04, 2.454E-03, 6.153E-03
 8.800E+01, 1.626E-04, 3.957E-04, 1.278E-03, 3.181E-03, 1.993E-04, 3.910E-04, 1.287E-03, 3.296E-03, 3.619E-04, 7.867E-04, 2.565E-03, 6.476E-03
 9.000E+01, 1.759E-04, 4.314E-04, 1.343E-03, 3.470E-03, 2.079E-04, 4.239E-04, 1.349E-03, 3.532E-03, 3.837E-04, 8.553E-04, 2.692E-03, 7.002E-03
 9.200E+01, 1.895E-04, 4.759E-04, 1.391E-03, 3.704E-03, 2.166E-04, 4.719E-04, 1.374E-03, 3.615E-03, 4.061E-04, 9.478E-04, 2.765E-03, 7.319E-03
 9.400E+01, 2.093E-04, 5.484E-04, 1.435E-03, 3.890E-03, 2.253E-04, 5.432E-04, 1.424E-03, 3.793E-03, 4.346E-04, 1.092E-03, 2.859E-03, 7.683E-03
 9.600E+01, 2.291E-04, 6.000E-04, 1.513E-03, 4.108E-03, 2.330E-04, 5.850E-04, 1.508E-03, 4.000E-03, 4.622E-04, 1.185E-03, 3.021E-03, 8.108E-03
 9.800E+01, 2.470E-04, 6.276E-04, 1.617E-03, 4.200E-03, 2.455E-04, 6.068E-04, 1.616E-03, 4.151E-03, 4.925E-04, 1.234E-03, 3.232E-03, 8.351E-03
 1.000E+02, 2.529E-04, 6.525E-04, 1.731E-03, 4.324E-03, 2.600E-04, 6.340E-04, 1.728E-03, 4.241E-03, 5.129E-04, 1.287E-03, 3.459E-03, 8.565E-03
 1.020E+02, 2.656E-04, 6.947E-04, 1.811E-03, 4.496E-03, 2.793E-04, 6.865E-04, 1.794E-03, 4.392E-03, 5.449E-04, 1.381E-03, 3.604E-03, 8.888E-03
 1.040E+02, 2.841E-04, 7.284E-04, 1.902E-03, 4.626E-03, 2.954E-04, 7.094E-04, 1.896E-03, 4.531E-03, 5.795E-04, 1.438E-03, 3.798E-03, 9.158E-03
 1.060E+02, 3.103E-04, 7.624E-04, 2.032E-03, 4.684E-03, 3.150E-04, 7.489E-04, 2.044E-03, 4.546E-03, 6.253E-04, 1.511E-03, 4.076E-03, 9.230E-03
 1.080E+02, 3.384E-04, 8.173E-04, 2.129E-03, 4.743E-03, 3.450E-04, 8.079E-04, 2.114E-03, 4.678E-03, 6.833E-04, 1.625E-03, 4.243E-03, 9.421E-03
 1.100E+02, 3.661E-04, 8.577E-04, 2.236E-03, 5.007E-03, 3.719E-04, 8.438E-04, 2.217E-03, 4.902E-03, 7.381E-04, 1.701E-03, 4.454E-03, 9.909E-03
 1.120E+02, 4.020E-04, 9.044E-04, 2.331E-03, 5.144E-03, 3.951E-04, 8.879E-04, 2.338E-03, 5.001E-03, 7.972E-04, 1.792E-03, 4.669E-03, 1.015E-02
 1.140E+02, 4.471E-04, 9.235E-04, 2.402E-03, 5.202E-03, 4.327E-04, 9.116E-04, 2.417E-03, 5.123E-03, 8.798E-04, 1.835E-03, 4.819E-03, 1.032E-02
 1.160E+02, 4.846E-04, 9.517E-04, 2.482E-03, 5.249E-03, 4.735E-04, 9.325E-04, 2.495E-03, 5.214E-03, 9.581E-04, 1.884E-03, 4.976E-03, 1.046E-02
 1.180E+02, 5.092E-04, 9.972E-04, 2.580E-03, 5.391E-03, 4.980E-04, 9.786E-04, 2.578E-03, 5.426E-03, 1.007E-03, 1.976E-03, 5.158E-03, 1.082E-02
 1.200E+02, 5.389E-04, 1.040E-03, 2.598E-03, 5.541E-03, 5.186E-04, 1.025E-03, 2.601E-03, 5.531E-03, 1.057E-03, 2.065E-03, 5.199E-03, 1.107E-02
 1.220E+02, 5.694E-04, 1.066E-03, 2.737E-03, 5.749E-03, 5.648E-04, 1.064E-03, 2.764E-03, 5.691E-03, 1.134E-03, 2.131E-03, 5.501E-03, 1.144E-02
 1.240E+02, 6.190E-04, 1.126E-03, 2.886E-03, 5.886E-03, 6.203E-04, 1.125E-03, 2.912E-03, 5.760E-03, 1.239E-03, 2.250E-03, 5.798E-03, 1.165E-02
 1.260E+02, 6.592E-04, 1.142E-03, 2.981E-03, 5.979E-03, 6.692E-04, 1.132E-03, 3.047E-03, 5.833E-03, 1.328E-03, 2.273E-03, 6.028E-03, 1.181E-02
 1.280E+02, 7.056E-04, 1.187E-03, 3.114E-03, 6.154E-03, 7.154E-04, 1.161E-03, 3.144E-03, 6.083E-03, 1.421E-03, 2.348E-03, 6.259E-03, 1.224E-02
 1.300E+02, 7.521E-04, 1.223E-03, 3.209E-03, 6.135E-03, 7.606E-04, 1.217E-03, 3.217E-03, 6.135E-03, 1.513E-03, 2.440E-03, 6.426E-03, 1.227E-02
 1.320E+02, 8.206E-04, 1.278E-03, 3.265E-03, 6.185E-03, 8.088E-04, 1.284E-03, 3.278E-03, 6.234E-03, 1.629E-03, 2.562E-03, 6.543E-03, 1.242E-02
 1.340E+02, 8.764E-04, 1.315E-03, 3.320E-03, 6.398E-03, 8.699E-04, 1.338E-03, 3.352E-03, 6.400E-03, 1.746E-03, 2.653E-03, 6.672E-03, 1.280E-02
 1.360E+02, 9.106E-04, 1.363E-03, 3.442E-03, 6.490E-03, 9.076E-04, 1.395E-03, 3.464E-03, 6.463E-03, 1.818E-03, 2.758E-03, 6.906E-03, 1.295E-02
 1.380E+02, 9.767E-04, 1.414E-03, 3.542E-03, 6.677E-03, 9.859E-04, 1.434E-03, 3.563E-03, 6.754E-03, 1.963E-03, 2.848E-03, 7.105E-03, 1.343E-02
 1.400E+02, 1.034E-03, 1.469E-03, 3.637E-03, 6.965E-03, 1.039E-03, 1.504E-03, 3.620E-03, 6.985E-03, 2.073E-03, 2.973E-03, 7.257E-03, 1.395E-02
 1.420E+02, 1.072E-03, 1.508E-03, 3.583E-03, 6.998E-03, 1.065E-03, 1.546E-03, 3.567E-03, 6.999E-03, 2.136E-03, 3.054E-03, 7.150E-03, 1.400E-02
 1.440E+02, 1.104E-03, 1.564E-03, 3.690E-03, 7.006E-03, 1.082E-03, 1.583E-03, 3.672E-03, 7.033E-03, 2.187E-03, 3.147E-03, 7.362E-03, 1.404E-02
 1.460E+02, 1.174E-03, 1.645E-03, 3.759E-03, 7.184E-03, 1.141E-03, 1.634E-03, 3.728E-03, 7.257E-03, 2.315E-03, 3.279E-03, 7.487E-03, 1.444E-02
 1.480E+02, 1.219E-03, 1.672E-03, 3.794E-03, 7.439E-03, 1.190E-03, 1.683E-03, 3.752E-03, 7.414E-03, 2.409E-03, 3.355E-03, 7.546E-03, 1.485E-02
 1.500E+02, 1.300E-03, 1.721E-03, 3.901E-03, 7.577E-03, 1.285E-03, 1.742E-03, 3.866E-03, 7.507E-03, 2.585E-03, 3.463E-03, 7.767E-03, 1.508E-02
 1.520E+02, 1.300E-03, 1.764E-03, 3.972E-03, 7.434E-03, 1.309E-03, 1.819E-03, 3.922E-03, 7.435E-03, 2.609E-03, 3.582E-03, 7.894E-03, 1.487E-02
 1.540E+02, 1.351E-03, 1.802E-03, 3.962E-03, 7.631E-03, 1.371E-03, 1.847E-03, 3.910E-03, 7.585E-03, 2.722E-03, 3.648E-03, 7.872E-03, 1.522E-02
 1.560E+02, 1.412E-03, 1.887E-03, 3.998E-03, 7.871E-03, 1.438E-03, 1.915E-03, 3.955E-03, 7.865E-03, 2.851E-03, 3.802E-03, 7.953E-03, 1.574E-02
 1.580E+02, 1.453E-03, 1.966E-03, 4.167E-03, 7.818E-03, 1.488E-03, 1.973E-03, 4.103E-03, 7.790E-03, 2.941E-03, 3.939E-03, 8.270E-03, 1.561E-02
 1.600E+02, 1.503E-03, 2.014E-03, 4.300E-03, 8.035E-03, 1.518E-03, 2.001E-03, 4.267E-03, 7.942E-03, 3.021E-03, 4.015E-03, 8.567E-03, 1.598E-02
 1.620E+02, 1.565E-03, 2.052E-03, 4.350E-03, 8.265E-03, 1.563E-03, 2.038E-03, 4.290E-03, 8.252E-03, 3.128E-03, 4.090E-03, 8.640E-03, 1.652E-02
 1.640E+02, 1.581E-03, 2.141E-03, 4.337E-03, 8.241E-03, 1.577E-03, 2.109E-03, 4.288E-03, 8.196E-03, 3.159E-03, 4.250E-03, 8.625E-03, 1.644E-02
 1.660E+02, 1.653E-03, 2.157E-03, 4.225E-03, 8.455E-03, 1.651E-03, 2.121E-03, 4.173E-03, 8.470E-03, 3.304E-03, 4.278E-03, 8.398E-03, 1.692E-02
 1.680E+02, 1.726E-03, 2.189E-03, 4.354E-03, 8.535E-03, 1.742E-03, 2.172E-03, 4.303E-03, 8.568E-03, 3.467E-03, 4.361E-03, 8.657E-03, 1.710E-02
 1.700E+02, 1.790E-03, 2.258E-03, 4.485E-03, 8.713E-03, 1.798E-03, 2.206E-03, 4.377E-03, 8.787E-03, 3.588E-03, 4.464E-03, 8.861E-03, 1.750E-02
 1.720E+02, 1.834E-03, 2.335E-03, 4.521E-03, 8.704E-03, 1.821E-03, 2.321E-03, 4.403E-03, 8.749E-03, 3.656E-03, 4.656E-03, 8.925E-03, 1.745E-02
 1.740E+02, 1.861E-03, 2.335E-03, 4.632E-03, 8.991E-03, 1.838E-03, 2.354E-03, 4.494E-03, 9.012E-03, 3.699E-03, 4.689E-03, 9.126E-03, 1.800E-02
 1.760E+02, 1.888E-03, 2.382E-03, 4.652E-03, 9.187E-03, 1.862E-03, 2.404E-03, 4.579E-03, 9.147E-03, 3.750E-03, 4.786E-03, 9.231E-03, 1.833E-02
 1.780E+02, 1.931E-03, 2.396E-03, 4.698E-03, 9.334E-03, 1.906E-03, 2.431E-03, 4.609E-03, 9.174E-03, 3.837E-03, 4.828E-03, 9.307E-03, 1.851E-02
 1.800E+02, 1.939E-03, 2.365E-03, 4.563E-03, 9.456E-03, 1.921E-03, 2.386E-03, 4.468E-03, 9.412E-03, 3.860E-03, 4.751E-03, 9.031E-03, 1.887E-02
 1.820E+02, 1.975E-03, 2.470E-03, 4.683E-03, 9.191E-03, 1.980E-03, 2.476E-03, 4.636E-03, 9.190E-03, 3.955E-03, 4.946E-03, 9.319E-03, 1.838E-02
 1.840E+02, 1.969E-03, 2.518E-03, 4.741E-03, 9.386E-03, 1.977E-03, 2.527E-03, 4.714E-03, 9.395E-03, 3.946E-03, 5.045E-03, 9.455E-03, 1.878E-02
 1.860E+02, 1.997E-03, 2.520E-03, 4.790E-03, 9.526E-03, 2.023E-03, 2.551E-03, 4.730E-03, 9.413E-03, 4.020E-03, 5.071E-03, 9.520E-03, 1.894E-02
 1.880E+02, 2.015E-03, 2.616E-03, 4.748E-03, 9.454E-03, 2.050E-03, 2.620E-03, 4.732E-03, 9.463E-03, 4.065E-03, 5.236E-03, 9.480E-03, 1.892E-02
 1.900E+02, 2.075E-03, 2.634E-03, 4.686E-03, 9.895E-03, 2.115E-03, 2.616E-03, 4.652E-03, 9.765E-03, 4.190E-03, 5.249E-03, 9.337E-03, 1.966E-02
 1.920E+02, 2.157E-03, 2.591E-03, 4.743E-03, 1.003E-02, 2.185E-03, 2.563E-03, 4.694E-03, 9.904E-03, 4.342E-03, 5.154E-03, 9.437E-03, 1.994E-02
 1.940E+02, 2.247E-03, 2.603E-03, 4.748E-03, 1.024E-02, 2.281E-03, 2.579E-03, 4.691E-03, 1.009E-02, 4.527E-03, 5.182E-03, 9.439E-03, 2.034E-02
 1.960E+02, 2.221E-03, 2.661E-03, 4.838E-03, 1.011E-02, 2.236E-03, 2.660E-03, 4.777E-03, 1.009E-02, 4.457E-03, 5.321E-03, 9.615E-03, 2.020E-02
 1.980E+02, 2.234E-03, 2.738E-03, 4.878E-03, 9.967E-03, 2.235E-03, 2.719E-03, 4.828E-03, 1.002E-02, 4.468E-03, 5.457E-03, 9.706E-03, 1.998E-02
 2.000E+02, 2.294E-03, 2.786E-03, 4.774E-03, 1.005E-02, 2.281E-03, 2.793E-03, 4.724E-03, 1.003E-02, 4.575E-03, 5.578E-03, 9.498E-03, 2.007E-02
