s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW
 1.080E+02, 6.139E+00, 8.918E+00, 1.483E+01,, 5.044E+00, 7.611E+00, 1.243E+01,, 1.095E+00, 1.307E+00, 2.405E+00,
 1.100E+02, 6.328E+00, 9.013E+00, 1.462E+01,, 5.173E+00, 7.824E+00, 1.228E+01,, 1.155E+00, 1.189E+00, 2.337E+00,
 1.120E+02, 6.346E+00, 9.501E+00, 1.451E+01,, 5.257E+00, 8.176E+00, 1.222E+01,, 1.089E+00, 1.325E+00, 2.284E+00,
 1.140E+02, 6.532E+00, 9.245E+00, 1.427E+01,, 5.472E+00, 8.077E+00, 1.207E+01,, 1.060E+00, 1.168E+00, 2.202E+00,
 1.160E+02, 6.703E+00, 8.984E+00, 1.438E+01,, 5.675E+00, 7.861E+00, 1.226E+01,, 1.028E+00, 1.123E+00, 2.125E+00,
 1.180E+02, 6.791E+00, 9.266E+00, 1.450E+01,, 5.737E+00, 8.091E+00, 1.225E+01,, 1.054E+00, 1.174E+00, 2.251E+00,
 1.200E+02, 7.152E+00, 9.773E+00, 1.418E+01,, 6.041E+00, 8.630E+00, 1.198E+01,, 1.111E+00, 1.143E+00, 2.197E+00,
 1.220E+02, 7.133E+00, 1.017E+01, 1.533E+01,, 6.102E+00, 8.885E+00, 1.302E+01,, 1.030E+00, 1.288E+00, 2.303E+00,
 1.240E+02, 7.360E+00, 1.006E+01, 1.548E+01,, 6.260E+00, 8.888E+00, 1.315E+01,, 1.101E+00, 1.169E+00, 2.339E+00,
 1.260E+02, 7.684E+00, 1.017E+01, 1.554E+01,, 6.592E+00, 8.970E+00, 1.334E+01,, 1.092E+00, 1.199E+00, 2.193E+00,
 1.280E+02, 7.838E+00, 1.050E+01, 1.568E+01,, 6.747E+00, 9.330E+00, 1.347E+01,, 1.091E+00, 1.165E+00, 2.214E+00,
 1.300E+02, 8.096E+00, 1.018E+01, 1.547E+01,, 6.984E+00, 8.923E+00, 1.327E+01,, 1.112E+00, 1.258E+00, 2.202E+00,
 1.320E+02, 8.263E+00, 1.063E+01, 1.565E+01,, 7.160E+00, 9.338E+00, 1.340E+01,, 1.103E+00, 1.287E+00, 2.246E+00,
 1.340E+02, 8.525E+00, 1.049E+01, 1.547E+01,, 7.371E+00, 9.204E+00, 1.317E+01,, 1.154E+00, 1.290E+00, 2.295E+00,
 1.360E+02, 8.830E+00, 1.089E+01, 1.589E+01,, 7.669E+00, 9.586E+00, 1.363E+01,, 1.162E+00, 1.306E+00, 2.266E+00,
 1.380E+02, 8.983E+00, 1.063E+01, 1.599E+01,, 7.877E+00, 9.363E+00, 1.367E+01,, 1.106E+00, 1.265E+00, 2.322E+00,
 1.400E+02, 9.588E+00, 1.114E+01, 1.571E+01,, 8.378E+00, 9.850E+00, 1.345E+01,, 1.210E+00, 1.293E+00, 2.256E+00,
 1.420E+02, 9.108E+00, 1.216E+01, 1.520E+01,, 8.053E+00, 1.075E+01, 1.306E+01,, 1.055E+00, 1.402E+00, 2.143E+00,
 1.440E+02, 9.417E+00, 1.190E+01, 1.639E+01,, 8.208E+00, 1.064E+01, 1.405E+01,, 1.209E+00, 1.254E+00, 2.338E+00,
 1.460E+02, 9.500E+00, 9.828E+00, 1.591E+01,, 8.395E+00, 8.836E+00, 1.362E+01,, 1.105E+00, 9.923E-01, 2.284E+00,
 1.480E+02, 9.832E+00, 1.116E+01, 1.630E+01,, 8.641E+00, 9.958E+00, 1.392E+01,, 1.191E+00, 1.203E+00, 2.381E+00,
 1.500E+02, 1.005E+01, 1.139E+01, 1.599E+01,, 8.914E+00, 1.018E+01, 1.375E+01,, 1.134E+00, 1.210E+00, 2.239E+00,
 1.520E+02, 1.002E+01, 1.126E+01, 1.595E+01,, 8.809E+00, 1.001E+01, 1.385E+01,, 1.210E+00, 1.242E+00, 2.103E+00,
 1.540E+02, 1.023E+01, 1.093E+01, 1.542E+01,, 9.124E+00, 9.792E+00, 1.331E+01,, 1.104E+00, 1.136E+00, 2.114E+00,
 1.560E+02, 1.029E+01, 1.226E+01, 1.613E+01,, 9.174E+00, 1.105E+01, 1.401E+01,, 1.117E+00, 1.208E+00, 2.118E+00,
 1.580E+02, 1.054E+01, 1.213E+01, 1.602E+01,, 9.350E+00, 1.098E+01, 1.389E+01,, 1.193E+00, 1.149E+00, 2.130E+00,
 1.600E+02, 1.016E+01, 1.106E+01, 1.678E+01,, 9.083E+00, 9.999E+00, 1.458E+01,, 1.073E+00, 1.065E+00, 2.200E+00,
 1.620E+02, 1.008E+01, 1.167E+01, 1.646E+01,, 9.001E+00, 1.053E+01, 1.431E+01,, 1.077E+00, 1.139E+00, 2.153E+00,
 1.640E+02, 1.055E+01, 1.263E+01, 1.571E+01,, 9.443E+00, 1.157E+01, 1.368E+01,, 1.110E+00, 1.062E+00, 2.036E+00,
 1.660E+02, 1.055E+01, 1.095E+01, 1.596E+01,, 9.453E+00, 9.844E+00, 1.377E+01,, 1.092E+00, 1.101E+00, 2.197E+00,
 1.680E+02, 1.110E+01, 1.152E+01, 1.671E+01,, 1.007E+01, 1.048E+01, 1.445E+01,, 1.031E+00, 1.042E+00, 2.265E+00,
 1.700E+02, 1.050E+01, 1.230E+01, 1.637E+01,, 9.561E+00, 1.123E+01, 1.410E+01,, 9.426E-01, 1.069E+00, 2.268E+00,
 1.720E+02, 1.036E+01, 1.296E+01, 1.735E+01,, 9.313E+00, 1.172E+01, 1.498E+01,, 1.052E+00, 1.239E+00, 2.363E+00,
 1.740E+02, 1.096E+01, 1.201E+01, 1.664E+01,, 9.956E+00, 1.082E+01, 1.444E+01,, 1.003E+00, 1.191E+00, 2.199E+00,
 1.760E+02, 1.027E+01, 1.222E+01, 1.658E+01,, 9.296E+00, 1.099E+01, 1.444E+01,, 9.696E-01, 1.228E+00, 2.136E+00,
 1.780E+02, 1.095E+01, 1.135E+01, 1.637E+01,, 9.954E+00, 1.026E+01, 1.415E+01,, 9.963E-01, 1.091E+00, 2.225E+00,
 1.800E+02, 1.066E+01, 1.134E+01, 1.637E+01,, 9.642E+00, 1.027E+01, 1.403E+01,, 1.014E+00, 1.065E+00, 2.345E+00,
 1.820E+02, 1.159E+01, 1.187E+01, 1.727E+01,, 1.038E+01, 1.085E+01, 1.499E+01,, 1.203E+00, 1.012E+00, 2.281E+00,
 1.840E+02, 1.049E+01, 1.206E+01, 1.617E+01,, 9.456E+00, 1.097E+01, 1.405E+01,, 1.033E+00, 1.094E+00, 2.116E+00,
 1.860E+02, 1.134E+01, 1.212E+01, 1.686E+01,, 1.021E+01, 1.107E+01, 1.470E+01,, 1.126E+00, 1.051E+00, 2.166E+00,
 1.880E+02, 1.048E+01, 1.214E+01, 1.587E+01,, 9.537E+00, 1.105E+01, 1.364E+01,, 9.477E-01, 1.090E+00, 2.227E+00,
 1.900E+02, 1.122E+01, 1.208E+01, 1.615E+01,, 1.015E+01, 1.091E+01, 1.402E+01,, 1.074E+00, 1.173E+00, 2.132E+00,
 1.920E+02, 1.105E+01, 1.141E+01, 1.656E+01,, 1.012E+01, 1.033E+01, 1.430E+01,, 9.320E-01, 1.083E+00, 2.254E+00,
 1.940E+02, 1.097E+01, 1.195E+01, 1.627E+01,, 1.004E+01, 1.084E+01, 1.404E+01,, 9.259E-01, 1.104E+00, 2.234E+00,
 1.960E+02, 1.097E+01, 1.257E+01, 1.660E+01,, 1.003E+01, 1.140E+01, 1.449E+01,, 9.391E-01, 1.171E+00, 2.104E+00,
 1.980E+02, 1.091E+01, 1.241E+01, 1.619E+01,, 9.923E+00, 1.128E+01, 1.392E+01,, 9.854E-01, 1.134E+00, 2.272E+00,
 2.000E+02, 1.082E+01, 1.296E+01, 1.641E+01,, 9.901E+00, 1.179E+01, 1.417E+01,, 9.232E-01, 1.168E+00, 2.238E+00,
