Time_sec,TC_K_z=-1.0_cm_r=13.2_cm,TC_K_z=-1.4_cm_r=3.7_cm,TC_K_z=-1.4_cm_r=11.1_cm,TC_K_z=-4.0_cm_r=3.7_cm,TC_K_z=-4.0_cm_r=11.1_cm,TC_K_z=-8.0_cm_r=3.7_cm
670,350.85,319.05,312.95,310.45,294.45,294.55
680,351.25,319.35,313.15,310.55,294.45,294.55
690,351.25,319.45,313.25,310.65,294.55,294.55
700,351.15,319.45,313.35,310.75,294.55,294.55
710,351.45,319.25,313.45,310.85,294.55,294.65
720,351.95,319.55,313.55,310.95,294.65,294.65
730,351.85,319.45,313.65,311.15,294.65,294.75
740,351.95,319.65,313.75,311.25,294.65,294.75
750,351.55,319.75,313.85,311.25,294.65,294.75
760,351.45,320.15,313.85,311.25,294.75,294.75
770,351.45,319.95,313.95,311.45,294.75,294.85
780,351.45,319.85,314.05,311.45,294.75,294.85
790,351.55,320.15,314.15,311.65,294.85,294.85
800,351.45,320.05,314.35,311.75,294.85,294.95
810,351.15,320.25,314.45,311.85,294.85,294.95
820,351.55,320.35,314.25,311.75,294.85,294.95
830,15,320.45,314.65,312.15,294.95,295.05
840,15,320.65,314.65,312.25,295.05,295.15
850,15,320.15,314.65,312.15,295.05,295.15
860,15,320.35,314.85,312.35,295.05,295.15
870,15,320.55,314.85,312.35,295.15,295.25
880,15,320.85,314.95,312.45,295.15,295.25
890,15,321.25,314.95,312.55,295.15,295.35
900,15,320.75,314.95,312.55,295.15,295.35
910,15,321.15,315.15,312.65,295.25,295.35
920,15,320.85,315.35,312.85,295.25,295.35
930,15,321.15,315.25,312.75,295.35,295.55
940,15,321.35,315.45,312.75,295.25,295.45
950,15,321.25,315.35,312.95,295.35,295.45
960,15,321.25,315.55,312.85,295.35,295.45
970,352.05,321.25,315.45,312.85,295.35,295.45
980,351.75,321.05,315.55,313.05,295.35,295.45
990,351.95,321.35,315.55,313.05,295.35,295.55
1000,351.65,321.55,315.65,313.25,295.35,295.55
1010,351.55,321.05,315.75,313.15,295.45,295.55
1020,351.85,321.25,315.85,313.35,295.45,295.65
1030,351.55,321.25,315.85,313.35,295.55,295.65
1040,351.95,321.65,315.95,313.35,295.55,295.65
1050,351.85,322.05,316.05,313.45,295.55,295.65
1060,351.65,322.05,316.05,313.55,295.55,295.75
1070,351.75,321.95,316.05,313.55,295.65,295.75
1080,351.95,322.25,316.15,313.55,295.65,295.75
1090,351.75,321.95,316.25,313.65,295.65,295.75
1100,351.85,322.25,316.25,313.75,295.65,295.85
1110,351.95,321.95,316.25,313.85,295.75,295.85
1120,351.85,322.05,316.35,313.85,295.75,295.95
1130,352.15,322.25,316.45,313.95,295.75,295.95
1140,351.95,322.25,316.55,313.95,295.75,295.95
1150,351.75,322.25,316.55,314.05,295.85,295.95
1160,351.55,322.25,316.65,314.05,295.85,296.05
1170,351.65,322.15,316.65,313.95,295.85,296.05
1180,352.25,322.65,316.75,314.15,295.85,296.05
1190,352.35,322.65,316.75,314.25,295.95,296.05
1200,352.25,322.75,316.85,314.25,295.95,296.15
1210,351.75,322.65,316.85,314.25,295.95,296.15
1220,352.15,322.85,316.85,314.35,296.05,296.15
1230,352.35,323.05,316.95,314.45,296.05,296.25
1240,352.15,322.65,317.05,314.45,296.05,296.25
1250,352.05,322.65,317.05,314.55,296.05,296.25
1260,352.15,322.65,317.15,314.45,296.15,296.25
1270,352.25,323.05,317.15,314.65,296.15,296.35
1280,352.25,323.15,317.15,314.65,296.15,296.35
1290,352.15,323.05,317.15,314.55,296.15,296.35
1300,352.05,322.85,317.15,314.75,296.15,296.35
1310,352.35,323.15,317.35,314.75,296.25,296.45
1320,352.05,323.65,317.25,314.85,296.25,296.45
1330,352.25,323.35,317.25,314.75,296.25,296.45
1340,352.05,323.55,317.45,314.95,296.25,296.45
1350,352.35,323.75,317.35,314.95,296.35,296.55
1360,351.85,323.55,317.45,314.95,296.35,296.55
1370,351.85,323.55,317.45,314.95,296.35,296.55
1380,351.75,323.45,317.55,314.95,296.45,296.65
1390,351.85,323.35,317.65,315.05,296.45,296.65
1400,352.35,323.15,317.65,315.15,296.45,296.65
1410,352.25,323.15,317.75,315.15,296.45,296.65
1420,352.35,323.65,317.65,315.05,296.45,296.65
1430,352.45,323.65,317.75,315.15,296.45,296.65
1440,352.25,323.95,317.75,315.25,296.55,296.75
1450,352.65,323.75,317.75,315.25,296.55,296.75
1460,352.05,323.35,317.85,315.25,296.55,296.75
1470,351.75,323.45,317.95,315.45,296.65,296.85
1480,351.85,323.25,317.95,315.35,296.65,296.85
1490,352.35,323.15,317.95,315.45,296.65,296.85
1500,352.75,323.55,318.05,315.55,296.65,296.85
1510,352.95,323.65,318.05,315.55,296.65,296.85
1520,353.05,324.15,318.05,315.55,296.75,296.95
1530,352.65,323.55,318.15,315.55,296.75,296.95
1540,352.45,323.65,318.15,315.65,296.75,296.95
1550,352.25,323.85,318.15,315.65,296.75,296.95
1560,352.15,324.25,318.15,315.65,296.75,296.95
1570,352.15,324.45,318.15,315.65,296.75,297.05
1580,352.25,324.05,318.25,315.75,296.85,297.05
1590,351.85,324.05,318.25,315.75,296.85,297.05
1600,352.15,324.05,318.15,315.65,296.85,297.05
1610,352.05,324.05,318.35,315.85,296.85,297.05
1620,351.55,323.45,318.35,315.85,296.85,297.15
1630,351.85,323.65,318.45,315.85,296.95,297.15
1640,352.35,323.55,318.35,315.75,296.95,297.15
1650,352.15,323.65,318.45,315.85,296.95,297.15
1660,351.95,323.95,318.45,316.05,296.95,297.15
1670,352.25,324.55,318.35,315.85,296.95,297.25
1680,352.35,324.25,318.45,315.95,296.95,297.25
1690,352.15,323.95,318.55,316.15,297.05,297.25
1700,351.95,323.75,318.55,316.15,297.05,297.25
1710,351.75,323.95,318.55,316.05,297.05,297.25
1720,351.85,323.95,318.55,316.05,297.05,297.25
1730,352.35,324.25,318.65,316.05,297.15,297.35
1740,352.15,324.15,318.75,316.25,297.15,297.35
1750,352.65,323.75,318.75,316.15,297.15,297.35
1760,352.75,324.35,318.75,316.25,297.15,297.35
1770,352.45,323.85,318.85,316.35,297.15,297.45
1780,352.35,324.15,318.85,316.35,297.25,297.45
1790,352.75,324.25,318.85,316.25,297.25,297.45
1800,352.35,324.35,318.85,316.35,297.25,297.45
1810,352.35,324.85,318.85,316.25,297.25,297.45
1820,352.45,324.95,318.95,316.35,297.25,297.55
1830,352.55,324.95,318.95,316.35,297.35,297.55
1840,352.35,324.65,319.05,316.45,297.35,297.55
1850,352.25,324.75,318.95,316.45,297.35,297.55
1860,352.35,324.75,319.05,316.45,297.35,297.55
1870,352.25,324.95,318.85,316.45,297.35,297.65
1880,352.35,324.75,319.05,316.55,297.35,297.65
1890,352.35,324.65,319.05,316.55,297.45,297.65
1900,352.45,324.75,319.15,316.55,297.45,297.65
1910,352.35,324.85,319.15,316.55,297.45,297.75
1920,351.95,324.45,319.15,316.65,297.45,297.75
1930,351.75,324.15,319.15,316.55,297.45,297.75
1940,351.75,323.95,319.15,316.65,297.45,297.75
1950,352.55,324.15,319.25,316.75,297.55,297.75
1960,353.35,324.65,319.35,316.75,297.55,297.75
1970,353.25,324.75,319.35,316.95,297.55,297.75
1980,353.15,324.95,319.35,316.85,297.55,297.85
1990,353.35,325.25,319.25,316.75,297.55,297.85
2000,353.45,325.25,319.35,316.95,297.65,297.85
2010,353.45,325.35,319.35,316.85,297.65,297.85
2020,352.95,325.25,319.45,316.95,297.65,297.85
2030,352.95,325.05,319.45,316.95,297.65,297.95
2040,352.65,324.85,319.45,316.85,297.65,297.95
2050,352.25,325.05,319.55,316.95,297.65,297.95
2060,352.65,325.25,319.45,316.95,297.65,297.95
2070,352.35,324.75,319.45,316.85,297.65,297.95
2080,352.45,324.85,319.65,316.95,297.65,297.95
2090,352.05,324.75,319.65,317.15,297.75,298.05
2100,352.75,324.85,319.65,317.05,297.75,298.05
2110,352.75,325.15,319.65,317.05,297.75,298.05
2120,352.65,325.05,319.65,317.15,297.75,298.05
2130,352.55,325.25,319.65,317.05,297.85,298.05
2140,352.75,324.95,319.65,317.15,297.85,298.15
2150,352.75,324.95,319.75,317.25,297.85,298.15
2160,352.45,324.65,319.75,317.25,297.85,298.15
2170,352.85,325.15,319.75,317.25,297.85,298.15
2180,352.85,325.25,319.75,317.25,297.85,298.15
2190,352.95,325.45,319.75,317.25,297.85,298.15
2200,352.55,324.75,319.85,317.25,297.95,298.25
2210,352.85,324.85,319.85,317.45,297.95,298.25
2220,352.75,325.45,319.85,317.25,297.95,298.25
2230,352.75,325.45,319.85,317.25,297.95,298.25
2240,352.85,325.45,319.95,317.45,297.95,298.25
2250,352.55,325.45,319.85,317.35,297.95,298.25
2260,352.95,325.75,319.95,317.35,298.05,298.25
2270,353.05,325.65,319.95,317.45,298.05,298.35
2280,352.15,325.35,320.05,317.55,298.05,298.35
2290,352.55,325.35,319.85,317.35,298.05,298.35
2300,352.35,325.15,320.05,317.45,298.05,298.35
2310,352.05,325.05,319.95,317.45,298.05,298.35
2320,351.95,325.05,320.05,317.55,298.05,298.35
2330,352.65,325.05,320.05,317.55,298.15,298.45
2340,353.25,325.65,320.15,317.55,298.15,298.45
2350,353.35,325.65,320.15,317.65,298.15,298.45
2360,353.05,325.85,320.15,317.75,298.15,298.45
2370,352.95,325.75,320.15,317.65,298.15,298.45
2380,352.85,325.85,320.15,317.65,298.15,298.45
2390,351.95,325.45,320.05,317.65,298.15,298.55
2400,352.85,325.25,320.25,317.65,298.25,298.55
2410,353.35,325.45,320.25,317.75,298.25,298.55
2420,353.15,325.65,320.35,317.85,298.25,298.55
2430,353.15,325.55,320.25,317.75,298.25,298.55
2440,353.35,326.05,320.25,317.75,298.25,298.55
2450,353.25,326.15,320.35,317.75,298.25,298.55
2460,353.25,326.05,320.35,317.85,298.35,298.65
2470,353.25,326.15,320.35,317.85,298.35,298.65
2480,353.25,325.95,320.45,317.85,298.35,298.65
2490,353.15,326.05,320.35,317.85,298.35,298.65
2500,352.95,326.05,320.55,317.95,298.35,298.65
2510,353.25,325.95,320.45,317.95,298.35,298.65
2520,352.95,325.95,320.55,317.95,298.35,298.75
2530,352.85,325.85,320.45,317.95,298.45,298.75
2540,351.85,325.45,320.45,317.95,298.45,298.75
2550,352.65,325.65,320.45,317.95,298.45,298.75
2560,353.65,326.15,320.55,318.05,298.45,298.75
2570,353.75,326.45,320.65,318.15,298.45,298.75
2580,353.65,326.25,320.65,318.15,298.45,298.85
2590,353.55,326.15,320.65,318.05,298.45,298.85
2600,353.65,326.35,320.65,318.15,298.45,298.85
2610,353.45,326.75,320.65,318.05,298.55,298.85
2620,353.05,326.15,320.65,318.25,298.55,298.85
2630,353.35,326.15,320.75,318.15,298.55,298.85
2640,353.25,325.95,320.75,318.25,298.55,298.85
2650,353.25,325.95,320.75,318.25,298.55,298.85
2660,353.25,326.25,320.85,318.35,298.65,298.85
2670,352.35,326.05,320.75,318.25,298.65,298.95
2680,353.05,325.85,320.85,318.35,298.65,298.95
2690,353.25,326.05,320.85,318.35,298.65,298.95
2700,353.25,326.35,320.85,318.25,298.65,298.95
2710,353.65,326.35,320.95,318.35,298.65,298.95
2720,353.35,326.25,320.95,318.35,298.65,298.95
2730,352.95,325.85,320.85,318.35,298.65,298.95
2740,352.95,325.95,320.95,318.25,298.65,299.05
2750,353.25,326.55,320.95,318.35,298.75,299.05
2760,353.35,326.55,320.95,318.45,298.75,299.05
2770,353.55,326.65,321.05,318.45,298.75,299.05
2780,353.35,326.45,320.95,318.45,298.75,299.05
2790,352.95,325.95,321.05,318.45,298.75,299.05
2800,353.55,326.25,321.05,318.55,298.75,299.05
2810,353.45,326.65,321.05,318.55,298.75,299.05
2820,353.35,326.55,321.05,318.45,298.75,299.15
2830,353.25,326.45,321.05,318.55,298.75,299.15
2840,353.15,326.55,321.05,318.55,298.75,299.15
2850,353.05,326.55,321.15,318.55,298.85,299.15
2860,353.25,326.35,321.15,318.55,298.85,299.15
2870,353.35,326.55,321.25,318.65,298.85,299.15
2880,353.45,326.75,321.25,318.65,298.85,299.15
2890,353.65,326.85,321.15,318.65,298.85,299.15
2900,353.25,326.95,321.15,318.65,298.85,299.15
2910,353.55,327.05,321.25,318.65,298.85,299.25
2920,353.35,327.15,321.25,318.75,298.85,299.25
2930,353.35,326.95,321.25,318.65,298.85,299.25
2940,353.65,327.05,321.15,318.75,298.85,299.25
2950,353.35,327.25,321.25,318.75,298.85,299.25
2960,353.55,327.25,321.25,318.75,298.95,299.25
2970,353.35,327.15,321.35,318.75,298.95,299.25
2980,353.15,326.65,321.35,318.85,298.95,299.25
2990,353.25,326.75,321.35,318.85,298.95,299.35
3000,353.25,326.85,321.35,318.85,298.95,299.35
3010,353.55,327.25,321.45,318.75,298.95,299.35
3020,353.35,326.95,321.35,318.95,298.95,299.35
3030,353.35,326.85,321.45,318.85,299.05,299.35
3040,353.35,326.85,321.45,318.85,299.05,299.35
3050,353.15,326.65,321.45,318.95,299.05,299.35
3060,353.45,326.75,321.55,318.95,299.05,299.45
3070,353.25,326.75,321.55,318.95,299.05,299.45
3080,353.45,326.55,321.55,319.05,299.05,299.45
3090,353.65,326.95,321.65,319.15,299.05,299.45
3100,353.65,327.05,321.55,319.05,299.05,299.45
3110,353.65,326.95,321.65,319.15,299.05,299.45
3120,353.25,326.65,321.65,319.15,299.15,299.45
3130,353.15,326.55,321.65,319.05,299.15,299.45
3140,353.15,326.65,321.65,319.05,299.15,299.45
3150,353.35,327.15,321.65,319.05,299.15,299.55
3160,353.55,327.25,321.65,319.05,299.15,299.55
3170,353.45,327.15,321.75,319.15,299.15,299.55
3180,353.45,327.25,321.75,319.05,299.15,299.55
3190,353.65,327.35,321.75,319.15,299.15,299.55
3200,353.75,327.55,321.75,319.15,299.25,299.55
3210,353.55,327.15,321.75,319.25,299.25,299.55
3220,353.75,327.35,321.85,319.25,299.25,299.55
3230,353.85,327.45,321.85,319.35,299.25,299.55
3240,353.55,327.35,321.85,319.35,299.25,299.65
3250,353.65,327.75,321.75,319.15,299.25,299.65
3260,353.65,327.45,321.85,319.25,299.25,299.65
3270,353.75,327.55,321.85,319.25,299.25,299.65
3280,353.45,327.45,321.85,319.25,299.25,299.65
3290,353.45,327.45,321.85,319.25,299.25,299.65
3300,353.75,327.35,321.95,319.25,299.25,299.65
3310,353.65,327.35,321.85,319.35,299.25,299.65
3320,353.25,327.25,321.95,319.45,299.35,299.65
3330,353.25,327.05,321.95,319.35,299.35,299.75
3340,353.65,327.05,321.95,319.35,299.35,299.75
3350,353.65,327.15,322.15,319.55,299.35,299.75
3360,353.75,327.45,321.95,319.45,299.35,299.75
3370,353.25,327.25,322.15,319.55,299.35,299.75
3380,353.15,327.25,322.05,319.55,299.35,299.75
3390,353.15,327.15,322.05,319.45,299.45,299.75
3400,353.45,326.85,322.15,319.55,299.45,299.75
3410,353.65,327.25,322.05,319.65,299.45,299.75
3420,353.85,327.65,322.15,319.55,299.45,299.85
3430,353.55,327.55,322.15,319.55,299.45,299.85
3440,354.05,327.65,322.15,319.65,299.45,299.85
3450,353.25,327.35,322.15,319.55,299.45,299.85
3460,353.45,327.15,322.15,319.55,299.45,299.85
3470,353.35,327.75,322.25,319.65,299.45,299.85
3480,353.25,327.05,322.25,319.75,299.45,299.85
3490,353.65,327.35,322.15,319.65,299.45,299.85
3500,353.85,327.95,322.15,319.65,299.45,299.85
3510,353.75,327.45,322.25,319.65,299.45,299.95
3520,353.55,327.65,322.25,319.75,299.55,299.95
3530,353.15,327.55,322.25,319.75,299.55,299.95
3540,352.95,326.65,322.25,319.65,299.55,299.95
3550,353.65,326.75,322.35,319.75,299.55,299.95
3560,354.15,327.45,322.35,319.85,299.55,299.95
3570,354.15,327.55,322.45,319.85,299.65,299.95
3580,354.45,327.95,322.35,319.85,299.65,300.05
3590,354.55,328.25,322.45,319.85,299.65,299.95
3600,354.55,328.05,322.45,319.85,299.65,300.05
3610,354.25,328.45,322.55,319.85,299.65,300.05
3620,353.95,328.45,322.25,319.85,299.65,300.05
3630,354.35,328.05,322.45,319.85,299.65,300.05
3640,353.75,327.45,322.45,319.95,299.65,300.05
3650,354.25,327.55,322.55,319.95,299.65,300.05
3660,354.15,327.95,322.55,319.95,299.65,300.05
3670,354.15,327.95,322.55,319.95,299.75,300.05
3680,353.95,327.45,322.55,319.95,299.75,300.05
3690,354.35,328.15,322.65,319.95,299.75,300.05
3700,354.35,328.55,322.65,320.05,299.75,300.05
3710,354.35,328.25,322.55,320.05,299.75,300.15
3720,353.95,328.15,322.65,319.95,299.75,300.15
3730,353.85,327.95,322.65,320.05,299.75,300.15
3740,354.15,327.85,322.65,320.05,299.75,300.15
3750,354.25,328.05,322.75,320.15,299.75,300.15
3760,354.05,327.85,322.75,320.15,299.75,300.15
3770,354.25,327.95,322.75,320.15,299.75,300.15
3780,354.05,327.65,322.85,320.25,299.75,300.15
3790,354.05,327.95,322.75,320.15,299.85,300.15
3800,354.05,328.25,322.85,320.25,299.85,300.15
3810,353.95,328.25,322.85,320.25,299.85,300.15
3820,354.25,328.05,322.85,320.25,299.85,300.25
3830,354.05,328.15,322.85,320.35,299.85,300.25
3840,354.35,328.35,322.85,320.35,299.85,300.25
3850,354.35,328.55,322.95,320.25,299.85,300.25
3860,353.95,328.65,322.85,320.35,299.85,300.25
3870,354.45,329.05,322.95,320.35,299.85,300.25
3880,354.35,328.85,323.05,320.35,299.85,300.25
3890,353.95,328.55,322.95,320.35,299.85,300.25
3900,354.45,328.75,322.85,320.25,299.85,300.25
3910,354.15,328.45,322.95,320.35,299.85,300.25
3920,354.05,328.65,323.05,320.45,299.95,300.25
3930,354.05,328.85,323.05,320.45,299.95,300.25
3940,353.95,328.85,322.95,320.35,299.95,300.25
3950,353.85,328.95,323.05,320.45,299.95,300.25
3960,353.65,328.75,322.95,320.45,299.95,300.25
3970,353.75,328.85,323.05,320.35,299.95,300.35
3980,353.95,328.65,323.05,320.35,299.95,300.35
3990,353.65,328.55,323.05,320.45,299.95,300.35
4000,354.05,328.15,323.25,320.55,299.95,300.35
