s,m/s,kg/m2/s,C,C
 8.5963473E-001, 2.8702351E-001, 1.1271489E-001, 6.4610340E+001, 6.5124263E+001
 8.6374783E-001, 2.8219082E-001, 1.0726677E-001, 6.4604089E+001, 6.5113375E+001
 8.6786093E-001, 2.9159590E-001, 2.1875019E-001, 6.4845836E+001, 6.5300738E+001
 8.7197402E-001, 2.8486257E-001, 2.1779790E-001, 6.4838613E+001, 6.5289686E+001
 8.7608712E-001, 2.8045015E-001, 2.1715757E-001, 6.4826079E+001, 6.5279029E+001
 8.8020022E-001, 2.8105443E-001, 2.1548344E-001, 6.4813771E+001, 6.5268740E+001
 8.8431331E-001, 2.8327591E-001, 2.1490693E-001, 6.4801526E+001, 6.5258316E+001
 8.8842641E-001, 2.8597210E-001, 2.1313121E-001, 6.4789394E+001, 6.5248130E+001
 8.9209962E-001, 2.9086341E-001, 2.1039494E-001, 6.4777471E+001, 6.5238035E+001
 8.9577283E-001, 2.9527796E-001, 2.0773716E-001, 6.4766862E+001, 6.5229224E+001
 8.9944604E-001, 3.0315712E-001, 2.0552914E-001, 6.4756431E+001, 6.5220261E+001
 9.0311925E-001, 3.1212475E-001, 2.3438118E-001, 6.5261665E+001, 6.5921578E+001
 9.0679246E-001, 3.2107466E-001, 2.3385733E-001, 6.5250286E+001, 6.5902557E+001
 9.1046567E-001, 3.3191369E-001, 2.3264593E-001, 6.5238780E+001, 6.5885584E+001
 9.1413888E-001, 3.4388532E-001, 2.3206409E-001, 6.5227371E+001, 6.5868990E+001
 9.1781209E-001, 3.5696178E-001, 2.3152632E-001, 6.5216044E+001, 6.5852508E+001
 9.2148530E-001, 3.7120970E-001, 2.3100804E-001, 6.5204771E+001, 6.5836140E+001
 9.2515851E-001, 3.8885474E-001, 2.3048124E-001, 6.5193559E+001, 6.5819924E+001
 9.2883172E-001, 4.0613823E-001, 2.2931311E-001, 6.5182398E+001, 6.5803768E+001
 9.3250493E-001, 4.2731870E-001, 2.2819940E-001, 6.5171280E+001, 6.5787455E+001
 9.3617814E-001, 4.4817307E-001, 2.3025379E-001, 6.5709585E+001, 6.6686714E+001
 9.3985134E-001, 4.7029046E-001, 2.2974548E-001, 6.5697547E+001, 6.6669518E+001
 9.4352455E-001, 4.9143026E-001, 2.2924456E-001, 6.5686659E+001, 6.6653788E+001
 9.4719776E-001, 5.1381535E-001, 2.2873810E-001, 6.5675806E+001, 6.6637858E+001
 9.5087097E-001, 5.3506877E-001, 2.2825310E-001, 6.5665001E+001, 6.6622291E+001
 9.5454418E-001, 5.5683799E-001, 2.2775695E-001, 6.5654236E+001, 6.6606803E+001
 9.5821739E-001, 5.7886868E-001, 2.2727745E-001, 6.5643507E+001, 6.6591501E+001
 9.6189060E-001, 6.0376502E-001, 2.2678724E-001, 6.5632814E+001, 6.6576163E+001
 9.6556381E-001, 6.2944068E-001, 2.2631533E-001, 6.5622164E+001, 6.6560612E+001
 9.6923702E-001, 6.5277163E-001, 2.2576054E-001, 6.5936871E+001, 6.7170439E+001
 9.7291023E-001, 6.7680962E-001, 2.2527214E-001, 6.5925766E+001, 6.7155538E+001
 9.7658344E-001, 7.0402997E-001, 2.2479109E-001, 6.5915291E+001, 6.7140518E+001
 9.8025665E-001, 7.3044991E-001, 2.2431764E-001, 6.5904843E+001, 6.7125258E+001
 9.8392986E-001, 7.6239535E-001, 2.2384759E-001, 6.5894429E+001, 6.7110361E+001
 9.8760307E-001, 8.0124907E-001, 2.2338730E-001, 6.5884047E+001, 6.7095523E+001
 9.9127628E-001, 8.4537914E-001, 2.2292932E-001, 6.5873694E+001, 6.7080739E+001
 9.9494949E-001, 8.9695522E-001, 2.2247880E-001, 6.5863369E+001, 6.7065706E+001
 9.9862270E-001, 9.5642079E-001, 2.2203644E-001, 6.5853070E+001, 6.7051201E+001
 1.0022959E+000, 1.0238735E+000, 2.2159720E-001, 6.5821437E+001, 6.7020531E+001
 1.0059691E+000, 1.0982546E+000, 2.2117317E-001, 6.5811273E+001, 6.7005927E+001
 1.0096423E+000, 1.1746520E+000, 2.2076005E-001, 6.5801054E+001, 6.6991383E+001
 1.0133155E+000, 1.2505483E+000, 2.2036441E-001, 6.5790860E+001, 6.6976578E+001
 1.0169887E+000, 1.3348474E+000, 2.1997418E-001, 6.5780689E+001, 6.6962110E+001
 1.0206620E+000, 1.4259703E+000, 2.1958712E-001, 6.5770549E+001, 6.6947678E+001
 1.0243352E+000, 1.5203896E+000, 2.1921431E-001, 6.5760422E+001, 6.6933278E+001
 1.0280084E+000, 1.6142718E+000, 2.1885886E-001, 6.5750317E+001, 6.6918603E+001
 1.0313036E+000, 1.6973491E+000, 2.1854797E-001, 6.5740257E+001, 6.6904243E+001
 1.0345988E+000, 1.7792574E+000, 2.1693982E-001, 6.5594238E+001, 6.6573050E+001
 1.0378939E+000, 1.8585167E+000, 2.1658764E-001, 6.5585442E+001, 6.6559720E+001
 1.0411891E+000, 1.9411916E+000, 2.1630709E-001, 6.5576497E+001, 6.6546852E+001
 1.0444843E+000, 2.0160494E+000, 2.1481530E-001, 6.5567561E+001, 6.6533995E+001
 1.0477795E+000, 2.0793990E+000, 2.1380444E-001, 6.5558630E+001, 6.6520852E+001
 1.0510747E+000, 2.1346907E+000, 2.1350439E-001, 6.5549782E+001, 6.6508007E+001
 1.0543699E+000, 2.1805704E+000, 2.1275576E-001, 6.5540986E+001, 6.6495165E+001
 1.0576651E+000, 2.2165318E+000, 2.1240963E-001, 6.5532187E+001, 6.6482022E+001
 1.0609603E+000, 2.2398027E+000, 2.1220974E-001, 6.5523439E+001, 6.6469164E+001
 1.0642554E+000, 2.2537945E+000, 2.0790409E-001, 6.5485765E+001, 6.6639001E+001
 1.0675506E+000, 2.2590542E+000, 2.0706672E-001, 6.5477110E+001, 6.6626109E+001
 1.0708458E+000, 2.2513021E+000, 2.0687016E-001, 6.5468573E+001, 6.6613245E+001
 1.0741410E+000, 2.2303706E+000, 2.0604942E-001, 6.5460075E+001, 6.6600393E+001
 1.0774362E+000, 2.2012366E+000, 2.0590039E-001, 6.5451579E+001, 6.6587256E+001
 1.0807314E+000, 2.1624836E+000, 2.0582514E-001, 6.5443126E+001, 6.6574428E+001
 1.0840266E+000, 2.1161652E+000, 2.0583426E-001, 6.5434682E+001, 6.6561612E+001
 1.0873218E+000, 2.0622105E+000, 2.0584123E-001, 6.5426255E+001, 6.6548514E+001
 1.0906170E+000, 1.9992974E+000, 2.0589999E-001, 6.5417836E+001, 6.6535712E+001
 1.0939121E+000, 1.9345550E+000, 2.0912085E-001, 6.5644495E+001, 6.6991379E+001
 1.0972073E+000, 1.8667372E+000, 2.0917702E-001, 6.5635873E+001, 6.6981556E+001
 1.1005025E+000, 1.7986642E+000, 2.0922395E-001, 6.5627361E+001, 6.6970954E+001
 1.1037977E+000, 1.7331499E+000, 2.0927414E-001, 6.5618863E+001, 6.6960000E+001
 1.1070929E+000, 1.6678610E+000, 2.0867616E-001, 6.5610374E+001, 6.6949292E+001
 1.1103881E+000, 1.6071222E+000, 2.0871301E-001, 6.5601892E+001, 6.6938515E+001
 1.1136833E+000, 1.5491479E+000, 2.0877851E-001, 6.5593435E+001, 6.6927356E+001
 1.1169785E+000, 1.4980519E+000, 2.0884636E-001, 6.5584979E+001, 6.6916421E+001
 1.1202736E+000, 1.4472801E+000, 2.0755164E-001, 6.5576529E+001, 6.6905096E+001
 1.1235688E+000, 1.4064786E+000, 2.1700466E-001, 6.6019308E+001, 6.7430175E+001
 1.1268640E+000, 1.3710312E+000, 2.1712963E-001, 6.6010689E+001, 6.7421378E+001
 1.1301592E+000, 1.3412091E+000, 2.1722887E-001, 6.6001766E+001, 6.7409890E+001
 1.1334544E+000, 1.3176066E+000, 2.1733040E-001, 6.5992857E+001, 6.7398282E+001
 1.1367496E+000, 1.2992871E+000, 2.1743419E-001, 6.5983943E+001, 6.7386259E+001
 1.1400448E+000, 1.2826134E+000, 2.1753620E-001, 6.5975040E+001, 6.7374466E+001
 1.1433400E+000, 1.2704396E+000, 2.1763672E-001, 6.5966113E+001, 6.7362264E+001
 1.1466352E+000, 1.2602474E+000, 2.1774059E-001, 6.5957217E+001, 6.7350301E+001
 1.1499303E+000, 1.2482230E+000, 2.1713694E-001, 6.5948301E+001, 6.7338257E+001
 1.1532255E+000, 1.2470434E+000, 2.1786438E-001, 6.6384055E+001, 6.7847369E+001
 1.1565207E+000, 1.2499499E+000, 2.1796008E-001, 6.6375604E+001, 6.7842984E+001
 1.1598159E+000, 1.2535235E+000, 2.1805392E-001, 6.6366615E+001, 6.7830670E+001
 1.1627584E+000, 1.2559999E+000, 2.1815210E-001, 6.6357639E+001, 6.7818048E+001
 1.1657008E+000, 1.2597002E+000, 2.1824772E-001, 6.6349616E+001, 6.7807088E+001
 1.1686433E+000, 1.2662712E+000, 2.1834136E-001, 6.6341596E+001, 6.7795860E+001
 1.1715858E+000, 1.2723540E+000, 2.1843251E-001, 6.6333582E+001, 6.7785002E+001
 1.1745282E+000, 1.2810733E+000, 2.1852540E-001, 6.6325573E+001, 6.7773864E+001
 1.1774707E+000, 1.2829312E+000, 2.1861888E-001, 6.6317572E+001, 6.7763095E+001
 1.1804132E+000, 1.2930735E+000, 2.1868121E-001, 6.6498505E+001, 6.8022367E+001
 1.1833556E+000, 1.3078733E+000, 2.1877286E-001, 6.6490839E+001, 6.8016550E+001
 1.1862981E+000, 1.3236912E+000, 2.1888690E-001, 6.6482800E+001, 6.8006319E+001
 1.1892406E+000, 1.3393858E+000, 2.1899969E-001, 6.6474757E+001, 6.7995729E+001
 1.1921830E+000, 1.3552170E+000, 2.1911483E-001, 6.6466724E+001, 6.7985526E+001
 1.1951255E+000, 1.3727703E+000, 2.1923302E-001, 6.6458680E+001, 6.7975023E+001
 1.1980680E+000, 1.3922192E+000, 2.1935174E-001, 6.6450657E+001, 6.7964895E+001
 1.2010104E+000, 1.4126934E+000, 2.1947158E-001, 6.6442651E+001, 6.7954457E+001
 1.2039529E+000, 1.4240400E+000, 2.1959460E-001, 6.6434631E+001, 6.7944383E+001
 1.2068954E+000, 1.4414166E+000, 2.1973948E-001, 6.6361057E+001, 6.7878606E+001
 1.2098378E+000, 1.4631430E+000, 2.1987552E-001, 6.6353006E+001, 6.7868699E+001
 1.2127803E+000, 1.4828730E+000, 2.2001661E-001, 6.6345019E+001, 6.7859484E+001
 1.2157228E+000, 1.5017658E+000, 2.2016023E-001, 6.6337034E+001, 6.7849955E+001
 1.2186652E+000, 1.5217773E+000, 2.2030180E-001, 6.6329049E+001, 6.7840777E+001
 1.2216077E+000, 1.5404929E+000, 2.2043731E-001, 6.6321061E+001, 6.7831277E+001
 1.2245502E+000, 1.5568718E+000, 2.2058197E-001, 6.6313067E+001, 6.7821793E+001
 1.2274926E+000, 1.5718328E+000, 2.2072140E-001, 6.6305069E+001, 6.7812668E+001
 1.2304351E+000, 1.5778257E+000, 2.2086324E-001, 6.6297073E+001, 6.7803211E+001
 1.2333776E+000, 1.5855326E+000, 2.1878566E-001, 6.5917342E+001, 6.7354685E+001
 1.2363200E+000, 1.5923535E+000, 2.1890846E-001, 6.5909525E+001, 6.7342560E+001
 1.2392625E+000, 1.5998288E+000, 2.1906511E-001, 6.5901634E+001, 6.7332514E+001
 1.2422050E+000, 1.6042119E+000, 2.1922106E-001, 6.5893725E+001, 6.7322793E+001
 1.2451474E+000, 1.6068656E+000, 2.1937392E-001, 6.5885817E+001, 6.7312732E+001
 1.2480899E+000, 1.6087540E+000, 2.1952384E-001, 6.5877885E+001, 6.7302985E+001
 1.2510324E+000, 1.6066631E+000, 2.1967273E-001, 6.5869952E+001, 6.7292895E+001
 1.2539748E+000, 1.6027514E+000, 2.1981106E-001, 6.5861995E+001, 6.7283124E+001
 1.2569173E+000, 1.5918874E+000, 2.1994806E-001, 6.5854042E+001, 6.7273013E+001
 1.2594759E+000, 1.5788218E+000, 1.8598214E-001, 6.5315947E+001, 6.6498270E+001
 1.2620345E+000, 1.5685784E+000, 1.8610737E-001, 6.5309832E+001, 6.6490367E+001
 1.2645931E+000, 1.5600348E+000, 1.8435074E-001, 6.5304183E+001, 6.6482244E+001
 1.2671517E+000, 1.5505326E+000, 1.8448974E-001, 6.5298530E+001, 6.6474423E+001
 1.2697104E+000, 1.5411481E+000, 1.8474406E-001, 6.5292939E+001, 6.6466302E+001
 1.2722690E+000, 1.5301235E+000, 1.8458992E-001, 6.5287347E+001, 6.6458182E+001
 1.2748276E+000, 1.5198057E+000, 1.8348384E-001, 6.5281730E+001, 6.6450364E+001
 1.2773862E+000, 1.5083961E+000, 1.8369495E-001, 6.5276134E+001, 6.6442245E+001
 1.2799448E+000, 1.4976267E+000, 1.8397514E-001, 6.5270566E+001, 6.6436010E+001
 1.2825034E+000, 1.4758969E+000, 1.3231743E-001, 6.4742188E+001, 6.5973079E+001
 1.2850620E+000, 1.4607625E+000, 1.3089862E-001, 6.4737684E+001, 6.5967815E+001
 1.2876206E+000, 1.4475255E+000, 1.3089586E-001, 6.4734079E+001, 6.5961922E+001
 1.2901793E+000, 1.4350685E+000, 1.3071351E-001, 6.4730486E+001, 6.5956282E+001
 1.2927379E+000, 1.4222331E+000, 1.3090284E-001, 6.4726904E+001, 6.5950322E+001
 1.2952965E+000, 1.4096617E+000, 1.2996582E-001, 6.4723321E+001, 6.5944325E+001
 1.2978551E+000, 1.3955187E+000, 1.2888823E-001, 6.4719743E+001, 6.5938570E+001
 1.3004137E+000, 1.3832592E+000, 1.2785627E-001, 6.4716215E+001, 6.5932504E+001
 1.3029723E+000, 1.3677672E+000, 1.2557578E-001, 6.4712740E+001, 6.5926404E+001
 1.3055309E+000, 1.3472378E+000, 6.7380936E-002, 6.4217230E+001, 6.5463670E+001
 1.3080895E+000, 1.3301845E+000, 6.5801387E-002, 6.4214998E+001, 6.5457535E+001
 1.3106482E+000, 1.3177108E+000, 6.4837289E-002, 6.4213859E+001, 6.5450571E+001
 1.3132068E+000, 1.3048930E+000, 6.3315320E-002, 6.4212756E+001, 6.5443593E+001
 1.3157654E+000, 1.2948148E+000, 6.3141492E-002, 6.4211678E+001, 6.5436863E+001
 1.3183240E+000, 1.2840985E+000, 6.3304527E-002, 6.4210681E+001, 6.5429853E+001
 1.3208826E+000, 1.2746330E+000, 6.2060655E-002, 6.4209685E+001, 6.5422827E+001
 1.3234412E+000, 1.2638556E+000, 6.2231556E-002, 6.4208715E+001, 6.5416052E+001
 1.3259998E+000, 1.2537985E+000, 6.1818686E-002, 6.4207788E+001, 6.5408996E+001
 1.3285584E+000, 1.2358897E+000, 1.3524167E-002, 6.3719094E+001, 6.5119608E+001
 1.3311171E+000, 1.2243655E+000, 1.3596651E-002, 6.3719358E+001, 6.5113267E+001
 1.3336757E+000, 1.2150884E+000, 1.3160824E-002, 6.3720352E+001, 6.5106149E+001
 1.3362343E+000, 1.2081630E+000, 1.3206602E-002, 6.3721333E+001, 6.5099271E+001
 1.3387929E+000, 1.2028216E+000, 1.3268514E-002, 6.3722347E+001, 6.5092121E+001
 1.3413515E+000, 1.1981548E+000, 1.2476566E-002, 6.3723385E+001, 6.5084956E+001
 1.3439101E+000, 1.1943468E+000, 1.1904495E-002, 6.3724428E+001, 6.5078032E+001
 1.3464687E+000, 1.1934125E+000, 1.1581472E-002, 6.3725511E+001, 6.5070883E+001
 1.3490273E+000, 1.1931700E+000, 1.1288662E-002, 6.3726632E+001, 6.5063673E+001
 1.3515860E+000, 1.1878659E+000, 8.2516089E-004, 6.3271804E+001, 6.4487218E+001
 1.3541446E+000, 1.1869521E+000, 8.7557313E-004, 6.3273978E+001, 6.4481073E+001
 1.3567032E+000, 1.1879090E+000, 9.2603027E-004, 6.3275561E+001, 6.4481498E+001
 1.3592618E+000, 1.1920488E+000, 9.7672791E-004, 6.3277131E+001, 6.4481910E+001
 1.3618204E+000, 1.1949709E+000, 1.0276201E-003, 6.3278699E+001, 6.4482320E+001
 1.3643790E+000, 1.2006291E+000, 1.0776024E-003, 6.3280255E+001, 6.4482730E+001
 1.3669376E+000, 1.2074404E+000, 1.1285506E-003, 6.3281830E+001, 6.4483142E+001
 1.3694962E+000, 1.2157021E+000, 1.1798190E-003, 6.3283399E+001, 6.4483554E+001
 1.3720549E+000, 1.2266681E+000, 1.2320509E-003, 6.3284967E+001, 6.4483968E+001
 1.3746135E+000, 1.2348498E+000, 9.7223163E-004, 6.2911739E+001, 6.3943935E+001
 1.3771721E+000, 1.2466357E+000, 1.0139387E-003, 6.2914134E+001, 6.3945434E+001
 1.3797307E+000, 1.2593952E+000, 1.0547176E-003, 6.2915733E+001, 6.3945833E+001
 1.3822893E+000, 1.2717028E+000, 1.0952325E-003, 6.2917346E+001, 6.3946234E+001
 1.3848479E+000, 1.2837334E+000, 1.1366036E-003, 6.2918948E+001, 6.3946636E+001
 1.3874065E+000, 1.2982855E+000, 1.1777621E-003, 6.2920552E+001, 6.3947039E+001
 1.3899651E+000, 1.3124752E+000, 1.2187474E-003, 6.2922158E+001, 6.3947443E+001
 1.3925238E+000, 1.3262698E+000, 1.2593993E-003, 6.2923746E+001, 6.3947848E+001
 1.3950824E+000, 1.3415628E+000, 1.2996040E-003, 6.2925345E+001, 6.3948254E+001
 1.3976410E+000, 1.3516913E+000, 1.1547778E-003, 6.2660096E+001, 6.3596651E+001
 1.4001996E+000, 1.3652896E+000, 1.1899544E-003, 6.2662244E+001, 6.3597194E+001
 1.4027582E+000, 1.3786015E+000, 1.2243708E-003, 6.2663823E+001, 6.3597571E+001
 1.4053168E+000, 1.3897774E+000, 1.2584504E-003, 6.2665373E+001, 6.3597949E+001
 1.4078754E+000, 1.4000284E+000, 1.2923103E-003, 6.2666908E+001, 6.3598118E+001
 1.4104340E+000, 1.4102578E+000, 1.3258383E-003, 6.2668450E+001, 6.3598498E+001
 1.4129927E+000, 1.4196482E+000, 1.3591115E-003, 6.2669959E+001, 6.3598878E+001
 1.4155513E+000, 1.4282861E+000, 1.3918920E-003, 6.2671450E+001, 6.3599261E+001
 1.4181099E+000, 1.4356344E+000, 1.4241548E-003, 6.2672903E+001, 6.3599644E+001
 1.4206685E+000, 1.4379148E+000, 1.3621162E-003, 6.2518011E+001, 6.3607167E+001
 1.4232271E+000, 1.4405771E+000, 1.3914706E-003, 6.2519742E+001, 6.3607567E+001
 1.4257857E+000, 1.4431616E+000, 1.4205649E-003, 6.2521135E+001, 6.3607954E+001
 1.4283443E+000, 1.4423214E+000, 1.4488864E-003, 6.2522480E+001, 6.3608343E+001
 1.4309029E+000, 1.4405342E+000, 1.4767863E-003, 6.2523817E+001, 6.3608734E+001
 1.4334616E+000, 1.4388213E+000, 1.5040326E-003, 6.2525115E+001, 6.3609125E+001
 1.4360202E+000, 1.4342157E+000, 1.5302792E-003, 6.2526367E+001, 6.3609519E+001
