cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 4.6500000E+001, 1.2472854E+003, 1.3712327E+002, 3.7293103E+001, 4.4862445E+002, 1.5473175E+002, 3.6368182E+002, 7.5271144E+001, 3.5913725E+002, 7.7764391E+001, 3.5967427E+002, 6.4816789E+001, 3.6633749E+002, 6.4800827E+001, 1.5504000E+002, 4.6770000E+000, 3.4118394E-001, 1.5214785E+000, 1.4983820E+000, 1.4009326E+000, 1.0350000E+002, 7.4728979E-001
 4.8500000E+001, 1.2465202E+003, 1.4054494E+002, 3.9327586E+001, 4.1736680E+002, 1.3822751E+002, 3.5344122E+002, 6.4447726E+001, 3.5005867E+002, 6.9333518E+001, 3.5163832E+002, 6.1376630E+001, 3.5617454E+002, 5.6412761E+001, 1.5952000E+002, 4.8760000E+000, 3.1995935E-001, 1.4407214E+000, 1.4269422E+000, 1.3359352E+000, 1.0800000E+002, 7.2887693E-001
 5.0500000E+001, 1.2453918E+003, 1.4411584E+002, 4.1362069E+001, 3.7847365E+002, 1.0213553E+002, 3.4697709E+002, 6.1537976E+001, 3.4238041E+002, 6.2733179E+001, 3.4369653E+002, 5.6822707E+001, 3.4746760E+002, 4.9964577E+001, 1.6400000E+002, 5.0750000E+000, 3.0034110E-001, 1.3652254E+000, 1.3599901E+000, 1.2746335E+000, 1.1250000E+002, 7.1822211E-001
 5.2500000E+001, 1.2437083E+003, 1.4775638E+002, 4.3396552E+001, 3.4213308E+002, 6.5204660E+001, 3.4133019E+002, 5.8232184E+001, 3.3583658E+002, 5.5391536E+001, 3.3632214E+002, 5.2282737E+001, 3.3961171E+002, 4.4162617E+001, 1.6848000E+002, 5.2740000E+000, 2.6534900E-001, 1.2285558E+000, 1.2380230E+000, 1.1622193E+000, 1.1700000E+002, 7.0652876E-001
 5.4500000E+001, 1.2413016E+003, 1.5151707E+002, 4.5431034E+001, 3.2072809E+002, 3.4970099E+001, 3.3338625E+002, 4.8136805E+001, 3.3046058E+002, 4.9772978E+001, 3.3161680E+002, 4.9165957E+001, 3.3296283E+002, 3.9592213E+001, 1.7296000E+002, 5.4730000E+000, 2.4972641E-001, 1.1667387E+000, 1.1823235E+000, 1.1107072E+000, 1.2150000E+002, 6.9405918E-001
 5.6500000E+001, 1.2378722E+003, 1.5551084E+002, 4.7465517E+001, 3.1000332E+002, 1.2227564E+001, 3.2375363E+002, 3.6067595E+001, 3.2564963E+002, 4.6583707E+001, 3.2721661E+002, 4.4462948E+001, 3.2796846E+002, 3.5801448E+001, 1.7744000E+002, 5.6720000E+000, 2.3520835E-001, 1.1088855E+000, 1.1297395E+000, 1.0620852E+000, 1.2600000E+002, 6.8121448E-001
 5.8500000E+001, 1.2333443E+003, 1.5964431E+002, 4.9500000E+001, 3.0651356E+002, 1.8505868E+000, 3.1774576E+002, 2.9191715E+001, 3.2137606E+002, 4.2524034E+001, 3.2382621E+002, 4.0622571E+001, 3.2334432E+002, 3.2173358E+001, 1.8192000E+002, 5.8710000E+000, 2.2095568E-001, 1.0532915E+000, 1.0780339E+000, 1.0137716E+000, 1.3050000E+002, 6.6833431E-001
 6.0500000E+001, 1.2278607E+003, 1.6392094E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.8640000E+002, 6.0700000E+000, 2.0841923E-001, 1.0026981E+000, 1.0310143E+000, 9.7059926E-001, 1.3500000E+002, 6.5554819E-001
 6.2500000E+001, 1.2215782E+003, 1.6846964E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.9088000E+002, 6.2690000E+000, 1.9672788E-001, 9.5535270E-001, 9.8636353E-001, 9.2984233E-001, 1.3950000E+002, 6.4280808E-001
 6.4500000E+001, 1.2147154E+003, 1.7334298E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.9536000E+002, 6.4680000E+000, 1.8581324E-001, 9.1105063E-001, 9.4388570E-001, 8.9136164E-001, 1.4400000E+002, 6.3004231E-001
