,z,T_CL,T_rms,w_CL,X_O2,X_N2,X_CH4,X_CO2,X_H2O,X_CO,X_H2,X_C2H2,X_C2H6,X_C2H4
17,4.8,1052.3,374.8199567792515,0.63608,0.059572,0.54792,0.2128,0.02875,0.089116,0.025278,0.031637,0.003923,0.00010246,0.00042623
18,5.1,1068.3,383.18402889473356,0.68308,0.060654,0.55803,0.19917,0.029491,0.090741,0.02538,0.031627,0.0039067,0.00010125,0.00042118
19,5.4,1084.2,391.3821661752104,0.73007,0.061736,0.56814,0.18553,0.030232,0.092366,0.025482,0.031618,0.0038904,0.00010004,0.00041613
20,5.7,1100.2,399.4120679198364,0.77707,0.062817,0.57825,0.17189,0.030973,0.093991,0.025585,0.031608,0.0038741,9.8831e-05,0.00041109
21,6.0,1116.1,407.2714082770849,0.82406,0.063899,0.58836,0.15826,0.031714,0.095617,0.025687,0.031599,0.0038578,9.7624e-05,0.00040604
22,6.3,1132.1,414.99397585989124,0.87106,0.06498,0.59847,0.14462,0.032455,0.097242,0.025789,0.031589,0.0038415,9.6416e-05,0.00040099
23,6.6000000000000005,1148.1,422.5636046798162,0.91805,0.066062,0.60858,0.13099,0.033196,0.098867,0.025892,0.03158,0.0038252,9.5208e-05,0.00039595
24,6.9,1164.0,430.0116277497621,0.96504,0.067144,0.61869,0.11735,0.033937,0.10049,0.025994,0.03157,0.0038089,9.4e-05,0.0003909
25,7.199999999999999,1180.0,437.3213921133975,1.012,0.068225,0.6288,0.10372,0.034678,0.10212,0.026096,0.031561,0.0037926,9.2792e-05,0.00038585
26,7.5,1195.9,444.52221541785735,1.059,0.069307,0.6389,0.09008,0.035419,0.10374,0.026199,0.031551,0.0037762,9.1584e-05,0.00038081
27,7.8,1210.8,451.3867521316947,1.1046,0.07038,0.6485,0.077215,0.036116,0.10524,0.026267,0.031505,0.0037559,9.0217e-05,0.00037531
28,8.1,1212.3,455.5107023989667,1.1326,0.071338,0.65173,0.073977,0.036268,0.10509,0.025914,0.030996,0.0036853,8.6859e-05,0.00036417
29,8.4,1213.7,459.597650124541,1.1605,0.072297,0.65495,0.070739,0.036421,0.10495,0.025561,0.030487,0.0036146,8.35e-05,0.00035303
30,8.7,1215.2,463.64857381426293,1.1885,0.073256,0.65818,0.067502,0.036573,0.1048,0.025208,0.029979,0.003544,8.0142e-05,0.00034189
31,9.0,1216.7,467.6644095930329,1.2165,0.074215,0.6614,0.064264,0.036725,0.10466,0.024856,0.02947,0.0034733,7.6784e-05,0.00033075
32,9.3,1218.2,471.64605373097316,1.2444,0.075174,0.66463,0.061027,0.036878,0.10451,0.024503,0.028961,0.0034027,7.3426e-05,0.00031962
33,9.6,1219.7,475.60487802376457,1.2724,0.076132,0.66786,0.057789,0.03703,0.10437,0.02415,0.028453,0.003332,7.0067e-05,0.00030848
34,9.9,1221.1,479.5205939268928,1.3004,0.077091,0.67108,0.054551,0.037182,0.10422,0.023797,0.027944,0.0032614,6.6709e-05,0.00029734
35,10.2,1222.6,483.4045924481893,1.3283,0.07805,0.67431,0.051314,0.037335,0.10408,0.023444,0.027435,0.0031907,6.3351e-05,0.0002862
36,10.5,1224.1,487.2576320592629,1.3563,0.079009,0.67753,0.048076,0.037487,0.10393,0.023091,0.026926,0.0031201,5.9993e-05,0.00027506
37,10.8,1225.6,491.0804414757322,1.3843,0.079967,0.68076,0.044838,0.037639,0.10379,0.022738,0.026418,0.0030494,5.6635e-05,0.00026392
38,11.1,1227.0,494.8737212663449,1.4122,0.080926,0.68398,0.041601,0.037792,0.10364,0.022385,0.025909,0.0029788,5.3276e-05,0.00025278
39,11.4,1228.5,498.6381453519175,1.4402,0.081885,0.68721,0.038363,0.037944,0.1035,0.022032,0.0254,0.0029081,4.9918e-05,0.00024165
40,11.700000000000001,1229.6,502.16531142642657,1.4677,0.08283,0.69026,0.03535,0.038078,0.10332,0.021683,0.024901,0.0028392,4.6751e-05,0.00023102
41,12.0,1227.2,504.05356858175304,1.4915,0.083665,0.6919,0.034137,0.038063,0.10288,0.021363,0.024479,0.0027839,4.5115e-05,0.00022451
42,12.3,1224.9,505.9446610055293,1.5154,0.0845,0.69355,0.032923,0.038049,0.10244,0.021042,0.024056,0.0027287,4.3478e-05,0.000218
43,12.6,1222.6,507.81886534472113,1.5392,0.085335,0.69519,0.031709,0.038035,0.10201,0.020722,0.023633,0.0026734,4.1841e-05,0.00021149
44,12.9,1220.2,509.6861779565932,1.563,0.08617,0.69684,0.030495,0.038021,0.10157,0.020402,0.023211,0.0026181,4.0205e-05,0.00020498
45,13.200000000000001,1217.9,511.5466743123251,1.5868,0.087005,0.69848,0.029282,0.038006,0.10113,0.020081,0.022788,0.0025629,3.8568e-05,0.00019847
46,13.5,1215.6,513.4004285155984,1.6106,0.087839,0.70013,0.028068,0.037992,0.1007,0.019761,0.022366,0.0025076,3.6931e-05,0.00019196
47,13.8,1213.3,515.2475133370369,1.6344,0.088674,0.70177,0.026854,0.037978,0.10026,0.019441,0.021943,0.0024523,3.5295e-05,0.00018545
48,14.099999999999998,1210.9,517.0880002475401,1.6583,0.089509,0.70342,0.025641,0.037963,0.099822,0.01912,0.02152,0.002397,3.3658e-05,0.00017894
49,14.399999999999999,1208.6,518.9219594505516,1.6821,0.090344,0.70506,0.024427,0.037949,0.099385,0.0188,0.021098,0.0023418,3.2022e-05,0.00017243
50,14.7,1206.3,520.749459913306,1.7059,0.091179,0.70671,0.023213,0.037935,0.098948,0.01848,0.020675,0.0022865,3.0385e-05,0.00016592
51,15.0,1203.9,522.570569397091,1.7297,0.092014,0.70835,0.021999,0.037921,0.098511,0.018159,0.020253,0.0022312,2.8748e-05,0.00015941
52,15.299999999999999,1201.6,524.3853544865646,1.7535,0.092849,0.71,0.020786,0.037906,0.098074,0.017839,0.01983,0.002176,2.7112e-05,0.0001529
53,15.6,1199.1,525.9942965470253,1.7762,0.093672,0.71156,0.019665,0.037882,0.097627,0.017526,0.01942,0.0021228,2.559e-05,0.00014678
54,15.9,1195.6,526.4598750142312,1.792,0.094429,0.71263,0.019079,0.037803,0.097123,0.017254,0.019086,0.0020818,2.4729e-05,0.00014287
55,16.2,1192.0,526.9345310377752,1.8078,0.095185,0.71371,0.018494,0.037724,0.096618,0.016982,0.018751,0.0020408,2.3868e-05,0.00013896
56,16.5,1188.5,527.3992794837702,1.8237,0.095941,0.71478,0.017908,0.037645,0.096114,0.01671,0.018416,0.0019997,2.3007e-05,0.00013505
57,16.8,1184.9,527.8636187501464,1.8395,0.096697,0.71585,0.017323,0.037565,0.095609,0.016437,0.018081,0.0019587,2.2146e-05,0.00013115
58,17.1,1181.4,528.3275499157696,1.8553,0.097454,0.71693,0.016737,0.037486,0.095105,0.016165,0.017746,0.0019177,2.1285e-05,0.00012724
59,17.4,1177.9,528.7910740547726,1.8712,0.09821,0.718,0.016151,0.037407,0.0946,0.015893,0.017411,0.0018767,2.0424e-05,0.00012333
60,17.7,1174.3,529.2541922365849,1.887,0.098966,0.71907,0.015566,0.037328,0.094096,0.015621,0.017076,0.0018356,1.9563e-05,0.00011942
61,18.0,1170.8,529.7169055259611,1.9028,0.099722,0.72015,0.01498,0.037248,0.093591,0.015349,0.016741,0.0017946,1.8702e-05,0.00011551
62,18.3,1167.2,530.1886456724625,1.9187,0.10048,0.72122,0.014395,0.037169,0.093087,0.015077,0.016407,0.0017536,1.7841e-05,0.0001116
63,18.6,1163.7,530.6505441436954,1.9345,0.10123,0.7223,0.013809,0.03709,0.092582,0.014805,0.016072,0.0017126,1.698e-05,0.00010769
64,18.9,1160.1,531.1120409103902,1.9503,0.10199,0.72337,0.013223,0.03701,0.092078,0.014533,0.015737,0.0016715,1.6119e-05,0.00010378
65,19.2,1156.6,531.5731370187925,1.9662,0.10275,0.72444,0.012638,0.036931,0.091573,0.014261,0.015402,0.0016305,1.5258e-05,9.9876e-05
66,19.5,1152.9,531.9304465811297,1.981,0.1035,0.72547,0.012099,0.036843,0.091061,0.013996,0.015078,0.0015911,1.447e-05,9.6233e-05
67,19.8,1148.7,531.8458423265148,1.9915,0.10424,0.72629,0.011764,0.036717,0.090513,0.013762,0.014804,0.0015589,1.4001e-05,9.376e-05
68,20.1,1144.4,531.7612246111971,2.0021,0.10497,0.72711,0.011429,0.036591,0.089966,0.013529,0.014529,0.0015266,1.3532e-05,9.1288e-05
69,20.4,1140.1,531.6765934287497,2.0126,0.10571,0.72793,0.011094,0.036465,0.089419,0.013295,0.014255,0.0014944,1.3063e-05,8.8815e-05
70,20.7,1135.8,531.5919487727406,2.0231,0.10644,0.72875,0.010759,0.036339,0.088871,0.013062,0.013981,0.0014621,1.2594e-05,8.6343e-05
71,21.0,1131.6,531.5166977621682,2.0336,0.10718,0.72957,0.010424,0.036213,0.088324,0.012828,0.013706,0.0014299,1.2125e-05,8.387e-05
72,21.3,1127.3,531.4320276385306,2.0441,0.10792,0.73039,0.01009,0.036087,0.087777,0.012595,0.013432,0.0013976,1.1656e-05,8.1398e-05
73,21.6,1123.0,531.3473440227211,2.0546,0.10865,0.73121,0.0097548,0.035961,0.087229,0.012362,0.013157,0.0013654,1.1187e-05,7.8925e-05
74,21.9,1118.8,531.2626469082877,2.0651,0.10939,0.73203,0.00942,0.035835,0.086682,0.012128,0.012883,0.0013331,1.0718e-05,7.6453e-05
75,22.2,1114.5,531.1779362887733,2.0756,0.11012,0.73286,0.0090852,0.035709,0.086135,0.011895,0.012608,0.0013009,1.025e-05,7.398e-05
76,22.5,1110.2,531.0932121577154,2.0861,0.11086,0.73368,0.0087504,0.035583,0.085587,0.011661,0.012334,0.0012686,9.7807e-06,7.1508e-05
77,22.8,1105.9,531.0084745086466,2.0967,0.1116,0.7345,0.0084155,0.035457,0.08504,0.011428,0.012059,0.0012364,9.3118e-06,6.9035e-05
78,23.1,1101.7,530.9237233350946,2.1072,0.11233,0.73532,0.0080807,0.035331,0.084493,0.011194,0.011785,0.0012041,8.843e-06,6.6562e-05
79,23.400000000000002,1097.5,530.7447597480356,2.1175,0.11303,0.73609,0.007776,0.035209,0.083968,0.010973,0.011526,0.0011738,8.4215e-06,6.4292e-05
80,23.7,1093.9,530.2640851500316,2.1269,0.11361,0.73667,0.0075767,0.035097,0.083521,0.010795,0.011322,0.0011506,8.1657e-06,6.2728e-05
81,24.0,1090.3,529.7735365229184,2.1364,0.11419,0.73726,0.0073774,0.034986,0.083075,0.010617,0.011117,0.0011273,7.91e-06,6.1165e-05
82,24.3,1086.7,529.2825332466583,2.1459,0.11477,0.73785,0.0071781,0.034874,0.082628,0.010439,0.010913,0.001104,7.6543e-06,5.9601e-05
83,24.6,1083.1,528.7910740547726,2.1554,0.11535,0.73844,0.0069788,0.034763,0.082182,0.010261,0.010708,0.0010807,7.3986e-06,5.8038e-05
84,24.9,1079.4,528.2991576748916,2.1649,0.11593,0.73902,0.0067794,0.034652,0.081736,0.010083,0.010504,0.0010574,7.1429e-06,5.6474e-05
85,25.2,1075.8,527.8067828287166,2.1744,0.11651,0.73961,0.0065801,0.03454,0.081289,0.0099049,0.010299,0.0010342,6.8871e-06,5.491e-05
86,25.5,1072.2,527.3139482319807,2.1839,0.11709,0.7402,0.0063808,0.034429,0.080843,0.0097268,0.010095,0.0010109,6.6314e-06,5.3347e-05
87,25.8,1068.6,526.8301434048739,2.1934,0.11767,0.74079,0.0061815,0.034317,0.080396,0.0095488,0.00989,0.00098761,6.3757e-06,5.1783e-05
88,26.1,1065.0,526.3363943335098,2.2029,0.11825,0.74138,0.0059822,0.034206,0.07995,0.0093707,0.0096855,0.00096433,6.12e-06,5.022e-05
89,26.400000000000002,1061.3,525.8421816476879,2.2124,0.11884,0.74196,0.0057829,0.034095,0.079503,0.0091926,0.009481,0.00094105,5.8643e-06,4.8656e-05
90,26.700000000000003,1057.7,525.3475040389932,2.2219,0.11942,0.74255,0.0055835,0.033983,0.079057,0.0090146,0.0092764,0.00091777,5.6085e-06,4.7093e-05
91,27.0,1054.1,524.8523601928451,2.2314,0.12,0.74314,0.0053842,0.033872,0.078611,0.0088365,0.0090719,0.00089449,5.3528e-06,4.5529e-05
92,27.3,1050.5,524.2995327100722,2.2403,0.12056,0.74369,0.0052044,0.033759,0.078175,0.0086688,0.0088804,0.00087287,5.128e-06,4.4114e-05
93,27.6,1047.1,523.574254523654,2.2474,0.12106,0.74414,0.0050805,0.033644,0.077772,0.0085303,0.008726,0.00085602,4.9916e-06,4.3125e-05
94,27.900000000000002,1043.7,522.8479702552168,2.2545,0.12157,0.74459,0.0049566,0.033529,0.077369,0.0083919,0.0085716,0.00083916,4.8551e-06,4.2136e-05
95,28.199999999999996,1040.2,522.1302519486876,2.2616,0.12207,0.74504,0.0048327,0.033413,0.076966,0.0082535,0.0084172,0.0008223,4.7187e-06,4.1147e-05
96,28.499999999999996,1036.8,521.4019562679066,2.2687,0.12258,0.74549,0.0047087,0.033298,0.076563,0.008115,0.0082629,0.00080544,4.5822e-06,4.0159e-05
97,28.799999999999997,1033.3,520.6726418777926,2.2758,0.12308,0.74594,0.0045848,0.033183,0.07616,0.0079766,0.0081085,0.00078858,4.4458e-06,3.917e-05
98,29.099999999999998,1029.9,519.9423044915657,2.2829,0.12359,0.74639,0.0044609,0.033067,0.075757,0.0078382,0.0079541,0.00077172,4.3093e-06,3.8181e-05
99,29.4,1026.5,519.2109397922967,2.29,0.12409,0.74684,0.004337,0.032952,0.075354,0.0076997,0.0077997,0.00075487,4.1729e-06,3.7192e-05
100,29.7,1023.0,518.4785434326092,2.2971,0.1246,0.74729,0.004213,0.032837,0.074951,0.0075613,0.0076453,0.00073801,4.0364e-06,3.6203e-05
101,30.0,1019.6,517.7547682059529,2.3042,0.1251,0.74774,0.0040891,0.032721,0.074548,0.0074229,0.0074909,0.00072115,3.8999e-06,3.5214e-05
102,30.3,1016.1,517.0203090788601,2.3113,0.12561,0.74819,0.0039652,0.032606,0.074145,0.0072844,0.0073366,0.00070429,3.7635e-06,3.4225e-05
103,30.599999999999998,1012.7,516.2848051221341,2.3184,0.12611,0.74864,0.0038413,0.032491,0.073742,0.007146,0.0071822,0.00068743,3.627e-06,3.3236e-05
104,30.9,1009.3,515.5482518639744,2.3255,0.12662,0.74909,0.0037173,0.032375,0.073339,0.0070076,0.0070278,0.00067058,3.4906e-06,3.2247e-05
105,31.2,1005.9,514.7523676487559,2.3322,0.1271,0.74951,0.003605,0.032261,0.072949,0.0068768,0.006883,0.00065492,3.3708e-06,3.1352e-05
106,31.5,1002.8,513.8287652516157,2.3376,0.12754,0.74987,0.00352,0.032151,0.072589,0.0067643,0.0067609,0.00064211,3.2907e-06,3.0683e-05
107,31.8,999.64,512.8937511804954,2.3431,0.12799,0.75023,0.0034351,0.03204,0.07223,0.0066517,0.0066389,0.0006293,3.2106e-06,3.0014e-05
108,32.1,996.51,511.9570294468082,2.3486,0.12843,0.75059,0.0033501,0.031929,0.07187,0.0065392,0.0065168,0.00061649,3.1305e-06,2.9344e-05
109,32.4,993.37,511.0185906598702,2.3541,0.12887,0.75096,0.0032652,0.031819,0.07151,0.0064266,0.0063948,0.00060368,3.0503e-06,2.8675e-05
110,32.7,990.23,510.07842534261334,2.3595,0.12931,0.75132,0.0031802,0.031708,0.07115,0.0063141,0.0062727,0.00059087,2.9702e-06,2.8006e-05
111,33.0,987.1,509.1463443844019,2.365,0.12975,0.75168,0.0030953,0.031597,0.07079,0.0062015,0.0061507,0.00057806,2.8901e-06,2.7336e-05
112,33.300000000000004,983.96,508.2027154590971,2.3705,0.13019,0.75204,0.0030103,0.031486,0.070431,0.006089,0.0060286,0.00056525,2.81e-06,2.6667e-05
113,33.6,980.82,507.2573311446568,2.376,0.13063,0.7524,0.0029253,0.031376,0.070071,0.0059764,0.0059065,0.00055244,2.7299e-06,2.5998e-05
114,33.900000000000006,977.68,506.31018160807315,2.3814,0.13108,0.75276,0.0028404,0.031265,0.069711,0.0058638,0.0057845,0.00053963,2.6497e-06,2.5329e-05
115,34.2,974.55,505.3612569241928,2.3869,0.13152,0.75313,0.0027554,0.031154,0.069351,0.0057513,0.0056624,0.00052682,2.5696e-06,2.4659e-05
116,34.5,971.41,504.42045953747754,2.3924,0.13196,0.75349,0.0026705,0.031043,0.068992,0.0056387,0.0055404,0.00051401,2.4895e-06,2.399e-05
117,34.8,968.27,503.4679731621466,2.3979,0.1324,0.75385,0.0025855,0.030933,0.068632,0.0055262,0.0054183,0.0005012,2.4094e-06,2.3321e-05
118,35.099999999999994,965.14,502.43407527754323,2.4029,0.13283,0.75419,0.0025095,0.03082,0.068277,0.0054211,0.0053054,0.00048949,2.3388e-06,2.2718e-05
119,35.4,962.03,501.22849081032894,2.4072,0.13325,0.75449,0.0024514,0.030702,0.067932,0.005331,0.0052108,0.00047997,2.2873e-06,2.2248e-05
120,35.699999999999996,958.92,500.019999600016,2.4115,0.13366,0.75479,0.0023933,0.030585,0.067586,0.0052409,0.0051162,0.00047045,2.2358e-06,2.1779e-05
121,36.0,955.82,498.79855653359704,2.4158,0.13407,0.75509,0.0023352,0.030467,0.067241,0.0051508,0.0050216,0.00046094,2.1843e-06,2.1309e-05
122,36.3,952.71,497.5841637351414,2.42,0.13449,0.7554,0.0022771,0.03035,0.066896,0.0050607,0.0049269,0.00045142,2.1328e-06,2.084e-05
123,36.6,949.6,496.36679985671884,2.4243,0.1349,0.7557,0.002219,0.030232,0.066551,0.0049706,0.0048323,0.0004419,2.0814e-06,2.037e-05
124,36.9,946.49,495.1464429842953,2.4286,0.13531,0.756,0.0021609,0.030115,0.066205,0.0048805,0.0047377,0.00043239,2.0299e-06,1.9901e-05
125,37.2,943.38,493.92307093311604,2.4329,0.13573,0.7563,0.0021028,0.029997,0.06586,0.0047904,0.0046431,0.00042287,1.9784e-06,1.9431e-05
126,37.5,940.27,492.6966612430005,2.4371,0.13614,0.7566,0.0020447,0.02988,0.065515,0.0047003,0.0045485,0.00041336,1.9269e-06,1.8962e-05
127,37.8,937.16,491.4671911735309,2.4414,0.13656,0.7569,0.0019866,0.029762,0.06517,0.0046102,0.0044538,0.00040384,1.8754e-06,1.8492e-05
128,38.1,934.05,490.2346376991328,2.4457,0.13697,0.7572,0.0019285,0.029645,0.064825,0.0045201,0.0043592,0.00039432,1.8239e-06,1.8023e-05
129,38.4,930.94,488.99897750404347,2.45,0.13738,0.75751,0.0018704,0.029527,0.064479,0.00443,0.0042646,0.00038481,1.7725e-06,1.7553e-05
130,38.7,927.83,487.7601869771661,2.4542,0.1378,0.75781,0.0018122,0.02941,0.064134,0.0043399,0.00417,0.00037529,1.721e-06,1.7084e-05
131,39.0,924.76,486.4565756570673,2.4582,0.1382,0.75809,0.001761,0.029291,0.063796,0.004258,0.0040843,0.00036669,1.6756e-06,1.6664e-05
132,39.300000000000004,921.75,485.05669771687514,2.4618,0.13858,0.75834,0.0017213,0.029169,0.06347,0.0041898,0.0040137,0.00035965,1.6405e-06,1.633e-05
133,39.6,918.74,483.6527680061389,2.4653,0.13897,0.75859,0.0016817,0.029048,0.063144,0.0041217,0.0039432,0.00035262,1.6054e-06,1.5995e-05
134,39.900000000000006,915.73,482.24475113784285,2.4689,0.13935,0.75884,0.0016421,0.028927,0.062818,0.0040536,0.0038726,0.00034558,1.5704e-06,1.566e-05
135,40.2,912.72,480.83261120685233,2.4724,0.13973,0.75909,0.0016024,0.028806,0.062492,0.0039855,0.0038021,0.00033854,1.5353e-06,1.5325e-05
136,40.5,909.72,479.4163117792301,2.476,0.14012,0.75934,0.0015628,0.028684,0.062166,0.0039174,0.0037315,0.0003315,1.5003e-06,1.4991e-05
137,40.8,906.71,477.995815881269,2.4795,0.1405,0.75959,0.0015232,0.028563,0.06184,0.0038493,0.003661,0.00032447,1.4652e-06,1.4656e-05
138,41.099999999999994,903.7,476.571085988229,2.4831,0.14088,0.75984,0.0014835,0.028442,0.061514,0.0037812,0.0035904,0.00031743,1.4302e-06,1.4321e-05
139,41.4,900.69,475.14208401277193,2.4866,0.14127,0.76009,0.0014439,0.028321,0.061187,0.0037131,0.0035199,0.00031039,1.3951e-06,1.3986e-05
140,41.699999999999996,897.68,473.7087712930805,2.4902,0.14165,0.76034,0.0014043,0.028199,0.060861,0.0036449,0.0034493,0.00030335,1.36e-06,1.3652e-05
141,42.0,894.68,472.27110858065413,2.4937,0.14204,0.76059,0.0013646,0.028078,0.060535,0.0035768,0.0033788,0.00029631,1.325e-06,1.3317e-05
142,42.3,891.67,470.82905602776896,2.4973,0.14242,0.76084,0.001325,0.027957,0.060209,0.0035087,0.0033082,0.00028928,1.2899e-06,1.2982e-05
143,42.6,888.66,469.38257317459073,2.5008,0.1428,0.76109,0.0012854,0.027835,0.059883,0.0034406,0.0032377,0.00028224,1.2549e-06,1.2647e-05
144,42.9,885.73,467.88887569592845,2.5043,0.14318,0.76133,0.0012496,0.027716,0.059566,0.0033761,0.0031714,0.00027572,1.2232e-06,1.2342e-05
145,43.2,882.92,466.3367881692372,2.5075,0.14353,0.76155,0.0012194,0.027599,0.05926,0.0033169,0.0031114,0.00026994,1.1964e-06,1.208e-05
146,43.5,880.1,464.77951762098985,2.5108,0.14389,0.76177,0.0011892,0.027482,0.058955,0.0032577,0.0030514,0.00026416,1.1697e-06,1.1818e-05
147,43.8,877.29,463.20621757485077,2.5141,0.14425,0.76199,0.001159,0.027366,0.05865,0.0031985,0.0029913,0.00025839,1.1429e-06,1.1556e-05
148,44.1,874.47,461.6383866187906,2.5174,0.1446,0.76221,0.0011288,0.027249,0.058344,0.0031392,0.0029313,0.00025261,1.1162e-06,1.1293e-05
149,44.4,871.66,460.05434461593774,2.5207,0.14496,0.76243,0.0010986,0.027132,0.058039,0.00308,0.0028713,0.00024684,1.0894e-06,1.1031e-05
150,44.7,868.84,458.475735453906,2.524,0.14531,0.76265,0.0010684,0.027015,0.057734,0.0030208,0.0028113,0.00024106,1.0627e-06,1.0769e-05
151,45.0,866.03,456.88072841826016,2.5272,0.14567,0.76287,0.0010382,0.026899,0.057428,0.0029616,0.0027512,0.00023528,1.0359e-06,1.0507e-05
152,45.300000000000004,863.21,455.2911156611778,2.5305,0.14603,0.76309,0.001008,0.026782,0.057123,0.0029024,0.0026912,0.00022951,1.0092e-06,1.0245e-05
153,45.6,860.4,453.6849126872085,2.5338,0.14638,0.76331,0.00097776,0.026665,0.056818,0.0028432,0.0026312,0.00022373,9.8244e-07,9.9825e-06
154,45.9,857.58,452.0840629794419,2.5371,0.14674,0.76354,0.00094756,0.026548,0.056513,0.0027839,0.0025712,0.00021796,9.5569e-07,9.7203e-06
155,46.2,854.77,450.47752441159594,2.5404,0.1471,0.76376,0.00091735,0.026432,0.056207,0.0027247,0.0025111,0.00021218,9.2894e-07,9.4581e-06
156,46.5,851.95,448.85409656145504,2.5436,0.14745,0.76398,0.00088715,0.026315,0.055902,0.0026655,0.0024511,0.0002064,9.0218e-07,9.1959e-06
157,46.800000000000004,849.13,447.21359549995793,2.5468,0.14781,0.76419,0.00086058,0.026196,0.055597,0.0026104,0.0023962,0.00020125,8.781e-07,8.9608e-06
158,47.099999999999994,846.29,445.5558326405345,2.5498,0.14816,0.76439,0.00083855,0.026074,0.055293,0.0025606,0.0023477,0.00019688,8.5734e-07,8.7597e-06
159,47.4,843.45,443.8806145800918,2.5528,0.14851,0.76459,0.00081652,0.025952,0.054988,0.0025107,0.0022992,0.00019251,8.3658e-07,8.5585e-06
160,47.699999999999996,840.61,442.1990502025078,2.5557,0.14886,0.76479,0.00079449,0.02583,0.054684,0.0024609,0.0022507,0.00018814,8.1583e-07,8.3573e-06
161,48.0,837.77,440.5224171367446,2.5587,0.14921,0.76499,0.00077246,0.025707,0.054379,0.002411,0.0022022,0.00018377,7.9507e-07,8.1561e-06
162,48.3,834.92,438.8279845224094,2.5617,0.14956,0.76519,0.00075043,0.025585,0.054075,0.0023612,0.0021537,0.0001794,7.7431e-07,7.9549e-06
163,48.6,832.08,437.12698383879257,2.5647,0.14991,0.76539,0.0007284,0.025463,0.05377,0.0023113,0.0021052,0.00017503,7.5355e-07,7.7537e-06
164,48.9,829.24,435.41933810982715,2.5677,0.15026,0.76559,0.00070637,0.025341,0.053466,0.0022615,0.0020567,0.00017066,7.328e-07,7.5525e-06
165,49.2,826.4,433.71649726520667,2.5707,0.15061,0.76579,0.00068434,0.025219,0.053162,0.0022116,0.0020082,0.00016629,7.1204e-07,7.3513e-06
166,49.5,823.56,431.99537034556283,2.5737,0.15097,0.76599,0.00066231,0.025097,0.052857,0.0021617,0.0019597,0.00016192,6.9128e-07,7.1501e-06
167,49.8,820.72,430.2673587433748,2.5767,0.15132,0.76619,0.00064028,0.024975,0.052553,0.0021119,0.0019112,0.00015755,6.7053e-07,6.9489e-06
168,50.1,817.88,428.54404674432243,2.5796,0.15167,0.76639,0.00061825,0.024853,0.052248,0.002062,0.0018627,0.00015318,6.4977e-07,6.7477e-06
