r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/s),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
0.0,894.524,412.98910397,2.5432,0.0260054,1.31653333,0.56650847,543.71391889,233.96182666,0.10564611
0.703157,880.614,412.90676914,2.50683,0.01650451,1.30259357,0.56945401,537.84970112,235.13141656,0.2015839
1.40614,846.937,412.82684021,2.42282,0.01839288,1.2722657,0.57630103,525.22542699,237.91253424,0.30029988
1.95469,815.134,411.07663519,2.34082,0.02423383,1.2420789,0.58168574,510.58961588,239.1174167,0.3431803
2.10876,806.342,410.54232425,2.31796,0.02601693,1.23342207,0.58314969,506.37196294,239.40762878,0.35436955
2.23561,797.663,409.8182524,2.2939,0.02623878,1.22525916,0.5841988,502.13356616,239.415332,0.35946651
2.81086,758.812,406.27453772,2.18501,0.02691894,1.1876742,0.5887189,482.52178565,239.18149783,0.38242934
3.51225,705.646,400.10248687,2.02548,0.02066106,1.12445987,0.59251407,449.89919051,237.06635185,0.39597092
4.21277,657.495,391.17770898,1.86713,0.01178505,1.03441288,0.59715246,404.63925934,233.59273105,0.39707735
4.91222,621.003,383.07310007,1.72615,0.00458707,0.94445699,0.6032374,361.79606584,231.08402066,0.38591331
5.61044,594.895,374.98266627,1.60641,0.00327682,0.86868867,0.60458014,325.74319247,226.70707111,0.35454726
6.30725,575.603,366.03141942,1.50275,0.01117539,0.80181731,0.59953699,293.49032841,219.44937472,0.32246147
7.00248,562.383,359.77353988,1.4119,0.01549291,0.75606217,0.59403821,272.01116211,213.71923117,0.31264624
7.69596,551.718,354.83094566,1.32606,0.01701577,0.72543987,0.58865902,257.40851387,208.87443619,0.31104236
8.3875,540.096,348.54124577,1.23896,0.01915374,0.69864297,0.58262446,243.50589123,203.06865469,0.30618844
9.07375,527.977,340.63616954,1.15392,0.02206486,0.67454726,0.57521319,229.77519331,195.93841891,0.3004432
9.76,516.886,332.7341281,1.07461,0.02516358,0.65459835,0.56571695,217.80721129,188.23333625,0.29149552
10.4462,506.44,324.50577807,0.999163,0.0305241,0.63580736,0.55740407,206.32316231,180.88084282,0.27783425
11.1325,495.39,314.92062492,0.924055,0.03708774,0.61986853,0.55013659,195.20938624,173.24935921,0.26649171
11.8188,484.071,304.4429339,0.84889,0.04297341,0.60335645,0.54003919,183.68760637,164.41111409,0.25719821
12.505,472.887,293.51882393,0.775592,0.04851584,0.58004569,0.5274882,170.25432812,154.82771578,0.2495904
13.1912,461.663,282.76562733,0.705176,0.05464305,0.55226443,0.51535642,156.16139784,145.7250815,0.24215361
13.6291,454.402,275.79593906,0.660134,0.05861093,0.53369935,0.50709827,147.19211439,139.85564481,0.23299813
13.8775,450.214,271.89869437,0.63445,0.06092555,0.52273798,0.50216545,142.13177537,136.53812935,0.22742139
14.5638,438.604,261.35301797,0.563181,0.06753448,0.49167266,0.48524864,128.50013232,126.82119582,0.20968827
15.25,427.444,252.37412704,0.499422,0.07473917,0.46265862,0.46824896,116.76306571,118.17392237,0.19566765
15.75,416.982,243.34276237,0.450972,0.0810261,0.44045885,0.455934,107.18247367,110.94823786,0.18480141
15.9881,411.417,237.42493551,0.430021,0.08404997,0.43048693,0.44961346,102.20833245,106.74944584,0.18026922
16.25,405.205,230.57124712,0.407081,0.08734033,0.41935784,0.44299081,96.69186072,102.14094411,0.1752887
16.9317,391.658,213.55748641,0.361369,0.09477632,0.3931412,0.42250815,83.95824562,90.2297793,0.16384258
17.6223,378.536,196.19607539,0.317938,0.1018592,0.36236584,0.39734855,71.09475512,77.95822701,0.14990644
18.3221,366.408,179.53244832,0.277496,0.10799793,0.33137894,0.37196766,59.49327191,66.78026468,0.13105647
19.0312,354.971,161.9830238,0.240063,0.11309374,0.30455328,0.34881683,49.33246111,56.50240467,0.10707558
19.1307,353.484,159.62549922,0.235207,0.11365645,0.3014145,0.34592577,48.11343982,55.21857411,0.10417519
19.7496,344.186,144.01492978,0.20507,0.1171987,0.28150275,0.32759337,40.54059922,47.17833572,0.08437126
20.4775,334.651,127.60564251,0.173347,0.12067632,0.25902066,0.30479747,33.05249717,38.89387705,0.06409075
