r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/s),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
-11.8188,493.561,327.52557152,0.632924,0.08314403,0.49330721,0.45839719,161.57072475,150.13680028,0.25048992
-11.1325,511.569,343.93604057,0.707867,0.07878328,0.52603137,0.46822082,180.92114588,161.03801484,0.26592087
-10.4462,528.147,358.52196585,0.781527,0.07528244,0.55539986,0.47373514,199.12304819,169.8444548,0.2776516
-9.76,543.262,370.59276841,0.851216,0.07299179,0.57894559,0.4725097,214.55305018,175.10867916,0.28171761
-9.07375,558.788,381.67656465,0.920301,0.07179452,0.6043269,0.47015821,230.65741446,179.44836945,0.28389015
-8.3875,574.686,392.77729059,0.98992,0.07009195,0.63710439,0.47246447,250.24013497,185.57331633,0.28797634
-7.69596,591.515,404.63563857,1.0607,0.06635011,0.68327886,0.47516374,276.47897768,192.26818344,0.29970005
-7.00248,610.661,417.99760765,1.13414,0.06113353,0.73880647,0.47544806,308.81933694,198.73615263,0.31738758
-6.30725,632.232,429.76505209,1.21023,0.05588346,0.79430158,0.47234246,341.36305991,202.99628215,0.3262147
-5.61044,663.877,442.42174449,1.30404,0.04992816,0.85883235,0.46293346,379.96610512,204.81182686,0.32839167
-4.91222,715.378,459.38654747,1.43643,0.03935526,0.93977817,0.44882934,431.72144675,206.18616273,0.33453979
-4.21277,789.33,469.54233036,1.61071,0.02321354,1.01227467,0.43687726,475.30580577,205.13236443,0.33967292
-3.51225,879.517,461.53331407,1.8027,0.00801633,1.05640428,0.42891163,487.56576774,197.95700467,0.3226775
-2.81086,969.057,439.3620375,1.96959,0.00654743,1.07796104,0.41847956,473.61515812,183.86403416,0.28036346
-2.24905,1026.93,418.06100033,2.06342,0.0095063,1.08124928,0.40714648,452.02815454,170.21206667,0.23342376
-2.10876,1041.4,412.63664403,2.08701,0.0102374,1.08222918,0.40424347,446.56741728,166.80566728,0.21998545
-1.93775,1055.24,406.24376918,2.10841,0.01037163,1.08040733,0.40230774,438.90874623,163.43501385,0.20519647
-1.40614,1098.35,386.46603991,2.17617,0.01172255,1.07674045,0.39526308,416.12361832,152.75575607,0.14701894
-0.703157,1144.14,365.95628154,2.25142,0.01212144,1.06287817,0.39592997,388.96694209,144.89305997,0.06526255
-0.150987,1155.52,362.2292092,2.27039,0.01131427,1.05249703,0.39941527,381.24516718,144.67987653,0.07952591
0.0,1158.68,361.18970085,2.27565,-0.01128388,1.04963803,0.40036481,379.11844708,144.60764456,0.09652337
0.703157,1127.35,373.15412365,2.21989,-0.01139745,1.06106079,0.4030456,395.93920922,150.39812873,0.13617078
1.40614,1066.04,395.39853313,2.11515,-0.00735813,1.09064201,0.40378207,431.23825201,159.65483816,0.16677461
1.96637,1017.93,417.59789271,2.03601,-0.00505369,1.10557225,0.40796394,461.68464185,170.3648825,0.2012004
2.10876,1005.68,423.00945616,2.01577,-0.00645015,1.10922946,0.40903649,469.2145516,173.02630311,0.20916835
2.23395,994.9,427.58624861,1.99756,-0.00691686,1.10903562,0.41118092,474.20837909,175.81530866,0.21800596
2.81086,945.58,447.12414383,1.91251,-0.00966427,1.10547727,0.42156909,494.28557899,188.49371968,0.25580344
3.51225,867.449,463.41018547,1.76975,-0.00644014,1.07743677,0.43582357,499.29517485,201.96507919,0.29866135
4.21277,780.941,465.75959464,1.59913,-0.01386454,1.02041658,0.44730486,475.26881341,208.33653143,0.3245483
4.91222,706.687,453.73891171,1.43197,-0.02820166,0.94222396,0.45480607,427.52367641,206.36321059,0.33333527
5.61044,655.487,436.04013577,1.29535,-0.04284985,0.86197274,0.4624956,375.85470944,201.66664421,0.33149715
6.30725,622.126,418.43159537,1.19056,-0.05608757,0.79001456,0.47109999,330.56705138,197.12312014,0.32372505
7.00248,599.741,404.04207702,1.10551,-0.06614435,0.72425824,0.47799658,292.63080409,193.1307312,0.31141792
7.69596,583.983,393.57337308,1.03472,-0.07188122,0.67272431,0.47830121,264.76637664,188.2466216,0.29665714
8.3875,567.572,383.75773608,0.969398,-0.0734571,0.63584275,0.47340784,244.00957342,181.67391971,0.28540466
9.07375,548.89,371.30176407,0.905736,-0.07276807,0.60388741,0.46826426,224.22445942,173.8673469,0.2787169
9.76,530.423,357.71497033,0.841301,-0.07130251,0.57735258,0.4631351,206.52766052,165.67035823,0.27518143
10.4462,512.163,344.40092915,0.771682,-0.07046064,0.55422017,0.45802856,190.87394249,157.74546097,0.27013896
11.1325,494.467,330.860998,0.699728,-0.07137799,0.52903214,0.45174958,175.03610021,149.46631578,0.26068314
11.8188,477.842,316.5927984,0.627621,-0.07464279,0.49796988,0.44508237,157.65367739,140.90987443,0.24811636
12.505,462.475,302.43379441,0.555158,-0.07948905,0.46321054,0.43991749,140.0905198,133.04591641,0.23190123
13.1912,447.61,287.56651405,0.483257,-0.08522829,0.42826043,0.43548431,123.15336033,125.23070354,0.21402694
13.6742,436.574,275.7393697,0.433777,-0.08958,0.40477401,0.43062397,111.61213067,118.73998093,0.20140397
13.8775,431.923,270.52929601,0.412975,-0.09139776,0.39435644,0.42846178,106.68496948,115.91146468,0.19557692
14.5638,415.543,252.57949244,0.347446,-0.09813281,0.35877291,0.41539964,90.61867917,104.92142995,0.17254553
15.25,399.614,235.38819002,0.290386,-0.10499839,0.32196584,0.39811172,75.78695555,93.71079672,0.14740176
15.75,386.027,219.77602235,0.246905,-0.11105328,0.29132456,0.3830204,64.02615329,84.17869907,0.12793229
15.9676,379.91,211.87708701,0.229599,-0.11411089,0.27974238,0.37581103,59.2710009,79.62574623,0.12061725
16.25,371.941,201.09525106,0.20715,-0.11818245,0.26415034,0.36606808,53.11937813,73.61455267,0.11030818
16.9317,355.917,177.40884984,0.165428,-0.12660606,0.23890103,0.33882435,42.38315616,60.11043819,0.08612288
17.6223,340.891,152.97123913,0.130733,-0.13355999,0.21888673,0.30257915,33.48337412,46.285907,0.04566184
18.3221,328.057,128.80760847,0.105697,-0.13832173,0.2018975,0.26635252,26.00593397,34.30823089,0.03938519
19.0312,317.618,106.50258213,0.0873695,-0.14089719,0.18408259,0.23507184,19.60527118,25.03575795,0.0555127
19.3568,313.938,98.07400267,0.0809197,-0.1412104,0.17544885,0.22326522,17.20697127,21.89651412,0.05799929
19.7496,309.543,86.81946786,0.0733393,-0.14150329,0.16458098,0.20850388,14.28883337,18.10219633,0.0606378
20.4775,303.209,65.98151256,0.0629556,-0.14067881,0.14698129,0.18612475,9.69804792,12.28079279,0.05866265
