z(cm),T_mean(K),T_rms(K),uz_mean(m/s),uz_rms(m/s),uz'T'(K-m/s),uz'ur'(m/s)^2
132.667,370.412,54.92786178,2.23365,0.68420757,37.58205888,0.47856728
134.333,369.221,53.63496994,2.22286,0.68351518,36.66031608,0.47958929
136.0,368.08,52.41049513,2.21176,0.68334837,35.81462662,0.4808062
137.667,366.932,51.23280199,2.20033,0.6832913,35.00692785,0.48168005
139.333,365.766,50.03748595,2.18729,0.68242729,34.14694571,0.48142284
141.0,364.568,48.76976522,2.17356,0.68076207,33.20060647,0.48007334
142.667,363.317,47.4315296,2.15791,0.67753893,32.13670775,0.47629661
144.333,362.012,46.0624576,2.14242,0.67589422,31.13334896,0.47441167
146.0,360.698,44.752877,2.12429,0.67237192,30.09057788,0.46683948
147.667,359.441,43.59162764,2.10618,0.6803139,29.65599012,0.48309532
149.333,358.099,42.06708927,2.08278,0.67540136,28.4121694,0.46155589
151.0,357.36,41.06494856,2.06558,0.65789437,27.0163984,0.41377674
