r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/s),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
4.21277,754.676,451.36681314,1.53999,0.01637011,0.99654553,0.44884755,449.80758152,202.59488665,0.35960683
4.91222,694.497,443.6248415,1.39817,0.02798791,0.94993105,0.459992,421.41301155,204.06387806,0.36474398
5.61044,648.897,429.42519721,1.27567,0.03952216,0.88651396,0.46871461,380.69143179,201.27786492,0.36350169
6.30725,616.54,415.58031715,1.17495,0.04855273,0.81436233,0.47766597,338.43295422,198.50857578,0.35752685
7.00248,595.204,405.67597908,1.09422,0.0567945,0.74753395,0.48327965,303.25656532,196.05494514,0.34739472
7.69596,578.437,395.21639642,1.02562,0.06513941,0.68689737,0.48573136,271.47310417,191.96899606,0.33436733
8.3875,560.316,382.16096085,0.956342,0.071164,0.63331825,0.48473365,242.0295092,185.24627608,0.31539033
9.07375,540.364,367.10625165,0.884272,0.07246492,0.58779588,0.47801947,215.78354332,175.48393673,0.2988468
9.76,520.045,349.61264279,0.812783,0.07152279,0.549366,0.46998328,192.0652985,164.31209604,0.28903102
10.4462,500.447,330.47087618,0.742652,0.07221056,0.51381028,0.46138838,169.79933219,152.47542105,0.27843046
11.1325,483.308,314.02117763,0.67324,0.07392956,0.48372823,0.45262817,151.90090828,142.13483157,0.26740742
11.8188,469.277,301.73001177,0.605515,0.07545889,0.46065822,0.44626856,138.99441156,134.65261933,0.25647074
12.505,456.984,290.51660882,0.540458,0.07776856,0.43647566,0.44165763,126.80342799,128.30887622,0.24362994
13.1912,446.188,280.68291719,0.477241,0.08179871,0.4084544,0.43684702,114.6461736,122.61549694,0.22907315
13.6742,438.315,273.38105275,0.43283,0.08666184,0.3874429,0.43171299,105.91954761,118.02215241,0.21712361
13.8775,435.002,270.29761375,0.413913,0.08890751,0.378041,0.42945973,102.18358103,116.08194032,0.21147239
14.5638,421.383,256.7675992,0.350951,0.09943374,0.34373391,0.41641388,88.2597305,106.92159241,0.18708848
15.25,406.538,242.10534897,0.293283,0.11028403,0.30908704,0.39697229,74.83162635,96.1091151,0.15526442
15.75,392.809,228.30505908,0.249243,0.11834928,0.28269542,0.37620393,64.54079437,85.88926139,0.12487546
15.9676,386.308,220.63816533,0.23245,0.12163919,0.27276455,0.36570403,60.18226999,80.68826697,0.11329612
16.25,377.761,210.0309501,0.210871,0.12587802,0.25950915,0.3517241,54.50495377,73.87294614,0.09672301
16.9317,360.83,186.97112076,0.172904,0.13347054,0.23277844,0.32027955,43.52284496,59.88302638,0.05933274
17.6223,346.34,166.28319218,0.140431,0.13932201,0.20485629,0.28599045,34.06415802,47.55540569,0.04274557
18.3221,334.219,145.12821917,0.113583,0.143907,0.18072576,0.25274851,26.22840758,36.68094135,0.07081217
19.0312,322.588,119.96291094,0.0911443,0.14704709,0.16249,0.22443045,19.49277336,26.92333038,0.07408376
19.3568,317.722,108.16145339,0.083052,0.14742524,0.15653179,0.21396258,16.93070547,23.14250372,0.07178239
19.7496,311.893,92.02304059,0.073586,0.14770829,0.14934155,0.20083221,13.74286396,18.48119048,0.06867767
20.4775,303.7,65.85704214,0.0619226,0.14589014,0.13986672,0.1786887,9.21120862,11.76790897,0.06211697
