time(sec),flameHeight(cm)
-3.76474,59.9584
-3.76308,59.9584
-3.76118,60.5834
-3.75952,60.5834
-3.75767,61.4167
-3.75604,61.4167
-3.75422,61.4167
-3.75263,62.25
-3.75084,62.2501
-3.74928,62.2501
-3.74752,63.0833
-3.74598,63.9167
-3.74424,64.7499
-3.74272,64.7499
-3.74099,65.5833
-3.73948,65.5833
-3.73776,65.5833
-3.73626,66.4167
-3.73454,67.25
-3.73305,67.25
-3.73134,68.0834
-3.72985,68.9167
-3.72813,69.7502
-3.72664,69.7502
-3.72492,70.584
-3.72343,71.417
-3.7217,72.25
-3.72017,73.083
-3.71838,73.917
-3.71682,74.75
-3.71504,74.75
-3.71348,75.584
-3.71172,77.25
-3.71017,78.083
-3.7084,78.916
-3.70686,79.75
-3.7051,79.75
-3.70355,80.584
-3.70177,81.417
-3.70022,81.417
-3.69842,82.251
-3.69686,83.084
-3.69505,83.916
-3.69349,83.917
-3.69167,84.749
-3.69009,84.75
-3.68822,85.583
-3.68659,85.583
-3.68463,86.417
-3.68293,86.416
-3.6809,83.084
-3.67917,83.917
-3.67713,84.75
-3.67538,85.583
-3.67329,86.417
-3.67145,87.25
-3.66924,88.084
-3.66732,88.917
-3.66506,88.917
-3.66301,90.166
-3.66063,90.166
-3.65857,91.833
-3.6561,91.834
-3.65398,93.5
-3.65137,93.5
-3.64924,93.5
-3.64659,95.167
-3.64449,95.167
-3.64188,46.2083
-3.63979,46.625
-3.6372,47.0418
-3.6351,47.4584
-3.63253,47.875
-3.63045,48.2916
-3.62788,48.2916
-3.62581,48.7083
-3.62323,49.5416
-3.62115,49.9583
-3.61859,50.7917
-3.61653,51.625
-3.61403,52.0418
-3.61203,52.875
-3.6096,53.7083
-3.60764,54.1249
-3.60525,54.5417
-3.60332,54.9583
-3.60094,55.7916
-3.599,55.375
-3.59663,56.2084
-3.59469,56.625
-3.59229,57.4583
-3.59039,57.875
-3.58804,58.2917
-3.58616,59.1249
-3.58382,59.5416
-3.58195,59.9583
-3.57963,60.5833
-3.57777,60.5833
-3.57546,60.5834
-3.57362,61.4167
-3.57133,62.25
-3.5695,62.2501
-3.56723,63.0833
-3.56541,63.0834
-3.56316,63.9167
-3.56133,63.9167
-3.55908,64.7499
-3.55723,65.5833
-3.55495,65.5833
-3.55312,66.4166
-3.55086,59.9584
-3.54904,59.9583
-3.5468,60.5834
-3.54502,61.4167
-3.54278,61.4167
-3.54103,62.2501
-3.5388,63.0833
-3.53702,63.0833
-3.53481,58.7083
-3.53297,59.125
-3.53061,59.5416
