r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/z),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
4.21277,755.022,456.80083187,1.65786,0.00811549,1.0273461,0.47977476,469.29255106,219.16150932,0.35643271
4.91222,690.127,444.85503257,1.49246,0.0102224,0.93914429,0.48957516,417.78306432,217.78997498,0.3615569
5.61044,644.949,427.57689367,1.35721,0.02218738,0.85784789,0.49714314,366.79593545,212.5669188,0.35669536
6.30725,614.892,411.8167068,1.25306,0.03431681,0.79224049,0.50357885,326.25787115,207.38218437,0.34585961
7.00248,595.396,399.2730895,1.16691,0.04494933,0.73355027,0.50889757,292.88688298,203.18910629,0.32762465
7.69596,580.687,387.41321609,1.09012,0.05340511,0.68358833,0.50978192,264.83115201,197.49625315,0.30407761
8.3875,564.033,375.12797816,1.01623,0.05755269,0.64340656,0.50644716,241.35980157,189.98249774,0.2818002
9.07375,545.657,361.60337388,0.944689,0.05907256,0.60981145,0.4987951,220.5098764,180.36599256,0.26604642
9.76,527.707,347.51834484,0.874394,0.05925077,0.58412841,0.48702491,202.9953384,169.25008956,0.25487519
10.4462,510.691,334.27683138,0.804075,0.05976512,0.56314652,0.47699147,188.24683342,159.44719633,0.24797097
11.1325,495.565,322.81263916,0.734933,0.05998844,0.54174902,0.47002377,174.88343071,151.72961216,0.24649097
11.8188,480.901,310.82824839,0.664408,0.06097193,0.51690231,0.46279177,160.66784018,143.84875444,0.24129132
12.505,466.097,297.77592247,0.593296,0.0646889,0.48685111,0.45390283,144.97253737,135.16133421,0.22742625
13.1912,451.65,284.28295763,0.522872,0.07102752,0.45333983,0.44495703,128.87678723,126.49370097,0.21092985
13.6291,441.987,274.67944954,0.478258,0.07593907,0.43238062,0.43905255,118.76607052,120.59871223,0.20134637
13.8775,436.476,268.96523939,0.452882,0.07878257,0.42025112,0.43598736,113.03294186,117.26544525,0.19545542
14.5638,420.152,251.74073965,0.385451,0.08690756,0.38652555,0.42282088,97.30422759,106.44124209,0.17706691
15.25,404.214,234.55255275,0.326585,0.09413285,0.35223146,0.40496062,82.61678763,94.9845461,0.15571262
15.75,390.577,218.36620618,0.282716,0.09974566,0.32181361,0.388439,70.27321725,84.82195168,0.13638152
15.9881,384.048,209.75199641,0.263448,0.10286353,0.30715875,0.380027,64.42716181,79.71142174,0.1273686
16.25,376.853,199.80540533,0.242284,0.10628366,0.29078119,0.37054133,58.09965337,74.03616138,0.11697376
16.9317,362.028,179.39871794,0.198861,0.11388878,0.25979126,0.3475284,46.6062194,62.34615023,0.0958895
17.6223,348.106,159.66214329,0.160941,0.12116066,0.2377057,0.32130889,37.9526016,51.30086683,0.07011334
18.3221,335.437,138.38207976,0.131295,0.12818733,0.22171919,0.29183934,30.68196288,40.38533474,0.02881321
19.0312,324.236,116.09521954,0.1078,0.13325912,0.20477573,0.26243316,23.77348345,30.46723531,0.04486014
19.1307,322.944,113.45924378,0.105087,0.1335996,0.20206707,0.25880122,22.92637674,29.36339021,0.04664608
19.7496,314.971,95.60826324,0.0886409,0.13557701,0.18455704,0.23504366,17.6451778,22.47211569,0.05593398
20.4775,307.672,76.84028891,0.0734006,0.13605271,0.16349006,0.20966926,12.56262351,16.11104641,0.05688313
