r (cm),v-bar2 (m/s),v-bar4 (m/s),v-bar6 (m/s),v-bar8 (m/s),v-bar10 (m/s),v-bar12 (m/s),v-bar14 (m/s),v-bar16 (m/s),v-bar18 (m/s),v-bar20 (m/s),v-bar30 (m/s),u-bar2 (m/s),u-bar4 (m/s),u-bar6 (m/s),u-bar8 (m/s),u-bar10 (m/s),u-bar12 (m/s),u-bar14 (m/s),u-bar16 (m/s),u-bar18 (m/s),u-bar20 (m/s),u-bar30 (m/s),T-bar2 (K),T-bar4 (K),T-bar6 (K),T-bar8 (K),T-bar10 (K),T-bar12 (K),T-bar14 (K),T-bar16 (K),T-bar18 (K),T-bar20 (K),T-bar30 (K),v-rms2 (m/s),v-rms4 (m/s),v-rms6 (m/s),v-rms8 (m/s),v-rms10 (m/s),v-rms12 (m/s),v-rms14 (m/s),v-rms16 (m/s),v-rms18 (m/s),v-rms20 (m/s),v-rms30 (m/s),u-rms2 (m/s),u-rms4 (m/s),u-rms6 (m/s),u-rms8 (m/s),u-rms10 (m/s),u-rms12 (m/s),u-rms14 (m/s),u-rms16 (m/s),u-rms18 (m/s),u-rms20 (m/s),u-rms30 (m/s),T-rms2 (K),T-rms4 (K),T-rms6 (K),T-rms8 (K),T-rms10 (K),T-rms12 (K),T-rms14 (K),T-rms16 (K),T-rms18 (K),T-rms20 (K),T-rms30 (K),u'v'2 (m/s)^2,u'v'4 (m/s)^2,u'v'6 (m/s)^2,u'v'8 (m/s)^2,u'v'10 (m/s)^2,u'v'12 (m/s)^2,u'v'14 (m/s)^2,u'v'16 (m/s)^2,u'v'18 (m/s)^2,u'v'20 (m/s)^2,u'v'30 (m/s)^2
-6.93877551,0.255641676,0.337983302,0.355253855,0.338571041,0.291177946,0.235858988,0.190264344,0.151797831,0.116595593,0.090805268,0.022148223,0.153692343,0.397054348,0.668539104,0.919102329,1.110989223,1.265114806,1.399184561,1.518354795,1.616926658,1.702642528,1.964692003,1139.564036,1175.542703,1125.282333,1053.252795,980.2171819,925.4736066,887.8452944,859.9363203,836.8989748,815.8967149,719.7209294,0.31179445,0.298368729,0.284577561,0.29037359,0.299288796,0.315933015,0.338939508,0.365306719,0.390046412,0.410318291,0.499867113,0.259114935,0.360204852,0.451957578,0.543657668,0.630621214,0.708913993,0.767901484,0.810050742,0.845126402,0.874723,0.990699775,365.5751415,412.0402204,452.9785243,470.0656033,470.7982939,468.6424845,459.7690242,450.2098721,439.0559454,428.9144651,378.6896179,-0.018588944,-0.030260455,-0.031160086,-0.036371307,-0.042525031,-0.055369438,-0.075811797,-0.098731254,-0.118454201,-0.139156312,-0.206677115
-6.12244898,0.243170157,0.312667143,0.329547835,0.319443265,0.281490337,0.232121957,0.185103484,0.146336962,0.112512721,0.08664123,0.022586093,0.169079341,0.418914652,0.701043334,0.972792185,1.199266534,1.384678932,1.538999638,1.672255773,1.783299543,1.875279433,2.165910582,1137.205478,1187.341573,1161.11785,1109.682145,1055.576953,1008.609086,970.3231643,938.2604059,911.4548212,888.5772608,778.5961571,0.30696121,0.294844469,0.284524397,0.29108038,0.302954869,0.322780501,0.346663608,0.374208182,0.400334093,0.421375788,0.511947092,0.258739899,0.356904943,0.442703464,0.53402308,0.624933253,0.708146345,0.778795305,0.831994521,0.875943075,0.908487564,1.036852379,361.4914597,395.1755505,428.0555802,453.6067533,461.8501722,464.753059,461.3748064,454.3442963,446.6366298,437.7864258,394.1838337,-0.014075534,-0.02369982,-0.028377827,-0.035674317,-0.043603986,-0.056518763,-0.075163284,-0.098465055,-0.119329245,-0.138336349,-0.215637321
-5.306122449,0.228415074,0.287026473,0.299032302,0.291963558,0.25989396,0.218814637,0.176721658,0.141513848,0.112202255,0.085717246,0.022481132,0.180770012,0.438672333,0.729230829,1.016613593,1.268991196,1.485751448,1.664718838,1.815337435,1.939814356,2.044275747,2.36232186,1130.120036,1199.096433,1184.895324,1152.387789,1111.283266,1078.959847,1047.352153,1016.499814,986.2074953,960.9807959,839.3021089,0.298366036,0.291348115,0.285706027,0.293676863,0.30754426,0.32791019,0.351611522,0.379352949,0.406316112,0.428788606,0.52113061,0.252850828,0.349469273,0.438034415,0.524979365,0.617595491,0.703042991,0.778132119,0.838905733,0.891612894,0.931938624,1.07315275,352.6721946,378.3042697,409.8875779,430.1258593,445.8810949,452.5161289,452.6843275,448.9510343,443.7463301,438.7988072,405.9954938,-0.008121012,-0.018056162,-0.024786386,-0.033276304,-0.045332913,-0.059175546,-0.074627192,-0.095154697,-0.116974136,-0.134926866,-0.2173507
-4.489795918,0.211809574,0.259699924,0.265501475,0.25883616,0.234447571,0.200308343,0.165834193,0.137748689,0.11408024,0.090604086,0.023804271,0.191602055,0.46258024,0.759491672,1.052738217,1.327159151,1.56639782,1.767760999,1.935517385,2.072862185,2.189041117,2.558247819,1130.822571,1217.503533,1214.821765,1190.099145,1163.283061,1139.494969,1114.510753,1087.939032,1060.295466,1032.887044,899.596684,0.289888583,0.28849667,0.286956868,0.29426277,0.30866851,0.327638331,0.35073015,0.377158636,0.406465473,0.431492213,0.527508062,0.242784394,0.337786308,0.423708287,0.512627662,0.597660518,0.682812232,0.760517473,0.828128825,0.885580617,0.934495283,1.112658709,339.4297158,358.7557558,388.569699,409.5165838,423.2553879,432.2491865,435.8739458,436.361881,433.7688085,432.0971914,412.8048524,-0.004363415,-0.014711732,-0.022352322,-0.031114476,-0.041357414,-0.055239565,-0.068108727,-0.085572324,-0.107123887,-0.125106556,-0.209778984
-3.673469388,0.189576016,0.226961882,0.232034829,0.223282535,0.204047629,0.177393205,0.149832929,0.126462711,0.106222352,0.087121458,0.025526836,0.204177517,0.494083691,0.800962525,1.09608224,1.377277215,1.630851938,1.849409446,2.03605246,2.191967176,2.318185897,2.717371321,1141.413503,1240.691344,1253.640992,1231.389066,1211.040735,1190.596356,1169.999128,1147.951863,1123.874938,1095.830819,952.5088214,0.28235514,0.286626132,0.29061271,0.296594758,0.310522695,0.327241664,0.348292784,0.374169253,0.403226519,0.430489064,0.526594938,0.234331527,0.323949697,0.400174556,0.491327991,0.577104437,0.659977086,0.738898296,0.809975349,0.8729838,0.928855733,1.132868514,328.5891269,340.8872982,362.5414755,384.9120115,398.8589605,409.1033674,416.9335205,421.5979147,422.482023,422.9461587,411.5951254,-0.002545648,-0.012635142,-0.020206026,-0.027405497,-0.035907031,-0.047306322,-0.059612097,-0.07474952,-0.092937897,-0.110804497,-0.193275636
-2.857142857,0.161681258,0.187778102,0.193544516,0.188062078,0.172265264,0.15062945,0.128537814,0.10871658,0.089572891,0.073866099,0.026042937,0.216695898,0.525559232,0.841092191,1.147463844,1.43176518,1.692586388,1.922932265,2.122839929,2.292850996,2.435467841,2.859396527,1152.490849,1264.492702,1287.468732,1275.281856,1255.424982,1237.215504,1217.921806,1198.068757,1174.693749,1149.182064,999.3917407,0.275921296,0.2849894,0.292075271,0.301036225,0.314391835,0.329452671,0.34965473,0.374372869,0.401744942,0.427459838,0.52545451,0.223853279,0.308585537,0.385301855,0.469541706,0.560237929,0.647390268,0.722800255,0.79345996,0.862297336,0.924709181,1.141355383,316.6132807,323.7740735,341.3406916,360.7830839,378.5569864,391.9568404,398.8069206,404.3908077,408.596654,412.7175471,406.8294251,-0.000404538,-0.010301268,-0.015608623,-0.022999055,-0.029665604,-0.038038173,-0.050459064,-0.065977808,-0.080978924,-0.096680123,-0.16203982
-2.040816327,0.128383019,0.147565553,0.151714068,0.148554656,0.137470217,0.122667312,0.104283198,0.086840013,0.070716668,0.056961311,0.026755655,0.222785645,0.546035698,0.872049715,1.185759797,1.48047886,1.748752339,1.988233712,2.20144665,2.382115696,2.530669434,2.974691987,1155.862882,1276.833701,1311.289175,1304.216826,1291.103933,1275.05849,1259.618668,1242.849844,1220.077188,1193.028125,1039.476414,0.270824808,0.280711953,0.291413289,0.304187368,0.318266844,0.334695089,0.35329385,0.37710967,0.403248985,0.426056518,0.524666842,0.210039528,0.29725316,0.371801994,0.455197718,0.539172213,0.628318298,0.7122714,0.78618732,0.856002669,0.922545975,1.14609905,302.0526307,307.2655327,324.7817765,343.6669846,357.1604715,373.3818877,383.2196392,389.2075834,393.4748361,398.9018394,400.103578,0.001510717,-0.00706484,-0.010916486,-0.016748313,-0.021743782,-0.029136935,-0.03992901,-0.053416238,-0.068024236,-0.080433811,-0.123987518
-1.224489796,0.092748371,0.105344463,0.10827936,0.106132905,0.09877426,0.088890204,0.076938205,0.064296867,0.055253939,0.046419737,0.028843076,0.217814266,0.552557501,0.890051826,1.213677642,1.516995052,1.795764129,2.041052645,2.257444498,2.443300726,2.596380166,3.060602546,1144.475044,1278.10805,1320.607121,1325.155607,1321.087841,1308.331764,1292.24413,1275.539741,1253.427413,1226.234631,1070.221561,0.266829134,0.277551723,0.291351338,0.307140154,0.325229269,0.344009873,0.362285756,0.384003234,0.40781385,0.428270863,0.528190564,0.201335659,0.292241104,0.366142956,0.444276924,0.525583683,0.613842385,0.703330282,0.78414147,0.858302424,0.924806652,1.145121125,296.8162314,297.2525171,315.8752767,332.3305798,341.3401985,356.0270928,368.8256538,376.4353132,382.8777971,388.842788,393.6766373,0.002511175,-0.004605961,-0.008937093,-0.011455913,-0.015536164,-0.021495009,-0.029121775,-0.038019648,-0.048717135,-0.055953118,-0.081253433
-0.408163265,0.05254863,0.057279821,0.057065123,0.056147968,0.051115413,0.049528278,0.046401763,0.043036928,0.042245162,0.042086677,0.026608634,0.213797757,0.556729953,0.893533512,1.220870189,1.533951176,1.821705109,2.07363563,2.289804284,2.468839713,2.620362057,3.111545866,1132.466115,1276.981016,1317.036347,1330.524079,1334.246192,1328.412068,1312.93961,1293.726453,1267.474004,1239.463842,1088.910033,0.26405426,0.279015328,0.295694968,0.313755208,0.334086397,0.354243031,0.372170079,0.39138017,0.408604617,0.427437357,0.533507798,0.194745001,0.287541684,0.361740222,0.43883786,0.518655811,0.600276516,0.686938624,0.771622371,0.851153428,0.918370776,1.140034335,292.3541003,291.6086491,306.7707732,322.5155316,332.0159571,343.1454876,356.8204444,368.0163,376.7571277,384.4288785,390.3815789,0.001762949,-0.002990697,-0.006102348,-0.009105086,-0.012265984,-0.016765355,-0.020088241,-0.022728526,-0.0246205,-0.02500625,-0.038961128
0.408163265,0.0056497,0.004804728,0.006198629,0.001837043,-0.00049124,0.005628565,0.013069123,0.020783084,0.026485094,0.027959653,0.024299142,0.218353244,0.560417559,0.896483082,1.223457825,1.537958191,1.826789418,2.079478536,2.292609284,2.474168026,2.634147803,3.126214945,1133.853188,1273.938907,1318.975268,1332.969339,1337.91007,1331.169681,1316.335421,1293.699784,1267.944062,1244.90359,1095.260992,0.26927016,0.287047817,0.302064056,0.319879369,0.338728108,0.35872998,0.374985487,0.389554222,0.407621848,0.429461951,0.537706246,0.188220364,0.280376373,0.352760585,0.430785545,0.507432895,0.587962948,0.671276397,0.757202976,0.836774382,0.90531387,1.132333914,291.1035851,287.7734755,296.6916908,310.5608909,322.9259953,337.2986029,353.2025485,366.5675536,375.8864818,381.9245831,389.6378294,-0.000324838,-0.001124523,-0.002709461,-0.002924069,-0.004271149,-0.008124624,-0.007816032,-0.003490999,0.000342885,0.003851383,0.003199999
1.224489796,-0.043400092,-0.047056139,-0.044655585,-0.048892501,-0.045400409,-0.032098029,-0.016484898,-0.004796054,0.002882717,0.008010478,0.022602143,0.220823909,0.555262025,0.891288995,1.220209274,1.531090357,1.808234802,2.052239731,2.265870784,2.455864733,2.623246704,3.108726659,1140.641696,1273.165858,1322.017068,1335.84713,1335.339128,1321.41638,1300.598887,1278.093568,1257.391571,1237.913603,1090.532224,0.275788086,0.294213731,0.305810053,0.32285544,0.338652254,0.352992169,0.367839304,0.384916732,0.407177818,0.43246497,0.538515029,0.189443196,0.278814673,0.348952143,0.423963166,0.50837862,0.595219423,0.682222884,0.765640322,0.837842528,0.901615735,1.126098924,293.34287,286.9411215,292.8160972,305.4982911,326.5458156,345.7376454,362.0687637,374.7383965,380.704379,382.8296761,389.8045487,-0.00181185,0.001823536,0.003528412,0.004941494,0.00512212,0.003678182,0.007390479,0.015004572,0.018550801,0.022551728,0.048224051
2.040816327,-0.086714264,-0.095938619,-0.094740579,-0.093955957,-0.080974137,-0.061508137,-0.042782182,-0.030302278,-0.021370021,-0.012347463,0.021279005,0.217896749,0.540172256,0.872420891,1.198495655,1.505126719,1.77668067,2.014775805,2.229747214,2.414116998,2.571179751,3.05501839,1143.316455,1267.03122,1313.726749,1323.263585,1317.322208,1299.269472,1276.130236,1255.201395,1233.775638,1211.73271,1071.647446,0.27897235,0.29867311,0.306568588,0.324742523,0.338556498,0.34930306,0.363129596,0.383652136,0.407788656,0.43246966,0.541036426,0.194942746,0.283472298,0.353903535,0.431188131,0.519269348,0.609690226,0.696899871,0.771020468,0.841272949,0.90591723,1.127270983,300.4802067,290.5833241,298.4790766,313.9320467,339.2029733,359.3255994,374.7287183,382.6610976,386.3108547,388.801628,394.2980306,-0.002071614,0.00641375,0.009376035,0.011654049,0.01480274,0.017566011,0.023796657,0.032401737,0.040273412,0.047470817,0.093076379
2.857142857,-0.120363214,-0.136916352,-0.139549584,-0.133409133,-0.111787354,-0.088132309,-0.06917694,-0.053965885,-0.04144248,-0.029375122,0.015249792,0.211137132,0.523030911,0.849949351,1.170478699,1.465617055,1.732850423,1.968350288,2.17461123,2.351281894,2.495946456,2.946254902,1138.295692,1256.914248,1295.856928,1300.153617,1283.373472,1264.71958,1243.788927,1222.544443,1200.055822,1175.453046,1034.229598,0.282013178,0.301497435,0.310438328,0.326469433,0.338010461,0.350719987,0.36648702,0.387832196,0.41031483,0.431762437,0.542971127,0.205102904,0.293870986,0.368332987,0.449131661,0.54024358,0.627175822,0.708919519,0.783026943,0.850018573,0.913969182,1.132068128,307.1378775,307.1949061,318.5859514,335.2990698,359.1003448,375.2292871,386.9383401,394.9504418,398.6167409,400.8856699,398.5528654,-0.000795931,0.011169156,0.015697377,0.020430938,0.025539748,0.032425789,0.043137511,0.053805088,0.064812823,0.076352124,0.133697107
3.673469388,-0.147348667,-0.179212739,-0.18231636,-0.170554391,-0.146430433,-0.119023293,-0.09605576,-0.076689967,-0.058598201,-0.044885506,0.007631104,0.205782237,0.511421131,0.831622617,1.133865842,1.420921161,1.68071733,1.908520224,2.104659686,2.268379618,2.40261723,2.802012378,1139.037463,1248.928946,1278.070701,1266.656154,1246.904187,1228.089894,1206.188332,1183.032124,1157.429509,1128.456035,984.3650402,0.285718724,0.304205755,0.311918414,0.321571005,0.33684704,0.353246383,0.370520184,0.390252602,0.411904838,0.434956793,0.542295605,0.215950618,0.305787037,0.383598463,0.470139686,0.556811395,0.639024221,0.719622418,0.79301895,0.858660438,0.917172929,1.128119834,314.9495175,324.7917191,338.9803468,359.9104353,380.1936803,392.6462904,402.247189,408.4676198,411.4337856,414.5173977,401.5264137,0.001822267,0.015584042,0.021907109,0.029198875,0.037077769,0.044649487,0.055204983,0.06959542,0.086780498,0.10426892,0.163287347
4.489795918,-0.16955123,-0.216549716,-0.217693294,-0.208044956,-0.182446318,-0.153588031,-0.126913037,-0.10095255,-0.077763626,-0.058403973,0.000673688,0.198680527,0.491074479,0.797590354,1.092688831,1.375580973,1.620597173,1.830383071,2.010134773,2.156171291,2.274941363,2.638235382,1134.433374,1238.663933,1256.399785,1234.796252,1212.954764,1187.202889,1159.916162,1133.261425,1101.493511,1069.486258,928.4946375,0.2916357,0.305296223,0.309235755,0.31857498,0.333776771,0.350738126,0.369519648,0.390515156,0.413021598,0.434353964,0.543481986,0.225882754,0.319104389,0.396379749,0.483202162,0.570884393,0.657669659,0.736045236,0.801610884,0.864809199,0.927465636,1.116309816,329.2478885,342.9096024,361.6876638,386.1774123,404.6425847,415.0166997,422.2826687,423.2861154,425.4382465,428.9705994,402.5103654,0.004749163,0.019243354,0.02624554,0.034471336,0.041962095,0.052467786,0.066618863,0.0845917,0.105368829,0.125108265,0.185620906
