,z(cm),TMean(K),X_CH3OHMean,X_CO2Mean,X_COMean,X_H2Mean,X_H2OMean,X_N2Mean,X_O2Mean,T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uruz_cov(m/s)
62,12.4,1214.7,0.0216,0.0515,0.0397,0.052,0.1308,0.6259,0.0758,433.2205,0.2833,0.9422,0.0437,1.6574,0.0021
63,12.6,1212.7,0.021,0.0513,0.0392,0.0513,0.1303,0.6276,0.0766,435.0402,0.2848,0.9548,0.0438,1.6789,0.0018
64,12.8,1210.7,0.0204,0.0512,0.0388,0.0506,0.1297,0.6293,0.0773,436.5432,0.2866,0.9674,0.044,1.6992,0.0014
65,13.0,1208.8,0.0198,0.0511,0.0383,0.0499,0.1292,0.631,0.0781,438.0411,0.2885,0.9799,0.0442,1.7195,0.0009
66,13.2,1206.8,0.0193,0.0509,0.0378,0.0493,0.1286,0.6326,0.0789,439.568,0.2903,0.992,0.0444,1.7395,0.0004
67,13.4,1204.7,0.0187,0.0508,0.0374,0.0486,0.1281,0.6343,0.0796,441.1802,0.2922,1.0036,0.0445,1.759,-0.0001
68,13.6,1202.7,0.0181,0.0507,0.0369,0.0479,0.1276,0.636,0.0804,442.7866,0.2941,1.015,0.0446,1.7784,-0.0006
69,13.8,1200.6,0.0176,0.0505,0.0364,0.0472,0.127,0.6376,0.0812,444.4322,0.2962,1.0265,0.0447,1.7973,-0.0011
70,14.0,1198.3,0.0171,0.0504,0.0359,0.0465,0.1264,0.6393,0.082,446.2174,0.2985,1.0386,0.0447,1.8147,-0.0016
71,14.2,1196.1,0.0165,0.0503,0.0354,0.0458,0.1259,0.641,0.0828,447.9955,0.3009,1.0505,0.0447,1.8321,-0.002
72,14.4,1193.8,0.016,0.0501,0.035,0.0451,0.1253,0.6426,0.0836,449.7666,0.3032,1.0622,0.0447,1.8495,-0.0025
73,14.6,1191.8,0.0155,0.05,0.0345,0.0444,0.1248,0.6442,0.0843,451.0321,0.3051,1.0728,0.0445,1.8666,-0.0029
74,14.8,1189.8,0.0151,0.0499,0.034,0.0438,0.1242,0.6458,0.085,452.3052,0.307,1.0832,0.0443,1.8837,-0.0033
75,15.0,1187.8,0.0146,0.0497,0.0335,0.0431,0.1237,0.6474,0.0858,453.5747,0.3088,1.0936,0.044,1.9007,-0.0037
76,15.2,1185.8,0.0141,0.0496,0.0331,0.0424,0.1232,0.649,0.0865,454.8186,0.311,1.1044,0.0438,1.9166,-0.0038
77,15.4,1183.9,0.0137,0.0495,0.0326,0.0417,0.1226,0.6505,0.0872,456.0592,0.3134,1.1155,0.0436,1.9318,-0.0038
78,15.6,1181.9,0.0133,0.0494,0.0321,0.0411,0.1221,0.6521,0.088,457.2964,0.3158,1.1265,0.0434,1.9469,-0.0038
79,15.8,1179.9,0.0128,0.0492,0.0316,0.0404,0.1216,0.6536,0.0887,458.5303,0.3182,1.1374,0.0432,1.9621,-0.0037
80,16.0,1177.6,0.0124,0.0491,0.0312,0.0397,0.121,0.6551,0.0894,459.8261,0.3209,1.1477,0.0437,1.9767,-0.0041
81,16.2,1175.3,0.012,0.049,0.0307,0.0391,0.1204,0.6566,0.0902,461.1182,0.3236,1.1579,0.0441,1.9914,-0.0045
82,16.4,1173.0,0.0116,0.0488,0.0303,0.0384,0.1199,0.6581,0.0909,462.3959,0.3262,1.1681,0.0446,2.006,-0.0048
83,16.6,1170.5,0.0113,0.0487,0.0298,0.0378,0.1193,0.6596,0.0916,463.6701,0.3289,1.1778,0.0449,2.0205,-0.005
84,16.8,1167.6,0.0109,0.0485,0.0294,0.0372,0.1187,0.661,0.0924,464.8978,0.3319,1.1865,0.0447,2.0345,-0.0045
85,17.0,1164.7,0.0105,0.0483,0.0289,0.0366,0.1181,0.6624,0.0932,466.133,0.3349,1.1952,0.0444,2.0485,-0.0041
86,17.2,1161.9,0.0102,0.0482,0.0285,0.036,0.1175,0.6639,0.0939,467.3543,0.3378,1.2038,0.0442,2.0625,-0.0036
87,17.4,1158.9,0.0099,0.048,0.0281,0.0354,0.1169,0.6653,0.0947,468.679,0.3408,1.2126,0.0439,2.0761,-0.003
88,17.6,1155.5,0.0095,0.0478,0.0277,0.0349,0.1162,0.6666,0.0955,470.3084,0.3439,1.2219,0.043,2.0886,-0.0023
89,17.8,1152.0,0.0092,0.0476,0.0273,0.0343,0.1156,0.668,0.0963,471.9322,0.347,1.2311,0.0422,2.101,-0.0015
90,18.0,1148.6,0.0089,0.0474,0.0269,0.0338,0.1149,0.6694,0.097,473.5399,0.3501,1.2403,0.0413,2.1135,-0.0007
91,18.2,1145.2,0.0086,0.0472,0.0265,0.0332,0.1143,0.6707,0.0978,475.1421,0.3532,1.2493,0.0405,2.1259,0.0
92,18.4,1141.5,0.0084,0.047,0.0261,0.0327,0.1136,0.6721,0.0986,476.6131,0.3567,1.2574,0.0395,2.1369,0.0005
93,18.6,1137.8,0.0081,0.0468,0.0257,0.0321,0.1129,0.6734,0.0994,478.0795,0.3601,1.2655,0.0386,2.1479,0.001
94,18.8,1134.1,0.0078,0.0465,0.0253,0.0316,0.1122,0.6747,0.1002,479.5414,0.3634,1.2734,0.0377,2.1589,0.0015
95,19.0,1130.4,0.0076,0.0463,0.0249,0.0311,0.1115,0.676,0.101,480.999,0.3668,1.2814,0.0368,2.1699,0.0019
96,19.2,1126.6,0.0073,0.0461,0.0245,0.0305,0.1108,0.6774,0.1018,482.1722,0.3698,1.2894,0.0361,2.1802,0.0015
97,19.4,1122.7,0.0071,0.0459,0.0241,0.03,0.1101,0.6786,0.1026,483.1873,0.3726,1.2975,0.0355,2.19,0.0006
98,19.6,1118.9,0.0069,0.0457,0.0238,0.0295,0.1094,0.6799,0.1034,484.19,0.3754,1.3055,0.0349,2.1997,-0.0004
99,19.8,1115.1,0.0066,0.0454,0.0234,0.029,0.1087,0.6812,0.1042,485.1907,0.3782,1.3135,0.0343,2.2095,-0.0014
100,20.0,1111.2,0.0064,0.0452,0.023,0.0285,0.108,0.6825,0.105,486.1995,0.3809,1.3214,0.0337,2.2193,-0.0023
101,20.2,1107.4,0.0062,0.045,0.0226,0.028,0.1073,0.6837,0.1058,486.9394,0.3836,1.3279,0.0327,2.2278,-0.0027
102,20.4,1103.7,0.006,0.0448,0.0222,0.0275,0.1066,0.6849,0.1065,487.6577,0.3863,1.3344,0.0317,2.2363,-0.003
103,20.6,1099.9,0.0058,0.0446,0.0219,0.027,0.1059,0.6862,0.1073,488.3749,0.389,1.3407,0.0307,2.2447,-0.0033
104,20.8,1096.1,0.0056,0.0443,0.0215,0.0265,0.1052,0.6874,0.1081,489.091,0.3916,1.3471,0.0296,2.2531,-0.0037
105,21.0,1092.3,0.0055,0.0441,0.0211,0.026,0.1046,0.6886,0.1088,489.8163,0.3943,1.3534,0.0286,2.2615,-0.004
106,21.2,1088.1,0.0053,0.0439,0.0208,0.0255,0.1038,0.6898,0.1096,490.3468,0.3969,1.3592,0.0274,2.2681,-0.0037
107,21.4,1084.0,0.0051,0.0436,0.0204,0.0251,0.1031,0.6909,0.1104,490.8768,0.3996,1.365,0.0263,2.2747,-0.0034
108,21.6,1079.8,0.005,0.0434,0.0201,0.0246,0.1024,0.6921,0.1112,491.4061,0.4022,1.3707,0.0251,2.2813,-0.0031
109,21.8,1075.7,0.0048,0.0432,0.0197,0.0241,0.1017,0.6933,0.112,491.935,0.4048,1.3764,0.0239,2.288,-0.0028
110,22.0,1071.5,0.0046,0.0429,0.0194,0.0237,0.1009,0.6945,0.1128,492.4632,0.4074,1.3821,0.0228,2.2946,-0.0025
111,22.2,1066.8,0.0045,0.0427,0.019,0.0232,0.1002,0.6956,0.1136,492.8996,0.4093,1.3872,0.0225,2.2994,-0.0031
112,22.4,1062.1,0.0044,0.0424,0.0187,0.0228,0.0994,0.6968,0.1144,493.3255,0.4111,1.3922,0.0223,2.3043,-0.0036
113,22.6,1057.4,0.0042,0.0421,0.0184,0.0224,0.0986,0.6979,0.1153,493.7611,0.413,1.3972,0.022,2.3092,-0.0042
114,22.8,1052.7,0.0041,0.0418,0.018,0.0219,0.0978,0.6991,0.1161,494.1963,0.4148,1.4022,0.0218,2.3141,-0.0048
115,23.0,1048.0,0.0039,0.0416,0.0177,0.0215,0.0971,0.7003,0.1169,494.6312,0.4167,1.4072,0.0215,2.319,-0.0053
116,23.2,1042.9,0.0038,0.0413,0.0174,0.0211,0.0962,0.7014,0.1178,495.0051,0.419,1.4104,0.0211,2.3221,-0.0037
117,23.4,1037.8,0.0037,0.041,0.017,0.0206,0.0954,0.7026,0.1186,495.3786,0.4214,1.4135,0.0207,2.3252,-0.0021
118,23.6,1032.7,0.0036,0.0407,0.0167,0.0202,0.0946,0.7037,0.1195,495.752,0.4238,1.4167,0.0203,2.3284,-0.0005
119,23.8,1027.6,0.0034,0.0404,0.0164,0.0198,0.0938,0.7048,0.1203,496.125,0.4262,1.4199,0.0199,2.3315,0.001
120,24.0,1022.5,0.0033,0.0401,0.0161,0.0194,0.093,0.706,0.1212,496.4977,0.4285,1.423,0.0195,2.3347,0.0026
121,24.2,1017.6,0.0032,0.0398,0.0158,0.019,0.0922,0.707,0.122,496.6286,0.4303,1.4247,0.0189,2.3368,0.0044
122,24.4,1012.7,0.0031,0.0396,0.0155,0.0186,0.0915,0.7081,0.1228,496.7595,0.4321,1.4265,0.0182,2.339,0.0061
123,24.6,1007.8,0.003,0.0393,0.0152,0.0182,0.0907,0.7092,0.1236,496.9004,0.4339,1.4282,0.0176,2.3412,0.0078
124,24.8,1002.9,0.0029,0.039,0.0149,0.0178,0.0899,0.7102,0.1244,497.0312,0.4357,1.4299,0.017,2.3434,0.0095
125,25.0,998.03,0.0028,0.0387,0.0146,0.0174,0.0892,0.7113,0.1252,497.172,0.4375,1.4316,0.0164,2.3456,0.0112
126,25.2,993.58,0.0027,0.0385,0.0143,0.017,0.0885,0.7123,0.1259,496.9909,0.4385,1.4326,0.0157,2.3473,0.0128
127,25.4,989.14,0.0026,0.0382,0.014,0.0167,0.0878,0.7133,0.1266,496.8098,0.4394,1.4336,0.015,2.349,0.0143
128,25.6,984.7,0.0025,0.038,0.0137,0.0163,0.0871,0.7142,0.1274,496.6286,0.4404,1.4346,0.0143,2.3507,0.0158
129,25.8,980.26,0.0024,0.0377,0.0135,0.016,0.0864,0.7152,0.1281,496.4575,0.4413,1.4355,0.0137,2.3524,0.0174
130,26.0,975.81,0.0023,0.0375,0.0132,0.0156,0.0857,0.7162,0.1288,496.2761,0.4423,1.4365,0.013,2.3541,0.0189
131,26.2,971.56,0.0022,0.0372,0.0129,0.0153,0.085,0.7171,0.1295,495.8024,0.4431,1.4359,0.0125,2.3563,0.0202
132,26.4,967.31,0.0021,0.037,0.0127,0.0149,0.0843,0.718,0.1302,495.3383,0.4438,1.4353,0.012,2.3584,0.0215
133,26.6,963.06,0.002,0.0367,0.0124,0.0146,0.0837,0.7189,0.1309,494.8636,0.4446,1.4346,0.0115,2.3606,0.0228
134,26.8,958.81,0.0019,0.0365,0.0122,0.0143,0.083,0.7198,0.1316,494.3986,0.4454,1.434,0.011,2.3628,0.0241
135,27.0,954.55,0.0019,0.0363,0.0119,0.0139,0.0823,0.7207,0.1323,493.9231,0.4462,1.4334,0.0105,2.3649,0.0254
136,27.2,950.78,0.0018,0.036,0.0117,0.0136,0.0817,0.7215,0.1329,492.9807,0.447,1.4314,0.0096,2.3678,0.0269
137,27.4,947.01,0.0017,0.0358,0.0114,0.0134,0.0811,0.7223,0.1335,492.0264,0.4477,1.4294,0.0087,2.3706,0.0284
138,27.6,943.24,0.0017,0.0356,0.0112,0.0131,0.0805,0.7231,0.1341,491.0703,0.4485,1.4274,0.0077,2.3734,0.0298
139,27.8,939.47,0.0016,0.0354,0.011,0.0128,0.0799,0.7239,0.1348,490.1224,0.4493,1.4253,0.0068,2.3763,0.0313
140,28.0,935.7,0.0016,0.0352,0.0107,0.0125,0.0793,0.7247,0.1354,489.1625,0.4501,1.4233,0.0059,2.3791,0.0328
141,28.2,932.09,0.0015,0.035,0.0105,0.0122,0.0788,0.7254,0.1359,487.9037,0.4517,1.4212,0.0052,2.3817,0.0334
142,28.4,928.49,0.0015,0.0348,0.0103,0.012,0.0782,0.7261,0.1365,486.6313,0.4533,1.419,0.0046,2.3842,0.034
143,28.6,924.88,0.0014,0.0346,0.0101,0.0117,0.0776,0.7268,0.1371,485.3658,0.4549,1.4169,0.004,2.3867,0.0346
144,28.8,921.28,0.0014,0.0344,0.0099,0.0115,0.0771,0.7276,0.1376,484.0868,0.4565,1.4147,0.0033,2.3893,0.0352
145,29.0,917.67,0.0013,0.0342,0.0097,0.0112,0.0765,0.7283,0.1382,482.8147,0.458,1.4126,0.0027,2.3918,0.0358
146,29.2,913.93,0.0013,0.034,0.0095,0.011,0.0759,0.7289,0.1388,481.6845,0.4591,1.4102,0.0022,2.3933,0.0364
147,29.4,910.19,0.0012,0.0338,0.0093,0.0108,0.0754,0.7296,0.1394,480.5622,0.4601,1.4079,0.0018,2.3948,0.037
148,29.6,906.45,0.0012,0.0336,0.0092,0.0105,0.0748,0.7303,0.1399,479.4267,0.4611,1.4056,0.0013,2.3963,0.0377
149,29.8,902.71,0.0012,0.0333,0.009,0.0103,0.0743,0.731,0.1405,478.2991,0.4622,1.4032,0.0008,2.3978,0.0383
150,30.0,898.97,0.0011,0.0331,0.0088,0.0101,0.0737,0.7316,0.141,477.1687,0.4632,1.4009,0.0004,2.3993,0.0389
151,30.2,895.2,0.0011,0.0329,0.0086,0.0099,0.0731,0.7322,0.1416,476.1932,0.4636,1.3993,-0.0003,2.4005,0.0399
152,30.4,891.43,0.001,0.0327,0.0085,0.0097,0.0726,0.7329,0.1421,475.2263,0.464,1.3977,-0.0009,2.4016,0.0408
153,30.6,887.66,0.001,0.0325,0.0083,0.0095,0.072,0.7335,0.1427,474.2573,0.4645,1.3961,-0.0015,2.4028,0.0417
154,30.8,883.88,0.001,0.0323,0.0081,0.0093,0.0715,0.7341,0.1432,473.2758,0.4649,1.3945,-0.0021,2.4039,0.0426
155,31.0,880.11,0.0009,0.0321,0.008,0.0091,0.0709,0.7348,0.1438,472.3029,0.4653,1.3929,-0.0027,2.4051,0.0435
156,31.2,876.45,0.0009,0.0319,0.0078,0.0089,0.0704,0.7353,0.1443,471.052,0.4663,1.3904,-0.0032,2.4061,0.0445
157,31.4,872.78,0.0009,0.0317,0.0076,0.0087,0.0699,0.7359,0.1448,469.7978,0.4672,1.3878,-0.0036,2.4071,0.0456
158,31.6,869.11,0.0009,0.0315,0.0075,0.0085,0.0693,0.7365,0.1454,468.551,0.4681,1.3853,-0.004,2.408,0.0466
159,31.8,865.45,0.0008,0.0313,0.0073,0.0083,0.0688,0.7371,0.1459,467.2901,0.4691,1.3827,-0.0044,2.409,0.0477
160,32.0,861.78,0.0008,0.031,0.0072,0.0082,0.0682,0.7377,0.1464,466.0258,0.47,1.3801,-0.0049,2.41,0.0487
161,32.2,858.25,0.0008,0.0308,0.007,0.008,0.0677,0.7383,0.1469,464.5643,0.4701,1.3778,-0.0049,2.4108,0.0489
162,32.4,854.71,0.0007,0.0306,0.0069,0.0078,0.0672,0.7389,0.1474,463.0983,0.4702,1.3755,-0.005,2.4117,0.0491
163,32.6,851.17,0.0007,0.0304,0.0067,0.0076,0.0667,0.7394,0.1479,461.6384,0.4703,1.3732,-0.005,2.4125,0.0494
164,32.8,847.64,0.0007,0.0302,0.0066,0.0075,0.0662,0.74,0.1484,460.163,0.4704,1.3709,-0.0051,2.4134,0.0496
165,33.0,844.1,0.0006,0.03,0.0065,0.0073,0.0657,0.7406,0.149,458.6829,0.4704,1.3685,-0.0052,2.4142,0.0498
166,33.2,840.78,0.0006,0.0299,0.0063,0.0071,0.0652,0.7411,0.1494,457.1105,0.4707,1.3661,-0.005,2.4147,0.0495
167,33.4,837.47,0.0006,0.0297,0.0062,0.007,0.0647,0.7416,0.1499,455.5327,0.471,1.3636,-0.0049,2.4151,0.0491
168,33.6,834.15,0.0006,0.0295,0.006,0.0068,0.0642,0.7422,0.1504,453.9604,0.4713,1.3612,-0.0048,2.4156,0.0488
169,33.8,830.84,0.0005,0.0293,0.0059,0.0066,0.0637,0.7427,0.1509,452.3715,0.4716,1.3587,-0.0046,2.4161,0.0484
170,34.0,827.52,0.0005,0.0291,0.0058,0.0065,0.0632,0.7432,0.1513,450.7771,0.4719,1.3562,-0.0045,2.4165,0.048
171,34.2,824.67,0.0005,0.0289,0.0056,0.0063,0.0628,0.7437,0.1518,449.0434,0.4721,1.3526,-0.0043,2.4176,0.0473
172,34.4,821.82,0.0005,0.0288,0.0055,0.0062,0.0624,0.7442,0.1522,447.303,0.4724,1.349,-0.0042,2.4187,0.0465
173,34.6,818.97,0.0004,0.0286,0.0054,0.006,0.062,0.7446,0.1526,445.5446,0.4726,1.3453,-0.004,2.4197,0.0458
174,34.8,816.11,0.0004,0.0285,0.0053,0.0059,0.0615,0.7451,0.153,443.7905,0.4729,1.3417,-0.0038,2.4208,0.045
175,35.0,813.26,0.0004,0.0283,0.0051,0.0057,0.0611,0.7456,0.1534,442.0294,0.4731,1.338,-0.0036,2.4219,0.0443
176,35.2,810.6,0.0004,0.0281,0.005,0.0056,0.0607,0.746,0.1538,440.284,0.4733,1.3346,-0.0034,2.4229,0.0435
177,35.4,807.94,0.0003,0.028,0.0049,0.0054,0.0603,0.7465,0.1542,438.5202,0.4735,1.3313,-0.0032,2.4239,0.0428
178,35.6,805.28,0.0003,0.0278,0.0048,0.0053,0.0599,0.7469,0.1546,436.7608,0.4737,1.3279,-0.003,2.4249,0.042
179,35.8,802.61,0.0003,0.0277,0.0047,0.0052,0.0595,0.7473,0.155,434.9828,0.4739,1.3245,-0.0028,2.4259,0.0413
180,36.0,799.95,0.0003,0.0275,0.0046,0.005,0.0591,0.7478,0.1554,433.1974,0.474,1.3211,-0.0026,2.4269,0.0405
181,36.2,797.32,0.0003,0.0274,0.0045,0.0049,0.0588,0.7482,0.1557,431.451,0.4744,1.3171,-0.0024,2.4284,0.04
182,36.4,794.69,0.0003,0.0272,0.0044,0.0048,0.0584,0.7486,0.1561,429.6976,0.4747,1.3131,-0.0022,2.4299,0.0395
