,z(cm),TMean(K),X_CH3OHMean,X_CO2Mean,X_COMean,X_H2Mean,X_H2OMean,X_N2Mean,X_O2Mean,T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uruz_cov(m/s)
29,5.8,1176.9,0.1164,0.0476,0.0849,0.1211,0.1454,0.4534,0.0256,362.2568,0.233,0.447,0.0184,0.8263,-0.0008
30,6.0,1184.5,0.112,0.0479,0.0849,0.121,0.1461,0.4565,0.0259,361.5107,0.2331,0.4581,0.0183,0.8581,-0.0016
31,6.2,1190.0,0.1083,0.0481,0.0846,0.1205,0.1465,0.4598,0.0265,361.234,0.2344,0.4721,0.019,0.8911,-0.0024
32,6.4,1195.5,0.1046,0.0483,0.0844,0.12,0.1469,0.4631,0.0271,360.9432,0.2357,0.4857,0.0196,0.9242,-0.0031
33,6.6,1201.0,0.1009,0.0485,0.0841,0.1195,0.1473,0.4664,0.0277,360.6661,0.237,0.4989,0.0203,0.9572,-0.0038
34,6.8,1206.5,0.0972,0.0487,0.0839,0.119,0.1477,0.4697,0.0282,360.3887,0.2383,0.5118,0.0209,0.9902,-0.0045
35,7.0,1212.0,0.0935,0.0489,0.0836,0.1185,0.148,0.473,0.0288,360.1111,0.2396,0.5243,0.0216,1.0233,-0.0052
36,7.2,1215.6,0.0905,0.049,0.0832,0.1177,0.1481,0.4764,0.0296,360.6938,0.2405,0.5406,0.0216,1.0536,-0.0056
37,7.4,1219.2,0.0874,0.0491,0.0827,0.1169,0.1482,0.4798,0.0304,361.2755,0.2415,0.5565,0.0216,1.0839,-0.0061
38,7.6,1222.9,0.0844,0.0493,0.0822,0.1161,0.1482,0.4832,0.0312,361.8563,0.2425,0.5719,0.0217,1.1142,-0.0065
39,7.8,1226.5,0.0814,0.0494,0.0818,0.1153,0.1483,0.4866,0.032,362.4362,0.2434,0.5869,0.0217,1.1445,-0.0069
40,8.0,1230.2,0.0783,0.0495,0.0813,0.1145,0.1484,0.49,0.0328,363.0152,0.2444,0.6015,0.0217,1.1748,-0.0073
41,8.2,1233.1,0.0758,0.0496,0.0808,0.1136,0.1484,0.4931,0.0336,364.4173,0.2452,0.616,0.021,1.2061,-0.0073
42,8.4,1236.1,0.0733,0.0497,0.0802,0.1127,0.1483,0.4962,0.0343,365.8005,0.246,0.6302,0.0202,1.2373,-0.0073
43,8.6,1239.0,0.0708,0.0497,0.0797,0.1118,0.1483,0.4994,0.0351,367.1784,0.2467,0.644,0.0195,1.2685,-0.0073
44,8.8,1242.0,0.0683,0.0498,0.0792,0.111,0.1482,0.5025,0.0359,368.5648,0.2475,0.6576,0.0187,1.2998,-0.0073
45,9.0,1244.9,0.0658,0.0499,0.0786,0.1101,0.1482,0.5056,0.0367,369.9324,0.2483,0.6708,0.018,1.331,-0.0073
46,9.2,1246.9,0.0639,0.05,0.078,0.1091,0.1481,0.5085,0.0375,371.3085,0.2489,0.687,0.0179,1.3592,-0.0074
47,9.4,1249.0,0.0619,0.05,0.0775,0.1082,0.1479,0.5113,0.0383,372.6929,0.2496,0.7028,0.0179,1.3873,-0.0075
48,9.6,1251.0,0.0599,0.05,0.0769,0.1073,0.1478,0.5142,0.0391,374.0588,0.2503,0.7182,0.0179,1.4155,-0.0075
49,9.8,1253.0,0.058,0.0501,0.0763,0.1063,0.1476,0.517,0.0399,375.4198,0.2509,0.7333,0.0179,1.4436,-0.0076
50,10.0,1255.1,0.056,0.0501,0.0758,0.1054,0.1475,0.5199,0.0407,376.7758,0.2516,0.7481,0.0178,1.4718,-0.0077
51,10.2,1256.9,0.0544,0.0502,0.0751,0.1044,0.1473,0.5225,0.0414,377.955,0.2526,0.7611,0.0179,1.4996,-0.0084
52,10.4,1258.8,0.0528,0.0502,0.0745,0.1034,0.1472,0.5252,0.0421,379.1306,0.2535,0.7739,0.0179,1.5274,-0.0091
53,10.6,1260.6,0.0512,0.0503,0.0739,0.1024,0.147,0.5278,0.0429,380.2894,0.2545,0.7865,0.018,1.5552,-0.0098
54,10.8,1262.5,0.0497,0.0503,0.0733,0.1013,0.1468,0.5305,0.0436,381.4577,0.2554,0.7989,0.0181,1.583,-0.0106
55,11.0,1264.3,0.0481,0.0504,0.0726,0.1003,0.1467,0.5331,0.0444,382.6225,0.2564,0.8111,0.0181,1.6108,-0.0113
56,11.2,1266.2,0.0467,0.0504,0.0719,0.0992,0.1465,0.5357,0.0451,384.5257,0.2578,0.8262,0.0181,1.6374,-0.0114
57,11.4,1268.0,0.0453,0.0505,0.0712,0.0981,0.1463,0.5383,0.0458,386.4065,0.2592,0.8411,0.0181,1.6639,-0.0116
58,11.6,1269.9,0.044,0.0506,0.0706,0.097,0.1461,0.541,0.0466,388.2911,0.2606,0.8558,0.0181,1.6905,-0.0117
59,11.8,1271.7,0.0426,0.0506,0.0699,0.0959,0.1459,0.5436,0.0473,390.1538,0.2619,0.8701,0.0181,1.717,-0.0119
60,12.0,1273.5,0.0412,0.0507,0.0692,0.0948,0.1458,0.5462,0.048,392.0204,0.2634,0.8844,0.0181,1.7434,-0.012
61,12.2,1275.0,0.0401,0.0507,0.0685,0.0938,0.1455,0.5485,0.0487,393.9162,0.2655,0.8992,0.0183,1.7678,-0.0126
62,12.4,1276.5,0.039,0.0508,0.0678,0.0927,0.1453,0.5508,0.0494,395.8156,0.2675,0.9138,0.0184,1.7921,-0.0131
63,12.6,1278.0,0.0379,0.0508,0.0672,0.0917,0.1451,0.5532,0.0501,397.6933,0.2696,0.9282,0.0186,1.8165,-0.0137
64,12.8,1279.5,0.0368,0.0509,0.0665,0.0906,0.1449,0.5555,0.0508,399.5623,0.2716,0.9424,0.0187,1.8409,-0.0142
65,13.0,1281.0,0.0357,0.051,0.0658,0.0896,0.1447,0.5579,0.0514,401.4225,0.2736,0.9563,0.0189,1.8652,-0.0147
66,13.2,1282.1,0.0347,0.051,0.0652,0.0886,0.1445,0.5601,0.0521,402.8523,0.276,0.9695,0.0189,1.8888,-0.0153
67,13.4,1282.8,0.0337,0.051,0.0645,0.0876,0.1442,0.5623,0.0528,403.9554,0.2786,0.982,0.0188,1.9117,-0.0159
68,13.6,1283.5,0.0328,0.051,0.0639,0.0867,0.1439,0.5644,0.0535,405.0556,0.2812,0.9944,0.0187,1.9346,-0.0165
69,13.8,1284.2,0.0319,0.0511,0.0632,0.0857,0.1436,0.5666,0.0542,406.1527,0.2838,1.0066,0.0186,1.9576,-0.0171
70,14.0,1284.9,0.031,0.0511,0.0626,0.0847,0.1433,0.5688,0.0549,407.2346,0.2864,1.0187,0.0184,1.9805,-0.0177
71,14.2,1285.6,0.0301,0.0511,0.062,0.0837,0.143,0.5709,0.0556,408.3259,0.2889,1.0306,0.0183,2.0034,-0.0183
72,14.4,1285.9,0.0292,0.0511,0.0613,0.0828,0.1427,0.573,0.0563,409.4753,0.2913,1.0436,0.0178,2.0248,-0.0182
73,14.6,1285.3,0.0285,0.0511,0.0607,0.0819,0.1423,0.575,0.057,410.7311,0.2932,1.0584,0.0165,2.0436,-0.0171
74,14.8,1284.7,0.0277,0.051,0.0601,0.081,0.1419,0.577,0.0578,411.983,0.2951,1.073,0.0152,2.0624,-0.016
75,15.0,1284.1,0.027,0.051,0.0595,0.0801,0.1415,0.579,0.0585,413.2433,0.2971,1.0875,0.0139,2.0812,-0.015
76,15.2,1283.6,0.0262,0.0509,0.0589,0.0792,0.1411,0.581,0.0592,414.4876,0.299,1.1017,0.0126,2.1,-0.0139
77,15.4,1283.0,0.0255,0.0509,0.0583,0.0783,0.1407,0.583,0.06,415.7283,0.3009,1.1158,0.0113,2.1188,-0.0128
78,15.6,1282.4,0.0247,0.0508,0.0577,0.0774,0.1403,0.585,0.0607,416.9652,0.3028,1.1296,0.01,2.1376,-0.0117
79,15.8,1281.4,0.024,0.0508,0.0572,0.0765,0.1398,0.5869,0.0615,418.3778,0.3048,1.1432,0.0089,2.1556,-0.0107
80,16.0,1279.8,0.0234,0.0506,0.0566,0.0757,0.1393,0.5888,0.0623,420.0476,0.3071,1.1563,0.0081,2.1723,-0.0101
81,16.2,1278.2,0.0228,0.0505,0.056,0.0748,0.1388,0.5907,0.0631,421.7108,0.3093,1.1693,0.0073,2.189,-0.0094
82,16.4,1276.6,0.0222,0.0504,0.0554,0.074,0.1383,0.5926,0.0639,423.3793,0.3116,1.1822,0.0064,2.2057,-0.0087
83,16.6,1275.0,0.0216,0.0503,0.0549,0.0731,0.1378,0.5944,0.0647,425.0294,0.3138,1.1949,0.0056,2.2224,-0.008
84,16.8,1273.5,0.021,0.0502,0.0543,0.0723,0.1373,0.5963,0.0655,426.6732,0.316,1.2075,0.0048,2.2391,-0.0073
85,17.0,1271.9,0.0204,0.0501,0.0537,0.0714,0.1368,0.5982,0.0663,428.3106,0.3182,1.22,0.0039,2.2558,-0.0066
86,17.2,1270.3,0.0198,0.05,0.0532,0.0706,0.1363,0.6001,0.0671,429.9419,0.3204,1.2323,0.0031,2.2726,-0.0059
87,17.4,1268.2,0.0192,0.0499,0.0526,0.0698,0.1357,0.6019,0.0679,431.9143,0.3229,1.2466,0.0027,2.2865,-0.0056
88,17.6,1265.7,0.0187,0.0498,0.0521,0.0689,0.1351,0.6037,0.0687,434.1198,0.3256,1.2619,0.0025,2.2986,-0.0054
89,17.8,1263.3,0.0183,0.0496,0.0515,0.0681,0.1345,0.6055,0.0695,436.3141,0.3283,1.2771,0.0023,2.3106,-0.0052
90,18.0,1260.9,0.0178,0.0495,0.0509,0.0673,0.134,0.6073,0.0704,438.486,0.331,1.2922,0.0022,2.3227,-0.005
91,18.2,1258.4,0.0173,0.0493,0.0504,0.0665,0.1334,0.6092,0.0712,440.6586,0.3336,1.307,0.002,2.3348,-0.0048
92,18.4,1256.0,0.0168,0.0492,0.0498,0.0656,0.1328,0.611,0.072,442.8205,0.3362,1.3217,0.0018,2.3469,-0.0047
93,18.6,1253.6,0.0163,0.0491,0.0493,0.0648,0.1322,0.6128,0.0729,444.9719,0.3388,1.3362,0.0016,2.3589,-0.0045
94,18.8,1251.1,0.0158,0.0489,0.0487,0.064,0.1316,0.6146,0.0737,447.113,0.3414,1.3506,0.0015,2.371,-0.0043
95,19.0,1248.7,0.0153,0.0488,0.0481,0.0632,0.131,0.6164,0.0745,449.2327,0.344,1.3648,0.0013,2.3831,-0.0041
96,19.2,1246.1,0.015,0.0486,0.0476,0.0624,0.1304,0.618,0.0753,451.287,0.3464,1.3767,0.0015,2.3931,-0.0045
97,19.4,1243.4,0.0146,0.0485,0.0471,0.0617,0.1298,0.6196,0.0761,453.3211,0.3487,1.388,0.0017,2.4027,-0.005
98,19.6,1240.7,0.0142,0.0483,0.0466,0.0609,0.1293,0.6212,0.0769,455.346,0.351,1.3992,0.002,2.4123,-0.0054
99,19.8,1238.0,0.0138,0.0482,0.0461,0.0602,0.1287,0.6228,0.0777,457.362,0.3534,1.4104,0.0022,2.4219,-0.0059
100,20.0,1235.3,0.0135,0.0481,0.0456,0.0594,0.1281,0.6244,0.0784,459.3691,0.3557,1.4215,0.0025,2.4315,-0.0064
101,20.2,1232.7,0.0131,0.0479,0.045,0.0587,0.1275,0.6261,0.0792,461.3675,0.3579,1.4324,0.0027,2.4411,-0.0069
102,20.4,1230.0,0.0127,0.0478,0.0445,0.058,0.1269,0.6277,0.08,463.3573,0.3602,1.4433,0.003,2.4507,-0.0074
103,20.6,1227.3,0.0123,0.0476,0.044,0.0572,0.1263,0.6293,0.0808,465.3386,0.3624,1.4541,0.0032,2.4603,-0.0078
104,20.8,1224.6,0.012,0.0475,0.0435,0.0565,0.1258,0.6309,0.0816,467.3115,0.3647,1.4649,0.0035,2.4698,-0.0083
105,21.0,1222.0,0.0116,0.0473,0.043,0.0557,0.1252,0.6325,0.0823,469.276,0.3669,1.4755,0.0037,2.4794,-0.0088
106,21.2,1218.7,0.0113,0.0472,0.0425,0.0551,0.1246,0.634,0.0831,471.19,0.3695,1.4867,0.0037,2.4861,-0.0092
107,21.4,1215.4,0.011,0.047,0.0421,0.0544,0.1239,0.6355,0.0839,473.0962,0.3721,1.4978,0.0037,2.4928,-0.0097
108,21.6,1212.2,0.0107,0.0468,0.0416,0.0537,0.1233,0.637,0.0847,475.0053,0.3747,1.5088,0.0037,2.4994,-0.0101
109,21.8,1208.9,0.0104,0.0466,0.0411,0.053,0.1227,0.6384,0.0855,476.8962,0.3773,1.5198,0.0038,2.5061,-0.0106
110,22.0,1205.7,0.0101,0.0465,0.0406,0.0523,0.1221,0.6399,0.0862,478.7797,0.3798,1.5306,0.0038,2.5127,-0.011
111,22.2,1202.4,0.0098,0.0463,0.0402,0.0517,0.1214,0.6414,0.087,480.6558,0.3823,1.5414,0.0038,2.5194,-0.0114
112,22.4,1199.2,0.0095,0.0461,0.0397,0.051,0.1208,0.6429,0.0878,482.535,0.3849,1.5521,0.0038,2.526,-0.0119
113,22.6,1195.9,0.0092,0.0459,0.0392,0.0503,0.1202,0.6444,0.0886,484.3965,0.3873,1.5628,0.0038,2.5327,-0.0123
114,22.8,1192.7,0.0089,0.0458,0.0388,0.0496,0.1196,0.6459,0.0894,486.251,0.3898,1.5733,0.0038,2.5394,-0.0127
115,23.0,1189.4,0.0086,0.0456,0.0383,0.049,0.119,0.6473,0.0902,488.1086,0.3923,1.5838,0.0038,2.546,-0.0132
116,23.2,1185.8,0.0084,0.0454,0.0378,0.0483,0.1183,0.6488,0.091,489.9694,0.395,1.5918,0.0031,2.5509,-0.0123
117,23.4,1182.3,0.0081,0.0452,0.0374,0.0477,0.1177,0.6502,0.0917,491.8333,0.3977,1.5997,0.0024,2.5558,-0.0115
118,23.6,1178.7,0.0079,0.045,0.0369,0.047,0.117,0.6516,0.0925,493.6902,0.4003,1.6076,0.0017,2.5608,-0.0107
119,23.8,1175.1,0.0077,0.0448,0.0365,0.0464,0.1164,0.653,0.0933,495.53,0.403,1.6155,0.0011,2.5657,-0.0098
120,24.0,1171.6,0.0074,0.0446,0.036,0.0457,0.1158,0.6544,0.0941,497.3731,0.4056,1.6233,0.0004,2.5706,-0.009
121,24.2,1168.0,0.0072,0.0445,0.0356,0.0451,0.1151,0.6558,0.0949,499.2094,0.4082,1.6311,-0.0003,2.5755,-0.0081
122,24.4,1164.4,0.007,0.0443,0.0351,0.0444,0.1145,0.6572,0.0956,501.0289,0.4108,1.6389,-0.001,2.5804,-0.0073
123,24.6,1160.9,0.0068,0.0441,0.0347,0.0438,0.1138,0.6586,0.0964,502.8519,0.4134,1.6466,-0.0017,2.5853,-0.0065
124,24.8,1157.3,0.0065,0.0439,0.0342,0.0431,0.1132,0.66,0.0972,504.6682,0.416,1.6542,-0.0024,2.5902,-0.0056
125,25.0,1153.7,0.0063,0.0437,0.0338,0.0425,0.1125,0.6614,0.098,506.478,0.4185,1.6619,-0.0031,2.5952,-0.0048
126,25.2,1150.3,0.0061,0.0435,0.0333,0.0419,0.1119,0.6627,0.0987,507.8681,0.4206,1.6669,-0.0033,2.5993,-0.0044
127,25.4,1146.8,0.0059,0.0433,0.0329,0.0413,0.1113,0.664,0.0994,509.2642,0.4227,1.6719,-0.0034,2.6035,-0.0039
128,25.6,1143.4,0.0058,0.0432,0.0325,0.0407,0.1107,0.6653,0.1002,510.6466,0.4248,1.6769,-0.0036,2.6076,-0.0035
129,25.8,1140.0,0.0056,0.043,0.0321,0.0401,0.1101,0.6666,0.1009,512.0352,0.4268,1.6819,-0.0037,2.6117,-0.003
130,26.0,1136.5,0.0054,0.0428,0.0316,0.0395,0.1095,0.6679,0.1016,513.4102,0.4289,1.6868,-0.0039,2.6159,-0.0026
131,26.2,1133.1,0.0052,0.0426,0.0312,0.0389,0.1089,0.6692,0.1024,514.7912,0.4309,1.6918,-0.004,2.62,-0.0021
132,26.4,1129.6,0.0051,0.0425,0.0308,0.0383,0.1083,0.6705,0.1031,516.1589,0.4329,1.6967,-0.0042,2.6242,-0.0017
133,26.6,1126.2,0.0049,0.0423,0.0304,0.0377,0.1076,0.6718,0.1038,517.5326,0.435,1.7016,-0.0043,2.6283,-0.0012
134,26.8,1122.7,0.0047,0.0421,0.0299,0.0371,0.107,0.673,0.1045,518.8931,0.437,1.7065,-0.0045,2.6325,-0.0008
135,27.0,1119.3,0.0045,0.0419,0.0295,0.0365,0.1064,0.6743,0.1053,520.2596,0.439,1.7114,-0.0047,2.6366,-0.0003
136,27.2,1115.9,0.0044,0.0418,0.0291,0.0359,0.1058,0.6755,0.1059,521.2101,0.4407,1.7157,-0.0045,2.6386,0.0
137,27.4,1112.6,0.0043,0.0416,0.0287,0.0354,0.1053,0.6766,0.1066,522.1686,0.4425,1.72,-0.0044,2.6405,0.0004
138,27.6,1109.2,0.0042,0.0414,0.0283,0.0349,0.1047,0.6778,0.1073,523.1157,0.4443,1.7243,-0.0043,2.6424,0.0008
139,27.8,1105.8,0.004,0.0413,0.0279,0.0343,0.1041,0.679,0.108,524.0611,0.446,1.7286,-0.0041,2.6443,0.0012
140,28.0,1102.5,0.0039,0.0411,0.0275,0.0338,0.1035,0.6801,0.1087,525.0143,0.4478,1.7328,-0.004,2.6463,0.0016
141,28.2,1099.1,0.0038,0.0409,0.0271,0.0332,0.1029,0.6813,0.1093,525.9563,0.4495,1.7371,-0.0039,2.6482,0.002
142,28.4,1095.7,0.0036,0.0408,0.0268,0.0327,0.1023,0.6824,0.11,526.8966,0.4513,1.7414,-0.0037,2.6501,0.0024
143,28.6,1092.4,0.0035,0.0406,0.0264,0.0321,0.1017,0.6836,0.1107,527.8447,0.453,1.7456,-0.0036,2.652,0.0028
144,28.8,1089.0,0.0034,0.0404,0.026,0.0316,0.1012,0.6848,0.1114,528.7816,0.4547,1.7498,-0.0035,2.6539,0.0032
145,29.0,1085.6,0.0032,0.0403,0.0256,0.0311,0.1006,0.6859,0.112,529.7169,0.4564,1.754,-0.0033,2.6559,0.0035
146,29.2,1082.3,0.0031,0.0401,0.0252,0.0306,0.1,0.687,0.1127,530.2264,0.4579,1.7558,-0.0033,2.658,0.0045
147,29.4,1078.9,0.0031,0.0399,0.0248,0.0301,0.0994,0.6881,0.1133,530.7259,0.4593,1.7577,-0.0033,2.6602,0.0054
148,29.6,1075.5,0.003,0.0398,0.0245,0.0296,0.0989,0.6891,0.114,531.2344,0.4607,1.7595,-0.0032,2.6623,0.0063
149,29.8,1072.1,0.0029,0.0396,0.0241,0.0291,0.0983,0.6902,0.1146,531.733,0.4621,1.7613,-0.0032,2.6645,0.0072
150,30.0,1068.7,0.0028,0.0394,0.0238,0.0286,0.0977,0.6913,0.1153,532.2405,0.4635,1.7632,-0.0032,2.6667,0.0081
151,30.2,1065.3,0.0027,0.0393,0.0234,0.0281,0.0971,0.6924,0.1159,532.7382,0.4649,1.765,-0.0031,2.6688,0.009
152,30.4,1061.9,0.0026,0.0391,0.023,0.0276,0.0966,0.6934,0.1166,533.2448,0.4663,1.7668,-0.0031,2.671,0.0099
153,30.6,1058.5,0.0025,0.0389,0.0227,0.0271,0.096,0.6945,0.1172,533.7415,0.4677,1.7686,-0.0031,2.6731,0.0108
154,30.8,1055.1,0.0024,0.0387,0.0223,0.0266,0.0954,0.6956,0.1179,534.2471,0.469,1.7705,-0.0031,2.6753,0.0117
155,31.0,1051.7,0.0023,0.0386,0.0219,0.0261,0.0948,0.6966,0.1185,534.7429,0.4704,1.7723,-0.003,2.6774,0.0126
156,31.2,1048.0,0.0022,0.0384,0.0216,0.0257,0.0943,0.6976,0.1192,534.8738,0.4714,1.773,-0.0032,2.6778,0.0128
157,31.4,1044.3,0.0021,0.0382,0.0213,0.0252,0.0937,0.6986,0.1198,534.9953,0.4724,1.7737,-0.0033,2.6782,0.0129
158,31.6,1040.6,0.0021,0.038,0.0209,0.0248,0.0931,0.6996,0.1205,535.1168,0.4733,1.7744,-0.0035,2.6785,0.0131
159,31.8,1036.9,0.002,0.0379,0.0206,0.0243,0.0925,0.7006,0.1211,535.2383,0.4743,1.7751,-0.0036,2.6789,0.0132
160,32.0,1033.2,0.0019,0.0377,0.0203,0.0239,0.0919,0.7016,0.1218,535.369,0.4753,1.7758,-0.0037,2.6792,0.0134
161,32.2,1029.5,0.0019,0.0375,0.0199,0.0235,0.0913,0.7026,0.1224,535.4904,0.4763,1.7765,-0.0039,2.6796,0.0135
162,32.4,1025.8,0.0018,0.0373,0.0196,0.023,0.0907,0.7036,0.123,535.6118,0.4772,1.7772,-0.004,2.6799,0.0137
163,32.6,1022.2,0.0017,0.0371,0.0193,0.0226,0.0901,0.7045,0.1237,535.7331,0.4782,1.7779,-0.0042,2.6803,0.0138
164,32.8,1018.5,0.0017,0.0369,0.0189,0.0221,0.0895,0.7055,0.1244,535.8545,0.4791,1.7786,-0.0043,2.6806,0.014
165,33.0,1014.8,0.0016,0.0368,0.0186,0.0217,0.0889,0.7065,0.125,535.9851,0.4801,1.7793,-0.0045,2.681,0.0142
166,33.2,1011.2,0.0016,0.0366,0.0183,0.0213,0.0883,0.7074,0.1256,535.6491,0.4806,1.7783,-0.0043,2.681,0.0133
167,33.4,1007.7,0.0015,0.0364,0.018,0.0209,0.0878,0.7083,0.1262,535.313,0.4811,1.7772,-0.0041,2.681,0.0124
168,33.6,1004.1,0.0015,0.0362,0.0177,0.0205,0.0872,0.7091,0.1268,534.9766,0.4816,1.7762,-0.004,2.6811,0.0116
169,33.8,1000.6,0.0014,0.0361,0.0174,0.0202,0.0867,0.71,0.1274,534.6401,0.4821,1.7752,-0.0038,2.6811,0.0107
170,34.0,997.02,0.0014,0.0359,0.0171,0.0198,0.0861,0.7109,0.128,534.3033,0.4826,1.7741,-0.0036,2.6811,0.0099
171,34.2,993.47,0.0013,0.0357,0.0168,0.0194,0.0855,0.7118,0.1286,533.9663,0.4831,1.7731,-0.0034,2.6811,0.009
172,34.4,989.92,0.0013,0.0355,0.0165,0.019,0.085,0.7127,0.1292,533.6291,0.4836,1.7721,-0.0033,2.6812,0.0081
173,34.6,986.37,0.0012,0.0354,0.0162,0.0186,0.0844,0.7136,0.1298,533.2917,0.4841,1.771,-0.0031,2.6812,0.0073
174,34.8,982.82,0.0012,0.0352,0.0159,0.0182,0.0839,0.7144,0.1304,532.954,0.4846,1.77,-0.0029,2.6812,0.0064
175,35.0,979.27,0.0011,0.035,0.0156,0.0179,0.0833,0.7153,0.131,532.6162,0.4851,1.769,-0.0028,2.6813,0.0056
176,35.2,975.8,0.0011,0.0348,0.0154,0.0175,0.0828,0.7161,0.1315,531.9304,0.4858,1.7674,-0.0031,2.6811,0.0057
177,35.4,972.32,0.0011,0.0347,0.0151,0.0172,0.0822,0.7169,0.1321,531.2438,0.4865,1.7658,-0.0035,2.681,0.0057
178,35.6,968.85,0.001,0.0345,0.0148,0.0169,0.0817,0.7177,0.1326,530.5563,0.4871,1.7643,-0.0038,2.6808,0.0058
179,35.8,965.37,0.001,0.0343,0.0146,0.0165,0.0812,0.7184,0.1332,529.8679,0.4878,1.7627,-0.0041,2.6807,0.0059
180,36.0,961.89,0.001,0.0342,0.0143,0.0162,0.0806,0.7192,0.1338,529.1881,0.4885,1.7611,-0.0045,2.6805,0.006
181,36.2,958.42,0.0009,0.034,0.0141,0.0159,0.0801,0.72,0.1343,528.4979,0.4892,1.7595,-0.0048,2.6804,0.0061
