,z(cm),TMean(K),X_CH3OHMean,X_CO2Mean,X_COMean,X_H2Mean,X_H2OMean,X_N2Mean,X_O2Mean,T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uruz_cov(m/s)
19,3.8,1078.2,0.1639,0.0454,0.0657,0.0935,0.13,0.4602,0.036,376.6032,0.2398,0.3408,0.0062,0.4475,-0.0022
20,4.0,1090.8,0.1563,0.046,0.0662,0.0941,0.1316,0.4645,0.0361,375.6062,0.2414,0.3503,0.006,0.4794,-0.0021
21,4.2,1103.4,0.1486,0.0465,0.0667,0.0947,0.1332,0.4688,0.0362,374.6198,0.2429,0.3596,0.0057,0.5112,-0.0021
22,4.4,1115.4,0.1415,0.0471,0.067,0.0951,0.1347,0.473,0.0362,373.8984,0.2445,0.3694,0.0056,0.5435,-0.0019
23,4.6,1126.2,0.1353,0.0476,0.0673,0.0952,0.136,0.4769,0.0364,373.7646,0.2459,0.3804,0.0056,0.5769,-0.0015
24,4.8,1137.0,0.1292,0.0481,0.0675,0.0953,0.1372,0.4809,0.0366,373.6308,0.2474,0.3911,0.0056,0.6103,-0.0011
25,5.0,1147.8,0.1231,0.0486,0.0677,0.0954,0.1384,0.4848,0.0368,373.4836,0.2489,0.4015,0.0056,0.6437,-0.0007
26,5.2,1156.1,0.118,0.0489,0.0676,0.0952,0.1393,0.4886,0.0372,373.43,0.2493,0.4142,0.0051,0.6766,0.0002
27,5.4,1164.5,0.1129,0.0493,0.0676,0.095,0.1401,0.4924,0.0376,373.3631,0.2498,0.4266,0.0046,0.7095,0.0011
28,5.6,1172.9,0.1078,0.0496,0.0675,0.0948,0.1409,0.4962,0.038,373.3095,0.2502,0.4386,0.0041,0.7425,0.002
29,5.8,1179.6,0.1033,0.0499,0.0673,0.0944,0.1415,0.4999,0.0386,373.0684,0.2503,0.4519,0.0035,0.7752,0.003
30,6.0,1185.3,0.0991,0.0501,0.0671,0.094,0.1419,0.5035,0.0392,372.7466,0.2502,0.4655,0.0028,0.8079,0.0042
31,6.2,1191.1,0.0948,0.0503,0.0669,0.0935,0.1423,0.5072,0.0399,372.4111,0.25,0.4788,0.0021,0.8405,0.0053
32,6.4,1196.2,0.0908,0.0505,0.0666,0.093,0.1426,0.5108,0.0405,372.3574,0.25,0.4926,0.0013,0.8729,0.0064
33,6.6,1200.1,0.0873,0.0507,0.0663,0.0924,0.1427,0.5143,0.0413,372.827,0.2503,0.5078,0.0003,0.9048,0.0073
34,6.8,1204.0,0.0837,0.0508,0.0659,0.0918,0.1429,0.5178,0.0421,373.2961,0.2506,0.5225,-0.0007,0.9367,0.0082
35,7.0,1207.8,0.0802,0.0509,0.0656,0.0911,0.143,0.5214,0.0429,373.7646,0.2509,0.5367,-0.0016,0.9686,0.0091
36,7.2,1210.8,0.0772,0.051,0.0651,0.0904,0.143,0.5247,0.0437,374.98,0.2508,0.5515,-0.0025,1.0004,0.0097
37,7.4,1213.8,0.0742,0.0511,0.0647,0.0896,0.143,0.528,0.0446,376.1914,0.2507,0.5658,-0.0033,1.0323,0.0103
38,7.6,1216.7,0.0712,0.0512,0.0642,0.0889,0.143,0.5313,0.0454,377.4122,0.2506,0.5798,-0.0042,1.0642,0.0108
39,7.8,1219.1,0.0686,0.0512,0.0638,0.0881,0.143,0.5345,0.0462,378.8799,0.2504,0.5945,-0.0053,1.0956,0.0113
40,8.0,1221.3,0.066,0.0513,0.0633,0.0873,0.1429,0.5375,0.047,380.4734,0.25,0.6093,-0.0066,1.1268,0.0117
41,8.2,1223.4,0.0635,0.0513,0.0628,0.0866,0.1428,0.5406,0.0478,382.0471,0.2497,0.6238,-0.0078,1.158,0.0121
42,8.4,1225.4,0.0611,0.0514,0.0623,0.0858,0.1427,0.5436,0.0486,383.7317,0.2494,0.6384,-0.0089,1.1888,0.0123
43,8.6,1227.0,0.0589,0.0514,0.0618,0.0849,0.1425,0.5465,0.0495,385.6034,0.2494,0.6535,-0.0097,1.2188,0.0121
44,8.8,1228.7,0.0568,0.0514,0.0613,0.0841,0.1423,0.5494,0.0503,387.479,0.2494,0.6682,-0.0105,1.2488,0.0118
45,9.0,1230.3,0.0546,0.0515,0.0608,0.0833,0.1422,0.5522,0.0511,389.3328,0.2493,0.6826,-0.0113,1.2788,0.0116
46,9.2,1232.5,0.0527,0.0515,0.0603,0.0824,0.1421,0.5549,0.0518,390.8324,0.2496,0.6968,-0.012,1.3084,0.0115
47,9.4,1234.8,0.0508,0.0516,0.0597,0.0816,0.142,0.5575,0.0525,392.3264,0.25,0.7106,-0.0127,1.338,0.0114
48,9.6,1237.0,0.0489,0.0516,0.0592,0.0807,0.1419,0.5602,0.0532,393.802,0.2503,0.7242,-0.0135,1.3676,0.0112
49,9.8,1239.4,0.0472,0.0517,0.0587,0.0799,0.1418,0.5627,0.0538,395.0696,0.2508,0.7376,-0.014,1.3964,0.0109
50,10.0,1241.9,0.0456,0.0518,0.0581,0.079,0.1418,0.5652,0.0545,396.2323,0.2515,0.7509,-0.0145,1.4248,0.0105
51,10.2,1244.3,0.044,0.0519,0.0576,0.0781,0.1417,0.5676,0.0551,397.3789,0.2521,0.7639,-0.015,1.4532,0.0101
52,10.4,1246.6,0.0424,0.052,0.0571,0.0772,0.1416,0.57,0.0557,398.6352,0.2529,0.7766,-0.0155,1.4811,0.0098
53,10.6,1248.6,0.0411,0.052,0.0565,0.0763,0.1415,0.5724,0.0564,400.0875,0.2539,0.7891,-0.0159,1.5079,0.0096
54,10.8,1250.6,0.0397,0.0521,0.0559,0.0754,0.1414,0.5748,0.057,401.547,0.255,0.8014,-0.0163,1.5347,0.0094
55,11.0,1252.5,0.0383,0.0522,0.0553,0.0744,0.1412,0.5771,0.0576,403.0012,0.256,0.8135,-0.0168,1.5615,0.0092
56,11.2,1253.9,0.0371,0.0522,0.0547,0.0734,0.141,0.5795,0.0584,404.9691,0.2578,0.8269,-0.017,1.5878,0.0087
57,11.4,1255.2,0.0358,0.0522,0.054,0.0724,0.1408,0.582,0.0591,406.9275,0.2595,0.8401,-0.0173,1.6141,0.0082
58,11.6,1256.6,0.0346,0.0523,0.0534,0.0714,0.1406,0.5844,0.0598,408.8765,0.2612,0.8531,-0.0175,1.6404,0.0078
59,11.8,1257.4,0.0335,0.0523,0.0527,0.0705,0.1403,0.5867,0.0605,410.5119,0.2631,0.8664,-0.0175,1.6649,0.0074
60,12.0,1258.1,0.0324,0.0523,0.0521,0.0695,0.14,0.5889,0.0612,412.0801,0.265,0.8796,-0.0174,1.6891,0.0071
61,12.2,1258.7,0.0314,0.0523,0.0515,0.0686,0.1397,0.5911,0.0619,413.6424,0.2668,0.8925,-0.0173,1.7133,0.0068
62,12.4,1259.1,0.0304,0.0523,0.0509,0.0676,0.1394,0.5933,0.0627,414.994,0.2687,0.9055,-0.0175,1.7364,0.0068
63,12.6,1259.0,0.0295,0.0523,0.0502,0.0667,0.139,0.5954,0.0634,416.137,0.2706,0.9185,-0.0179,1.7585,0.0072
64,12.8,1259.0,0.0286,0.0523,0.0496,0.0658,0.1386,0.5976,0.0641,417.2649,0.2724,0.9314,-0.0183,1.7806,0.0076
65,13.0,1258.9,0.0277,0.0523,0.049,0.0649,0.1382,0.5997,0.0649,418.3898,0.2743,0.944,-0.0188,1.8027,0.008
66,13.2,1258.1,0.0269,0.0522,0.0484,0.0641,0.1378,0.6017,0.0657,419.4043,0.2765,0.9563,-0.0184,1.824,0.0079
67,13.4,1257.3,0.0261,0.0522,0.0479,0.0632,0.1373,0.6037,0.0664,420.4165,0.2787,0.9685,-0.018,1.8451,0.0076
68,13.6,1256.4,0.0253,0.0521,0.0473,0.0623,0.1369,0.6058,0.0672,421.4143,0.281,0.9805,-0.0176,1.8663,0.0074
69,13.8,1255.5,0.0245,0.052,0.0467,0.0615,0.1364,0.6078,0.068,422.4216,0.2832,0.9924,-0.0172,1.8874,0.0071
70,14.0,1253.7,0.0238,0.0519,0.0461,0.0607,0.1358,0.6097,0.0689,423.7806,0.2853,1.0056,-0.0172,1.9053,0.0071
71,14.2,1252.0,0.0231,0.0518,0.0456,0.0599,0.1353,0.6116,0.0697,425.1353,0.2873,1.0186,-0.0171,1.9232,0.0071
72,14.4,1250.2,0.0224,0.0517,0.045,0.0591,0.1347,0.6136,0.0705,426.4856,0.2894,1.0316,-0.0171,1.9411,0.0071
73,14.6,1248.4,0.0217,0.0516,0.0444,0.0583,0.1342,0.6155,0.0714,427.8317,0.2914,1.0443,-0.017,1.9591,0.0071
74,14.8,1246.0,0.0211,0.0514,0.0439,0.0575,0.1336,0.6174,0.0722,429.4997,0.2934,1.0569,-0.0161,1.976,0.0063
75,15.0,1243.5,0.0205,0.0513,0.0434,0.0567,0.133,0.6192,0.0731,431.2076,0.2954,1.0694,-0.015,1.9929,0.0054
76,15.2,1241.1,0.0199,0.0511,0.0429,0.056,0.1323,0.6211,0.074,432.9088,0.2974,1.0817,-0.014,2.0097,0.0045
77,15.4,1238.6,0.0193,0.051,0.0423,0.0552,0.1317,0.6229,0.0748,434.6033,0.2993,1.0939,-0.0129,2.0265,0.0036
78,15.6,1236.0,0.0188,0.0508,0.0418,0.0545,0.1311,0.6247,0.0757,436.3829,0.3013,1.1061,-0.0123,2.0422,0.0031
79,15.8,1233.4,0.0182,0.0506,0.0413,0.0537,0.1305,0.6265,0.0765,438.2693,0.3034,1.1182,-0.012,2.0565,0.0032
80,16.0,1230.8,0.0177,0.0505,0.0408,0.053,0.1298,0.6283,0.0774,440.1477,0.3055,1.1302,-0.0118,2.0708,0.0033
81,16.2,1228.2,0.0172,0.0503,0.0403,0.0522,0.1292,0.63,0.0782,442.0181,0.3076,1.142,-0.0116,2.0851,0.0034
82,16.4,1225.5,0.0167,0.0501,0.0397,0.0515,0.1286,0.6318,0.0791,443.8806,0.3097,1.1538,-0.0114,2.0994,0.0034
83,16.6,1222.9,0.0162,0.05,0.0392,0.0507,0.128,0.6335,0.0799,445.668,0.3115,1.165,-0.0114,2.1129,0.0038
84,16.8,1220.4,0.0157,0.0498,0.0387,0.05,0.1274,0.6352,0.0807,447.4036,0.3133,1.1761,-0.0114,2.126,0.0043
85,17.0,1217.8,0.0153,0.0497,0.0382,0.0492,0.1268,0.6369,0.0815,449.1325,0.315,1.187,-0.0115,2.1391,0.0048
86,17.2,1215.3,0.0148,0.0495,0.0377,0.0485,0.1262,0.6385,0.0823,450.8547,0.3167,1.1978,-0.0115,2.1522,0.0053
87,17.4,1212.7,0.0144,0.0494,0.0372,0.0478,0.1256,0.6402,0.0832,452.5704,0.3184,1.2085,-0.0116,2.1653,0.0058
88,17.6,1209.9,0.014,0.0492,0.0367,0.047,0.1249,0.6419,0.084,454.2686,0.3202,1.2196,-0.0116,2.177,0.0055
89,17.8,1206.9,0.0136,0.049,0.0361,0.0463,0.1243,0.6436,0.0848,455.9496,0.3219,1.231,-0.0115,2.1877,0.0047
90,18.0,1203.8,0.0132,0.0488,0.0356,0.0456,0.1236,0.6452,0.0857,457.6352,0.3237,1.2423,-0.0114,2.1985,0.004
91,18.2,1200.8,0.0128,0.0487,0.0351,0.0448,0.123,0.6469,0.0865,459.3038,0.3254,1.2535,-0.0113,2.2092,0.0032
92,18.4,1197.8,0.0124,0.0485,0.0346,0.0441,0.1223,0.6486,0.0874,460.9664,0.3272,1.2646,-0.0112,2.2199,0.0024
93,18.6,1194.7,0.012,0.0483,0.0341,0.0433,0.1216,0.6502,0.0882,462.5797,0.329,1.2753,-0.0112,2.2305,0.0017
94,18.8,1191.3,0.0117,0.0481,0.0335,0.0426,0.1209,0.6518,0.0891,463.8211,0.3315,1.2846,-0.0114,2.2401,0.0016
95,19.0,1187.9,0.0114,0.048,0.033,0.0419,0.1202,0.6535,0.09,465.0699,0.3339,1.2938,-0.0116,2.2497,0.0015
96,19.2,1184.6,0.0111,0.0478,0.0325,0.0412,0.1195,0.6551,0.0908,466.3153,0.3364,1.303,-0.0118,2.2593,0.0014
97,19.4,1181.2,0.0107,0.0476,0.032,0.0405,0.1188,0.6567,0.0917,467.5575,0.3388,1.3121,-0.0121,2.2689,0.0013
98,19.6,1177.8,0.0104,0.0474,0.0315,0.0398,0.1181,0.6583,0.0926,468.7857,0.3412,1.3211,-0.0123,2.2785,0.0012
99,19.8,1174.2,0.0101,0.0472,0.031,0.0391,0.1174,0.6599,0.0934,469.883,0.3436,1.3302,-0.0124,2.2875,0.0011
100,20.0,1170.4,0.0098,0.047,0.0305,0.0384,0.1166,0.6614,0.0943,470.606,0.3459,1.3393,-0.0122,2.295,0.0009
101,20.2,1166.5,0.0095,0.0468,0.03,0.0378,0.1159,0.663,0.0952,471.3173,0.3483,1.3484,-0.0121,2.3025,0.0007
102,20.4,1162.6,0.0093,0.0465,0.0295,0.0371,0.1151,0.6645,0.0961,472.0381,0.3506,1.3575,-0.0119,2.31,0.0005
103,20.6,1158.7,0.009,0.0463,0.029,0.0365,0.1144,0.666,0.097,472.7579,0.3529,1.3665,-0.0118,2.3175,0.0004
104,20.8,1154.8,0.0087,0.0461,0.0286,0.0358,0.1136,0.6676,0.0978,473.4765,0.3552,1.3755,-0.0116,2.325,0.0002
105,21.0,1150.9,0.0084,0.0459,0.0281,0.0352,0.1129,0.6691,0.0987,474.1835,0.3575,1.3843,-0.0115,2.3325,-0.0
106,21.2,1146.6,0.0082,0.0457,0.0276,0.0346,0.1121,0.6705,0.0996,474.7947,0.3597,1.3916,-0.0116,2.3383,-0.0002
107,21.4,1142.2,0.008,0.0454,0.0272,0.034,0.1113,0.6719,0.1005,475.4051,0.3618,1.3988,-0.0116,2.3441,-0.0004
108,21.6,1137.9,0.0077,0.0452,0.0268,0.0334,0.1105,0.6734,0.1014,476.0147,0.3639,1.406,-0.0117,2.3499,-0.0007
109,21.8,1133.6,0.0075,0.0449,0.0263,0.0328,0.1098,0.6748,0.1022,476.6235,0.366,1.4131,-0.0118,2.3556,-0.0009
110,22.0,1129.2,0.0073,0.0447,0.0259,0.0323,0.109,0.6762,0.1031,477.2316,0.3681,1.4202,-0.0119,2.3614,-0.0011
111,22.2,1124.9,0.007,0.0445,0.0254,0.0317,0.1082,0.6776,0.104,477.8389,0.3702,1.4273,-0.0119,2.3672,-0.0013
112,22.4,1120.5,0.0068,0.0442,0.025,0.0311,0.1074,0.679,0.1049,478.4663,0.3724,1.4343,-0.0119,2.3725,-0.0017
113,22.6,1116.0,0.0066,0.044,0.0246,0.0305,0.1066,0.6804,0.1058,479.1242,0.3749,1.4411,-0.0116,2.3768,-0.0024
114,22.8,1111.5,0.0064,0.0437,0.0242,0.03,0.1059,0.6817,0.1066,479.7916,0.3775,1.4479,-0.0114,2.3811,-0.0032
115,23.0,1107.0,0.0062,0.0435,0.0238,0.0295,0.1051,0.6831,0.1075,480.4477,0.38,1.4546,-0.0111,2.3854,-0.0039
116,23.2,1102.5,0.006,0.0432,0.0234,0.0289,0.1043,0.6844,0.1083,481.1133,0.3825,1.4614,-0.0108,2.3898,-0.0047
117,23.4,1098.0,0.0058,0.043,0.023,0.0284,0.1036,0.6857,0.1092,481.778,0.3849,1.4681,-0.0106,2.3941,-0.0054
118,23.6,1093.5,0.0056,0.0427,0.0226,0.0278,0.1028,0.6871,0.11,482.4313,0.3874,1.4747,-0.0103,2.3984,-0.0061
119,23.8,1089.0,0.0055,0.0425,0.0222,0.0273,0.102,0.6883,0.1109,483.0528,0.3898,1.4803,-0.0102,2.402,-0.0065
120,24.0,1084.5,0.0053,0.0422,0.0218,0.0268,0.1013,0.6896,0.1117,483.6631,0.3921,1.4853,-0.0101,2.4054,-0.0068
121,24.2,1080.0,0.0051,0.042,0.0214,0.0263,0.1005,0.6908,0.1125,484.2623,0.3944,1.4903,-0.0101,2.4087,-0.007
122,24.4,1075.5,0.005,0.0417,0.0211,0.0258,0.0998,0.6921,0.1133,484.8608,0.3967,1.4952,-0.01,2.412,-0.0072
123,24.6,1071.0,0.0048,0.0415,0.0207,0.0253,0.099,0.6933,0.1142,485.4585,0.399,1.5002,-0.01,2.4154,-0.0074
124,24.8,1066.5,0.0047,0.0412,0.0203,0.0248,0.0983,0.6945,0.115,486.0658,0.4013,1.5051,-0.01,2.4187,-0.0077
125,25.0,1062.0,0.0045,0.041,0.0199,0.0243,0.0975,0.6958,0.1158,486.6621,0.4035,1.51,-0.0099,2.422,-0.0079
126,25.2,1057.3,0.0044,0.0407,0.0196,0.0238,0.0968,0.6969,0.1166,486.9908,0.4064,1.5137,-0.0095,2.4245,-0.0079
127,25.4,1052.6,0.0042,0.0405,0.0192,0.0234,0.096,0.6981,0.1174,487.3089,0.4093,1.5174,-0.009,2.427,-0.0079
128,25.6,1047.9,0.0041,0.0402,0.0189,0.0229,0.0953,0.6992,0.1182,487.6372,0.4122,1.5211,-0.0085,2.4296,-0.0079
129,25.8,1043.2,0.004,0.04,0.0185,0.0225,0.0945,0.7004,0.119,487.9549,0.415,1.5248,-0.0081,2.4321,-0.0079
130,26.0,1038.5,0.0038,0.0397,0.0182,0.022,0.0938,0.7015,0.1198,488.2827,0.4178,1.5285,-0.0076,2.4346,-0.0079
131,26.2,1033.8,0.0037,0.0395,0.0179,0.0216,0.093,0.7027,0.1206,488.6103,0.4206,1.5322,-0.0071,2.4371,-0.0079
132,26.4,1029.1,0.0036,0.0392,0.0175,0.0211,0.0923,0.7038,0.1214,488.8456,0.4232,1.5355,-0.0067,2.4391,-0.0078
133,26.6,1024.2,0.0035,0.0389,0.0172,0.0207,0.0915,0.7049,0.1222,488.9172,0.4252,1.5382,-0.0064,2.4402,-0.0076
134,26.8,1019.3,0.0034,0.0387,0.0169,0.0204,0.0908,0.7059,0.123,488.9888,0.4273,1.5409,-0.006,2.4413,-0.0074
135,27.0,1014.3,0.0033,0.0384,0.0166,0.02,0.09,0.707,0.1238,489.0603,0.4293,1.5436,-0.0057,2.4423,-0.0072
136,27.2,1009.4,0.0032,0.0381,0.0163,0.0196,0.0892,0.708,0.1246,489.1319,0.4313,1.5463,-0.0053,2.4434,-0.007
137,27.4,1004.5,0.0031,0.0379,0.016,0.0192,0.0885,0.7091,0.1254,489.2034,0.4333,1.549,-0.005,2.4445,-0.0069
138,27.6,999.59,0.003,0.0376,0.0157,0.0188,0.0877,0.7102,0.1262,489.275,0.4353,1.5516,-0.0047,2.4456,-0.0067
139,27.8,994.99,0.0029,0.0373,0.0154,0.0184,0.087,0.7111,0.1269,489.1625,0.4366,1.553,-0.0044,2.4466,-0.006
140,28.0,990.54,0.0028,0.0371,0.0151,0.0181,0.0864,0.712,0.1276,488.9581,0.4376,1.5537,-0.0041,2.4477,-0.005
141,28.2,986.09,0.0027,0.0369,0.0149,0.0177,0.0857,0.713,0.1283,488.7637,0.4386,1.5544,-0.0039,2.4487,-0.004
142,28.4,981.65,0.0026,0.0366,0.0146,0.0174,0.085,0.7139,0.129,488.5591,0.4395,1.5552,-0.0037,2.4498,-0.003
143,28.6,977.2,0.0025,0.0364,0.0143,0.017,0.0844,0.7148,0.1297,488.3544,0.4405,1.5559,-0.0034,2.4509,-0.0021
144,28.8,972.75,0.0025,0.0361,0.0141,0.0167,0.0837,0.7157,0.1304,488.1496,0.4415,1.5566,-0.0032,2.4519,-0.0011
145,29.0,968.3,0.0024,0.0359,0.0138,0.0164,0.083,0.7167,0.1311,487.9447,0.4424,1.5573,-0.003,2.453,-0.0001
146,29.2,964.05,0.0023,0.0357,0.0136,0.0161,0.0824,0.7175,0.1317,487.4833,0.4433,1.558,-0.0028,2.4533,0.0004
147,29.4,959.79,0.0022,0.0354,0.0133,0.0157,0.0817,0.7184,0.1324,487.0113,0.4442,1.5586,-0.0026,2.4537,0.0009
148,29.6,955.53,0.0022,0.0352,0.0131,0.0154,0.0811,0.7192,0.133,486.5491,0.4451,1.5593,-0.0024,2.454,0.0014
149,29.8,951.28,0.0021,0.035,0.0128,0.0151,0.0805,0.72,0.1337,486.0761,0.446,1.5599,-0.0023,2.4544,0.0019
150,30.0,947.02,0.002,0.0348,0.0126,0.0148,0.0798,0.7209,0.1344,485.6027,0.4469,1.5605,-0.0021,2.4547,0.0025
151,30.2,942.76,0.0019,0.0345,0.0124,0.0145,0.0792,0.7217,0.135,485.1392,0.4477,1.5612,-0.0019,2.4551,0.003
152,30.4,938.62,0.0019,0.0343,0.0121,0.0142,0.0786,0.7226,0.1356,484.572,0.4484,1.5609,-0.0019,2.4556,0.0034
153,30.6,934.73,0.0018,0.0341,0.0119,0.0139,0.078,0.7233,0.1362,483.7975,0.4484,1.5588,-0.0021,2.4564,0.0037
154,30.8,930.84,0.0018,0.0339,0.0117,0.0137,0.0774,0.7241,0.1368,483.0217,0.4485,1.5568,-0.0022,2.4573,0.0041
155,31.0,926.94,0.0017,0.0337,0.0115,0.0134,0.0768,0.7248,0.1374,482.2448,0.4485,1.5547,-0.0024,2.4582,0.0044
156,31.2,923.05,0.0016,0.0335,0.0112,0.0131,0.0762,0.7256,0.138,481.4665,0.4486,1.5526,-0.0026,2.459,0.0047
157,31.4,919.16,0.0016,0.0332,0.011,0.0128,0.0757,0.7264,0.1386,480.6974,0.4486,1.5505,-0.0028,2.4599,0.005
158,31.6,915.26,0.0015,0.033,0.0108,0.0126,0.0751,0.7271,0.1392,479.9167,0.4487,1.5484,-0.003,2.4607,0.0053
159,31.8,911.66,0.0015,0.0328,0.0106,0.0123,0.0745,0.7278,0.1398,479.1346,0.449,1.547,-0.0032,2.4613,0.0058
160,32.0,908.19,0.0014,0.0327,0.0104,0.012,0.074,0.7285,0.1403,478.3409,0.4494,1.5458,-0.0035,2.4616,0.0064
161,32.2,904.73,0.0014,0.0325,0.0102,0.0118,0.0735,0.7292,0.1408,477.5563,0.4499,1.5447,-0.0038,2.462,0.0071
162,32.4,901.27,0.0013,0.0323,0.01,0.0115,0.073,0.7299,0.1414,476.7704,0.4503,1.5436,-0.004,2.4623,0.0077
163,32.6,897.81,0.0013,0.0321,0.0098,0.0113,0.0725,0.7306,0.1419,475.9727,0.4508,1.5425,-0.0043,2.4627,0.0083
164,32.8,894.34,0.0012,0.0319,0.0096,0.011,0.072,0.7312,0.1424,475.1842,0.4512,1.5414,-0.0045,2.463,0.0089
165,33.0,890.88,0.0012,0.0317,0.0094,0.0108,0.0714,0.7319,0.143,474.3944,0.4517,1.5403,-0.0048,2.4634,0.0096
166,33.2,887.68,0.0011,0.0316,0.0093,0.0106,0.071,0.7325,0.1434,473.5927,0.452,1.5372,-0.0049,2.4642,0.0102
167,33.4,884.48,0.0011,0.0314,0.0091,0.0104,0.0705,0.7332,0.1439,472.7896,0.4523,1.5342,-0.0049,2.465,0.0108
168,33.6,881.28,0.001,0.0312,0.0089,0.0101,0.07,0.7338,0.1444,471.9852,0.4526,1.5311,-0.005,2.4658,0.0114
169,33.8,878.07,0.001,0.031,0.0087,0.0099,0.0696,0.7344,0.1449,471.1794,0.453,1.528,-0.005,2.4666,0.012
170,34.0,874.87,0.001,0.0309,0.0085,0.0097,0.0691,0.735,0.1454,470.3616,0.4533,1.525,-0.0051,2.4675,0.0126
171,34.2,871.67,0.0009,0.0307,0.0084,0.0095,0.0686,0.7356,0.1458,469.553,0.4536,1.5219,-0.0051,2.4683,0.0133
172,34.4,868.53,0.0009,0.0305,0.0082,0.0092,0.0681,0.7362,0.1463,468.711,0.4539,1.5187,-0.0051,2.4692,0.0139
173,34.6,865.51,0.0009,0.0304,0.008,0.0091,0.0677,0.7367,0.1468,467.8034,0.4542,1.5155,-0.0048,2.4703,0.0145
174,34.8,862.5,0.0008,0.0302,0.0079,0.0089,0.0673,0.7373,0.1472,466.894,0.4544,1.5122,-0.0045,2.4714,0.0152
175,35.0,859.48,0.0008,0.0301,0.0077,0.0087,0.0668,0.7378,0.1476,465.9828,0.4547,1.5089,-0.0042,2.4725,0.0158
176,35.2,856.47,0.0008,0.0299,0.0076,0.0085,0.0664,0.7384,0.1481,465.0699,0.4549,1.5057,-0.0039,2.4736,0.0165
177,35.4,853.45,0.0007,0.0297,0.0074,0.0083,0.066,0.7389,0.1485,464.1551,0.4552,1.5024,-0.0036,2.4747,0.0171
178,35.6,850.43,0.0007,0.0296,0.0073,0.0081,0.0655,0.7395,0.149,463.2386,0.4554,1.4991,-0.0034,2.4758,0.0178
179,35.8,847.42,0.0007,0.0294,0.0071,0.0079,0.0651,0.74,0.1494,462.2229,0.4559,1.4964,-0.0035,2.4763,0.0194
180,36.0,844.42,0.0006,0.0293,0.007,0.0078,0.0647,0.7405,0.1498,461.1616,0.4564,1.494,-0.0038,2.4766,0.0215
181,36.2,841.41,0.0006,0.0291,0.0069,0.0076,0.0642,0.7409,0.1502,460.0869,0.4569,1.4915,-0.0042,2.4769,0.0236
