s,kg/m2/s,,Hz,m2/s2/Hz2
19.7,0.0181295,322.096,65.22463,1689.30209951069
19.8,0.0187672,317.53,65.5574,1624.60798244749
19.9,0.01933,314.151,65.89018,1723.75448748073
20,0.0199599,312.567,66.22296,1623.25355333429
20.1,0.0199978,303.419,66.55574,2053.08184086807
20.2,0.0190996,289.556,66.88852,1544.36392064493
20.3,0.0182974,303.945,67.2213,1485.91110526392
20.4,0.017839,309.644,67.55408,1780.7057999856
20.5,0.0183308,324.118,67.88686,2049.86451826174
20.6,0.01926,335.213,68.21963,2203.90888545765
20.7,0.0204574,327.548,68.55241,1931.02564819308
20.8,0.020904,294.948,68.88519,1301.33768601785
20.9,0.0187938,309.594,69.21797,1807.50481303549
21,0.0170795,323.328,69.55075,1915.17062307608
21.1,0.0164852,315.986,69.88353,1661.79371780932
21.2,0.0178013,309.961,70.21631,2499.50838405557
21.3,0.0195113,303.305,70.54908,1659.84746471831
21.4,0.0204264,304.733,70.88186,1657.64434689941
21.5,0.0204959,308.23,71.21464,1679.64945850105
21.6,0.0183121,303.554,71.54742,2016.49977946443
21.7,0.0163096,302.169,71.8802,2153.23899226629
21.8,0.0161107,307.306,72.21298,1879.56180970423
21.9,0.0176303,328.462,72.54576,1527.73267591971
22,0.0191088,309.417,72.87854,1534.74081690263
22.1,0.0204784,305.949,73.21131,1754.91990671646
22.2,0.0210598,290.204,73.54409,2676.07057006466
22.3,0.0186864,281.832,73.87687,1572.5736766047
22.4,0.0162441,310.063,74.20965,1528.84157645039
22.5,0.0160713,301.45,74.54243,2130.96214427931
22.6,0.0171378,280.059,74.87521,2278.89654464659
22.7,0.0185561,295.279,75.20799,2982.12056917382
22.8,0.0199067,309.749,75.54077,2111.85962488865
22.9,0.0205475,309.518,75.87354,1592.94017609593
23,0.0191477,301.243,76.20632,1556.00562899337
23.1,0.017224,292.489,76.5391,2308.92730304459
23.2,0.0167905,315.538,76.87188,1127.83196374
23.3,0.0174163,283.015,77.20466,2369.52444702013
23.4,0.0186122,317.374,77.53744,1092.20967543002
23.5,0.0193209,311.574,77.87022,2864.33810636228
23.6,0.0202207,302.9,78.203,769.434524945663
23.7,0.0197828,303.434,78.53577,3277.52320186658
23.8,0.017755,291.931,78.86855,2386.87204897155
23.9,0.017564,286.689,79.20133,2301.20776116912
24,0.0171384,331.129,79.53411,2617.30134521885
24.1,0.0181986,293.506,79.86689,2554.83208830739
24.2,0.0194439,327.311,80.19967,1716.87076352772
24.3,0.0204643,300.333,80.53245,1990.21131778494
24.4,0.0199271,293.752,80.86522,1895.30796931187
24.5,0.0182586,301.195,81.198,1105.36302844605
24.6,0.0170787,323.12,81.53078,7416.88608563051
24.7,0.0170136,330.901,81.86356,2145.30285668472
24.8,0.0178311,326.115,82.19634,3744.93848239096
24.9,0.0194134,333.136,82.52912,2457.38960538203
25,0.0205201,308.815,82.8619,3480.37889191931
25.1,0.0206306,288.848,83.19468,2272.1720861599
25.2,0.0187014,282.451,83.52745,3141.29638909779
25.3,0.0172468,301.022,83.86023,2822.43187968367
25.4,0.0159587,318.128,84.19301,2464.68128470317
25.5,0.0170896,295.126,84.52579,1546.63092320059
25.6,0.0187891,303.5,84.85857,2595.66947347034
25.7,0.0202855,303.32,85.19135,2200.63984158203
25.8,0.021001,289.261,85.52413,3887.3859774763
25.9,0.0192176,283.836,85.85691,2474.12858386215
26,0.0160322,304.828,86.18968,2140.4311353286
26.1,0.0157742,365.034,86.52246,2238.92358620643
26.2,0.0167833,292.259,86.85524,3212.90684484087
26.3,0.0180636,310.063,87.18802,2579.96702049446
26.4,0.0198158,317.62,87.5208,2540.47086195389
26.5,0.0207637,316.133,87.85358,2018.93665274648
26.6,0.0198111,298.808,88.18636,3145.80705628461
26.7,0.0166121,292.602,88.51913,2730.21873293673
26.8,0.0151854,288.07,88.85191,3237.84581420233
26.9,0.0159593,269.048,89.18469,2180.77798575267
27,0.0177927,266.174,89.51747,2626.84991019782
27.1,0.0192797,282.513,89.85025,2540.72780151554
27.2,0.0202079,293.084,90.18303,2760.00819400847
27.3,0.019492,298.659,90.51581,2870.22184053451
27.4,0.0171119,309.513,90.84859,3172.92989297897
27.5,0.0162004,334.586,91.18136,2680.39723121826
27.6,0.0167251,292.415,91.51414,2651.64168585052
27.7,0.0177586,290.308,91.84692,3002.20722144864
27.8,0.0186863,314.591,92.1797,2705.29479444867
27.9,0.0197157,305.708,92.51248,3029.69689473647
28,0.0200158,303.641,92.84526,2537.29799086509
28.1,0.0189174,289.185,93.17804,3066.5510340971
28.2,0.0172274,289.196,93.51082,2679.6422038371
28.3,0.0167732,305.305,93.84359,3271.45830947969
28.4,0.0174427,294.855,94.17637,2496.75082466633
28.5,0.0183637,306.727,94.50915,3352.65971573524
28.6,0.0192745,319.216,94.84193,3421.38025843104
28.7,0.0204506,309.557,95.17471,2872.78795346246
28.8,0.0199173,302.295,95.50749,3685.75810569122
28.9,0.0183108,308.519,95.84027,3071.36993227111
29,0.0165902,308.93,96.17304,3381.26434782029
29.1,0.0169318,307.626,96.50582,2623.14978681318
29.2,0.017558,303.03,96.8386,2913.06237822508
29.3,0.0194538,322.553,97.17138,3099.14671059395
29.4,0.0203481,306.814,97.50416,3722.85911694553
29.5,0.0205677,297.638,97.83694,2490.16047847067
29.6,0.0186719,299.506,98.16972,3505.20987168073
29.7,0.0168242,312.596,98.5025,3206.01524729835
29.8,0.017,330.442,98.83527,3467.51787454267
29.9,0.0177512,293.052,99.16805,2651.90544542336
30,0.018942,319.176,99.50083,3256.77316988414
30.1,0.020307,318.31,99.83361,2772.13747749703
30.2,0.0205528,291.314,,
30.3,0.0190266,289.883,,
30.4,0.0172881,300.002,,
30.5,0.0167637,300.178,,
30.6,0.0176755,320.307,,
30.7,0.0191562,314.988,,
30.8,0.0202931,307.571,,
30.9,0.0198881,318.759,,
31,0.0188688,303.76,,
31.1,0.0171171,297.353,,
31.2,0.0171081,302.525,,
31.3,0.0178361,300.294,,
31.4,0.0188087,315.519,,
31.5,0.0197288,306.575,,
31.6,0.0202003,305.648,,
31.7,0.0191449,295.706,,
31.8,0.0175744,300.126,,
31.9,0.0175438,328.201,,
32,0.0178998,305.241,,
32.1,0.0185753,306.867,,
32.2,0.0193255,317.007,,
32.3,0.0194902,302.244,,
32.4,0.0190371,301.311,,
32.5,0.0189211,302.175,,
32.6,0.0184744,312.103,,
32.7,0.0180838,309.925,,
32.8,0.0185332,318.333,,
32.9,0.0190112,297.15,,
33,0.019092,305.876,,
33.1,0.0190004,309.87,,
33.2,0.0193363,329.117,,
33.3,0.019319,308.267,,
33.4,0.0184541,303.815,,
33.5,0.0179014,326.761,,
33.6,0.0182142,314.693,,
33.7,0.0185399,314.411,,
33.8,0.0194411,308.279,,
33.9,0.0199655,302.507,,
34,0.0198346,300.672,,
34.1,0.0185356,308.125,,
34.2,0.017411,328.214,,
34.3,0.0174401,300.78,,
34.4,0.0179087,303.288,,
34.5,0.0190547,314.778,,
34.6,0.0200904,310.097,,
34.7,0.019999,301.178,,
34.8,0.0187774,294.571,,
34.9,0.0177226,298.871,,
35,0.0173213,305.323,,
35.1,0.0177733,310.924,,
35.2,0.0189423,303.635,,
35.3,0.019396,323.979,,
35.4,0.019984,339.879,,
35.5,0.0194734,299.225,,
35.6,0.017704,284.83,,
35.7,0.0170311,303.408,,
35.8,0.0177796,314.218,,
35.9,0.018931,293.84,,
36,0.0194008,324.606,,
36.1,0.0194455,342.038,,
36.2,0.0189945,312.45,,
36.3,0.018868,295.897,,
36.4,0.0182924,306.559,,
36.5,0.0182865,315.256,,
36.6,0.0184578,302.394,,
36.7,0.018608,308.021,,
36.8,0.0186435,332.243,,
36.9,0.0191955,319.486,,
37,0.0193153,311.488,,
37.1,0.0195661,292.511,,
37.2,0.0188962,298.252,,
37.3,0.0179855,308.347,,
37.4,0.0177865,325.27,,
37.5,0.0179205,324.191,,
37.6,0.0188782,327.502,,
37.7,0.0200318,300.985,,
37.8,0.0203586,286.195,,
37.9,0.0188928,295.864,,
38,0.0171259,322.655,,
38.1,0.0171147,335.936,,
38.2,0.0178403,303.934,,
38.3,0.0190239,313.811,,
38.4,0.020102,321.549,,
38.5,0.0205656,301.207,,
38.6,0.0196746,298.744,,
38.7,0.0169905,324.003,,
38.8,0.0169498,331.288,,
38.9,0.0181424,298.18,,
39,0.0196223,312.147,,
39.1,0.0201905,320.607,,
39.2,0.0206125,309.323,,
39.3,0.0184096,298.036,,
39.4,0.0171672,306.584,,
39.5,0.0171965,332.809,,
39.6,0.0184601,296.785,,
39.7,0.0198199,297.029,,
39.8,0.019816,317.78,,
39.9,0.0196125,320.632,,
40,0.0184979,301.745,,
40.1,0.0166556,300.293,,
40.2,0.0176337,313.527,,
40.3,0.0190771,301.83,,
40.4,0.0201169,311.575,,
40.5,0.0204676,317.646,,
40.6,0.0195578,318.766,,
40.7,0.0168436,299.482,,
40.8,0.0159526,303.805,,
40.9,0.0169739,282.334,,
41,0.0187578,288.811,,
41.1,0.0204536,307.77,,
41.2,0.0204357,308.717,,
41.3,0.0191489,305.008,,
41.4,0.0173753,303.549,,
41.5,0.0168106,323.293,,
41.6,0.0177912,307.417,,
41.7,0.0191501,319.13,,
41.8,0.0202624,322.218,,
41.9,0.0200062,323.606,,
42,0.0188779,310.128,,
42.1,0.0178053,312.204,,
42.2,0.0177724,310.766,,
42.3,0.0184964,299.747,,
42.4,0.0194711,306.378,,
42.5,0.0196793,307.708,,
42.6,0.0190078,320.544,,
42.7,0.0186924,333.152,,
42.8,0.0188815,338.794,,
42.9,0.0192127,299.918,,
43,0.0196554,302.117,,
43.1,0.0194416,305.288,,
43.2,0.0185432,294.721,,
43.3,0.0179092,306.714,,
43.4,0.0179721,347.378,,
43.5,0.019204,329.881,,
43.6,0.0206967,312.405,,
43.7,0.0208512,298.217,,
43.8,0.0194515,281.771,,
43.9,0.0176884,302.542,,
44,0.0163027,330.727,,
44.1,0.0172282,309.153,,
44.2,0.0187324,325.301,,
44.3,0.020331,317.406,,
44.4,0.0213763,304.356,,
44.5,0.0199965,282.614,,
44.6,0.0165263,300.058,,
44.7,0.0160383,325.015,,
44.8,0.0170227,292.465,,
44.9,0.0185582,303.1,,
45,0.0197875,311.846,,
45.1,0.0208068,302.839,,
45.2,0.0200382,293.217,,
45.3,0.0179679,303.578,,
45.4,0.0161053,308.128,,
45.5,0.0173121,302.661,,
45.6,0.0188619,313.207,,
45.7,0.0200568,302.772,,
45.8,0.0206701,312.05,,
45.9,0.02076,291.19,,
46,0.017183,287.852,,
46.1,0.0160571,327.632,,
46.2,0.0173164,299.253,,
46.3,0.0188972,304.587,,
46.4,0.020132,305.612,,
46.5,0.0204493,314.973,,
46.6,0.0199257,313.252,,
46.7,0.0181439,295.908,,
46.8,0.0165241,328.411,,
46.9,0.0176032,303.127,,
47,0.0188965,306.235,,
47.1,0.0199277,313.243,,
47.2,0.0205191,319.569,,
47.3,0.0195751,306.679,,
47.4,0.0183836,300.005,,
47.5,0.0175428,319.917,,
47.6,0.0184181,319.032,,
47.7,0.0193948,326.395,,
47.8,0.0202376,323.395,,
47.9,0.0201352,320.424,,
48,0.0188653,297.808,,
48.1,0.0179161,296.796,,
48.2,0.0181485,313.132,,
48.3,0.018899,304.326,,
48.4,0.0195165,302.586,,
48.5,0.0198468,320.376,,
48.6,0.019974,322.803,,
48.7,0.0189647,321.889,,
48.8,0.0184415,323.29,,
48.9,0.0192113,304.125,,
49,0.0185293,305.979,,
49.1,0.0191676,306.84,,
49.2,0.0196938,296.474,,
49.3,0.019378,302.875,,
49.4,0.0190103,327.089,,
49.5,0.0188612,339.92,,
49.6,0.0189378,302.026,,
49.7,0.0191935,313.12,,
49.8,0.01926,321.468,,
49.9,0.0192402,315.742,,
50,0.0191342,320.183,,
