cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,m/s,cm,KW/m2,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K
10.8,1178.6,0.011754,0.087198,0.1905,0.17451,0.53604,1.9311,1.35,13.041,1016.2,1022.6,866.8,850.7,723.42,711.85,624.51,615.23,89.7602361850725,352.675488232454,355.401181765058,351.226422696243,295.935803849416,289.356181893527,225.816297020388,217.566081915357,106.160256216722
12,1194.9,0.013933,0.088154,0.17186,0.17642,0.54963,2.1081,1.5,13.106,1031.5,1011,860.27,844.66,720.04,708.67,622.66,613.47,92.1759187640677,354.908438896569,354.725245788906,350.471111505642,294.757527469614,288.170088662928,224.984443906684,216.771769379687,108.949529599719
13.2,1207.7,0.016533,0.088682,0.15492,0.17747,0.56239,2.2698,1.65,13.171,1046.8,999.28,853.74,838.61,716.65,705.49,620.8,611.71,94.529889453019,357.113427358872,354.033896682225,349.714169000914,293.574522055304,286.980835597083,224.149503680022,215.974535536021,112.294256309038
14.4,1216.6,0.019605,0.088778,0.13946,0.17767,0.57449,2.4165,1.8,13.236,1062.1,987.6,847.2,832.57,713.27,702.31,618.94,609.94,96.8266492242709,359.304884464434,353.355345226303,348.955584566288,292.385020136121,285.786633697239,223.309202676468,215.1743479135,116.94443124835
15.6,1221.8,0.023117,0.088466,0.12543,0.17704,0.58594,2.5483,1.95,13.301,1077.3,975.92,840.67,826.52,709.89,699.13,617.09,608.18,99.0701771473131,361.483056311081,352.675488232454,348.195347470353,291.19237627383,284.587420663669,222.467975223402,214.371173435236,124.879942344638
16.8,1223.5,0.027071,0.087785,0.11248,0.17568,0.59698,2.6649,2.1,13.365,1092.6,964.24,834.14,820.48,706.5,695.95,615.23,606.41,101.262036321615,363.648181626143,351.980113074588,347.433446864288,289.99310336627,283.383132878441,221.621298615453,213.564978402359,136.663821108587
18,1221.8,0.031413,0.086773,0.10055,0.17365,0.6076,2.7676,2.25,13.43,1107.9,952.56,827.61,814.43,703.12,692.77,613.37,604.65,103.41179816636,365.80049207184,351.297594640214,346.669871780055,288.790581563873,282.171933402314,220.773639730834,212.755728477519,152.065775242163
19.2,1216.8,0.036082,0.085463,0.089651,0.17103,0.61777,2.8574,2.4,13.495,1123.2,940.88,821.07,808.39,699.74,689.58,611.52,602.88,105.513032370414,367.940212534591,350.599486594034,345.90461112856,287.583031488299,280.957292128181,219.922713697335,211.943388667823,170.431804543636
20.4,1208.3,0.041055,0.083869,0.079743,0.16784,0.62749,2.9348,2.55,13.61,1135.7,927.09,812.74,800.6,695.46,685.53,608.92,600.4,109.676797910953,367.763510968666,348.754928280591,344.005813904358,285.987761975928,279.356403184176,218.762428218376,210.843543889776,190.827146915736
21.6,1196.3,0.046281,0.082025,0.070796,0.16415,0.63675,3.0003,2.7,13.732,1147.8,913.01,804.16,792.57,691.05,681.35,606.23,597.81,113.960519479335,367.273739872591,346.741978998794,341.950288784788,284.330793267279,277.694076278195,217.554590850205,209.699785407616,212.280474844014
22.8,1181.7,0.05168,0.079984,0.062723,0.16007,0.64554,3.055,2.85,13.855,1159.9,898.93,795.59,784.54,686.65,677.17,603.53,595.23,118.088949525347,366.769682498431,344.70277051396,339.882332579968,282.665880502051,276.021738274361,216.342321333575,208.549754255429,233.933751305792
24,1164.7,0.057192,0.077787,0.05546,0.15567,0.65389,3.1,3,13.977,1172,884.84,787.01,776.51,682.24,672.99,600.84,592.64,122.073748201651,366.278582502444,342.666018157622,337.80171698794,280.989323640597,274.339206093478,215.12089624209,207.395756947918,254.699823321493
25.2,1146,0.06273,0.075492,0.048929,0.15108,0.66177,3.137,3.15,14.099,1184.1,870.76,778.43,768.47,677.84,668.82,598.14,590.06,125.936491931449,365.786823163438,340.617087064052,335.693312414769,279.304493340154,272.646291007232,213.892496362074,206.232878077187,273.897791155752
26.4,1126.3,0.068217,0.073146,0.043073,0.14638,0.66918,3.1676,3.3,14.221,1196.2,856.68,769.85,760.44,673.43,664.64,595.45,587.47,129.680376310373,365.294401818588,338.540987178805,333.586570473093,277.607636782564,270.9427983911,212.659352016317,205.063404828848,291.187224994504
27.6,1106,0.073574,0.070803,0.037815,0.14169,0.67611,3.1931,3.45,14.343,1208.2,842.6,761.28,752.41,669.03,660.46,592.75,584.89,133.322916259734,364.787609438698,336.466937454484,331.46643872344,275.902156570042,269.228527463194,211.416650243069,203.887223729198,306.80938707934
28.8,1084.5,0.078941,0.068389,0.033118,0.13686,0.68269,3.2105,3.6,14.465,1220.2,828.52,752.69,744.37,664.61,656.27,590.05,582.3,136.989050657343,364.266386041864,334.36506994601,329.317476001502,274.178773795493,267.497663541198,210.16422150309,202.701751349119,320.624390837628
30,1062.9,0.084152,0.066007,0.028886,0.1321,0.68886,3.2246,3.75,14.594,1217.8,814.97,743.32,735.41,659.18,651.08,586.45,578.88,151.466167839554,360.555127546399,330.817170050165,325.852727470555,271.812435329953,265.222548061058,208.585713796511,201.174053993053,332.47556301178
31.2,1041.7,0.089133,0.063703,0.025085,0.12748,0.69459,3.2367,3.9,14.723,1215.4,801.41,733.96,726.45,653.75,645.88,582.85,575.47,164.67543836286,356.805269019391,327.246084774134,322.366251335341,269.425314326624,262.929648385267,206.992753496348,199.637170887588,342.563862659213
32.4,1020.2,0.094024,0.061397,0.021729,0.12287,0.69998,3.2447,4.05,14.852,1213,787.86,724.59,717.49,648.32,640.69,579.25,572.05,176.901102314259,353.015580392707,323.635597547612,318.825971338597,267.018725935092,260.614658068191,205.38987316808,198.085839978531,350.599486594034
33.6,998.49,0.09876,0.05913,0.018765,0.11833,0.70501,3.2499,4.2,14.981,1210.6,774.3,715.23,708.53,642.9,635.49,575.65,568.64,188.334808253812,349.184764845203,319.968748473972,315.257037986466,264.588359532312,258.280854884755,203.774385043852,196.524807594359,356.300435026397
34.8,976.18,0.10346,0.056842,0.016166,0.11375,0.70978,3.2517,4.35,15.11,1208.2,760.75,705.86,699.57,637.47,630.3,572.05,565.23,199.110522072541,345.311453618324,316.275196624712,311.642423299524,262.135461164643,255.923816789294,202.145986851087,194.948711203742,359.805503015171
36,954.3,0.10796,0.054625,0.01388,0.10932,0.71421,3.2527,4.5,15.239,1205.9,747.19,696.5,690.61,632.04,625.1,568.46,561.81,209.334660293034,341.394200302231,312.534798062552,307.987012713199,259.659392281504,253.544867824218,200.501870315466,193.362354143716,361.56603822815
37.2,933.2,0.11222,0.052509,0.011875,0.10508,0.71831,3.2549,4.65,15.368,1203.5,733.64,687.13,681.65,626.61,619.91,564.86,558.4,219.082176363117,337.446292022894,308.747469625259,304.286049630935,257.161427900842,251.145376226599,198.846674601312,191.760267000231,361.731944953718
38.4,912.63,0.11628,0.050477,0.010145,0.10102,0.72209,3.2574,4.8,15.477,1197.8,720.59,677.61,672.49,620.81,614.37,561.04,554.76,230.041300639689,333.061555872184,304.604661815935,300.234908030362,254.475932064311,248.604102942811,197.197870171054,190.165717204758,361.330873300359
39.6,891.92,0.12027,0.048449,0.0086542,0.096958,0.72567,3.2554,4.95,15.542,1184.7,708.72,667.72,662.86,614.17,608.03,556.71,550.59,244.065564961549,327.765159832463,299.673155287557,295.414962383424,251.386157136784,245.760045572912,195.581185189169,188.602757137853,358.747822293042
40.8,871.78,0.12408,0.046497,0.0073673,0.093051,0.729,3.2535,5.1,15.607,1171.6,696.84,657.83,653.23,607.53,601.69,552.38,546.42,257.324697609849,322.381761270702,294.659125092029,290.513338764333,248.257930386926,242.882687732164,193.951024745939,187.02673605664,354.753435501335
42,852.08,0.12774,0.044609,0.006267,0.089273,0.73211,3.2515,5.25,15.671,1158.5,684.97,647.94,643.6,600.88,595.35,548.05,542.25,269.935177403761,316.891148503709,289.56001105125,285.529332994003,245.089779468667,239.970831560838,192.307046152761,185.437320946998,349.799942824466
43.2,832.8,0.13125,0.042781,0.0053293,0.085615,0.73502,3.2486,5.4,15.736,1145.4,673.09,638.05,633.97,594.24,589.01,543.73,538.09,281.980495779407,311.319771296331,284.369477968364,280.454987475709,241.880135604394,237.023205614978,190.648891945377,183.834164398242,344.020348235391
44.4,814.12,0.13461,0.041025,0.0045243,0.082101,0.73774,3.2444,5.55,15.801,1132.3,661.22,628.16,624.34,587.6,582.67,539.4,533.92,293.533643727597,305.64358327961,279.080633509386,275.288939116703,238.62522917747,234.038458378105,188.976188976283,182.214159713234,337.638860322683
45.6,795.95,0.13783,0.039331,0.0038312,0.07871,0.7403,3.2393,5.7,15.865,1119.2,649.34,618.27,614.71,580.95,576.33,535.07,529.75,304.648978334082,299.858299868455,273.68960520999,270.022221307803,235.327431465182,231.015151018283,187.288547434166,180.582391168131,330.802055616346
46.8,778.68,0.14086,0.037729,0.003233,0.075506,0.74267,3.2342,5.85,15.93,1106,637.47,608.38,605.08,574.31,569.99,530.74,525.58,315.371209846428,293.960881751297,268.192095334669,264.652602481064,231.982757979984,227.951749280412,185.588253938659,178.935742656407,323.681942653587
48,762.07,0.14375,0.036199,0.0027154,0.072443,0.74489,3.2284,6,15.919,1091,627,599.07,595.93,567.1,563.08,525.81,520.82,325.207625986846,288.489167907566,263.032317406056,259.572725839985,228.208238238675,224.410338442773,183.436637561857,176.889796200912,316.306813078694
49.2,746.41,0.14644,0.034769,0.0022683,0.069581,0.74694,3.223,6.15,15.874,1075.2,617.18,590.01,586.99,559.64,555.91,520.6,515.78,334.499626307714,283.16602903597,257.978681289753,254.578082324461,224.191882101025,220.608250072385,181.058001756343,174.645354933935,308.974108947659
50.4,731.35,0.14901,0.033399,0.0018839,0.06684,0.74887,3.2156,6.3,15.829,1059.3,607.36,580.96,578.05,552.17,548.75,515.39,510.75,343.554944659511,277.740886439141,252.824049488968,249.483466386051,220.104520625997,216.741781851123,178.650496780725,172.371691411322,301.595755938309
51.6,716.49,0.15153,0.032049,0.0015507,0.064138,0.75073,3.206,6.45,15.783,1043.5,597.54,571.91,569.11,544.71,541.58,510.18,505.72,352.377638337055,272.207641332862,247.562113418027,244.284670006122,215.937490955137,212.802725546455,176.210101867061,170.067633604987,293.463796745016
52.8,702.14,0.15394,0.030751,0.0012668,0.061541,0.7525,3.1966,6.6,15.738,1027.6,587.72,562.86,560.17,537.24,534.41,504.97,500.68,360.984764221428,266.55956182437,242.185879026833,238.970709502232,211.688450322638,208.791762289608,173.735431043872,167.731928981932,284.914022118954
54,688.35,0.15624,0.029512,0.0010286,0.059061,0.75416,3.188,6.75,15.693,1011.8,577.89,553.8,551.23,529.78,527.25,499.77,495.65,369.391391345278,260.787269627948,236.687557763394,233.535864483381,207.354768452524,204.702222752954,171.224998174916,165.360212868755,276.246266943103
55.2,675.21,0.15841,0.028339,0.0008322,0.056714,0.7557,3.1801,6.9,15.648,995.92,568.07,544.75,542.29,522.32,520.08,494.56,490.61,377.597669484334,254.886249138709,231.058434167636,227.971489445501,202.926094921279,200.5268061881,168.677206521806,162.95704955601,267.398578904227
56.4,662.84,0.16044,0.027243,0.00067095,0.054519,0.75713,3.173,7.05,15.602,980.06,558.25,535.7,533.35,514.85,512.92,489.35,485.58,385.642321328974,248.845333490504,225.290923030645,222.26785642553,198.401108867869,196.265126805554,166.090336865213,160.51791177311,258.509187457622
57.6,651.17,0.16233,0.026217,0.00054026,0.052466,0.75845,3.1661,7.2,15.468,966.59,550.85,528.89,526.57,508.33,506.49,484.27,480.68,389.268544837622,244.552652817343,221.467830621063,218.46510018765,194.573893418413,192.475972526443,163.266653055668,157.879701038481,249.681797494331
58.8,640.08,0.1641,0.025251,0.00043681,0.050533,0.75968,3.1587,7.35,15.333,953.13,543.46,522.09,519.79,501.8,500.07,479.19,475.78,392.83584357846,240.193671856691,217.586764303346,214.601957120619,190.675116362886,188.6133611386,160.390149323454,155.193427695892,240.823586884674
60,628.85,0.16587,0.024286,0.00035007,0.048601,0.76089,3.148,7.5,15.198,939.67,536.07,515.29,513.02,495.28,493.65,474.11,470.88,396.37103829619,235.751988326716,213.637543517051,210.670358617438,186.694938335243,184.672683415821,157.464281664129,152.463110292293,231.987068605127
61.2,617.14,0.16769,0.02329,0.00027878,0.046608,0.76213,3.1294,7.65,15.064,926.21,528.69,508.5,506.24,488.76,487.23,469.03,465.99,399.874980462644,231.224998648503,209.611545483544,206.66397847714,182.625299452184,180.643294921234,154.483008774428,149.679657936541,222.292599966801
62.4,606.79,0.1693,0.022411,0.00022761,0.04485,0.76321,3.1044,7.8,14.929,912.75,521.3,501.7,499.47,482.23,480.81,463.95,461.09,403.348484563907,226.607590340659,205.506690888642,202.575911697319,178.465682975747,176.524785795083,151.443058606197,146.846859006245,212.040090548934
63.6,597.68,0.1707,0.021646,0.0001879,0.043318,0.76415,3.0855,7.95,14.794,899.29,513.91,494.9,492.7,475.71,474.39,458.86,456.19,406.79233031118,221.896372210093,201.320639776452,198.406149098258,174.206773691496,172.304962203646,148.340823780913,143.954854034173,201.596130915253
64.8,589.39,0.17196,0.020955,0.00015548,0.041936,0.765,3.0715,8.1,14.659,885.84,506.52,488.11,485.92,469.19,467.97,453.78,451.29,410.207264684574,217.080630181507,197.043142484076,194.14685163556,169.841102210272,167.979165374757,145.17231140958,141.007092020224,192.286244957875
66,582.3,0.17302,0.020371,0.0001305,0.040767,0.76571,3.0584,8.25,14.524,872.38,499.13,481.31,479.15,462.66,461.55,448.7,446.4,413.594003825007,212.155603272692,192.673298617115,189.789356919718,165.360212868755,163.542043523982,141.929559993681,137.992753432925,182.625299452184
67.2,576.68,0.17385,0.019916,0.00011463,0.039856,0.76626,3.0465,8.4,14.38,858.82,491.89,474.65,472.52,456.33,455.31,443.73,441.6,416.197068706641,207.287240321251,188.318878501333,185.456194288571,160.978259401697,159.194849162905,138.729953506804,135.01481400202,176.130633337872
68.4,571.06,0.17468,0.019461,9.8742E-05,0.038945,0.76682,3.0347,8.55,14.185,844.73,485.36,468.72,466.65,450.93,449.95,439.28,437.28,414.873474688368,203.201870070135,184.480351257255,181.670030549896,157.648342839371,155.858910556952,136.069835011291,132.480187197935,169.384178718085
69.6,565.48,0.1755,0.019009,8.3138E-05,0.038041,0.76737,3.0229,8.7,13.99,830.65,478.84,462.79,460.77,445.54,444.6,434.83,432.96,413.533553656774,199.035172771046,180.560239255491,177.806074136965,154.249797406674,152.453271529344,133.352915228727,129.896112335974,162.360709532818
70.8,560.9,0.17615,0.01865,7.5036E-05,0.037324,0.7678,3.0133,8.85,13.795,816.57,472.32,456.86,454.9,440.14,439.25,430.38,428.65,412.201407081538,194.776795332504,176.555940143627,173.853386507137,150.774666307042,148.966439173392,130.579477713766,127.259577242736,156.5407295243
72,556.33,0.17681,0.018292,6.6931E-05,0.036607,0.76823,3.0037,9,13.6,802.49,465.79,450.93,449.02,434.75,433.89,425.93,424.33,410.864941312836,190.425838582898,172.45579143653,169.808715912935,147.217526130553,145.399449792632,127.745841419594,124.567250912911,151.456264314158
73.2,551.75,0.17746,0.017933,5.8823E-05,0.035889,0.76866,2.9941,9.15,13.406,788.41,459.27,445,443.15,429.36,428.54,421.49,420.01,409.511904588865,185.970427756673,168.255757702374,165.66834338521,143.57228144736,141.739197119216,124.847907471451,121.815434161686,146.19507515645
74.4,547.21,0.1781,0.017579,5.1088E-05,0.035179,0.76909,2.9844,9.3,13.211,774.33,452.74,439.07,437.27,423.96,423.19,417.04,415.7,408.166632639171,181.408379078807,163.951212255354,161.418710191849,139.828466343588,137.985506485283,121.885191881541,119,140.737344013592
75.6,543.03,0.17868,0.017261,4.6632E-05,0.034544,0.76947,2.9733,9.45,13.016,760.25,446.22,433.14,431.4,418.57,417.83,412.59,411.38,406.81691213616,176.725776274996,159.527427108946,157.057314379178,135.985293322477,134.123077805425,118.844436133965,116.116320988912,136.392815060032
76.8,538.85,0.17926,0.016943,4.2175E-05,0.033908,0.76985,2.9622,9.6,12.821,746.17,439.7,427.21,425.52,413.17,412.48,408.14,407.07,405.450366876144,171.915677004746,154.977417709807,152.568017618372,132.030299552792,130.149913561247,115.723809131915,113.159179919262,132.533014754815
78,534.67,0.17983,0.016626,3.7717E-05,0.033272,0.77023,2.9512,9.75,12.616,730.85,433.46,421.64,420.01,408.24,407.59,404.01,403.05,402.0074626173,167.33499335166,150.628682527598,148.293627644616,128.417288555708,126.538531681065,112.849457242824,110.426446107805,128.557380184881
79.2,530.55,0.1804,0.016313,3.3562E-05,0.032646,0.7706,2.9404,9.9,12.39,713.03,427.82,416.77,415.25,404.23,403.64,400.5,399.63,394.246116023988,163.382985650281,146.85707337408,144.613277398723,125.674181914982,123.846679406434,110.593851547001,108.235853579117,124.454811076149
80.4,526.74,0.18092,0.016027,3.091E-05,0.032074,0.77095,2.9313,10.05,12.164,695.2,422.18,411.91,410.48,400.23,399.69,397,396.21,386.328875441637,159.329846544833,142.982516413721,140.836784967564,122.869849841204,121.095004025765,108.29127388668,106.004716876184,121.165176515367
81.6,522.93,0.18144,0.015741,2.8257E-05,0.031502,0.77129,2.9221,10.2,11.938,677.38,416.53,407.04,405.72,396.22,395.74,393.5,392.79,378.245951729824,155.174095776325,139,136.956197377118,119.995833260993,118.275103043709,105.933941680653,103.725599540326,118.105884696742
82.8,519.12,0.18196,0.015455,2.5603E-05,0.030929,0.77163,2.9129,10.35,11.712,659.55,410.89,402.18,400.95,392.22,391.79,390,389.37,369.9864862397,150.903942957101,134.899962935503,132.962400700348,117.055542371987,115.390640868313,103.527774051218,101.39526616169,114.960862905599
84,515.39,0.18247,0.015175,2.3171E-05,0.030369,0.77196,2.9045,10.5,11.486,641.72,405.25,397.32,396.19,388.21,387.85,386.49,385.95,361.538379705392,146.509385364897,130.675169791357,128.848748538742,114.035082321187,112.427754580442,101.064335944981,99.0070704545893,111.731821787707
85.2,511.94,0.18294,0.014916,2.1468E-05,0.029852,0.77227,2.8987,10.65,11.261,623.9,399.6,392.45,391.42,384.21,383.9,382.99,382.53,352.888084242016,141.978871667583,126.305185958455,124.59534501738,110.936919012563,109.389213362196,98.5362877319823,96.5618972473097,108.921990433521
86.4,508.49,0.18341,0.014658,1.9764E-05,0.029334,0.77258,2.8929,10.8,11.035,606.07,393.96,387.59,386.66,380.2,379.95,379.49,379.11,344.020348235391,137.298943914365,121.778487426967,120.191513843532,107.745069492761,106.263822630282,95.9426912276282,94.05317644822,106.160256216722
87.6,505.04,0.18388,0.014399,1.806E-05,0.028816,0.77289,2.8871,10.95,10.809,588.24,388.31,382.72,381.89,376.19,376,375.98,375.69,334.917900387543,132.449990562476,117.076897806527,115.620067462357,104.460518857605,103.038827633082,93.2775428492839,91.4756798280286,103.319891598859
88.8,501.7,0.18433,0.014149,1.6525E-05,0.028315,0.77319,2.8812,11.1,10.582,570.25,383.33,378.45,377.72,372.67,372.52,372.83,372.61,324.052464888018,128.296531519757,113.141504320917,111.785508899857,101.567711404757,100.209779961838,90.9477872188213,89.2367637243754,100.404183179786
90,498.61,0.18475,0.013918,1.5385E-05,0.027854,0.77346,2.8751,11.25,10.354,552.07,379.01,374.78,374.14,369.63,369.52,370.03,369.88,311.234638175123,124.911969002174,110.063617967065,108.770400385399,99.1070128699276,97.810531130344,88.9831444712986,87.3653249292876,97.8861583677692
91.2,495.52,0.18517,0.013688,1.4246E-05,0.027393,0.77374,2.8691,11.4,10.126,533.9,374.68,371.11,370.56,366.59,366.51,367.23,367.14,297.86742017213,121.428991595912,106.892469332503,105.669295445744,96.5851955529418,95.350930776789,86.9741340859454,85.4534961250855,95.370855086866
92.4,492.43,0.18559,0.013458,1.3106E-05,0.026932,0.77401,2.863,11.55,9.8975,515.73,370.36,367.44,366.98,363.55,363.5,364.43,364.41,283.86968841354,117.84735890125,103.624321469431,102.474387043788,93.9962765219985,92.8261816515147,84.9176071259665,83.4979041653142,92.786852516938
93.6,489.42,0.18599,0.013234,1.2091E-05,0.026485,0.77428,2.8578,11.7,9.6694,497.55,366.04,363.76,363.4,360.51,360.5,361.63,361.68,269.144942363775,114.153405555857,100.254675701436,99.1796350063863,91.3334549877535,90.230815135407,82.8100235478773,81.4947851092326,90.1293514899558
94.8,486.55,0.18637,0.013023,1.1296E-05,0.026063,0.77453,2.8538,11.85,9.4413,479.38,361.72,360.09,359.83,357.47,357.49,358.83,358.95,253.566559309385,110.331319216259,96.7641462526281,95.7695149825872,88.5911959508393,87.5579807898743,80.6473806146238,79.4418025978766,88.1390946175419
96,483.67,0.18676,0.012813,1.05E-05,0.025641,0.77478,2.8498,12,9.2132,461.21,357.39,356.42,356.25,354.43,354.48,356.02,356.21,236.968352317351,106.376689175778,93.1434377720728,92.2328574858223,85.760713616434,84.8015330050112,78.4251235255642,77.3336925279015,86.1446457999567
97.2,480.8,0.18714,0.012602,9.7049E-06,0.025219,0.77503,2.8459,12.15,8.985,443.03,353.07,352.75,352.67,351.4,351.47,353.22,353.48,219.114125514536,102.269252466223,89.3761713209959,88.5556322319478,82.8335680747848,81.9524252234185,76.1380325461592,75.1671470790265,84.1023186362897
98.4,478,0.18751,0.012397,9.0063E-06,0.02481,0.77527,2.8408,12.3,8.7569,424.86,348.75,349.07,349.09,348.36,348.47,350.42,350.75,199.669727299859,97.9862235214727,85.4429634317537,84.7183569245768,79.79974937304,79.0006329088571,73.7800786120481,72.9362735543844,82.017681020619
99.6,475.3,0.18787,0.012202,8.4364E-06,0.024419,0.77551,2.8344,12.45,8.5679,411.74,345.53,346.21,346.28,345.9,346.02,348.09,348.47,186.045693312154,94.7755242665531,82.6335283041938,81.9768259936917,77.466767068208,76.6948498922842,71.8380122219428,71.0886770168077,80.4972049204195
100.8,472.6,0.18822,0.012006,7.8664E-06,0.024027,0.77574,2.8279,12.6,8.3984,401.16,342.87,343.75,343.86,343.73,343.84,346,346.42,175.530624108729,92.106460142598,80.4027362718459,79.7978696457493,75.4844354817601,74.7094371548869,70.0963622451265,69.4254996381013,78.9474508771499
102,469.89,0.18858,0.01181,7.2963E-06,0.023636,0.77597,2.8214,12.75,8.229,390.58,340.2,341.3,341.44,341.56,341.67,343.91,344.38,164.344151097628,89.3571485668606,78.1076180663577,77.5577204409722,73.4479407471714,72.6691131086654,68.3103213284786,67.7222267796918,77.3666594858535
103.2,467.32,0.18891,0.011625,6.8027E-06,0.023264,0.77619,2.8142,12.9,8.0595,380,337.54,338.84,339.02,339.39,339.5,341.82,342.33,152.338439009989,86.5210956934781,75.7436465982461,75.2509136157163,71.3540468368823,70.5705320937854,66.4763115703632,65.9742373961231,75.7792847683323
104.4,464.87,0.18923,0.011448,6.3869E-06,0.022911,0.7764,2.8063,13.05,7.89,369.42,334.88,336.38,336.6,337.22,337.33,339.72,340.28,139.301830569451,83.5882766899761,73.3027966724326,72.871119107641,69.1968207362159,68.4076019167461,64.5902469417791,64.178656888408,74.4728138316258
105.6,462.41,0.18955,0.011272,5.971E-06,0.022559,0.77661,2.7985,13.2,7.7206,358.85,332.21,333.93,334.19,335.05,335.15,337.63,338.23,124.911969002174,80.5493637467113,70.7785278174108,70.4109366504949,66.9701426010129,66.1740130262628,62.6466280018326,62.331372518179,73.1423270070074
106.8,459.96,0.18987,0.011096,5.5551E-06,0.022206,0.77682,2.7906,13.35,7.5511,348.27,329.55,331.47,331.77,332.88,332.98,335.54,336.18,108.632407687577,77.3905679007462,68.160105633721,67.8616239121936,64.6660652892999,63.862351976732,60.6415699005229,60.4284701113639,71.7878819857502
108,457.65,0.19017,0.01093,5.1992E-06,0.021874,0.77702,2.7835,13.5,7.3817,337.69,326.89,329.01,329.35,330.71,330.81,333.45,334.13,89.4393649351336,74.0979082025937,65.4369925959315,65.2127288188433,62.2776043212968,61.462996998194,58.5679093019377,58.4628086906539,70.4421748670496
109.2,455.44,0.19046,0.010772,4.8903E-06,0.021557,0.77721,2.777,13.65,7.2122,327.11,324.22,326.56,326.93,328.54,328.64,331.36,332.09,64.7873444431858,70.6512561813306,62.5963257707671,62.4515812449933,59.7938123889086,58.9669398900774,56.4180822077461,56.4287160938471,69.2805889120466
110.4,453.23,0.19075,0.010613,4.5813E-06,0.02124,0.77739,2.7706,13.8,7.1336,323.13,322.71,325.02,325.4,327.06,327.15,329.89,330.64,56.8181309090681,68.4017543634664,60.8366665753475,60.7404313451921,58.1712987649408,57.3437006130578,54.9208521419688,54.9799963623135,68.0999265785214
111.6,451.02,0.19104,0.010455,4.2722E-06,0.020922,0.77758,2.7641,13.95,7.0732,320.47,321.42,323.67,324.05,325.72,325.81,328.55,329.31,53.1827039553274,66.3581193223557,59.2730967640463,59.2199290779717,56.700088183353,55.8739653148047,53.5341012813328,53.6274183603873,66.8976830689972
