cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,m/s,cm,KW/m2,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K
56.4,837.65,0.12837,0.044935,0.0010678,0.089927,0.7357,3.5561,7.05,14.263,995.69,521.97,514.1,513.41,506.21,505.46,493.38,491.13,308.167162429744,185.798277709994,180.828648172794,179.824914847749,167.343957166072,165.755844542508,146.321563687653,143.080396980159,253.250863769504
57.6,820.38,0.13138,0.043295,0.00089329,0.086643,0.73779,3.5371,7.2,14.134,979.71,514.96,507.82,507.2,500.53,499.82,488.41,486.26,308.619506836493,181.972525398754,177.127073029506,176.17037208339,164.176734039875,162.606887922991,143.815854480652,140.662717164144,246.813694919873
58.8,803.7,0.13427,0.041715,0.00074921,0.083483,0.73978,3.5118,7.35,14.004,963.73,507.95,501.54,500.99,494.83,494.17,483.45,481.39,309.071189210512,178.06178702911,173.343589440164,172.438394796519,160.913019982847,159.395733945423,141.269246476365,138.202749610853,240.137460634529
60,787.02,0.13714,0.040149,0.00062571,0.080348,0.74174,3.475,7.5,13.875,947.75,500.94,495.27,494.78,489.12,488.53,478.48,476.52,309.522212450092,174.063206910593,169.478612219949,168.62384173064,157.56268593801,156.118544702415,138.675881104106,135.698194534784,233.205917592157
61.2,770.27,0.13998,0.038593,0.00052514,0.077235,0.74367,3.4143,7.65,13.745,931.77,493.94,488.99,488.56,483.4,482.88,473.52,471.64,309.972579432439,169.973527350585,165.52341224129,164.720976199147,154.136303316253,152.771070559841,136.029408585056,133.146535816746,225.490576299765
62.4,754.77,0.14262,0.037146,0.0004512,0.074338,0.74545,3.3623,7.8,13.615,915.79,486.93,482.72,482.35,477.69,477.24,468.55,466.77,310.420682300648,165.779974665217,161.471359689575,160.72025385744,150.635321223145,149.34858553063,133.334166664063,130.545011394538,216.709482948947
63.6,740.55,0.14503,0.035819,0.00039187,0.071682,0.74707,3.3243,7.95,13.486,899.81,479.92,476.44,476.14,471.98,471.6,463.58,461.9,310.869747643607,161.477552619551,157.314970679843,156.620560591514,147.051011557214,145.84580899018,130.583306743243,127.886668578081,207.810009383571
64.8,727.2,0.1473,0.034573,0.00034181,0.06919,0.74859,3.2957,8.1,13.356,883.83,472.86,470.16,469.93,466.27,465.95,458.62,457.03,311.318165226509,157.054130795723,153.04574479547,152.410629550566,143.373637744182,142.256810030311,127.769323391806,125.17587627015,198.751100625883
66,715.57,0.14927,0.033491,0.0003014,0.067024,0.74991,3.2657,8.25,13.227,868.22,465.78,463.89,463.72,460.56,460.31,453.64,452.16,312.134586356591,152.499180325666,148.650597038828,148.077682315736,139.603008563569,138.574889500227,124.879942344638,122.40506525467,190.612171699501
67.2,706.03,0.15088,0.03261,0.00027283,0.06526,0.75098,3.234,8.4,13.097,853.49,458.7,457.61,457.47,454.84,454.67,448.62,447.28,313.810452343449,147.803924169827,144.124945793572,143.57228144736,135.723984615837,134.792433022036,121.844162765395,119.570063142912,183.831444535477
68.4,696.5,0.15248,0.031727,0.00024423,0.063494,0.75205,3.2023,8.55,12.968,838.76,451.63,451.34,451.23,449.13,449.02,443.59,442.41,315.477415990432,142.954538228067,139.452500873953,138.920840769123,131.734581640509,130.900725742832,118.734999052512,116.666190475219,176.793665044877
69.6,687.02,0.15407,0.030851,0.000216,0.06174,0.75312,3.1705,8.7,12.838,824.03,444.55,445.06,444.98,443.42,443.38,438.56,437.54,317.127734517182,137.934767190872,134.617977996997,134.108165299507,127.616613338546,126.88971589534,115.537872578648,113.688170009021,169.543504741408
70.8,679.17,0.15537,0.030138,0.00019779,0.060314,0.75398,3.1371,8.85,12.709,809.3,437.47,438.78,438.74,437.71,437.74,433.54,432.65,318.778920256657,132.725280184296,129.603240700223,129.120099132552,123.365311169713,122.747708736253,112.249721603218,110.589330407594,164.228499353797
72,671.31,0.15667,0.029425,0.00017956,0.058887,0.75484,3.1037,9,12.579,794.57,430.4,432.49,432.49,431.99,432.09,428.51,427.68,320.421597274591,127.302788657594,124.366394174632,123.927398100662,118.957975772959,118.460964034571,108.86229834061,107.256701422335,158.732479348116
73.2,663.46,0.15796,0.028712,0.00016133,0.057459,0.75571,3.0703,9.15,12.45,779.84,423.32,426.19,426.25,426.28,426.45,423.49,422.72,322.055895769663,121.63880959628,118.873882749744,118.507383736204,114.38531374263,114.013157135482,105.366028680975,103.817146945965,153.042477763528
74.4,655.69,0.15924,0.028007,0.00014374,0.05605,0.75656,3.0375,9.3,12.32,765.12,416.25,419.88,420,420.57,420.79,418.46,417.75,323.681942653587,115.697882435246,113.114985744595,112.827301660547,109.617516848358,109.343495462693,101.749692874229,100.254675701436,147.299015611103
75.6,648.72,0.16037,0.027387,0.00013187,0.054809,0.7573,3.0096,9.45,12.191,750.39,409.17,413.58,413.76,414.86,415.11,413.43,412.78,325.299861666125,109.434912162436,107.046718772693,106.845683113545,104.63746938836,104.431795924421,98.0005102027535,96.5655217973786,142.849571227918
76.8,641.74,0.16149,0.026767,0.00011998,0.053567,0.75805,2.9818,9.6,12.061,735.66,402.09,407.27,407.51,409.15,409.43,408.41,407.82,326.909773484979,102.791050194071,100.618089824842,100.513680660893,99.406237228858,99.2799073327529,94.1020722407323,92.7280971442852,138.2570070557
78,634.76,0.16262,0.026146,0.00010809,0.052325,0.7588,2.954,9.75,11.914,721.44,398.29,403.55,403.81,405.58,405.87,405.07,404.51,323.001547983907,100.13990213696,98.0377478321488,97.948966303887,97.0298923012903,96.9185224815154,92.0483568566001,90.6868237397253,133.506554146229
79.2,627.92,0.16372,0.025539,9.6913E-05,0.05111,0.75953,2.9263,9.9,11.733,707.3,394.95,400.2,400.46,402.31,402.6,401.96,401.43,318.260899263482,98.0469275398266,95.9979166440606,95.9114174642415,95.0410437653123,94.9352410857001,90.2358022073279,88.8785688453634,128.809937504837
80.4,621.74,0.1647,0.024999,8.9264E-05,0.05003,0.76018,2.8995,10.05,11.551,693.16,391.62,396.85,397.11,399.04,399.34,398.86,398.35,313.45175067305,95.9067255201636,93.9137902546799,93.8296328459192,93.0102144928179,92.9107098240025,88.3855191759374,87.0327524556129,125.11994245523
81.6,615.55,0.16568,0.02446,8.1612E-05,0.04895,0.76083,2.8726,10.2,11.369,679.03,388.28,393.5,393.76,395.78,396.08,395.76,395.27,308.562797498337,93.7181946048898,91.7823512446701,91.7011450310191,90.9334921797244,90.8449228080469,86.4956646312403,85.1463446073876,121.321885906872
82.8,609.37,0.16666,0.02392,7.3956E-05,0.04787,0.76147,2.8458,10.35,11.187,664.89,384.94,390.16,390.42,392.51,392.82,392.66,392.18,303.595125125553,91.477319593438,89.6007812465941,89.5215057960935,88.8087833493963,88.7310543158369,84.5641768126433,83.2177865603262,117.396763158104
84,603.33,0.16762,0.023395,6.6914E-05,0.046819,0.7621,2.8195,10.5,11.005,650.75,381.6,386.81,387.07,389.24,389.56,389.56,389.12,298.546478793504,89.1801547430817,87.3670418407308,87.2874561434803,86.6314030822542,86.5661596699311,82.5869239044535,81.2822243790117,113.622180933126
85.2,597.78,0.16848,0.02292,6.1893E-05,0.045868,0.76267,2.7947,10.65,10.823,636.61,378.26,383.46,383.72,385.98,386.3,386.45,386.08,293.409270473855,86.821656284593,85.0746730819461,84.9952939873732,84.3984597015846,84.3451243404146,80.5611568933813,79.3410360406265,110.684235553217
86.4,592.22,0.16934,0.022444,5.6871E-05,0.044916,0.76324,2.77,10.8,10.641,622.47,374.92,380.11,380.37,382.71,383.04,383.35,383.04,288.180498993252,84.3978672716319,82.7188007650014,82.6389738561655,82.1042020849116,82.0639994150907,78.4831192040683,77.3511473735199,107.661506584294
87.6,586.67,0.1702,0.021969,5.1847E-05,0.043965,0.76381,2.7452,10.95,10.46,608.33,371.59,376.76,377.03,379.44,379.77,380.25,380,282.856854256707,81.9023809177731,80.2938353798098,80.2134652037923,79.7445922931455,79.7176266580986,76.3491977691973,75.3086980368138,104.556204980862
88.8,581.28,0.17104,0.021509,4.7319E-05,0.043045,0.76436,2.7209,11.1,10.278,594.27,368.25,373.41,373.68,376.18,376.51,377.16,376.96,277.409444684207,79.3278009275437,77.793315908245,77.7142200629975,77.3123534760131,77.3007115103089,74.1734453831019,73.2092890281008,101.607086367044
90,576.28,0.1718,0.021088,4.396E-05,0.042202,0.76487,2.6975,11.25,10.096,581,364.91,370.06,370.33,372.91,373.25,374.08,373.92,271.652351361073,76.6674637639723,75.20970682033,75.1325495374674,74.8017379477242,74.8050800413983,71.9513724677994,71.0478711855605,99.1816515288992
91.2,571.29,0.17256,0.020666,4.06E-05,0.041358,0.76537,2.6741,11.4,9.914,567.73,361.57,366.71,366.98,369.65,369.99,371,370.88,265.770577754574,73.9154922868001,72.5341298975868,72.4596439406101,72.2031855252938,72.2232649497376,69.6584524663016,68.818602136341,96.6943638481582
92.4,566.29,0.17333,0.020245,3.7238E-05,0.040515,0.76587,2.6507,11.55,9.7321,554.46,358.23,363.36,363.64,366.38,366.73,367.92,367.84,259.757579292694,71.0598339429526,69.7552865380109,69.6835705170164,69.5082728889159,69.5456684488689,67.2867000231101,66.5146600382201,94.1413830363672
93.6,561.48,0.17406,0.019841,3.4269E-05,0.039707,0.76636,2.6305,11.7,9.5502,541.19,354.9,360.02,360.29,363.11,363.47,364.84,364.8,253.600078864341,68.0837719284118,66.8617977622499,66.7929637012762,66.7038229788968,66.7615158605615,64.8290058538614,64.127997005988,91.7371244371656
94.8,557.02,0.17473,0.01947,3.1984E-05,0.038964,0.7668,2.6157,11.85,9.3684,527.92,351.56,356.67,356.95,359.85,360.21,361.76,361.76,247.28930425718,64.9723017908401,63.8372931756979,63.7714669738748,63.7769550856734,63.8553051828899,62.2743928111708,61.6490064802345,89.6604706657287
96,552.55,0.17541,0.019098,2.9698E-05,0.03822,0.76724,2.6009,12,9.1865,514.66,348.22,353.32,353.6,356.58,356.95,358.68,358.72,240.813205617964,61.7041327627251,60.6621793212212,60.5986798536074,60.7083190345442,60.8103609592971,59.6095629911846,59.0660647072412,87.5345646016475
97.2,548.09,0.17608,0.018726,2.7412E-05,0.037476,0.76769,2.5861,12.15,9.0047,501.39,344.89,349.97,350.25,353.32,353.69,355.6,355.68,234.158066271483,58.2520385909369,57.3114299245796,57.251200860768,57.4882596709972,57.6046873092807,56.8207708501038,56.3648826841678,85.3557262285314
98.4,543.82,0.17672,0.018373,2.542E-05,0.03677,0.76811,2.5723,12.3,8.8228,488.12,341.55,346.62,346.91,350.05,350.43,352.52,352.64,227.310360520589,54.5829643753433,53.7522092569226,53.6945062366719,54.0786464327649,54.2107000508202,53.8878464962184,53.5275629932841,83.3534642351474
99.6,539.82,0.17732,0.018045,2.3818E-05,0.036113,0.7685,2.5597,12.45,8.6995,480.49,340.07,345.02,345.3,348.42,348.79,350.89,351.01,222.369062596396,53.4331357867008,52.6070337502505,52.5471217099472,52.9556418146358,53.089546993735,52.8071964792679,52.4471162219621,81.6186253253508
100.8,535.82,0.17791,0.017717,2.2217E-05,0.035455,0.76889,2.5471,12.6,8.6057,473.23,338.71,343.53,343.81,346.89,347.26,349.35,349.47,217.458041929932,52.4413958624291,51.6110453294641,51.5499757516917,51.9749939874936,52.1085405667823,51.8382098456341,51.4713512548486,79.8454757641283
102,531.82,0.17851,0.017388,2.0615E-05,0.034798,0.76929,2.5345,12.75,8.5119,465.98,337.34,342.05,342.31,345.36,345.73,347.82,347.94,212.435872676909,51.4305356767748,50.5954543412746,50.533157431532,50.976465157953,51.1096859704694,50.8507620395211,50.4767273107122,78.0326854593638
103.2,528.04,0.17907,0.017079,1.9239E-05,0.03418,0.76965,2.5184,12.9,8.4181,458.72,335.98,340.56,340.82,343.83,344.2,346.28,346.41,207.289652419024,50.3994047583898,49.5590556810761,49.4944441326499,49.9569814940815,50.0899191454728,49.8437558777426,49.4621067080649,76.404188366869
104.4,524.49,0.17959,0.016791,1.8093E-05,0.033602,0.77,2.4989,13.05,8.3243,451.46,334.62,339.07,339.33,342.31,342.67,344.75,344.87,202.01237585851,49.3467324146189,48.5005154611784,48.4344918420747,48.9172771114665,49.0499745157936,48.8149567243483,48.4262325604625,74.9759961587707
105.6,520.93,0.18011,0.016502,1.6948E-05,0.033024,0.77034,2.4793,13.2,8.2305,444.21,333.26,337.59,337.84,340.78,341.14,343.22,343.34,196.596032513375,48.2711093719629,47.4183508781147,47.3497624070069,47.8549892905641,47.9864564226199,47.765049984272,47.3782650589909,73.5200652883279
106.8,517.38,0.18064,0.016213,1.5802E-05,0.032446,0.77069,2.4598,13.35,8.1366,436.95,331.9,336.1,336.35,339.26,339.6,341.68,341.81,191.023558756505,47.169905660283,46.3109058430085,46.2406747355615,46.7675100898049,46.8998933900707,46.6915409897767,46.3141447076376,72.0354079602524
108,514.04,0.18113,0.015944,1.4831E-05,0.031908,0.77101,2.4418,13.5,8.0428,429.69,330.55,334.61,334.86,337.73,338.07,340.15,340.29,185.28356645963,46.0369416881704,45.1763212313708,45.1032149630157,45.6552297113923,45.7864608809198,45.5927625835505,45.2260986599552,70.715627692894
109.2,510.88,0.18159,0.01569,1.3996E-05,0.031399,0.77131,2.4252,13.65,7.949,421.3,329.2,333.13,333.37,336.2,336.54,338.61,338.76,178.390022142495,44.8764971895089,44.0124982249361,43.9374555476304,44.5151659549866,44.6463884317646,44.4657171312912,44.1112230617107,69.5269731830748
110.4,507.72,0.18205,0.015436,1.3161E-05,0.030891,0.77161,2.4085,13.8,7.8552,412.6,327.85,331.64,331.88,334.68,335.01,337.08,337.23,170.941510464837,43.6840932148076,42.8170526776424,42.7399110902211,43.3439730527786,43.4752803326212,43.307043307065,42.9674295251648,68.3176404744777
111.6,504.56,0.18251,0.015182,1.2327E-05,0.030382,0.77192,2.3919,13.95,7.7614,403.9,326.5,330.15,330.39,333.15,333.48,335.54,335.7,163.15023751132,42.4593923649409,41.5884599378241,41.5078305865291,42.1414285472147,42.2729227756965,42.1153178784157,41.7923437964419,67.0865113118874
