s,kg/m2/s,,Hz,m2/s2/Hz2
3.7,0.000752266,12.9001,11.98003,67516.7467343131
3.8,0.000773008,13.3397,12.31281,44150.7230895832
3.9,0.000792517,13.6574,12.64559,48788.3327127003
4,0.000805633,13.9578,12.97837,31848.0070447917
4.1,0.0008176,14.2949,13.31115,49013.066168242
4.2,0.000829145,14.6979,13.64393,56616.3055632749
4.3,0.000836617,15.0856,13.97671,46259.1100681537
4.4,0.000853774,15.5394,14.30948,35787.9031574762
4.5,0.000874838,16.04,14.64226,24368.5406458375
4.6,0.000900608,16.4649,14.97504,36306.9596191922
4.7,0.000925149,16.7544,15.30782,71668.2110599035
4.8,0.00093767,16.8754,15.6406,21699.340695186
4.9,0.000942639,16.8475,15.97338,30993.1624734891
5,0.00094839,16.7183,16.30616,33129.3962518449
5.1,0.000957769,16.6239,16.63894,62882.9090027386
5.2,0.00097276,16.7476,16.97171,25715.5007848692
5.3,0.000987013,16.9031,17.30449,32040.6076408336
5.4,0.0010129,17.2766,17.63727,43208.9676551371
5.5,0.00105113,17.8733,17.97005,7048.78776436751
5.6,0.00109214,18.5197,18.30283,32519.6781098085
5.7,0.00113706,19.1669,18.63561,7987.4119664315
5.8,0.00117765,19.7711,18.96839,12834.0015170523
5.9,0.00121781,20.3204,19.30116,37652.7355525697
6,0.00125958,20.8546,19.63394,28388.7444827721
6.1,0.00130116,21.4035,19.96672,18463.1063793288
6.2,0.00134837,22.0453,20.2995,30032.7368549946
6.3,0.00141012,22.9544,20.63228,5063.8301292011
6.4,0.00147602,23.9467,20.96506,11996.9511001999
6.5,0.00154267,24.9618,21.29784,18963.0702257219
6.6,0.00161057,26.0008,21.63062,14738.1425107403
6.7,0.00168379,27.2693,21.96339,10899.7214959172
6.8,0.0017753,28.7476,22.29617,16787.1536957774
6.9,0.00186116,30.0928,22.62895,11217.3570860087
7,0.00194892,31.3723,22.96173,8819.91925862676
7.1,0.00203442,32.5577,23.29451,9893.69491909011
7.2,0.0021066,33.7252,23.62729,15618.1300299194
7.3,0.00220798,34.966,23.96007,8836.14666370861
7.4,0.00230049,36.1837,24.29285,9603.55443403649
7.5,0.00241078,37.6173,24.62562,9977.31294440189
7.6,0.00250019,39.0467,24.9584,5490.37288740619
7.7,0.0025911,41.0357,25.29118,9341.82631982833
7.8,0.0026864,42.2607,25.62396,3460.59378620908
7.9,0.00277342,43.6343,25.95674,12341.1700307078
8,0.00289651,45.5315,26.28952,9802.71632196335
8.1,0.00305427,47.6953,26.6223,5519.74977737235
8.2,0.00319721,49.6326,26.95507,7854.74888469233
8.3,0.00339727,52.2971,27.28785,11887.1518922352
8.4,0.00361061,55.1005,27.62063,7882.26249504226
8.5,0.00375107,57.882,27.95341,9696.23886647302
8.6,0.00392626,60.8099,28.28619,9048.26357245605
8.7,0.00407944,63.1207,28.61897,5682.38607774164
8.8,0.00423602,65.3508,28.95175,7907.37574049802
8.9,0.00441822,66.4101,29.28453,8606.03895470191
9,0.00462205,68.7594,29.6173,5840.74198342763
9.1,0.00487308,72.2663,29.95008,7540.37668388803
9.2,0.00510823,75.5756,30.28286,7697.97077475404
9.3,0.00527932,77.5985,30.61564,6279.36266740485
9.4,0.00539684,82.8763,30.94842,9103.98300050713
9.5,0.00575591,88.0234,31.2812,7705.00125444608
9.6,0.00628605,91.7636,31.61398,9006.61770773945
9.7,0.00676872,97.9213,31.94676,10599.5936468197
9.8,0.00715037,101.764,32.27953,8176.30536803384
9.9,0.00713703,103.209,32.61231,8788.59848011366
10,0.00755386,105.93,32.94509,8260.06045517983
10.1,0.00796957,108.426,33.27787,7476.98246710722
10.2,0.008245,119.245,33.61065,8376.91706870208
10.3,0.00848607,126.337,33.94343,5487.70357898786
10.4,0.00858001,126.743,34.27621,8756.3642061002
10.5,0.00889777,128.249,34.60899,7993.25901425678
10.6,0.00915197,125.552,34.94176,5841.08553943383
10.7,0.00901169,134.422,35.27454,8056.54721570275
10.8,0.00915171,150.086,35.60732,7899.68418068352
10.9,0.00971629,150.777,35.9401,7247.41744110245
11,0.0103886,150.975,36.27288,6952.91055735111
11.1,0.0108447,156.884,36.60566,8635.60591378174
11.2,0.00996213,155.271,36.93844,9210.22976757054
11.3,0.010155,170.957,37.27121,5398.04564307601
11.4,0.0105381,157.359,37.60399,8119.96232570157
11.5,0.0113057,155.55,37.93677,8440.295810836
11.6,0.0116555,160.39,38.26955,3043.58972896901
11.7,0.0110707,170.643,38.60233,9400.34240434956
11.8,0.0109908,187.339,38.93511,7330.55295315325
11.9,0.0117007,179.062,39.26789,7932.47625420288
12,0.0125201,180.228,39.60067,8151.62189517796
12.1,0.0129508,188.772,39.93344,6739.35738214735
12.2,0.013598,203.614,40.26622,8559.04946915991
12.3,0.0136126,197.783,40.599,7210.50177748603
12.4,0.0132078,197.151,40.93178,7074.28891763607
12.5,0.0140589,214.652,41.26456,7986.90707586389
12.6,0.0150231,236.32,41.59734,9754.97405418043
12.7,0.0157698,230.572,41.93012,5751.636758947
12.8,0.0166706,230.873,42.2629,6970.88011987925
12.9,0.0169789,218.199,42.59567,4806.274835198
13,0.0154797,228.613,42.92845,5386.57793239811
13.1,0.0145329,266.711,43.26123,7157.1681793341
13.2,0.0159513,250.28,43.59401,8091.19367396379
13.3,0.017518,263.645,43.92679,7924.98508917457
13.4,0.0191875,264.836,44.25957,6731.14947805561
13.5,0.0186213,231.732,44.59235,8064.43258717217
13.6,0.014073,235.15,44.92512,9189.08331573209
13.7,0.0132643,271.494,45.2579,5161.66851595705
13.8,0.0153022,291.009,45.59068,7033.4161784463
13.9,0.017763,295.225,45.92346,7382.0488090005
14,0.0195305,260.704,46.25624,6670.9427625644
14.1,0.0196316,236.035,46.58902,6997.21529183523
14.2,0.0160278,257.304,46.9218,7258.81852920647
14.3,0.011611,577.709,47.25458,7686.69393785627
14.4,0.0124869,208.843,47.58735,7312.16793377073
14.5,0.0160985,265.339,47.92013,7296.47763611907
14.6,0.0184313,255.295,48.25291,7183.86136158846
14.7,0.0198259,235.83,48.58569,7007.89056620651
14.8,0.0171072,242.905,48.91847,6194.31769121705
14.9,0.0107062,347.162,49.25125,9035.66774108427
15,0.0115629,200.093,49.58403,6306.21524485067
15.1,0.0139339,245.028,49.91681,7163.71682378385
15.2,0.0172224,275.467,50.24958,7322.20786841568
15.3,0.0196597,268.564,50.58236,6169.77894335845
15.4,0.019531,232.328,50.91514,8832.96551023743
15.5,0.0152309,276.234,51.24792,6687.61252385076
15.6,0.0113917,510.64,51.5807,8628.64717130996
15.7,0.0117919,189.769,51.91348,7029.4966144464
15.8,0.0145203,254.775,52.24626,6954.30039892029
15.9,0.0174399,281.893,52.57903,7810.84685158326
16,0.0197562,276.121,52.91181,6940.07487229112
16.1,0.0194217,238.964,53.24459,8126.94895713514
16.2,0.0123052,276.03,53.57737,7872.26863229392
16.3,0.0128804,209.94,53.91015,6967.98316868591
16.4,0.0124075,234.079,54.24293,7963.7796948259
16.5,0.0155513,296.35,54.57571,7351.07682332416
16.6,0.0184758,308.193,54.90849,8451.73034877001
16.7,0.0208107,293.729,55.24126,8879.74817261171
16.8,0.0192613,256.315,55.57404,8156.34689773744
16.9,0.0121253,279.108,55.90682,8694.84461725047
17,0.0142578,185.776,56.2396,8826.21051577694
17.1,0.0118251,199.105,56.57238,8191.76462721367
17.2,0.015383,262.542,56.90516,9003.25730850253
17.3,0.0176382,321.02,57.23794,8532.80061811445
17.4,0.019831,326.97,57.57072,8355.77521732893
17.5,0.0198875,242.252,57.90349,9458.14996865172
17.6,0.0138917,262.876,58.23627,7932.19951063401
17.7,0.012665,223.324,58.56905,8678.5167877422
17.8,0.0122422,216.389,58.90183,8786.08240008027
17.9,0.0167694,257.645,59.23461,7869.10121243797
18,0.0181408,321.87,59.56739,10562.3953025491
18.1,0.0195312,370.416,59.90017,9090.90021536747
18.2,0.0198191,298.675,60.23295,10029.3262367961
18.3,0.0205597,247.538,60.56572,10232.3616300436
18.4,0.0114794,253.787,60.8985,7861.91988450558
18.5,0.011828,168.807,61.23128,10146.2495032281
18.6,0.0148452,224.064,61.56406,9577.44102554664
18.7,0.0174221,300.894,61.89684,8970.99917808795
18.8,0.0187897,357.545,62.22962,10250.3684680199
18.9,0.0209216,322.084,62.5624,8096.41377065427
19,0.0184539,229.4,62.89517,10033.6581240449
19.1,0.0132796,234.403,63.22795,9470.3686620478
19.2,0.0117454,231.919,63.56073,8638.17247145353
19.3,0.012145,189.502,63.89351,10461.6645947672
19.4,0.0156398,234.178,64.22629,8942.39401647507
19.5,0.0172006,306.256,64.55907,10769.7371441713
19.6,0.0190354,350.327,64.89185,9110.87458796457
19.7,0.0201853,291.895,65.22463,8813.41673288826
19.8,0.0166084,289.129,65.5574,11000.7788523555
19.9,0.0110948,264.814,65.89018,9157.54840342903
20,0.0116413,181.937,66.22296,10314.2039740506
20.1,0.0148958,232.228,66.55574,9428.94642775398
20.2,0.0173176,286.644,66.88852,7861.2204024825
20.3,0.0184613,337.957,67.2213,11072.2646207609
20.4,0.0205898,298.371,67.55408,9536.26544678667
20.5,0.0162088,226.523,67.88686,8964.62788294073
20.6,0.0108214,262.755,68.21963,10449.1120178887
20.7,0.0121043,207.999,68.55241,9443.2098248762
20.8,0.015792,244.725,68.88519,11029.114758769
20.9,0.0182599,297.739,69.21797,11724.9482252658
21,0.0191007,341.438,69.55075,9407.45317804034
21.1,0.0190527,339.064,69.88353,12715.489435046
21.2,0.0183004,265.296,70.21631,10915.7601075057
21.3,0.0125911,250.734,70.54908,11751.3632903289
21.4,0.0108132,203.106,70.88186,10904.6397412275
21.5,0.01367,201.322,71.21464,9152.10341344841
21.6,0.0172843,246.469,71.54742,10474.8975971518
21.7,0.0179546,294.34,71.8802,10693.9911675865
21.8,0.0196021,306.711,72.21298,9949.35717220645
21.9,0.0183204,269.453,72.54576,11375.4272761633
22,0.0135509,280.131,72.87854,9775.42412773535
22.1,0.012587,543.915,73.21131,11013.0067373542
22.2,0.0131371,203.325,73.54409,8782.75639998955
22.3,0.0183036,264.33,73.87687,10146.5760959808
22.4,0.0198584,306.785,74.20965,11608.1993690742
22.5,0.0217354,314.203,74.54243,9688.42756792841
22.6,0.0179118,269.848,74.87521,15383.0347748952
22.7,0.0113808,252.19,75.20799,12417.013729181
22.8,0.0125479,229.848,75.54077,8258.82060649508
22.9,0.015525,284.502,75.87354,11561.2892222767
23,0.0183462,310.889,76.20632,9011.27346656412
23.1,0.0212219,313.359,76.5391,6373.68122824916
23.2,0.0206302,296.646,76.87188,8542.04549648778
23.3,0.0169378,326.416,77.20466,9510.18554401809
23.4,0.0131681,287.385,77.53744,11528.4123539528
23.5,0.0126716,183.833,77.87022,10342.2498538507
23.6,0.0155037,267.986,78.203,11204.385903226
23.7,0.0184429,357.386,78.53577,14170.26325635
23.8,0.0201688,362.622,78.86855,8483.57493848223
23.9,0.0206139,285.662,79.20133,11545.2329042783
24,0.0196202,244.524,79.53411,9646.92407722522
24.1,0.0119035,209.04,79.86689,5991.51176389292
24.2,0.0115782,255.831,80.19967,16486.0809535992
24.3,0.0123015,198.099,80.53245,10698.7734755886
24.4,0.0143368,251.981,80.86522,10222.4065453322
24.5,0.0170951,272.91,81.198,10500.7150557135
24.6,0.0194318,284.29,81.53078,5382.11725574163
24.7,0.0195278,255.371,81.86356,24529.9063320622
24.8,0.013625,272.263,82.19634,13466.5602000994
24.9,0.0124243,244.476,82.52912,13006.4688789363
25,0.0170077,274.909,82.8619,16429.5292998535
25.1,0.01889,303.102,83.19468,11690.5767574038
25.2,0.0198643,324.385,83.52745,14300.6032683248
25.3,0.0205482,305.722,83.86023,15139.8524142054
25.4,0.0156754,322.251,84.19301,12739.4500917808
25.5,0.0118114,310.867,84.52579,14166.9740158486
25.6,0.0134743,222.891,84.85857,12436.8722659697
25.7,0.0174915,258.864,85.19135,11538.8460295114
25.8,0.0195066,278.906,85.52413,14066.0849117757
25.9,0.0208162,273.631,85.85691,10840.2162930903
26,0.0179768,290.027,86.18968,12929.3865764731
26.1,0.0154012,309.174,86.52246,12053.360073344
26.2,0.0129183,346.774,86.85524,14823.2186270953
26.3,0.0154387,239.128,87.18802,12905.2003387173
26.4,0.0185393,284.365,87.5208,11994.4281414314
26.5,0.0203837,291.867,87.85358,15532.4567527316
26.6,0.0196858,278.519,88.18636,11899.3531676436
26.7,0.0152081,267.72,88.51913,11407.0867108344
26.8,0.0134266,421.379,88.85191,15553.7926692874
26.9,0.0128982,234.189,89.18469,11498.7744855182
27,0.0179887,298.754,89.51747,13927.2990574565
27.1,0.0205766,315.534,89.85025,13010.0614727018
27.2,0.0209912,253.631,90.18303,13387.3884591935
27.3,0.0145079,266.207,90.51581,13214.4357104529
27.4,0.0124283,350.646,90.84859,11942.1628268975
27.5,0.0143325,228.731,91.18136,13723.4652832853
27.6,0.0180335,294.323,91.51414,15818.3074058994
27.7,0.0197691,327.027,91.84692,12154.9756049456
27.8,0.0214469,309.947,92.1797,16573.0019038338
27.9,0.0191966,295.849,92.51248,12631.6990214713
28,0.0152022,339.47,92.84526,12478.4470547741
28.1,0.0138892,188.822,93.17804,15704.1671355958
28.2,0.0142198,247.423,93.51082,14245.0546218368
28.3,0.0180864,285.978,93.84359,14413.8314232894
28.4,0.0202004,300.694,94.17637,13823.0236475738
28.5,0.0213999,255.057,94.50915,15982.5530444006
28.6,0.0149242,265.621,94.84193,16663.1015752207
28.7,0.0131042,436.776,95.17471,14024.8568835504
28.8,0.0127968,228.656,95.50749,15322.9049688049
28.9,0.0169953,302.529,95.84027,16978.4195919712
29,0.0197585,337.103,96.17304,14847.1151670205
29.1,0.0210595,340.969,96.50582,17875.6783521751
29.2,0.0206031,282.488,96.8386,14488.5747249522
29.3,0.0128988,298.808,97.17138,16118.8578163259
29.4,0.0163543,198.165,97.50416,18154.0498853371
29.5,0.0127191,185.757,97.83694,14003.134967072
29.6,0.0158868,242.989,98.16972,19017.5421400215
29.7,0.0181933,310.349,98.5025,16086.6488004456
29.8,0.0196492,357.626,98.83527,15963.4362242691
29.9,0.0209813,308.144,99.16805,19810.5364835967
30,0.0194586,256.162,99.50083,15801.3077476889
30.1,0.0135775,282.838,99.83361,18415.5805987166
30.2,0.012321,227.298,,
30.3,0.0128234,199.241,,
30.4,0.0145242,255.153,,
30.5,0.0176815,294.737,,
30.6,0.0196495,342.489,,
30.7,0.0216256,288.328,,
30.8,0.016571,273.912,,
30.9,0.0130851,259.928,,
31,0.0135025,211.291,,
31.1,0.0172788,265.244,,
31.2,0.0195823,323.568,,
31.3,0.0203969,407.665,,
31.4,0.0211217,408.191,,
31.5,0.0188431,290.995,,
31.6,0.0111221,225.965,,
31.7,0.014895,175.072,,
31.8,0.0141627,214.782,,
31.9,0.0179974,284.087,,
32,0.019492,370.781,,
32.1,0.0202177,423.156,,
32.2,0.0211153,278.628,,
32.3,0.0152288,219.659,,
32.4,0.0112828,225.343,,
32.5,0.0124192,184.748,,
32.6,0.0135578,208.853,,
32.7,0.0165177,257.36,,
32.8,0.0183378,305.939,,
32.9,0.0196857,293.623,,
33,0.0190881,279.433,,
33.1,0.0148411,318.451,,
33.2,0.011418,230.073,,
33.3,0.0134884,211.273,,
33.4,0.0172569,264.743,,
33.5,0.0189591,320.861,,
33.6,0.0208126,319.051,,
33.7,0.0183296,352.818,,
33.8,0.0115828,299.136,,
33.9,0.0126508,234.904,,
34,0.0160876,273.008,,
34.1,0.018873,322.106,,
34.2,0.0213088,305.237,,
34.3,0.0200155,249.825,,
34.4,0.0132868,343.134,,
34.5,0.0163542,187.737,,
34.6,0.0132283,221.455,,
34.7,0.0170365,285.705,,
34.8,0.0191029,313.944,,
34.9,0.0212922,286.47,,
35,0.0202221,416.709,,
35.1,0.0138651,198.371,,
35.2,0.0178729,209.261,,
35.3,0.0125131,289.801,,
35.4,0.0167616,323.653,,
35.5,0.0194525,340.423,,
35.6,0.0207579,285.433,,
35.7,0.0223491,280.559,,
35.8,0.0157545,200.297,,
35.9,0.0157625,222.675,,
36,0.012984,279.489,,
36.1,0.0170142,332.26,,
36.2,0.0192432,373.715,,
36.3,0.0203191,334.513,,
36.4,0.0218238,275.904,,
36.5,0.0210409,234.781,,
36.6,0.011118,190.226,,
36.7,0.0127725,206.844,,
36.8,0.0143734,267.939,,
36.9,0.017417,343.077,,
37,0.0189229,389.453,,
37.1,0.0201645,283.523,,
37.2,0.0192378,289.996,,
37.3,0.014257,215.709,,
37.4,0.0145227,186.018,,
37.5,0.0127749,246.841,,
37.6,0.0162205,319.917,,
37.7,0.0184279,371.59,,
37.8,0.0198171,301.433,,
37.9,0.0212961,289.406,,
38,0.0165327,360.355,,
38.1,0.0126431,188.403,,
38.2,0.0136766,262.214,,
38.3,0.0161736,331.479,,
38.4,0.0189305,370.779,,
38.5,0.0202882,354.048,,
38.6,0.021258,287.94,,
38.7,0.0188254,302.346,,
38.8,0.0121428,182.641,,
38.9,0.0156969,233.287,,
39,0.0139665,295.322,,
39.1,0.0180883,365.786,,
39.2,0.0191787,351.212,,
39.3,0.0210172,265.841,,
39.4,0.0221082,256.723,,
39.5,0.015449,213.027,,
39.6,0.0132122,203.576,,
39.7,0.0132859,247.538,,
39.8,0.015723,288.377,,
39.9,0.0180585,343.818,,
40,0.019357,338.449,,
40.1,0.0208283,297.422,,
40.2,0.0211494,259.179,,
40.3,0.0121868,188.373,,
40.4,0.0134898,199.514,,
40.5,0.0137517,263.374,,
40.6,0.0166299,355.607,,
40.7,0.018286,406.851,,
40.8,0.0205043,292.861,,
40.9,0.0197561,297.263,,
41,0.0152971,237.614,,
41.1,0.0116595,175.425,,
41.2,0.0124456,233.036,,
41.3,0.0148886,293.684,,
41.4,0.0175833,336.113,,
41.5,0.0192881,285.273,,
41.6,0.0207269,255.578,,
41.7,0.0185405,390.131,,
41.8,0.0142956,187.113,,
41.9,0.0149437,227.053,,
42,0.0138265,295.285,,
42.1,0.0174428,325.312,,
42.2,0.0191898,308.708,,
42.3,0.0211456,232.014,,
42.4,0.0181978,361.218,,
42.5,0.0120625,230.205,,
42.6,0.0132136,241.964,,
42.7,0.0137567,295.33,,
42.8,0.0180874,325.897,,
42.9,0.0205264,287.672,,
43,0.0218641,278.433,,
43.1,0.0171474,349.439,,
43.2,0.0121757,172.044,,
43.3,0.0144983,235.566,,
43.4,0.0136433,297.383,,
43.5,0.0177015,319.898,,
43.6,0.0192737,276.352,,
43.7,0.0209675,221.973,,
43.8,0.0189248,279.249,,
43.9,0.0114304,204.911,,
44,0.0125323,234.847,,
44.1,0.0131353,280.511,,
44.2,0.0167465,314.775,,
44.3,0.0185735,343.492,,
44.4,0.0204494,346.98,,
44.5,0.019577,301.621,,
44.6,0.0140327,205.899,,
44.7,0.0136942,197.701,,
44.8,0.0132207,264.031,,
44.9,0.0172023,338.629,,
45,0.0189259,354.392,,
45.1,0.0210469,242.29,,
45.2,0.0206561,258.539,,
45.3,0.0160506,398.514,,
45.4,0.0114817,202.791,,
45.5,0.0119185,258.52,,
45.6,0.0162364,295.092,,
45.7,0.0187582,316.811,,
45.8,0.0204575,311.22,,
45.9,0.020003,302.29,,
46,0.0191148,315.649,,
46.1,0.0122453,198.547,,
46.2,0.0110304,236.695,,
46.3,0.0165901,275.49,,
46.4,0.0192082,260.237,,
46.5,0.0207383,222.993,,
46.6,0.0193773,367.141,,
46.7,0.0136005,255.657,,
46.8,0.0123064,313.207,,
46.9,0.0147634,322.628,,
47,0.0179027,287.786,,
47.1,0.0207058,250.747,,
47.2,0.0205,313.089,,
47.3,0.015637,305.606,,
47.4,0.0116605,206.904,,
47.5,0.0117913,266.594,,
47.6,0.0166452,295.407,,
47.7,0.0193115,273.02,,
47.8,0.0213028,246.548,,
47.9,0.0192864,332.106,,
48,0.0124532,220.848,,
48.1,0.0136615,226.257,,
48.2,0.0128093,295.728,,
48.3,0.0175954,298.232,,
48.4,0.0205736,264.47,,
48.5,0.0218629,306.332,,
48.6,0.0214408,298.819,,
48.7,0.0123246,200.307,,
48.8,0.0119131,267.888,,
48.9,0.0153546,328.357,,
49,0.018667,299.226,,
49.1,0.0214078,264.774,,
49.2,0.0205601,345.827,,
49.3,0.0144592,236.991,,
49.4,0.0134777,193.214,,
49.5,0.0117491,246.951,,
49.6,0.0152201,295.465,,
49.7,0.0188372,281.594,,
49.8,0.021466,255.114,,
49.9,0.020725,387.365,,
50,0.013141,,,
