cm,K,K,cm,K,K,K,K,K,K,K,K,K,K
63.8,1177.1,432.80480588829,14.5,899.65,445.847507562844,662.58,350.97008419522,567.82,302.134076197969,502.22,230.566693171412,468.41,184.260684900496
66,1167.3,438.497434428071,15,881.53,447.057043340109,648.34,347.562943939655,560.3,298.025166722544,496.42,225.884926455928,463.1,178.69806937961
68.2,1157.1,443.644001424566,15.5,863.41,448.252161177166,636.07,344.818792991333,552.78,293.857108132507,490.62,221.104047905053,457.81,172.933513235578
70.4,1146.6,448.252161177166,16,846.31,449.299454706992,625.02,342.490875790874,545.25,289.630799467184,485.03,216.510969698997,452.53,166.970057195894
72.6,1135.6,452.714037776608,16.5,832.92,449.811071451115,613.97,340.147027033899,538.19,285.327881567855,480.13,212.800375939518,447.44,161.062099824881
74.8,1124.1,457.197987747103,17,819.52,450.322106941243,603.92,337.934904974316,531.24,280.957292128181,475.23,209.02152999153,442.5,155.164428913331
77,1112.2,461.45422308177,17.5,806.12,450.821472425616,596.12,336.035712387835,524.28,276.517630540984,470.36,205.190155709283,437.57,149.033553269054
79.2,1099.9,465.467506921804,18,794.94,450.66617356975,588.33,334.125724840216,518.22,272.080870330863,466.05,201.511786255792,432.88,143.167733795014
81.4,1087.1,469.265383338682,18.5,784.31,450.35541520004,580.53,332.204756136934,512.71,267.619132350436,461.74,197.765012072409,428.69,138.141232077899
83.6,1074.2,472.810744378763,19,773.68,450.033332098857,575.02,329.454093919016,507.2,263.079835791343,457.43,193.945868736614,424.5,132.924790765305
85.8,1061.2,476.193238087229,19.5,763.56,449.85553236567,569.5,326.695576952,502.25,258.882212598703,453.4,190.218295650024,420.42,127.738013136263
88,1048.6,479.353731601205,20,754.27,449.922215499524,563.98,323.898132134163,498.07,255.196003103497,449.4,186.434975259472,417.21,124.289983506315
90.2,1036.6,482.151428495239,20.5,744.97,449.977777229054,559.53,321.309819333303,493.88,251.455761516812,445.4,182.573272961844,414,120.739388767709
92.4,1024.9,484.499742001995,21,735.68,450.033332098857,555.56,318.794604722225,489.59,247.624716052336,440.71,177.994381933813,410.79,117.081168426011
94.6,1013.2,486.343500007968,21.5,727.63,449.388473372426,551.59,316.259387212459,484.94,243.608292141298,435.77,173.052015301758,407.71,114.149025401008
96.8,1001.3,487.647413609464,22,719.65,448.698116777862,547.83,314.151237463741,480.28,239.524529015297,431,167.979165374757,404.65,111.247471881387
99,989.09,488.589807507279,22.5,711.67,448.006696378525,544.47,312.878570694766,475.79,235.114865544482,426.43,162.766704211887,401.78,108.480412978565
101.2,976.39,489.407805413849,23,703.59,446.66542288384,541.11,311.600706032576,471.33,230.555850066746,421.9,157.372170347873,399.25,106.014149998951
103.4,963.18,489.775458756357,23.5,695.41,444.600944668362,537.94,310.425514415294,466.8,225.721066805914,417.57,151.730023396822,396.72,103.489129863962
105.6,949.73,490.02040773829,24,687.23,442.515536450417,535.1,309.431737221637,462.16,220.463148848056,413.24,145.873232637109,394.37,101.044544632553
107.8,936.02,490,24.5,679.04,440.431606495265,532.27,308.436379177295,457.52,215.076730494026,409.33,140.495551531,392.06,98.5626704183688
110,922.16,489.897948556636,25,669.83,437.024026799443,529.67,307.268612129518,453.44,210.648997149286,405.45,134.962957881042,389.82,96.120237203203
112.2,908.43,489.652938314476,25.5,660.55,433.508938777507,527.46,305.825113422688,449.38,206.181958473577,401.91,130.238243231395,387.73,93.8322972115678
114.4,895.02,489.234095295902,26,651.27,429.953485856319,525.24,304.374768993752,445.86,202.620334616247,398.55,125.892811550144,385.64,91.4871575686992
116.6,882.13,488.733055972276,26.5,641.68,425.605451092911,523.02,302.608658170912,442.81,199.887468341565,395.4,121.913904047077,383.65,89.3694578701247
118.8,869.87,488.262224629348,27,631.63,419.988095069372,520.78,300.366442866043,439.82,197.169977430642,392.57,118.621245989072,381.69,87.273134468747
121,857.37,487.031826475437,27.5,621.57,414.2945811859,518.54,298.105685957179,437.23,194.833262047321,389.78,115.334296720447,379.75,85.2179558543855
123.2,844.98,485.046389534032,28,611.51,408.53396431631,516.02,295.783704757378,434.65,192.468179188145,387.31,112.649900133112,377.87,83.356463456651
125.4,833.27,482.483160327902,28.5,601.33,402.430118157178,513.11,293.378594992886,431.95,189.831504234677,384.84,109.89540481749,375.99,81.4518262533137
127.6,822.13,479.489311663983,29,591.12,396.18177646126,510.19,290.951886056784,429.2,187.048122150424,382.53,107.684725007774,374.18,79.6542528682556
129.8,811.52,476.004201662128,29.5,580.92,389.833297705571,506.92,288.598336793544,426.36,184.059772900001,380.25,105.536723466289,372.4,77.8639839720522
132,801.42,472.101683962258,30,571.14,383.718646927668,503.17,286.345944619441,423.3,180.579622327659,378.11,103.682206766639,370.65,76.1065043212471
134.2,791.59,467.89956187199,30.5,562.34,378.272388630204,499.42,284.073934038306,420.23,177.028246333742,376.05,102.034307955707,369.03,74.5519952784632
136.4,781.89,463.475997221,31,553.55,372.746562693742,495.44,281.472911662916,417.16,173.430101193536,374.08,100.419121685066,367.4,72.9636895996906
138.6,772.27,458.857276285339,31.5,544.75,367.123957267842,491.16,278.47082432456,414.08,169.758652209541,372.29,98.9125876721462,365.92,71.6344889002497
140.8,762.83,453.88324489895,32,537.64,362.877389761335,486.88,275.434202669167,411.13,166.297925423019,370.52,97.3827500125151,364.5,70.3974431353867
143,753.56,448.943203534701,32.5,531.06,359.054313440181,482.42,271.801398083233,408.34,163.15023751132,368.97,95.8697032435169,363.1,69.1773084182957
145.2,744.49,444.07206622349,33,524.48,355.176012703561,477.74,267.47897113605,405.56,159.949992185058,367.41,94.3323910435859,361.8,68.092584030862
147.4,735.96,439.624840062524,33.5,517.67,351.041308110598,473.07,263.085537420817,403.21,157.15597347858,365.96,92.7404981655803,360.51,66.9910441775615
149.6,727.59,435.258543856407,34,510.05,346.092473191776,468.17,258.383436001614,400.86,154.311373527683,364.52,91.1131165090955,359.28,65.9439155646675
151.8,719.78,431.126431571993,34.5,502.43,341.071839939916,463.05,253.34166652961,398.75,151.641023473201,363.11,89.4360106444826,358.08,64.9160996979948
154,712,427.001170958582,35,494.8,335.976189632539,457.93,248.199516518465,396.81,149.090576496303,361.72,87.7080384001375,356.89,63.8678322788554
156.2,704.63,423.225708103844,35.5,486.23,329.195990255046,452.74,243.345433489104,394.88,146.540096901838,360.35,85.9552209001873,355.79,62.7845522401809
158.4,697.26,419.392417671088,36,477.19,321.465394716134,447.47,238.784421602415,393.01,144.180442501748,359.06,84.1944178672197,354.68,61.6822502832055
160.6,690.03,415.355269618672,36.5,468.15,313.534687076247,442.21,234.136712200372,391.14,141.781522068286,357.77,82.3959950483032,353.6,60.4797486767265
162.8,682.8,411.278494453576,37,459.17,305.385002906168,436.87,229.752040252094,389.13,139.348484024764,356.18,80.0024999609387,352.53,59.2047295408061
165,675.8,407.001228499374,37.5,450.63,296.885499814322,431.46,225.614715832102,387.08,136.875856161706,354.64,77.6401957751267,351.47,57.9145922889905
167.2,668.85,402.641279552904,38,442.09,288.137120135536,426.06,221.397831967705,384.57,133.790881602597,353.62,76.3367539262707,350.45,56.6939150173985
169.4,662.11,398.195931671834,38.5,433.55,279.112880390712,420.6,217.154323005553,381.13,129.433380547678,352.59,75.0113324771664,349.43,55.4454687057473
171.6,655.63,393.649590371945,39,425.1,269.727640407875,415.11,212.873201695281,378.19,125.68213874692,351.56,73.6613874428116,348.15,54.0175897277914
173.8,649.15,389.062976907338,39.5,416.72,259.963458970679,409.63,208.504196600452,375.86,122.755855257499,350.52,72.3069844482537,346.69,52.4442561201892
176,642.81,384.109359427755,40,408.34,249.815932238118,404.36,204.093116003456,373.52,119.758089497119,349.34,71.1716235588314,345.69,51.4966018296353
178.2,636.49,379.077828420497,40.5,399.96,239.234194880247,399.27,199.624647776771,371.19,116.679046962169,348.16,70.0171407585314,344.85,50.7720395493425
180.4,630.22,373.818137601695,41,391.54,228.041662860101,394.18,195.056402099495,368.67,113.622180933126,346.98,68.8440266108833,344.01,50.037985570964
182.6,624.12,367.913033202141,41.5,383.12,216.272975658079,389.62,190.772115362807,365.99,110.575765880233,345.8,67.6505727987576,343.17,49.2930015316576
184.8,618.02,361.911591414257,42,374.71,203.823453017556,385.45,186.686903664933,363.3,107.447661677675,344.66,66.5447218042123,342.36,48.7052358581703
187,612.03,355.640267686324,42.5,366.47,190.918830920368,381.28,182.507534091062,360.61,104.225716596241,343.61,65.7305104194392,341.55,48.1466509738736
189.2,606.25,348.912596505199,43,358.4,177.462672131353,375.62,176.011363269534,357.92,100.900941521871,342.56,64.9053156528801,340.75,47.5825598302571
191.4,600.46,342.052627529741,43.5,350.34,162.901810916883,368.97,167.693172192549,355.29,98.116257572331,341.51,64.0702739185654,339.94,47.0106370941726
193.6,594.8,335.335652742144,44,342.28,146.901327427631,364.8,161.993827042885,352.69,95.458891675946,340.46,63.2234133845999,339.15,46.4456671822033
195.8,589.44,329.211178425035,44.5,336.37,134.885136319759,361.12,156.716304193278,350.09,92.7254010506291,339.42,62.3658560431908,338.4,45.9641164388047
198,584.07,322.970586896083,45,330.58,122.00409829182,357.45,151.254751991466,347.48,89.909398841278,338.48,61.6376508312898,337.65,45.4785663802192
200.2,578.73,316.654385726773,45.5,324.78,107.58717395675,353.83,145.715476185613,344.88,87.0017241208472,337.67,61.0516175051898,336.9,44.9866646907725
202.4,573.68,311.033760225478,46,320.24,95.1157189953375,350.68,141.141772696817,342.32,84.0713982279348,336.86,60.4599040687297,336.15,44.4904484131145
204.6,568.64,305.308041164985,46.5,317.53,87.4408371414638,347.54,136.4148085803,340.32,82.0828849395536,336.04,59.8623420858222,335.4,43.9886348958455
206.8,563.59,299.474539819331,47,314.82,79.0234142517267,344.39,131.518059596392,338.32,80.0456119971607,335.23,59.258754627481,334.66,43.4798804046193
209,558.74,293.646045435657,47.5,312.11,69.5952584591795,341.25,126.431799797361,336.33,77.9544738934206,334.42,58.6489556599263,333.94,42.9639383669607
211.2,553.99,287.772479573708,48,309.77,59.9916660878826,338.69,122.257924078564,334.33,75.8056726109597,333.6,58.0327493748142,333.21,42.4429028224979
213.4,549.25,281.778281632918,48.5,307.81,50.5964425626941,336.49,118.638105177047,332.33,73.5941573767918,332.73,57.2695381507482,332.48,41.9153909679965
215.6,544.52,275.659209895117,49,307.02,46.8966949794972,334.28,114.904308013233,330.33,71.3147950989134,331.83,56.459720155169,331.76,41.3799468341853
217.8,540.11,269.620103108058,49.5,306.23,42.8777331490367,332.08,111.04503590886,328.61,69.3296473379174,330.94,55.6381164310942,331.03,40.8387071293889
220,535.7,263.442593367132,50,305.45,38.4408636739603,329.87,107.042047812997,327.17,67.6875173130172,330.04,54.8051092508719,330.3,40.2901973189509
