s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANOL,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 6.2004288E+001, 2.3112480E-001,-4.6090578E-002,-1.7967048E-001,-1.1471045E-002,-6.7451042E-006, 0.0000000E+000, 0.0000000E+000,-6.7829785E-003,-6.1140458E-003, 0.0000000E+000, 1.0960088E-005, 0.0000000E+000, 0.0000000E+000
 6.4003380E+001, 2.3513185E-001,-4.7044729E-002,-1.5594352E-001,-1.1564641E-002,-6.5816060E-006, 0.0000000E+000, 0.0000000E+000, 1.9947022E-002, 2.0572379E-002, 0.0000000E+000, 1.1165583E-005, 0.0000000E+000, 0.0000000E+000
 6.6010490E+001, 2.3090726E-001,-4.6221342E-002,-1.6941122E-001,-1.1703641E-002,-6.0931175E-006, 0.0000000E+000, 0.0000000E+000, 2.8621374E-003, 3.5649654E-003, 0.0000000E+000, 1.0917163E-005, 0.0000000E+000, 0.0000000E+000
 6.8005264E+001, 2.3397403E-001,-4.6792140E-002,-2.0006590E-001,-1.2005566E-002,-6.0721655E-006, 0.0000000E+000, 0.0000000E+000,-2.5455948E-002,-2.4895639E-002, 0.0000000E+000, 1.1088821E-005, 0.0000000E+000, 0.0000000E+000
 7.0009201E+001, 2.3747632E-001,-4.7371191E-002,-1.8497211E-001,-1.1125250E-002,-5.9115303E-006, 0.0000000E+000, 0.0000000E+000,-6.6199669E-003,-5.9981440E-003, 0.0000000E+000, 1.1252108E-005, 0.0000000E+000, 0.0000000E+000
 7.2008202E+001, 2.3250517E-001,-4.6379749E-002,-1.5920285E-001,-1.1279022E-002,-5.6411685E-006, 0.0000000E+000, 0.0000000E+000, 1.4929374E-002, 1.5637903E-002, 0.0000000E+000, 1.1039160E-005, 0.0000000E+000, 0.0000000E+000
 7.4004242E+001, 2.3742139E-001,-4.7454850E-002,-1.7536078E-001,-1.1794907E-002,-5.3779181E-006, 0.0000000E+000, 0.0000000E+000, 2.3720300E-003, 2.8054766E-003, 0.0000000E+000, 1.1247592E-005, 0.0000000E+000, 0.0000000E+000
 7.6000282E+001, 2.4544498E-001,-4.9062053E-002,-1.8532832E-001,-1.1951255E-002,-5.4337389E-006, 0.0000000E+000, 0.0000000E+000,-1.4272403E-003,-9.0207558E-004, 0.0000000E+000, 1.1630151E-005, 0.0000000E+000, 0.0000000E+000
 7.8002922E+001, 2.3955844E-001,-4.7820616E-002,-1.8691177E-001,-1.1016046E-002,-5.0290783E-006, 0.0000000E+000, 0.0000000E+000,-6.8588864E-003,-6.1950215E-003, 0.0000000E+000, 1.1335858E-005, 0.0000000E+000, 0.0000000E+000
 8.0003883E+001, 2.3841140E-001,-4.7588886E-002,-1.6260973E-001,-1.1576370E-002,-4.8652893E-006, 0.0000000E+000, 0.0000000E+000, 1.6031013E-002, 1.6631546E-002, 0.0000000E+000, 1.1309969E-005, 0.0000000E+000, 0.0000000E+000
 8.2005066E+001, 2.3924974E-001,-4.7865105E-002,-1.6399070E-001,-1.1169403E-002,-4.6107300E-006, 0.0000000E+000, 0.0000000E+000, 1.5347165E-002, 1.6219920E-002, 0.0000000E+000, 1.1320848E-005, 0.0000000E+000, 0.0000000E+000
 8.4008217E+001, 2.4111109E-001,-4.8186632E-002,-2.0997598E-001,-1.1405622E-002,-4.4870247E-006, 0.0000000E+000, 0.0000000E+000,-2.9262471E-002,-2.8461630E-002, 0.0000000E+000, 1.1471233E-005, 0.0000000E+000, 0.0000000E+000
 8.6000710E+001, 2.4752667E-001,-4.9432571E-002,-1.5638331E-001,-1.1357456E-002,-4.2572768E-006, 0.0000000E+000, 0.0000000E+000, 2.9491217E-002, 3.0349076E-002, 0.0000000E+000, 1.1706502E-005, 0.0000000E+000, 0.0000000E+000
 8.8006096E+001, 2.4121111E-001,-4.8328506E-002,-1.7851294E-001,-1.1489170E-002,-4.0153633E-006, 0.0000000E+000, 0.0000000E+000, 2.5860851E-003, 2.8764847E-003, 0.0000000E+000, 1.1469970E-005, 0.0000000E+000, 0.0000000E+000
 9.0002090E+001, 2.5405882E-001,-5.0900703E-002,-2.0902919E-001,-1.1747561E-002,-4.0720908E-006, 0.0000000E+000, 0.0000000E+000,-1.8378920E-002,-1.7622707E-002, 0.0000000E+000, 1.2008199E-005, 0.0000000E+000, 0.0000000E+000
 9.2005348E+001, 2.4899350E-001,-4.9766797E-002,-1.7487690E-001,-1.1120771E-002,-3.4881771E-006, 0.0000000E+000, 0.0000000E+000, 1.2048825E-002, 1.3225553E-002, 0.0000000E+000, 1.1782300E-005, 0.0000000E+000, 0.0000000E+000
 9.4009933E+001, 2.4408337E-001,-4.8881925E-002,-1.6381586E-001,-1.1335072E-002,-3.3765988E-006, 0.0000000E+000, 0.0000000E+000, 1.9051155E-002, 2.0047134E-002, 0.0000000E+000, 1.1611220E-005, 0.0000000E+000, 0.0000000E+000
 9.6007401E+001, 2.4757271E-001,-4.9524863E-002,-2.1253356E-001,-1.1439952E-002,-3.1334771E-006, 0.0000000E+000, 0.0000000E+000,-2.6375754E-002,-2.5928793E-002, 0.0000000E+000, 1.1695281E-005, 0.0000000E+000, 0.0000000E+000
 9.8004005E+001, 2.5225546E-001,-5.0582991E-002,-2.0266811E-001,-1.1525398E-002,-2.9280075E-006, 0.0000000E+000, 0.0000000E+000,-1.3346317E-002,-1.2523966E-002, 0.0000000E+000, 1.1946163E-005, 0.0000000E+000, 0.0000000E+000
 1.0000572E+002, 2.4574442E-001,-4.9006967E-002,-2.0215069E-001,-1.0998264E-002,-2.6734253E-006, 0.0000000E+000, 0.0000000E+000,-1.7318024E-002,-1.6414172E-002, 0.0000000E+000, 1.1659420E-005, 0.0000000E+000, 0.0000000E+000
 1.0200682E+002, 2.4924108E-001,-4.9743313E-002,-1.5130109E-001,-1.1041480E-002,-2.3858487E-006, 0.0000000E+000, 0.0000000E+000, 3.6093004E-002, 3.7152806E-002, 0.0000000E+000, 1.1781476E-005, 0.0000000E+000, 0.0000000E+000
 1.0400558E+002, 2.4609451E-001,-4.9256007E-002,-1.8160068E-001,-1.1437185E-002,-2.2590786E-006, 0.0000000E+000, 0.0000000E+000, 3.2140107E-003, 3.7983802E-003, 0.0000000E+000, 1.1705066E-005, 0.0000000E+000, 0.0000000E+000
 1.0600579E+002, 2.4820807E-001,-4.9852336E-002,-1.7638327E-001,-1.1408808E-002,-1.9128086E-006, 0.0000000E+000, 0.0000000E+000, 9.8683826E-003, 1.0561744E-002, 0.0000000E+000, 1.1737282E-005, 0.0000000E+000, 0.0000000E+000
 1.0800222E+002, 2.5117824E-001,-5.0401908E-002,-1.9430030E-001,-1.1291028E-002,-1.5880673E-006, 0.0000000E+000, 0.0000000E+000,-5.7801837E-003,-4.8165867E-003, 0.0000000E+000, 1.1904819E-005, 0.0000000E+000, 0.0000000E+000
 1.1000542E+002, 2.5575111E-001,-5.1234804E-002,-2.0642222E-001,-1.1167352E-002,-1.4733134E-006, 0.0000000E+000, 0.0000000E+000,-1.4036374E-002,-1.3074739E-002, 0.0000000E+000, 1.2103808E-005, 0.0000000E+000, 0.0000000E+000
 1.1200089E+002, 2.5100594E-001,-5.0104074E-002,-1.8682152E-001,-1.1070658E-002,-1.5104643E-006, 0.0000000E+000, 0.0000000E+000, 1.9817893E-003, 3.0081747E-003, 0.0000000E+000, 1.1925836E-005, 0.0000000E+000, 0.0000000E+000
 1.1400010E+002, 2.5307122E-001,-5.0577907E-002,-1.9022829E-001,-1.1325257E-002,-1.3031568E-006, 0.0000000E+000, 0.0000000E+000, 2.4348737E-004, 9.3846510E-004, 0.0000000E+000, 1.1994676E-005, 0.0000000E+000, 0.0000000E+000
 1.1600944E+002, 2.5427372E-001,-5.0807017E-002,-1.8836093E-001,-1.1472973E-002,-9.1566689E-007, 0.0000000E+000, 0.0000000E+000, 2.7376792E-003, 3.6318821E-003, 0.0000000E+000, 1.2023568E-005, 0.0000000E+000, 0.0000000E+000
 1.1800834E+002, 2.5598639E-001,-5.1121380E-002,-1.7422763E-001,-1.1141695E-002,-5.9007335E-007, 0.0000000E+000, 0.0000000E+000, 1.8626200E-002, 1.9495092E-002, 0.0000000E+000, 1.2153279E-005, 0.0000000E+000, 0.0000000E+000
 1.2000198E+002, 2.6257848E-001,-5.2745883E-002,-2.1223808E-001,-1.1363597E-002,-3.5471116E-007, 0.0000000E+000, 0.0000000E+000,-1.4948005E-002,-1.3769438E-002, 0.0000000E+000, 1.2445090E-005, 0.0000000E+000, 0.0000000E+000
 1.2200477E+002, 2.6036018E-001,-5.2176658E-002,-1.7501031E-001,-1.1356074E-002,-1.3870843E-007, 0.0000000E+000, 0.0000000E+000, 2.0879106E-002, 2.1816998E-002, 0.0000000E+000, 1.2361181E-005, 0.0000000E+000, 0.0000000E+000
 1.2400451E+002, 2.5922348E-001,-5.2066624E-002,-1.7536006E-001,-1.2090124E-002, 1.7110644E-007, 0.0000000E+000, 0.0000000E+000, 1.9339747E-002, 1.9706846E-002, 0.0000000E+000, 1.2249747E-005, 0.0000000E+000, 0.0000000E+000
 1.2600401E+002, 2.6001057E-001,-5.2025306E-002,-2.1622015E-001,-1.1819820E-002, 3.7678044E-007, 0.0000000E+000, 0.0000000E+000,-2.1003791E-002,-2.0054332E-002, 0.0000000E+000, 1.2339902E-005, 0.0000000E+000, 0.0000000E+000
 1.2800670E+002, 2.5765997E-001,-5.1689047E-002,-2.0224373E-001,-1.1693989E-002, 6.6652626E-007, 0.0000000E+000, 0.0000000E+000,-8.7436062E-003,-7.9661304E-003, 0.0000000E+000, 1.2213097E-005, 0.0000000E+000, 0.0000000E+000
 1.3000334E+002, 2.7592617E-001,-5.5319313E-002,-2.2710363E-001,-1.1488487E-002, 7.4132581E-007, 0.0000000E+000, 0.0000000E+000,-1.8888833E-002,-1.7984511E-002, 0.0000000E+000, 1.3051710E-005, 0.0000000E+000, 0.0000000E+000
 1.3200481E+002, 2.6832673E-001,-5.3757746E-002,-1.8638935E-001,-1.1208163E-002, 1.1755388E-006, 0.0000000E+000, 0.0000000E+000, 1.6022731E-002, 1.6972646E-002, 0.0000000E+000, 1.2737231E-005, 0.0000000E+000, 0.0000000E+000
 1.3400156E+002, 2.6849960E-001,-5.3939221E-002,-1.7988536E-001,-1.1608202E-002, 1.5018113E-006, 0.0000000E+000, 0.0000000E+000, 2.2193667E-002, 2.3068322E-002, 0.0000000E+000, 1.2714560E-005, 0.0000000E+000, 0.0000000E+000
 1.3600020E+002, 2.6664094E-001,-5.3620913E-002,-2.3907800E-001,-1.1610030E-002, 1.6103068E-006, 0.0000000E+000, 0.0000000E+000,-3.8205627E-002,-3.7666397E-002, 0.0000000E+000, 1.2639124E-005, 0.0000000E+000, 0.0000000E+000
 1.3800433E+002, 2.6964575E-001,-5.4220483E-002,-1.4972053E-001,-1.1196933E-002, 2.2092278E-006, 0.0000000E+000, 0.0000000E+000, 5.3253598E-002, 5.4510013E-002, 0.0000000E+000, 1.2778363E-005, 0.0000000E+000, 0.0000000E+000
 1.4000928E+002, 2.6687630E-001,-5.3660303E-002,-2.6852850E-001,-1.1759121E-002, 2.4478066E-006, 0.0000000E+000, 0.0000000E+000,-6.7728074E-002,-6.7069179E-002, 0.0000000E+000, 1.2620081E-005, 0.0000000E+000, 0.0000000E+000
 1.4200919E+002, 2.7062478E-001,-5.4077355E-002,-1.7875525E-001,-1.1496005E-002, 2.5295538E-006, 0.0000000E+000, 0.0000000E+000, 2.5340956E-002, 2.6298703E-002, 0.0000000E+000, 1.2868947E-005, 0.0000000E+000, 0.0000000E+000
 1.4400873E+002, 2.6620580E-001,-5.3352978E-002,-1.9177917E-001,-1.1337282E-002, 2.6018249E-006, 0.0000000E+000, 0.0000000E+000, 8.8856144E-003, 9.7389742E-003, 0.0000000E+000, 1.2582912E-005, 0.0000000E+000, 0.0000000E+000
 1.4600354E+002, 2.6902289E-001,-5.3989453E-002,-1.9764202E-001,-1.1034692E-002, 2.7114366E-006, 0.0000000E+000, 0.0000000E+000, 5.4477500E-003, 6.3594332E-003, 0.0000000E+000, 1.2744049E-005, 0.0000000E+000, 0.0000000E+000
 1.4800336E+002, 2.6795074E-001,-5.3691434E-002,-1.9589361E-001,-1.1163867E-002, 2.9813418E-006, 0.0000000E+000, 0.0000000E+000, 6.1895837E-003, 7.2048094E-003, 0.0000000E+000, 1.2700307E-005, 0.0000000E+000, 0.0000000E+000
 1.5000500E+002, 2.6771829E-001,-5.3646348E-002,-2.0426676E-001,-1.1505874E-002, 3.2463965E-006, 0.0000000E+000, 0.0000000E+000,-2.5518497E-003,-1.6974492E-003, 0.0000000E+000, 1.2677217E-005, 0.0000000E+000, 0.0000000E+000
 1.5200020E+002, 2.7458368E-001,-5.5088469E-002,-1.9268157E-001,-1.1546113E-002, 3.5301600E-006, 0.0000000E+000, 0.0000000E+000, 1.4599892E-002, 1.5271056E-002, 0.0000000E+000, 1.3028421E-005, 0.0000000E+000, 0.0000000E+000
 1.5400128E+002, 2.8018247E-001,-5.6391288E-002,-2.0900687E-001,-1.1505567E-002, 4.1111526E-006, 0.0000000E+000, 0.0000000E+000, 2.2215322E-003, 3.2828574E-003, 0.0000000E+000, 1.3293679E-005, 0.0000000E+000, 0.0000000E+000
 1.5600827E+002, 2.7567835E-001,-5.5386069E-002,-1.9437911E-001,-1.1289869E-002, 3.8597877E-006, 0.0000000E+000, 0.0000000E+000, 1.3734447E-002, 1.4627159E-002, 0.0000000E+000, 1.3061561E-005, 0.0000000E+000, 0.0000000E+000
 1.5800900E+002, 2.7335151E-001,-5.4896634E-002,-2.6032891E-001,-1.1217218E-002, 4.6322021E-006, 0.0000000E+000, 0.0000000E+000,-5.3929536E-002,-5.3086621E-002, 0.0000000E+000, 1.2934302E-005, 0.0000000E+000, 0.0000000E+000
 1.6000195E+002, 2.7388998E-001,-5.4900415E-002,-1.9879357E-001,-1.1400996E-002, 4.9239438E-006, 0.0000000E+000, 0.0000000E+000, 7.5766729E-003, 8.7999211E-003, 0.0000000E+000, 1.3000163E-005, 0.0000000E+000, 0.0000000E+000
 1.6200882E+002, 2.7578386E-001,-5.5562065E-002,-1.9458039E-001,-1.1449728E-002, 4.8268081E-006, 0.0000000E+000, 0.0000000E+000, 1.3502297E-002, 1.4196507E-002, 0.0000000E+000, 1.3076586E-005, 0.0000000E+000, 0.0000000E+000
