s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS
 7.6004405E+000, 1.5694992E+001,-5.4507386E+000,-8.8723132E+000,-2.2420007E-001,-1.5877101E-004, 0.0000000E+000, 0.0000000E+000, 8.8521475E-001, 1.1475809E+000, 1.2737153E-001, 3.3179488E-004,-8.5404572E-070,-1.2661443E-072
 7.8001714E+000, 1.3887969E+001,-4.7037519E+000,-9.6695757E+000,-2.2079800E-001,-1.6233151E-004, 0.0000000E+000, 0.0000000E+000,-9.8696962E-001,-7.0631847E-001, 1.2737156E-001, 3.3179494E-004,-1.6626259E-069,-3.6781622E-072
 8.0004368E+000, 1.5947997E+001,-4.9472165E+000,-9.1410592E+000,-2.1903931E-001,-1.6429145E-004, 0.0000000E+000, 0.0000000E+000, 1.3028663E+000, 1.6405178E+000, 1.2737157E-001, 3.3179499E-004,-3.1208130E-069,-1.0187749E-071
 8.2000103E+000, 1.4744065E+001,-5.2151600E+000,-8.5985933E+000,-2.3314275E-001,-1.5797093E-004, 0.0000000E+000, 0.0000000E+000, 4.7433743E-001, 6.9701110E-001, 1.2737159E-001, 3.3179502E-004,-5.6264883E-069,-2.6806256E-071
 8.4001884E+000, 1.5019279E+001,-4.9307312E+000,-9.7642472E+000,-2.2583488E-001,-1.6011439E-004, 0.0000000E+000, 0.0000000E+000,-1.6615351E-001, 9.8305255E-002, 1.2737159E-001, 3.3179504E-004,-9.7832880E-069,-6.7410745E-071
 8.6004047E+000, 1.4568587E+001,-4.8615987E+000,-1.1211337E+001,-2.2766794E-001,-1.6031431E-004, 0.0000000E+000, 0.0000000E+000,-1.9570370E+000,-1.7321767E+000, 1.2737160E-001, 3.3179505E-004,-1.6575907E-068,-1.6377337E-070
 8.8002310E+000, 1.5100630E+001,-5.0360877E+000,-7.8059665E+000,-2.2546649E-001,-1.5729773E-004, 0.0000000E+000, 0.0000000E+000, 1.7877159E+000, 2.0329521E+000, 1.2737160E-001, 3.3179506E-004,-2.7333091E-068,-3.8264155E-070
 9.0001345E+000, 1.4583326E+001,-4.3202485E+000,-1.0507179E+001,-2.2135727E-001,-1.6025935E-004, 0.0000000E+000, 0.0000000E+000,-7.0658298E-001,-4.6561960E-001, 1.2737160E-001, 3.3179507E-004,-4.4468339E-068,-8.6912177E-070
 9.2001896E+000, 1.4869851E+001,-4.7269794E+000,-1.0593335E+001,-2.2261935E-001,-1.6120010E-004, 0.0000000E+000, 0.0000000E+000,-8.8701628E-001,-6.7324341E-001, 1.2737161E-001, 3.3179507E-004,-7.1477642E-068,-1.9148215E-069
 9.4001312E+000, 1.5894381E+001,-5.3746293E+000,-8.2500337E+000,-2.2897152E-001,-1.5858409E-004, 0.0000000E+000, 0.0000000E+000, 1.8337753E+000, 2.0405881E+000, 1.2737161E-001, 3.3179507E-004,-1.1382763E-067,-4.0833075E-069
