Time,Chi_r
171.000,0.296
171.200,0.294
171.400,0.302
171.600,0.287
171.800,0.306
172.000,0.314
172.200,0.327
172.400,0.317
172.600,0.280
172.800,0.290
173.000,0.311
173.200,0.305
173.400,0.312
173.600,0.303
173.800,0.283
174.000,0.301
174.200,0.305
174.400,0.317
174.600,0.320
174.800,0.305
175.000,0.302
175.201,0.307
175.400,0.307
175.600,0.329
175.800,0.322
176.000,0.295
176.200,0.308
176.400,0.306
176.600,0.305
176.800,0.330
177.000,0.284
177.200,0.297
177.400,0.295
177.600,0.307
177.800,0.311
178.000,0.302
178.200,0.299
178.400,0.315
178.600,0.307
178.800,0.290
179.000,0.305
179.200,0.297
179.400,0.315
179.600,0.284
179.800,0.288
180.000,0.292
180.200,0.293
180.400,0.291
180.600,0.300
180.800,0.318
181.000,0.298
181.200,0.312
181.400,0.293
181.600,0.293
181.800,0.298
182.000,0.311
182.200,0.300
182.400,0.338
182.600,0.316
182.800,0.314
183.000,0.323
183.200,0.312
183.400,0.318
183.600,0.321
183.800,0.325
184.000,0.296
184.200,0.314
184.400,0.319
184.600,0.328
184.800,0.308
185.000,0.322
185.200,0.291
185.400,0.306
185.600,0.294
185.800,0.295
186.000,0.308
186.200,0.308
186.400,0.313
186.600,0.304
186.800,0.284
187.000,0.305
187.200,0.299
187.400,0.319
187.600,0.304
187.800,0.328
188.000,0.299
188.200,0.306
188.400,0.285
188.600,0.281
188.800,0.293
189.000,0.288
189.200,0.319
189.400,0.297
189.600,0.314
189.800,0.308
190.000,0.311
190.200,0.294
190.400,0.303
190.600,0.289
190.800,0.304
191.000,0.323
191.200,0.308
191.400,0.314
191.600,0.296
191.800,0.298
192.000,0.290
192.200,0.284
192.400,0.312
192.600,0.319
192.800,0.302
193.000,0.321
193.201,0.308
193.400,0.294
193.600,0.298
193.800,0.289
194.000,0.318
194.200,0.321
194.400,0.319
194.600,0.285
194.800,0.299
195.000,0.311
195.200,0.306
195.400,0.301
195.600,0.297
195.800,0.293
196.000,0.320
196.200,0.306
196.400,0.304
196.600,0.311
196.800,0.313
197.000,0.305
197.200,0.283
197.400,0.280
197.600,0.300
197.800,0.296
198.000,0.306
198.200,0.308
198.400,0.295
198.600,0.313
198.800,0.293
199.000,0.293
199.200,0.294
199.400,0.292
199.600,0.300
199.800,0.314
200.000,0.303
