cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 7.5382653E+001, 4.5047653E+002, 4.4950517E+002, 2.7493400E+000, 4.0189926E+001, 5.6344740E+001, 8.0994122E-001, 1.9243707E-001, 9.1558421E-003, 2.3771185E-005, 6.2576535E-006, 1.6669246E-002, 5.2593001E-022, 7.8144172E-001, 2.3160617E-005, 1.1117096E-004
 7.7413265E+001, 4.4141384E+002, 4.4051723E+002, 2.7493400E+000, 3.7983873E+001, 5.3019780E+001, 8.0994122E-001, 1.9338827E-001, 8.6393211E-003, 2.2370754E-005, 4.4885700E-006, 1.5959316E-002, 4.0223476E-022, 7.8173582E-001, 2.1793545E-005, 1.0460902E-004
 7.9443878E+001, 4.4141384E+002, 4.4051723E+002, 2.7323042E+000, 3.7983873E+001, 5.3019780E+001, 8.1223725E-001, 1.9338827E-001, 8.6393211E-003, 2.2370754E-005, 4.4885700E-006, 1.5959316E-002, 4.0223476E-022, 7.8173582E-001, 2.1793545E-005, 1.0460902E-004
 8.1474490E+001, 4.3310687E+002, 4.3225378E+002, 2.7323042E+000, 3.6201361E+001, 5.0234631E+001, 8.1223725E-001, 1.9425482E-001, 8.1687251E-003, 2.1094838E-005, 3.2341073E-006, 1.5312506E-002, 3.0856922E-022, 7.8200349E-001, 2.0548360E-005, 9.8632130E-005
 8.3505102E+001, 4.3310687E+002, 4.3225378E+002, 2.7058853E+000, 3.6201361E+001, 5.0234631E+001, 8.2011294E-001, 1.9425482E-001, 8.1687251E-003, 2.1094838E-005, 3.2341073E-006, 1.5312506E-002, 3.0856922E-022, 7.8200349E-001, 2.0548360E-005, 9.8632130E-005
 8.5535714E+001, 4.2545568E+002, 4.2464862E+002, 2.7058853E+000, 3.4502338E+001, 4.7673935E+001, 8.2011294E-001, 1.9504868E-001, 7.7375749E-003, 1.9925871E-005, 2.3363643E-006, 1.4719911E-002, 2.3584223E-022, 7.8224852E-001, 1.9407786E-005, 9.3157371E-005
 8.7566327E+001, 4.2545568E+002, 4.2464862E+002, 2.6851321E+000, 3.4502338E+001, 4.7673935E+001, 8.2604494E-001, 1.9504868E-001, 7.7375749E-003, 1.9925871E-005, 2.3363643E-006, 1.4719911E-002, 2.3584223E-022, 7.8224852E-001, 1.9407786E-005, 9.3157371E-005
 8.9596939E+001, 4.1849525E+002, 4.1774070E+002, 2.6851321E+000, 3.2983186E+001, 4.5415327E+001, 8.2604494E-001, 1.9576430E-001, 7.3488992E-003, 1.8872064E-005, 1.6951274E-006, 1.4185694E-002, 1.8070914E-022, 7.8246928E-001, 1.8379779E-005, 8.8222938E-005
 9.1627551E+001, 4.1849525E+002, 4.1774070E+002, 2.6588156E+000, 3.2983186E+001, 4.5415327E+001, 8.2732956E-001, 1.9576430E-001, 7.3488992E-003, 1.8872064E-005, 1.6951274E-006, 1.4185694E-002, 1.8070914E-022, 7.8246928E-001, 1.8379779E-005, 8.8222938E-005
 9.3658163E+001, 4.1195551E+002, 4.1124375E+002, 2.6588156E+000, 3.1469871E+001, 4.3285018E+001, 8.2732956E-001, 1.9643469E-001, 6.9847762E-003, 1.7884827E-005, 1.2318198E-006, 1.3685223E-002, 1.3811634E-022, 7.8267599E-001, 1.7416880E-005, 8.3601023E-005
 9.5688776E+001, 4.1195551E+002, 4.1124375E+002, 2.6386370E+000, 3.1469871E+001, 4.3285018E+001, 8.3021785E-001, 1.9643469E-001, 6.9847762E-003, 1.7884827E-005, 1.2318198E-006, 1.3685223E-002, 1.3811634E-022, 7.8267599E-001, 1.7416880E-005, 8.3601023E-005
 9.7719388E+001, 4.0594038E+002, 4.0528186E+002, 2.6386370E+000, 2.9966857E+001, 4.1279580E+001, 8.3021785E-001, 1.9704760E-001, 6.6518589E-003, 1.6982197E-005, 8.9833559E-007, 1.3227643E-002, 1.0571307E-022, 7.8286492E-001, 1.6536635E-005, 7.9375846E-005
 9.9750000E+001, 4.0594038E+002, 4.0528186E+002, 2.6132460E+000, 2.9966857E+001, 4.1279580E+001, 8.2867932E-001, 1.9704760E-001, 6.6518589E-003, 1.6982197E-005, 8.9833559E-007, 1.3227643E-002, 1.0571307E-022, 7.8286492E-001, 1.6536635E-005, 7.9375846E-005
