,x,TMean,T_rms,fvMean,fv_rms
0,cm,K,K,ppm,ppm
79,-10.128,409.51,268.51070742151046,0.0066409,0.07308419801844993
80,-10.104000000000001,410.62,269.73876250921,0.0067703,0.07411140263144397
81,-10.08,411.73,270.9594065538231,0.0068997,0.07512522878500937
82,-10.056,412.84,272.176413379264,0.007029199999999999,0.07612489737267301
83,-10.032,413.95,273.38800266288206,0.007158599999999999,0.07711225583524321
84,-10.008000000000001,415.06,274.5942461159738,0.007287999999999999,0.07808649050892222
85,-9.984,416.17,275.79340093628053,0.0074175000000000005,0.07904935167349572
86,-9.959999999999999,417.28,276.98916946335646,0.0075469,0.08
87,-9.936,418.39,278.1797979724624,0.0076763000000000005,0.08094010130954866
88,-9.912,419.5,279.36535218240647,0.0078058,0.08186879747498434
89,-9.888,420.6,280.5441141781449,0.0079352,0.08278707628609673
