Y,m=22.49,m=22.37,m=17.05,m=12.68,m=11.85,m=8.75
105,798.9042653,805.9823061,613.0083265,591.204,600.1729184,596.5394694
106.5,792.3314583,799.5455833,606.4218125,585.5520417,593.6903958,591.1164792
108,786.3258367,793.9855306,599.5841429,579.8836735,587.8737959,585.7824898
109.5,780.2081458,787.7215208,593.3828958,574.4576042,581.719875,580.64275
111,774.574898,782.3301837,586.976102,569.0200204,576.1064694,575.7367143
112.5,768.8500208,776.2867292,581.1273333,563.8045417,570.2031875,570.9248125
114,763.4997551,771.009,575.1351837,558.5498163,564.7670204,566.3660816
115.5,758.0804167,765.1691458,569.6107708,553.4913958,559.1007708,561.82625
117,752.9282857,759.9003878,564.0047755,548.4376531,553.8933469,557.4737551
118.5,747.7125417,754.2073333,558.7947708,543.5460833,548.5169583,553.0921667
120,742.6552245,748.9005102,553.5439796,538.7805306,543.5297551,548.8857755
