s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
11.8,0.758,0.821,0.765,0.614,0.458,0.326
12,0.764,0.759,0.669,0.51,0.401,0.325
12.2,0.694,0.773,0.764,0.746,0.575,0.383
12.4,0.713,0.754,0.675,0.434,0.366,0.312
12.6,0.801,0.845,0.844,0.8,0.612,0.414
12.8,0.73,0.777,0.705,0.483,0.385,0.297
13,0.857,0.923,0.861,0.705,0.53,0.382
13.2,0.779,0.743,0.672,0.556,0.416,0.317
13.4,0.769,0.815,0.717,0.537,0.389,0.239
13.6,0.772,0.8,0.727,0.558,0.443,0.352
13.8,0.787,0.838,0.748,0.547,0.392,0.262
14,0.748,0.707,0.649,0.56,0.445,0.352
14.2,0.827,0.93,0.845,0.656,0.479,0.294
14.4,0.783,0.762,0.672,0.501,0.391,0.326
14.6,0.787,0.869,0.818,0.693,0.51,0.326
14.8,0.785,0.742,0.65,0.458,0.347,0.281
15,0.764,0.835,0.773,0.659,0.501,0.35
15.2,0.782,0.78,0.679,0.487,0.383,0.302
15.4,0.764,0.81,0.753,0.644,0.497,0.339
15.6,0.782,0.822,0.729,0.513,0.399,0.307
15.8,0.818,0.84,0.775,0.651,0.496,0.362
16,0.829,0.827,0.721,0.541,0.404,0.298
16.2,0.877,0.948,0.863,0.672,0.482,0.307
16.4,0.739,0.669,0.557,0.386,0.285,0.233
16.6,0.928,1.05,0.959,0.713,0.504,0.297
16.8,0.762,0.759,0.703,0.592,0.448,0.346
17,0.818,0.876,0.819,0.688,0.517,0.337
17.2,0.784,0.821,0.741,0.538,0.417,0.336
17.4,0.798,0.865,0.836,0.736,0.564,0.406
17.6,0.824,0.809,0.688,0.478,0.351,0.252
17.8,0.804,0.89,0.84,0.702,0.515,0.337
18,0.755,0.742,0.648,0.447,0.338,0.273
18.2,0.8,0.872,0.836,0.746,0.567,0.389
18.4,0.778,0.853,0.755,0.505,0.386,0.284
18.6,0.797,0.833,0.83,0.785,0.607,0.445
18.8,0.818,0.941,0.89,0.638,0.492,0.331
19,0.804,0.808,0.764,0.655,0.49,0.38
19.2,0.794,0.836,0.786,0.683,0.54,0.409
19.4,0.82,0.875,0.768,0.535,0.41,0.288
19.6,0.801,0.796,0.74,0.65,0.508,0.395
19.8,0.787,0.893,0.838,0.614,0.45,0.269
20,0.808,0.809,0.74,0.602,0.459,0.368
20.2,0.958,1.07,1.03,0.799,0.576,0.353
20.4,0.812,0.787,0.708,0.545,0.407,0.339
20.6,0.879,0.929,0.856,0.707,0.539,0.378
20.8,0.813,0.84,0.757,0.588,0.452,0.329
21,0.836,0.876,0.792,0.594,0.448,0.329
21.2,0.799,0.83,0.762,0.616,0.458,0.326
21.4,0.809,0.85,0.746,0.538,0.399,0.291
21.6,0.839,0.905,0.886,0.797,0.599,0.399
21.8,0.843,0.859,0.744,0.507,0.389,0.307
22,0.919,1.02,1.04,0.894,0.646,0.421
22.2,0.885,0.838,0.723,0.494,0.355,0.281
22.4,0.898,1.02,0.92,0.717,0.52,0.354
22.6,0.81,0.805,0.698,0.52,0.391,0.293
22.8,0.867,0.932,0.883,0.749,0.573,0.397
23,0.857,0.855,0.754,0.556,0.427,0.322
23.2,0.843,0.926,0.875,0.724,0.552,0.388
23.4,0.808,0.796,0.73,0.589,0.468,0.367
23.6,0.943,1.09,0.989,0.673,0.479,0.291
23.8,0.823,0.833,0.777,0.659,0.489,0.374
24,0.936,0.975,0.885,0.684,0.517,0.363
24.2,0.866,0.868,0.793,0.651,0.489,0.371
24.4,0.84,0.909,0.831,0.673,0.508,0.341
24.6,0.868,0.859,0.769,0.584,0.455,0.355
24.8,0.83,0.942,0.899,0.785,0.595,0.401
25,0.82,0.737,0.663,0.504,0.436,0.387
25.2,0.946,1.15,1.01,0.685,0.481,0.276
25.4,0.774,0.773,0.748,0.686,0.573,0.493
25.6,0.917,1.02,0.924,0.67,0.493,0.317
25.8,0.885,0.876,0.844,0.732,0.545,0.412
26,0.861,0.936,0.86,0.675,0.495,0.296
26.2,0.861,0.931,0.877,0.689,0.539,0.445
26.4,0.843,0.881,0.828,0.7,0.538,0.39
26.6,0.855,0.881,0.806,0.664,0.505,0.346
26.8,0.909,1.01,0.935,0.704,0.535,0.385
27,0.771,0.798,0.752,0.67,0.548,0.457
27.2,0.907,1,0.903,0.64,0.475,0.295
27.4,0.758,0.766,0.755,0.728,0.626,0.542
27.6,0.843,0.936,0.835,0.589,0.442,0.276
27.8,0.832,0.865,0.828,0.732,0.599,0.488
28,0.883,0.961,0.862,0.628,0.457,0.29
28.2,0.813,0.844,0.809,0.73,0.619,0.514
28.4,0.895,0.936,0.846,0.633,0.478,0.323
28.6,0.813,0.86,0.822,0.747,0.605,0.476
28.8,0.871,0.854,0.752,0.542,0.424,0.303
29,0.934,1.08,0.992,0.788,0.58,0.387
29.2,0.86,0.84,0.737,0.568,0.441,0.356
29.4,0.963,1.07,0.994,0.799,0.589,0.376
29.6,0.775,0.794,0.727,0.58,0.458,0.364
29.8,0.884,0.956,0.883,0.709,0.547,0.39
30,0.847,0.879,0.828,0.706,0.551,0.403
30.2,0.863,0.89,0.817,0.65,0.501,0.369
30.4,0.937,1.01,0.948,0.767,0.588,0.405
30.6,0.838,0.862,0.77,0.569,0.431,0.344
30.8,0.852,0.884,0.843,0.75,0.615,0.498
31,0.893,0.986,0.877,0.62,0.463,0.287
31.2,0.846,0.864,0.825,0.731,0.58,0.464
31.4,0.907,1.02,0.92,0.628,0.455,0.278
31.6,0.939,0.942,0.9,0.804,0.621,0.473
31.8,0.964,1.06,0.961,0.712,0.524,0.334
32,0.86,0.847,0.782,0.663,0.538,0.444
32.2,0.94,1.06,0.965,0.751,0.554,0.35
32.4,0.936,0.907,0.806,0.624,0.476,0.381
32.6,1.06,1.19,1.08,0.811,0.584,0.36
32.8,0.869,0.846,0.76,0.614,0.476,0.383
33,0.988,1.11,1.01,0.78,0.569,0.353
33.2,0.925,0.925,0.847,0.657,0.493,0.389
33.4,0.918,0.998,0.927,0.761,0.575,0.377
33.6,0.933,0.917,0.789,0.559,0.43,0.343
33.8,0.938,1.05,1.02,0.909,0.659,0.401
34,0.956,1.01,0.913,0.662,0.502,0.411
34.2,0.95,1,0.954,0.821,0.615,0.419
34.4,0.979,1.02,0.914,0.683,0.518,0.378
34.6,0.982,1.06,0.953,0.717,0.526,0.378
34.8,0.931,0.996,0.898,0.709,0.524,0.357
35,0.991,1.03,0.948,0.748,0.561,0.412
35.2,0.935,1,0.894,0.661,0.488,0.339
35.4,0.951,0.97,0.903,0.75,0.554,0.397
35.6,0.904,1.01,0.882,0.608,0.442,0.29
35.8,0.948,0.929,0.858,0.728,0.572,0.451
36,1.04,1.15,1.04,0.772,0.569,0.373
36.2,0.906,0.915,0.845,0.694,0.525,0.397
36.4,0.997,1.04,0.948,0.759,0.588,0.421
36.6,1.02,1.06,0.95,0.72,0.53,0.373
36.8,0.928,0.984,0.877,0.662,0.497,0.371
37,0.959,0.973,0.899,0.726,0.534,0.373
37.2,0.99,1.13,0.99,0.674,0.485,0.314
37.4,0.957,0.957,0.9,0.797,0.62,0.487
37.6,0.946,1.04,0.962,0.779,0.589,0.387
37.8,0.91,0.927,0.841,0.629,0.496,0.401
38,0.91,0.968,0.904,0.772,0.599,0.44
38.2,0.928,1.01,0.91,0.681,0.516,0.345
38.4,0.93,0.968,0.931,0.806,0.611,0.44
38.6,0.86,0.917,0.833,0.631,0.484,0.345
38.8,0.914,0.948,0.91,0.809,0.674,0.554
39,0.899,0.966,0.877,0.679,0.512,0.336
39.2,0.914,0.95,0.894,0.755,0.628,0.517
39.4,0.915,1.04,0.957,0.708,0.536,0.373
39.6,0.966,0.941,0.89,0.78,0.612,0.476
39.8,1.03,1.22,1.06,0.704,0.506,0.325
40,0.963,0.962,0.927,0.781,0.565,0.411
40.2,0.921,1.03,0.97,0.805,0.62,0.44
40.4,0.917,0.888,0.801,0.62,0.517,0.427
40.6,1.02,1.19,1.11,0.863,0.631,0.391
40.8,0.931,0.889,0.801,0.631,0.506,0.44
41,0.982,1.13,1.07,0.87,0.634,0.378
41.2,0.936,0.943,0.868,0.69,0.517,0.418
41.4,1.11,1.26,1.16,0.866,0.631,0.415
41.6,0.956,0.936,0.827,0.643,0.469,0.359
41.8,0.948,1.04,0.966,0.808,0.607,0.412
42,0.965,1.03,0.919,0.642,0.491,0.375
42.2,0.918,0.989,0.98,0.914,0.702,0.505
42.4,0.922,0.995,0.918,0.677,0.526,0.381
42.6,0.915,0.964,0.949,0.895,0.754,0.62
42.8,0.926,1.02,0.938,0.706,0.529,0.319
43,0.915,0.953,0.921,0.817,0.681,0.566
43.2,1.01,1.12,0.994,0.722,0.528,0.327
43.4,0.951,0.942,0.88,0.757,0.595,0.484
43.6,1.01,1.11,0.971,0.674,0.487,0.295
43.8,1.01,1.01,0.937,0.793,0.621,0.484
44,0.998,1.12,1.02,0.759,0.558,0.364
44.2,0.984,1.01,0.929,0.767,0.591,0.45
44.4,0.99,1.09,1,0.808,0.595,0.386
44.6,0.966,1.03,0.923,0.703,0.553,0.447
44.8,0.978,1.05,0.98,0.825,0.629,0.451
45,1.05,1.05,0.93,0.682,0.524,0.384
45.2,1.09,1.15,1.05,0.805,0.58,0.389
45.4,0.989,1.06,0.968,0.743,0.56,0.415
45.6,1.01,1.04,0.941,0.751,0.565,0.395
45.8,1,1.04,0.971,0.812,0.635,0.475
46,1.03,1.11,1.02,0.802,0.602,0.408
46.2,0.985,0.98,0.907,0.739,0.576,0.458
46.4,1.06,1.18,1.06,0.745,0.538,0.345
46.6,0.958,1,0.952,0.837,0.667,0.524
46.8,0.989,1.05,0.955,0.737,0.557,0.372
47,0.977,1.03,0.968,0.818,0.656,0.525
47.2,1,1.12,1.04,0.796,0.592,0.369
47.4,0.973,0.972,0.917,0.808,0.664,0.566
47.6,1.1,1.26,1.12,0.768,0.555,0.334
47.8,0.969,0.934,0.883,0.789,0.624,0.505
48,1.13,1.29,1.11,0.742,0.533,0.323
48.2,1.02,1.02,0.968,0.874,0.676,0.522
48.4,1.02,1.16,1.06,0.795,0.59,0.373
48.6,0.932,0.973,0.934,0.822,0.682,0.559
48.8,1.05,1.18,1.15,1,0.762,0.492
49,0.944,0.963,0.886,0.674,0.532,0.434
49.2,0.969,1.07,1.01,0.885,0.707,0.526
49.4,0.98,0.996,0.917,0.713,0.569,0.438
49.6,0.978,1.1,1.03,0.876,0.665,0.438
49.8,0.969,0.984,0.918,0.746,0.638,0.54
50,1.04,1.18,1.11,0.908,0.68,0.444
50.2,0.918,0.956,0.889,0.711,0.606,0.528
50.4,1.06,1.2,1.14,0.948,0.719,0.471
50.6,0.938,0.946,0.874,0.715,0.589,0.496
50.8,0.995,1.11,1.02,0.841,0.635,0.407
51,1.03,1.02,0.948,0.77,0.638,0.538
51.2,1.05,1.14,1.06,0.872,0.652,0.415
51.4,1.01,1.07,0.983,0.752,0.593,0.489
51.6,0.953,1.04,1.02,0.953,0.754,0.546
51.8,0.966,0.997,0.909,0.675,0.548,0.427
52,1.02,1.14,1.13,1.07,0.85,0.583
52.2,1.01,1.1,1.01,0.744,0.635,0.527
52.4,1.02,1.1,1.09,1.02,0.813,0.621
52.6,1.05,1.1,0.996,0.695,0.535,0.381
52.8,1.02,1.12,1.09,1.02,0.821,0.621
53,1.04,1.11,0.972,0.685,0.523,0.364
53.2,1.08,1.17,1.17,1.05,0.781,0.513
53.4,1.07,1.17,1.07,0.756,0.576,0.431
53.6,1.08,1.13,1.11,1.02,0.816,0.618
53.8,1.05,1.15,1.08,0.872,0.67,0.453
54,1.03,1.09,1.02,0.843,0.69,0.554
54.2,1.07,1.19,1.14,0.997,0.754,0.483
54.4,0.991,0.992,0.917,0.73,0.593,0.487
54.6,1.09,1.26,1.19,0.931,0.693,0.443
54.8,1.03,1.05,1.01,0.903,0.762,0.656
55,1.11,1.27,1.21,0.928,0.678,0.406
55.2,1.04,1.1,1.06,0.926,0.712,0.549
55.4,1.09,1.2,1.13,0.941,0.72,0.49
55.6,1.04,1.04,0.939,0.74,0.613,0.52
55.8,1.07,1.19,1.12,0.948,0.726,0.502
56,1.03,1.08,0.989,0.763,0.637,0.523
56.2,1.04,1.17,1.16,1.07,0.819,0.556
56.4,1.08,1.09,1.01,0.746,0.613,0.499
56.6,1.18,1.35,1.27,1.07,0.803,0.53
56.8,1.05,1.07,0.967,0.755,0.612,0.498
57,1.15,1.32,1.24,0.999,0.727,0.444
57.2,1.03,1.06,1,0.83,0.663,0.554
57.4,1.14,1.27,1.21,1,0.746,0.474
57.6,1.09,1.17,1.07,0.838,0.663,0.548
57.8,1.13,1.23,1.2,1.07,0.821,0.56
58,1.1,1.16,1.1,0.852,0.672,0.5
58.2,1.16,1.28,1.21,0.989,0.745,0.531
58.4,1.1,1.18,1.11,0.923,0.721,0.535
58.6,1.14,1.22,1.13,0.899,0.712,0.543
58.8,1.06,1.14,1.11,1.02,0.826,0.618
59,1.07,1.16,1.09,0.893,0.732,0.532
59.2,1.06,1.11,1.05,0.916,0.743,0.601
59.4,1.14,1.27,1.16,0.89,0.695,0.477
59.6,1.04,1.1,1.07,0.962,0.796,0.65
59.8,1.24,1.29,1.16,0.894,0.677,0.465
60,1.3,1.48,1.4,1.1,0.797,0.513
60.2,1.1,1.15,1.05,0.798,0.597,0.457
60.4,1.16,1.2,1.14,1.02,0.835,0.672
60.6,1.12,1.26,1.12,0.81,0.601,0.383
60.8,1.08,1.13,1.1,1.01,0.855,0.719
61,1.05,1.17,1.12,0.942,0.731,0.496
61.2,1.11,1.17,1.12,0.941,0.829,0.714
61.4,1.13,1.26,1.22,1.08,0.831,0.544
61.6,1.05,1.12,1.1,0.932,0.829,0.724
61.8,1.2,1.32,1.27,1.08,0.856,0.59
62,1.1,1.16,1.09,0.933,0.759,0.6
62.2,1.1,1.2,1.15,1,0.787,0.55
62.4,1.14,1.19,1.13,0.936,0.808,0.674
62.6,1.18,1.3,1.25,1.07,0.841,0.603
62.8,1.14,1.18,1.11,0.923,0.739,0.574
63,1.17,1.28,1.2,0.979,0.744,0.496
63.2,1.17,1.24,1.2,1.05,0.862,0.664
63.4,1.09,1.2,1.13,0.94,0.743,0.564
63.6,1.18,1.23,1.17,0.999,0.841,0.673
63.8,1.23,1.4,1.33,1.05,0.808,0.561
64,1.19,1.21,1.15,0.986,0.767,0.599
64.2,1.24,1.38,1.32,1.06,0.791,0.506
64.4,1.22,1.25,1.12,0.849,0.659,0.53
64.6,1.23,1.42,1.37,1.22,0.923,0.602
64.8,1.21,1.34,1.23,0.926,0.796,0.68
65,1.13,1.22,1.19,1.08,0.865,0.657
65.2,1.15,1.25,1.17,0.926,0.753,0.556
65.4,1.23,1.33,1.31,1.22,0.97,0.701
65.6,1.17,1.28,1.2,0.936,0.728,0.53
65.8,1.16,1.26,1.26,1.15,1.01,0.844
66,1.18,1.29,1.22,1,0.792,0.566
66.2,1.14,1.17,1.12,0.986,0.824,0.674
66.4,1.19,1.35,1.29,1.05,0.818,0.564
66.6,1.16,1.22,1.17,1.02,0.858,0.719
66.8,1.11,1.26,1.24,1.17,0.891,0.56
67,1.24,1.34,1.33,1.11,0.931,0.771
67.2,1.16,1.29,1.27,1.16,0.965,0.746
67.4,1.19,1.27,1.21,1,0.845,0.661
67.6,1.2,1.33,1.29,1.16,0.925,0.685
67.8,1.15,1.23,1.15,0.874,0.718,0.565
68,1.27,1.41,1.4,1.29,1.02,0.74
68.2,1.29,1.37,1.25,0.899,0.707,0.534
68.4,1.26,1.4,1.36,1.21,0.94,0.686
68.6,1.14,1.25,1.14,0.851,0.667,0.496
68.8,1.17,1.26,1.27,1.19,0.99,0.798
69,1.21,1.38,1.31,0.985,0.784,0.547
69.2,1.24,1.33,1.38,1.4,1.13,0.848
69.4,1.22,1.41,1.33,1.03,0.809,0.543
69.6,1.19,1.23,1.22,1.14,0.986,0.859
69.8,1.26,1.49,1.41,0.992,0.744,0.47
70,1.42,1.49,1.51,1.39,1.07,0.79
70.2,1.41,1.68,1.58,1.16,0.854,0.559
70.4,1.29,1.33,1.27,1.1,0.827,0.63
70.6,1.26,1.44,1.4,1.16,0.873,0.566
70.8,1.24,1.31,1.24,1.02,0.864,0.745
71,1.28,1.43,1.42,1.28,0.97,0.618
71.2,1.26,1.42,1.41,1.18,0.969,0.749
71.4,1.33,1.46,1.43,1.28,1.06,0.856
71.6,1.31,1.48,1.46,1.24,0.944,0.613
71.8,1.35,1.4,1.35,1.12,0.892,0.679
72,1.38,1.64,1.45,1.01,0.742,0.522
72.2,1.37,1.48,1.52,1.41,1.05,0.717
72.4,1.29,1.43,1.36,1.04,0.81,0.581
72.6,1.42,1.48,1.45,1.29,1.01,0.765
72.8,1.49,1.77,1.7,1.21,0.898,0.589
73,1.31,1.41,1.41,1.28,0.965,0.696
73.2,1.28,1.38,1.32,1.12,0.919,0.716
73.4,1.21,1.32,1.28,1.14,0.967,0.782
73.6,1.31,1.43,1.38,1.2,0.97,0.708
73.8,1.29,1.43,1.4,1.19,0.991,0.78
74,1.33,1.39,1.37,1.25,1.02,0.762
74.2,1.29,1.46,1.39,1.13,0.867,0.578
74.4,1.31,1.42,1.45,1.4,1.25,1.02
74.6,1.27,1.45,1.41,1.2,0.93,0.605
74.8,1.32,1.47,1.47,1.28,1.1,0.944
75,1.36,1.55,1.59,1.5,1.16,0.743
75.2,1.26,1.39,1.33,1.08,0.968,0.828
75.4,1.44,1.62,1.63,1.41,1.06,0.684
75.6,1.36,1.5,1.46,1.21,1.01,0.847
75.8,1.31,1.41,1.39,1.33,1.04,0.677
76,1.42,1.64,1.64,1.27,1.06,0.847
76.2,1.39,1.55,1.61,1.6,1.26,0.913
76.4,1.41,1.59,1.56,1.23,0.959,0.693
76.6,1.35,1.46,1.43,1.28,1.03,0.794
76.8,1.56,1.77,1.71,1.38,1.04,0.707
77,1.32,1.45,1.39,1.21,0.961,0.743
77.2,1.44,1.59,1.58,1.38,1.1,0.772
77.4,1.28,1.45,1.43,1.2,0.965,0.749
77.6,1.33,1.45,1.41,1.26,1.05,0.833
77.8,1.38,1.56,1.56,1.43,1.16,0.817
78,1.31,1.44,1.39,1.15,0.985,0.811
78.2,1.28,1.38,1.37,1.27,1.1,0.919
78.4,1.29,1.43,1.36,1.11,0.906,0.648
78.6,1.26,1.37,1.37,1.29,1.17,1.04
78.8,1.31,1.47,1.4,1.15,0.943,0.687
79,1.38,1.49,1.49,1.38,1.15,0.928
79.2,1.43,1.62,1.57,1.3,1.04,0.731
79.4,1.43,1.56,1.57,1.44,1.19,0.933
79.6,1.34,1.51,1.48,1.28,1,0.68
79.8,1.39,1.5,1.48,1.28,1.08,0.899
80,1.39,1.54,1.52,1.39,1.15,0.85
80.2,1.29,1.44,1.43,1.26,1.09,0.884
80.4,1.34,1.5,1.54,1.5,1.34,1.09
80.6,1.45,1.68,1.62,1.27,1.03,0.763
80.8,1.49,1.65,1.71,1.62,1.3,0.949
81,1.43,1.64,1.63,1.4,1.13,0.791
81.2,1.43,1.53,1.51,1.37,1.18,1
81.4,1.46,1.64,1.58,1.33,1.06,0.75
81.6,1.43,1.57,1.59,1.46,1.29,1.07
81.8,1.47,1.61,1.57,1.35,1.09,0.808
82,1.4,1.55,1.53,1.39,1.21,0.983
82.2,1.46,1.59,1.58,1.46,1.23,0.949
82.4,1.43,1.58,1.55,1.37,1.1,0.777
82.6,1.41,1.56,1.57,1.41,1.15,0.867
82.8,1.49,1.63,1.58,1.33,1.11,0.919
83,1.54,1.79,1.8,1.62,1.26,0.844
83.2,1.39,1.6,1.63,1.47,1.35,1.17
83.4,1.46,1.64,1.7,1.64,1.37,1.03
83.6,1.48,1.58,1.53,1.28,1.09,0.868
83.8,1.41,1.6,1.59,1.48,1.23,0.948
84,1.47,1.56,1.48,1.25,1.12,0.966
84.2,1.59,1.88,1.79,1.48,1.14,0.781
84.4,1.52,1.65,1.63,1.47,1.28,1.11
84.6,1.39,1.56,1.53,1.36,1.07,0.755
84.8,1.47,1.55,1.54,1.39,1.3,1.2
85,1.56,1.87,1.75,1.4,1.08,0.736
85.2,1.47,1.59,1.6,1.52,1.34,1.16
85.4,1.55,1.73,1.65,1.35,1.09,0.767
85.6,1.4,1.54,1.54,1.47,1.3,1.14
85.8,1.48,1.66,1.61,1.44,1.21,0.901
86,1.56,1.75,1.72,1.52,1.34,1.12
86.2,1.67,1.94,2.03,1.76,1.33,0.813
86.4,1.45,1.63,1.65,1.49,1.3,1.12
86.6,1.53,1.65,1.65,1.52,1.27,0.964
86.8,1.48,1.68,1.64,1.42,1.19,0.941
87,1.45,1.58,1.59,1.5,1.32,1.14
87.2,1.58,1.83,1.83,1.47,1.15,0.752
87.4,1.58,1.82,1.89,1.75,1.39,1.08
87.6,1.57,1.74,1.79,1.76,1.52,1.25
87.8,1.47,1.63,1.6,1.41,1.15,0.805
88,1.45,1.64,1.73,1.72,1.71,1.61
88.2,1.47,1.62,1.59,1.43,1.22,0.935
88.4,1.49,1.63,1.65,1.56,1.39,1.15
88.6,1.45,1.64,1.64,1.45,1.24,0.966
88.8,1.49,1.68,1.74,1.7,1.54,1.29
89,1.46,1.63,1.62,1.45,1.23,0.969
89.2,1.48,1.61,1.61,1.5,1.34,1.13
89.4,1.55,1.74,1.69,1.49,1.27,1.01
89.6,1.52,1.65,1.66,1.57,1.37,1.15
89.8,1.61,1.82,1.77,1.5,1.25,0.919
90,1.57,1.73,1.76,1.67,1.45,1.2
90.2,1.53,1.71,1.72,1.6,1.45,1.2
90.4,1.57,1.71,1.72,1.59,1.33,0.983
90.6,1.64,1.86,1.86,1.6,1.41,1.15
90.8,1.62,1.76,1.82,1.72,1.41,1.08
91,1.65,1.97,1.9,1.51,1.3,1.03
91.2,1.87,2.04,2.11,1.93,1.5,1.08
91.4,1.59,1.8,1.75,1.45,1.18,0.892
91.6,1.58,1.67,1.65,1.54,1.4,1.29
91.8,1.59,1.81,1.76,1.47,1.17,0.802
92,1.64,1.73,1.72,1.61,1.49,1.37
92.2,1.67,1.96,1.92,1.63,1.27,0.838
92.4,1.77,1.95,2.04,2,1.78,1.47
92.6,1.66,1.96,1.91,1.53,1.18,0.745
92.8,1.65,1.87,1.96,1.94,1.66,1.36
93,1.57,1.76,1.79,1.6,1.29,0.898
93.2,1.62,1.92,2.02,1.96,1.76,1.45
93.4,1.66,1.89,2,1.97,1.64,1.17
93.6,1.53,1.78,1.81,1.59,1.46,1.29
93.8,1.58,1.77,1.82,1.72,1.4,1.03
94,1.51,1.77,1.82,1.65,1.6,1.47
94.2,1.69,1.91,2.02,1.95,1.55,1.08
94.4,1.51,1.7,1.73,1.52,1.32,1.11
94.6,1.54,1.67,1.71,1.7,1.5,1.23
94.8,1.65,1.95,1.95,1.65,1.4,1.06
95,1.64,1.81,1.87,1.84,1.63,1.37
95.2,1.55,1.75,1.75,1.56,1.26,0.88
95.4,1.61,1.83,1.94,1.97,1.82,1.59
95.6,1.6,1.86,1.89,1.66,1.37,1.01
95.8,1.67,1.75,1.77,1.69,1.54,1.36
96,1.67,1.97,1.91,1.63,1.29,0.885
96.2,1.52,1.71,1.78,1.78,1.69,1.53
96.4,1.85,2.19,2.22,1.87,1.53,1.09
96.6,1.75,1.9,1.99,1.94,1.59,1.24
96.8,1.75,2.1,2.05,1.67,1.36,0.963
97,1.74,1.92,2.01,2,1.6,1.16
97.2,1.52,1.73,1.76,1.6,1.4,1.14
97.4,1.65,1.85,1.87,1.69,1.53,1.33
97.6,1.6,1.82,1.85,1.82,1.59,1.23
97.8,1.58,1.76,1.8,1.69,1.51,1.29
98,1.65,1.85,1.86,1.73,1.54,1.29
98.2,1.74,1.97,1.95,1.69,1.45,1.13
98.4,1.7,1.88,1.89,1.75,1.51,1.27
98.6,1.57,1.77,1.84,1.77,1.51,1.17
98.8,1.66,1.82,1.83,1.69,1.61,1.47
99,1.8,2.08,2.12,1.86,1.49,1.07
99.2,1.71,1.91,1.95,1.84,1.65,1.41
99.4,1.61,1.82,1.82,1.69,1.42,1.1
99.6,1.7,1.88,1.87,1.71,1.58,1.4
