m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,kg/m2/s,kg/m2/s,kg/m2/s
0.522,35.057,24.144,24.186,8.895,10.103,10.897,43.953,34.247,35.083,439.612,440.127,442.717,0.019861815,0.019375268,0.020590151
0.527,35.945,24.272,24.304,9.450,9.844,10.096,45.395,34.116,34.399,440.646,439.787,441.755,0.019874692,0.019408628,0.02064337
0.532,36.686,24.620,24.458,10.226,9.618,10.121,46.912,34.238,34.579,442.002,439.519,441.892,0.019867167,0.01944905,0.020702643
0.537,37.317,24.961,24.568,10.406,10.545,10.157,47.724,35.506,34.725,442.307,441.075,442.058,0.019858293,0.019506125,0.020769523
0.542,37.700,25.204,24.513,10.351,13.156,10.133,48.051,38.360,34.646,442.230,445.417,442.137,0.019868635,0.019565087,0.020841658
0.547,37.967,25.310,24.293,10.271,17.325,9.158,48.239,42.635,33.451,442.332,452.035,440.941,0.019908626,0.019610474,0.020921348
0.552,38.135,25.151,23.916,10.419,24.424,6.997,48.554,49.576,30.913,442.694,463.143,438.285,0.019955046,0.019627837,0.021006966
0.557,38.242,24.681,23.483,10.966,27.508,5.836,49.208,52.189,29.319,443.741,467.834,436.899,0.019984903,0.019616337,0.021097165
0.562,38.322,24.192,23.124,11.714,26.210,5.893,50.036,50.402,29.017,445.083,465.335,437.136,0.019986641,0.019580562,0.021189494
0.567,38.501,23.866,22.848,12.111,19.569,6.115,50.612,43.435,28.962,445.783,455.006,437.603,0.019977868,0.019578369,0.021284558
0.572,38.869,23.868,22.624,12.557,13.876,6.636,51.426,37.743,29.260,446.550,446.569,438.469,0.01994653,0.019637344,0.021376824
0.577,39.385,23.962,22.445,13.294,12.304,7.554,52.679,36.267,29.999,447.806,444.332,439.865,0.019906344,0.019752875,0.021465845
0.582,40.177,24.241,22.286,13.795,11.017,8.417,53.972,35.259,30.704,448.414,442.576,441.163,0.019865148,0.019877905,0.021546366
0.587,40.949,24.703,22.130,13.844,11.051,9.282,54.794,35.754,31.411,448.455,442.843,442.571,0.019836808,0.019992415,0.02162306
0.592,41.898,25.247,21.979,13.924,11.545,10.062,55.822,36.791,32.041,448.576,443.797,443.731,0.019820243,0.020093702,0.021688884
0.597,42.818,25.913,21.818,14.778,12.543,10.717,57.596,38.455,32.535,450.129,445.690,444.716,0.019815182,0.02018241,0.021751853
0.602,43.591,26.614,21.661,16.659,13.864,11.071,60.250,40.478,32.732,453.458,447.801,445.273,0.019795187,0.02020522,0.021810507
0.607,44.049,27.309,21.513,17.374,15.393,10.996,61.422,42.702,32.509,454.688,450.241,445.253,0.019783851,0.020227354,0.021866856
0.612,44.118,28.045,21.387,17.103,16.953,10.985,61.221,44.998,32.372,454.178,452.768,445.288,0.019781748,0.02027202,0.021904549
0.617,44.060,28.737,21.274,15.000,18.552,11.000,59.060,47.288,32.275,450.363,455.374,445.353,0.01978947,0.020323496,0.021938903
0.622,44.014,29.479,21.185,11.721,20.343,10.936,55.735,49.822,32.120,444.546,458.229,445.297,0.019806735,0.020344306,0.021967227
0.627,43.940,30.351,21.135,9.868,22.204,10.791,53.808,52.555,31.926,441.321,461.216,445.127,0.019838788,0.020377835,0.021991897
0.632,43.654,31.372,21.145,9.698,24.136,10.592,53.352,55.508,31.737,441.066,464.356,444.865,0.019876754,0.020432428,0.022004506
0.637,43.153,32.282,21.204,9.365,25.987,10.492,52.519,58.269,31.696,440.526,467.392,444.751,0.019928092,0.020502659,0.022023708
0.642,43.136,37.302,20.882,8.292,28.480,10.432,51.427,65.782,31.315,438.814,471.448,444.691,0.019980796,0.020571791,0.022043448
0.647,43.046,36.950,20.916,7.067,31.376,10.327,50.113,68.326,31.243,436.706,476.231,444.599,0.020029893,0.020698808,0.022078389
0.652,43.048,35.031,20.974,6.745,33.897,10.203,49.793,68.928,31.177,436.217,480.963,444.507,0.020078126,0.02086574,0.022129394
0.657,43.088,32.523,21.046,6.933,32.896,9.795,50.021,65.419,30.841,436.641,479.485,444.190,0.02012532,0.020976301,0.022198841
0.662,42.897,31.393,21.125,7.546,31.863,9.214,50.443,63.256,30.340,437.818,477.799,443.537,0.020168494,0.020940775,0.022284079
0.667,42.337,31.127,21.180,7.869,32.243,8.714,50.206,63.370,29.894,438.455,478.285,443.017,0.020211412,0.020883853,0.02238078
0.672,41.767,31.655,21.219,8.007,30.324,8.649,49.774,61.978,29.868,438.781,475.158,443.082,0.020260578,0.020838302,0.022476234
0.677,41.296,32.035,21.240,8.031,31.235,8.825,49.327,63.269,30.065,438.909,476.538,443.482,0.020323208,0.020811832,0.022570826
0.682,40.900,31.497,21.232,7.609,34.078,9.434,48.510,65.575,30.666,438.255,480.568,444.469,0.020395584,0.020811923,0.022666011
0.687,40.635,29.919,21.228,6.665,35.804,10.206,47.300,65.723,31.433,436.639,483.805,445.671,0.020468349,0.020843172,0.022761377
0.692,40.562,29.052,21.266,5.052,33.952,10.991,45.614,63.005,32.257,433.857,480.927,447.036,0.020531766,0.020910475,0.022859018
0.697,40.682,29.183,21.302,5.167,32.267,11.756,45.850,61.451,33.058,434.162,478.421,448.253,0.020583116,0.021007055,0.022968976
0.702,40.830,30.011,21.366,5.543,32.726,12.459,46.372,62.736,33.825,435.037,479.303,449.382,0.020645568,0.021094186,0.023082655
0.707,40.853,31.238,21.477,5.958,34.186,12.825,46.811,65.424,34.301,435.887,481.691,450.054,0.020713916,0.021134323,0.023203274
0.713,40.646,32.053,21.634,5.845,34.782,12.814,46.491,66.835,34.448,435.780,482.623,450.215,0.020786887,0.021126134,0.023322472
0.718,40.161,31.836,21.876,5.190,34.401,12.666,45.351,66.237,34.542,434.667,481.952,450.336,0.020854985,0.021107536,0.023425072
0.723,39.488,30.969,22.220,4.319,30.743,12.614,43.808,61.712,34.834,433.171,476.066,450.387,0.02091088,0.021108432,0.023511034
0.728,38.704,30.028,22.680,4.121,25.028,12.410,42.824,55.056,35.090,432.891,467.056,450.192,0.020961853,0.021141658,0.023584064
0.733,37.930,29.007,23.248,4.065,23.720,11.274,41.996,52.727,34.522,432.852,465.078,448.687,0.021000672,0.021185586,0.023650141
0.738,37.187,27.967,23.946,4.247,24.055,9.326,41.435,52.022,33.272,433.233,465.696,446.117,0.021029307,0.02124295,0.023715386
0.743,36.514,27.016,24.731,4.633,23.942,8.806,41.147,50.958,33.538,433.968,465.593,445.515,0.021048523,0.021302683,0.023780191
0.748,35.950,26.359,25.592,5.092,23.233,9.008,41.042,49.592,34.600,434.831,464.590,445.905,0.021064861,0.021383442,0.023849467
0.753,35.457,26.032,26.506,5.139,22.460,9.816,40.596,48.493,36.322,434.935,463.805,447.113,0.021082878,0.021479798,0.023910642
0.758,34.990,26.004,27.410,4.772,22.360,10.631,39.762,48.364,38.040,434.290,463.859,448.288,0.021113845,0.021592736,0.023966856
0.763,34.542,25.842,28.204,4.050,24.730,10.617,38.591,50.572,38.821,433.038,467.883,448.325,0.021160724,0.021696748,0.024019431
0.768,34.068,25.129,28.833,3.979,30.598,9.895,38.047,55.727,38.728,432.994,477.443,447.542,0.021215204,0.021786131,0.024077285
0.773,33.516,24.166,29.275,4.228,36.217,9.050,37.744,60.383,38.326,433.520,486.390,446.466,0.021256609,0.021849969,0.024128946
0.778,32.890,23.505,29.525,4.880,30.520,8.910,37.770,54.025,38.435,434.752,477.113,446.344,0.021285107,0.0219204,0.024171872
0.783,32.244,23.664,29.622,4.976,19.198,9.393,37.220,42.862,39.015,434.944,459.370,447.052,0.021303367,0.021995692,0.02419457
0.788,31.614,24.416,29.583,4.617,19.570,10.149,36.231,43.986,39.732,434.304,460.149,448.089,0.021324307,0.022070883,0.024208687
0.793,31.008,25.233,29.432,3.933,24.190,10.049,34.941,49.423,39.481,433.135,467.986,447.932,0.021342522,0.022122702,0.024211822
0.798,30.454,25.644,29.222,3.468,24.911,9.245,33.923,50.556,38.467,432.310,468.899,446.825,0.021359941,0.022170022,0.02421619
0.803,29.960,25.597,28.956,3.509,14.984,8.842,33.469,40.581,37.798,432.403,453.041,446.284,0.02137143,0.022216633,0.024222605
0.808,29.523,25.344,28.656,3.711,10.253,8.845,33.235,35.596,37.501,432.793,445.605,446.313,0.021380479,0.022267304,0.02424176
0.813,29.125,25.232,28.313,3.961,10.088,8.969,33.086,35.319,37.282,433.255,445.413,446.523,0.021380406,0.022311738,0.024273016
0.818,28.746,25.539,27.918,4.114,10.304,9.166,32.859,35.843,37.084,433.536,445.831,446.852,0.021381455,0.022352494,0.024319241
0.823,28.352,26.293,27.480,4.147,11.363,9.313,32.498,37.656,36.793,433.599,447.622,447.115,0.021383587,0.022384141,0.024365436
0.828,27.922,27.193,27.006,4.211,14.190,9.530,32.133,41.383,36.536,433.740,452.239,447.469,0.02139461,0.022409067,0.024408266
0.833,27.458,27.772,26.528,4.510,18.209,9.947,31.968,45.981,36.475,434.321,458.760,448.078,0.021405254,0.022420932,0.024438852
0.838,27.007,27.892,26.113,5.063,23.422,10.327,32.070,51.314,36.440,435.366,467.106,448.627,0.021414325,0.022428736,0.024470843
0.843,26.615,27.496,25.743,5.566,25.194,10.253,32.181,52.691,35.995,436.292,469.889,448.551,0.021412773,0.022434516,0.0244998
0.848,26.316,26.850,25.456,5.573,24.602,10.045,31.890,51.452,35.501,436.293,468.960,448.296,0.021408621,0.022460325,0.024528198
0.853,26.141,26.367,25.236,5.484,23.415,10.130,31.625,49.781,35.365,436.112,467.083,448.445,0.021399658,0.022495754,0.024551822
0.858,26.088,26.243,25.099,5.475,21.088,10.916,31.563,47.331,36.015,436.091,463.379,449.580,0.021394329,0.02253546,0.024584133
0.863,26.135,26.374,25.051,5.685,17.927,11.938,31.819,44.302,36.989,436.484,458.441,451.010,0.021388525,0.022575051,0.024624677
0.868,26.256,26.607,25.124,6.248,17.831,12.004,32.504,44.439,37.127,437.541,458.428,451.152,0.021389199,0.022613104,0.02467401
0.873,26.438,26.928,25.307,6.601,18.546,11.658,33.038,45.475,36.965,438.083,459.620,450.736,0.021387177,0.022651572,0.024729222
0.878,26.681,27.347,25.600,6.517,17.915,10.871,33.198,45.262,36.471,438.056,458.649,449.760,0.021402277,0.022710498,0.024803884
0.883,28.174,25.942,25.145,6.002,16.431,10.234,34.176,42.373,35.379,436.965,456.348,449.107,0.021391738,0.022773746,0.024877425
0.888,28.104,26.024,25.431,4.601,16.672,9.486,32.705,42.697,34.918,434.457,456.870,448.165,0.021408346,0.022853455,0.024945505
0.893,28.101,26.223,25.794,3.699,17.536,8.990,31.800,43.759,34.784,432.827,458.655,447.589,0.021435237,0.022936052,0.025014706
0.898,28.115,26.619,26.207,3.775,18.172,9.139,31.890,44.791,35.346,433.016,459.809,447.899,0.021465445,0.023018166,0.025086746
0.903,28.129,27.236,26.640,3.970,18.824,9.520,32.099,46.060,36.161,433.419,460.993,448.539,0.021487398,0.023086717,0.025159657
0.908,28.111,28.082,27.065,4.241,20.452,10.592,32.353,48.534,37.657,433.961,463.776,450.130,0.021508479,0.023146309,0.025232606
0.913,28.050,29.062,27.502,4.500,22.074,11.401,32.550,51.135,38.904,434.470,466.494,451.334,0.021521801,0.023186447,0.025308803
0.918,27.982,30.004,27.945,4.726,23.246,11.457,32.709,53.250,39.402,434.908,468.471,451.517,0.021535495,0.023221185,0.025389874
0.923,27.908,30.789,28.337,4.735,23.931,11.233,32.643,54.720,39.570,434.931,469.651,451.300,0.021544715,0.023255786,0.025473712
0.928,27.843,31.357,28.629,4.508,24.557,10.525,32.351,55.913,39.154,434.509,470.773,450.594,0.021558572,0.023307567,0.025562217
0.933,27.796,31.629,28.822,3.953,25.793,10.742,31.749,57.422,39.565,433.487,472.898,451.002,0.021572806,0.023362383,0.025640093
0.938,27.769,31.615,28.965,3.583,27.357,11.326,31.352,58.972,40.291,432.823,475.546,451.907,0.021585902,0.023417033,0.02571241
0.943,27.739,31.320,29.014,3.548,28.671,11.633,31.288,59.991,40.647,432.778,477.774,452.383,0.021596787,0.023462392,0.025775956
0.948,27.711,30.797,28.971,3.665,29.917,10.906,31.376,60.714,39.877,433.009,479.855,451.444,0.021599423,0.023503682,0.0258405
0.953,27.675,30.121,28.958,4.044,30.330,9.942,31.719,60.451,38.900,433.732,480.569,450.178,0.021602517,0.023538003,0.025900055
0.958,27.622,29.377,28.989,4.502,30.638,9.089,32.124,60.015,38.078,434.607,481.105,449.074,0.021612763,0.023569863,0.025966531
0.963,27.574,28.658,29.044,4.897,30.667,8.558,32.472,59.324,37.602,435.379,481.171,448.443,0.021633722,0.023585057,0.026035389
0.968,27.523,28.135,29.034,5.192,30.687,8.653,32.715,58.822,37.687,435.981,481.237,448.685,0.021665802,0.023592107,0.026111381
