m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,kg/m2/s,kg/m2/s,kg/m2/s
0.69,2.82,2.61,4.13,-0.40,0.77,0.82,2.42,3.39,4.95,116.35,154.99,195.96,5.78E-08,5.21E-06,0.000206015
0.71,3.16,2.51,4.48,-0.42,0.43,0.63,2.74,2.94,5.10,116.76,155.60,198.07,5.89E-08,5.64E-06,0.000240412
0.73,2.35,2.14,3.78,-0.44,-0.01,0.06,1.92,2.13,3.84,117.08,156.24,199.87,5.95E-08,6.16E-06,0.000276858
0.75,2.62,2.15,4.02,-0.45,-0.08,-0.28,2.17,2.07,3.74,117.25,157.20,201.66,5.91E-08,6.77E-06,0.000312057
0.77,2.97,2.17,4.37,-0.42,0.05,-0.11,2.55,2.21,4.26,117.64,158.36,203.79,6.02E-08,7.50E-06,0.000348066
0.79,3.46,2.19,4.92,-0.30,0.11,0.16,3.16,2.30,5.08,118.06,159.60,206.01,6.11E-08,8.37E-06,0.000384747
0.81,4.15,2.21,5.83,-0.16,0.04,0.27,4.00,2.25,6.10,118.28,160.55,208.19,6.04E-08,9.17E-06,0.000421635
0.83,5.23,2.24,6.84,-0.04,-0.17,0.70,5.19,2.07,7.54,118.33,161.27,210.66,5.86E-08,9.90E-06,0.000456633
0.86,7.03,2.27,7.36,0.11,-0.42,0.98,7.13,1.85,8.35,118.02,161.84,212.94,5.47E-08,1.05E-05,0.000487173
0.88,10.43,2.32,7.54,0.46,-0.70,0.76,10.89,1.62,8.29,117.56,162.35,214.71,4.93E-08,1.11E-05,0.000510847
0.90,15.94,2.38,7.72,1.49,-0.83,0.81,17.43,1.55,8.54,117.30,162.87,216.30,4.34E-08,1.17E-05,0.000525439
0.92,22.38,2.46,7.84,2.93,-0.87,0.51,25.31,1.60,8.36,117.33,163.41,217.39,3.85E-08,1.22E-05,0.000534144
0.94,27.99,2.58,7.99,5.40,-0.90,0.15,33.39,1.68,8.15,117.93,163.80,218.54,3.42E-08,1.26E-05,0.000542172
0.96,31.93,2.74,8.27,5.24,-0.72,-0.16,37.17,2.02,8.11,116.98,164.38,219.77,3.07E-08,1.31E-05,0.000545884
0.98,34.85,2.94,8.64,5.19,-0.42,-0.46,40.04,2.52,8.18,116.05,164.97,221.06,2.74E-08,1.35E-05,0.000551252
1.00,37.27,3.22,9.13,5.07,-0.24,-0.84,42.35,2.97,8.28,115.01,165.49,222.32,2.42E-08,1.40E-05,0.000550853
1.02,38.95,3.56,9.67,4.95,-0.15,-1.19,43.90,3.41,8.48,113.92,165.92,223.57,2.13E-08,1.44E-05,0.000554611
1.04,40.94,4.01,10.26,4.93,-0.09,-1.48,45.86,3.93,8.78,112.95,166.27,224.77,1.89E-08,1.48E-05,0.000557187
1.06,43.40,4.60,10.92,5.39,-0.01,-1.46,48.79,4.58,9.46,112.14,166.59,226.19,1.65E-08,1.51E-05,0.000562107
1.08,45.38,5.39,11.66,6.23,0.03,-1.39,51.61,5.42,10.28,111.40,166.89,227.63,1.41E-08,1.53E-05,0.000566313
1.10,42.70,6.48,12.56,5.98,0.06,-1.40,48.68,6.54,11.16,109.33,166.97,228.77,1.13E-08,1.52E-05,0.000572716
1.12,37.08,8.11,13.67,4.75,0.09,-1.53,41.83,8.21,12.14,106.86,167.11,229.72,9.19E-09,1.52E-05,0.000576743
1.14,44.96,8.38,19.94,3.86,0.19,-1.58,48.82,8.58,18.36,104.75,167.30,231.00,7.65E-09,1.54E-05,0.000592234
1.16,39.89,12.52,22.31,1.54,1.83,-1.24,41.43,14.35,21.07,101.19,168.92,233.11,5.74E-09,1.59E-05,0.000599451
1.18,35.78,14.72,24.14,0.92,2.28,-1.10,36.70,17.00,23.03,99.91,169.27,233.99,5.06E-09,1.59E-05,0.000600573
1.20,30.55,16.99,26.50,0.63,2.55,-0.73,31.18,19.54,25.76,98.44,169.26,234.87,4.24E-09,1.55E-05,0.000603606
1.22,24.98,19.23,29.20,0.26,3.17,-0.05,25.23,22.40,29.15,96.88,169.39,235.85,3.53E-09,1.50E-05,0.000604348
1.24,19.75,19.22,31.69,-0.05,4.49,0.25,19.71,23.71,31.94,95.29,169.69,236.21,2.91E-09,1.42E-05,0.000605468
1.26,15.46,18.69,33.33,-0.36,3.37,0.41,15.11,22.07,33.74,93.67,168.43,236.47,2.39E-09,1.33E-05,0.000607088
1.28,12.22,19.65,34.02,-0.40,3.07,0.76,11.82,22.72,34.77,92.16,167.38,236.44,1.93E-09,1.22E-05,0.000607776
1.30,9.79,19.24,33.58,-0.38,2.61,1.91,9.41,21.85,35.48,90.58,166.25,237.21,1.54E-09,1.12E-05,0.000607087
1.32,7.93,20.00,31.90,-0.47,2.56,3.70,7.46,22.56,35.60,88.75,165.09,238.21,1.20E-09,9.96E-06,0.000606835
1.34,6.49,21.55,29.18,-0.44,4.03,3.54,6.04,25.58,32.71,87.14,164.78,237.78,9.46E-10,8.79E-06,0.00060884
1.36,5.35,20.93,25.81,-0.43,4.12,3.22,4.91,25.04,29.02,85.41,163.36,236.90,7.33E-10,7.59E-06,0.000613673
1.38,4.44,21.53,22.39,-0.34,5.00,1.86,4.09,26.54,24.25,83.75,162.45,235.39,5.68E-10,6.52E-06,0.000617528
1.40,3.70,21.76,18.95,-0.17,5.66,0.76,3.53,27.42,19.71,82.28,161.22,233.90,4.48E-10,5.51E-06,0.000624745
1.43,3.70,21.76,18.95,-0.17,5.66,0.76,3.53,27.42,19.71,82.28,161.22,233.90,4.48E-10,5.51E-06,0.000624745
