m,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
0.095,2.99,1.34,3.25,1.1,1.1,1.1,0.08,0.31,0.19,0.16,0.17,0.18,2.1,3.76,5.69,1.55,1.57,1.6,0.83,2.1,1.91,0.74,0.78,0.8
0.105,2.54,1.1,2.49,1.02,1.02,1.02,0.08,0.3,0.16,0.15,0.16,0.16,2.23,3.54,5.62,1.51,1.53,1.56,0.79,1.88,1.97,0.7,0.74,0.76
0.115,2.06,0.82,1.54,0.93,0.93,0.93,0.07,0.3,0.18,0.14,0.15,0.15,2.47,3.59,5.19,1.46,1.49,1.52,0.7,1.64,1.88,0.68,0.71,0.73
0.125,1.67,0.73,0.98,0.84,0.84,0.85,0.08,0.29,0.16,0.14,0.14,0.14,2.42,3.7,4.74,1.41,1.44,1.49,0.56,1.44,1.7,0.64,0.67,0.68
0.135,1.44,0.73,0.94,0.76,0.77,0.78,0.04,0.3,0.15,0.13,0.13,0.13,2.69,3.48,4.43,1.35,1.39,1.44,0.48,1.16,1.46,0.6,0.62,0.63
0.145,1.42,0.65,0.72,0.69,0.7,0.72,0.03,0.3,0.13,0.12,0.12,0.12,2.82,3.45,3.87,1.29,1.33,1.38,0.42,0.9,1.17,0.56,0.58,0.58
0.155,1.27,0.58,0.42,0.63,0.64,0.65,0.02,0.32,0.14,0.11,0.11,0.11,2.79,3.23,3.27,1.24,1.28,1.33,0.39,0.59,0.83,0.53,0.54,0.53
0.165,1.18,0.55,0.46,0.57,0.58,0.59,0.02,0.31,0.16,0.1,0.1,0.11,2.85,2.9,2.61,1.18,1.23,1.29,0.24,0.5,0.62,0.48,0.5,0.5
0.175,1.2,0.33,0.55,0.51,0.52,0.53,0.03,0.3,0.17,0.1,0.1,0.1,2.83,2.54,2.32,1.13,1.18,1.23,0.26,0.3,0.45,0.44,0.46,0.45
0.185,1.07,0.32,0.43,0.46,0.47,0.48,0.05,0.28,0.18,0.09,0.09,0.1,2.69,2.37,2.12,1.08,1.12,1.17,0.24,0.24,0.42,0.39,0.42,0.4
0.195,1.07,0.3,0.37,0.41,0.42,0.42,0.07,0.26,0.15,0.09,0.09,0.09,2.69,2.34,1.89,1.02,1.06,1.11,0.18,0.31,0.39,0.35,0.37,0.36
0.205,1.09,0.28,0.31,0.36,0.37,0.37,0.07,0.24,0.12,0.08,0.08,0.08,2.65,2.01,1.57,0.96,1,1.06,0.11,0.29,0.44,0.31,0.32,0.31
0.215,1.03,0.28,0.24,0.32,0.31,0.31,0.07,0.22,0.12,0.08,0.08,0.08,2.48,1.74,1.15,0.93,0.96,1.01,0.1,0.27,0.34,0.26,0.27,0.27
0.225,0.82,0.21,0.18,0.28,0.27,0.27,0.08,0.18,0.14,0.07,0.07,0.07,2.27,1.64,1.18,0.88,0.92,0.96,0.1,0.25,0.34,0.23,0.23,0.23
0.235,0.62,0.24,0.21,0.25,0.24,0.24,0.08,0.17,0.13,0.07,0.07,0.07,2.02,1.21,1,0.84,0.88,0.91,0.11,0.27,0.31,0.2,0.21,0.21
0.245,0.47,0.21,0.15,0.22,0.21,0.21,0.08,0.15,0.15,0.07,0.07,0.07,1.79,1.01,0.89,0.79,0.83,0.86,0.16,0.25,0.32,0.18,0.19,0.19
0.255,0.37,0.22,0.13,0.19,0.18,0.18,0.07,0.14,0.17,0.06,0.06,0.06,1.67,0.87,0.77,0.74,0.78,0.81,0.22,0.27,0.3,0.17,0.17,0.17
0.265,0.28,0.19,0.17,0.17,0.16,0.16,0.07,0.12,0.18,0.06,0.06,0.06,1.55,0.66,0.7,0.7,0.74,0.77,0.27,0.2,0.28,0.16,0.16,0.16
0.275,0.17,0.22,0.14,0.15,0.14,0.14,0.08,0.11,0.17,0.06,0.06,0.06,1.55,0.64,0.74,0.67,0.7,0.73,0.3,0.21,0.23,0.15,0.15,0.15
0.285,0.06,0.18,0.15,0.13,0.13,0.12,0.1,0.11,0.14,0.05,0.06,0.06,1.35,0.69,0.85,0.63,0.66,0.69,0.32,0.13,0.21,0.15,0.15,0.15
0.295,0.03,0.2,0.14,0.12,0.12,0.12,0.1,0.12,0.11,0.05,0.06,0.06,1.23,0.74,0.79,0.58,0.62,0.65,0.33,0.18,0.21,0.14,0.14,0.14
