m,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
0.1525,0.7,1.26,1.03,0.63,0.65,0.68,0.16,0.18,0.38,0.11,0.11,0.11,3.99,3.99,3.18,1.32,1.39,1.42,0.56,0.31,1.56,0.48,0.53,0.54
0.1575,0.62,1.26,1.15,0.61,0.62,0.65,0.18,0.16,0.37,0.1,0.11,0.11,4.06,3.64,2.99,1.3,1.37,1.41,0.51,0.3,1.5,0.46,0.51,0.51
0.1625,0.69,1.23,1.26,0.58,0.6,0.63,0.18,0.16,0.35,0.1,0.11,0.11,4.01,3.37,2.68,1.27,1.35,1.39,0.48,0.3,1.51,0.43,0.48,0.49
0.1675,0.64,1.06,1.41,0.56,0.57,0.6,0.19,0.12,0.33,0.1,0.1,0.11,3.9,3.11,2.11,1.24,1.33,1.38,0.47,0.28,1.48,0.41,0.46,0.47
0.1725,0.62,0.85,1.5,0.53,0.54,0.57,0.21,0.15,0.3,0.09,0.1,0.1,3.78,3.08,1.62,1.21,1.3,1.36,0.44,0.29,1.41,0.38,0.44,0.45
0.1775,0.65,0.55,1.48,0.5,0.51,0.54,0.22,0.2,0.27,0.09,0.1,0.1,3.82,3.05,1.5,1.17,1.28,1.35,0.4,0.31,1.32,0.36,0.42,0.43
0.1825,0.64,0.47,1.41,0.48,0.47,0.51,0.23,0.21,0.26,0.09,0.1,0.1,3.74,2.88,1.43,1.14,1.25,1.33,0.37,0.28,1.29,0.35,0.4,0.41
0.1875,0.52,0.38,1.29,0.45,0.44,0.48,0.21,0.22,0.24,0.09,0.09,0.1,3.52,2.71,1.41,1.11,1.22,1.31,0.37,0.29,1.22,0.32,0.38,0.39
0.1925,0.46,0.32,1.18,0.42,0.41,0.45,0.18,0.21,0.22,0.09,0.09,0.1,3.32,2.54,1.46,1.08,1.19,1.29,0.34,0.27,1.18,0.3,0.35,0.37
0.1975,0.42,0.37,1.08,0.4,0.39,0.42,0.17,0.19,0.2,0.08,0.09,0.1,3.15,2.29,1.42,1.06,1.16,1.26,0.33,0.26,1.14,0.28,0.33,0.35
0.2025,0.37,0.4,1.03,0.37,0.36,0.39,0.17,0.17,0.2,0.08,0.09,0.09,2.97,2.08,1.45,1.03,1.14,1.25,0.32,0.24,1.1,0.26,0.31,0.33
0.2075,0.34,0.32,0.94,0.34,0.33,0.36,0.18,0.15,0.22,0.08,0.09,0.09,2.75,1.92,1.6,1,1.12,1.24,0.3,0.25,1.07,0.25,0.29,0.31
0.2125,0.32,0.27,0.86,0.32,0.3,0.33,0.18,0.15,0.23,0.08,0.09,0.09,2.79,1.76,1.7,0.98,1.09,1.22,0.29,0.24,1,0.24,0.28,0.29
0.2175,0.32,0.29,0.86,0.3,0.28,0.31,0.18,0.12,0.22,0.07,0.09,0.09,2.68,1.62,1.8,0.94,1.07,1.2,0.29,0.24,0.91,0.22,0.26,0.27
0.2225,0.3,0.24,0.83,0.27,0.26,0.29,0.18,0.08,0.21,0.07,0.08,0.09,2.52,1.5,1.91,0.92,1.05,1.18,0.28,0.24,0.77,0.21,0.24,0.26
0.2275,0.28,0.27,0.7,0.25,0.24,0.26,0.17,0.08,0.22,0.07,0.08,0.09,2.31,1.42,1.84,0.9,1.03,1.16,0.26,0.23,0.64,0.2,0.23,0.24
0.2325,0.27,0.24,0.49,0.23,0.22,0.24,0.16,0.09,0.22,0.07,0.08,0.09,2.06,1.32,1.69,0.88,1.01,1.14,0.28,0.23,0.49,0.19,0.22,0.23
0.2375,0.24,0.24,0.3,0.21,0.2,0.22,0.15,0.09,0.22,0.07,0.08,0.09,1.93,1.25,1.57,0.86,0.99,1.13,0.27,0.22,0.34,0.19,0.21,0.23
0.2425,0.23,0.23,0.21,0.19,0.19,0.2,0.14,0.09,0.22,0.07,0.08,0.08,1.72,1.15,1.43,0.84,0.97,1.11,0.26,0.21,0.26,0.18,0.2,0.22
0.2475,0.21,0.21,0.19,0.17,0.17,0.19,0.13,0.09,0.21,0.07,0.08,0.08,1.56,1.15,1.38,0.81,0.94,1.09,0.26,0.2,0.25,0.17,0.2,0.21
0.2525,0.22,0.19,0.21,0.15,0.16,0.17,0.14,0.08,0.2,0.06,0.08,0.08,1.43,1.18,1.37,0.79,0.92,1.07,0.26,0.2,0.23,0.16,0.19,0.21
0.2575,0.2,0.19,0.22,0.14,0.14,0.16,0.14,0.08,0.18,0.06,0.08,0.08,1.32,1.15,1.27,0.77,0.91,1.05,0.26,0.19,0.22,0.16,0.19,0.2
0.2625,0.21,0.17,0.21,0.13,0.13,0.15,0.15,0.08,0.17,0.06,0.08,0.08,1.3,1.12,1.31,0.76,0.9,1.03,0.26,0.19,0.2,0.16,0.18,0.2
0.2675,0.19,0.17,0.2,0.12,0.12,0.13,0.16,0.08,0.16,0.06,0.08,0.08,1.34,1.06,1.34,0.75,0.88,1.01,0.26,0.18,0.18,0.15,0.18,0.19
0.2725,0.18,0.16,0.2,0.11,0.12,0.13,0.17,0.08,0.16,0.06,0.08,0.08,1.36,1.02,1.42,0.72,0.86,0.98,0.26,0.18,0.16,0.14,0.16,0.18
0.2775,0.19,0.14,0.23,0.11,0.11,0.12,0.17,0.08,0.17,0.06,0.08,0.08,1.41,0.99,1.57,0.69,0.82,0.95,0.27,0.17,0.14,0.14,0.16,0.18
0.2825,0.18,0.14,0.25,0.11,0.11,0.12,0.15,0.09,0.19,0.06,0.07,0.08,1.5,0.94,1.65,0.67,0.79,0.92,0.27,0.17,0.13,0.13,0.16,0.18
0.2875,0.17,0.14,0.25,0.1,0.11,0.11,0.15,0.09,0.2,0.06,0.07,0.08,1.49,0.83,1.68,0.64,0.77,0.89,0.27,0.16,0.14,0.13,0.15,0.17
0.2925,0.16,0.13,0.26,0.1,0.1,0.11,0.14,0.09,0.21,0.06,0.07,0.08,1.48,0.62,1.7,0.62,0.74,0.86,0.27,0.15,0.14,0.13,0.15,0.17
0.2975,0.15,0.13,0.2,0.1,0.1,0.11,0.13,0.09,0.22,0.05,0.07,0.08,1.49,0.52,1.7,0.59,0.71,0.83,0.27,0.14,0.13,0.12,0.14,0.17
