m,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0.1375,235.41,317.24,272.65,380.06,384.61,389.68,23.79,31.03,35.84,29.9,25.49,24.48,753.6,849.09,723.83,381.36,415.63,432.77,116.93,27.13,429.99,150.23,161.38,166.84
0.1425,198.54,295.48,278.73,366.69,372.29,378.9,23.67,31.62,33.52,27.74,23.66,21.74,774.66,813.51,753.11,375.21,411.86,430.03,91.23,25.92,409.1,144.55,154.52,159.96
0.1475,154.53,291.03,288.55,353.66,359.48,367.26,23.56,31.49,32.82,24.84,21.21,18.99,794.64,787.65,804.42,368.64,408.18,427.67,64.07,25.45,362.23,139.2,148.69,153.79
0.1525,117.94,282.2,303.75,341.6,349.47,356.12,23.57,30.74,32.49,21.72,18.57,16.54,797.47,736.06,837.85,360.9,404.01,424.56,44.51,25.47,308.62,134.16,142.86,147.8
0.1575,89.59,263.71,323.87,330.57,340.47,346.04,23.95,29.2,30.93,18.98,16.25,14.5,806.1,706.46,853.94,352.47,399.38,421.89,33.11,25.5,275.84,129.17,137.05,141.96
0.1625,69.15,234.34,343.36,320.63,331.49,336.57,24.38,27.58,29.95,17.16,14.72,13.16,789.08,721,768.6,345.32,395.93,420.4,27.03,25.53,271.07,124.72,132.07,136.96
0.1675,59.68,184.14,341.91,310.77,322.93,327.92,24.76,27.29,29.78,16.13,13.85,12.4,752.48,662.03,630.6,337.23,390.2,416.79,25.23,25.52,270.13,120.42,127.39,131.96
0.1725,53.77,150.98,331,302.62,313.62,317.34,25.13,28.34,29.74,10.81,9.38,8.52,719.2,601.01,518.86,328.59,384.91,413.23,25.22,25.5,262.59,117.12,123.31,127.51
0.1775,53.72,107.01,307.35,289.47,299.02,303.19,25.36,29.17,29.56,2.29,2.73,3.08,693.16,544.76,409.33,321.47,379.99,409.48,25.57,25.44,260.14,113.44,119.33,123.76
0.1825,50.09,76.03,243.12,274.84,282.27,286.95,25.39,29.27,29.47,1.23,2.19,2.7,656.49,514.51,367.36,313.73,374.06,405.92,25.09,25.36,252.97,109.18,115.11,120.01
0.1875,42.44,56.22,208.46,259.3,264.02,268.99,25.23,28.87,29.28,1.24,2.19,2.68,600.62,483.41,346.22,306.1,367.55,401.33,24.59,25.29,240.84,102.92,110.3,115.86
0.1925,33.44,44.8,196.44,243.56,245.4,252.84,24.87,27.9,29.29,1.24,2.19,2.67,562.37,454.84,329.38,297.84,360.15,395.46,24.44,25.19,222.98,95.02,104.9,111.24
0.1975,33.11,46.22,212.01,225.72,224.86,234.43,24.58,26.95,29.29,1.24,2.18,2.65,539.98,390.91,300.88,289.6,352.4,389.83,24.01,25.09,203.51,86.96,98.8,106.28
0.2025,32.36,51.97,226.93,207.83,204.03,214.38,24.47,26.59,28.64,1.23,2.17,2.62,513.14,355.07,277.02,280.92,345.03,386.28,23.91,25.01,185.25,78.48,91.98,100.19
0.2075,29.86,47.93,224.28,192.65,187.66,199.08,24.59,26.92,27.3,1.22,2.16,2.58,478.38,336.53,317.5,273.55,337.99,383.26,23.87,24.94,167.36,71.18,85.5,93.85
0.2125,25.53,42.94,220.83,180.3,173.38,186.32,24.78,26.83,26.19,1.2,2.14,2.53,460.32,323.8,365.62,265.54,329.85,377.8,23.86,24.87,146.3,66.37,80.23,88.07
0.2175,24.05,36.54,229.17,165.96,158.97,172.3,24.82,25.65,25.58,1.18,2.11,2.48,454.95,294.08,432.1,257.49,322.16,371.67,23.86,24.81,126.49,63.53,76.99,83.53
0.2225,23.86,30.12,256.03,151.58,142.57,156.43,24.51,24.14,25.19,1.15,2.08,2.41,414.76,261,440.17,249.26,314.3,366.47,23.85,24.75,111.48,60.77,74.62,79.84
0.2275,23.01,25.97,284.51,136.93,127.77,140.04,24.04,23.61,24.84,1.12,2.07,2.35,348.28,219.58,396.79,242.2,308.08,362.52,23.85,24.69,97.29,58.23,71.62,76.48
0.2325,23.06,24.37,294.42,123.52,115.13,125,23.56,23.47,24.56,1.09,2.07,2.3,297.53,184.32,358.65,235.75,301.18,358.48,23.86,24.65,79.45,55.87,67.69,72.92
0.2375,23.22,23.93,292.43,111.68,102.34,112.04,23.13,23.42,24.29,1.08,2.02,2.24,269.2,166.69,314.75,229.33,295.04,353.15,23.85,24.62,54.93,53.04,62.98,69.12
0.2425,23.31,23.72,236.7,99.06,89.89,99.86,22.79,23.38,23.97,1.06,1.97,2.19,231.28,159.49,235.88,222.16,287.45,347.23,23.85,24.58,33.71,51.42,59.36,65.89
0.2475,23.29,23.5,104.9,86.31,76.51,84.97,22.6,23.35,23.54,1.04,1.95,2.17,186.91,153.75,201.6,214.94,279.96,341.58,23.84,24.54,25.73,49.69,56.28,62.35
0.2525,23.2,23.28,35.2,75.62,65.58,71.27,22.49,23.31,23.13,1.02,1.93,2.15,143.33,143.15,221.75,208.17,272.68,335.1,23.83,24.48,24.76,48.78,54.33,59.21
0.2575,23.04,23.13,25.38,66.08,57.03,61.37,22.46,23.26,22.8,1.01,1.91,2.13,101.03,130.95,248.47,201.29,266.99,328.89,23.84,24.42,24.72,48.29,52.77,56.89
0.2625,22.95,23.05,24.93,58.43,50.28,53.27,22.63,23.22,22.6,1,1.9,2.12,78.86,114.13,274.06,194.98,263.17,323.22,23.86,24.39,24.7,45.78,49.75,53.73
0.2675,22.93,22.99,24.9,50.89,43.66,45.02,23.02,23.16,22.84,0.97,1.9,2.12,73.13,83.39,286.78,186.89,257.12,316.1,23.88,24.38,24.69,41.34,46.05,49.74
0.2725,22.89,22.93,24.68,43.25,37.01,38.13,23.44,23.11,23.56,0.95,1.89,2.13,72.9,51.79,283.8,179.8,251.03,307.95,23.9,24.38,24.71,34.65,40.76,44.16
0.2775,22.84,22.88,24.45,35.33,30.12,31.12,23.74,23.03,24.29,0.94,1.88,2.12,73.46,41.87,288.9,172.46,244.34,300.15,23.91,24.38,24.75,28.35,35.58,38.88
0.2825,22.8,22.82,24.9,25.55,21.8,23.42,23.94,22.95,24.87,0.94,1.86,2.1,74.39,40.44,375.64,166.51,237.72,292.67,23.91,24.38,24.76,22.93,31.52,34.52
0.2875,22.76,22.77,25.32,13.47,11.58,13.34,24.11,22.86,25.26,0.92,1.86,2.09,75.15,36.36,465.06,159.9,229.05,283.3,23.91,24.35,24.76,18.8,28.43,31.61
0.2925,22.73,22.71,25.27,4.92,4.52,5.48,24.27,22.77,25.57,0.88,1.85,2.06,75.02,31.54,505.04,153.35,220.49,273.31,23.91,24.28,24.73,15.68,25.28,28.68
0.2975,22.7,22.65,25.09,1.89,2.3,3.13,24.4,22.7,25.85,0.84,1.84,2.01,74.59,29.19,506.17,145.47,212.54,264.88,23.9,24.22,24.66,13.1,22.1,25.73
