s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
12.8,0.85,0.82,0.7,0.53,0.38,0.28
13,0.86,0.93,0.89,0.71,0.52,0.34
13.2,0.8,0.73,0.65,0.51,0.4,0.32
13.4,0.87,0.95,0.88,0.67,0.48,0.3
13.6,0.8,0.82,0.77,0.61,0.47,0.35
13.8,0.86,0.89,0.84,0.7,0.52,0.35
14,0.87,0.87,0.74,0.52,0.39,0.28
14.2,0.81,0.84,0.79,0.66,0.49,0.33
14.4,0.87,0.94,0.87,0.65,0.47,0.31
14.6,0.76,0.75,0.73,0.64,0.52,0.41
14.8,0.92,1.02,0.93,0.67,0.48,0.29
15,0.81,0.8,0.78,0.71,0.54,0.4
15.2,0.89,0.97,0.93,0.77,0.58,0.38
15.4,0.76,0.71,0.64,0.5,0.41,0.33
15.6,1.03,1.18,1.04,0.7,0.48,0.3
15.8,0.88,0.9,0.85,0.69,0.5,0.34
16,0.89,0.93,0.88,0.72,0.54,0.38
16.2,0.81,0.8,0.7,0.49,0.36,0.25
16.4,0.97,1.01,0.95,0.77,0.55,0.37
16.6,0.87,0.94,0.86,0.65,0.48,0.33
16.8,0.84,0.83,0.77,0.64,0.51,0.38
17,0.91,0.96,0.89,0.69,0.5,0.32
17.2,0.79,0.77,0.71,0.58,0.47,0.37
17.4,0.89,0.96,0.9,0.72,0.52,0.33
17.6,0.84,0.78,0.72,0.59,0.49,0.39
17.8,1.14,1.31,1.12,0.77,0.53,0.34
18,0.85,0.87,0.81,0.65,0.47,0.32
18.2,0.8,0.83,0.78,0.65,0.49,0.34
18.4,0.85,0.8,0.68,0.51,0.39,0.29
18.6,1.01,1.13,1.07,0.89,0.64,0.41
18.8,0.9,0.92,0.85,0.63,0.48,0.36
19,0.88,0.93,0.9,0.73,0.53,0.36
19.2,0.86,0.91,0.83,0.61,0.45,0.3
19.4,1,1.06,1.01,0.83,0.63,0.45
19.6,0.86,0.85,0.77,0.6,0.45,0.31
19.8,0.85,0.87,0.81,0.68,0.53,0.4
20,0.91,0.93,0.86,0.67,0.49,0.34
20.2,0.99,1.05,0.93,0.66,0.47,0.3
20.4,0.84,0.83,0.76,0.58,0.42,0.3
20.6,0.93,0.96,0.9,0.75,0.59,0.43
20.8,0.89,0.87,0.76,0.56,0.4,0.27
21,0.96,1,0.93,0.72,0.52,0.35
21.2,0.87,0.9,0.81,0.61,0.47,0.34
21.4,0.92,0.95,0.9,0.74,0.54,0.37
21.6,0.99,1.05,0.99,0.77,0.58,0.4
21.8,0.89,0.85,0.78,0.63,0.49,0.38
22,0.97,1.02,0.97,0.76,0.56,0.37
22.2,0.92,0.92,0.82,0.62,0.46,0.33
22.4,0.93,0.95,0.89,0.74,0.56,0.39
22.6,0.88,0.9,0.79,0.57,0.41,0.28
22.8,0.94,0.98,0.97,0.84,0.65,0.46
23,0.89,0.93,0.8,0.55,0.39,0.27
23.2,1.01,1.07,1.07,0.94,0.7,0.48
23.4,1.07,1.14,1.02,0.78,0.58,0.4
23.6,0.87,0.86,0.78,0.59,0.42,0.29
23.8,0.88,0.9,0.83,0.69,0.55,0.41
24,0.94,0.95,0.85,0.65,0.49,0.33
24.2,0.94,0.94,0.91,0.8,0.62,0.44
24.4,0.93,1.01,0.93,0.67,0.5,0.34
24.6,0.94,0.98,0.96,0.88,0.69,0.51
24.8,0.93,0.98,0.89,0.65,0.48,0.32
25,0.89,0.91,0.87,0.76,0.58,0.42
25.2,0.93,0.95,0.86,0.7,0.54,0.38
25.4,0.99,0.97,0.91,0.73,0.58,0.43
25.6,0.92,0.96,0.87,0.65,0.48,0.33
25.8,0.93,0.94,0.88,0.72,0.55,0.4
26,0.98,1.04,0.98,0.79,0.58,0.37
26.2,0.89,0.91,0.84,0.67,0.52,0.39
26.4,0.91,0.93,0.88,0.74,0.57,0.4
26.6,1.01,1.03,0.95,0.74,0.56,0.38
26.8,0.91,0.9,0.81,0.65,0.51,0.39
27,0.9,0.94,0.86,0.69,0.52,0.34
27.2,0.9,0.9,0.81,0.64,0.54,0.44
27.4,0.99,1.05,1.01,0.86,0.65,0.43
27.6,1,1.03,0.94,0.73,0.57,0.42
27.8,0.99,1.07,0.99,0.77,0.56,0.39
28,0.98,0.99,0.89,0.69,0.5,0.34
28.2,0.96,0.97,0.88,0.71,0.55,0.39
28.4,1,1.01,0.93,0.74,0.56,0.39
28.6,0.9,0.94,0.87,0.71,0.53,0.38
28.8,0.94,0.96,0.84,0.61,0.46,0.31
29,0.97,1.02,1,0.87,0.68,0.49
29.2,0.99,1.01,0.9,0.65,0.47,0.32
29.4,0.89,0.91,0.87,0.78,0.64,0.49
29.6,1.02,1.09,0.95,0.67,0.49,0.32
29.8,0.99,1.03,1,0.88,0.68,0.5
30,1.02,1.02,0.91,0.71,0.53,0.35
30.2,0.99,0.99,0.94,0.78,0.62,0.47
30.4,1.02,1.05,0.92,0.68,0.49,0.32
30.6,0.98,0.97,0.88,0.69,0.51,0.35
30.8,0.98,1.01,0.93,0.76,0.58,0.41
31,1.01,1.06,0.99,0.81,0.63,0.45
31.2,0.95,0.96,0.87,0.68,0.5,0.35
31.4,0.94,0.95,0.91,0.77,0.62,0.47
31.6,0.97,1.03,0.95,0.73,0.53,0.33
31.8,0.9,0.92,0.86,0.72,0.58,0.45
32,1.01,1.05,0.99,0.83,0.63,0.44
32.2,0.94,0.96,0.86,0.63,0.49,0.36
32.4,0.99,1.08,1.13,1.07,0.83,0.56
32.6,1.08,1.1,0.97,0.7,0.53,0.38
32.8,1.03,1.09,1.06,0.95,0.74,0.54
33,0.97,0.97,0.88,0.66,0.5,0.33
33.2,0.98,0.99,0.92,0.74,0.57,0.41
33.4,1.01,1.06,0.97,0.78,0.58,0.38
33.6,0.99,0.99,0.91,0.74,0.58,0.45
33.8,1.12,1.24,1.13,0.83,0.59,0.38
34,1,1,0.95,0.8,0.6,0.44
34.2,1.01,1.06,0.99,0.77,0.57,0.37
34.4,0.96,0.93,0.85,0.7,0.56,0.42
34.6,1.11,1.25,1.11,0.81,0.58,0.37
34.8,1,1.01,0.91,0.71,0.53,0.38
35,1.01,1.04,0.98,0.8,0.61,0.44
35.2,1.04,1.05,0.96,0.75,0.57,0.39
35.4,1,1.05,0.98,0.82,0.61,0.42
35.6,0.95,0.97,0.89,0.69,0.53,0.4
35.8,1.06,1.12,1.06,0.89,0.68,0.47
36,1,1.04,0.95,0.72,0.56,0.42
36.2,0.99,1.03,1,0.9,0.72,0.53
36.4,1.08,1.17,1.06,0.79,0.58,0.37
36.6,0.98,0.95,0.91,0.76,0.58,0.44
36.8,1.06,1.18,0.98,0.67,0.47,0.3
37,1.1,1.19,1.21,1.04,0.76,0.51
37.2,1.09,1.15,1.07,0.85,0.67,0.5
37.4,1.07,1.12,1.05,0.88,0.66,0.47
37.6,1.05,1.08,0.99,0.77,0.57,0.4
37.8,1,1.01,0.96,0.82,0.65,0.48
38,1.05,1.13,1.05,0.85,0.63,0.42
38.2,0.97,1.01,0.94,0.74,0.59,0.45
38.4,1.08,1.11,1.05,0.87,0.66,0.46
38.6,1.08,1.14,1.05,0.78,0.56,0.36
38.8,1.04,1.09,1.05,0.93,0.73,0.53
39,1.09,1.17,1.11,0.88,0.65,0.42
39.2,0.98,1.01,0.96,0.82,0.66,0.5
39.4,1.2,1.32,1.2,0.9,0.64,0.42
39.6,1.01,1.05,1.01,0.86,0.67,0.48
39.8,1.08,1.13,1.07,0.91,0.7,0.49
40,1.06,1.06,0.95,0.73,0.56,0.41
40.2,1.08,1.14,1.07,0.89,0.69,0.5
40.4,1.06,1.08,0.98,0.76,0.59,0.44
40.6,1.1,1.18,1.12,0.87,0.63,0.41
40.8,1.02,1.08,1.06,0.95,0.8,0.63
41,1.19,1.22,1.07,0.77,0.56,0.37
41.2,1.07,1.09,1.05,0.9,0.7,0.51
41.4,1.05,1.12,1,0.74,0.55,0.37
41.6,1.08,1.12,1.05,0.89,0.68,0.49
41.8,1.09,1.14,1.05,0.84,0.62,0.41
42,1.13,1.19,1.1,0.86,0.64,0.46
42.2,1.13,1.19,1.16,0.99,0.76,0.52
42.4,1.07,1.13,1.06,0.83,0.63,0.44
42.6,1.09,1.1,1.04,0.88,0.69,0.52
42.8,1.11,1.19,1.11,0.9,0.66,0.42
43,1.04,1.06,0.97,0.77,0.62,0.49
43.2,1.1,1.18,1.1,0.92,0.7,0.48
43.4,1.03,1.06,0.95,0.73,0.59,0.47
43.6,1.13,1.24,1.21,1.06,0.81,0.55
43.8,1.1,1.14,1.02,0.77,0.61,0.45
44,1.17,1.24,1.21,1.02,0.77,0.54
44.2,1.11,1.21,1.11,0.84,0.62,0.42
44.4,1.06,1.12,1.09,0.95,0.76,0.57
44.6,1.18,1.29,1.23,0.96,0.7,0.44
44.8,1.1,1.14,1.09,0.91,0.71,0.54
45,1.25,1.41,1.38,1.05,0.76,0.49
45.2,1.03,1.08,0.99,0.81,0.6,0.44
45.4,1.18,1.25,1.21,1.05,0.84,0.63
45.6,1.11,1.17,1.07,0.83,0.63,0.45
45.8,1.16,1.19,1.14,0.96,0.77,0.59
46,1.18,1.27,1.18,0.9,0.65,0.41
46.2,1.17,1.15,1.07,0.86,0.67,0.51
46.4,1.12,1.23,1.12,0.88,0.64,0.42
46.6,1.12,1.18,1.15,1.01,0.84,0.65
46.8,1.17,1.23,1.12,0.87,0.67,0.49
47,1.2,1.29,1.27,1.1,0.83,0.56
47.2,1.16,1.25,1.16,0.87,0.66,0.47
47.4,1.11,1.19,1.17,1.07,0.84,0.6
47.6,1.19,1.31,1.21,0.95,0.72,0.49
47.8,1.12,1.13,1.09,0.96,0.8,0.65
48,1.2,1.37,1.26,0.92,0.65,0.4
48.2,1.21,1.33,1.35,1.22,0.95,0.7
48.4,1.23,1.37,1.37,1.21,0.94,0.62
48.6,1.19,1.23,1.17,0.98,0.83,0.67
48.8,1.25,1.4,1.32,0.97,0.7,0.45
49,1.18,1.25,1.25,1.14,0.89,0.66
49.2,1.17,1.28,1.19,0.93,0.71,0.51
49.4,1.16,1.21,1.16,0.99,0.79,0.58
49.6,1.31,1.45,1.4,1.1,0.82,0.54
49.8,1.17,1.24,1.17,0.97,0.74,0.53
50,1.18,1.29,1.24,1.07,0.83,0.6
50.2,1.21,1.24,1.13,0.89,0.69,0.5
50.4,1.28,1.44,1.38,1.12,0.84,0.55
50.6,1.18,1.26,1.2,1.02,0.81,0.61
50.8,1.26,1.34,1.31,1.14,0.89,0.65
51,1.18,1.28,1.14,0.85,0.65,0.46
51.2,1.29,1.4,1.41,1.23,0.96,0.69
51.4,1.18,1.26,1.16,0.9,0.68,0.47
51.6,1.21,1.3,1.3,1.16,0.94,0.71
51.8,1.24,1.36,1.27,0.97,0.75,0.52
52,1.22,1.32,1.32,1.2,0.99,0.76
52.2,1.29,1.42,1.36,1.06,0.78,0.49
52.4,1.21,1.3,1.33,1.24,1.01,0.78
52.6,1.35,1.52,1.4,1.01,0.73,0.48
52.8,1.35,1.5,1.57,1.43,1.04,0.7
53,1.37,1.54,1.5,1.23,0.95,0.67
53.2,1.28,1.33,1.23,1,0.78,0.58
53.4,1.36,1.53,1.43,1.1,0.8,0.54
53.6,1.28,1.4,1.36,1.17,0.91,0.65
53.8,1.38,1.51,1.47,1.25,0.94,0.64
54,1.13,1.23,1.2,1.02,0.86,0.67
54.2,1.27,1.38,1.35,1.21,0.98,0.73
54.4,1.34,1.48,1.43,1.17,0.91,0.63
54.6,1.26,1.35,1.31,1.14,0.95,0.75
54.8,1.22,1.34,1.32,1.17,0.94,0.68
55,1.29,1.37,1.28,1.03,0.85,0.66
55.2,1.38,1.55,1.51,1.3,1,0.69
55.4,1.28,1.41,1.32,1.05,0.86,0.68
55.6,1.27,1.43,1.48,1.38,1.07,0.74
55.8,1.31,1.43,1.36,1.1,0.92,0.72
56,1.34,1.46,1.44,1.26,0.97,0.69
56.2,1.26,1.36,1.34,1.16,0.96,0.73
56.4,1.25,1.3,1.25,1.06,0.89,0.71
56.6,1.3,1.44,1.4,1.23,0.94,0.64
56.8,1.5,1.57,1.47,1.19,1,0.82
57,1.56,1.76,1.69,1.28,0.91,0.61
57.2,1.31,1.47,1.48,1.36,1.13,0.86
57.4,1.37,1.48,1.45,1.23,0.96,0.69
57.6,1.32,1.42,1.37,1.15,0.91,0.67
57.8,1.42,1.55,1.5,1.25,0.98,0.7
58,1.42,1.51,1.47,1.24,1,0.75
58.2,1.3,1.39,1.36,1.19,0.92,0.63
58.4,1.3,1.39,1.37,1.23,1.07,0.87
58.6,1.37,1.5,1.47,1.27,1.03,0.77
58.8,1.31,1.4,1.36,1.2,1.02,0.83
59,1.34,1.48,1.47,1.23,0.93,0.59
59.2,1.35,1.47,1.47,1.32,1.15,0.98
59.4,1.35,1.53,1.58,1.48,1.18,0.81
59.6,1.34,1.44,1.36,1.14,1,0.84
59.8,1.42,1.61,1.59,1.34,0.99,0.65
60,1.37,1.56,1.62,1.54,1.34,1.05
60.2,1.53,1.65,1.65,1.49,1.22,0.92
60.4,1.41,1.53,1.47,1.23,0.94,0.65
60.6,1.31,1.42,1.39,1.21,1.04,0.83
60.8,1.37,1.47,1.42,1.24,0.95,0.65
61,1.38,1.49,1.49,1.35,1.17,0.95
61.2,1.43,1.55,1.53,1.38,1.17,0.91
61.4,1.35,1.47,1.4,1.17,0.95,0.72
61.6,1.45,1.63,1.69,1.57,1.24,0.86
61.8,1.35,1.47,1.46,1.27,1.05,0.8
62,1.41,1.52,1.54,1.43,1.24,1.01
62.2,1.35,1.51,1.42,1.13,0.88,0.62
62.4,1.32,1.45,1.49,1.45,1.28,1.06
62.6,1.32,1.44,1.39,1.18,0.95,0.68
62.8,1.4,1.51,1.53,1.42,1.25,1.03
63,1.45,1.62,1.57,1.32,1.08,0.8
63.2,1.51,1.61,1.59,1.4,1.09,0.78
63.4,1.42,1.56,1.54,1.34,1.09,0.82
63.6,1.35,1.47,1.46,1.31,1.13,0.9
63.8,1.46,1.58,1.54,1.35,1.16,0.95
64,1.49,1.6,1.6,1.44,1.15,0.82
64.2,1.5,1.67,1.66,1.44,1.19,0.9
64.4,1.4,1.54,1.56,1.46,1.25,0.99
64.6,1.34,1.48,1.48,1.34,1.08,0.77
64.8,1.4,1.54,1.53,1.32,1.16,0.97
65,1.33,1.47,1.52,1.47,1.3,1.08
65.2,1.32,1.47,1.46,1.32,1.12,0.84
65.4,1.45,1.58,1.59,1.48,1.34,1.16
65.6,1.45,1.63,1.57,1.23,0.94,0.62
65.8,1.42,1.58,1.65,1.6,1.41,1.15
66,1.42,1.58,1.54,1.29,1,0.68
66.2,1.47,1.67,1.78,1.83,1.67,1.37
66.4,1.43,1.59,1.62,1.49,1.28,1
66.6,1.5,1.62,1.67,1.59,1.45,1.2
66.8,1.58,1.75,1.69,1.44,1.14,0.79
67,1.47,1.63,1.64,1.5,1.31,1.1
67.2,1.45,1.6,1.62,1.46,1.18,0.86
67.4,1.42,1.54,1.56,1.43,1.28,1.09
67.6,1.49,1.67,1.68,1.54,1.24,0.9
67.8,1.41,1.54,1.55,1.4,1.24,1.03
68,1.56,1.72,1.76,1.66,1.42,1.12
68.2,1.45,1.62,1.59,1.38,1.18,0.94
68.4,1.56,1.76,1.84,1.77,1.49,1.13
68.6,1.55,1.71,1.72,1.55,1.34,1.06
68.8,1.46,1.58,1.6,1.45,1.22,0.93
69,1.53,1.66,1.62,1.42,1.23,0.99
69.2,1.58,1.76,1.81,1.68,1.41,1.07
69.4,1.49,1.64,1.6,1.34,1.15,0.95
69.6,1.68,1.86,1.9,1.78,1.43,1.01
69.8,1.65,1.85,1.85,1.63,1.37,1.09
70,1.61,1.75,1.74,1.58,1.34,1.03
70.2,1.62,1.78,1.77,1.51,1.22,0.89
70.4,1.69,1.87,1.82,1.59,1.33,1.04
70.6,1.73,1.98,2.09,1.96,1.53,1.05
70.8,1.51,1.69,1.71,1.48,1.24,0.97
71,1.68,1.89,1.97,1.87,1.57,1.16
71.2,1.74,1.95,1.93,1.69,1.44,1.13
71.4,1.53,1.69,1.74,1.67,1.48,1.24
71.6,1.66,1.9,1.82,1.45,1.17,0.9
71.8,1.6,1.87,2.06,2.09,1.66,1.12
72,1.56,1.83,1.9,1.75,1.64,1.37
72.2,1.67,1.9,2.03,2.02,1.68,1.25
72.4,1.67,1.88,1.85,1.57,1.35,1.06
72.6,1.61,1.83,1.95,1.94,1.64,1.24
72.8,1.64,1.87,1.89,1.66,1.44,1.15
73,1.64,1.87,1.95,1.86,1.56,1.17
73.2,1.58,1.76,1.81,1.74,1.56,1.28
73.4,1.76,1.96,1.96,1.67,1.4,1.06
73.6,1.62,1.8,1.86,1.76,1.44,1.07
73.8,1.57,1.82,1.87,1.66,1.42,1.11
74,1.76,1.93,1.99,1.89,1.69,1.39
74.2,1.78,2.07,2.12,1.76,1.32,0.87
74.4,1.62,1.87,1.98,1.88,1.57,1.21
74.6,1.59,1.76,1.85,1.81,1.69,1.48
74.8,1.56,1.73,1.66,1.38,1.08,0.78
75,1.52,1.68,1.74,1.73,1.62,1.46
75.2,1.68,1.9,1.87,1.61,1.34,1.04
75.4,1.69,1.93,2.14,2.25,1.99,1.53
75.6,1.74,2.06,2.06,1.76,1.56,1.24
75.8,1.6,1.84,1.98,1.98,1.64,1.24
76,1.53,1.7,1.74,1.65,1.55,1.33
76.2,1.67,1.83,1.84,1.67,1.42,1.14
76.4,1.62,1.81,1.87,1.78,1.59,1.3
76.6,1.7,1.83,1.83,1.66,1.46,1.2
76.8,1.75,1.97,1.98,1.72,1.38,1.01
77,1.63,1.79,1.83,1.75,1.56,1.32
77.2,1.59,1.74,1.75,1.51,1.25,0.94
77.4,1.8,2.02,2.05,1.92,1.69,1.4
77.6,1.82,2.12,2.26,2.24,1.87,1.34
77.8,1.67,1.89,2,1.95,1.83,1.55
78,1.77,1.98,2.01,1.83,1.55,1.22
78.2,1.63,1.83,1.84,1.66,1.48,1.25
78.4,1.75,1.99,2.09,2.01,1.64,1.18
78.6,1.78,2.06,2.11,1.81,1.59,1.29
78.8,1.79,2.08,2.25,2.22,1.81,1.32
79,1.76,2.04,2.1,1.89,1.71,1.44
79.2,1.79,2.12,2.3,2.27,1.82,1.25
79.4,1.73,1.99,2.16,2.16,1.97,1.64
79.6,1.69,1.96,1.93,1.69,1.47,1.21
79.8,1.75,1.97,2.07,1.98,1.71,1.38
80,1.72,1.95,1.98,1.8,1.57,1.27
80.2,1.73,1.93,1.97,1.85,1.65,1.36
80.4,1.74,1.98,2.03,1.82,1.48,1.08
80.6,1.84,2.13,2.21,2.12,1.93,1.68
80.8,1.75,1.96,2.04,1.92,1.6,1.2
81,1.73,1.95,2.01,1.86,1.68,1.44
81.2,1.83,2.08,2.15,2.05,1.79,1.42
81.4,1.77,1.99,2.06,1.95,1.78,1.54
81.6,1.81,2.04,2.15,2.1,1.85,1.49
81.8,1.72,1.93,1.97,1.83,1.65,1.4
82,1.86,2.06,2.13,2.03,1.77,1.41
82.2,1.84,2.09,2.09,1.81,1.57,1.27
82.4,1.84,2.15,2.32,2.38,2.06,1.58
82.6,1.87,2.16,2.27,2.16,2,1.63
82.8,1.8,2.05,2.22,2.24,2.07,1.74
83,1.72,1.97,2.02,1.89,1.73,1.5
83.2,1.76,2.04,2.23,2.32,2.17,1.84
83.4,1.7,1.93,1.95,1.78,1.57,1.27
83.6,1.88,2.13,2.21,2.16,2.01,1.75
83.8,1.8,2.05,2.08,1.85,1.55,1.22
84,1.83,2.08,2.17,2.14,2.02,1.79
84.2,1.74,1.96,2.04,1.93,1.61,1.22
84.4,1.93,2.25,2.43,2.44,2.3,1.99
84.6,1.83,2.11,2.21,2.15,1.79,1.29
84.8,1.88,2.18,2.31,2.29,2.32,2.15
85,1.77,2.11,2.28,2.29,1.82,1.21
85.2,1.83,2.2,2.51,2.71,2.77,2.45
85.4,1.87,2.14,2.29,2.3,2.05,1.64
85.6,1.76,2,2.13,2.12,2.04,1.79
85.8,1.87,2.15,2.23,2.05,1.82,1.51
86,1.98,2.16,2.24,2.16,1.9,1.54
86.2,1.82,2.11,2.13,1.93,1.66,1.32
86.4,1.69,1.91,2.02,2.05,1.93,1.67
86.6,1.85,2.1,2.17,2.03,1.79,1.47
86.8,1.91,2.19,2.35,2.36,2.23,1.94
87,1.98,2.31,2.41,2.15,1.83,1.43
87.2,1.9,2.22,2.42,2.56,2.31,1.87
87.4,1.83,2.13,2.25,2.01,1.8,1.44
87.6,2.02,2.39,2.64,2.73,2.36,1.81
87.8,1.83,2.09,2.24,2.23,2.11,1.83
88,1.97,2.26,2.3,2.04,1.76,1.42
88.2,1.81,2.05,2.13,2.06,1.78,1.43
88.4,1.91,2.15,2.27,2.27,2.16,1.92
88.6,1.9,2.18,2.26,2.15,1.96,1.65
88.8,1.83,2.05,2.14,2.07,1.77,1.37
89,2.05,2.34,2.48,2.42,2.3,2.05
89.2,1.89,2.15,2.23,2.14,1.9,1.58
89.4,1.87,2.16,2.28,2.22,2.06,1.79
89.6,2,2.32,2.47,2.49,2.3,1.91
89.8,1.92,2.25,2.39,2.3,2.01,1.57
90,1.98,2.3,2.53,2.65,2.57,2.31
90.2,2.11,2.43,2.48,2.18,1.89,1.54
90.4,1.99,2.32,2.51,2.51,2.13,1.64
90.6,1.78,2.04,2.16,2.15,2.03,1.8
90.8,2.04,2.3,2.39,2.34,2.26,2.08
91,2.05,2.38,2.46,2.23,1.88,1.47
91.2,2.04,2.34,2.48,2.48,2.32,2.03
91.4,2.05,2.35,2.45,2.3,1.92,1.44
91.6,2.08,2.44,2.62,2.55,2.37,2.06
91.8,2,2.29,2.44,2.44,2.15,1.71
92,2,2.32,2.46,2.4,2.27,2
92.2,1.92,2.26,2.48,2.65,2.58,2.29
92.4,1.86,2.16,2.32,2.36,2.25,1.95
92.6,1.94,2.21,2.33,2.3,2.21,2.04
92.8,1.97,2.21,2.3,2.23,1.99,1.64
93,2.27,2.63,2.77,2.58,2.32,1.95
93.2,2.15,2.55,2.75,2.75,2.39,1.86
93.4,2.15,2.48,2.62,2.62,2.52,2.28
93.6,1.95,2.2,2.33,2.24,1.97,1.58
93.8,2.01,2.31,2.45,2.37,2.24,2.02
94,1.96,2.26,2.42,2.49,2.29,1.92
94.2,2,2.3,2.39,2.3,2.2,2
94.4,2.23,2.55,2.7,2.65,2.31,1.86
94.6,2.15,2.49,2.65,2.47,2.27,1.97
94.8,2.05,2.47,2.73,2.87,2.5,1.89
95,2.05,2.4,2.69,2.9,2.99,2.84
95.2,2.02,2.35,2.42,2.22,1.97,1.64
95.4,2.01,2.35,2.56,2.65,2.37,1.94
95.6,2.05,2.37,2.5,2.45,2.33,2.09
95.8,2.21,2.54,2.72,2.76,2.64,2.37
96,2.17,2.53,2.64,2.48,2.14,1.69
96.2,2.13,2.5,2.73,2.76,2.59,2.22
96.4,2.17,2.48,2.6,2.53,2.24,1.85
96.6,2.26,2.6,2.69,2.58,2.39,2.08
96.8,2.23,2.55,2.69,2.68,2.45,2.11
97,2.01,2.31,2.47,2.41,2.19,1.84
97.2,2.23,2.6,2.85,2.99,2.95,2.66
97.4,2.05,2.36,2.5,2.49,2.31,1.96
97.6,2.18,2.51,2.62,2.61,2.52,2.32
97.8,2.08,2.36,2.5,2.46,2.24,1.88
98,2.32,2.66,2.85,2.86,2.74,2.51
98.2,2.03,2.38,2.58,2.62,2.47,2.12
98.4,2.07,2.39,2.59,2.72,2.68,2.51
98.6,2.13,2.45,2.59,2.51,2.31,1.97
98.8,2.17,2.54,2.76,2.84,2.63,2.22
99,2.46,2.91,3.19,3.2,2.99,2.62
99.2,2.11,2.5,2.75,2.87,2.67,2.2
99.4,2.14,2.5,2.74,2.78,2.62,2.28
99.6,2.17,2.53,2.75,2.84,2.76,2.49
99.8,2.43,2.91,3.12,3.08,2.82,2.36
100,2.01,2.36,2.57,2.67,2.64,2.46
100.2,2.28,2.63,2.83,2.83,2.61,2.23
100.4,2.28,2.71,2.92,2.93,2.86,2.66
100.6,2.2,2.6,2.85,2.89,2.49,1.92
100.8,2.24,2.64,2.86,2.95,3.05,2.99
