x,Wp2,Wp4,Wp6,Up2,Up4,Up6,Yp2,Yp4,Yp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,Yp2_rms,Yp4_rms,Yp6_rms
 7.031E-02, 1.478E+00, 2.755E+00, 3.254E+00,-4.488E-01,-2.124E-01,-5.917E-02, 5.064E-01, 3.535E-01, 2.580E-01, 7.554E-01, 1.176E+00, 1.293E+00, 3.732E-01, 3.922E-01, 4.510E-01, 2.208E-01, 1.947E-01, 1.723E-01
 8.594E-02, 1.443E+00, 2.627E+00, 3.108E+00,-5.130E-01,-2.025E-01,-3.809E-02, 4.651E-01, 3.151E-01, 2.314E-01, 7.578E-01, 1.138E+00, 1.188E+00, 3.546E-01, 3.912E-01, 4.595E-01, 2.237E-01, 1.932E-01, 1.666E-01
 1.016E-01, 1.371E+00, 2.456E+00, 2.940E+00,-5.617E-01,-1.754E-01,-3.169E-02, 4.156E-01, 2.755E-01, 2.069E-01, 7.848E-01, 1.100E+00, 1.044E+00, 3.357E-01, 4.033E-01, 4.690E-01, 2.202E-01, 1.856E-01, 1.626E-01
 1.172E-01, 1.318E+00, 2.291E+00, 2.761E+00,-5.913E-01,-1.635E-01,-2.865E-02, 3.737E-01, 2.381E-01, 1.848E-01, 7.885E-01, 1.040E+00, 1.002E+00, 3.192E-01, 4.144E-01, 4.787E-01, 2.121E-01, 1.759E-01, 1.590E-01
 1.328E-01, 1.254E+00, 2.137E+00, 2.603E+00,-6.050E-01,-1.689E-01,-2.972E-02, 3.226E-01, 2.068E-01, 1.687E-01, 7.818E-01, 9.990E-01, 9.819E-01, 3.054E-01, 4.273E-01, 4.815E-01, 1.941E-01, 1.667E-01, 1.574E-01
 1.484E-01, 1.174E+00, 1.999E+00, 2.433E+00,-5.933E-01,-1.824E-01,-3.178E-02, 2.798E-01, 1.842E-01, 1.547E-01, 7.842E-01, 9.502E-01, 9.241E-01, 3.109E-01, 4.370E-01, 4.937E-01, 1.835E-01, 1.570E-01, 1.494E-01
 1.641E-01, 1.160E+00, 1.901E+00, 2.264E+00,-5.811E-01,-1.935E-01,-3.461E-02, 2.577E-01, 1.707E-01, 1.396E-01, 7.645E-01, 8.810E-01, 8.742E-01, 3.244E-01, 4.310E-01, 5.047E-01, 1.831E-01, 1.521E-01, 1.365E-01
 1.797E-01, 1.166E+00, 1.756E+00, 2.036E+00,-5.814E-01,-1.912E-01,-4.184E-02, 2.449E-01, 1.549E-01, 1.266E-01, 7.374E-01, 8.233E-01, 8.101E-01, 3.310E-01, 4.138E-01, 5.116E-01, 1.797E-01, 1.444E-01, 1.247E-01
 1.953E-01, 1.157E+00, 1.602E+00, 1.821E+00,-5.858E-01,-1.871E-01,-6.035E-02, 2.268E-01, 1.364E-01, 1.163E-01, 7.077E-01, 7.481E-01, 7.892E-01, 3.429E-01, 4.214E-01, 5.094E-01, 1.678E-01, 1.318E-01, 1.141E-01
 2.109E-01, 1.101E+00, 1.434E+00, 1.618E+00,-5.922E-01,-1.827E-01,-9.251E-02, 2.039E-01, 1.206E-01, 1.078E-01, 6.794E-01, 6.894E-01, 7.029E-01, 3.466E-01, 4.466E-01, 5.053E-01, 1.554E-01, 1.171E-01, 1.068E-01
