s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 6.2001465E+001, 2.9950572E+001, 0.0000000E+000,-8.9448670E+000,-1.6505767E+001,-1.3696386E+000, 2.1952735E-002, 0.0000000E+000, 0.0000000E+000, 3.0827243E+000, 3.1522517E+000,-9.3865758E-001, 6.4699996E-004,-9.1886426E-003
 6.4000755E+001, 2.9637470E+001, 0.0000000E+000,-8.7531234E+000,-2.0788512E+001,-1.3868449E+000, 2.2275478E-002, 0.0000000E+000, 0.0000000E+000,-1.3422386E+000,-1.2687348E+000,-9.2231856E-001, 6.4699995E-004,-1.1365923E-002
 6.6001251E+001, 2.9856541E+001, 0.0000000E+000,-8.8266334E+000,-2.0156874E+001,-1.4818359E+000, 2.1716995E-002, 0.0000000E+000, 0.0000000E+000,-6.5769329E-001,-5.8708551E-001,-9.2463648E-001, 6.4699995E-004,-1.1178687E-002
 6.8000168E+001, 2.9709731E+001, 0.0000000E+000,-8.7733347E+000,-1.9884253E+001,-1.4082200E+000, 2.2214643E-002, 0.0000000E+000, 0.0000000E+000,-3.9870034E-001,-3.3386190E-001,-9.2574563E-001, 6.4699995E-004,-1.0952119E-002
 7.0000809E+001, 2.9641134E+001, 0.0000000E+000,-8.7464482E+000,-1.9504871E+001,-1.3532301E+000, 2.1711766E-002, 0.0000000E+000, 0.0000000E+000,-2.4794815E-002, 5.8295767E-002,-9.2723184E-001, 6.4699995E-004,-1.0707347E-002
 7.2000710E+001, 2.9717246E+001, 0.0000000E+000,-8.7432210E+000,-1.9117931E+001,-1.4762408E+000, 2.1756395E-002, 0.0000000E+000, 0.0000000E+000, 3.3569795E-001, 4.0160920E-001,-9.2873194E-001, 6.4699996E-004,-1.0512673E-002
 7.4000458E+001, 2.9829458E+001, 0.0000000E+000,-8.7938227E+000,-1.9571453E+001,-1.4904586E+000, 2.1531629E-002, 0.0000000E+000, 0.0000000E+000,-6.5725203E-002,-4.7445210E-003,-9.2685640E-001, 6.4699995E-004,-1.0867681E-002
 7.6001060E+001, 2.9658607E+001, 0.0000000E+000,-8.6719497E+000,-1.9194221E+001,-1.3736269E+000, 2.2125217E-002, 0.0000000E+000, 0.0000000E+000, 3.8151025E-001, 4.4093374E-001,-9.2836253E-001, 6.4699995E-004,-1.0616863E-002
 7.8001007E+001, 2.9513521E+001, 0.0000000E+000,-8.7624460E+000,-1.8723696E+001,-1.3479888E+000, 2.1713969E-002, 0.0000000E+000, 0.0000000E+000, 6.2491786E-001, 7.0110515E-001,-9.3044168E-001, 6.4699996E-004,-1.0106305E-002
 8.0000298E+001, 3.0103926E+001, 0.0000000E+000,-8.8142652E+000,-2.0303157E+001,-1.3234299E+000, 2.1417417E-002, 0.0000000E+000, 0.0000000E+000,-3.9084824E-001,-3.1550874E-001,-9.2409347E-001, 6.4699996E-004,-1.1181134E-002
 8.2001610E+001, 2.9602857E+001, 0.0000000E+000,-8.6727860E+000,-2.0110668E+001,-1.3703742E+000, 2.1800414E-002, 0.0000000E+000, 0.0000000E+000,-6.0795443E-001,-5.2917063E-001,-9.2494045E-001, 6.4699996E-004,-1.1010953E-002
 8.4001007E+001, 2.9959143E+001, 0.0000000E+000,-8.7581651E+000,-1.9873453E+001,-1.5046629E+000, 2.1915942E-002, 0.0000000E+000, 0.0000000E+000,-2.2137095E-001,-1.5522269E-001,-9.2581757E-001, 6.4699996E-004,-1.0924795E-002
 8.6000710E+001, 2.9265205E+001, 0.0000000E+000,-8.5652529E+000,-1.8855965E+001,-1.3014957E+000, 2.2150659E-002, 0.0000000E+000, 0.0000000E+000, 4.9218154E-001, 5.6464275E-001,-9.2980048E-001, 6.4699996E-004,-1.0299214E-002
