s,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW,kW,kW,kW,kW,kW,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m,m,m,deg,m,m
Time,HRR,HF 10-1,HF 10-2,HF 10-3,HF 10-4,HF 30-1,HF 30-2,HF 30-3,HF 30-4,HF 50-1,HF 50-2,HF 50-3,HF 50-4,HF 70-1,HF 70-2,HF 70-3,HF 70-4,HF 90-1,HF 90-2,HF 90-3,HF 90-4,HF 110-1,HF 110-2,HF 110-3,HF 110-4,HF 130-1,HF 130-2,HF 130-3,HF 130-4,HFG 10,HFG 35,HFG 60,HFG 85,HFG 110,HFG 135,GHF tot  y0,GHF rad  y0,GHF con  y0,GHF tot  x0,GHF rad  x0,GHF conv x0,Vmag burn ctr,U burn ctr,V burn ctr,W burn ctr,W vert burner-1,W vert burner-2,W vert burner-3,W vert burner-4,W vert burner-5,W vert burner-6,W vert burner-7,W vert burner-8,W vert burner-9,W vert burner-10,W vert burner-11,W vert burner-12,W vert burner-13,x_max,y_max,L_F,tilt,DELTA97_X,DELTA97_Y
 7.8000317E+001, 2.6587492E+001, 3.0441543E+001, 4.7663339E+001, 5.0362114E+001, 2.5920342E+001, 5.3800587E+001, 4.8694128E+001, 2.5183653E+001, 7.8795107E+000, 3.7645157E+001, 3.0323499E+001, 1.7180963E+001, 5.2686574E+000, 2.0917499E+001, 1.6628524E+001, 9.6676969E+000, 3.7641151E+000, 1.0916809E+001, 8.7083784E+000, 5.6962535E+000, 2.4783435E+000, 6.1098020E+000, 5.0277789E+000, 3.6525787E+000, 2.0101547E+000, 4.3127836E+000, 3.3098562E+000, 2.5704437E+000, 1.6309998E+000, 1.5166802E+000, 1.4914370E+000, 1.2173998E+000, 9.7637849E-001, 5.9635269E-001, 3.7997602E-001, 6.2692025E+000, 3.9463067E+000, 2.3228958E+000, 5.6124147E+000, 3.6770443E+000, 1.9353704E+000, 4.0592808E-001,-2.0855719E-001,-2.5827366E-001, 1.0832207E-001, 2.7741090E-001, 1.1405502E-002, 6.5637140E-003, 1.4426661E-002, 2.8816718E-002, 5.1766110E-002, 7.1656911E-002, 9.3375504E-002, 1.2317015E-001, 1.3885009E-001, 1.7238004E-001, 1.9087625E-001, 2.2492288E-001, 9.3745973E-002, 6.3426122E-002, 9.4934266E+208, 9.4934266E+208, 9.4934266E+208, 9.4934266E+208
 8.0000235E+001, 2.7915135E+001, 3.0294445E+001, 4.4221889E+001, 4.7376224E+001, 2.4584010E+001, 5.0109864E+001, 4.3734567E+001, 2.2079301E+001, 8.6599261E+000, 3.6383600E+001, 2.6855077E+001, 1.4825949E+001, 5.8150369E+000, 2.1608168E+001, 1.5183009E+001, 9.5806178E+000, 3.9447635E+000, 1.2104365E+001, 8.8844740E+000, 5.4328190E+000, 2.9297588E+000, 7.3961902E+000, 5.0845728E+000, 3.4963428E+000, 2.2600442E+000, 4.7940917E+000, 3.8261979E+000, 2.7434617E+000, 1.7254070E+000, 1.5175207E+000, 1.4905699E+000, 1.2093012E+000, 9.7414049E-001, 6.0272315E-001, 3.8083778E-001, 6.1900019E+000, 3.8693051E+000, 2.3206968E+000, 5.8253513E+000, 3.7216292E+000, 2.1037221E+000, 3.7076871E-001,-2.2717323E-001,-2.5339305E-001, 1.2114389E-002, 1.7369578E-001, 1.5578777E-002, 1.2930479E-002, 2.3262887E-002, 4.5434321E-002, 7.1611229E-002, 9.8008493E-002, 1.1704530E-001, 1.2806351E-001, 1.4592727E-001, 1.7059066E-001, 2.0861189E-001, 2.3452543E-001, 9.6866889E-002, 3.3751149E-002, 9.2221978E+208, 9.2221978E+208, 9.2221978E+208, 9.2221978E+208
 8.2000112E+001, 2.9764185E+001, 2.9421100E+001, 4.3424490E+001, 4.5001656E+001, 2.4050644E+001, 5.4635455E+001, 4.2754685E+001, 2.2516570E+001, 8.9446168E+000, 3.4604670E+001, 2.6054149E+001, 1.7664579E+001, 7.5210532E+000, 1.8771458E+001, 1.4217085E+001, 1.0043932E+001, 5.8540183E+000, 1.0298098E+001, 8.5657525E+000, 6.3000350E+000, 3.5555191E+000, 6.8218214E+000, 5.4890698E+000, 4.1583687E+000, 2.4319667E+000, 4.4062122E+000, 3.6111033E+000, 2.7688790E+000, 1.8799531E+000, 1.5030687E+000, 1.4881950E+000, 1.2214748E+000, 9.8751532E-001, 6.0779455E-001, 3.9705738E-001, 6.1982450E+000, 3.9235279E+000, 2.2747171E+000, 5.5130318E+000, 3.6500322E+000, 1.8629996E+000, 3.7463703E-001,-2.3299017E-001,-2.6401389E-001, 3.3814417E-002, 2.4052506E-001, 9.9462014E-003, 1.5506275E-002, 1.8342490E-002, 2.5853976E-002, 3.9334370E-002, 5.6064684E-002, 5.5394936E-002, 9.7556725E-002, 1.3433341E-001, 1.7325372E-001, 1.9127543E-001, 2.2029365E-001, 5.4142955E-002, 4.1686319E-002, 8.9660419E+208, 8.9660419E+208, 8.9660419E+208, 8.9660419E+208
 8.4000238E+001, 3.4775445E+001, 2.8658342E+001, 4.0859766E+001, 4.1697684E+001, 2.0298065E+001, 4.9895673E+001, 4.6323546E+001, 2.3693311E+001, 8.0869282E+000, 3.7034784E+001, 2.7967032E+001, 1.4897242E+001, 6.9394150E+000, 2.0646728E+001, 1.4024926E+001, 8.6811537E+000, 4.5954911E+000, 1.0647978E+001, 7.8980618E+000, 4.7936705E+000, 2.8646242E+000, 5.9644058E+000, 4.7112578E+000, 3.3757441E+000, 2.1074594E+000, 3.9702624E+000, 3.3049247E+000, 2.4826061E+000, 1.7599196E+000, 1.5245420E+000, 1.5113512E+000, 1.2431751E+000, 9.9863638E-001, 6.1623217E-001, 3.9591122E-001, 5.9907855E+000, 3.8603893E+000, 2.1303963E+000, 5.7969368E+000, 3.7796634E+000, 2.0172734E+000, 3.6903707E-001,-1.9035554E-001,-2.9199259E-001,-1.0741551E-003, 2.4207127E-001, 2.2812166E-002, 3.3647421E-002, 4.4044509E-002, 5.3377919E-002, 6.9086452E-002, 7.4430404E-002, 8.4857358E-002, 1.0198311E-001, 1.2876925E-001, 1.4815834E-001, 1.7688442E-001, 2.4994531E-001, 6.0088054E-002, 8.3443526E-002, 8.7237019E+208, 8.7237019E+208, 8.7237019E+208, 8.7237019E+208
 8.6000199E+001, 3.3450776E+001, 2.9034116E+001, 4.3063343E+001, 4.4452037E+001, 2.4912079E+001, 5.7193334E+001, 4.9375878E+001, 2.4529144E+001, 8.4331514E+000, 3.8965963E+001, 3.1382402E+001, 1.6114919E+001, 5.6045205E+000, 2.4353687E+001, 1.8232225E+001, 9.1022694E+000, 3.6371200E+000, 1.2957223E+001, 8.2786951E+000, 4.6356372E+000, 2.0825782E+000, 7.7593899E+000, 5.7789771E+000, 3.1222514E+000, 1.5854894E+000, 4.7471841E+000, 3.7974460E+000, 2.5737849E+000, 1.3329475E+000, 1.5326442E+000, 1.5163635E+000, 1.2393228E+000, 9.9825895E-001, 6.1726962E-001, 3.9066322E-001, 6.2818861E+000, 3.9780161E+000, 2.3038700E+000, 5.6212459E+000, 3.6855685E+000, 1.9356774E+000, 3.5817381E-001,-2.1802838E-001,-2.7669520E-001,-1.6032256E-002, 1.8120530E-001, 4.5205591E-002, 7.9719279E-002, 4.0205562E-002, 4.4888021E-002, 5.5641466E-002, 6.8923509E-002, 8.8663372E-002, 1.0539078E-001, 1.3015392E-001, 1.4279693E-001, 1.6834787E-001, 1.8132190E-001, 6.8980971E-002, 9.6148612E-002, 8.4941358E+208, 8.4941358E+208, 8.4941358E+208, 8.4941358E+208
 8.8000186E+001, 2.9163386E+001, 2.8498665E+001, 4.0262715E+001, 3.9796827E+001, 2.5507805E+001, 5.1948073E+001, 4.3128516E+001, 2.1250106E+001, 8.0212267E+000, 4.1366182E+001, 2.9952756E+001, 1.5528689E+001, 5.5722926E+000, 2.2686269E+001, 1.6071271E+001, 9.8736883E+000, 4.8382468E+000, 1.1801545E+001, 9.1381912E+000, 6.2025933E+000, 3.2386992E+000, 6.8797711E+000, 5.4582499E+000, 4.0574603E+000, 2.1902651E+000, 4.5627425E+000, 3.7299337E+000, 2.8854340E+000, 1.7609241E+000, 1.5340800E+000, 1.5295798E+000, 1.2764859E+000, 1.0235910E+000, 6.3127053E-001, 4.0719817E-001, 6.1276695E+000, 3.9358554E+000, 2.1918140E+000, 5.7413462E+000, 3.7966740E+000, 1.9446722E+000, 4.4160078E-001,-2.4890227E-001,-2.9369862E-001, 2.1630263E-002, 2.0610668E-001,-8.1690761E-003, 5.0374227E-002, 4.8096647E-002, 4.5123234E-002, 4.7574095E-002, 8.9404175E-002, 1.2633254E-001, 1.7882350E-001, 2.2750791E-001, 3.3852205E-001, 3.9604092E-001, 4.5989657E-001, 8.0785701E-002, 1.0263632E-001, 8.2763394E+208, 8.2763394E+208, 8.2763394E+208, 8.2763394E+208
 9.0000298E+001, 2.7095661E+001, 2.8921597E+001, 4.1667993E+001, 4.7174652E+001, 2.3036760E+001, 5.1536214E+001, 4.8690556E+001, 2.4447350E+001, 8.6653792E+000, 3.9482760E+001, 3.0737148E+001, 1.6950093E+001, 7.4183837E+000, 2.1508777E+001, 1.6630008E+001, 1.1173621E+001, 6.4951940E+000, 9.7411726E+000, 7.1452767E+000, 4.9656047E+000, 3.6453954E+000, 5.3954547E+000, 4.0980362E+000, 3.0390136E+000, 1.9397436E+000, 3.7708739E+000, 3.0917142E+000, 2.4942110E+000, 1.5682440E+000, 1.5614448E+000, 1.5652744E+000, 1.2835258E+000, 1.0223918E+000, 6.2438836E-001, 3.9327457E-001, 6.2745228E+000, 3.9626098E+000, 2.3119130E+000, 5.6406759E+000, 3.6892884E+000, 1.9513875E+000, 3.9438784E-001,-2.4142044E-001,-2.7686174E-001, 2.3148643E-002, 1.7636488E-001, 8.9857546E-003, 3.0819565E-003, 2.7713397E-002, 4.4738212E-002, 5.3229336E-002, 6.7705325E-002, 6.9455009E-002, 8.9991186E-002, 1.3349449E-001, 2.3354779E-001, 2.6572787E-001, 2.9239809E-001, 7.8795135E-002, 6.4503969E-002, 8.0694201E+208, 8.0694201E+208, 8.0694201E+208, 8.0694201E+208
 9.2000059E+001, 2.7097723E+001, 2.7880510E+001, 3.9387192E+001, 3.4076563E+001, 2.2672241E+001, 5.5551992E+001, 4.5602292E+001, 2.1014438E+001, 7.9438626E+000, 3.9983412E+001, 2.9006851E+001, 1.5989975E+001, 5.6094657E+000, 2.3228331E+001, 1.7445493E+001, 1.0038290E+001, 4.4684008E+000, 1.2693996E+001, 1.0287258E+001, 6.3075020E+000, 3.4891872E+000, 6.4933286E+000, 6.3275840E+000, 4.3068762E+000, 2.8149998E+000, 4.0798590E+000, 3.7430357E+000, 3.0798405E+000, 2.3503217E+000, 1.5404889E+000, 1.5224782E+000, 1.2702708E+000, 1.0269335E+000, 6.4367240E-001, 4.2041029E-001, 6.2025768E+000, 3.9384641E+000, 2.2641127E+000, 5.6955218E+000, 3.7487528E+000, 1.9467690E+000, 4.4177779E-001,-2.3994722E-001,-3.2318670E-001,-2.2773840E-002, 1.9457812E-001, 2.7638828E-002, 1.6095900E-002, 4.6095034E-002, 6.5015076E-002, 6.9706077E-002, 8.8463034E-002, 1.0712664E-001, 1.4470510E-001, 1.6975403E-001, 2.2807957E-001, 2.8445786E-001, 3.1662486E-001, 1.5573779E-001, 2.4035872E-002, 7.8726287E+208, 7.8726287E+208, 7.8726287E+208, 7.8726287E+208
 9.4000181E+001, 2.9819379E+001, 2.9352919E+001, 4.4562620E+001, 4.2413239E+001, 2.2855505E+001, 5.3983880E+001, 4.6129344E+001, 2.5626254E+001, 8.5739313E+000, 3.7831840E+001, 2.7043889E+001, 1.5927255E+001, 7.0381237E+000, 2.1753679E+001, 1.5936013E+001, 9.8516179E+000, 4.9548250E+000, 1.1475468E+001, 8.8460806E+000, 5.4631692E+000, 2.8698077E+000, 6.2908376E+000, 4.6805417E+000, 3.1628015E+000, 1.9455425E+000, 3.7030448E+000, 2.8896327E+000, 2.2248627E+000, 1.4894615E+000, 1.5870336E+000, 1.5839206E+000, 1.3006045E+000, 1.0414974E+000, 6.4733988E-001, 4.0904668E-001, 6.2143799E+000, 4.0336743E+000, 2.1807057E+000, 5.8389613E+000, 3.8068170E+000, 2.0321443E+000, 3.8982324E-001,-2.1895734E-001,-2.9994170E-001, 3.0912876E-003, 1.6724133E-001, 2.1732397E-002, 5.6864549E-003, 2.1892549E-002, 4.7860706E-002, 7.1250382E-002, 9.0840765E-002, 1.0291287E-001, 1.0430075E-001, 1.2620385E-001, 1.4028174E-001, 1.8521726E-001, 2.1923680E-001, 6.3447231E-002, 1.4025675E-001, 7.6851741E+208, 7.6851741E+208, 7.6851741E+208, 7.6851741E+208
 9.6000212E+001, 4.5149887E+001, 2.8690591E+001, 4.5841271E+001, 3.9848638E+001, 2.4303269E+001, 5.4698322E+001, 4.7415133E+001, 2.1619736E+001, 7.7325605E+000, 4.0804786E+001, 3.0312467E+001, 1.4265990E+001, 5.1408877E+000, 2.2667011E+001, 1.8069957E+001, 1.0200969E+001, 3.8871652E+000, 1.3323576E+001, 1.0161858E+001, 6.2346775E+000, 3.0572736E+000, 7.6963980E+000, 5.8679115E+000, 4.4562832E+000, 2.4476904E+000, 4.8220926E+000, 3.9814487E+000, 3.0079315E+000, 1.7837339E+000, 1.5655470E+000, 1.5521670E+000, 1.2857627E+000, 1.0374373E+000, 6.5194913E-001, 4.1194308E-001, 6.2806176E+000, 3.9754771E+000, 2.3051405E+000, 5.8437624E+000, 3.7997031E+000, 2.0440592E+000, 3.9154029E-001,-2.1621694E-001,-2.8799311E-001, 2.2614121E-002, 2.2518519E-001, 7.4376577E-003, 5.1036336E-003, 2.3687754E-002, 4.3698572E-002, 5.4606349E-002, 8.2610488E-002, 1.3062417E-001, 1.4282688E-001, 1.3864893E-001, 1.5928231E-001, 1.7938649E-001, 2.0223518E-001, 8.1559412E-002, 8.1569230E-002, 7.5064468E+208, 7.5064468E+208, 7.5064468E+208, 7.5064468E+208
 9.8000100E+001, 3.5297573E+001, 2.9148338E+001, 4.1950854E+001, 3.7994427E+001, 2.1808001E+001, 4.9578230E+001, 4.6010081E+001, 2.3494023E+001, 8.0595859E+000, 3.8111702E+001, 2.9234657E+001, 1.4971087E+001, 6.1181875E+000, 1.9384475E+001, 1.4779083E+001, 9.5090289E+000, 4.5912655E+000, 1.1425492E+001, 8.6879762E+000, 5.5619011E+000, 2.5614244E+000, 7.0076898E+000, 5.3233540E+000, 3.4659397E+000, 2.0564486E+000, 4.5175900E+000, 3.4570132E+000, 2.4258849E+000, 1.5673572E+000, 1.5719316E+000, 1.5685311E+000, 1.3039213E+000, 1.0383091E+000, 6.4500480E-001, 4.1660723E-001, 5.9680860E+000, 3.8682767E+000, 2.0998093E+000, 5.8415317E+000, 3.7868025E+000, 2.0547292E+000, 4.2727435E-001,-2.2205326E-001,-3.1649921E-001, 9.6710700E-002, 2.7224997E-001, 9.7660021E-002, 6.9883014E-002, 4.4642757E-002, 4.1301932E-002, 5.5102251E-002, 7.9804352E-002, 9.4970166E-002, 1.0680548E-001, 1.5821855E-001, 1.8995626E-001, 2.3362614E-001, 2.5271960E-001, 3.7878769E-002, 9.2824643E-002, 7.3358555E+208, 7.3358555E+208, 7.3358555E+208, 7.3358555E+208
 1.0000032E+002, 3.0661473E+001, 2.8633910E+001, 4.2972778E+001, 3.7892218E+001, 2.1469215E+001, 5.2262052E+001, 4.3726687E+001, 2.1011782E+001, 7.3217343E+000, 3.7799501E+001, 2.8317463E+001, 1.4777401E+001, 5.4372179E+000, 1.9530960E+001, 1.5415060E+001, 9.5641430E+000, 4.1912259E+000, 1.0891659E+001, 7.9760555E+000, 4.9399126E+000, 2.7308284E+000, 5.8603374E+000, 4.3725418E+000, 2.9659043E+000, 1.6204640E+000, 3.7543647E+000, 3.0123588E+000, 2.1355551E+000, 1.3441855E+000, 1.5852551E+000, 1.5767334E+000, 1.3089869E+000, 1.0482822E+000, 6.4848657E-001, 4.1706469E-001, 5.8331250E+000, 3.8949513E+000, 1.9381736E+000, 5.9473230E+000, 3.8174074E+000, 2.1299155E+000, 4.2762788E-001,-2.4264989E-001,-2.5707611E-001, 9.4637291E-002, 3.1599276E-001, 6.6694980E-002, 4.9046906E-002, 3.1512586E-002, 4.6216086E-002, 6.3905757E-002, 7.5793724E-002, 8.8950208E-002, 1.0680973E-001, 1.3570548E-001, 1.6713065E-001, 1.8871201E-001, 2.1553339E-001, 8.4614815E-002, 9.4106957E-002, 7.1728192E+208, 7.1728192E+208, 7.1728192E+208, 7.1728192E+208
 1.0200022E+002, 3.9032809E+001, 2.8298166E+001, 3.8661640E+001, 3.4869918E+001, 2.4216227E+001, 5.5843826E+001, 4.0751863E+001, 2.0506845E+001, 7.1825464E+000, 4.2071697E+001, 2.9477169E+001, 1.4932565E+001, 5.5135777E+000, 2.5757703E+001, 1.7512057E+001, 1.0179753E+001, 4.6969054E+000, 1.4702260E+001, 1.1025478E+001, 7.0705936E+000, 3.6621130E+000, 8.5345563E+000, 7.0094364E+000, 5.0706305E+000, 2.5737229E+000, 5.5015003E+000, 4.4084888E+000, 3.4438662E+000, 2.1205091E+000, 1.5741075E+000, 1.5672129E+000, 1.3272601E+000, 1.0890007E+000, 6.9271078E-001, 4.5723985E-001, 6.2907763E+000, 4.1032877E+000, 2.1874886E+000, 5.8614878E+000, 3.9089590E+000, 1.9525288E+000, 4.3689739E-001,-1.9874495E-001,-2.9788147E-001, 1.3760334E-001, 3.3150122E-001, 9.3229861E-002, 9.0301113E-002, 4.8872889E-002, 5.0088430E-002, 6.2659329E-002, 7.1648867E-002, 1.2435945E-001, 2.0297749E-001, 2.6794086E-001, 2.7083040E-001, 2.7429067E-001, 3.1884774E-001, 4.6431821E-002, 6.9827731E-002, 7.0168966E+208, 7.0168966E+208, 7.0168966E+208, 7.0168966E+208
 1.0400015E+002, 3.2480411E+001, 3.0863038E+001, 4.5243276E+001, 5.0441275E+001, 1.7814954E+001, 5.3918719E+001, 4.6362366E+001, 2.8578803E+001, 8.9848284E+000, 3.4803365E+001, 2.9013202E+001, 1.8423385E+001, 8.1302848E+000, 1.9493069E+001, 1.6131164E+001, 1.1417481E+001, 6.5843372E+000, 1.1630553E+001, 9.5272876E+000, 7.3116538E+000, 4.4367283E+000, 7.0098052E+000, 5.8070132E+000, 4.5870599E+000, 3.1990722E+000, 4.3920946E+000, 3.4827644E+000, 2.6624246E+000, 1.9952597E+000, 1.6313599E+000, 1.6425286E+000, 1.3496026E+000, 1.0762413E+000, 6.7570312E-001, 4.2358788E-001, 6.4685647E+000, 4.0919697E+000, 2.3765950E+000, 5.8075394E+000, 3.7918950E+000, 2.0156444E+000, 3.9923249E-001,-2.1610224E-001,-3.0129998E-001, 1.9713672E-002, 2.3634294E-001, 1.0722084E-002, 1.1844698E-002, 3.3032234E-002, 5.1966446E-002, 6.9669009E-002, 7.7527090E-002, 9.8827974E-002, 1.4659768E-001, 1.7552062E-001, 2.4251571E-001, 2.5673477E-001, 3.4193272E-001, 7.1161629E-002, 6.6030051E-002, 6.8676060E+208, 6.8676060E+208, 6.8676060E+208, 6.8676060E+208
 1.0600011E+002, 3.4770363E+001, 2.9603396E+001, 4.1299469E+001, 4.2690031E+001, 2.2082433E+001, 5.4506716E+001, 4.5803520E+001, 2.1773992E+001, 8.5424564E+000, 3.7830881E+001, 2.7831390E+001, 1.5697835E+001, 6.2422523E+000, 1.9758920E+001, 1.5480153E+001, 9.1246294E+000, 3.8038401E+000, 9.9742989E+000, 8.0641224E+000, 5.3587439E+000, 2.8680631E+000, 6.2889605E+000, 5.0614966E+000, 3.7455771E+000, 2.0524923E+000, 4.2595110E+000, 3.6191108E+000, 2.7665586E+000, 1.6875763E+000, 1.6076576E+000, 1.6048645E+000, 1.3342814E+000, 1.0632337E+000, 6.5338390E-001, 4.2035366E-001, 6.0623740E+000, 3.9087929E+000, 2.1535811E+000, 5.9765806E+000, 3.8629603E+000, 2.1136203E+000, 3.9039287E-001,-1.8349890E-001,-3.0379196E-001, 3.2660335E-002, 2.7850633E-001, 4.8884117E-002, 4.4018902E-002, 2.7463851E-002, 4.2858282E-002, 5.9290445E-002, 7.5226135E-002, 1.0017881E-001, 1.5318714E-001, 1.8804272E-001, 1.8463755E-001, 3.0311167E-001, 3.4764019E-001, 7.8652994E-002, 9.2842373E-002, 6.7245341E+208, 6.7245341E+208, 6.7245341E+208, 6.7245341E+208
 1.0800006E+002, 3.2410776E+001, 2.8967246E+001, 4.2548007E+001, 4.2777012E+001, 2.3542412E+001, 5.1401061E+001, 4.2049615E+001, 2.1799305E+001, 8.2343397E+000, 3.8524054E+001, 2.7931931E+001, 1.5507886E+001, 6.4484773E+000, 2.1546653E+001, 1.7036356E+001, 1.0419857E+001, 3.7850218E+000, 1.2885325E+001, 1.0419101E+001, 6.7327381E+000, 3.4719802E+000, 7.3391060E+000, 6.2252498E+000, 5.0231578E+000, 2.6751076E+000, 5.1806933E+000, 4.2334996E+000, 3.2372629E+000, 1.9173756E+000, 1.5975157E+000, 1.5983533E+000, 1.3409335E+000, 1.0897169E+000, 6.9098149E-001, 4.4780314E-001, 6.1666504E+000, 4.0035004E+000, 2.1631500E+000, 5.6945115E+000, 3.7910230E+000, 1.9034886E+000, 4.0814874E-001,-2.4832583E-001,-2.6280764E-001, 6.6327528E-002, 2.6911558E-001, 3.2867103E-002, 4.8008596E-003, 1.4027184E-002, 3.6718830E-002, 6.4678396E-002, 9.5527747E-002, 1.5427564E-001, 2.1752091E-001, 2.9072994E-001, 3.9406633E-001, 4.9211981E-001, 5.1645802E-001, 8.1166009E-002, 7.7503960E-002, 6.5873022E+208, 6.5873022E+208, 6.5873022E+208, 6.5873022E+208
