flow-time,hrr-total,hrr-kW,time-exp,HHR-theoretical-kW
0.6125,268.2508695,0.26825087,,
0.615,284.231227,0.284231227,,
0.6175,301.3717731,0.301371773,,
0.62,319.7845927,0.319784593,,
0.6225,340.0687646,0.340068765,,
0.625,361.5731895,0.36157319,,
0.6275,383.9899765,0.383989976,,
0.63,407.6268293,0.407626829,,
0.6325,433.0640651,0.433064065,,
0.635,460.242855,0.460242855,,
0.6375,488.2238552,0.488223855,,
0.64,518.385028,0.518385028,,
0.6425,550.8505081,0.550850508,,
0.645,585.7672674,0.585767267,,
0.6475,622.3810641,0.622381064,,
0.65,660.3190957,0.660319096,,
0.6525,700.2062573,0.700206257,,
0.655,744.0651134,0.744065113,,
0.6575,791.5543928,0.791554393,,
0.66,841.9384159,0.841938416,,
0.6625,895.0978677,0.895097868,,
0.665,952.5264243,0.952526424,,
0.6675,1014.705442,1.014705442,,
0.67,1077.52208,1.07752208,,
0.6725,1145.768212,1.145768212,,
0.675,1218.40508,1.21840508,,
0.6775,1289.17629,1.28917629,,
0.68,1362.522465,1.362522465,,
0.6825,1440.627914,1.440627914,,
0.685,1521.231665,1.521231665,,
0.6875,1607.273301,1.607273301,,
0.69,1687.2765,1.6872765,,
0.6925,1772.815171,1.772815171,,
0.695,1866.188539,1.866188539,,
0.6975,1964.833716,1.964833716,,
0.7,2055.98992,2.05598992,,
0.7025,2142.066591,2.142066591,,
0.705,2238.651599,2.238651599,,
0.7075,2345.107867,2.345107867,,
0.71,2448.084702,2.448084702,,
0.7125,2555.34854,2.55534854,,
0.715,2655.608176,2.655608176,,
0.7175,2763.626273,2.763626273,,
0.72,2888.480958,2.888480958,,
0.7225,3022.023146,3.022023146,,
0.725,3138.462538,3.138462538,,
0.7275,3227.619233,3.227619233,,
0.73,3332.454836,3.332454836,,
0.7325,3433.812228,3.433812228,,
0.735,3548.554794,3.548554794,,
0.7375,3659.896354,3.659896354,,
0.74,3754.688393,3.754688393,,
0.7425,3859.506345,3.859506345,,
0.745,3979.199084,3.979199084,,
0.7475,4094.414358,4.094414358,,
0.75,4209.974091,4.209974091,,
0.7525,4313.752416,4.313752416,,
0.755,4439.171767,4.439171767,,
0.7575,4563.799185,4.563799185,,
0.76,4678.863532,4.678863532,,
0.7625,4804.337303,4.804337303,,
0.765,4924.47088,4.92447088,,
0.7675,5042.470943,5.042470943,,
0.77,5169.19993,5.16919993,,
0.7725,5282.509175,5.282509175,,
0.775,5390.444277,5.390444277,,
0.7775,5507.348603,5.507348603,,
0.78,5601.266702,5.601266702,,
0.7825,5671.567907,5.671567907,,
0.785,5766.431574,5.766431574,,
0.7875,5861.830343,5.861830343,,
0.79,5957.202376,5.957202376,,
0.7925,6027.568903,6.027568903,,
0.795,6121.727627,6.121727627,,
0.7975,6231.351342,6.231351342,,
0.8,6364.476893,6.364476893,,
0.8025,6479.734234,6.479734234,,
0.805,6576.794185,6.576794185,,
0.8075,6691.346424,6.691346424,,
0.81,6822.811133,6.822811133,,
0.8125,6962.088618,6.962088618,,
0.815,7095.193495,7.095193495,,
0.8175,7222.26611,7.22226611,,
0.82,7378.576933,7.378576933,,
0.8225,7522.472635,7.522472635,,
0.825,7641.877725,7.641877725,,
0.8275,7806.715945,7.806715945,,
0.83,7988.30334,7.98830334,,
0.8325,8186.505376,8.186505376,,
0.835,8371.467122,8.371467122,,
0.8375,8519.233603,8.519233603,,
0.84,8681.58223,8.68158223,,
0.8425,8854.343974,8.854343974,,
0.845,9092.384302,9.092384302,,
0.8475,9288.60315,9.28860315,,
0.85,9460.762776,9.460762776,,
0.8525,9621.185509,9.621185509,,
0.855,9796.034092,9.796034092,,
0.8575,9958.01144,9.95801144,,
0.86,10139.82944,10.13982944,,
0.8625,10317.78078,10.31778078,,
0.865,10474.2468,10.4742468,,
0.8675,10621.22823,10.62122823,,
0.87,10772.6881,10.7726881,,
0.8725,10956.92392,10.95692392,,
0.875,11088.38512,11.08838512,,
0.8775,11235.41903,11.23541903,,
0.88,11381.44909,11.38144909,,
0.8825,11553.18364,11.55318364,,
0.885,11656.91077,11.65691077,,
0.8875,11763.26799,11.76326799,,
0.89,11866.37058,11.86637058,,
0.8925,11988.6927,11.9886927,,
0.895,12142.92095,12.14292095,,
0.8975,12227.51501,12.22751501,,
0.9,12332.04069,12.33204069,,
0.9025,12454.29815,12.45429815,,
0.905,12568.5638,12.5685638,,
0.9075,12709.43504,12.70943504,,
0.91,12809.084,12.809084,,
0.9125,12919.66747,12.91966747,,
0.915,13063.47746,13.06347746,,
0.9175,13207.03609,13.20703609,,
0.92,13342.54205,13.34254205,,
0.9225,13420.68867,13.42068867,,
0.925,13549.04114,13.54904114,,
0.9275,13678.06405,13.67806405,,
0.93,13809.59437,13.80959437,,
0.9325,13969.33353,13.96933353,,
0.935,14061.40222,14.06140222,,
0.9375,14275.66403,14.27566403,,
0.94,14415.8589,14.4158589,,
0.9425,14595.64652,14.59564652,,
0.945,14791.76018,14.79176018,,
0.9475,14961.36271,14.96136271,,
0.95,15162.65895,15.16265895,,
0.9525,15352.22691,15.35222691,,
0.955,15569.91147,15.56991147,,
0.9575,15776.57554,15.77657554,,
0.96,15996.43688,15.99643688,,
0.9625,16230.58073,16.23058073,,
