s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,HFG_x5_y10,HFG_x10_y10,HFG_x15_y10,HFG_x22_y10,HFG_x5_y30,HFG_x10_y30,HFG_x15_y30,HFG_x22_y30,HFG_x5_y50,HFG_x10_y50,HFG_x15_y50,HFG_x22_y50,HFG_x5_y70,HFG_x10_y70,HFG_x15_y70,HFG_x22_y70,HFG_x5_y90,HFG_x10_y90,HFG_x15_y90,HFG_x22_y90,HFG_x5_y110,HFG_x10_y110,HFG_x15_y110,HFG_x22_y110,HFG_x5_y130,HFG_x10_y130,HFG_x15_y130,HFG_x22_y130
6.6,20.82,44.22,13.62,3.59,32.95,21.76,16.32,5.27,9.52,7.66,4.87,1.21,3.01,1.73,1.22,0.34,2.63,1.93,1.01,0.23,2.81,1.53,0.82,0.29,2.11,0.94,0.48,0.28
6.8,26.19,41.12,22.33,3.53,13.13,9.27,4.78,1.85,13.28,13.03,11.3,3.16,8.62,11.52,11.99,6.41,5.13,4.05,2.62,0.79,2.01,0.91,0.79,0.34,1.41,1.02,0.66,0.4
7,26.95,46.17,13.52,4.32,31.92,23.13,13.07,8.85,11.57,5.42,3.52,2.03,2.46,1.69,1.34,0.82,1.9,1.79,2.02,2.22,2.63,2.65,2,0.68,2.01,1.72,1.39,0.58
7.2,34.72,45.08,13.25,3.5,30.63,12.15,4.45,1.92,16.02,6.29,2.76,1.12,10.15,4.37,1.82,1.08,4.29,2.3,1.37,0.68,2.97,1.95,1.34,0.85,2.09,1.55,1.22,0.81
7.4,25.54,34.7,16.48,3.7,38.3,24.05,10.65,2.67,14.26,8.93,3.51,1.25,6.47,3.13,1.59,0.66,4.28,2.4,1.81,0.74,2.84,2.14,1.52,0.88,1.97,1.18,0.85,0.72
7.6,28.55,33.43,13.6,4.6,30,11.61,4.58,2.09,26.51,18.58,13.99,3.88,12.89,12.98,8.79,2.27,3.56,3.2,1.53,0.83,1.91,1.56,0.77,0.44,1.91,1.71,0.98,0.71
7.8,27.2,44.97,12.67,4.39,32.94,23.37,12.47,3.22,18.05,9.66,4.21,1.49,5.67,2.64,1.93,0.97,3.73,3.36,2.92,2.33,2.86,2.2,1.85,1.66,1.73,1.23,0.79,0.49
8,35.73,43.62,15.63,3.85,17.44,16.56,11.48,2.54,14.09,13.1,9.29,1.75,16.45,11.23,4.11,1.33,7.37,5.11,2.17,0.94,3.36,2,1.41,1.07,2.62,1.54,1.33,1.06
8.2,24.76,37.31,13.24,3.86,46.55,26.22,17.61,3.79,24.07,18.46,8.14,3.27,4.63,3.66,1.78,0.94,2.42,1.5,1.12,0.83,2.61,1.34,0.88,0.55,1.47,1.17,0.98,0.67
8.4,22.96,37.26,23.41,4.08,28.68,12.93,4.73,1.94,15.71,6.29,3.38,1.46,16.44,15.37,14.55,5.32,11.75,10.54,5.98,1.54,4.67,2.72,1.33,0.45,1.54,1.05,0.78,0.38
8.6,18.51,33.36,11.08,3.34,36.26,23.38,9.75,4.45,21.32,17.37,13.28,4.14,9.39,8.01,3.6,1.66,3.15,1.91,1.41,0.64,3.13,2.47,2.6,0.49,2.3,1.68,1.23,0.61
8.8,25.32,40.66,16.86,4.67,38.52,23.11,8.18,2.93,10.22,10.67,4.98,1.62,9.18,10.66,5.67,2.29,6.54,5.81,3.11,1.33,3.69,1.75,1.11,0.5,2.8,1.99,1.09,0.32
9,22.26,36.27,12.49,3.59,30.98,21.02,7.8,3.02,30.48,21.04,7.32,3.71,13.31,7.45,4.85,2.41,4.06,2.66,2.3,1.38,1.95,2.02,1.4,0.97,1.77,1.59,1.4,0.74
9.2,25.88,41.04,17.71,4.78,34.85,24.32,10.36,2.78,12.81,7.08,4.35,1.73,3.92,3.06,2.12,1.03,3.73,2.25,1.73,1.67,2.59,1.68,1.4,0.48,1.76,1.34,1,0.56
9.4,38.64,33.53,29.37,3.71,24.17,9.58,7.58,2.19,22.94,16.03,8.57,3.02,18.42,14.96,9.84,3.71,10.15,5.77,4.85,1.91,3.24,2.14,1.3,1.26,1.62,0.96,0.77,0.44
9.6,26.34,35.63,15.82,4.31,43.15,30.64,20.87,6.16,16.7,12.82,10.83,4.97,2.78,1.75,1.41,0.81,1.99,1.87,2.28,1.43,3.12,2.66,1.8,0.88,3.04,2.74,1.67,0.63
9.8,24.88,38.49,26.14,4.01,31.61,10.23,5.03,3.04,24.03,17.7,19.4,16.09,19.78,14.99,11.4,6.97,6.88,6.05,3.85,2.08,1.15,1.36,1.01,0.67,0.9,0.78,0.62,0.58
10,21.67,41.8,18.81,5.44,43.15,31.79,9.69,3.35,25.34,19.26,7.66,2.69,9.18,5.02,2.2,2.77,2.75,2.89,3.75,1.55,3.01,3.34,3.42,1.13,2.39,2.88,2.3,0.53
10.2,24.21,46.49,24.21,4.68,32.33,14.04,7.19,2.54,15.48,10.94,6.18,2.82,18.22,17.39,11.65,2.61,15.48,13.52,7.32,2.73,12.76,9.97,4.34,1.63,3.89,3.03,1.83,1.37
10.4,21.01,41.54,13.34,4.13,47.72,32.05,16.73,6.48,30.22,22.61,17.3,11.31,7.74,3.63,2.28,1.61,2.42,1.61,1.49,0.79,2.35,1.8,1.46,1.15,3.17,2.1,1.82,1.22
10.6,30.77,39.31,22.44,4.47,40.2,16.11,6.21,2.45,27.44,16.49,11.01,11.81,23.03,20.57,13.3,7.24,12,8.43,4.57,1.55,5.14,3.32,2.03,0.79,1.13,0.73,0.62,0.37
10.8,28.64,34.64,12.69,5.08,42.91,27.9,26.66,12.98,13.73,9.71,6.32,2.49,6.71,3.05,1.91,1.38,5.47,2.74,2.73,1.15,4.85,3.63,2.87,1.13,4.21,3.36,1.89,1.07
11,25.93,32.77,14.75,4.04,36.51,25.56,11.47,5.07,28.89,19.87,19.75,9.77,13.93,12.86,10.03,6.35,2.58,2.33,1.76,1.45,1.31,1.08,0.88,0.6,1.3,1.11,1.11,0.43
11.2,20.91,38.91,16.59,3.65,31.64,12.2,4.9,2.05,25.65,14.27,5.5,1.89,25.5,15.74,5.39,4.52,20.38,17.06,12.34,6.77,10.21,11.5,12.16,6.79,2.79,4.49,5.57,3.79
11.4,22.12,42.44,24.7,4.43,45.56,37.17,16.02,4.75,19.29,15.16,11.84,2.98,3.45,2.3,1.2,0.65,2.09,1.62,1.02,0.46,3.66,3.01,2.41,2.07,3.35,5.58,4.62,4.43
11.6,37.07,35.1,24.85,3.67,28.63,10.83,4.74,2.56,30.8,16.79,18.17,9.35,20.2,21.12,22.44,22.65,6.65,9.76,8.14,6.39,1.96,2.51,1.86,1.14,1.15,0.98,0.84,0.69
11.8,27.53,36.17,20.35,4.77,35.93,27.34,17.88,5.31,11.71,9.72,5.17,2.8,3.2,3.3,2.63,3.17,2.82,4.26,5.8,11.65,3.17,3.98,8.76,7.6,1.71,2.05,1.45,1.7
12,32.57,41.81,22.28,3.97,25.28,17.9,14.94,3.72,19.4,16.4,10.23,4.44,13.82,14.41,15.57,5.89,3.65,3.68,3.1,2.26,1.1,1.05,1.03,1.31,0.72,0.95,1.4,1.45
12.2,29.04,32.69,16.81,4.52,42.11,25.8,11.07,5.75,28.59,27.2,25.9,8.27,15.18,17.33,14.89,5.66,7,8.95,6.58,4.54,2.06,1.62,1.3,1.18,0.99,0.38,0.34,0.37
12.4,35.13,40.35,26,4.77,35.53,25.96,14.49,3.15,15.91,7.05,5.15,2.03,4.84,3.18,3.61,3.69,5.05,6.23,4.42,1.72,4.94,7.55,5.84,2.49,3.9,3.37,2.57,1.89
12.6,37.96,40.36,24.1,5.05,40.95,22.23,8.55,3.93,29.09,30.63,29.77,13.65,9.17,11.57,14.16,6.83,3.9,3.19,2.29,1.59,1.92,1.28,1.29,1.33,1.39,1.13,1.19,1.17
12.8,27.88,42.2,22.84,5.65,42.42,32.43,17.75,5.89,16.34,10.08,5.79,2.41,5.19,3.8,3.5,2.12,4.39,3.38,3.22,2.75,1.85,1.7,1.98,1.63,0.9,0.79,0.55,0.32
13,37.58,35.88,25.69,3.77,34.64,14.11,5.54,2.63,28.51,19.7,15.59,7.73,24.31,20.34,16.74,5.44,17.12,8.96,3.82,1.84,6.29,3.95,2.52,1.79,3.01,2.42,2.02,1.38
13.2,39.89,43.16,22.4,5.01,38.03,29.42,23.5,8.71,18.46,10.35,6.18,2.53,3.84,1.86,1.68,1.13,4.15,3.17,1.96,0.92,7.75,4.97,2.69,0.61,7.68,4.94,3.23,1.62
13.4,37,35.61,31.41,4.35,35.34,17.97,6.03,3.61,30.03,19.06,16.41,15.08,29.57,20.16,19.93,15.5,9.45,5.8,3.94,1.77,2.4,1.48,1.28,1.08,1.82,1.24,0.82,0.43
13.6,26.33,38.91,16.39,4.2,42.56,22.74,16.31,4.24,20.14,12.65,7.31,3.1,5.75,3.95,4.15,5.07,7.84,8.51,6.45,3.44,5.25,3.5,2.85,1.29,2.96,1.73,1.48,1.25
13.8,37.81,37.89,35.56,4.87,29.04,17.11,10.47,2.78,24.77,10.98,11.82,4.05,21.7,11.59,6.57,3.12,9.28,4.98,2.86,1.74,4.22,3.4,2.38,1.37,2.27,2.08,1.71,0.8
14,24.86,44,19.58,4.59,43.76,34,21.23,7.93,21.23,15.42,10.37,6.46,4.44,2.98,2.16,1.23,2.12,1.26,0.96,0.56,2.75,1.71,1.22,0.68,2.94,2.66,2.22,1.12
14.2,22.9,42.95,23.24,4.31,35.06,20.58,11.41,3.13,16.72,10.15,8.44,3.92,17.1,13.43,11.56,5.01,7.46,7.61,7.74,3.38,2.39,2.16,1.97,1.22,1.34,1.02,0.52,0.28
14.4,26.05,32.18,9.02,3.85,40.46,19.63,9.75,3.57,36.61,27.37,22.18,6.58,19.74,15.94,10.17,4.31,9.51,5.48,3.89,3.32,3.82,2.74,3.49,3.14,2.72,2.54,2.54,0.96
14.6,42.48,36.24,20.32,10.93,35.06,17.37,9.1,2.75,12.18,7.52,3.45,1.54,8.55,5.59,7.33,2.53,10.21,7.54,4.72,1.98,11.88,9.32,5.02,1.6,10.22,5.86,3.27,1.84
14.8,32.89,34.15,21.25,3.69,40.75,24.78,16.34,4.25,35.43,19.51,10.79,4.62,16.38,12.66,8.85,4.68,3.29,2.76,2.48,1.7,1.5,1.37,1.13,1.01,1.51,1.51,1.31,1.13
15,34.92,42.62,16.7,4.49,38.7,18,6.96,3.08,12.78,6.96,4.3,2.19,6.38,5.79,5.62,4.87,5.32,5.06,4.7,3.07,1.85,1.61,1.73,1.45,0.7,0.68,0.64,0.56
15.2,40.47,39.16,20.69,4.36,36.55,13.3,5.32,2.45,30.96,17.8,6.48,2.78,21.14,13.42,7.87,3,10.4,8.16,5.7,2.73,3.08,2.59,2.07,1.63,1.33,1.25,1.05,1.22
15.4,31.38,38.55,22.53,6.45,32.85,28.69,26.58,11.29,9.47,4.84,3.31,1.59,4.85,3.47,1.39,0.73,3.61,3.43,2.31,1.15,5.88,4.96,2.77,1.26,3.94,3.06,2.12,1.34
15.6,33.67,39.03,19.77,4.45,40.73,28.93,19.42,20.49,27.05,25.95,16.19,12.29,7.76,15.24,8.78,5.17,2.46,2.43,1.82,1.12,1.39,1.78,1.25,0.65,1.18,1.49,1.34,0.47
15.8,27.2,40.75,20.77,5.01,44.79,28.79,13.74,4.35,25.11,8.58,4.61,3.25,13.56,5.99,5.93,4.61,5.74,5.15,3.12,2.74,2.39,1.81,2.08,1.84,1.22,1.02,0.85,0.72
16,36.1,39.2,29.61,4.33,37.81,19.63,7.76,3.29,31.91,17.74,9.09,3.65,17.76,6.82,3.51,1.96,8.49,3.59,2.38,1.96,5.1,2.57,1.87,1.93,3.08,2.17,1.76,2.04
16.2,39.14,39.83,15.42,4.34,40.35,27.07,18.65,5.83,21.38,16.11,10.33,8.15,6.97,5.61,2.82,1.93,2.4,1.55,0.75,0.52,1.03,0.87,0.5,0.39,1.13,0.73,0.43,0.54
16.4,40.83,40.25,25.09,5.04,38.27,30.91,10.3,3.55,26.31,27.46,15.9,10.51,15.4,18.33,13.12,5.53,5.56,4.84,3.28,1.63,2.44,2.09,1.3,0.52,1.5,1.08,0.68,0.26
16.6,29.79,37.23,12.5,4.66,38.6,21.61,8.85,3.24,36.84,27.74,11.69,4.14,25.79,18.05,6.45,2.82,13.21,10,5.62,2.36,5.04,5.64,5.59,2.28,2.76,3.18,3.41,1.57
16.8,28.52,43.56,32.31,5.2,41.83,20.57,12.94,4.27,16.72,6.21,3.43,1.73,10.54,5.77,3.7,1.39,10.33,6.17,2.23,1.07,11.1,6.28,2.11,0.96,7.81,4.29,1.95,1.34
17,31.78,31.83,11.8,3.95,28.86,22.58,8.51,4.33,32.51,24.11,10.21,4.76,27.96,15.68,7.27,2.5,15.07,8.96,4.45,1.62,8.5,5.17,1.83,0.7,2.71,1.54,0.83,0.51
17.2,28.26,40.41,18.64,4.6,39.52,25.91,14.14,3.69,10.56,6.15,3.98,2.08,5.73,3.95,2.64,1.67,9.67,6.54,3.97,1.04,8.39,5.6,3.63,1.71,10.26,5.75,2.88,1.19
17.4,36,34.13,20.18,4.37,36.33,10.58,6.5,2.88,29.76,21.94,14.77,5.96,21.27,17.72,13.13,6.44,8.59,5.96,3.92,2.14,3.81,2.46,1.95,1.19,1.99,1.98,1.7,1.04
17.6,31.06,45.68,25.9,6.84,25.41,33.06,27.11,8.59,6.93,4.36,3.01,2.3,2.17,1.76,2.82,1.74,3.84,2.84,2.32,1.51,4.63,2.78,1.59,1.11,2,1.33,1.1,0.77
17.8,39.02,29.87,13.03,4.54,42.69,18.48,17.43,9.61,26.85,17.9,21.84,16.85,5.13,5.07,4.11,3.01,1.13,0.93,0.87,0.88,0.93,0.87,0.76,0.55,1.15,0.68,0.56,0.31
18,31.47,40.8,16.76,4.27,45.18,22.44,7.29,3,28.57,10.83,4.87,2.57,16.66,8.13,6.41,4.33,5.78,5.22,4.62,2.9,1.72,1.54,1.63,1.08,0.53,0.45,0.49,0.57
18.2,43.87,39.68,18.94,4.56,29.8,18.28,5.54,2.07,26.51,11.76,4.49,1.54,28.04,10.2,3.47,1.57,16.87,7.41,3.09,1.93,5.68,4.2,3.06,2.53,3.88,3.09,3.02,2.45
18.4,27.94,43.83,19.54,5.27,34.67,24.77,21.15,9.09,12.74,6.23,3.92,2.09,5.25,2.91,1.92,0.91,4.57,2.34,0.99,0.5,8.48,3.07,1.21,0.57,6.81,4.82,1.35,0.71
18.6,31.33,32.93,14.98,5.15,36.43,18.35,10.85,7.04,26.63,19.65,15.45,7.2,18.53,14.29,11.62,3.32,9.14,5.39,3.6,2.09,4.58,2.47,1.86,1.03,2.66,1.16,0.87,0.48
