m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,kg/m2/s,kg/m2/s,kg/m2/s
0.19,33.54,36.4,25.81,5.75,12.36,10.75,39.29,48.76,36.56,436.46,443.42,445.55,0.021981917,0.020283945,0.023448126
0.2,33.53,36.59,25.38,4.6,12.02,9.92,38.13,48.61,35.3,434.09,442.89,444.07,0.021791315,0.020273058,0.023219269
0.21,33.89,36.79,24.61,3.88,11.98,8.41,37.77,48.77,33.02,432.49,442.84,441.69,0.021629425,0.020266024,0.023038782
0.22,34.58,36.47,23.74,3.94,12.04,6.4,38.51,48.51,30.14,432.32,442.74,438.87,0.021453775,0.020223122,0.022912728
0.23,35.47,35.42,22.89,4.49,12.48,5.23,39.96,47.9,28.12,433,443.31,437.18,0.021262905,0.020133777,0.022817805
0.24,36.18,33.69,22.27,5.59,12.45,4.66,41.77,46.14,26.93,434.54,443.14,436.3,0.02105147,0.020021388,0.022732545
0.25,36.29,31.66,21.88,6.12,11.97,5.13,42.41,43.63,27.01,435.17,442.3,436.77,0.020845423,0.01991204,0.022623518
0.26,35.7,29.69,21.56,5.49,10.86,6.28,41.19,40.55,27.84,433.81,440.48,438.04,0.020666743,0.019788694,0.022477558
0.27,34.66,27.94,21.02,4.77,9.95,7.58,39.42,37.89,28.6,432.3,438.83,439.55,0.020508751,0.019668793,0.022310117
0.28,33.39,26.18,19.96,4.42,9.31,8.92,37.81,35.49,28.88,431.38,437.7,441.14,0.020338889,0.019533217,0.022140641
0.29,31.92,24.44,18.49,4.34,8.61,9.44,36.26,33.05,27.93,430.99,436.48,441.51,0.020161219,0.019410148,0.021967132
0.3,30.21,22.9,17.45,4.18,7.24,8.79,34.39,30.14,26.25,430.42,434.24,440.43,0.019962439,0.019304607,0.02181354
0.31,28.29,21.99,17.1,4.07,6.04,9.32,32.36,28.02,26.42,429.86,432.27,441.04,0.019755054,0.019204246,0.021686474
0.32,27.37,19.76,15.15,3.98,5.26,11.07,31.35,25.02,26.22,429.35,430.87,443.28,0.019512242,0.01910683,0.021537945
0.33,26.51,19.99,15.13,4.02,4.82,10.96,30.53,24.82,26.09,429.2,430.07,442.84,0.01933511,0.019022273,0.021392234
0.34,25.92,20.52,15.5,4.28,5.14,11.05,30.21,25.66,26.56,429.36,430.51,442.85,0.019162007,0.018966569,0.021267811
0.35,25.17,21.15,16.18,4.59,5.62,11.48,29.76,26.77,27.66,429.61,431.2,443.35,0.018957047,0.018911123,0.0211547
0.36,24.29,21.77,17.05,4.82,6.13,11.99,29.1,27.91,29.04,429.71,432,443.98,0.018739505,0.018896792,0.021047598
0.37,23.31,22.38,18.01,5.01,6.54,12.47,28.32,28.92,30.48,429.66,432.68,444.41,0.01851514,0.018897343,0.020943068
0.38,22.46,23.02,18.94,5.15,6.77,12.65,27.61,29.79,31.59,429.59,433.08,444.58,0.018293135,0.018898448,0.020838577
0.39,21.79,23.66,19.68,5.29,6.9,12.3,27.08,30.55,31.98,429.58,433.28,444,0.018102752,0.018891618,0.020739431
0.4,21.21,24.33,20.23,5.55,7,11.98,26.76,31.32,32.21,429.83,433.45,443.47,0.017938323,0.018887086,0.020652145
0.41,20.62,25.03,20.55,6,7.22,11.48,26.62,32.25,32.03,430.35,433.81,442.67,0.01779405,0.018869162,0.020557638
0.42,20.15,25.75,20.63,6.79,7.37,11.04,26.94,33.12,31.66,431.64,434.01,441.94,0.017671287,0.01883526,0.020468341
0.43,19.84,26.5,20.62,8.21,7.52,10.84,28.05,34.02,31.46,434.02,434.2,441.42,0.017538635,0.018797837,0.020378353
0.44,19.36,27.21,20.58,9.39,7.62,10.57,28.75,34.83,31.16,436.01,434.19,440.93,0.017423591,0.018754421,0.020289898
0.45,19.08,27.84,20.49,9.96,7.83,9.62,29.05,35.67,30.11,436.75,434.47,439.43,0.017294817,0.018708881,0.020208839
0.46,19.11,28.34,20.3,11.16,8.06,8.55,30.27,36.4,28.85,438.81,434.83,437.78,0.017183589,0.018693371,0.020134127
0.48,19.67,28.72,20.02,12.78,8.08,8.18,32.45,36.8,28.2,441.62,434.83,437.17,0.017083161,0.018662825,0.020079961
0.49,20.39,28.96,19.73,14.2,8.16,7.93,34.58,37.12,27.66,444.1,434.92,436.77,0.016979571,0.018628197,0.020045292
0.5,20.73,29.14,19.44,15.57,8.22,8.01,36.31,37.37,27.44,446.44,434.98,436.82,0.016861996,0.018598028,0.019993536
0.51,20.13,29.23,19.2,14.16,8.27,8.27,34.29,37.51,27.48,443.76,434.99,437.04,0.016739003,0.018551474,0.019946847
0.52,19.05,29.22,19.08,14,8.41,8.41,33.05,37.64,27.49,443.12,435.21,437.24,0.016624151,0.01853694,0.019935079
0.53,17.87,29.1,19.05,13.68,8.55,8.69,31.56,37.65,27.73,442.49,435.45,437.64,0.016534897,0.018541953,0.019915119
0.54,16.99,28.96,19.16,14.26,8.75,8.55,31.25,37.71,27.71,443.46,435.81,437.39,0.016448544,0.018548306,0.019878127
0.55,16.63,28.86,19.47,13.92,8.86,7.91,30.55,37.72,27.38,442.71,436.05,436.4,0.016371248,0.018583596,0.019853503
0.56,17.21,28.95,20.02,11.76,8.61,7.45,28.97,37.56,27.47,438.74,435.72,435.71,0.01628465,0.018631814,0.019841814
0.57,18.52,29.23,20.77,11.46,8.37,7.4,29.98,37.6,28.17,438.12,435.41,435.64,0.016196229,0.018688224,0.019840186
0.58,19.81,29.61,21.75,11.85,7.89,7.28,31.66,37.5,29.03,438.74,434.67,435.47,0.016095575,0.018729402,0.019834967
0.59,20.95,29.93,22.91,12.36,7.72,6.97,33.31,37.65,29.88,439.38,434.53,435.01,0.015992979,0.018811285,0.019831434
0.6,21.77,30.02,24.24,13.22,8.81,7.37,34.99,38.83,31.62,440.85,436.49,435.65,0.015903898,0.018861981,0.019834196
0.61,22.21,29.86,25.59,12.84,10.61,7.8,35.05,40.47,33.39,440.06,439.68,436.31,0.015820559,0.018941609,0.019836579
0.62,22.41,29.65,26.79,12.01,10.71,8.14,34.43,40.35,34.93,438.44,440.03,436.88,0.015734952,0.01904224,0.019857869
0.63,22.43,29.42,27.78,10.54,10.65,8.45,32.97,40.07,36.23,435.65,440.31,437.39,0.015658205,0.019170817,0.019873478
0.64,22.34,29.05,28.65,8.5,10.78,8.87,30.85,39.83,37.52,431.88,440.73,438.03,0.015583873,0.019278964,0.019871078
0.65,22.42,28.6,29.44,7.81,11.3,8.76,30.23,39.9,38.2,430.58,441.86,437.91,0.015516055,0.019399984,0.019897658
0.66,22.8,28.22,30.15,7.89,12.19,8.51,30.69,40.41,38.66,430.67,443.59,437.58,0.015450393,0.019507481,0.019931924
0.67,23.4,27.88,30.82,8.29,12.89,8.13,31.69,40.78,38.95,431.38,445.03,437.06,0.015386495,0.01966287,0.019967232
0.68,24.29,28.01,31.45,9.42,12.4,7.89,33.71,40.41,39.34,433.4,444.39,436.79,0.015312247,0.019793134,0.020022389
0.69,25.29,28.52,32,10.96,12.51,7.83,36.25,41.03,39.84,435.94,445.06,436.84,0.015202943,0.019964879,0.020098755
0.7,26.24,29.01,32.41,10.95,12.75,8.09,37.19,41.76,40.5,435.74,445.74,437.48,0.01507788,0.020124694,0.020179575
0.71,27.35,28.88,32.59,10.26,13.47,8.76,37.6,42.35,41.35,434.24,447.27,438.65,0.014906783,0.020277468,0.020262171
0.72,28.35,28.21,32.5,9.96,15.13,9.06,38.31,43.34,41.56,433.44,450.38,439.24,0.014734002,0.02040853,0.020345517
0.73,29.54,25.72,33.4,9.82,15.59,8.87,39.36,41.31,42.27,433,451.61,439.1,0.014591917,0.020535031,0.020437533
0.74,30.8,25.39,33.6,9.94,15.07,9.05,40.73,40.46,42.65,432.81,450.86,439.47,0.014406963,0.020672755,0.020500464
0.75,31.71,25.55,33.59,10.73,12.3,9.51,42.44,37.85,43.1,433.97,446.1,440.35,0.014203447,0.020810658,0.020602837
0.76,32.39,26.2,33.44,12.31,9.12,9.7,44.71,35.32,43.14,436.58,440.73,440.81,0.01400881,0.020969888,0.020711297
0.77,32.86,26.89,33.05,14.34,8.44,9.67,47.19,35.33,42.73,439.73,439.74,441.13,0.013801639,0.021098122,0.020856442
0.78,32.92,27.44,32.65,14.92,9.02,9.42,47.85,36.46,42.06,440.51,440.99,440.93,0.013617018,0.021232614,0.021000378
0.79,32.84,27.95,32.12,15.44,10.34,8.19,48.29,38.29,40.31,441.1,443.74,439.25,0.01339674,0.021349076,0.021171572
0.8,33.51,28.46,31.61,16.45,14.24,6.1,49.95,42.71,37.71,442.37,450.96,436.2,0.013192083,0.021462422,0.021331275
0.81,34.53,28.84,31.14,16.27,17.1,4.9,50.8,45.94,36.04,441.55,456.21,434.68,0.012946725,0.021567836,0.021505689
0.82,36.04,29.49,30.79,12.62,17.1,4.85,48.66,46.59,35.65,434.34,456.22,434.88,0.012729172,0.021658868,0.021689219
0.83,37.76,30.81,30.47,8.76,11.51,4.94,46.52,42.33,35.41,427.01,446.23,435.28,0.012479585,0.021749312,0.021865198
0.84,39.48,33.01,30.12,9.76,7.34,5.22,49.24,40.35,35.34,428.22,438.91,435.98,0.012229269,0.021841934,0.022037115
0.85,40.39,35.2,29.79,12.35,7.45,5.64,52.74,42.66,35.43,432.34,439.3,436.9,0.011955547,0.021950072,0.022168906
0.86,40.73,37.42,29.5,14.92,8.85,6,55.64,46.27,35.5,436.16,442.17,437.65,0.01169548,0.022058072,0.022296451
0.87,40.42,39.6,29.13,15,11.95,6.27,55.43,51.55,35.4,435.67,448.01,438.27,0.011403188,0.022169175,0.022432134
0.88,40.06,41.62,28.54,12.87,14.61,6.31,52.93,56.23,34.85,431.1,452.98,438.5,0.01114255,0.022262828,0.022553017
0.89,39.76,43.42,28.03,9.23,16.29,6.25,48.99,59.72,34.28,423.97,456.13,438.58,0.01087491,0.022357585,0.022686135
0.9,39.67,44.99,27.66,6.81,14.89,6.06,46.48,59.88,33.72,419.15,453.66,438.45,0.010616739,0.022440583,0.022813588
0.91,39.39,46.33,27.32,5.68,13.35,6.02,45.07,59.68,33.34,416.46,450.96,438.66,0.010342035,0.022520738,0.02294551
0.92,39.01,47.49,27.15,5.66,12.35,6.25,44.68,59.85,33.41,415.76,449.23,439.19,0.010061742,0.022585295,0.023058489
0.93,38.68,48.42,26.92,5.98,11.58,6.53,44.66,59.99,33.45,415.45,447.9,439.79,0.009755225,0.022642391,0.023181723
0.94,38.9,48.98,26.83,6.65,11.55,6.64,45.55,60.53,33.47,415.7,447.93,440.09,0.009442163,0.022691688,0.023275919
0.95,39.69,49.07,26.63,6.52,11.79,6.71,46.21,60.87,33.34,414.46,448.44,440.38,0.009086956,0.022736192,0.023412354
0.96,40.75,48.41,26.57,10.22,11.57,6.76,50.97,59.98,33.33,418.45,448.11,440.92,0.008353144,0.02282129,0.023677563
0.97,40.78,47.75,26.58,12.85,9.68,6.47,53.63,57.43,33.05,421.66,444.83,440.61,0.008002937,0.02286149,0.023799997
0.98,39.94,46.92,26.75,15.03,7.13,6.18,54.97,54.05,32.93,423.91,440.24,440.41,0.007632473,0.022921255,0.023998449
0.99,38.77,45.89,27.12,15.13,7.35,6.23,53.9,53.24,33.35,422.77,440.72,440.67,0.007323305,0.022960104,0.024139974
1,37.46,44.48,27.77,9.33,8.01,6.54,46.79,52.49,34.31,412.09,442.03,441.44,0.007014807,0.023016527,0.02434309
1.01,37.29,42.92,28.67,5.75,8.16,7.03,43.05,51.08,35.7,405.25,442.36,442.54,0.006740248,0.023067281,0.024503613
1.02,37.52,41.05,29.88,5.02,8.03,7.55,42.54,49.07,37.43,402.87,442.19,443.62,0.006456289,0.02311426,0.024690503
1.03,38.16,39.08,30.97,5.43,8.03,8.13,43.59,47.11,39.1,402.45,442.29,444.78,0.006203907,0.023170054,0.024854396
1.04,38.82,37.33,31.87,5.5,8.39,8.66,44.32,45.72,40.52,401.33,443.03,445.87,0.005931413,0.023227125,0.025043378
1.05,39.67,36.01,32.32,5.27,8.59,9.23,44.94,44.6,41.55,399.8,443.48,447.15,0.005683455,0.023291148,0.025204875
1.06,40.26,34.77,32.41,5.32,7.97,9.28,45.58,42.74,41.7,398.38,442.35,447.43,0.005385454,0.023356803,0.025367055
1.07,40.5,34.26,32.18,5.56,5.82,9.34,46.07,40.07,41.52,397.15,438.44,447.68,0.005093008,0.023433063,0.025498366
1.08,40.43,33.84,31.68,6.01,4.19,9.25,46.45,38.03,40.94,395.94,435.55,447.73,0.004767944,0.023518374,0.025669241
1.09,40.03,33.24,31.33,6.18,4.23,9.38,46.21,37.47,40.72,394.45,435.82,448.11,0.004478646,0.023615863,0.025812957
1.1,39.27,32.46,31.03,6.25,4.24,9.77,45.52,36.7,40.8,392.45,435.97,448.97,0.004158215,0.023699353,0.026002456
1.11,38.28,31.17,30.64,6.33,4.19,10.29,44.61,35.36,40.93,390.52,436,450.19,0.003868057,0.023805892,0.026154049
1.12,32.12,30.3,29.48,6.23,4.19,10.99,38.36,34.49,40.47,388.14,436.05,451.51,0.00363603,0.024242627,0.026732564
1.13,31.74,29.55,29.56,6.18,4.25,11.24,37.92,33.8,40.8,386.24,436.3,452.08,0.00341193,0.0243407,0.026867906
1.14,31.37,28.76,29.39,5.85,4.31,11.87,37.21,33.07,41.26,383.54,436.51,453.34,0.003163504,0.02442784,0.027033642
1.15,30.97,28.19,29.02,5.75,4.26,12.8,36.73,32.45,41.81,381.48,436.55,455.05,0.002971884,0.024523364,0.027175253
1.16,30.83,27.69,28.62,5.82,4.3,13.4,36.65,31.99,42.02,379.33,436.72,456.21,0.002774016,0.024600437,0.027316829
1.17,31.03,27.53,28.21,6.04,4.4,13.31,37.07,31.93,41.52,377.66,437.04,456.41,0.00262276,0.024693364,0.027446996
1.18,31.36,27.41,28.16,6.38,4.79,12.7,37.73,32.2,40.86,375.82,437.87,455.5,0.002466,0.024763783,0.027577816
1.19,31.84,27.46,28.44,6.74,5.32,10.49,38.58,32.78,38.93,374.29,439.1,451.89,0.002346549,0.024867548,0.027705656
1.2,32.42,27.54,29.38,7.34,5.72,9.41,39.77,33.26,38.79,372.62,439.98,450.24,0.002212218,0.024952369,0.027846301
1.21,32.96,28.05,30.2,7.64,6.22,9.95,40.6,34.27,40.16,370.72,441.1,451.27,0.002102669,0.025069494,0.027926389
1.22,33.54,28.5,30.38,7.4,6.54,11.82,40.93,35.04,42.2,367.82,441.82,454.63,0.001981087,0.025151439,0.028069781
1.23,33.94,29.25,29.99,6.97,6.85,14.07,40.91,36.1,44.06,365.11,442.57,458.49,0.001884796,0.025289519,0.028139897
1.24,34.3,30,28.98,6.52,6.41,14.8,40.82,36.4,43.78,361.96,441.8,459.83,0.001772741,0.025363492,0.028254908
1.25,34.5,30.99,27.6,6.35,5.62,15.02,40.85,36.61,42.62,359.79,440.45,460.17,0.001687556,0.025479982,0.028264144
1.26,34.75,31.43,26.43,6.34,5.49,14.19,41.09,36.91,40.62,357.13,440.27,458.89,0.001581221,0.02553278,0.028370943
1.27,35.17,31.94,25.4,6.34,5.54,13.19,41.51,37.48,38.6,355.14,440.48,457.46,0.001507205,0.025607705,0.028445341
1.28,35.57,32.19,24.91,6.46,5.74,13.14,42.03,37.93,38.05,352.68,440.94,457.55,0.001425025,0.025650254,0.028596746
1.29,36.47,32.27,24.62,6.44,6.38,12.42,42.91,38.65,37.05,350.33,442.37,456.37,0.001370171,0.025707405,0.028634446
1.3,37.49,32.2,24.34,6.53,7.32,12.44,44.03,39.52,36.78,347.77,444.22,456.58,0.001327161,0.025699217,0.028787982
1.31,38.99,32.57,24.13,6.63,8.54,12.45,45.62,41.11,36.58,345.57,446.66,456.53,0.001308255,0.025758402,0.028743455
1.32,40.49,32.88,23.8,6.83,8.33,12.57,47.33,41.22,36.37,342.97,446.24,456.89,0.001298068,0.025762094,0.028900405
1.33,41.74,33.58,23.76,7.3,7.41,10.48,49.03,40.99,34.24,341.15,444.5,453.27,0.001300024,0.025834223,0.028929425
1.34,42.94,34.26,23.61,8.09,5.58,7.44,51.03,39.84,31.05,339.08,440.94,448.26,0.001300176,0.025838686,0.029083107
1.35,43.9,35.29,23.85,10.42,4.49,6.46,54.31,39.78,30.32,339.03,438.95,446.69,0.001296615,0.025928132,0.029160133
1.36,44.61,36.34,24.1,13.47,4.11,6.51,58.08,40.46,30.61,339.12,438.27,446.98,0.001278506,0.025962243,0.029332338
1.37,45.03,37.63,24.41,13.81,4.19,6.71,58.84,41.83,31.13,336.77,438.56,447.52,0.001251877,0.026069665,0.029397603
1.38,45.29,38.76,24.77,12.48,4.22,7.44,57.76,42.98,32.21,331.93,438.67,448.97,0.001207332,0.026113674,0.029551564
1.39,45.72,40.03,25.22,10.57,4.37,8.02,56.29,44.39,33.25,327.25,439.07,450.03,0.001166928,0.026182136,0.029619098
1.4,46.2,40.87,25.68,9.46,4.51,8.53,55.66,45.38,34.21,322.66,439.47,451.06,0.001124506,0.0262702,0.029738456
1.41,46.64,41.64,25.66,9.37,4.77,8.86,56.01,46.41,34.52,319.9,440.01,451.67,0.00110883,0.02629981,0.029793633
1.43,46.64,41.64,25.66,9.37,4.77,8.86,56.01,46.41,34.52,319.9,440.01,451.67,0.00110883,0.02629981,0.029793633
