s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
11.8,0.934,0.902,0.784,0.585,0.415,0.272
12,0.85,0.824,0.753,0.612,0.47,0.327
12.2,0.94,0.927,0.851,0.663,0.487,0.318
12.4,0.914,0.892,0.81,0.629,0.461,0.303
12.6,0.904,0.897,0.835,0.705,0.56,0.399
12.8,0.873,0.832,0.769,0.6,0.441,0.287
13,0.876,0.842,0.758,0.614,0.464,0.322
13.2,1.01,1.01,0.9,0.663,0.466,0.306
13.4,0.905,0.882,0.801,0.629,0.462,0.305
13.6,0.931,0.925,0.868,0.708,0.531,0.355
13.8,0.895,0.845,0.758,0.587,0.433,0.297
14,0.858,0.849,0.785,0.651,0.504,0.349
14.2,0.916,0.889,0.803,0.617,0.44,0.287
14.4,0.885,0.882,0.816,0.664,0.518,0.368
14.6,0.97,0.986,0.967,0.777,0.56,0.354
14.8,0.949,0.933,0.85,0.662,0.494,0.334
15,0.963,0.96,0.899,0.746,0.579,0.386
15.2,0.964,0.917,0.819,0.631,0.471,0.34
15.4,0.992,0.981,0.921,0.751,0.566,0.362
15.6,0.943,0.931,0.881,0.721,0.563,0.398
15.8,0.904,0.87,0.8,0.623,0.469,0.316
16,0.995,0.953,0.856,0.644,0.463,0.315
16.2,0.91,0.879,0.803,0.662,0.514,0.361
16.4,1.02,1,0.909,0.695,0.496,0.317
16.6,0.931,0.936,0.874,0.744,0.6,0.441
16.8,0.97,0.964,0.88,0.668,0.484,0.308
17,0.927,0.917,0.858,0.732,0.578,0.418
17.2,1.08,1.11,1.01,0.756,0.522,0.323
17.4,0.929,0.922,0.85,0.704,0.55,0.389
17.6,1.02,0.995,0.92,0.721,0.524,0.333
17.8,0.899,0.859,0.773,0.636,0.506,0.38
18,1.06,1.06,0.975,0.777,0.573,0.365
18.2,0.98,0.941,0.849,0.665,0.499,0.343
18.4,1.03,1.03,0.937,0.72,0.519,0.332
18.6,1.05,1.04,0.966,0.783,0.594,0.393
18.8,0.978,0.957,0.831,0.599,0.428,0.282
19,1.04,1.04,0.98,0.816,0.635,0.434
19.2,1.05,1.04,0.95,0.712,0.527,0.349
19.4,0.993,0.978,0.906,0.736,0.549,0.368
19.6,0.984,1.01,0.96,0.795,0.61,0.4
19.8,1.04,0.989,0.866,0.69,0.528,0.397
20,1.09,1.11,1.03,0.802,0.581,0.377
20.2,0.99,1,0.895,0.698,0.521,0.351
20.4,1.04,1.02,0.893,0.681,0.502,0.352
20.6,1.11,1.14,1.11,0.88,0.635,0.397
20.8,1.04,1.03,0.949,0.761,0.585,0.419
21,1.06,1.07,0.982,0.797,0.591,0.388
21.2,1.08,1.04,0.963,0.765,0.577,0.402
21.4,1.04,1.05,0.956,0.759,0.541,0.361
21.6,1.16,1.21,1.1,0.858,0.642,0.42
21.8,1.06,1.05,0.937,0.732,0.54,0.361
22,1.02,1.02,0.945,0.777,0.59,0.404
22.2,1.12,1.11,1.02,0.779,0.551,0.352
22.4,1.08,1.06,0.949,0.723,0.537,0.379
22.6,1.05,1.04,0.971,0.773,0.568,0.37
22.8,1.05,1.01,0.888,0.691,0.506,0.352
23,1.12,1.14,1.03,0.77,0.534,0.342
23.2,1.12,1.14,1.02,0.763,0.553,0.37
23.4,1.05,1.02,0.91,0.719,0.546,0.382
23.6,1.12,1.15,1.03,0.772,0.55,0.348
23.8,1.05,1.03,0.957,0.732,0.533,0.345
24,1.08,1.12,1.02,0.826,0.64,0.457
24.2,1.09,1.11,1.04,0.854,0.636,0.412
24.4,1.04,1.02,0.897,0.704,0.544,0.419
24.6,1.19,1.25,1.22,0.985,0.712,0.447
24.8,1.12,1.11,1,0.776,0.58,0.41
25,1.1,1.11,1.02,0.844,0.641,0.441
25.2,1.13,1.12,1.02,0.777,0.542,0.342
25.4,1.08,1.07,0.978,0.785,0.602,0.416
25.6,1.21,1.2,1.1,0.878,0.658,0.429
25.8,1.06,1.04,0.949,0.76,0.589,0.441
26,1.17,1.16,1.06,0.787,0.557,0.347
26.2,1.18,1.14,1.02,0.768,0.553,0.378
26.4,1.15,1.2,1.15,0.971,0.735,0.495
26.6,1.17,1.16,1.06,0.782,0.564,0.372
26.8,1.11,1.11,1.01,0.787,0.577,0.381
27,1.05,1.03,0.922,0.735,0.575,0.423
27.2,1.18,1.22,1.17,0.939,0.673,0.41
27.4,1.07,1.09,1,0.85,0.714,0.567
27.6,1.21,1.25,1.16,0.905,0.645,0.41
27.8,1.15,1.15,1.04,0.815,0.608,0.417
28,1.14,1.16,1.09,0.923,0.724,0.498
28.2,1.12,1.11,0.971,0.719,0.519,0.36
28.4,1.15,1.22,1.17,0.996,0.759,0.505
28.6,1.14,1.13,1.06,0.818,0.591,0.395
28.8,1.08,1.1,1.05,0.917,0.731,0.533
29,1.22,1.26,1.19,0.957,0.686,0.437
29.2,1.12,1.14,1.05,0.901,0.739,0.554
29.4,1.24,1.28,1.24,1.04,0.795,0.518
29.6,1.05,1.03,0.914,0.719,0.553,0.415
29.8,1.18,1.24,1.19,1,0.774,0.514
30,1.21,1.19,1.07,0.823,0.604,0.433
30.2,1.23,1.26,1.17,0.953,0.719,0.479
30.4,1.18,1.16,1.06,0.774,0.543,0.354
30.6,1.17,1.22,1.17,0.992,0.77,0.522
30.8,1.19,1.17,1.03,0.791,0.588,0.421
31,1.23,1.29,1.25,1.07,0.844,0.577
31.2,1.17,1.18,1.1,0.896,0.691,0.479
31.4,1.17,1.19,1.11,0.916,0.725,0.516
31.6,1.23,1.27,1.19,0.975,0.737,0.502
31.8,1.27,1.28,1.2,1.01,0.814,0.618
32,1.31,1.37,1.34,1.13,0.828,0.529
32.2,1.16,1.2,1.12,0.916,0.724,0.529
32.4,1.26,1.26,1.2,0.992,0.756,0.498
32.6,1.21,1.2,1.12,0.95,0.763,0.592
32.8,1.38,1.48,1.42,1.11,0.792,0.492
33,1.23,1.28,1.22,1.04,0.813,0.583
33.2,1.25,1.3,1.21,1,0.764,0.528
33.4,1.29,1.3,1.21,0.947,0.679,0.452
33.6,1.3,1.38,1.34,1.19,0.94,0.671
33.8,1.35,1.39,1.32,1.06,0.786,0.521
34,1.27,1.31,1.24,1.07,0.865,0.64
34.2,1.49,1.59,1.53,1.2,0.86,0.548
34.4,1.34,1.42,1.38,1.17,0.937,0.687
34.6,1.28,1.33,1.26,1.06,0.833,0.569
34.8,1.35,1.36,1.24,0.973,0.731,0.524
35,1.34,1.42,1.36,1.18,0.936,0.664
35.2,1.4,1.47,1.38,1.09,0.787,0.527
35.4,1.43,1.53,1.49,1.29,1.02,0.723
35.6,1.28,1.29,1.21,0.985,0.753,0.538
35.8,1.42,1.5,1.44,1.24,0.998,0.703
36,1.39,1.43,1.36,1.12,0.855,0.582
36.2,1.42,1.49,1.42,1.22,0.993,0.764
36.4,1.45,1.52,1.48,1.25,0.959,0.634
36.6,1.37,1.42,1.33,1.14,0.958,0.803
36.8,1.48,1.59,1.59,1.37,1.06,0.695
37,1.33,1.4,1.33,1.12,0.915,0.719
37.2,1.43,1.49,1.42,1.22,0.982,0.69
37.4,1.44,1.49,1.39,1.09,0.791,0.529
37.6,1.46,1.55,1.57,1.47,1.27,0.969
37.8,1.4,1.42,1.32,1.05,0.781,0.539
38,1.43,1.53,1.53,1.42,1.25,1.02
38.2,1.44,1.48,1.37,1.11,0.828,0.556
38.4,1.46,1.51,1.46,1.26,1.02,0.755
38.6,1.38,1.41,1.32,1.07,0.803,0.546
38.8,1.52,1.62,1.58,1.41,1.2,0.95
39,1.55,1.64,1.51,1.17,0.845,0.573
39.2,1.54,1.7,1.69,1.5,1.2,0.856
39.4,1.56,1.68,1.64,1.39,1.09,0.796
39.6,1.57,1.66,1.62,1.36,1.08,0.801
39.8,1.57,1.7,1.67,1.36,1.03,0.683
40,1.56,1.64,1.51,1.29,1.03,0.802
40.2,1.61,1.72,1.66,1.36,1.01,0.682
40.4,1.49,1.58,1.53,1.34,1.1,0.828
40.6,1.52,1.63,1.62,1.48,1.23,0.919
40.8,1.42,1.47,1.38,1.16,0.921,0.692
41,1.47,1.55,1.52,1.34,1.1,0.816
41.2,1.52,1.65,1.63,1.47,1.23,0.96
41.4,1.54,1.64,1.61,1.44,1.25,1.01
41.6,1.52,1.61,1.57,1.35,1.08,0.756
41.8,1.56,1.68,1.65,1.48,1.29,1.1
42,1.57,1.7,1.64,1.42,1.1,0.754
42.2,1.53,1.6,1.53,1.3,1.1,0.888
42.4,1.73,1.91,1.94,1.68,1.32,0.905
42.6,1.61,1.74,1.76,1.58,1.36,1.08
42.8,1.68,1.77,1.76,1.6,1.33,0.979
43,1.61,1.73,1.66,1.38,1.07,0.799
43.2,1.57,1.73,1.74,1.65,1.42,1.09
43.4,1.72,1.83,1.76,1.44,1.15,0.862
43.6,1.69,1.84,1.83,1.63,1.3,0.928
43.8,1.55,1.68,1.64,1.43,1.13,0.825
44,1.73,1.91,1.93,1.81,1.56,1.24
44.2,1.91,2.1,2.13,1.77,1.34,0.912
44.4,1.63,1.79,1.83,1.67,1.4,1.07
44.6,1.7,1.87,1.88,1.7,1.4,1.04
44.8,1.73,1.85,1.75,1.5,1.24,1.03
45,1.78,1.96,1.98,1.71,1.33,0.92
45.2,1.65,1.79,1.82,1.67,1.43,1.11
45.4,1.79,1.95,1.91,1.69,1.42,1.08
45.6,1.71,1.88,1.84,1.59,1.25,0.896
45.8,1.63,1.79,1.85,1.79,1.62,1.3
46,1.67,1.84,1.84,1.67,1.41,1.11
46.2,1.77,1.94,1.89,1.67,1.44,1.21
46.4,1.74,1.87,1.85,1.61,1.28,0.919
46.6,1.73,1.87,1.89,1.74,1.51,1.24
46.8,1.61,1.72,1.72,1.56,1.37,1.18
47,1.76,1.96,1.95,1.75,1.44,1.09
47.2,1.81,1.98,1.97,1.79,1.61,1.39
47.4,1.98,2.25,2.27,2.06,1.68,1.21
47.6,1.76,1.94,1.92,1.7,1.43,1.1
47.8,1.76,1.94,1.96,1.81,1.6,1.31
48,1.65,1.78,1.74,1.54,1.27,0.928
48.2,1.79,1.98,1.99,1.83,1.64,1.39
48.4,1.68,1.85,1.89,1.78,1.55,1.19
48.6,1.62,1.79,1.77,1.63,1.42,1.22
48.8,1.8,1.98,2.01,1.84,1.59,1.29
49,1.84,2.04,2.01,1.81,1.53,1.24
49.2,1.92,2.16,2.23,2.05,1.7,1.28
49.4,1.85,2.02,2.04,1.9,1.65,1.32
49.6,1.81,1.96,1.99,1.72,1.39,1.05
49.8,1.8,2.03,2.13,2.08,1.86,1.49
50,1.73,1.89,1.93,1.82,1.62,1.4
50.2,1.77,2.01,2.08,1.99,1.72,1.37
50.4,1.75,1.91,1.93,1.74,1.48,1.23
50.6,1.81,1.97,2,1.95,1.79,1.57
50.8,1.99,2.19,2.2,1.9,1.56,1.26
51,1.82,2.04,2.14,2.05,1.79,1.45
51.2,1.79,2,1.97,1.77,1.55,1.37
51.4,1.95,2.15,2.15,1.87,1.52,1.13
51.6,1.98,2.24,2.33,2.17,1.83,1.41
51.8,1.83,2.05,2.14,2.05,1.85,1.54
52,1.86,2.07,2.09,1.91,1.62,1.27
52.2,1.88,2.09,2.12,1.98,1.74,1.45
52.4,2.06,2.38,2.49,2.38,2.11,1.66
52.6,1.91,2.12,2.17,2.01,1.72,1.39
52.8,1.94,2.17,2.23,2.16,1.96,1.61
53,1.94,2.18,2.27,2.14,1.86,1.47
53.2,1.85,2.05,2.1,2.03,1.89,1.65
53.4,1.79,1.94,1.96,1.78,1.48,1.22
53.6,1.96,2.21,2.31,2.3,2.19,1.97
53.8,1.74,1.92,1.96,1.83,1.57,1.23
54,2.04,2.3,2.41,2.34,2.17,1.92
54.2,1.76,1.95,2.01,1.91,1.68,1.37
54.4,1.89,2.13,2.17,2.04,1.84,1.61
54.6,1.97,2.2,2.3,2.17,1.89,1.56
54.8,1.98,2.26,2.34,2.29,2.09,1.78
55,1.95,2.19,2.29,2.17,1.95,1.51
55.2,2.07,2.34,2.39,2.34,2.13,1.86
55.4,2.16,2.36,2.42,2.08,1.68,1.35
55.6,2.09,2.42,2.63,2.6,2.31,1.77
55.8,2.04,2.31,2.42,2.33,2.13,1.89
56,2.02,2.24,2.29,2.13,1.84,1.5
56.2,2.12,2.38,2.47,2.34,2.06,1.69
56.4,1.95,2.18,2.24,2.18,2.02,1.81
56.6,2,2.27,2.37,2.31,2.02,1.6
56.8,2.13,2.37,2.42,2.25,2.06,1.78
57,2.22,2.57,2.72,2.61,2.21,1.68
57.2,2.17,2.48,2.61,2.57,2.37,2.04
57.4,2.09,2.34,2.42,2.27,1.99,1.58
57.6,2,2.25,2.32,2.21,1.97,1.62
57.8,2.26,2.55,2.65,2.51,2.22,1.88
58,2.02,2.27,2.4,2.29,2.01,1.64
58.2,1.96,2.21,2.31,2.26,2.07,1.9
58.4,1.97,2.24,2.33,2.26,2.04,1.8
58.6,2.12,2.41,2.57,2.55,2.41,2.14
58.8,1.99,2.23,2.3,2.23,2.02,1.76
59,2.08,2.36,2.43,2.29,2.06,1.85
59.2,2.02,2.29,2.42,2.37,2.09,1.71
59.4,1.94,2.17,2.26,2.21,2.01,1.82
59.6,2.01,2.29,2.42,2.4,2.22,1.93
59.8,2.04,2.26,2.33,2.2,2.03,1.9
60,2.05,2.32,2.42,2.31,2.03,1.69
60.2,2.11,2.41,2.52,2.47,2.33,2.16
60.4,2.19,2.45,2.58,2.48,2.17,1.71
60.6,2.14,2.44,2.54,2.47,2.29,2.03
60.8,2.21,2.51,2.63,2.45,2.12,1.82
61,2.27,2.62,2.8,2.74,2.48,2.15
61.2,1.95,2.21,2.33,2.32,2.2,2.02
61.4,2.03,2.27,2.37,2.29,2.08,1.82
61.6,2.09,2.39,2.52,2.47,2.26,2.04
61.8,2.01,2.28,2.37,2.31,2.15,1.96
62,1.92,2.16,2.25,2.2,2.03,1.86
62.2,2.07,2.33,2.44,2.39,2.19,1.94
62.4,2.09,2.36,2.45,2.39,2.24,2.12
62.6,2.06,2.41,2.59,2.58,2.32,1.9
62.8,2.1,2.4,2.54,2.6,2.54,2.36
63,2.12,2.41,2.55,2.54,2.34,2.03
63.2,2.28,2.63,2.72,2.56,2.33,2.14
63.4,2.17,2.48,2.64,2.6,2.37,2.02
63.6,2.18,2.51,2.64,2.6,2.44,2.2
63.8,2.18,2.52,2.72,2.76,2.63,2.38
64,2.15,2.48,2.64,2.6,2.37,2.12
64.2,2.15,2.49,2.7,2.72,2.56,2.33
64.4,2.18,2.54,2.76,2.82,2.62,2.3
64.6,2.21,2.53,2.74,2.83,2.72,2.45
64.8,2.16,2.48,2.61,2.56,2.35,2.12
65,2.33,2.74,3,3.09,2.85,2.39
65.2,2.28,2.6,2.81,2.86,2.77,2.53
65.4,2.19,2.57,2.75,2.73,2.51,2.23
65.6,2.31,2.69,2.9,2.97,2.87,2.65
65.8,2.23,2.57,2.73,2.76,2.61,2.39
66,2.17,2.47,2.61,2.6,2.5,2.36
66.2,2.16,2.51,2.68,2.69,2.5,2.22
66.4,2.31,2.66,2.87,2.9,2.79,2.62
66.6,2.26,2.6,2.82,2.89,2.68,2.3
66.8,2.47,2.92,3.19,3.32,3.35,3.17
67,2.32,2.71,2.98,3.03,2.77,2.29
67.2,2.45,2.85,3.09,3.19,3.14,2.94
67.4,2.17,2.51,2.69,2.72,2.57,2.39
67.6,2.29,2.65,2.81,2.81,2.64,2.41
67.8,2.31,2.65,2.84,2.87,2.76,2.62
68,2.2,2.6,2.79,2.79,2.59,2.35
68.2,2.57,2.92,3.14,3.19,3.12,2.91
68.4,2.28,2.63,2.81,2.76,2.51,2.22
68.6,2.24,2.61,2.78,2.87,2.82,2.7
68.8,2.16,2.49,2.68,2.69,2.5,2.24
69,2.39,2.82,3.09,3.18,3.04,2.8
69.2,2.42,2.8,3.08,3.12,2.97,2.65
69.4,2.18,2.51,2.67,2.66,2.49,2.31
69.6,2.21,2.51,2.66,2.64,2.47,2.3
69.8,2.19,2.54,2.72,2.72,2.58,2.38
70,2.12,2.5,2.72,2.79,2.63,2.44
70.2,2.22,2.6,2.79,2.88,2.82,2.6
70.4,2.15,2.49,2.64,2.66,2.55,2.44
70.6,2.31,2.68,2.85,2.82,2.65,2.46
70.8,2.38,2.8,2.99,3.02,2.83,2.55
71,2.44,2.87,3.1,3.15,3.01,2.81
71.2,2.36,2.81,3.05,3.15,2.93,2.65
71.4,2.44,2.86,3.14,3.23,3.11,2.87
71.6,2.3,2.7,2.98,3.15,3.07,2.81
71.8,2.31,2.72,2.9,2.89,2.76,2.61
72,2.33,2.77,3.03,3.07,2.83,2.52
72.2,2.42,2.84,3.07,3.18,3.12,2.97
72.4,2.29,2.63,2.82,2.9,2.85,2.81
72.6,2.26,2.65,2.88,2.94,2.8,2.64
72.8,2.35,2.76,2.95,3,2.87,2.73
73,2.32,2.76,3.02,3.1,2.92,2.63
73.2,2.27,2.69,2.97,3.23,3.27,3.22
73.4,2.18,2.57,2.8,2.93,2.87,2.73
73.6,2.35,2.8,3.05,3.22,3.22,3.11
73.8,2.23,2.59,2.8,2.89,2.83,2.75
74,2.43,2.84,3.05,3.09,2.95,2.8
74.2,2.52,2.93,3.16,3.3,3.27,3.1
74.4,2.32,2.73,2.94,2.97,2.81,2.65
74.6,2.32,2.71,2.99,3.1,3.02,2.87
74.8,2.41,2.86,3.13,3.25,3.14,2.94
75,2.39,2.84,3.18,3.42,3.44,3.28
75.2,2.41,2.84,3.1,3.25,3.26,3.15
75.4,2.55,3.07,3.46,3.69,3.55,3.24
75.6,2.55,3.1,3.52,3.89,4.05,3.92
75.8,2.54,2.99,3.33,3.53,3.55,3.41
76,2.51,2.97,3.25,3.49,3.49,3.34
76.2,2.18,2.59,2.81,2.93,2.87,2.74
76.4,2.33,2.75,2.97,3.08,3.03,2.96
76.6,2.3,2.73,2.99,3.13,3.04,2.86
76.8,2.38,2.83,3.09,3.23,3.23,3.17
77,2.52,3.05,3.39,3.67,3.69,3.52
77.2,2.71,3.22,3.49,3.63,3.57,3.39
77.4,2.56,3.04,3.4,3.58,3.49,3.25
77.6,2.6,3.1,3.42,3.61,3.56,3.3
77.8,2.39,2.84,3.13,3.35,3.35,3.22
78,2.43,2.84,3.08,3.19,3.14,3.07
78.2,2.45,2.84,3.12,3.25,3.21,3.11
78.4,2.63,3.09,3.42,3.62,3.62,3.41
78.6,2.52,2.95,3.25,3.49,3.54,3.43
78.8,2.68,3.17,3.49,3.68,3.56,3.29
79,2.49,2.93,3.21,3.43,3.45,3.33
79.2,2.47,2.93,3.22,3.39,3.37,3.27
79.4,2.56,3.04,3.33,3.53,3.52,3.39
79.6,2.55,3.02,3.3,3.36,3.22,3.02
79.8,2.51,2.97,3.29,3.5,3.47,3.31
80,2.74,3.26,3.59,3.82,3.89,3.76
80.2,2.82,3.35,3.79,4.02,3.93,3.64
80.4,2.79,3.36,3.76,4,3.94,3.69
80.6,2.74,3.28,3.71,4.02,3.97,3.62
80.8,2.78,3.35,3.73,4.11,4.27,4.24
81,2.71,3.26,3.65,3.94,3.96,3.7
81.2,2.63,3.11,3.47,3.79,3.93,3.8
81.4,2.73,3.22,3.59,3.92,4.02,3.84
81.6,2.84,3.38,3.72,3.94,3.99,3.86
81.8,2.68,3.17,3.46,3.65,3.58,3.45
82,2.61,3.09,3.38,3.54,3.56,3.47
82.2,2.56,3.06,3.38,3.6,3.61,3.57
82.4,2.49,3.01,3.36,3.65,3.75,3.73
82.6,2.51,2.98,3.26,3.5,3.55,3.59
82.8,2.69,3.28,3.7,3.93,3.82,3.69
83,2.66,3.17,3.49,3.65,3.56,3.52
83.2,2.91,3.51,3.94,4.07,3.87,3.7
83.4,2.82,3.46,3.95,4.37,4.38,4.2
83.6,2.77,3.35,3.77,4.11,4.24,4.25
83.8,2.68,3.2,3.59,3.87,3.95,3.84
84,2.7,3.25,3.61,3.87,3.86,3.68
84.2,2.76,3.29,3.68,3.96,3.99,3.83
84.4,2.76,3.28,3.66,3.91,3.95,3.91
84.6,2.68,3.17,3.53,3.79,3.83,3.73
84.8,2.69,3.2,3.57,3.92,4.01,4.01
85,2.6,3.12,3.46,3.77,3.91,3.92
85.2,2.92,3.51,3.89,4.12,4.07,3.92
85.4,2.75,3.3,3.71,4.06,4.13,4.05
85.6,2.91,3.48,3.89,4.29,4.46,4.55
85.8,2.88,3.44,3.83,4.12,4.16,4.2
86,2.8,3.36,3.7,3.95,3.88,3.68
86.2,2.72,3.25,3.67,4,4.06,3.92
86.4,2.63,3.15,3.54,3.83,3.93,3.87
86.6,2.7,3.27,3.69,4.06,4.18,4.15
86.8,2.8,3.38,3.82,4.2,4.31,4.24
87,2.73,3.3,3.72,4.14,4.31,4.33
87.2,2.78,3.33,3.73,4.07,4.19,4.27
87.4,2.86,3.42,3.78,4.11,4.17,4.11
87.6,2.84,3.39,3.74,3.98,3.97,3.86
87.8,2.92,3.55,3.99,4.3,4.31,4.1
88,2.88,3.52,4.05,4.59,4.82,4.68
88.2,2.96,3.64,4.21,4.84,5.21,5.21
88.4,2.9,3.59,4.09,4.62,4.88,4.84
88.6,3.37,4.08,4.6,5.03,5.28,5.39
88.8,3.14,3.85,4.33,4.56,4.39,4.16
89,2.69,3.23,3.65,4.03,4.11,3.96
89.2,2.62,3.14,3.51,3.86,4.08,4.09
89.4,2.7,3.26,3.65,4.04,4.25,4.36
89.6,2.85,3.49,3.97,4.45,4.81,5
89.8,2.94,3.57,4.12,4.67,5.02,5.44
90,2.87,3.49,4,4.61,5.04,5.57
90.2,2.76,3.38,3.8,4.26,4.55,4.9
90.4,2.86,3.43,3.86,4.24,4.35,4.42
90.6,2.69,3.23,3.58,3.9,3.98,4.08
90.8,2.79,3.37,3.72,3.98,4,3.92
91,2.92,3.56,4.06,4.51,4.67,4.59
91.2,2.92,3.54,4.04,4.54,4.82,4.89
91.4,3,3.61,3.99,4.46,4.7,4.78
91.6,2.96,3.52,3.92,4.22,4.31,4.29
91.8,2.84,3.36,3.71,3.94,3.96,3.84
92,2.97,3.55,3.97,4.21,4.16,3.92
92.2,2.88,3.44,3.81,4.17,4.41,4.45
92.4,3.14,3.87,4.35,4.66,4.77,4.81
92.6,2.96,3.65,4.25,4.91,5.25,5.42
92.8,3.09,3.84,4.43,5.22,5.75,6.13
93,2.87,3.44,3.87,4.24,4.42,4.76
93.2,3.06,3.76,4.3,4.66,4.66,4.49
93.4,2.82,3.42,3.92,4.39,4.61,4.54
93.6,2.86,3.47,3.96,4.43,4.65,4.74
93.8,2.89,3.52,4.07,4.61,4.89,5.08
94,3.04,3.77,4.33,4.96,5.34,5.8
94.2,3.14,3.86,4.35,4.81,4.96,5.1
94.4,3.11,3.8,4.35,4.85,4.99,4.89
94.6,2.87,3.5,4.04,4.57,4.81,4.83
94.8,3.07,3.77,4.41,5.01,5.33,5.31
95,3.11,3.84,4.48,5.23,5.7,5.74
95.2,2.98,3.66,4.28,4.98,5.47,5.8
95.4,3.05,3.74,4.32,5.01,5.51,6.12
95.6,3.26,3.96,4.58,5.18,5.53,5.9
95.8,2.98,3.58,4.04,4.51,4.78,4.89
96,2.96,3.57,4.03,4.5,4.72,4.65
96.2,3.07,3.72,4.22,4.78,5.07,5.05
96.4,3.01,3.66,4.13,4.63,4.89,4.96
96.6,3.12,3.79,4.31,4.84,5.12,5.1
96.8,3.05,3.69,4.21,4.69,4.92,4.86
97,3.22,3.94,4.52,5.13,5.49,5.66
97.2,2.91,3.56,4.04,4.55,4.85,4.92
97.4,3.09,3.78,4.24,4.69,4.9,4.92
97.6,3.04,3.65,4.1,4.48,4.53,4.41
97.8,3.08,3.73,4.26,4.82,5.01,4.91
98,2.9,3.52,3.97,4.4,4.57,4.62
98.2,3.01,3.68,4.15,4.6,4.72,4.73
98.4,2.95,3.55,4.04,4.52,4.81,5.01
98.6,3.22,3.9,4.45,5.03,5.44,5.76
98.8,3.21,3.9,4.46,5.12,5.55,5.99
99,3.42,4.11,4.68,5.34,5.75,6.06
99.2,3.18,3.84,4.36,4.8,4.98,5.05
99.4,3.09,3.75,4.18,4.53,4.68,4.6
99.6,3.07,3.8,4.34,4.89,5.15,5.17
