m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,kg/m2/s,kg/m2/s,kg/m2/s
0.070,8.852,6.741,5.147,0.949,-1.611,-1.807,9.801,5.129,3.341,171.787,200.705,217.443,2.50E-05,0.000298988,0.000281487
0.075,8.674,6.707,5.158,1.228,-1.633,-1.776,9.902,5.073,3.381,169.282,198.358,215.864,1.93E-05,0.000268376,0.00028858
0.080,8.564,6.685,5.175,1.498,-1.643,-1.721,10.062,5.042,3.454,166.949,196.270,214.660,1.51E-05,0.00023969,0.000296375
0.085,8.516,6.678,5.179,2.178,-1.624,-1.638,10.694,5.054,3.541,165.015,194.464,213.844,1.20E-05,0.00021433,0.000305091
0.090,8.509,6.681,5.163,2.830,-1.592,-1.648,11.340,5.089,3.515,163.211,193.061,213.471,9.61E-06,0.000194265,0.000315301
0.095,8.521,6.693,5.135,2.750,-1.538,-1.661,11.271,5.154,3.474,161.164,192.127,213.628,7.87E-06,0.000179983,0.000326655
0.100,8.539,6.715,5.102,2.001,-1.493,-1.629,10.540,5.222,3.473,159.094,191.518,214.146,6.65E-06,0.000169988,0.000337866
0.105,8.564,6.723,5.068,0.082,-1.455,-1.700,8.646,5.268,3.368,156.763,191.208,214.825,5.84E-06,0.000163889,0.000348598
0.110,8.592,6.713,5.034,-0.830,-1.408,-1.808,7.762,5.305,3.226,155.584,191.277,215.596,5.38E-06,0.000162097,0.000357871
0.115,8.629,6.693,4.993,-0.795,-1.346,-1.795,7.834,5.346,3.198,155.345,191.731,216.691,5.14E-06,0.000164742,0.000365154
0.120,8.698,6.670,4.945,-0.196,-1.344,-1.686,8.501,5.326,3.258,155.372,192.428,218.205,4.91E-06,0.000171187,0.000371013
0.125,8.817,6.644,4.887,1.938,-1.383,-1.559,10.755,5.261,3.328,156.300,193.202,220.155,4.69E-06,0.00017952,0.00037656
0.130,9.043,6.614,4.823,3.971,-1.505,-1.503,13.013,5.109,3.320,157.427,194.154,222.540,4.58E-06,0.000191247,0.000381416
0.135,9.360,6.584,4.757,5.104,-1.641,-1.533,14.464,4.943,3.224,158.027,195.389,225.349,4.49E-06,0.000207605,0.000386342
0.140,9.756,6.558,4.693,6.314,-1.714,-1.568,16.070,4.843,3.124,158.725,196.987,228.713,4.44E-06,0.000229771,0.000392638
0.146,10.182,6.542,4.632,7.268,-1.739,-1.582,17.451,4.803,3.050,159.411,198.867,232.547,4.46E-06,0.00025741,0.000400201
0.151,10.544,6.539,4.569,6.484,-1.756,-1.636,17.028,4.783,2.932,159.245,200.794,236.647,4.58E-06,0.00028736,0.000409005
0.156,10.783,6.548,4.504,4.939,-1.766,-1.763,15.723,4.783,2.742,158.867,202.795,240.699,4.80E-06,0.000319674,0.00041771
0.161,11.249,6.514,4.409,4.116,-1.797,-2.006,15.365,4.716,2.403,159.148,204.903,244.473,5.14E-06,0.000355048,0.000425033
0.166,11.190,6.553,4.356,3.447,-1.845,-2.131,14.636,4.709,2.225,159.598,207.067,248.256,5.55E-06,0.000391355,0.000432513
0.171,11.047,6.612,4.305,3.310,-1.936,-2.107,14.357,4.675,2.198,160.334,209.232,252.290,5.98E-06,0.000426864,0.000441285
0.176,10.867,6.695,4.256,3.608,-2.026,-1.911,14.475,4.669,2.345,161.159,211.472,256.744,6.35E-06,0.000462039,0.000451481
0.181,10.612,6.801,4.212,4.341,-2.055,-1.590,14.953,4.746,2.622,162.196,213.925,261.605,6.73E-06,0.000496886,0.000461801
0.186,10.136,6.956,4.173,4.858,-2.032,-1.247,14.994,4.924,2.926,163.211,216.587,266.602,7.22E-06,0.000531222,0.000471671
0.191,9.366,7.170,4.150,4.790,-1.923,-0.928,14.157,5.247,3.222,163.961,219.550,271.684,7.81E-06,0.000563193,0.000481152
0.196,8.575,7.495,4.162,3.723,-1.774,-0.370,12.299,5.721,3.791,164.220,222.683,277.143,8.54E-06,0.000587044,0.000490359
0.201,7.972,8.018,4.219,1.690,-1.582,0.741,9.662,6.435,4.960,164.030,225.894,283.274,9.48E-06,0.000599483,0.000498864
0.206,7.515,8.383,4.325,0.226,-1.096,2.549,7.741,7.287,6.874,164.137,229.263,290.230,1.05E-05,0.000602806,0.000508005
0.211,7.185,8.717,4.552,-0.510,0.355,5.576,6.675,9.072,10.128,164.606,233.363,298.427,1.16E-05,0.000602509,0.00052003
0.216,6.946,9.215,4.793,-0.844,4.269,9.686,6.102,13.484,14.479,165.343,239.309,307.484,1.28E-05,0.000600051,0.000535179
0.221,6.766,9.928,4.974,-1.022,14.518,13.602,5.744,24.446,18.575,166.332,250.018,316.471,1.43E-05,0.000595388,0.000554017
0.226,6.625,10.363,5.179,-0.967,21.711,17.054,5.658,32.073,22.233,167.453,258.300,325.384,1.60E-05,0.000590158,0.000577945
0.231,6.514,10.800,5.295,-0.602,19.892,21.685,5.912,30.692,26.980,168.776,259.560,335.882,1.79E-05,0.000586431,0.000609373
0.236,6.424,11.372,4.980,-0.006,19.458,24.196,6.418,30.830,29.176,170.392,261.921,344.671,2.02E-05,0.000584059,0.000651668
0.241,6.351,12.130,4.234,0.287,19.424,23.765,6.638,31.554,27.999,171.985,264.835,350.605,2.31E-05,0.000582175,0.000708921
0.246,6.290,12.950,3.412,0.169,19.487,17.420,6.458,32.437,20.832,173.509,267.891,349.820,2.68E-05,0.000581891,0.000783305
0.251,6.243,13.546,2.775,-0.195,19.017,10.699,6.049,32.563,13.474,174.808,270.431,348.263,3.09E-05,0.000581484,0.000877589
0.256,6.213,13.951,2.330,-0.381,17.235,6.851,5.832,31.186,9.181,176.180,271.769,349.483,3.54E-05,0.000580112,0.000996015
0.261,6.201,14.508,1.996,-0.519,15.446,5.007,5.682,29.954,7.004,177.334,273.104,352.632,3.97E-05,0.000578908,0.001140395
0.266,6.207,15.079,1.728,-0.669,15.087,4.339,5.538,30.166,6.067,178.509,275.724,356.920,4.46E-05,0.000578188,0.001315378
0.271,6.234,15.524,1.510,-0.635,15.295,3.384,5.600,30.819,4.893,179.832,278.975,360.560,5.02E-05,0.000578499,0.001523383
0.276,6.301,15.915,1.325,-0.160,16.089,1.716,6.141,32.004,3.041,181.523,282.879,363.200,5.68E-05,0.000580935,0.001778572
0.281,6.434,16.186,1.156,1.125,16.864,0.469,7.559,33.050,1.625,184.068,286.951,366.404,6.60E-05,0.000585201,0.002099875
0.286,6.647,16.259,1.004,2.289,17.344,0.015,8.936,33.603,1.019,186.813,290.844,370.432,7.81E-05,0.000589853,0.002478246
0.291,6.995,16.198,0.869,3.402,17.437,-0.253,10.397,33.635,0.616,189.747,294.518,374.382,9.36E-05,0.000593739,0.002904912
0.296,7.712,16.079,0.757,7.839,17.638,-0.885,15.551,33.717,-0.127,194.906,298.303,377.325,0.000111678,0.000596742,0.003357837
0.301,8.635,15.853,0.677,12.811,18.571,-2.185,21.446,34.424,-1.509,200.211,303.035,378.934,0.000130568,0.000599994,0.003845906
0.306,8.801,15.407,0.643,10.854,20.818,-2.365,19.656,36.225,-1.722,200.686,308.881,381.972,0.000150342,0.000603219,0.004379395
0.311,8.231,14.430,0.668,5.822,22.651,-1.886,14.053,37.081,-1.218,198.890,314.026,385.900,0.000170695,0.000607279,0.004971688
0.316,7.633,13.295,0.763,1.835,17.267,-0.740,9.468,30.562,0.022,197.786,312.038,390.763,0.000193754,0.000612136,0.005618338
0.321,7.224,12.531,0.934,-0.017,11.824,0.556,7.206,24.354,1.490,198.251,309.718,395.850,0.000221244,0.000618504,0.00632191
0.326,6.954,12.083,1.203,-0.314,9.205,1.877,6.640,21.288,3.080,200.003,309.561,400.712,0.000255833,0.000624917,0.007023143
0.331,6.781,11.771,1.604,-0.267,8.082,3.132,6.514,19.853,4.736,202.191,310.629,405.137,0.00029889,0.000631208,0.007677186
0.336,6.678,11.442,2.189,-0.374,6.526,6.366,6.304,17.968,8.555,204.196,311.478,412.585,0.000346607,0.000638333,0.008278253
0.341,6.622,11.148,3.147,-0.635,5.432,15.092,5.987,16.580,18.239,205.853,313.016,429.056,0.000394627,0.000647105,0.008822083
0.346,6.603,10.936,4.119,-0.957,4.235,29.991,5.646,15.171,34.110,207.395,314.391,455.764,0.000445641,0.0006569,0.009266372
0.351,6.625,10.835,4.066,-1.118,4.586,34.214,5.507,15.420,38.280,208.988,317.190,464.140,0.000499089,0.000667847,0.009663273
0.356,6.644,10.814,3.886,-1.150,6.790,30.353,5.493,17.604,34.239,210.549,321.529,458.791,0.000552566,0.00067835,0.010024543
0.361,6.578,10.910,3.855,-1.138,10.492,28.383,5.440,21.402,32.239,212.149,327.291,456.607,0.000609733,0.000689293,0.010389735
0.366,6.420,11.228,4.050,-0.990,16.990,26.377,5.429,28.217,30.427,213.978,336.256,454.214,0.000674768,0.000703751,0.010715161
0.371,6.240,11.683,4.402,-0.531,23.845,26.091,5.709,35.528,30.493,216.026,345.976,454.657,0.000742982,0.000722639,0.011008567
0.376,6.085,12.144,4.921,0.230,28.948,25.743,6.314,41.091,30.664,218.138,354.265,454.544,0.0008073,0.000745494,0.011275434
0.381,5.953,12.160,5.692,1.272,31.000,23.652,7.225,43.160,29.344,220.389,359.400,451.707,0.000869379,0.000773834,0.011533394
0.386,5.847,11.739,6.783,2.281,32.889,21.475,8.128,44.628,28.258,222.586,364.810,448.355,0.000928881,0.000809271,0.011781615
0.391,5.779,10.772,7.619,3.255,34.001,19.493,9.034,44.772,27.112,224.569,369.504,445.620,0.000978654,0.000851519,0.012019685
0.396,5.745,9.651,8.074,4.238,30.768,18.656,9.983,40.419,26.730,226.226,369.271,444.529,0.001012978,0.000898562,0.012231526
0.401,5.210,8.424,9.228,4.647,20.328,18.226,9.858,28.752,27.454,227.391,360.846,444.277,0.001039826,0.000953906,0.012385597
0.406,5.183,8.187,9.330,4.171,14.531,18.382,9.354,22.718,27.712,227.779,357.784,444.796,0.001062512,0.00102418,0.012537581
0.411,5.166,8.247,9.337,2.391,14.783,18.465,7.557,23.029,27.802,227.162,361.800,445.081,0.001084963,0.001107419,0.012650221
0.416,5.184,8.712,9.316,1.834,16.571,18.024,7.018,25.283,27.340,227.275,367.502,444.743,0.001100652,0.001200959,0.012782745
0.421,5.224,9.598,9.365,2.125,22.511,17.464,7.349,32.109,26.828,227.969,378.242,443.868,0.001113076,0.001303956,0.012873127
0.426,5.274,10.448,9.560,2.786,30.501,17.032,8.059,40.949,26.592,229.209,391.365,443.224,0.001132876,0.001407399,0.012961188
0.432,5.325,10.963,9.709,3.475,35.617,16.772,8.801,46.580,26.481,230.599,400.608,442.902,0.001156791,0.001513339,0.013049658
0.437,5.381,11.051,9.638,3.912,33.601,16.194,9.293,44.652,25.831,231.677,401.057,442.191,0.001177512,0.001626237,0.013210749
0.442,5.454,10.866,9.490,4.100,29.124,15.158,9.553,39.990,24.648,232.457,398.020,441.123,0.001191284,0.001749361,0.013472307
0.447,5.546,10.779,9.317,4.333,25.914,14.498,9.880,36.693,23.814,233.319,396.591,440.839,0.001202203,0.001891262,0.013792098
0.452,5.653,10.841,9.175,4.486,24.836,14.931,10.138,35.677,24.106,234.158,398.304,442.194,0.001205346,0.002060305,0.014080883
0.457,5.764,10.901,9.198,4.759,25.025,16.257,10.523,35.925,25.454,235.193,401.619,445.197,0.001198664,0.002258793,0.014291632
0.462,5.874,10.827,9.427,5.292,25.098,19.853,11.166,35.926,29.280,236.535,404.991,451.786,0.00118616,0.002482381,0.014398543
0.467,5.988,10.685,9.842,6.314,24.688,23.447,12.302,35.373,33.289,238.284,407.594,458.131,0.001171239,0.002720656,0.014412913
0.472,6.094,10.747,10.395,7.728,22.440,26.124,13.822,33.188,36.520,240.200,407.350,462.873,0.00115942,0.002982991,0.014461339
0.477,6.123,11.114,11.084,8.316,19.227,26.563,14.439,30.341,37.646,241.319,405.818,463.651,0.001154841,0.003270883,0.014505471
0.482,6.091,11.722,11.907,7.534,17.911,26.105,13.625,29.633,38.012,241.194,406.701,462.911,0.001151498,0.003581058,0.014586705
0.487,6.039,12.322,12.846,5.051,17.653,24.589,11.090,29.975,37.435,239.782,408.718,460.799,0.001147109,0.003872693,0.014722377
0.492,6.016,12.664,13.807,2.758,17.991,23.127,8.773,30.655,36.934,238.611,411.404,458.451,0.001139208,0.004160499,0.014878029
0.497,6.011,12.696,14.774,1.175,18.487,22.807,7.185,31.183,37.581,238.115,414.184,458.072,0.001126578,0.004440918,0.01500317
0.502,6.012,12.394,15.808,-0.112,18.627,22.831,5.900,31.021,38.640,238.095,416.173,458.180,0.00110922,0.004729377,0.015067394
0.507,6.019,11.863,16.886,-0.940,18.368,23.848,5.080,30.231,40.734,238.582,417.817,460.013,0.00109688,0.005049756,0.015111981
0.512,6.035,11.328,17.912,-0.950,17.465,25.609,5.085,28.793,43.521,239.733,418.353,463.518,0.001088914,0.005379089,0.015153316
0.517,6.068,10.939,18.731,-0.344,16.322,27.454,5.724,27.261,46.185,241.047,418.230,466.746,0.001080519,0.005710164,0.015168624
0.522,6.117,10.683,19.282,1.207,15.705,29.127,7.324,26.388,48.409,242.990,419.054,469.650,0.001078617,0.006046298,0.015181456
0.527,6.176,10.526,19.689,3.133,15.818,30.320,9.308,26.344,50.008,245.271,420.606,471.629,0.001076452,0.006345068,0.015162721
0.532,6.243,10.413,20.094,4.419,16.171,31.088,10.662,26.584,51.182,247.155,422.465,472.285,0.001070948,0.006637131,0.01509423
0.537,6.341,10.292,20.582,4.898,16.736,30.946,11.239,27.027,51.528,248.425,424.681,471.868,0.001064498,0.006939835,0.015065576
0.542,6.491,10.096,21.187,5.873,18.203,29.458,12.364,28.298,50.645,250.068,428.638,469.190,0.001055644,0.007320709,0.015086262
0.547,6.664,9.895,21.814,7.923,21.024,27.788,14.587,30.919,49.603,252.264,434.999,466.790,0.001041613,0.007689453,0.01516549
0.552,6.772,9.848,22.312,9.219,21.883,27.485,15.991,31.731,49.798,253.754,438.011,466.383,0.001025531,0.008083408,0.015262689
0.557,6.766,9.894,22.669,8.137,24.100,27.554,14.903,33.995,50.223,253.362,443.827,466.665,0.001011812,0.008551414,0.015382199
0.562,6.712,9.919,22.975,4.746,25.507,27.359,11.458,35.426,50.334,250.981,447.963,466.471,0.001002184,0.009026641,0.015487977
0.567,6.667,9.894,23.076,2.503,26.495,27.468,9.170,36.389,50.544,249.435,450.956,466.807,0.000997904,0.009383959,0.015601655
0.572,6.620,9.833,22.811,1.169,25.346,26.129,7.788,35.179,48.941,248.614,450.157,465.006,0.000999859,0.009707844,0.015724806
0.577,6.586,9.856,22.131,0.759,23.341,22.528,7.345,33.197,44.660,248.581,447.807,458.889,0.001004077,0.010009723,0.015879331
0.582,6.577,9.840,21.207,1.123,23.971,18.837,7.700,33.811,40.044,249.159,449.509,452.609,0.001003425,0.010281218,0.016006898
0.587,6.581,9.734,20.201,1.790,17.548,15.778,8.371,27.282,35.978,250.018,438.960,447.400,0.001001608,0.010488827,0.016100582
0.592,6.594,9.666,19.259,1.247,12.280,14.267,7.841,21.947,33.526,249.990,430.077,445.123,0.001001899,0.010641997,0.016204515
0.597,6.625,9.836,18.515,0.448,9.754,13.741,7.073,19.590,32.256,249.783,425.905,444.346,0.001003326,0.010755734,0.016306411
0.602,6.680,10.224,18.051,0.321,8.816,13.458,7.002,19.040,31.510,250.324,424.691,443.945,0.001004655,0.010896478,0.016388537
0.607,6.784,10.700,17.771,0.830,8.509,13.011,7.614,19.208,30.782,251.566,424.632,443.302,0.001004883,0.011106459,0.016495088
0.612,7.014,11.118,17.543,3.497,8.590,12.903,10.512,19.707,30.445,254.300,425.344,443.308,0.001000133,0.011309323,0.01662289
0.617,7.356,11.427,17.283,8.329,8.742,13.134,15.685,20.169,30.418,258.503,425.876,444.094,0.000993923,0.011438665,0.016738856
0.622,7.582,11.554,16.992,9.388,8.725,13.552,16.971,20.279,30.544,259.755,426.169,444.999,0.00098726,0.011597608,0.016845478
0.627,7.714,11.575,16.658,9.375,7.849,14.272,17.089,19.423,30.930,260.260,425.145,446.407,0.000979876,0.011795354,0.016944332
0.632,7.759,11.619,16.361,8.105,6.524,14.915,15.864,18.143,31.276,259.905,423.429,447.654,0.000972407,0.012088658,0.017035147
0.637,7.803,11.789,16.205,4.726,6.295,15.596,12.529,18.084,31.801,257.837,423.750,448.952,0.000967245,0.012374785,0.017116897
0.642,7.800,11.272,12.587,3.627,7.058,16.330,11.427,18.330,28.917,257.616,425.722,450.256,0.000965526,0.012609055,0.017156675
0.647,7.966,11.614,12.498,3.323,8.530,16.608,11.289,20.144,29.106,257.935,428.715,450.840,0.000964512,0.012774484,0.017244589
0.652,8.197,12.125,12.643,3.411,9.832,16.487,11.608,21.957,29.130,258.642,431.308,451.007,0.000962685,0.012900151,0.017349042
0.657,8.488,12.796,13.001,3.865,10.857,15.897,12.352,23.654,28.898,259.597,433.386,450.027,0.000959421,0.013020833,0.017423002
0.662,8.806,13.599,13.464,3.469,11.702,14.685,12.274,25.301,28.149,259.844,435.391,447.920,0.000956685,0.013185657,0.017456707
0.667,9.171,14.487,13.812,2.646,11.981,13.688,11.817,26.468,27.500,259.671,436.338,446.166,0.000955426,0.013415647,0.017463183
0.672,9.561,15.344,14.053,1.967,11.798,13.589,11.529,27.142,27.641,259.484,436.663,445.953,0.000954855,0.013664569,0.017447142
0.677,9.856,16.045,14.118,2.038,11.036,13.619,11.894,27.082,27.737,259.905,435.910,445.951,0.00095004,0.013994084,0.017441969
0.682,10.006,16.538,14.035,1.951,10.075,13.022,11.956,26.613,27.058,260.249,435.070,444.915,0.000943265,0.014375567,0.017468834
0.687,10.050,16.896,14.084,1.213,9.963,12.703,11.263,26.860,26.787,260.051,435.712,444.466,0.00093995,0.014731264,0.017548647
0.692,10.049,17.178,14.304,0.329,10.508,12.938,10.377,27.686,27.243,259.759,437.260,445.078,0.000937768,0.015011991,0.017658507
0.697,10.023,17.411,14.809,0.267,11.496,14.923,10.290,28.908,29.733,260.276,439.609,448.730,0.000932609,0.01520381,0.017779041
0.702,9.989,17.598,15.478,0.384,12.186,17.698,10.373,29.784,33.177,260.882,441.036,453.978,0.000924964,0.015307046,0.017885063
0.707,9.960,17.695,16.364,0.785,12.380,19.705,10.745,30.075,36.069,261.631,441.460,457.554,0.000917602,0.01536713,0.017955208
0.713,10.014,17.666,17.405,2.039,12.465,20.817,12.053,30.130,38.221,263.114,441.797,459.527,0.000911777,0.015484556,0.018004229
0.718,10.313,17.571,18.523,5.992,12.421,22.097,16.305,29.991,40.620,266.843,442.481,461.783,0.000908402,0.015807409,0.018041812
0.723,10.534,17.464,19.630,13.449,12.257,23.818,23.983,29.721,43.447,273.534,442.829,464.772,0.00090664,0.016184146,0.018063065
0.728,10.364,17.395,20.682,13.186,12.177,25.820,23.550,29.573,46.502,273.730,443.245,468.230,0.000904729,0.016414521,0.018080674
0.733,10.218,17.462,21.512,10.523,12.263,27.240,20.741,29.725,48.751,271.927,443.511,470.628,0.000901889,0.016483609,0.01808911
0.738,10.235,17.755,22.084,9.809,12.608,27.576,20.044,30.363,49.660,271.695,444.110,471.125,0.000898658,0.016468272,0.018070446
0.743,10.365,18.176,22.408,9.472,12.941,28.648,19.837,31.117,51.056,271.758,444.675,472.852,0.000895591,0.01645261,0.018023934
0.748,10.594,18.637,22.556,9.088,13.126,30.403,19.682,31.763,52.958,272.054,444.942,475.766,0.000893972,0.016429391,0.017973803
0.753,10.851,18.909,22.544,8.751,12.988,32.925,19.601,31.896,55.469,272.669,444.625,480.021,0.000895573,0.016421396,0.017968953
0.758,11.047,19.012,22.445,8.678,12.457,34.032,19.726,31.469,56.477,273.492,443.625,481.937,0.000896232,0.016446853,0.01803444
0.763,11.165,19.000,22.235,8.876,11.529,34.506,20.042,30.529,56.741,274.381,441.917,482.804,0.000895564,0.016481774,0.018115923
0.768,11.323,18.910,21.868,9.312,11.618,34.526,20.635,30.529,56.394,275.226,442.202,482.878,0.000892464,0.016553653,0.018192144
0.773,11.607,18.851,21.430,9.878,12.038,34.107,21.486,30.889,55.537,276.074,443.122,482.173,0.000887048,0.01665245,0.01826052
0.778,11.966,18.845,21.047,11.468,11.765,32.241,23.434,30.609,53.288,277.913,442.768,478.977,0.000882958,0.016767522,0.018330662
0.783,11.996,18.912,20.778,13.533,11.121,30.121,25.529,30.033,50.899,280.006,441.727,475.328,0.00087791,0.01687956,0.018395662
0.788,11.686,19.002,20.418,9.121,10.826,25.031,20.807,29.828,45.450,276.416,441.429,466.733,0.000875507,0.016940391,0.018452475
0.793,11.401,19.092,20.014,5.051,10.508,22.733,16.452,29.601,42.747,273.029,440.590,462.912,0.000875509,0.016910141,0.018486161
0.798,10.886,19.157,19.768,2.785,10.527,24.676,13.671,29.684,44.444,271.093,440.458,466.250,0.0008764,0.016826641,0.018482424
0.803,10.077,19.240,19.606,0.997,10.751,29.619,11.074,29.991,49.225,269.659,440.731,474.526,0.000877821,0.016749788,0.018451216
0.808,9.121,19.302,19.554,-0.161,11.110,32.328,8.960,30.412,51.882,269.104,441.326,478.845,0.000880822,0.016716316,0.018408261
0.813,8.334,19.329,19.694,-0.994,11.371,31.320,7.341,30.700,51.014,268.926,441.773,477.011,0.000884108,0.016704606,0.018378584
0.818,7.825,19.305,20.094,-1.606,11.541,30.629,6.219,30.847,50.723,268.922,442.073,475.759,0.000886963,0.016706845,0.018382195
0.823,7.498,19.272,20.631,-1.984,11.721,28.688,5.514,30.993,49.319,269.087,442.308,472.474,0.000889476,0.016661156,0.018433487
0.828,7.269,19.242,21.331,-2.033,12.038,27.171,5.236,31.280,48.502,269.565,442.770,470.485,0.000892459,0.016596776,0.0185224
0.833,7.105,19.183,22.088,-2.007,12.821,28.989,5.098,32.004,51.078,269.895,444.134,473.766,0.00089467,0.016549584,0.018598381
0.838,6.976,19.017,22.710,-1.847,13.882,32.948,5.128,32.899,55.657,270.385,446.023,480.503,0.000898902,0.016506897,0.018647332
0.843,6.865,18.698,23.117,-1.688,15.137,32.697,5.177,33.835,55.814,270.984,448.258,479.980,0.000903231,0.016460918,0.01866642
0.848,6.764,18.194,23.516,-1.735,15.738,28.561,5.029,33.932,52.077,271.493,449.367,472.694,0.000907226,0.016482027,0.01867478
0.853,6.670,17.618,24.224,-1.912,15.724,18.450,4.758,33.343,42.675,271.960,449.402,455.524,0.000910854,0.016533324,0.018713137
0.858,6.582,17.030,25.246,-1.939,15.646,15.535,4.643,32.676,40.782,272.676,449.304,450.716,0.000914669,0.016576378,0.018764645
0.863,6.507,16.527,26.394,-1.939,15.434,16.017,4.567,31.961,42.410,273.358,448.950,451.563,0.000919007,0.016613696,0.018798657
0.868,6.447,16.133,27.586,-1.776,15.371,17.074,4.672,31.504,44.661,274.078,448.863,453.396,0.000922671,0.016637243,0.018828049
0.873,6.406,15.826,28.607,-1.734,15.795,19.460,4.672,31.621,48.067,274.630,449.649,457.414,0.000926484,0.016644046,0.018833948
0.878,6.383,15.608,29.232,-1.861,16.428,19.999,4.522,32.037,49.231,274.954,450.780,458.276,0.000931624,0.016639039,0.01884274
0.883,6.094,16.017,33.605,-1.807,16.442,18.306,4.288,32.459,51.911,275.482,450.745,455.361,0.000935537,0.016619269,0.018860107
0.888,6.061,15.933,33.455,-1.595,16.309,13.080,4.466,32.242,46.534,276.094,450.493,446.510,0.000939233,0.016626991,0.018884432
0.893,6.044,15.782,33.202,-1.093,16.301,8.716,4.951,32.083,41.918,276.834,450.421,439.274,0.000941328,0.016605912,0.018934891
0.898,6.038,15.580,33.058,-0.601,16.252,8.216,5.437,31.832,41.274,277.283,450.245,438.573,0.0009405,0.016572729,0.019012948
0.903,6.034,15.371,33.183,0.213,15.703,8.470,6.246,31.074,41.653,277.774,449.143,439.128,0.000938599,0.016549781,0.019091096
0.908,6.026,15.222,33.603,0.393,14.338,9.469,6.419,29.560,43.072,277.735,446.593,441.098,0.000938444,0.016540917,0.019165244
0.913,6.022,15.156,34.279,0.305,13.850,12.173,6.327,29.006,46.452,277.579,445.753,445.816,0.000940778,0.016574457,0.01923671
0.918,6.023,15.093,34.910,0.422,14.236,15.933,6.445,29.329,50.843,277.872,446.596,452.282,0.000944794,0.01664599,0.019284017
0.923,6.038,15.078,35.110,0.676,15.338,21.067,6.713,30.417,56.177,278.431,448.756,460.936,0.000949652,0.01672533,0.01927756
0.928,6.072,14.830,34.820,0.843,16.261,23.851,6.915,31.091,58.672,278.953,450.573,465.486,0.000954266,0.016802182,0.019248737
0.933,6.125,14.297,34.213,1.100,17.157,24.104,7.225,31.454,58.318,279.625,452.347,465.818,0.000958461,0.016869508,0.019223895
0.938,6.187,13.572,33.348,1.379,19.348,23.878,7.565,32.920,57.226,280.460,456.534,465.370,0.000962283,0.016935892,0.019221732
0.943,6.251,12.887,32.293,1.587,23.446,22.651,7.838,36.333,54.944,281.375,464.154,463.285,0.000966165,0.016990686,0.019272527
0.948,6.323,12.516,31.170,2.172,25.178,19.077,8.496,37.693,50.247,282.674,467.742,457.206,0.000970419,0.017034868,0.019316781
0.953,6.413,12.424,30.162,2.878,25.650,13.042,9.291,38.074,43.204,284.118,468.643,447.127,0.000973776,0.017085241,0.019349499
