time(s)_15O2_coarse,Heat release rate(kW)_15O2_coarse,time(s)_15O2_medium,Heat release rate(kW)_15O2_medium,time(s)_15O2_fine,Heat release rate(kW)_15O2_fine,time(s)_17O2_coarse,Heat release rate(kW)_17O2_coarse,time(s)_17O2_medium,Heat release rate(kW)_17O2_medium,time(s)_17O2_fine,Heat release rate(kW)_17O2_fine,time(s)_21O2_coarse,Heat release rate(kW)_21O2_coarse,time(s)_21O2_medium,Heat release rate(kW)_21O2_medium,time(s)_21O2_fine,Heat release rate(kW)_21O2_fine
11.2563,12.1,10.7241,15,10.5508,13.3,11.2029,13.8,10.7588,12.5,10.5761,16.4,11.1676,13.2,10.7206,10.2,10.5152,16.1
11.2716,13.1,10.7331,16.1,10.5589,13.2,11.2181,14.2,10.7694,12.9,10.5833,17,11.1815,14,10.7283,9.6,10.5206,17.1
11.2857,14.1,10.7416,17,10.5671,13.1,11.2326,14.8,10.7811,12.4,10.5901,17.3,11.1948,14.3,10.7369,9.42,10.5261,17.9
11.2988,14.6,10.7501,17.5,10.5746,12.9,11.2463,15.4,10.7914,12,10.597,17.2,11.2074,13.9,10.745,9.8,10.5316,18.2
11.3115,14.7,10.7581,17.9,10.5817,12.5,11.2605,15.7,10.8014,12,10.604,16.8,11.2202,13.3,10.7531,10.4,10.5371,18.5
11.3243,14.3,10.7663,18,10.5887,12.3,11.2742,15.5,10.8111,12.6,10.611,16.3,11.2331,12.6,10.7619,11.4,10.5424,18.3
11.3388,13.3,10.7736,17.5,10.5958,11.9,11.2875,14.4,10.8205,13.5,10.6176,16,11.2464,12,10.7697,12.6,10.5477,17.9
11.3535,12.5,10.7799,17.1,10.6028,11.4,11.3001,13.1,10.8299,14.5,10.6241,15.5,11.2593,11.8,10.7779,13.8,10.5532,17.3
11.3684,11.7,10.7864,16.6,10.6099,11.3,11.3109,11.6,10.8409,15.4,10.631,15,11.2715,11.6,10.7859,15,10.5588,16.9
11.3836,11.4,10.7931,16,10.6167,11.2,11.3211,10.6,10.8521,15.4,10.6381,14.4,11.284,11.2,10.7933,15.7,10.5643,16.4
11.3974,11.1,10.8006,15.4,10.6233,11.3,11.3328,10.1,10.863,15.6,10.6451,13.6,11.2956,10.9,10.8008,15.8,10.5699,15.7
11.411,11.3,10.8088,14.8,10.63,11.4,11.3447,9.65,10.8737,15.3,10.6516,13,11.308,10.6,10.8078,15.8,10.5753,14.9
11.4247,11.3,10.8172,14.4,10.6365,11.5,11.3593,9.48,10.8844,14.9,10.6581,12.3,11.3215,10.9,10.8156,15.5,10.5807,14.1
11.4381,11.7,10.825,13.9,10.6432,11.6,11.3749,9.75,10.8937,14.3,10.6646,11.7,11.3358,11.3,10.8238,14.8,10.5861,13.4
11.4516,12,10.8326,13.5,10.6496,11.9,11.3903,10.3,10.9025,13.8,10.6709,11.2,11.3506,11.8,10.8319,14.3,10.5918,12.9
11.4644,12.6,10.8408,13.1,10.6563,12.2,11.4055,11.5,10.913,13,10.6771,10.7,11.3655,12.5,10.8398,13.7,10.5974,12.4
11.4766,13.4,10.8494,12.7,10.6636,12.3,11.4203,12.2,10.9234,12.2,10.6833,10.2,11.3798,13.2,10.8479,12.7,10.6024,11.9
11.4892,14.3,10.8574,12.3,10.6702,12.6,11.4346,12.8,10.9332,11.7,10.6899,9.51,11.3931,13.6,10.856,12.1,10.6074,11.2
11.5025,15,10.8652,12.1,10.6767,13.1,11.4504,13.5,10.9434,11.3,10.6966,8.92,11.4061,13.6,10.8633,11.7,10.6122,10.8
11.5166,15.2,10.8738,11.9,10.6833,13.1,11.4679,14.1,10.9535,11,10.7032,8.56,11.4193,13.3,10.871,11.5,10.6169,10.4
11.5305,14.6,10.8825,11.9,10.6898,13.3,11.486,14.2,10.9628,10.9,10.7099,8.46,11.433,12.7,10.8785,11.2,10.6216,10.3
11.5441,13.8,10.8913,11.7,10.6958,13.5,11.5045,14.4,10.9718,10.7,10.7165,8.51,11.4463,12.3,10.8857,11.1,10.6257,10.2
11.558,13.2,10.8989,11.7,10.7017,13.5,11.5226,13.8,10.9811,10.6,10.7232,8.67,11.4587,12,10.892,11.2,10.6297,9.89
11.573,12.3,10.9073,11.9,10.7075,13.4,11.5399,13.1,10.9902,10.6,10.7303,8.98,11.4706,11.8,10.8987,10.9,10.6339,9.58
11.5889,11.3,10.915,12.5,10.7131,13.6,11.5548,13.4,10.9995,10.6,10.7371,9.38,11.4832,11.4,10.9055,10.5,10.6386,9.34
11.6047,10.8,10.9233,13.1,10.719,13.7,11.569,14.2,11.0092,10.4,10.7444,9.83,11.4954,11.2,10.9117,9.93,10.6431,9.19
11.6195,10.6,10.9312,13.7,10.7255,13.8,11.5797,15,11.0187,10.6,10.7514,10.4,11.5082,10.9,10.9178,9.14,10.6479,9.23
11.6348,10.6,10.9396,14,10.7319,13.8,11.5906,15.4,11.0278,11,10.7581,10.9,11.5219,11.1,10.9245,8.31,10.6527,9.55
11.6495,10.9,10.9481,14.2,10.7382,13.7,11.6031,15.5,11.036,11.7,10.7652,11.4,11.536,11.6,10.9312,7.93,10.6577,10.1
11.6642,11.6,10.9563,14.5,10.7445,13.8,11.6169,14.9,11.0436,12.3,10.7727,12.1,11.5494,12,10.9375,7.55,10.6623,10.7
11.6785,12.3,10.9645,14.5,10.7507,13.6,11.6304,13.9,11.051,13.1,10.7805,12.8,11.5629,12.4,10.9434,7.32,10.667,11.5
11.6936,13,10.9727,14.5,10.7567,13.5,11.6445,12.1,11.058,14,10.788,13.4,11.5756,13.2,10.949,7.19,10.6722,12.2
11.7082,13.4,10.9809,14.7,10.7626,13.1,11.6586,11,11.0649,14.7,10.795,13.8,11.5874,13.8,10.955,7.12,10.6776,12.7
11.7212,13.6,10.9888,15.1,10.7687,12.6,11.6728,10.6,11.0717,15.5,10.8016,14.4,11.5989,13.9,10.9616,7.21,10.6826,13.2
11.7321,13.6,10.9966,15.2,10.7744,12.3,11.6853,10.6,11.0781,16.4,10.808,14.8,11.6113,13.8,10.968,7.36,10.6869,13.4
11.7417,13.6,11.0044,15,10.78,12.1,11.699,10.4,11.0841,17.1,10.8143,15,11.6253,13.5,10.9746,7.75,10.691,13.4
11.754,13.1,11.0118,14.4,10.7863,12,11.7131,10.6,11.0898,17.4,10.8207,15.1,11.6405,13.2,10.9812,8.02,10.6952,13.2
11.7664,12.6,11.0187,13.4,10.7926,12.1,11.7268,11.2,11.0956,17.5,10.827,15.3,11.6552,12.9,10.9872,8.38,10.7,12.9
11.778,12.3,11.0257,12.2,10.7997,12.5,11.7399,11.5,11.1013,16.9,10.8334,15.3,11.6686,12.4,10.9946,9.06,10.7054,12.4
11.7905,12.2,11.0323,11.1,10.8071,12.9,11.7553,11.9,11.1071,16,10.84,15,11.6816,12,11.0031,10.4,10.7113,11.8
11.8037,11.8,11.039,10.2,10.8144,13.5,11.7714,12.4,11.1125,15.1,10.8467,14.6,11.6949,11.2,11.0118,12,10.7168,11.5
11.8178,12,11.0463,9.82,10.8212,14.1,11.7869,13.3,11.1179,14,10.8533,14.4,11.7085,10.9,11.0204,13.5,10.7226,11.4
11.832,11.9,11.0542,9.96,10.828,14.6,11.8017,13.6,11.1233,13,10.8601,14.5,11.722,10.7,11.0288,14.8,10.7284,11.3
11.8449,11.9,11.0621,10.3,10.835,14.7,11.8175,14.5,11.1287,12.2,10.8668,14.6,11.7357,11,11.037,15.9,10.7338,11.2
11.8574,12,11.0697,10.8,10.8415,15,11.8349,14.7,11.1349,11.5,10.8732,14.6,11.7498,11.5,11.0466,16.7,10.7393,11.2
11.8704,12.6,11.0776,11.2,10.8475,14.8,11.8509,14.3,11.1412,11,10.8793,14.5,11.7623,12.1,11.0566,16.8,10.7454,11.1
11.8826,13.2,11.0845,11.5,10.8538,14.2,11.8686,12.8,11.1479,10.8,10.8851,14.4,11.7755,13,11.0666,16.6,10.752,11.1
11.8946,13.9,11.0921,11.8,10.8599,13.5,11.8836,11.7,11.1557,10.7,10.8909,14.3,11.7883,13.5,11.0761,16.2,10.759,11
11.9079,14.1,11.1011,11.8,10.8656,12.5,11.8975,11.3,11.1643,10.7,10.8968,14,11.8002,13.8,11.0868,15.5,10.7657,11.1
11.9223,13.6,11.1104,11.7,10.8712,11.4,11.9114,11.8,11.1733,10.8,10.9029,13.8,11.8122,13.8,11.0984,14.9,10.7719,11.4
11.936,13,11.1201,11.6,10.877,10.6,11.9267,13.2,11.1826,11.3,10.9095,13.5,11.8255,13.2,11.1101,13.8,10.7781,11.7
11.9497,12.6,11.1295,11.4,10.8825,10.3,11.9428,14.1,11.1913,11.9,10.9161,13.1,11.8389,13,11.121,12.7,10.7844,11.8
11.9635,12.5,11.1391,11.2,10.888,10.2,11.9579,14.2,11.2001,12.5,10.9227,12.6,11.8524,12.6,11.1307,11.7,10.7907,11.7
11.9772,12.4,11.1489,11.2,10.8939,10.3,11.9727,13.9,11.2088,13.1,10.9293,12.1,11.8655,12.3,11.1409,10.9,10.7969,11.5
11.9919,12,11.1584,11.2,10.9003,10.7,11.987,13,11.2177,13.4,10.9359,11.8,11.8777,12,11.1519,10.6,10.8031,11.1
12.0073,11.3,11.1677,11.7,10.906,11.5,11.9994,12.4,11.2252,13.7,10.9423,11.5,11.8899,11.8,11.1621,10.8,10.8095,10.9
12.0229,11.4,11.1772,12.4,10.9116,12.4,12.0127,11.8,11.2334,14.2,10.9488,11.2,11.9014,11.6,11.1721,11.6,10.8161,10.7
12.0378,11.6,11.1866,13.5,10.9171,13.2,12.0257,11.4,11.2426,14.8,10.955,10.9,11.913,11.1,11.1812,12.3,10.8221,10.6
12.0518,11.8,11.1958,14.6,10.9223,13.9,12.0382,11.1,11.2507,15.1,10.9607,10.5,11.9259,10.9,11.1916,13,10.8278,10.6
12.0659,12.2,11.2054,15.3,10.9273,14.5,12.0503,11,11.2594,15.1,10.9665,9.98,11.9383,11.1,11.2027,13.9,10.8335,10.5
12.0802,12.9,11.2146,15.8,10.9326,14.6,12.0634,11.4,11.2671,15.2,10.9724,9.47,11.9508,11.4,11.214,14.3,10.8394,10.3
12.0945,13.5,11.2236,16.4,10.9385,14.6,12.0783,11.8,11.2754,15.4,10.9782,9.08,11.9646,12.1,11.2249,14.6,10.845,10.3
12.1091,13.8,11.2333,16.5,10.9448,14.4,12.0918,12.2,11.2835,15.6,10.9841,8.88,11.9789,13.3,11.2343,14.9,10.8505,10.4
12.1228,14,11.2432,16.3,10.9512,14.1,12.1062,13,11.2919,15.3,10.9901,8.73,11.993,13.9,11.2426,14.8,10.8561,10.5
12.1353,13.8,11.2528,15.9,10.9579,13.5,12.1208,14.1,11.2998,14.8,10.9954,8.82,12.0067,14,11.2518,14.6,10.8615,10.6
12.1467,13.4,11.2621,14.8,10.965,13,12.1372,14.7,11.3078,14,11.0002,9.01,12.0197,13.6,11.263,14.2,10.8669,10.4
12.1585,13,11.2712,13.7,10.9728,12.5,12.1546,14.8,11.3164,13.2,11.0056,9.38,12.0323,12.9,11.2743,14,10.8728,10.1
12.1711,12.9,11.2807,12.6,10.9808,12.1,12.1722,14.6,11.3246,12.4,11.0118,10.1,12.045,12.5,11.2853,13.7,10.8787,9.73
12.1842,12.8,11.2904,12.1,10.9884,12.1,12.19,14.6,11.333,11.7,11.018,11,12.0579,12.1,11.2955,13.3,10.8845,9.45
12.1971,12.5,11.3002,11.8,10.9955,12.3,12.2065,14.4,11.3411,11,11.0241,11.9,12.0701,12,11.3045,12.6,10.8903,9.24
12.2108,11.9,11.3098,11.6,11.0023,12.6,12.2229,13.9,11.3483,10.6,11.0303,12.8,12.0817,11.8,11.3136,12.2,10.8961,9.18
12.2236,11.7,11.3191,11.6,11.0087,12.9,12.2388,13.9,11.3551,10.3,11.0366,13.9,12.094,11.6,11.3224,12.5,10.9021,9.22
12.236,11.6,11.328,11.5,11.0156,13,12.255,14.4,11.3621,10,11.0428,14.8,12.106,11.4,11.3307,12.8,10.9079,9.24
12.2487,11.8,11.3365,11.6,11.023,12.7,12.2701,14.9,11.3691,9.78,11.0488,15.5,12.1183,11.1,11.3388,13.1,10.9142,9.27
12.2618,12.4,11.3448,11.7,11.0303,12.3,12.2842,13.2,11.3763,9.6,11.0548,16.2,12.1311,11,11.3471,13.1,10.9199,9.33
12.2753,12.9,11.3534,12,11.037,12,12.2987,12.1,11.383,9.73,11.0607,16.7,12.1446,11.2,11.355,13,10.9256,9.47
12.289,13.4,11.3626,12.3,11.0439,11.8,12.3139,11.2,11.3899,9.82,11.0668,17.1,12.1578,11.7,11.3627,12.4,10.9312,9.69
12.3032,13.5,11.3715,12.6,11.0512,11.9,12.3292,10.7,11.3964,9.88,11.073,17.3,12.1706,12.6,11.3704,12.1,10.9374,10.2
12.3173,13.3,11.3798,12.8,11.0584,12.2,12.343,10.3,11.4027,10,11.0785,17.2,12.1824,13.5,11.3781,11.8,10.9438,11
12.3312,13.3,11.3877,12.6,11.0656,12.1,12.3548,10.1,11.409,10.1,11.0842,17.2,12.1962,14,11.3856,11.5,10.95,11.7
