height(cm)_15O2_coarse,Radiative emission (kW/m)_15O2_coarse,height(cm)_15O2_medium,Radiative emission (kW/m)_15O2_medium,height(cm)_15O2_fine,Radiative emission (kW/m)_15O2_fine,height(cm)_17O2_coarse,Radiative emission (kW/m)_17O2_coarse,height(cm)_17O2_medium,Radiative emission (kW/m)_17O2_medium,height(cm)_17O2_fine,Radiative emission (kW/m)_17O2_fine,height(cm)_21O2_coarse,Radiative emission (kW/m)_21O2_coarse,height(cm)_21O2_medium,Radiative emission (kW/m)_21O2_medium,height(cm)_21O2_fine,Radiative emission (kW/m)_21O2_fine
36.25,4.915814581,21.75,8.260936401,14.5,7.038729089,36.25,5.48686654,21.75,8.848875719,14.5,8.149695202,36.25,6.037737338,21.75,10.80006099,14.5,10.23219032
37.0833,4.814555843,22.25,8.241760243,14.8333,7.075481668,37.0833,5.330738156,22.25,8.82833214,14.8333,8.165642722,37.0833,5.807694955,22.25,10.77814843,14.8333,10.24735406
37.9167,4.716605891,22.75,8.217015619,15.1667,7.108742127,37.9167,5.172227135,22.75,8.80392883,15.1667,8.177569218,37.9167,5.576581807,22.75,10.7505835,15.1667,10.26130253
38.75,4.621377645,23.25,8.187386386,15.5,7.138666053,38.75,5.01168823,23.25,8.775868716,15.5,8.185950431,38.75,5.345257548,23.25,10.71584014,15.5,10.27406765
39.5833,4.528288769,23.75,8.153589306,15.8333,7.165410582,39.5833,4.849476622,23.75,8.744286025,15.8333,8.191278831,39.5833,5.114514412,23.75,10.67251592,15.8333,10.28568961
40.4167,4.436821022,24.25,8.116304287,16.1667,7.189154562,40.4167,4.685928844,24.25,8.709258567,16.1667,8.194040715,40.4167,4.885117737,24.25,10.61956497,16.1667,10.29621807
41.25,4.346550053,24.75,8.076112146,16.5,7.210118754,41.25,4.52133978,24.75,8.670811104,16.5,8.194691237,41.25,4.657834686,24.75,10.55640916,16.5,10.30569385
42.0833,4.257144137,25.25,8.033459951,16.8333,7.228575439,42.0833,4.355957578,25.25,8.628907891,16.8333,8.193637404,42.0833,4.433442954,25.25,10.4829179,16.8333,10.31411402
42.9167,4.168346378,25.75,7.988660288,17.1667,7.244842366,42.9167,4.190005888,25.75,8.583443952,17.1667,8.191233693,42.9167,4.212723262,25.75,10.39929211,17.1667,10.32139228
43.75,4.079958328,26.25,7.941914048,17.5,7.259262464,43.75,4.023728433,26.25,8.534252339,17.5,8.187787647,43.75,3.996443115,26.25,10.30591144,17.5,10.32733138
