cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 6.1000000E+001, 7.8793629E+002, 7.7130761E+002, 3.6829802E+000, 2.1590346E+002, 2.8855067E+002, 1.4630942E+000, 1.4387344E-001, 4.0752502E-002, 4.1846358E-003, 5.2829658E-004, 4.9098007E-002, 2.4615504E-003, 7.5828105E-001, 3.2151156E-004
 6.3000000E+001, 7.6369581E+002, 7.4704665E+002, 3.6470765E+000, 2.1140476E+002, 2.8119456E+002, 1.4710682E+000, 1.4798205E-001, 3.8678118E-002, 3.3495786E-003, 4.0195016E-004, 4.6185610E-002, 1.9703404E-003, 7.6077557E-001, 2.5688093E-004
 6.5000000E+001, 7.6369581E+002, 7.4704665E+002, 3.6097354E+000, 2.1140476E+002, 2.8119456E+002, 1.4740912E+000, 1.4798205E-001, 3.8678118E-002, 3.3495786E-003, 4.0195016E-004, 4.6185610E-002, 1.9703404E-003, 7.6077557E-001, 2.5688093E-004
 6.7000000E+001, 7.3988796E+002, 7.2336763E+002, 3.5691118E+000, 2.0578295E+002, 2.7258989E+002, 1.4756098E+000, 1.5187050E-001, 3.6627937E-002, 2.6599469E-003, 3.0255546E-004, 4.3444287E-002, 1.5646746E-003, 7.6300854E-001, 2.0361919E-004
 6.9000000E+001, 6.9575805E+002, 6.7992232E+002, 3.5362432E+000, 1.9240698E+002, 2.5366809E+002, 1.4717326E+000, 1.5868694E-001, 3.2860119E-002, 1.6518292E-003, 1.7172140E-004, 3.8668255E-002, 9.7166423E-004, 7.6666558E-001, 1.2597528E-004
 7.1000000E+001, 6.7554486E+002, 6.6007203E+002, 3.5017322E+000, 1.8539036E+002, 2.4410978E+002, 1.4599102E+000, 1.6164508E-001, 3.1140279E-002, 1.3128540E-003, 1.3212965E-004, 3.6610667E-002, 7.7226707E-004, 7.6812930E-001, 1.0000136E-004
 7.3000000E+001, 6.5663844E+002, 6.4160274E+002, 3.4692235E+000, 1.7792271E+002, 2.3436390E+002, 1.4482989E+000, 1.6435560E-001, 2.9527329E-002, 1.0455872E-003, 1.0202724E-004, 3.4732138E-002, 6.1505132E-004, 7.6941725E-001, 7.9555140E-005
 7.4980000E+001, 6.5663844E+002, 6.4160274E+002, 3.4341351E+000, 1.7792271E+002, 2.3436390E+002, 1.4370146E+000, 1.6435560E-001, 2.9527329E-002, 1.0455872E-003, 1.0202724E-004, 3.4732138E-002, 6.1505132E-004, 7.6941725E-001, 7.9555140E-005
 7.7000000E+001, 6.3889617E+002, 6.2451649E+002, 3.4011889E+000, 1.7020738E+002, 2.2430183E+002, 1.4229695E+000, 1.6683409E-001, 2.8025606E-002, 8.3265696E-004, 7.8587472E-005, 3.3019437E-002, 4.8979821E-004, 7.7055655E-001, 6.3295242E-005
 7.9000000E+001, 6.2204666E+002, 6.0850484E+002, 3.3661914E+000, 1.6277980E+002, 2.1447967E+002, 1.4059614E+000, 1.6911221E-001, 2.6627397E-002, 6.5783534E-004, 6.0138267E-005, 3.1448474E-002, 3.8696196E-004, 7.7157799E-001, 4.9956135E-005
 8.1000000E+001, 6.0625138E+002, 5.9359360E+002, 3.3317393E+000, 1.5538792E+002, 2.0479545E+002, 1.3908954E+000, 1.7120802E-001, 2.5323011E-002, 5.1817793E-004, 4.5891263E-005, 3.0006607E-002, 3.0481055E-004, 7.7249187E-001, 3.9314352E-005
 8.3000000E+001, 5.9139742E+002, 5.7959938E+002, 3.2995307E+000, 1.4847465E+002, 1.9572548E+002, 1.3739653E+000, 1.7314092E-001, 2.4105507E-002, 4.0634732E-004, 3.5157404E-005, 2.8679502E-002, 2.3902784E-004, 7.7331387E-001, 3.0789163E-005
 8.5000000E+001, 5.6526460E+002, 5.5502272E+002, 3.2716408E+000, 1.3559323E+002, 1.7890766E+002, 1.3614552E+000, 1.7646295E-001, 2.1986377E-002, 2.4537786E-004, 2.0500625E-005, 2.6403642E-002, 1.4433992E-004, 7.7468869E-001, 1.8518879E-005
 8.7000000E+001, 5.6526460E+002, 5.5502272E+002, 3.2527869E+000, 1.3559323E+002, 1.7890766E+002, 1.3418529E+000, 1.7646295E-001, 2.1986377E-002, 2.4537786E-004, 2.0500625E-005, 2.6403642E-002, 1.4433992E-004, 7.7468869E-001, 1.8518879E-005
 8.9000000E+001, 5.5371556E+002, 5.4424535E+002, 3.2351625E+000, 1.2919317E+002, 1.7038809E+002, 1.3164614E+000, 1.7790859E-001, 2.1053436E-002, 1.8799782E-004, 1.5435419E-005, 2.5415331E-002, 1.1058695E-004, 7.7527176E-001, 1.4146532E-005
 9.1000000E+001, 5.4258439E+002, 5.3389684E+002, 3.2146352E+000, 1.2271562E+002, 1.6178824E+002, 1.2928151E+000, 1.7929082E-001, 2.0155638E-002, 1.3992751E-004, 1.1379768E-005, 2.4471475E-002, 8.2310300E-005, 7.7582102E-001, 1.0488689E-005
 9.3000000E+001, 5.3204976E+002, 5.2404408E+002, 3.1838780E+000, 1.1650518E+002, 1.5361992E+002, 1.2798823E+000, 1.8059590E-001, 1.9302692E-002, 1.0070673E-004, 8.2690080E-006, 2.3581289E-002, 5.9239252E-005, 7.7633216E-001, 7.5203748E-006
 9.5000000E+001, 5.1152102E+002, 5.0479664E+002, 3.1475329E+000, 1.0470656E+002, 1.3819584E+002, 1.2701390E+000, 1.8310790E-001, 1.7636468E-002, 5.4159604E-005, 4.5017200E-006, 2.1872713E-002, 3.1858590E-005, 7.7728178E-001, 4.0348907E-006
 9.7000000E+001, 5.1152102E+002, 5.0479664E+002, 3.1119161E+000, 1.0470656E+002, 1.3819584E+002, 1.2598970E+000, 1.8310790E-001, 1.7636468E-002, 5.4159604E-005, 4.5017200E-006, 2.1872713E-002, 3.1858590E-005, 7.7728178E-001, 4.0348907E-006
 9.9000000E+001, 5.0152873E+002, 4.9540885E+002, 3.0724044E+000, 9.8589721E+001, 1.3045923E+002, 1.2462551E+000, 1.8432316E-001, 1.6824122E-002, 3.9029428E-005, 3.2615801E-006, 2.1047364E-002, 2.2958487E-005, 7.7773245E-001, 2.9050476E-006
